条件ID	条件类型	条件参数
1135	2	10900180,2,5
1136	2	10900010,1,5
1137	2	10900010,3,5
1138	2	10900010,3,5
1139	2	10900020,0,5
1140	2	10900050,0,5
1141	2	10900050,1,5
1142	2	10900140,3,5
1143	2	10900140,4,5
1144	2	10900170,1,5
1145	2	10900170,2,5
1146	2	10900200,0,5
1147	2	10900200,1,5
1148	2	10900200,0,5
1149	2	10900200,1,5
1150	2	10900060,0,5
1151	2	10900080,0,5
1152	3	monster37000312,1,1
1153	16	1
1154	10	monster37000309
1155	10	monster37000310
1156	3	monster37000303,1,2
1157	16	4
1158	3	monster37000310,1,1
1159	3	monster37000309,1,1
1160	3	monster37000311,3,1
1161	3	monster30100283,3,1
1162	10	monster37000312
1163	3	monster37000302,3,12
1164	12	monster37000310,skill20132_01,1,1
1165	16	6
1166	3	monster37000362,1,1
1167	16	1
1168	10	monster37000359
1169	10	monster37000360
1170	3	monster37000353,1,2
1171	16	4
1172	3	monster37000360,1,1
1173	3	monster37000359,1,1
1174	3	monster37000361,3,1
1175	3	monster30100283,3,1
1176	10	monster37000362
1177	3	monster37000352,3,12
1178	12	monster37000360,skill20132_01,1,1
1179	16	6
1180	3	monster37000400,3,1
1181	3	monster37000409,3,12,monster37000410,3,12
1182	3	monster37000411,3,15,monster37000412,3,15
1183	3	monster37000405,3,6,monster37000406,3,6
1184	3	monster37000407,3,9,monster37000408,3,9
1185	3	monster37000401,3,9,monster37000402,3,9
1186	3	monster37000403,3,12,monster37000404,3,12
1187	3	monster37000426,3,4
1188	3	monster37000425,3,4
1189	3	monster37000423,3,3
1190	3	monster37000424,3,1
1191	3	monster37000421,3,6
1192	3	monster37000422,3,1
1193	1	1,58
1194	3	monster36000126,3,5
1195	3	monster36000127,1,16
1196	3	monster36000128,1,1
1197	3	monster36000129,1,1
1198	3	monster36000130,1,1
1199	3	monster36000131,1,1
1200	3	monster36000132,1,1
1201	3	monster36000133,1,1
1202	3	monster36000134,1,1
1203	3	monster36000135,1,1
1204	3	monster36000136,1,1
1205	3	monster36000137,1,1
1206	3	monster36000138,1,1
1207	3	monster36000126,1,16
1208	3	monster36000140,1,6,monster36000240,1,2,monster36000126,1,16
1209	3	monster36000141,1,16
1210	3	monster36000142,1,1
1211	3	monster36000141,1,16,monster36000143,1,8
1212	3	monster36000144,1,4,monster36000142,1,12
1213	3	monster36000145,1,3,monster36000146,1,3
1214	3	monster36000149,1,1
1215	3	monster36000150,1,1
1216	3	monster36000155,1,6
1217	3	monster36000156,1,6
1218	3	monster36000157,1,1
1219	3	monster36000159,1,1
1220	3	monster36000160,1,1,monster36000161,1,1,monster36000162,1,1
1221	3	monster36000163,1,1
1222	3	monster36000164,1,1
1223	3	monster36000167,1,1
1224	3	monster36000166,1,8
1225	3	monster36000165,1,8
1226	3	monster36000168,1,1
1227	3	monster36000169,1,8
1228	3	monster36000170,1,6
1229	3	monster36000171,1,1
1230	3	monster36000172,1,1
1231	3	monster36000173,1,1
1232	3	monster36000174,1,1
1233	3	monster36000147,1,3,monster36000148,1,3
1234	3	monster36000142,1,12,monster36000144,1,8
1235	3	monster36000167,1,48
1236	3	monster36000168,1,49
1237	3	monster36000169,1,50
1238	3	monster36000170,1,51
1239	3	monster36000171,1,52
1240	3	monster36000172,1,53
1241	3	monster36000173,1,54
1242	3	monster36000174,1,55
1243	3	monster36000175,1,56
1244	3	monster36000176,1,57
1245	3	monster36000052,1,58
1246	3	monster36000053,1,59
1247	3	monster36000126,1,1
1248	15	3,60000
1249	3	monster36000184,1,1
1250	3	monster36000185,1,1
1251	3	monster36000487,1,1
1252	3	monster36000686,1,1
1253	3	monster36000134_1,1,12
1254	3	monster36000134_1,1,16
1255	3	monster36000134_1,1,24
1256	3	monster30000101,3,5
1257	3	monster36000252,1,16
1258	3	monster36000253,1,1
1259	3	monster36000254,1,1
1260	3	monster36000255,1,1
1261	3	monster36000256,1,1
1262	3	monster36000257,1,1
1263	3	monster36000258,1,1
1264	3	monster36000259,1,1
1265	3	monster36000260,1,1
1266	3	monster36000261,1,1
1267	3	monster36000262,1,1
1268	3	monster36000263,1,1
1269	3	monster36000251,1,16
1270	3	monster36000265,1,6,monster36000365,1,2,monster36000251,1,16
1271	3	monster36000266,1,16
1272	3	monster36000267,1,1
1273	3	monster36000266,1,16,monster36000268,1,8
1274	3	monster36000269,1,4,monster36000267,1,10
1275	3	monster36000270,1,3,monster36000271,1,3
1276	3	monster36000274,1,1
1277	3	monster36000275,1,1
1278	3	monster36000280,1,6
1279	3	monster36000281,1,6
1280	3	monster36000282,1,1
1281	3	monster36000284,1,1
1282	3	monster36000285,1,1,monster36000286,1,1,monster36000287,1,1
1283	3	monster36000288,1,1
1284	3	monster36000289,1,1
1285	3	monster36000292,1,1
1286	3	monster36000291,1,8
1287	3	monster36000290,1,8
1288	3	monster36000293,1,1
1289	3	monster36000294,1,8
1290	3	monster36000295,1,6
1291	3	monster36000296,1,1
1292	3	monster36000297,1,1
1293	3	monster36000298,1,1
1294	3	monster36000299,1,1
1295	3	monster36000272,1,3,monster36000273,1,3
1296	3	monster36000267,1,12,monster36000269,1,8
1297	3	monster36000292,1,48
1298	3	monster36000293,1,49
1299	3	monster36000294,1,50
1300	3	monster36000295,1,51
1301	3	monster36000296,1,52
1302	3	monster36000297,1,53
1303	3	monster36000298,1,54
1304	3	monster36000299,1,55
1305	3	monster36000300,1,56
1306	3	monster36000301,1,57
1307	3	monster36000052,1,58
1308	3	monster36000053,1,59
1309	3	monster36000251,1,1
1310	15	3,60000
1311	3	monster36000059,1,1
1312	3	monster36000060,1,1
1313	3	monster36000612,1,1
1314	3	monster36000811,1,1
1315	3	monster36000259_1,1,12
1316	3	monster36000259_1,1,16
1317	3	monster36000259_1,1,24
1318	3	monster30000101,3,5
1319	3	monster36000377,1,16
1320	3	monster36000378,1,1
1321	3	monster36000379,1,1
1322	3	monster36000380,1,1
1323	3	monster36000381,1,1
1324	3	monster36000382,1,1
1325	3	monster36000383,1,1
1326	3	monster36000384,1,1
1327	3	monster36000385,1,1
1328	3	monster36000386,1,1
1329	3	monster36000387,1,1
1330	3	monster36000388,1,1
1331	3	monster36000376,1,16
1332	3	monster36000390,1,6,monster36000490,1,2,monster36000376,1,16
1333	3	monster36000391,1,16
1334	3	monster36000392,1,1
1335	3	monster36000391,1,16,monster36000393,1,8
1336	3	monster36000394,1,4,monster36000392,1,12
1337	3	monster36000395,1,3,monster36000396,1,3
1338	3	monster36000399,1,1
1339	3	monster36000400,1,1
1340	3	monster36000405,1,6
1341	3	monster36000406,1,6
1342	3	monster36000407,1,1
1343	3	monster36000409,1,1
1344	3	monster36000410,1,1,monster36000411,1,1,monster36000412,1,1
1345	3	monster36000413,1,1
1346	3	monster36000414,1,1
1347	3	monster36000417,1,1
1348	3	monster36000416,1,8
1349	3	monster36000415,1,8
1350	3	monster36000418,1,1
1351	3	monster36000419,1,8
1352	3	monster36000420,1,6
1353	3	monster36000421,1,1
1354	3	monster36000422,1,1
1355	3	monster36000423,1,1
1356	3	monster36000424,1,1
1357	3	monster36000397,1,3,monster36000398,1,3
1358	3	monster36000392,1,12,monster36000394,1,8
1359	3	monster36000417,1,48
1360	3	monster36000418,1,49
1361	3	monster36000419,1,50
1362	3	monster36000420,1,51
1363	3	monster36000421,1,52
1364	3	monster36000422,1,53
1365	3	monster36000423,1,54
1366	3	monster36000424,1,55
1367	3	monster36000425,1,56
1368	3	monster36000426,1,57
1369	3	monster36000052,1,58
1370	3	monster36000053,1,59
1371	3	monster36000376,1,1
1372	15	3,60000
1373	3	monster36000434,1,1
1374	3	monster36000435,1,1
1375	3	monster36000737,1,1
1376	3	monster36000936,1,1
1377	3	monster36000384_1,1,12
1378	3	monster36000384_1,1,16
1379	3	monster36000384_1,1,24
1380	3	monster37000523,1,1
1381	3	monster37000520,1,1
1382	3	monster37000521,1,1
1383	3	monster37000522,1,1
1384	16	1
1385	10	monster37000523
1386	3	monster37000504,1,1
1387	3	monster37000507,1,1
1388	3	monster37000508,1,1
1389	3	monster37000510,1,1
1390	3	monster37000513,1,1
1391	3	monster37000514,1,1
1392	3	monster37000515,1,1
1393	7	monster37000520,2,25
1394	7	monster37000521,2,25
1395	7	monster37000522,2,25
1396	7	monster37000522,2,75
1397	3	monster37000573,1,1
1398	3	monster37000570,1,1
1399	3	monster37000571,1,1
1400	3	monster37000572,1,1
1401	16	1
1402	10	monster37000573
1403	3	monster37000554,1,1
1404	3	monster37000557,1,1
1405	3	monster37000558,1,1
1406	3	monster37000560,1,1
1407	3	monster37000563,1,1
1408	3	monster37000564,1,1
1409	3	monster37000565,1,1
1410	7	monster37000570,2,25
1411	7	monster37000571,2,25
1412	7	monster37000572,2,25
1413	7	monster37000572,2,75
1414	3	monster37000601,3,1
1415	3	monster37000602,3,1
1416	3	monster37000603,3,1
1417	3	monster37000604,3,1
1418	3	monster37000607,3,5,monster37000608,3,5
1419	3	monster37000605,3,5,monster37000606,3,5
1420	3	monster37000605,3,5,monster37000607,3,5
1421	3	monster37000609,3,6,monster37000610,3,6
1422	3	monster37000611,3,6,monster37000612,3,6
1423	3	monster37000611,3,6,monster37000609,3,6
1424	3	monster37000613,3,7,monster37000614,3,7
1425	3	monster37000615,3,7,monster37000616,3,7
1426	3	monster37000615,3,7,monster37000614,3,7
1427	3	monster37000617,3,8,monster37000618,3,8
1428	3	monster37000619,3,8,monster37000620,3,8
1429	3	monster37000619,3,8,monster37000618,3,8
1430	3	monster37000621,3,10,monster37000622,3,10
1431	3	monster37000623,3,10,monster37000624,3,10
1432	3	monster37000621,3,10,monster37000624,3,10
1433	3	monster37000647,3,1
1434	3	monster37000673,1,32
1435	3	monster37000653,3,1
1436	3	monster37000629,3,3
1437	3	monster37000630,3,3
1438	3	monster37000631,3,3
1439	3	monster37000632,3,4
1440	3	monster37000633,3,4
1441	3	monster37000634,3,4
1442	3	monster37000635,3,5
1443	3	monster37000636,3,5
1444	3	monster37000637,3,5
1445	3	monster37000638,3,6
1446	3	monster37000639,3,6
1447	3	monster37000640,3,6
1448	3	monster37000641,3,8
1449	3	monster37000642,3,8
1450	3	monster37000643,3,8
1451	3	monster37000644,3,2
1452	3	monster37000645,3,2
1453	3	monster37000646,3,2
1454	3	monster37000654,3,1
1455	3	monster37000655,3,1
1456	3	monster37000656,3,1
1457	3	monster37000657,3,1
1458	3	monster37000617,3,6
1459	2	11000050,0,5
1460	2	11000040,3,5
1461	2	11000050,1,5
1462	2	11000050,1,5
1463	2	11000060,0,5
1464	2	11000060,0,5
1465	2	11000070,0,5
1466	2	11000050,1,5
1467	2	11000100,0,5
1468	2	11000070,0,5
1469	2	11000120,0,5
1470	2	11000080,0,5
1471	2	11000100,0,5
1472	2	11000100,0,5
1473	2	11000120,0,5
1474	2	11000120,0,5
1475	2	11000160,0,5
1476	2	11000130,0,5
1477	2	11000130,2,5
1478	2	11000140,3,5
1479	2	11000150,1,5
1480	2	11000120,0,5
1481	2	11000160,0,5
1482	2	11000120,0,5
1483	2	11000170,1,5
1484	2	11000170,1,5
1485	2	11000190,0,5
1486	2	11000170,1,5
1487	2	11000200,0,5
1488	2	11000190,0,5
1489	2	11000220,0,5
1490	2	11000200,0,5
1491	2	11000230,0,5
1492	2	11000160,0,5
1493	2	11000170,1,5
1494	2	11000010,0,5
1495	2	11000010,1,5
1496	2	11000010,2,5
1497	2	11000040,0,5
1498	2	11000040,0,5
1499	2	509390,6,5
1500	2	509390,8,5
1501	2	509400,6,5
1502	2	509400,10,5
1503	2	509400,9,5
1504	2	509400,11,5
1505	2	509420,2,5
1506	2	509420,3,5
1507	2	509420,3,5
1508	2	509420,7,5
1509	2	509420,6,5
1510	2	509420,8,5
1511	3	monster37000605,3,14,monster37000606,3,9
1512	3	monster37000608,3,16
1513	3	monster37000605,3,12,monster37000606,3,12
1514	3	monster37000607,3,12,monster37000608,3,8
1515	3	monster37000605,3,16,monster37000606,3,16
1516	3	monster37000608,3,12,monster37000666,3,1
1517	3	monster37000605,3,17,monster37000606,3,11,monster37000662,3,1
1518	3	monster37000607,3,15,monster37000608,3,13
1519	3	monster37000605,3,20,monster37000606,3,20
1520	3	monster37000605,3,17,monster37000606,3,17
1521	3	monster37000605,3,15,monster37000606,3,18,monster37000663,3,1
1522	3	monster37000605,3,15,monster37000606,3,18,monster37000662,3,1
1523	3	monster37000609,3,16,monster37000611,3,16
1524	3	monster37000611,3,12,monster37000666,3,1
1525	3	monster37000610,3,17,monster37000612,3,11,monster37000662,3,1
1526	3	monster37000609,3,15,monster37000611,3,13
1527	3	monster37000610,3,20,monster37000612,3,20
1528	3	monster37000609,3,17,monster37000611,3,17
1529	3	monster37000610,3,15,monster37000612,3,18,monster37000663,3,1
1530	3	monster37000609,3,15,monster37000611,3,18,monster37000662,3,1
1531	3	monster37000610,3,21,monster37000612,3,21
1532	3	monster37000609,3,26
1533	3	monster37000612,3,16,monster37000666,3,1
1534	3	monster37000615,3,16,monster37000613,3,16
1535	3	monster37000614,3,12,monster37000666,3,1
1536	3	monster37000615,3,17,monster37000613,3,11,monster37000662,3,1
1537	3	monster37000616,3,15,monster37000614,3,13
1538	3	monster37000613,3,20,monster37000615,3,20
1539	3	monster37000616,3,17,monster37000614,3,17
1540	3	monster37000615,3,15,monster37000613,3,18,monster37000663,3,1
1541	3	monster37000616,3,15,monster37000614,3,18,monster37000662,3,1
1542	3	monster37000615,3,21,monster37000613,3,21
1543	3	monster37000616,3,26
1544	3	monster37000613,3,16,monster37000666,3,1
1545	3	monster37000616,3,23,monster37000614,3,23
1546	3	monster37000615,3,25,monster37000613,3,17
1547	3	monster37000616,3,18,monster37000614,3,16
1548	3	monster37000617,3,20,monster37000619,3,20
1549	3	monster37000618,3,17,monster37000620,3,17
1550	3	monster37000617,3,15,monster37000619,3,18,monster37000663,3,1
1551	3	monster37000618,3,15,monster37000620,3,18,monster37000662,3,1
1552	3	monster37000617,3,21,monster37000619,3,21
1553	3	monster37000618,3,26
1554	3	monster37000619,3,16,monster37000666,3,1
1555	3	monster37000618,3,23,monster37000620,3,23
1556	3	monster37000617,3,25,monster37000619,3,17
1557	3	monster37000618,3,18,monster37000620,3,16
1558	3	monster37000624,3,21,monster37000622,3,21
1559	3	monster37000623,3,26
1560	3	monster37000622,3,16,monster37000666,3,1
1561	3	monster37000623,3,23,monster37000621,3,23
1562	3	monster37000624,3,25,monster37000622,3,18
1563	3	monster37000623,3,18,monster37000621,3,16
1564	3	monster37000622,3,28,monster37000624,3,28
1565	3	monster37000621,3,30,monster37000623,3,27
1566	3	monster37000622,3,30,monster37000624,3,37
1567	3	monster37000621,3,34,monster37000623,3,34
1568	3	monster37000622,3,31,monster37000624,3,40
1569	3	monster37000623,3,39,monster37000621,3,36
1570	1	1,76
1571	3	monster37100024,3,1
1572	3	monster37100025,3,1
1573	3	monster37100026,3,1
1574	3	monster37100036,3,1
1575	3	monster37100037,3,1
1576	3	monster37100038,3,1
1577	3	monster37100048,3,1
1578	3	monster37100049,3,1
1579	3	monster37100050,3,1
1580	3	monster37100060,3,1
1581	3	monster37100061,3,1
1582	3	monster37100062,3,1
1583	3	monster37100080,3,1
1584	3	monster37100081,3,1
1585	3	monster37100072,3,1
1586	3	monster37100073,3,1
1590	3	monster37200022,3,1
1591	3	monster37200495,3,4
1592	3	monster19130112,3,1
1593	3	monster37200450,3,1
1594	3	monster37200452,3,1
1595	3	monster37200454,3,1
1596	3	monster37200457,3,1
1597	3	monster37200297,3,1
1598	3	monster37200298,3,1
1599	3	monster37200295,3,1
1600	3	monster37200296,3,1
1601	3	monster37200490,3,7
1602	3	monster37200492,3,4,monster37200491,3,7
1603	3	monster37200583,3,1,monster37200584,3,1
1604	3	monster37200460,3,1
1606	3	monster37200466,3,1
1607	3	monster37200461,3,1
1608	3	monster37200462,3,1
1609	3	monster37200583,3,1,monster37200464,3,1
1610	3	monster37200466,3,1
