场景ID	场景类型	是否可发送组队邀请	场景类型	副本类型	小地图倍数	小地图左右偏移	小地图上下偏移	开启等级	能否使用坐骑	区域组	地图名字	最小等级	最大等级	每条线最大人数限制	背景音	探索的奖励	场景描述	副本初始任务	摄像机设置2.5D	摄像机设置3D	最长挑战时间	场景名字显示	主界面显示的活动按钮	开启场景任务	是否可以托管	评分限制	是否自动追踪任务	视野同步距离	是否回归默认镜头	场景中心点	是否有白天黑夜	小岛场景亮度设置	是否允许星之子觉醒	是否允许召唤使者	是否允许召唤元素灵	场景复活时间
1338	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1338	20	109	5	5			540380	1	2	240	2.000000	0	0	1	0		0	20		0	1	0	0	0	0
1339	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1339	20	109	5	5			540390	1	2	240	2.000000	0	0	1	0		0	20		0	1	0	0	0	0
1340	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1340	20	109	5	5			540400	1	2	240	2.000000	0	0	1	0		0	20		0	1	0	0	0	0
1341	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1341	20	109	5	5			540410	1	2	240	2.000000	0	0	1	0		0	20		0	1	0	0	0	0
1342	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1342	20	109	5	5			540420	1	2	240	2.000000	0	0	1	0		0	20		0	1	0	0	0	0
1343	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1343	20	109	5	5			540430	1	2	240	2.000000	0	0	1	0		0	20		0	1	0	0	0	0
1344	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1344	20	109	5	5			540440	1	2	240	2.000000	0	0	1	0		0	20		0	1	0	0	0	0
1345	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1345	20	109	5	5			540450	1	2	240	2.000000	0	0	1	0		0	20		0	1	0	0	0	0
1346	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1346	20	109	5	5			540460	1	2	240	2.000000	0	0	1	0		0	20		0	1	0	0	0	0
1347	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1347	20	109	5	5			540470	1	2	240	2.000000	0	0	1	0		0	20		0	1	0	0	0	0
1348	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1348	20	109	5	5			540480	1	2	240	2.000000	0	0	1	0		0	20		0	1	0	0	0	0
1349	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1349	20	109	5	5			540490	1	2	240	2.000000	0	0	1	0		0	20		0	1	0	0	0	0
1350	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1350	20	109	5	5			540500	1	2	240	2.000000	0	0	1	0		0	20		0	1	0	0	0	0
1351	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1351	20	109	5	5			540510	1	2	240	2.000000	0	0	1	0		0	20		0	1	0	0	0	0
1352	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1352	20	109	5	5			540520	1	2	240	2.000000	0	0	1	0		0	20		0	1	0	0	0	0
1353	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1353	20	109	5	5			540530	1	2	240	2.000000	0	0	1	0		0	20		0	1	0	0	0	0
1354	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1354	20	109	5	5			540540	1	2	240	2.000000	0	0	1	0		0	20		0	1	0	0	0	0
1355	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1355	20	109	5	5			540550	1	2	240	2.000000	0	0	1	0		0	20		0	1	0	0	0	0
1401	TowerScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1401	20	109	5	5			550010	1	2	0	0.000000	0	0	1	0		20	0		0	1	0	0	0	0
1500	TrialScene	0	5	0	10.000000	5	5	-1	0	-1	MapName1500	20	109	5	5			560010	1	2	1800	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1501	SecretScene	0	6	0	2.100000	1	1	-1	0	-1	MapName1501	20	109	5	5			570010	1	2	1800	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1502	SecretScene	0	6	0	2.100000	1	1	-1	0	-1	MapName1502	20	109	5	5			570020	1	2	1800	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1503	SecretScene	0	6	0	3.500000	1	1	-1	0	-1	MapName1503	20	109	5	5			570030	1	2	1800	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1504	SecretScene	0	6	0	3.000000	1	1	-1	0	-1	MapName1504	20	109	5	5			570040	1	2	1800	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1505	SecretScene	0	6	0	3.000000	1	1	-1	0	-1	MapName1505	20	109	5	5			570050	1	2	1800	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1601	SecretScene	0	6	0	2.100000	1	1	-1	0	-1	MapName1501	20	109	5	5			570010	1	2	1800	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1602	SecretScene	0	6	0	2.100000	1	1	-1	0	-1	MapName1502	20	109	5	5			570020	1	2	1800	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1603	SecretScene	0	6	0	3.500000	1	1	-1	0	-1	MapName1503	20	109	5	5			570030	1	2	1800	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1604	SecretScene	0	6	0	3.000000	1	1	-1	0	-1	MapName1504	20	109	5	5			570040	1	2	1800	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1605	SecretScene	0	6	0	3.000000	1	1	-1	0	-1	MapName1505	20	109	5	5			570050	1	2	1800	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1701	SecretScene	0	6	0	2.100000	1	1	-1	0	-1	MapName1501	20	109	5	5			570010	1	2	1800	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1702	SecretScene	0	6	0	2.100000	1	1	-1	0	-1	MapName1502	20	109	5	5			570020	1	2	1800	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1703	SecretScene	0	6	0	3.500000	1	1	-1	0	-1	MapName1503	20	109	5	5			570030	1	2	1800	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1704	SecretScene	0	6	0	3.000000	1	1	-1	0	-1	MapName1504	20	109	5	5			570040	1	2	1800	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1705	SecretScene	0	6	0	3.000000	1	1	-1	0	-1	MapName1505	20	109	5	5			570050	1	2	1800	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1650	TeamScene	1	2	1	3.000000	0	0	-1	0	-1	MapName1650	20	109	5	38			0	1	2	0	2.000000	0	0	0	100	1	50	1		0	1	0	0	0	0
1651	MeleeSnowPackScene	1	32	0	3.000000	0	0	-1	0	-1	MapName1651	20	109	10	38			0	1	2	0	2.000000	0	0	0	0		50	1		0	1	0	0	0	0
1751	StarTracePersonalScene	0	29	0	5.000000	5	5	-1	0	-1	MapName1751	20	109	5	5			0	1	2	0	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1752	StarTracePersonalScene	0	29	0	5.000000	5	5	-1	0	-1	MapName1752	20	109	5	5			0	1	2	0	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1753	StarTracePersonalScene	0	29	0	5.000000	5	5	-1	0	-1	MapName1753	20	109	5	5			0	1	2	0	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1754	StarTracePersonalScene	0	29	0	5.000000	5	5	-1	0	-1	MapName1754	20	109	5	5			0	1	2	0	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1755	StarTracePersonalScene	0	29	0	5.000000	5	5	-1	0	-1	MapName1755	20	109	5	5			0	1	2	0	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1756	StarTracePersonalScene	0	29	0	5.000000	5	5	-1	0	-1	MapName1756	20	109	5	5			0	1	2	0	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1757	StarTracePersonalScene	0	29	0	5.000000	5	5	-1	0	-1	MapName1757	20	109	5	5			0	1	2	0	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1758	StarTracePersonalScene	0	29	0	5.000000	5	5	-1	0	-1	MapName1758	20	109	5	5			0	1	2	0	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1759	StarTracePersonalScene	0	29	0	5.000000	5	5	-1	0	-1	MapName1759	20	109	5	5			0	1	2	0	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1760	StarTracePersonalScene	0	29	0	5.000000	5	5	-1	0	-1	MapName1760	20	109	5	5			0	1	2	0	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1761	StarTracePersonalScene	0	29	0	5.000000	5	5	-1	0	-1	MapName1761	20	109	5	5			0	1	2	0	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1762	StarTracePersonalScene	0	29	0	5.000000	5	5	-1	0	-1	MapName1762	20	109	5	5			0	1	2	0	2.000000	0	0	1	0		20	0		0	1	0	0	0	0
1800	ChallengeScene	1	2	1	3.500000	-35	10	-1	0	-1	MapName1800	20	109	5	5			400014	1	2	0	0.000000	0	0	1	100	1	50	1		0	1	0	0	0	0
1801	ChallengeScene	1	2	1	3.000000	5	5	-1	0	-1	MapName1801	20	109	5	5			400024	1	2	0	0.000000	0	0	1	100	1	50	1		0	1	0	0	0	0
1802	ChallengeScene	1	2	1	3.000000	5	5	-1	0	-1	MapName1802	20	109	5	5			400034	1	2	0	0.000000	0	0	1	100	1	50	1		0	1	0	0	0	0
1851	ContractScene	1	2	1	3.000000	5	5	-1	0	-1	MapName1026	20	109	5	5			402010	1	2	0	2.000000	0	0	1	100	1	50	1		0	1	0	0	0	0
1852	ContractScene	1	2	2	2.500000	5	5	-1	0	-1	MapName1101	20	109	10	18			402020	1	2	0	2.000000	0	0	1	100	1	50	1		0	1	0	0	0	0
1853	ContractScene	1	2	1	1.600000	0	10	-1	0	-1	MapName1041	20	109	5	5			402040	1	2	0	2.000000	0	0	1	100	1	50	1	-18.2,-23.3	0	1	0	0	0	0
1854	ContractScene	1	18	2	9.000000	0	20	-1	0	-1	MapName1854	20	109	10	26			402030	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1855	ContractScene	1	2	1	1.900000	0	10	-1	0	-1	MapName1855	20	109	5	5			402050	1	2	0	2.000000	0	0	1	100	1	50	1	-0.125,17.375	0	1	0	0	0	0
1856	ContractScene	1	2	2	1.750000	5	5	-1	0	-1	MapName1856	20	109	10	36			402060	1	2	0	2.000000	0	0	1	100	1	50	1		1	1	0	0	0	0
1857	ContractScene	1	2	1	2.800000	15	-20	-1	0	-1	MapName1857	20	109	5	5			402070	1	2	0	2.000000	0	0	1	100	1	50	1	30.3,9	0	1	0	0	0	0
1858	ContractScene	1	2	2	1.750000	-30	5	-1	0	-1	MapName1858	20	109	10	36			402080	1	2	0	2.000000	0	0	1	100	1	50	1	-32,0	0	1	0	0	0	0
1859	ContractScene	1	2	1	3.500000	15	10	-1	0	-1	MapName1859	20	109	5	5			402090	1	2	0	2.000000	0	0	1	100	1	50	1		0	1	0	1	0	0
1860	ContractScene	1	2	1	1.600000	0	10	-1	0	-1	MapName1860	20	109	10	5			402100	1	2	0	2.000000	0	0	1	100	1	50	1	0,-22.9	0	1	0	1	0	0
1900	AbattoirScene	0	4	0	7.500000	1	1	-1	0	-1	MapName1900	16	109	-1	19			0	1	8	0	0.000000	0	0	1	0		50	1		0	1	0	0	1	0
1901	PVPScene	0	3	0	7.500000	1	1	-1	0	-1	MapName1901	32	109	-1	19			0	1	8	0	0.000000	0	0	1	0		50	1		0	1	1	1	0	0
1902	GuidePVPScene	0	10	0	7.500000	1	1	-1	0	-1	MapName1902	10	109	-1	19			0	1	8	0	0.000000	0	0	1	0		50	1		0	1	1	1	0	0
1903	PalaceWarScene	0	14	0	2.000000	0	0	-1	0	-1	MapName1903	40	109	-1	19			0	1	2	0	0.000000	0	0	1	0		150	1		0	1	1	1	0	0
1904	KingTowerScene	0	24	0	3.500000	0	0	-1	0	-1	MapName1904	40	109	-1	19			0	1	2	0	0.000000	0	0	1	0		100	1		0	1	1	1	0	0
1911	SoulStarScene	1	18	1	9.000000	-10	80	-1	0	-1	MapName1911	20	109	-1	26			580010	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1912	SoulStarScene	1	18	1	9.000000	-10	80	-1	0	-1	MapName1911	20	109	-1	26			580020	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1913	SoulStarScene	1	18	1	9.000000	-10	80	-1	0	-1	MapName1911	20	109	-1	26			580030	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1914	SoulStarScene	1	18	1	9.000000	-10	80	-1	0	-1	MapName1911	20	109	-1	26			580040	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1915	SoulStarScene	1	18	1	9.000000	-10	80	-1	0	-1	MapName1911	20	109	-1	26			580050	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1916	SoulStarScene	1	18	1	9.000000	-10	80	-1	0	-1	MapName1911	20	109	-1	26			580060	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1917	SoulStarScene	1	18	1	10.000000	0	15	-1	0	-1	MapName1912	20	109	-1	26			580070	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1918	SoulStarScene	1	18	1	10.000000	0	15	-1	0	-1	MapName1912	20	109	-1	26			580080	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1919	SoulStarScene	1	18	1	10.000000	0	15	-1	0	-1	MapName1912	20	109	-1	26			580090	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1920	SoulStarScene	1	18	1	10.000000	0	15	-1	0	-1	MapName1912	20	109	-1	26			580100	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1921	SoulStarScene	1	18	1	10.000000	0	15	-1	0	-1	MapName1912	20	109	-1	26			580110	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1922	SoulStarScene	1	18	1	10.000000	0	15	-1	0	-1	MapName1912	20	109	-1	26			580120	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1923	SoulStarScene	1	18	1	9.000000	0	20	-1	0	-1	MapName1913	20	109	-1	26			580130	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1924	SoulStarScene	1	18	1	9.000000	0	20	-1	0	-1	MapName1913	20	109	-1	26			580140	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1925	SoulStarScene	1	18	1	9.000000	0	20	-1	0	-1	MapName1913	20	109	-1	26			580150	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1926	SoulStarScene	1	18	1	9.000000	0	20	-1	0	-1	MapName1913	20	109	-1	26			580160	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1927	SoulStarScene	1	18	1	9.000000	0	20	-1	0	-1	MapName1913	20	109	-1	26			580170	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1928	SoulStarScene	1	18	1	9.000000	0	20	-1	0	-1	MapName1913	20	109	-1	26			580180	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1929	SoulStarScene	1	18	1	9.000000	0	0	-1	0	-1	MapName1914	20	109	-1	26			580190	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1930	SoulStarScene	1	18	1	9.000000	0	0	-1	0	-1	MapName1914	20	109	-1	26			580200	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1931	SoulStarScene	1	18	1	9.000000	0	0	-1	0	-1	MapName1914	20	109	-1	26			580210	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1932	SoulStarScene	1	18	1	9.000000	0	0	-1	0	-1	MapName1914	20	109	-1	26			580220	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1933	SoulStarScene	1	18	1	9.000000	0	0	-1	0	-1	MapName1914	20	109	-1	26			580230	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1934	SoulStarScene	1	18	1	9.000000	0	0	-1	0	-1	MapName1914	20	109	-1	26			580240	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1935	SoulStarScene	1	18	1	9.000000	0	0	-1	0	-1	MapName1915	20	109	-1	26			580250	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1936	SoulStarScene	1	18	1	9.000000	0	0	-1	0	-1	MapName1915	20	109	-1	26			580260	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1937	SoulStarScene	1	18	1	9.000000	0	0	-1	0	-1	MapName1915	20	109	-1	26			580270	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1938	SoulStarScene	1	18	1	9.000000	0	0	-1	0	-1	MapName1915	20	109	-1	26			580280	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1939	SoulStarScene	1	18	1	9.000000	0	0	-1	0	-1	MapName1915	20	109	-1	26			580290	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1940	SoulStarScene	1	18	1	9.000000	0	0	-1	0	-1	MapName1915	20	109	-1	26			580300	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1941	SoulStarScene	1	18	1	10.000000	0	15	-1	0	-1	MapName1916	20	109	-1	26			580310	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1942	SoulStarScene	1	18	1	10.000000	0	15	-1	0	-1	MapName1916	20	109	-1	26			580320	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1943	SoulStarScene	1	18	1	10.000000	0	15	-1	0	-1	MapName1916	20	109	-1	26			580330	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1944	SoulStarScene	1	18	1	10.000000	0	15	-1	0	-1	MapName1916	20	109	-1	26			580340	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1945	SoulStarScene	1	18	1	10.000000	0	15	-1	0	-1	MapName1916	20	109	-1	26			580350	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1946	SoulStarScene	1	18	1	10.000000	0	15	-1	0	-1	MapName1916	20	109	-1	26			580360	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1947	SoulStarScene	1	18	1	9.000000	-10	80	-1	0	-1	MapName1917	20	109	-1	26			580370	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1948	SoulStarScene	1	18	1	9.000000	-10	80	-1	0	-1	MapName1917	20	109	-1	26			580380	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1949	SoulStarScene	1	18	1	9.000000	-10	80	-1	0	-1	MapName1917	20	109	-1	26			580390	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1950	SoulStarScene	1	18	1	9.000000	-10	80	-1	0	-1	MapName1917	20	109	-1	26			580400	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1951	SoulStarScene	1	18	1	9.000000	-10	80	-1	0	-1	MapName1917	20	109	-1	26			580410	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1952	SoulStarScene	1	18	1	9.000000	-10	80	-1	0	-1	MapName1917	20	109	-1	26			580420	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1953	SoulStarScene	1	18	1	9.000000	0	0	-1	0	-1	MapName1918	20	109	-1	26			580430	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1954	SoulStarScene	1	18	1	9.000000	0	0	-1	0	-1	MapName1918	20	109	-1	26			580440	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1955	SoulStarScene	1	18	1	9.000000	0	0	-1	0	-1	MapName1918	20	109	-1	26			580450	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1956	SoulStarScene	1	18	1	9.000000	0	0	-1	0	-1	MapName1918	20	109	-1	26			580460	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1957	SoulStarScene	1	18	1	9.000000	0	0	-1	0	-1	MapName1918	20	109	-1	26			580470	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1958	SoulStarScene	1	18	1	9.000000	0	0	-1	0	-1	MapName1918	20	109	-1	26			580480	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
1965	KeyPointScene	0	55	0	2.500000	1	1	-1	0	-1	MapName1965	32	109	-1	19			0	1	8	0	0.000000	0	0	1	0		50	1		0	1	1	1	0	10
99	FieldScene	0	0	0	3.850000	-20	40	-1	0	-1	MapName99	20	109	100	3			0	1	2	0	0.000000	0	0	1	0		20	0		0	1	1	1	0	0
97	FieldScene	0	0	0	3.850000	-20	40	-1	0	-1	MapName97	20	109	100	3			0	1	2	0	0.000000	0	0	1	0		20	0		0	1	1	1	0	0
96	FieldScene	0	0	0	3.850000	-20	40	-1	1	-1	MapName96	20	109	100	3			0	1	2	0	0.000000	0	0	1	0		20	0		1	1	1	1	0	0
95	FieldScene	0	0	0	3.850000	-20	40	-1	0	-1	MapName95	20	109	100	3			0	1	2	0	0.000000	0	0	1	0		20	0		0	1	1	1	0	0
94	FieldScene	0	0	0	3.850000	-20	40	-1	0	-1	MapName94	20	109	100	3			0	1	2	0	0.000000	0	0	1	0		20	0		0	1	1	1	0	0
93	FieldScene	0	0	0	3.850000	-20	40	-1	0	-1	MapName93	20	109	100	3			0	1	2	0	0.000000	0	0	1	0		20	0		0	1	1	1	0	0
92	FieldScene	0	0	0	2.000000	1	1	-1	0	-1	MapName92	1	109	100	30			0	1	2	0	0.000000	0	0	1	0		30	0		0	1	1	1	0	0
91	FieldScene	0	0	0	2.000000	1	1	-1	0	-1	MapName91	1	109	100	30			0	1	2	0	0.000000	0	0	1	0		30	0		0	1	1	1	0	0
10000	FieldScene		1	0	0.000000	0	0	-1	0	-1		0	0	0	11			0	1	2	0	0.000000		0	1	0		20	0		0	1	1	1	0	0
65	GuildLeagueWaitScene	1	20	0	8.000000	1	1	-1	0	-1	MapName65	1	109	-1	30			0	1	2	0	2.000000	0	0	1	0		30	0		0	1	0	0	0	0
1211	GuildLeagueMainScene	1	21	0	2.000000	1	1	-1	0	-1	MapName1211	1	109	-1	38			470010	1	2	0	2.000000	0	0	1	0		30	1		0	1	1	1	0	0
1212	GuildLeagueAssistAScene	1	22	0	2.000000	1	1	-1	0	-1	MapName1212	1	109	-1	38			470020	1	2	0	2.000000	0	0	1	0		30	1		0	1	1	1	0	0
1213	GuildLeagueAssistBScene	1	23	0	2.000000	1	1	-1	0	-1	MapName1213	1	109	-1	38			470030	1	2	0	2.000000	0	0	1	0		30	1		0	1	1	1	0	0
81	StarlightBattleWaitScene	0	36	0	8.000000	1	1	-1	0	-1	MapName81	1	109	-1	30			0	1	2	0	0.000000		0	1	0		30	0		0	1	0	0	0	0
1081	StarlightBattleFightScene	0	37	0	7.500000	1	1	-1	0	-1	MapName1081	1	109	-1	19			0	1	8	0	0.000000	0	0	1	0		50	1		0	1	1	1	0	0
1999	SubspaceBattleScene	1	39	1	9.000000	0	0	-1	0	-1	MapName2040	20	109	-1	26			555010	1	2	0	2.000000	0	0	1	0		50	1		0	1	0	0	0	0
50	MazePVEChallengeScene	1	41	0	2.500000	1	1	32	0	-1	MapName2041	39	109	100	5		SceneDes2041	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
51	MazePVEChallengeScene	1	41	0	2.500000	1	1	32	0	-1	MapName2042	39	109	100	5		SceneDes2042	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
52	MazePVEChallengeScene	1	41	0	2.500000	1	1	32	0	-1	MapName2043	39	109	100	5		SceneDes2043	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
53	HuntPVPChallengeScene	1	42	0	3.000000	20	30	1	0	-1	MapName3	39	109	100	5		SceneDes2045	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	1	1	0	0
54	HuntPVPChallengeScene	1	42	0	2.200000	10	30	1	0	-1	MapName4	39	109	100	5		SceneDes2046	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	1	1	0	0
55	HuntPVPChallengeScene	1	42	0	2.800000	1	20	1	0	-1	MapName5	39	109	100	5		SceneDes2047	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	1	1	0	0
56	HuntPVPChallengeScene	1	42	0	2.100000	1	1	32	0	-1	MapName6	39	109	100	5		SceneDes2048	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	1	1	0	0
57	HuntPVPChallengeScene	1	42	0	2.400000	1	1	32	0	-1	MapName1	39	109	100	5		SceneDes2049	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	1	1	0	0
1606	SingleHeroEpicScene	1	38	1	9.000000	0	0	-1	0	-1	ExecuteTaskName560100	20	109	-1	26			560100	1	2	0	2.000000	0	0	1	0		50	0		0	1	0	0	0	0
1607	SingleHeroEpicScene	1	38	1	9.000000	0	0	-1	0	-1	ExecuteTaskName560100	20	109	-1	26			560101	1	2	0	2.000000	0	0	1	0		50	0		0	1	0	0	0	0
1608	SingleHeroEpicScene	1	38	1	9.000000	0	0	-1	0	-1	ExecuteTaskName560100	20	109	-1	26			560102	1	2	0	2.000000	0	0	1	0		50	0		0	1	0	0	0	0
1609	SingleHeroEpicScene	1	38	1	9.000000	0	0	-1	0	-1	ExecuteTaskName560100	20	109	-1	26			560103	1	2	0	2.000000	0	0	1	0		50	0		0	1	0	0	0	0
1610	SingleHeroEpicScene	1	38	1	9.000000	0	0	-1	0	-1	ExecuteTaskName560100	20	109	-1	26			560104	1	2	0	2.000000	0	0	1	0		50	0		0	1	0	0	0	0
1611	SingleHeroEpicScene	1	38	1	9.000000	0	0	-1	0	-1	ExecuteTaskName560100	20	109	-1	26			560105	1	2	0	2.000000	0	0	1	0		50	0		0	1	0	0	0	0
1612	SingleHeroEpicScene	1	38	1	9.000000	0	0	-1	0	-1	ExecuteTaskName560100	20	109	-1	26			560106	1	2	0	2.000000	0	0	1	0		50	0		0	1	0	0	0	0
1613	SingleHeroEpicScene	1	38	1	9.000000	0	0	-1	0	-1	ExecuteTaskName560100	20	109	-1	26			560107	1	2	0	2.000000	0	0	1	0		50	0		0	1	0	0	0	0
1614	SingleHeroEpicScene	1	38	1	9.000000	0	0	-1	0	-1	ExecuteTaskName560100	20	109	-1	26			560108	1	2	0	2.000000	0	0	1	0		50	0		0	1	0	0	0	0
1615	SingleHeroEpicScene	1	38	1	9.000000	0	0	-1	0	-1	ExecuteTaskName560100	20	109	-1	26			560109	1	2	0	2.000000	0	0	1	0		50	0		0	1	0	0	0	0
1616	SingleHeroEpicScene	1	38	1	9.000000	0	0	-1	0	-1	ExecuteTaskName560100	20	109	-1	26			560110	1	2	0	2.000000	0	0	1	0		50	0		0	1	0	0	0	0
1617	SingleHeroEpicScene	1	38	1	9.000000	0	0	-1	0	-1	ExecuteTaskName560100	20	109	-1	26			560111	1	2	0	2.000000	0	0	1	0		50	0		0	1	0	0	0	0
1618	SingleHeroEpicScene	1	38	1	9.000000	0	0	-1	0	-1	ExecuteTaskName560100	20	109	-1	26			560112	1	2	0	2.000000	0	0	1	0		50	0		0	1	0	0	0	0
1619	SingleHeroEpicScene	1	38	1	9.000000	0	0	-1	0	-1	ExecuteTaskName560100	20	109	-1	26			560113	1	2	0	2.000000	0	0	1	0		50	0		0	1	0	0	0	0
1620	SingleHeroEpicScene	1	38	1	9.000000	0	0	-1	0	-1	ExecuteTaskName560100	20	109	-1	26			560114	1	2	0	2.000000	0	0	1	0		50	0		0	1	0	0	0	0
