流水	属性库id	共鸣属性id
1661	433242	10927
1662	433242	10928
1663	433242	10929
1664	433242	10930
1665	433242	10931
1666	433242	10932
1667	433242	10933
1668	433243	10934
1669	433243	10935
1670	433244	10936
1671	433244	10937
1672	433245	10938
1673	433245	10939
1674	433245	10940
1675	433245	10941
1676	433245	10942
1677	433246	10943
1678	433246	10944
1679	433247	10945
1680	433247	10946
1681	433248	10947
1682	433248	10948
1683	433249	10949
1684	433249	10950
1685	433249	10951
1686	433249	10952
1687	433249	10953
1688	433250	10954
1689	433250	10955
1690	431251	10956
1691	431251	10957
1692	431252	10958
1693	431252	10959
1694	431253	10960
1695	431253	10961
1696	431253	10962
1697	431253	10963
1698	431253	10964
1699	431254	10965
1700	431254	10966
1701	431255	10967
1702	431255	10968
1703	431256	10969
1704	431257	10970
1705	431258	10971
1706	431259	10972
1707	431260	10973
1708	431260	10974
1709	431261	10975
1710	431261	10976
1711	431262	10977
1712	431262	10978
1713	431262	10979
1714	431262	10980
1715	431262	10981
1716	431263	10982
1717	431263	10983
1718	431264	10982
1719	431264	10983
1720	431265	10984
1721	431265	10985
1722	431266	10986
1723	431266	10987
1724	431267	10988
1725	431267	10989
1726	431267	10990
1727	431267	10991
1728	431267	10992
1729	431268	10993
1730	431268	10994
1731	431269	10993
1732	431269	10994
1733	431270	10995
1734	431270	10996
1735	431271	10997
1736	431271	10998
1737	431272	10999
1738	431272	11000
1739	431272	11001
1740	431272	11002
1741	431272	11003
1742	431273	11004
1743	431273	11005
1744	431274	11004
1745	431274	11005
1746	431275	11006
1747	431275	11007
1748	431276	11008
1749	431276	11009
1750	431277	11010
1751	431277	11011
1752	431277	11012
1753	431277	11013
1754	431277	11014
1755	431278	11015
1756	431278	11016
1757	431279	11015
1758	431279	11016
1759	431280	43128001
1760	431280	43128002
1761	431281	43128101
1762	431281	43128102
1763	431282	43128201
1764	431282	43128202
1765	431282	43128203
1766	431282	43128204
1767	431282	43128205
1768	431283	43128301
1769	431283	43128302
1770	431284	43128401
1771	431284	43128402
1772	431285	43128501
1773	431285	43128502
1774	431285	43128503
1775	431285	43128504
1776	431285	43128505
1777	431285	43128506
1778	431285	43128507
1779	431286	43128601
1780	431286	43128602
1781	431287	43128701
1782	431287	43128702
1783	431288	43128801
1784	431288	43128802
1785	431288	43128803
1786	431288	43128804
1787	431288	43128805
1788	431289	43128901
1789	431289	43128902
1790	431290	43129001
1791	431290	43129002
1792	431291	43129101
1793	431291	43129102
1794	431291	43129103
1795	431291	43129104
1796	431291	43129105
1797	431291	43129106
1798	431291	43129107
1799	431292	43129201
1800	431292	43129202
1801	431293	43129301
1802	431293	43129302
1803	431294	43129401
1804	431294	43129402
1805	431294	43129403
1806	431294	43129404
1807	431294	43129405
1808	431295	43129501
1809	431295	43129502
1810	431296	43129601
1811	431296	43129602
1812	431297	43129701
1813	431297	43129702
1814	431297	43129703
1815	431297	43129704
1816	431297	43129705
1817	431297	43129706
1818	431297	43129707
1819	431298	43129801
1820	431298	43129802
1821	431299	43129901
1822	431299	43129902
1823	431300	43130001
1824	431300	43130002
1825	431300	43130003
1826	431300	43130004
1827	431300	43130005
1828	431301	43130101
1829	431301	43130102
1830	431302	43130201
1831	431302	43130202
1832	431303	43130301
1833	431303	43130302
1834	431303	43130303
1835	431303	43130304
1836	431303	43130305
1837	431303	43130306
1838	431303	43130307
1839	431304	43130401
1840	431304	43130402
1841	431305	43130501
1842	431305	43130502
1843	431306	43130601
1844	431306	43130602
1845	431306	43130603
1846	431306	43130604
1847	431306	43130605
1848	431307	43130701
1849	431307	43130702
1850	431308	43130801
1851	431308	43130802
1852	431309	43130901
1853	431309	43130902
1854	431309	43130903
1855	431309	43130904
1856	431309	43130905
1857	431309	43130906
1858	431309	43130907
1859	431310	43131001
1860	431311	43131101
1861	431312	43131201
1862	431313	43131301
1863	431314	43131401
1864	431315	43131501
1865	431316	43131601
1866	431316	43131602
1867	431317	43131701
1868	431317	43131702
1869	431318	43131801
1870	431318	43131802
1871	431318	43131803
1872	431318	43131804
1873	431318	43131805
1874	431319	43131901
1875	431319	43131902
1876	431320	43132001
1877	431320	43132002
1878	431321	43132101
1879	431321	43132102
1880	431321	43132103
1881	431321	43132104
1882	431321	43132105
1883	431321	43132106
1884	431321	43132107
1885	431322	43132201
1886	431322	43132202
1887	431323	43132301
1888	431323	43132302
1889	431324	43132401
1890	431324	43132402
1891	431324	43132403
1892	431324	43132404
1893	431324	43132405
1894	431325	43132501
1895	431325	43132502
1896	431326	43132601
1897	431326	43132602
1898	431327	43132701
1899	431327	43132702
1900	431327	43132703
1901	431327	43132704
1902	431327	43132705
1903	431327	43132706
1904	431327	43132707
1905	431328	43132801
1906	431328	43132802
1907	431329	43132901
1908	431329	43132902
1909	431330	43133001
1910	431330	43133002
1911	431330	43133003
1912	431330	43133004
1913	431330	43133005
1914	431331	43133101
1915	431331	43133102
1916	431332	43133201
1917	431332	43133202
1918	431333	43133301
1919	431333	43133302
1920	431333	43133303
1921	431333	43133304
1922	431333	43133305
1923	431333	43133306
1924	431333	43133307
1925	431334	43133401
1926	431334	43133402
1927	431335	43133501
1928	431335	43133502
1929	431336	43133601
1930	431336	43133602
1931	431336	43133603
1932	431336	43133604
1933	431336	43133605
1934	431337	43133701
1935	431337	43133702
1936	431338	43133801
1937	431338	43133802
1938	431339	43133901
1939	431339	43133902
1940	431339	43133903
1941	431339	43133904
1942	431339	43133905
1943	431339	43133906
1944	431339	43133907
1945	431340	43134001
1946	431340	43134002
1947	431341	43134101
1948	431341	43134102
1949	431342	43134201
1950	431342	43134202
1951	431342	43134203
1952	431342	43134204
1953	431342	43134205
1954	431343	43134301
1955	431343	43134302
1956	431344	43134401
1957	431344	43134402
1958	431345	43134501
1959	431345	43134502
1960	431345	43134503
1961	431345	43134504
1962	431345	43134505
1963	431345	43134506
1964	431345	43134507
1965	431346	43134601
1966	431346	43134602
1967	431347	43134701
1968	431347	43134702
1969	431348	43134801
1970	431348	43134802
1971	431348	43134803
1972	431348	43134804
1973	431348	43134805
1974	431349	43134901
1975	431349	43134902
1976	431350	43135001
1977	431350	43135002
1978	431351	43135101
1979	431351	43135102
1980	431351	43135103
1981	431351	43135104
1982	431351	43135105
1983	431351	43135106
1984	431351	43135107
1985	431352	43135201
1986	431352	43135202
1987	431353	43135301
1988	431353	43135302
1989	431354	43135401
1990	431354	43135402
1991	431354	43135403
1992	431354	43135404
1993	431354	43135405
1994	431355	43135501
1995	431355	43135502
1996	431356	43135601
1997	431356	43135602
1998	431357	43135701
1999	431357	43135702
2000	431357	43135703
2001	431357	43135704
2002	431357	43135705
2003	431357	43135706
2004	431357	43135707
2005	431358	43135801
2006	431358	43135802
2007	431359	43135901
2008	431359	43135902
2009	431360	43136001
2010	431360	43136002
2011	431360	43136003
2012	431360	43136004
2013	431360	43136005
2014	431361	43136101
2015	431361	43136102
2016	431362	43136201
2017	431362	43136202
2018	431363	43136301
2019	431363	43136302
2020	431363	43136303
2021	431363	43136304
2022	431363	43136305
2023	431363	43136306
2024	431363	43136307
2025	431364	43136401
2026	431364	43136402
2027	431365	43136501
2028	431365	43136502
2029	431366	43136601
2030	431366	43136602
2031	431366	43136603
2032	431366	43136604
2033	431366	43136605
2034	431367	43136701
2035	431367	43136702
2036	431368	43136801
2037	431368	43136802
2038	431369	43136901
2039	431369	43136902
2040	431369	43136903
2041	431369	43136904
2042	431369	43136905
2043	431369	43136906
2044	431369	43136907
2045	431370	43137001
2046	431371	43137101
2047	431372	43137201
2048	431373	43137301
2049	431374	43137401
2050	431375	43137501
2051	431376	43137601
2052	431376	43137602
2053	431377	43137701
2054	431377	43137702
2055	431378	43137801
2056	431378	43137802
2057	431378	43137803
2058	431378	43137804
2059	431378	43137805
2060	431379	43137901
2061	431379	43137902
2062	431380	43138001
2063	431380	43138002
2064	431381	43138101
2065	431381	43138102
2066	431381	43138103
2067	431381	43138104
2068	431381	43138105
2069	431381	43138106
2070	431381	43138107
2071	431382	43138201
2072	431382	43138202
2073	431383	43138301
2074	431383	43138302
2075	431384	43138401
2076	431384	43138402
2077	431384	43138403
2078	431384	43138404
2079	431384	43138405
2080	431385	43138501
2081	431385	43138502
2082	431385	43138503
2083	431385	43138504
2084	431385	43138505
2085	431385	43138506
2086	431385	43138507
2087	431385	43138508
2088	431385	43138509
2089	431385	43138510
2090	431385	43138511
2091	431385	43138512
2092	431385	43138513
2093	431385	43138514
2094	431385	43138515
2095	431385	43138516
2096	431385	43138517
2097	431385	43138518
2098	431385	43138519
2099	431385	43138520
2100	431385	43138521
2101	431385	43138522
2102	431385	43138523
2103	431385	43138524
2104	431385	43138525
2105	431385	43138526
2106	431385	43138527
2107	431385	43138528
2108	431385	43138529
2109	431385	43138530
2110	431385	43138531
2111	431385	43138532
2112	431385	43138533
2113	431385	43138534
2114	431385	43138535
2115	431385	43138536
2116	431385	43138537
2117	431385	43138538
2118	431385	43138539
2119	431385	43138540
2120	431385	43138541
2121	431385	43138542
2122	431385	43138543
2123	431385	43138544
2124	431385	43138545
2125	431385	43138546
2126	431385	43138547
2127	431385	43138548
2128	431385	43138549
2129	431385	43138550
2130	431385	43138551
2131	431385	43138552
2132	431385	43138553
2133	431385	43138554
2134	431385	43138555
2135	431385	43138556
2136	431385	43138557
2137	431385	43138558
2138	431385	43138559
2139	431385	43138560
2140	431385	43138561
2141	431385	43138562
2142	431386	43138601
2143	431386	43138602
2144	431386	43138603
2145	431386	43138604
2146	431386	43138605
2147	431386	43138606
2148	431386	43138607
2149	431386	43138608
2150	431386	43138609
2151	431386	43138610
2152	431386	43138611
2153	431386	43138612
2154	431386	43138613
2155	431386	43138614
2156	431386	43138615
2157	431386	43138616
2158	431386	43138617
2159	431386	43138618
2160	431386	43138619
2161	431386	43138620
2162	431386	43138621
2163	431386	43138622
2164	431386	43138623
2165	431386	43138624
2166	431386	43138625
2167	431386	43138626
2168	431386	43138627
2169	431386	43138628
2170	431386	43138629
2171	431386	43138630
2172	431386	43138631
2173	431386	43138632
2174	431386	43138633
2175	431386	43138634
2176	431386	43138635
2177	431386	43138636
2178	431386	43138637
2179	431386	43138638
2180	431386	43138639
2181	431386	43138640
2182	431386	43138641
2183	431386	43138642
2184	431386	43138643
2185	431386	43138644
2186	431386	43138645
2187	431386	43138646
2188	431386	43138647
2189	431386	43138648
2190	431386	43138649
2191	431386	43138650
2192	431386	43138651
2193	431386	43138652
2194	431386	43138653
2195	431386	43138654
2196	431386	43138655
2197	431386	43138656
2198	431386	43138657
2199	431386	43138658
2200	431386	43138659
2201	431386	43138660
2202	431386	43138661
2203	431386	43138662
2204	431387	43138701
2205	431387	43138702
2206	431387	43138703
2207	431387	43138704
2208	431387	43138705
2209	431387	43138706
2210	431387	43138707
2211	431387	43138708
2212	431387	43138709
2213	431387	43138710
2214	431387	43138711
2215	431387	43138712
2216	431387	43138713
2217	431387	43138714
2218	431387	43138715
2219	431387	43138716
2220	431387	43138717
2221	431387	43138718
2222	431387	43138719
2223	431387	43138720
2224	431387	43138721
2225	431387	43138722
2226	431387	43138723
2227	431387	43138724
2228	431387	43138725
2229	431387	43138726
2230	431387	43138727
2231	431387	43138728
2232	431387	43138729
2233	431387	43138730
2234	431387	43138731
2235	431387	43138732
2236	431387	43138733
2237	431387	43138734
2238	431387	43138735
2239	431387	43138736
2240	431387	43138737
2241	431387	43138738
2242	431387	43138739
2243	431387	43138740
2244	431387	43138741
2245	431387	43138742
2246	431387	43138743
2247	431387	43138744
2248	431387	43138745
2249	431387	43138746
2250	431387	43138747
2251	431387	43138748
2252	431387	43138749
2253	431387	43138750
2254	431387	43138751
2255	431387	43138752
2256	431387	43138753
2257	431387	43138754
2258	431387	43138755
2259	431387	43138756
2260	431387	43138757
2261	431387	43138758
2262	431387	43138759
2263	431387	43138760
2264	431387	43138761
2265	431387	43138762
2266	431388	43138801
2267	431388	43138802
2268	431389	43138901
2269	431389	43138902
2270	431390	43139001
2271	431390	43139002
2272	431390	43139003
2273	431390	43139004
2274	431390	43139005
2275	431391	43139101
2276	431391	43139102
2277	431392	43139201
2278	431392	43139202
2279	431393	43139301
2280	431393	43139302
2281	431393	43139303
2282	431393	43139304
2283	431393	43139305
2284	431393	43139306
2285	431393	43139307
2286	431394	43139401
2287	431394	43139402
2288	431395	43139501
2289	431395	43139502
2290	431396	43139601
2291	431396	43139602
2292	431396	43139603
2293	431396	43139604
2294	431396	43139605
2295	431397	43139701
2296	431397	43139702
2297	431397	43139703
2298	431397	43139704
2299	431397	43139705
2300	431397	43139706
2301	431398	43139801
2302	431398	43139802
2303	431398	43139803
2304	431398	43139804
2305	431398	43139805
2306	431398	43139806
2307	431399	43139901
2308	431399	43139902
2309	431399	43139903
2310	431399	43139904
2311	431399	43139905
2312	431399	43139906
2313	431399	43139907
2314	431400	43140001
2315	431400	43140002
2316	431401	43140101
2317	431401	43140102
2318	431402	43140201
2319	431402	43140202
2320	431402	43140203
2321	431402	43140204
2322	431402	43140205
2323	431403	43140301
2324	431403	43140302
2325	431404	43140401
2326	431404	43140402
2327	431405	43140501
2328	431405	43140502
2329	431405	43140503
2330	431405	43140504
2331	431405	43140505
2332	431405	43140506
2333	431405	43140507
2334	431406	43140601
2335	431406	43140602
2336	431407	43140701
2337	431407	43140702
2338	431408	43140801
2339	431408	43140802
2340	431408	43140803
2341	431408	43140804
2342	431408	43140805
2343	431409	43140901
2344	431409	43140902
2345	431410	43141001
2346	431410	43141002
2347	431411	43141101
2348	431411	43141102
2349	431411	43141103
2350	431411	43141104
2351	431411	43141105
2352	431411	43141106
2353	431411	43141107
2354	431412	43141201
2355	431412	43141202
2356	431413	43141301
2357	431413	43141302
2358	431414	43141401
2359	431414	43141402
2360	431414	43141403
2361	431414	43141404
2362	431414	43141405
2363	431415	43141501
2364	431415	43141502
2365	431416	43141601
2366	431416	43141602
2367	431417	43141701
2368	431417	43141702
2369	431417	43141703
2370	431417	43141704
2371	431417	43141705
2372	431417	43141706
2373	431417	43141707
2374	431418	43141801
2375	431418	43141802
2376	431419	43141901
2377	431419	43141902
2378	431420	43142001
2379	431420	43142002
2380	431420	43142003
2381	431420	43142004
2382	431420	43142005
2383	431421	43142101
2384	431421	43142102
2385	431422	43142201
2386	431422	43142202
2387	431423	43142301
2388	431423	43142302
2389	431423	43142303
2390	431423	43142304
2391	431423	43142305
2392	431423	43142306
2393	431423	43142307
2394	431424	43142401
2395	431424	43142402
2396	431425	43142501
2397	431425	43142502
2398	431426	43142601
2399	431426	43142602
2400	431426	43142603
2401	431426	43142604
2402	431426	43142605
2403	431427	43142701
2404	431427	43142702
2405	431428	43142801
2406	431428	43142802
2407	431429	43142901
2408	431429	43142902
2409	431429	43142903
2410	431429	43142904
2411	431429	43142905
2412	431429	43142906
2413	431429	43142907
2414	431430	43143001
2415	431430	43143002
2416	431431	43143101
2417	431431	43143102
2418	431432	43143201
2419	431432	43143202
2420	431432	43143203
2421	431432	43143204
2422	431432	43143205
2423	431433	43143301
2424	431433	43143302
2425	431434	43143401
2426	431434	43143402
2427	431435	43143501
2428	431435	43143502
2429	431435	43143503
2430	431435	43143504
2431	431435	43143505
2432	431435	43143506
2433	431435	43143507
2434	431436	43143601
2435	431436	43143602
2436	431437	43143701
2437	431437	43143702
2438	431438	43143801
2439	431438	43143802
2440	431438	43143803
2441	431438	43143804
2442	431438	43143805
2443	431439	43143901
2444	431439	43143902
2445	431440	43144001
2446	431440	43144002
2447	431441	43144101
2448	431441	43144102
2449	431441	43144103
2450	431441	43144104
2451	431441	43144105
2452	431441	43144106
2453	431441	43144107
2454	431442	43144201
2455	431443	43144301
2456	431444	43144401
2457	431445	43144501
2458	431446	43144601
2459	431447	43144701
2460	431448	43144801
2461	431448	43144802
2462	431449	43144901
2463	431449	43144902
2464	431450	43145001
2465	431450	43145002
2466	431450	43145003
2467	431450	43145004
2468	431450	43145005
2469	431451	43145101
2470	431451	43145102
2471	431452	43145201
2472	431452	43145202
2473	431453	43145301
2474	431453	43145302
2475	431453	43145303
2476	431453	43145304
2477	431453	43145305
2478	431453	43145306
2479	431453	43145307
2480	431454	43145401
2481	431454	43145402
2482	431455	43145501
2483	431455	43145502
2484	431456	43145601
2485	431456	43145602
2486	431456	43145603
2487	431456	43145604
2488	431456	43145605
2489	431457	43145701
2490	431457	43145702
2491	431458	43145801
2492	431458	43145802
2493	431459	43145901
2494	431459	43145902
2495	431459	43145903
2496	431459	43145904
2497	431459	43145905
2498	431459	43145906
2499	431459	43145907
2500	431460	43146001
2501	431460	43146002
2502	431461	43146101
2503	431461	43146102
2504	431462	43146201
2505	431462	43146202
2506	431462	43146203
2507	431462	43146204
2508	431462	43146205
2509	431463	43146301
2510	431463	43146302
2511	431464	43146401
2512	431464	43146402
2513	431465	43146501
2514	431465	43146502
2515	431465	43146503
2516	431465	43146504
2517	431465	43146505
2518	431465	43146506
2519	431465	43146507
2520	431466	43146601
2521	431466	43146602
2522	431467	43146701
2523	431467	43146702
2524	431468	43146801
2525	431468	43146802
2526	431468	43146803
2527	431468	43146804
2528	431468	43146805
2529	431469	43146901
2530	431469	43146902
2531	431470	43147001
2532	431470	43147002
2533	431471	43147101
2534	431471	43147102
2535	431471	43147103
2536	431471	43147104
2537	431471	43147105
2538	431471	43147106
2539	431471	43147107
2540	431472	43147201
2541	431472	43147202
2542	431473	43147301
2543	431473	43147302
2544	431474	43147401
2545	431474	43147402
2546	431474	43147403
2547	431474	43147404
2548	431474	43147405
2549	431475	43147501
2550	431475	43147502
2551	431476	43147601
2552	431476	43147602
2553	431477	43147701
2554	431477	43147702
2555	431477	43147703
2556	431477	43147704
2557	431477	43147705
2558	431477	43147706
2559	431477	43147707
2560	431478	43147801
2561	431478	43147802
2562	431479	43147901
2563	431479	43147902
2564	431480	43148001
2565	431480	43148002
2566	431480	43148003
2567	431480	43148004
2568	431480	43148005
2569	431481	43148101
2570	431481	43148102
2571	431482	43148201
2572	431482	43148202
2573	431483	43148301
2574	431483	43148302
2575	431483	43148303
2576	431483	43148304
2577	431483	43148305
2578	431483	43148306
2579	431483	43148307
2580	431484	43148401
2581	431484	43148402
2582	431485	43148501
2583	431485	43148502
2584	431486	43148601
2585	431486	43148602
2586	431486	43148603
2587	431486	43148604
2588	431486	43148605
2589	431487	43148701
2590	431487	43148702
2591	431488	43148801
2592	431488	43148802
2593	431489	43148901
2594	431489	43148902
2595	431490	43149001
2596	431490	43149002
2597	431491	43149101
2598	431491	43149102
2599	431491	43149103
2600	431491	43149104
2601	431491	43149105
2602	431492	43149201
2603	431492	43149202
2604	431493	43149301
2605	431493	43149302
2606	431494	43149401
2607	431494	43149402
2608	431494	43149403
2609	431494	43149404
2610	431494	43149405
2611	431494	43149406
2612	431494	43149407
2613	431501	43150101
2614	431501	43150102
2615	431502	43150201
2616	431502	43150202
2617	431503	43150301
2618	431503	43150302
2619	431503	43150303
2620	431503	43150304
2621	431503	43150305
2622	431504	43150401
2623	431504	43150402
2624	431505	43150501
2625	431505	43150502
2626	431511	43151101
2627	431511	43151102
2628	431512	43151201
2629	431512	43151202
2630	431513	43151301
2631	431513	43151302
2632	431513	43151303
2633	431513	43151304
2634	431513	43151305
2635	431514	43151401
2636	431514	43151402
2637	431515	43151501
2638	431515	43151502
2639	431516	43151601
2640	431516	43151602
2641	431516	43151603
2642	431516	43151604
2643	431516	43151605
2644	431516	43151606
2645	431516	43151607
