ID	秘境场景ID	位置	播放背景音乐ID
1403	1401	45900	0
1404	1401	45950	0
1405	1401	46000	0
1406	1401	46050	0
1407	1401	46100	0
1408	1401	46150	0
1409	1401	46200	0
1410	1401	46250	0
1411	1401	46300	0
1412	1401	46350	0
1413	1401	46400	0
1414	1401	46450	0
1415	1401	46500	0
1416	1401	46550	0
1417	1401	46600	0
1418	1401	46650	0
1419	1401	46700	0
1420	1401	46750	0
1421	1401	46800	0
1422	1401	46850	0
1423	1401	46900	0
1424	1401	46950	0
1425	1401	47000	0
1426	1401	47050	0
1427	1401	47100	0
1428	1401	47150	0
1429	1401	47200	0
1430	1401	47250	0
1431	1401	47300	0
1432	1401	47350	0
1433	1401	47400	0
1434	1401	47450	0
1435	1401	47500	0
1436	1401	47550	0
1437	1401	47600	0
1438	1401	47650	0
1439	1401	47700	0
1440	1401	47750	0
1441	1401	47800	0
1442	1401	47850	0
1443	1401	47900	0
1444	1401	47950	0
1445	1401	48000	0
1446	1401	48050	0
1447	1401	48100	0
1448	1401	48150	0
1449	1401	48200	0
1450	1401	48250	0
1451	1401	48300	0
1452	1401	48350	0
1453	1401	48400	0
1454	1401	48450	0
1455	1401	48500	0
1456	1401	48550	0
1457	1401	48600	0
1458	1401	48650	0
1459	1401	48700	0
1460	1401	48750	0
1461	1401	48800	0
1462	1401	48850	0
1463	1401	48900	0
1464	1401	48950	0
1465	1401	49000	0
1466	1401	49050	0
1467	1401	49100	0
1468	1401	49150	0
1469	1401	49200	0
1470	1401	49250	0
1471	1401	49300	0
1472	1401	49350	0
1473	1401	49400	0
1474	1401	49450	0
1475	1401	49500	0
1476	1401	49550	0
1477	1401	49600	0
1478	1401	49650	0
1479	1401	49700	0
1480	1401	49750	0
1481	1401	49800	0
1482	1401	49850	0
1483	1401	49900	0
1484	1401	49950	0
1485	1401	49955	0
1486	1346	25	0
1487	1346	50	0
1488	1346	75	0
1489	1346	100	0
1490	1346	125	0
1491	1346	150	0
1492	1346	175	0
1493	1346	200	0
1494	1346	225	0
1495	1346	250	0
1496	1346	275	0
1497	1346	290	0
1498	1347	25	0
1499	1347	50	0
1500	1347	75	0
1501	1347	100	0
1502	1347	125	0
1503	1347	150	0
1504	1347	175	0
1505	1347	200	0
1506	1347	225	0
1507	1347	250	0
1508	1347	275	0
1509	1347	290	0
1510	1348	25	0
1511	1348	50	0
1512	1348	75	0
1513	1348	100	0
1514	1348	125	0
1515	1348	150	0
1516	1348	175	0
1517	1348	200	0
1518	1348	225	0
1519	1348	250	0
1520	1348	275	0
1521	1348	290	0
1522	1349	25	0
1523	1349	50	0
1524	1349	75	0
1525	1349	100	0
1526	1349	125	0
1527	1349	150	0
1528	1349	175	0
1529	1349	200	0
1530	1349	225	0
1531	1349	250	0
1532	1349	275	0
1533	1349	290	0
1534	1350	5	0
1535	1350	25	0
1536	1350	45	0
1537	1350	65	0
1538	1350	85	0
1539	1351	25	0
1540	1351	50	0
1541	1351	75	0
1542	1351	100	0
1543	1351	125	0
1544	1351	150	0
1545	1351	175	0
1546	1351	200	0
1547	1351	225	0
1548	1351	250	0
1549	1351	275	0
1550	1351	290	0
1551	1352	25	0
1552	1352	50	0
1553	1352	75	0
1554	1352	100	0
1555	1352	125	0
1556	1352	150	0
1557	1352	175	0
1558	1352	200	0
1559	1352	225	0
1560	1352	250	0
1561	1352	275	0
1562	1352	290	0
1563	1353	25	0
1564	1353	50	0
1565	1353	75	0
1566	1353	100	0
1567	1353	125	0
1568	1353	150	0
1569	1353	175	0
1570	1353	200	0
1571	1353	225	0
1572	1353	250	0
1573	1353	275	0
1574	1353	290	0
1575	1354	25	0
1576	1354	50	0
1577	1354	75	0
1578	1354	100	0
1579	1354	125	0
1580	1354	150	0
1581	1354	175	0
1582	1354	200	0
1583	1354	225	0
1584	1354	250	0
1585	1354	275	0
1586	1354	290	0
1587	1355	5	0
1588	1355	25	0
1589	1355	45	0
1590	1355	65	0
1591	1355	85	0
