序号	功能组	组内ID	名字	图标	等级下限	等级上限	评分列表	推荐评分	评分类型	跳转UILink	功能ID
200	33	2	GrowupGroupName33	e5001_portrait01	80	89	0;10000;20000;30000;40000;50000;72000	40000	33	LinkUI:EnvoyMainPanel	476
201	33	3	GrowupGroupName33	e5001_portrait01	90	999	0;25000;50000;75000;100000;125000;180000	100000	33	LinkUI:EnvoyMainPanel	476
202	34	1	GrowupGroupName34	ach7_divinestone	60	69	0;1250;2500;3750;5000;8000;10000	5000	34	LinkUI:BagPanel;openDivineStone	493
203	34	2	GrowupGroupName34	ach7_divinestone	70	79	0;3750;7500;11250;15000;24000;30000	15000	34	LinkUI:BagPanel;openDivineStone	493
204	34	3	GrowupGroupName34	ach7_divinestone	80	89	0;6250;12500;18750;25000;40000;50000	25000	34	LinkUI:BagPanel;openDivineStone	493
205	34	4	GrowupGroupName34	ach7_divinestone	90	99	0;8750;17500;26250;35000;56000;70000	35000	34	LinkUI:BagPanel;openDivineStone	493
206	34	5	GrowupGroupName34	ach7_divinestone	100	109	0;11250;22500;33750;45000;72000;90000	45000	34	LinkUI:BagPanel;openDivineStone	493
207	34	6	GrowupGroupName34	ach7_divinestone	110	999	0;13750;27500;41250;55000;88000;110000	55000	34	LinkUI:BagPanel;openDivineStone	493
208	35	1	GrowupGroupName35	stu003_portrait01	76	79	0;1080;2160;3240;4320;6048;7776	4320	35	LinkUI:ApprenticeMainPanel	499
209	35	2	GrowupGroupName35	stu003_portrait01	80	89	0;1919;3839;5759;7679;10750;13822	7679	35	LinkUI:ApprenticeMainPanel	499
210	35	3	GrowupGroupName35	stu003_portrait01	90	99	0;3098;6197;9295;12394;17351;22309	12394	35	LinkUI:ApprenticeMainPanel	499
211	35	4	GrowupGroupName35	stu003_portrait01	100	109	0;5011;10022;15033;20045;26058;36081	20045	35	LinkUI:ApprenticeMainPanel	499
212	35	5	GrowupGroupName35	stu003_portrait01	110	999	0;8885;17771;26657;35543;46205;63977	35543	35	LinkUI:ApprenticeMainPanel	499
213	36	1	GrowupGroupName36	stu003_portrait01	85	89	0;1919;3839;5759;7679;10750;13822	7679	36	LinkUI:ElementalSpiritMainPanel	520
214	36	2	GrowupGroupName36	stu003_portrait01	90	99	0;3098;6197;9295;12394;17351;22309	12394	36	LinkUI:ElementalSpiritMainPanel	520
215	36	3	GrowupGroupName36	stu003_portrait01	100	109	0;5011;10022;15033;20045;26058;36081	20045	36	LinkUI:ElementalSpiritMainPanel	520
216	36	4	GrowupGroupName36	stu003_portrait01	110	999	0;8885;17771;26657;35543;46205;63977	35543	36	LinkUI:ElementalSpiritMainPanel	520
