流水id	套装编号	套装类型	套装数量	属性值ID	战力类型	战力计算	提升技能	提升等级数量	BuffID	属性描述	需求进阶品阶数	进阶分组
597	40061448	2	3	401002	1	6		0			0	0
598	40071448	2	3	401002	1	6		0			0	0
599	40081448	2	3	401002	1	6		0			0	0
600	40011449	2	2	401004	1	6		0			0	0
601	40021449	2	2	401004	1	6		0			0	0
602	40031449	2	2	401004	1	6		0			0	0
603	40041449	2	2	401004	1	6		0			0	0
604	40051449	2	2	401004	1	6		0			0	0
605	40061449	2	2	401004	1	6		0			0	0
606	40071449	2	2	401004	1	6		0			0	0
607	40081449	2	2	401004	1	6		0			0	0
608	40011449	2	3	401005	1	6		0			0	0
609	40021449	2	3	401005	1	6		0			0	0
610	40031449	2	3	401005	1	6		0			0	0
611	40041449	2	3	401005	1	6		0			0	0
612	40051449	2	3	401005	1	6		0			0	0
613	40061449	2	3	401005	1	6		0			0	0
614	40071449	2	3	401005	1	6		0			0	0
615	40081449	2	3	401005	1	6		0			0	0
616	40011450	2	2	401001	1	6		0			0	0
617	40021450	2	2	401001	1	6		0			0	0
618	40031450	2	2	401001	1	6		0			0	0
619	40041450	2	2	401001	1	6		0			0	0
620	40051450	2	2	401001	1	6		0			0	0
621	40061450	2	2	401001	1	6		0			0	0
622	40071450	2	2	401001	1	6		0			0	0
623	40081450	2	2	401001	1	6		0			0	0
624	40011450	2	3	401002	1	6		0			0	0
625	40021450	2	3	401002	1	6		0			0	0
626	40031450	2	3	401002	1	6		0			0	0
627	40041450	2	3	401002	1	6		0			0	0
628	40051450	2	3	401002	1	6		0			0	0
629	40061450	2	3	401002	1	6		0			0	0
630	40071450	2	3	401002	1	6		0			0	0
631	40081450	2	3	401002	1	6		0			0	0
632	40011451	2	2	401001	1	6		0			0	0
633	40021451	2	2	401001	1	6		0			0	0
634	40031451	2	2	401001	1	6		0			0	0
635	40041451	2	2	401001	1	6		0			0	0
636	40051451	2	2	401001	1	6		0			0	0
637	40061451	2	2	401001	1	6		0			0	0
638	40071451	2	2	401001	1	6		0			0	0
639	40081451	2	2	401001	1	6		0			0	0
640	40011451	2	3	401002	1	6		0			0	0
641	40021451	2	3	401002	1	6		0			0	0
642	40031451	2	3	401002	1	6		0			0	0
643	40041451	2	3	401002	1	6		0			0	0
644	40051451	2	3	401002	1	6		0			0	0
645	40061451	2	3	401002	1	6		0			0	0
646	40071451	2	3	401002	1	6		0			0	0
647	40081451	2	3	401002	1	6		0			0	0
648	40011452	2	2	401004	1	6		0			0	0
649	40021452	2	2	401004	1	6		0			0	0
650	40031452	2	2	401004	1	6		0			0	0
651	40041452	2	2	401004	1	6		0			0	0
652	40051452	2	2	401004	1	6		0			0	0
653	40061452	2	2	401004	1	6		0			0	0
654	40071452	2	2	401004	1	6		0			0	0
655	40081452	2	2	401004	1	6		0			0	0
656	40011452	2	3	401005	1	6		0			0	0
657	40021452	2	3	401005	1	6		0			0	0
658	40031452	2	3	401005	1	6		0			0	0
659	40041452	2	3	401005	1	6		0			0	0
660	40051452	2	3	401005	1	6		0			0	0
661	40061452	2	3	401005	1	6		0			0	0
662	40071452	2	3	401005	1	6		0			0	0
663	40081452	2	3	401005	1	6		0			0	0
664	40011453	2	2	401003	1	6		0			0	0
665	40021453	2	2	401003	1	6		0			0	0
666	40031453	2	2	401003	1	6		0			0	0
667	40041453	2	2	401003	1	6		0			0	0
668	40051453	2	2	401003	1	6		0			0	0
669	40061453	2	2	401003	1	6		0			0	0
670	40071453	2	2	401003	1	6		0			0	0
671	40081453	2	2	401003	1	6		0			0	0
672	40011454	2	2	401001	1	6		0			0	0
673	40021454	2	2	401001	1	6		0			0	0
674	40031454	2	2	401001	1	6		0			0	0
675	40041454	2	2	401001	1	6		0			0	0
676	40051454	2	2	401001	1	6		0			0	0
677	40061454	2	2	401001	1	6		0			0	0
678	40071454	2	2	401001	1	6		0			0	0
679	40081454	2	2	401001	1	6		0			0	0
680	40011454	2	3	401002	1	6		0			0	0
681	40021454	2	3	401002	1	6		0			0	0
682	40031454	2	3	401002	1	6		0			0	0
683	40041454	2	3	401002	1	6		0			0	0
684	40051454	2	3	401002	1	6		0			0	0
685	40061454	2	3	401002	1	6		0			0	0
686	40071454	2	3	401002	1	6		0			0	0
687	40081454	2	3	401002	1	6		0			0	0
688	40011455	2	2	401001	1	6		0			0	0
689	40021455	2	2	401001	1	6		0			0	0
690	40031455	2	2	401001	1	6		0			0	0
691	40041455	2	2	401001	1	6		0			0	0
692	40051455	2	2	401001	1	6		0			0	0
693	40061455	2	2	401001	1	6		0			0	0
694	40071455	2	2	401001	1	6		0			0	0
695	40081455	2	2	401001	1	6		0			0	0
696	40011455	2	3	401002	1	6		0			0	0
697	40021455	2	3	401002	1	6		0			0	0
698	40031455	2	3	401002	1	6		0			0	0
699	40041455	2	3	401002	1	6		0			0	0
700	40051455	2	3	401002	1	6		0			0	0
701	40061455	2	3	401002	1	6		0			0	0
702	40071455	2	3	401002	1	6		0			0	0
703	40081455	2	3	401002	1	6		0			0	0
704	40011456	2	2	401001	1	6		0			0	0
705	40021456	2	2	401001	1	6		0			0	0
706	40031456	2	2	401001	1	6		0			0	0
707	40041456	2	2	401001	1	6		0			0	0
708	40051456	2	2	401001	1	6		0			0	0
709	40061456	2	2	401001	1	6		0			0	0
710	40071456	2	2	401001	1	6		0			0	0
711	40081456	2	2	401001	1	6		0			0	0
712	40011456	2	3	401002	1	6		0			0	0
713	40021456	2	3	401002	1	6		0			0	0
714	40031456	2	3	401002	1	6		0			0	0
715	40041456	2	3	401002	1	6		0			0	0
716	40051456	2	3	401002	1	6		0			0	0
717	40061456	2	3	401002	1	6		0			0	0
718	40071456	2	3	401002	1	6		0			0	0
719	40081456	2	3	401002	1	6		0			0	0
720	40011457	2	2	401003	1	6		0			0	0
721	40021457	2	2	401003	1	6		0			0	0
722	40031457	2	2	401003	1	6		0			0	0
723	40041457	2	2	401003	1	6		0			0	0
724	40051457	2	2	401003	1	6		0			0	0
725	40061457	2	2	401003	1	6		0			0	0
726	40071457	2	2	401003	1	6		0			0	0
727	40081457	2	2	401003	1	6		0			0	0
728	40011458	2	2	401004	1	6		0			0	0
729	40021458	2	2	401004	1	6		0			0	0
730	40031458	2	2	401004	1	6		0			0	0
731	40041458	2	2	401004	1	6		0			0	0
732	40051458	2	2	401004	1	6		0			0	0
733	40061458	2	2	401004	1	6		0			0	0
734	40071458	2	2	401004	1	6		0			0	0
735	40081458	2	2	401004	1	6		0			0	0
736	40011458	2	3	401005	1	6		0			0	0
737	40021458	2	3	401005	1	6		0			0	0
738	40031458	2	3	401005	1	6		0			0	0
739	40041458	2	3	401005	1	6		0			0	0
740	40051458	2	3	401005	1	6		0			0	0
741	40061458	2	3	401005	1	6		0			0	0
742	40071458	2	3	401005	1	6		0			0	0
743	40081458	2	3	401005	1	6		0			0	0
744	40011459	2	2	401001	1	6		0			0	0
745	40021459	2	2	401001	1	6		0			0	0
746	40031459	2	2	401001	1	6		0			0	0
747	40041459	2	2	401001	1	6		0			0	0
748	40051459	2	2	401001	1	6		0			0	0
749	40061459	2	2	401001	1	6		0			0	0
750	40071459	2	2	401001	1	6		0			0	0
751	40081459	2	2	401001	1	6		0			0	0
752	40011459	2	3	401002	1	6		0			0	0
753	40021459	2	3	401002	1	6		0			0	0
754	40031459	2	3	401002	1	6		0			0	0
755	40041459	2	3	401002	1	6		0			0	0
756	40051459	2	3	401002	1	6		0			0	0
757	40061459	2	3	401002	1	6		0			0	0
758	40071459	2	3	401002	1	6		0			0	0
759	40081459	2	3	401002	1	6		0			0	0
760	40011460	2	2	401001	1	6		0			0	0
761	40021460	2	2	401001	1	6		0			0	0
762	40031460	2	2	401001	1	6		0			0	0
763	40041460	2	2	401001	1	6		0			0	0
764	40051460	2	2	401001	1	6		0			0	0
765	40061460	2	2	401001	1	6		0			0	0
766	40071460	2	2	401001	1	6		0			0	0
767	40081460	2	2	401001	1	6		0			0	0
768	40011460	2	3	401002	1	6		0			0	0
769	40021460	2	3	401002	1	6		0			0	0
770	40031460	2	3	401002	1	6		0			0	0
771	40041460	2	3	401002	1	6		0			0	0
772	40051460	2	3	401002	1	6		0			0	0
773	40061460	2	3	401002	1	6		0			0	0
774	40071460	2	3	401002	1	6		0			0	0
775	40081460	2	3	401002	1	6		0			0	0
776	10405401	1	2	1100252901	1	6		0			0	1
777	10405401	1	2	1100252902	1	6		0			6	1
778	10405401	1	2	1100252903	1	6		0			12	1
779	10405401	1	2	1100252904	1	6		0			18	1
780	10405401	1	2	1100252905	1	6		0			24	1
781	10405401	1	2	1100252906	1	6		0			30	1
782	10405401	1	2	1100252907	1	6		0			36	1
783	10405401	1	2	1100252908	1	6		0			42	1
784	10405401	1	2	1100252909	1	6		0			48	1
785	10405401	1	2	1100252910	1	6		0			54	1
786	10405401	1	2	1100252911	1	6		0			60	1
787	10405401	1	2	1100252912	1	6		0			66	1
788	10405401	1	2	1100252913	1	6		0			72	1
789	10405401	1	2	1100252914	1	6		0			78	1
790	10405401	1	2	1100252915	1	6		0			84	1
791	10405401	1	3	1100253901	1	6		0			0	1
792	10405401	1	3	1100253902	1	6		0			10	1
793	10405401	1	3	1100253903	1	6		0			20	1
794	10405401	1	3	1100253904	1	6		0			30	1
795	10405401	1	3	1100253905	1	6		0			40	1
796	10405401	1	3	1100253906	1	6		0			50	1
797	10405401	1	3	1100253907	1	6		0			60	1
798	10405401	1	3	1100253908	1	6		0			70	1
799	10405401	1	3	1100253909	1	6		0			80	1
800	10405401	1	4	1100254901	2	500		0			0	1
801	10405401	1	4	1100254902	2	700		0			12	1
802	10405401	1	4	1100254903	2	900		0			24	1
803	10405401	1	4	1100254904	2	1100		0			36	1
804	10405401	1	4	1100254905	2	1300		0			48	1
805	10405401	1	4	1100254906	2	1500		0			60	1
806	10405401	1	4	1100254907	2	1800		0			72	1
807	10405401	1	4	1100254908	2	2100		0			84	1
808	10405401	1	5	1100255901	2	500		0			0	1
809	10405401	1	5	1100255902	2	700		0			12	1
810	10405401	1	5	1100255903	2	900		0			24	1
811	10405401	1	5	1100255904	2	1100		0			36	1
812	10405401	1	5	1100255905	2	1300		0			48	1
813	10405401	1	5	1100255906	2	1500		0			60	1
814	10405401	1	5	1100255907	2	1800		0			72	1
815	10405401	1	5	1100255908	2	2100		0			84	1
816	10405401	1	5		2	800		0	equipsuit_s2_01_job01_1::equipsuit_s2_01_job01_1		15	2
817	10405401	1	5		2	1200		0	equipsuit_s2_01_job01_2::equipsuit_s2_01_job01_2		30	2
818	10405401	1	5		2	1600		0	equipsuit_s2_01_job01_3::equipsuit_s2_01_job01_3		45	2
819	10405401	1	5		2	2000		0	equipsuit_s2_01_job01_4::equipsuit_s2_01_job01_4		60	2
820	10405401	1	5		2	2400		0	equipsuit_s2_new_j01::buff_lv5		72	2
821	10405401	1	5		2	2800		0	equipsuit_s2_new_j01::buff_lv6		84	2
822	10405401	1	6	1100256101	2	1000		0			0	1
823	10405401	1	6	1100256102	2	1200		0			15	1
824	10405401	1	6	1100256103	2	1400		0			30	1
825	10405401	1	6	1100256104	2	1600		0			45	1
826	10405401	1	6	1100256105	2	1800		0			60	1
827	10405401	1	6	1100256106	2	2000		0			72	1
828	10405401	1	6	1100256107	2	2400		0			84	1
829	10405401	1	6		2	3000		0		Suit10405401	0	2
830	10405401	1	6		2	1000		0	buff6_refine01::buff_HealRes03		72	3
831	10405402	1	2	1100252901	1	6		0			0	1
832	10405402	1	2	1100252902	1	6		0			6	1
833	10405402	1	2	1100252903	1	6		0			12	1
834	10405402	1	2	1100252904	1	6		0			18	1
835	10405402	1	2	1100252905	1	6		0			24	1
836	10405402	1	2	1100252906	1	6		0			30	1
837	10405402	1	2	1100252907	1	6		0			36	1
838	10405402	1	2	1100252908	1	6		0			42	1
839	10405402	1	2	1100252909	1	6		0			48	1
840	10405402	1	2	1100252910	1	6		0			54	1
841	10405402	1	2	1100252911	1	6		0			60	1
842	10405402	1	2	1100252912	1	6		0			66	1
843	10405402	1	2	1100252913	1	6		0			72	1
844	10405402	1	2	1100252914	1	6		0			78	1
845	10405402	1	2	1100252915	1	6		0			84	1
846	10405402	1	3	1100253901	1	6		0			0	1
847	10405402	1	3	1100253902	1	6		0			10	1
848	10405402	1	3	1100253903	1	6		0			20	1
849	10405402	1	3	1100253904	1	6		0			30	1
850	10405402	1	3	1100253905	1	6		0			40	1
851	10405402	1	3	1100253906	1	6		0			50	1
852	10405402	1	3	1100253907	1	6		0			60	1
853	10405402	1	3	1100253908	1	6		0			70	1
854	10405402	1	3	1100253909	1	6		0			80	1
855	10405402	1	4	1100254901	2	500		0			0	1
856	10405402	1	4	1100254902	2	700		0			12	1
857	10405402	1	4	1100254903	2	900		0			24	1
858	10405402	1	4	1100254904	2	1100		0			36	1
859	10405402	1	4	1100254905	2	1300		0			48	1
860	10405402	1	4	1100254906	2	1500		0			60	1
861	10405402	1	4	1100254907	2	1800		0			72	1
862	10405402	1	4	1100254908	2	2100		0			84	1
863	10405402	1	5	1100255901	2	500		0			0	1
864	10405402	1	5	1100255902	2	700		0			12	1
865	10405402	1	5	1100255903	2	900		0			24	1
866	10405402	1	5	1100255904	2	1100		0			36	1
867	10405402	1	5	1100255905	2	1300		0			48	1
868	10405402	1	5	1100255906	2	1500		0			60	1
869	10405402	1	5	1100255907	2	1800		0			72	1
870	10405402	1	5	1100255908	2	2100		0			84	1
871	10405402	1	5		2	800		0	equipsuit_s2_01_job02_1::equipsuit_s2_01_job02_1		15	2
872	10405402	1	5		2	1200		0	equipsuit_s2_01_job02_2::equipsuit_s2_01_job02_2		30	2
873	10405402	1	5		2	1600		0	equipsuit_s2_01_job02_3::equipsuit_s2_01_job02_3		45	2
874	10405402	1	5		2	2000		0	equipsuit_s2_01_job02_4::equipsuit_s2_01_job02_4		60	2
875	10405402	1	5		2	2400		0	equipsuit_s2_new_j02::buff_lv5		72	2
876	10405402	1	5		2	2800		0	equipsuit_s2_new_j02::buff_lv6		84	2
877	10405402	1	6	1100256201	2	1000		0		Suit1100256201	0	1
878	10405402	1	6	1100256202	2	1200		0		Suit1100256202	15	1
879	10405402	1	6	1100256203	2	1400		0		Suit1100256203	30	1
880	10405402	1	6	1100256204	2	1600		0		Suit1100256204	45	1
881	10405402	1	6	1100256205	2	1800		0		Suit1100256205	60	1
882	10405402	1	6	1100256206	2	2000		0		Suit1100256206	72	1
883	10405402	1	6	1100256207	2	2400		0		Suit1100256207	84	1
884	10405402	1	6		2	3000		0		Suit10405402	0	2
885	10405402	1	6		2	3000		0		Suit10405402	0	2
886	10405402	1	6		2	1000		0	buff6_refine01::buff_HealRes03		72	3
887	10405403	1	2	1100252901	1	6		0			0	1
888	10405403	1	2	1100252902	1	6		0			6	1
889	10405403	1	2	1100252903	1	6		0			12	1
890	10405403	1	2	1100252904	1	6		0			18	1
891	10405403	1	2	1100252905	1	6		0			24	1
892	10405403	1	2	1100252906	1	6		0			30	1
893	10405403	1	2	1100252907	1	6		0			36	1
894	10405403	1	2	1100252908	1	6		0			42	1
895	10405403	1	2	1100252909	1	6		0			48	1
896	10405403	1	2	1100252910	1	6		0			54	1
897	10405403	1	2	1100252911	1	6		0			60	1
898	10405403	1	2	1100252912	1	6		0			66	1
899	10405403	1	2	1100252913	1	6		0			72	1
900	10405403	1	2	1100252914	1	6		0			78	1
901	10405403	1	2	1100252915	1	6		0			84	1
902	10405403	1	3	1100253901	1	6		0			0	1
903	10405403	1	3	1100253902	1	6		0			10	1
904	10405403	1	3	1100253903	1	6		0			20	1
905	10405403	1	3	1100253904	1	6		0			30	1
906	10405403	1	3	1100253905	1	6		0			40	1
907	10405403	1	3	1100253906	1	6		0			50	1
908	10405403	1	3	1100253907	1	6		0			60	1
909	10405403	1	3	1100253908	1	6		0			70	1
910	10405403	1	3	1100253909	1	6		0			80	1
911	10405403	1	4	1100254901	2	500		0			0	1
912	10405403	1	4	1100254902	2	700		0			12	1
913	10405403	1	4	1100254903	2	900		0			24	1
914	10405403	1	4	1100254904	2	1100		0			36	1
915	10405403	1	4	1100254905	2	1300		0			48	1
916	10405403	1	4	1100254906	2	1500		0			60	1
917	10405403	1	4	1100254907	2	1800		0			72	1
918	10405403	1	4	1100254908	2	2100		0			84	1
919	10405403	1	5	1100255901	2	500		0			0	1
920	10405403	1	5	1100255902	2	700		0			12	1
921	10405403	1	5	1100255903	2	900		0			24	1
922	10405403	1	5	1100255904	2	1100		0			36	1
923	10405403	1	5	1100255905	2	1300		0			48	1
924	10405403	1	5	1100255906	2	1500		0			60	1
925	10405403	1	5	1100255907	2	1800		0			72	1
926	10405403	1	5	1100255908	2	2100		0			84	1
927	10405403	1	5		2	800		0	equipsuit_s2_01_job03_1::equipsuit_s2_01_job03_1		15	2
928	10405403	1	5		2	1200		0	equipsuit_s2_01_job03_2::equipsuit_s2_01_job03_2		30	2
929	10405403	1	5		2	1600		0	equipsuit_s2_01_job03_3::equipsuit_s2_01_job03_3		45	2
930	10405403	1	5		2	2000		0	equipsuit_s2_01_job03_4::equipsuit_s2_01_job03_4		60	2
931	10405403	1	5		2	2400		0	equipsuit_s2_new_j03::buff_lv5		72	2
932	10405403	1	5		2	2800		0	equipsuit_s2_new_j03::buff_lv6		84	2
933	10405403	1	6	1100256301	2	1000		0			0	1
934	10405403	1	6	1100256302	2	1200		0			15	1
935	10405403	1	6	1100256303	2	1400		0			30	1
936	10405403	1	6	1100256304	2	1600		0			45	1
937	10405403	1	6	1100256305	2	1800		0			60	1
938	10405403	1	6	1100256306	2	2000		0			72	1
939	10405403	1	6	1100256307	2	2400		0			84	1
940	10405403	1	6		2	3000		0		Suit10405403	0	2
941	10405403	1	6		2	1000		0	buff6_refine01::buff_HealRes03		72	3
942	10405404	1	2	1100252901	1	6		0			0	1
943	10405404	1	2	1100252902	1	6		0			6	1
944	10405404	1	2	1100252903	1	6		0			12	1
945	10405404	1	2	1100252904	1	6		0			18	1
946	10405404	1	2	1100252905	1	6		0			24	1
947	10405404	1	2	1100252906	1	6		0			30	1
948	10405404	1	2	1100252907	1	6		0			36	1
949	10405404	1	2	1100252908	1	6		0			42	1
950	10405404	1	2	1100252909	1	6		0			48	1
951	10405404	1	2	1100252910	1	6		0			54	1
952	10405404	1	2	1100252911	1	6		0			60	1
953	10405404	1	2	1100252912	1	6		0			66	1
954	10405404	1	2	1100252913	1	6		0			72	1
955	10405404	1	2	1100252914	1	6		0			78	1
956	10405404	1	2	1100252915	1	6		0			84	1
957	10405404	1	3	1100253901	1	6		0			0	1
958	10405404	1	3	1100253902	1	6		0			10	1
959	10405404	1	3	1100253903	1	6		0			20	1
960	10405404	1	3	1100253904	1	6		0			30	1
961	10405404	1	3	1100253905	1	6		0			40	1
962	10405404	1	3	1100253906	1	6		0			50	1
963	10405404	1	3	1100253907	1	6		0			60	1
964	10405404	1	3	1100253908	1	6		0			70	1
965	10405404	1	3	1100253909	1	6		0			80	1
966	10405404	1	4	1100254901	2	500		0			0	1
967	10405404	1	4	1100254902	2	700		0			12	1
968	10405404	1	4	1100254903	2	900		0			24	1
969	10405404	1	4	1100254904	2	1100		0			36	1
970	10405404	1	4	1100254905	2	1300		0			48	1
971	10405404	1	4	1100254906	2	1500		0			60	1
972	10405404	1	4	1100254907	2	1800		0			72	1
973	10405404	1	4	1100254908	2	2100		0			84	1
974	10405404	1	5	1100255901	2	500		0			0	1
975	10405404	1	5	1100255902	2	700		0			12	1
976	10405404	1	5	1100255903	2	900		0			24	1
977	10405404	1	5	1100255904	2	1100		0			36	1
978	10405404	1	5	1100255905	2	1300		0			48	1
979	10405404	1	5	1100255906	2	1500		0			60	1
980	10405404	1	5	1100255907	2	1800		0			72	1
981	10405404	1	5	1100255908	2	2100		0			84	1
982	10405404	1	5		2	800		0	equipsuit_s2_01_job04_1::equipsuit_s2_01_job04_1		15	2
983	10405404	1	5		2	1200		0	equipsuit_s2_01_job04_2::equipsuit_s2_01_job04_2		30	2
984	10405404	1	5		2	1600		0	equipsuit_s2_01_job04_3::equipsuit_s2_01_job04_3		45	2
985	10405404	1	5		2	2000		0	equipsuit_s2_01_job04_4::equipsuit_s2_01_job04_4		60	2
986	10405404	1	5		2	2400		0	equipsuit_s2_new_j04::buff_lv5		72	2
987	10405404	1	5		2	2800		0	equipsuit_s2_new_j04::buff_lv6		84	2
988	10405404	1	6	1100256401	2	1000		0			0	1
989	10405404	1	6	1100256402	2	1200		0			15	1
990	10405404	1	6	1100256403	2	1400		0			30	1
991	10405404	1	6	1100256404	2	1600		0			45	1
992	10405404	1	6	1100256405	2	1800		0			60	1
993	10405404	1	6	1100256406	2	2000		0			72	1
994	10405404	1	6	1100256407	2	2400		0			84	1
995	10405404	1	6		2	3000		0		Suit10405404	0	2
996	10405404	1	6		2	1000		0	buff6_refine01::buff_HealRes03		72	3
997	10405405	1	2	1100252901	1	6		0			0	1
998	10405405	1	2	1100252902	1	6		0			6	1
999	10405405	1	2	1100252903	1	6		0			12	1
1000	10405405	1	2	1100252904	1	6		0			18	1
1001	10405405	1	2	1100252905	1	6		0			24	1
1002	10405405	1	2	1100252906	1	6		0			30	1
1003	10405405	1	2	1100252907	1	6		0			36	1
1004	10405405	1	2	1100252908	1	6		0			42	1
1005	10405405	1	2	1100252909	1	6		0			48	1
1006	10405405	1	2	1100252910	1	6		0			54	1
1007	10405405	1	2	1100252911	1	6		0			60	1
1008	10405405	1	2	1100252912	1	6		0			66	1
1009	10405405	1	2	1100252913	1	6		0			72	1
1010	10405405	1	2	1100252914	1	6		0			78	1
1011	10405405	1	2	1100252915	1	6		0			84	1
1012	10405405	1	3	1100253901	1	6		0			0	1
1013	10405405	1	3	1100253902	1	6		0			10	1
1014	10405405	1	3	1100253903	1	6		0			20	1
1015	10405405	1	3	1100253904	1	6		0			30	1
1016	10405405	1	3	1100253905	1	6		0			40	1
1017	10405405	1	3	1100253906	1	6		0			50	1
1018	10405405	1	3	1100253907	1	6		0			60	1
1019	10405405	1	3	1100253908	1	6		0			70	1
1020	10405405	1	3	1100253909	1	6		0			80	1
1021	10405405	1	4	1100254901	2	500		0			0	1
1022	10405405	1	4	1100254902	2	700		0			12	1
1023	10405405	1	4	1100254903	2	900		0			24	1
1024	10405405	1	4	1100254904	2	1100		0			36	1
1025	10405405	1	4	1100254905	2	1300		0			48	1
1026	10405405	1	4	1100254906	2	1500		0			60	1
1027	10405405	1	4	1100254907	2	1800		0			72	1
1028	10405405	1	4	1100254908	2	2100		0			84	1
1029	10405405	1	5	1100255901	2	500		0			0	1
1030	10405405	1	5	1100255902	2	700		0			12	1
1031	10405405	1	5	1100255903	2	900		0			24	1
1032	10405405	1	5	1100255904	2	1100		0			36	1
1033	10405405	1	5	1100255905	2	1300		0			48	1
1034	10405405	1	5	1100255906	2	1500		0			60	1
1035	10405405	1	5	1100255907	2	1800		0			72	1
1036	10405405	1	5	1100255908	2	2100		0			84	1
1037	10405405	1	5		2	800		0	equipsuit_s2_01_job05_1::equipsuit_s2_01_job05_1		15	2
1038	10405405	1	5		2	1200		0	equipsuit_s2_01_job05_2::equipsuit_s2_01_job05_2		30	2
1039	10405405	1	5		2	1600		0	equipsuit_s2_01_job05_3::equipsuit_s2_01_job05_3		45	2
1040	10405405	1	5		2	2000		0	equipsuit_s2_01_job05_4::equipsuit_s2_01_job05_4		60	2
1041	10405405	1	5		2	2400		0	equipsuit_s2_new_j05::buff_lv5		72	2
1042	10405405	1	5		2	2800		0	equipsuit_s2_new_j05::buff_lv6		84	2
1043	10405405	1	6	1100256501	2	1000		0			0	1
1044	10405405	1	6	1100256502	2	1200		0			15	1
1045	10405405	1	6	1100256503	2	1400		0			30	1
1046	10405405	1	6	1100256504	2	1600		0			45	1
1047	10405405	1	6	1100256505	2	1800		0			60	1
1048	10405405	1	6	1100256506	2	2000		0			72	1
1049	10405405	1	6	1100256507	2	2400		0			84	1
1050	10405405	1	6		2	3000		0		Suit10405405	0	2
1051	10405405	1	6		2	1000		0	buff6_refine01::buff_HealRes03		72	3
1052	10405406	1	2	1100252901	1	6		0			0	1
1053	10405406	1	2	1100252902	1	6		0			6	1
1054	10405406	1	2	1100252903	1	6		0			12	1
1055	10405406	1	2	1100252904	1	6		0			18	1
1056	10405406	1	2	1100252905	1	6		0			24	1
1057	10405406	1	2	1100252906	1	6		0			30	1
1058	10405406	1	2	1100252907	1	6		0			36	1
1059	10405406	1	2	1100252908	1	6		0			42	1
1060	10405406	1	2	1100252909	1	6		0			48	1
1061	10405406	1	2	1100252910	1	6		0			54	1
1062	10405406	1	2	1100252911	1	6		0			60	1
1063	10405406	1	2	1100252912	1	6		0			66	1
1064	10405406	1	2	1100252913	1	6		0			72	1
1065	10405406	1	2	1100252914	1	6		0			78	1
1066	10405406	1	2	1100252915	1	6		0			84	1
1067	10405406	1	3	1100253901	1	6		0			0	1
1068	10405406	1	3	1100253902	1	6		0			10	1
1069	10405406	1	3	1100253903	1	6		0			20	1
1070	10405406	1	3	1100253904	1	6		0			30	1
1071	10405406	1	3	1100253905	1	6		0			40	1
1072	10405406	1	3	1100253906	1	6		0			50	1
1073	10405406	1	3	1100253907	1	6		0			60	1
1074	10405406	1	3	1100253908	1	6		0			70	1
1075	10405406	1	3	1100253909	1	6		0			80	1
1076	10405406	1	4	1100254901	2	500		0			0	1
1077	10405406	1	4	1100254902	2	700		0			12	1
1078	10405406	1	4	1100254903	2	900		0			24	1
1079	10405406	1	4	1100254904	2	1100		0			36	1
1080	10405406	1	4	1100254905	2	1300		0			48	1
1081	10405406	1	4	1100254906	2	1500		0			60	1
1082	10405406	1	4	1100254907	2	1800		0			72	1
1083	10405406	1	4	1100254908	2	2100		0			84	1
1084	10405406	1	5	1100255901	2	500		0			0	1
1085	10405406	1	5	1100255902	2	700		0			12	1
1086	10405406	1	5	1100255903	2	900		0			24	1
1087	10405406	1	5	1100255904	2	1100		0			36	1
1088	10405406	1	5	1100255905	2	1300		0			48	1
1089	10405406	1	5	1100255906	2	1500		0			60	1
1090	10405406	1	5	1100255907	2	1800		0			72	1
1091	10405406	1	5	1100255908	2	2100		0			84	1
1092	10405406	1	5		2	800		0	equipsuit_s2_01_job06_1::equipsuit_s2_01_job06_1		15	2
1093	10405406	1	5		2	1200		0	equipsuit_s2_01_job06_2::equipsuit_s2_01_job06_2		30	2
1094	10405406	1	5		2	1600		0	equipsuit_s2_01_job06_3::equipsuit_s2_01_job06_3		45	2
1095	10405406	1	5		2	2000		0	equipsuit_s2_01_job06_4::equipsuit_s2_01_job06_4		60	2
1096	10405406	1	5		2	2400		0	equipsuit_s2_new_j06::buff_lv5		72	2
1097	10405406	1	5		2	2800		0	equipsuit_s2_new_j06::buff_lv6		84	2
1098	10405406	1	6	1100256601	2	1000		0			0	1
1099	10405406	1	6	1100256602	2	1200		0			15	1
1100	10405406	1	6	1100256603	2	1400		0			30	1
1101	10405406	1	6	1100256604	2	1600		0			45	1
1102	10405406	1	6	1100256605	2	1800		0			60	1
1103	10405406	1	6	1100256606	2	2000		0			72	1
1104	10405406	1	6	1100256607	2	2400		0			84	1
1105	10405406	1	6		2	3000		0		Suit10405406	0	2
1106	10405406	1	6		2	1000		0	buff6_refine01::buff_HealRes03		72	3
1107	10203201	1	2	1100242901	2	500		0			0	0
1108	10203201	1	4	1100244901	2	50		0			0	0
1109	10203201	1	6	1100246901	2	50		0			0	0
1110	10203202	1	2	1100242901	2	500		0			0	0
1111	10203202	1	4	1100244901	2	50		0			0	0
1112	10203202	1	6	1100246901	2	50		0			0	0
1113	10203203	1	2	1100242901	2	500		0			0	0
1114	10203203	1	4	1100244901	2	50		0			0	0
1115	10203203	1	6	1100246901	2	50		0			0	0
1116	10203204	1	2	1100242901	2	500		0			0	0
1117	10203204	1	4	1100244901	2	50		0			0	0
