序号	键值	数值
664	SoldierNpcRide	ride_124;ride_117
665	HeroNameDisplayDistance	15
666	NoviceShowEgg_GetPetAnimationTime	4
667	NpcNameDisplayDistance	10
668	NewStoryHideFightUI	10000050,2
669	TotleRechargeButtonShowNum	0
670	TotleRechargeShowDialogDesc	LoadingTips1;LoadingTips10
671	TotleRechargeIconContinuDay	40
672	AdventurerShopNpcId	npc_idol_001
673	AdventurerShopNpcRandomLanguage	UI_Adventurer_Shop_NpcDesc1;UI_Adventurer_Shop_NpcDesc2
674	AdventurerShopNpcLanguageTime	5
675	AdventurerShopNpcLanguageSpaceTime	5
676	AdventurerShopNpcLanguageAdvance01	UI_Adventurer_Shop_NpcDesc3
677	AdventurerShopNpcLanguageAdvance02	UI_Adventurer_Shop_NpcDesc4
678	AdventurerShopPreBuyType1	1
679	AdventurerShopPreBuyType2	3
680	AdventurerShopNpcShowIdle	1
681	AdventurerShopNpcRandomTalk	1
682	AdventurerShopNpcClickTalk	60
683	AdventurerShopNpcRechargeSucc	60
684	AdventurerShopNpcPrepurchaseSucc	61
685	AdventurerShopFlyEffectTime	0.5
686	LevelRewardFlyEffectTime	0.5
687	NameMinScale	2
688	TimedShoppingNotPurchaseday	2
689	TimedShoppingNotPurchasePush	1
690	TimedShoppingPurchaseday	1
691	TimedShoppingPush	1
692	TimedShoppingClicknpc	UI_Timed_Shopping_Clicknpc
693	TimedShoppinginitial	UI_Timed_Shopping_initial
694	TimedShoppingDuration	10
695	TimedShoppingIntervalLength	10
696	MysteriousShopPushNpcEnterShopTime	1
697	SoulStoneUpgradeMaterial	item107999900001,10;item107999900002,50;item107999900003,200
698	SoulStoneInlayParts	1:1,9,10;2:3,4,5,6;3:2,7,8
699	SoulStoneCpFromulaId	6
700	SoulStoneBuffLevelMax	3
701	SoulStoneResolveReturnSpirit	0.5
702	AfterNoviceMap	1,28.2,-5.1,-45.2,339
703	killstarTrialTime	30;40;50
704	killstarTrialRewardTimes	3
705	killstarTrialAcceptChallengeTime	7
706	killstarTrialSelectChallengeTime	3
707	killstarTrialBattleTimeLoseNotice	Msg_KillStar_BattleTime_Over
708	killstarTrialBattleRangeEffect	
709	killstarTrialMonsterRefreshDelayTime	3
710	killstarTrialNotChooseBattle	Msg_KillStar_NotChoose_Notice
711	killstarTrialEffectResource	33000001;33000002
712	KillStarMaxLevel	12
713	TrialMonsterRefreshDelayTime	3
714	TrialLeastTeamMemberNumber	3
715	SoulStarCubeChallengeTimes	3
716	SoulStarCubeTeamNum	3
717	SoulStarCubeLeaveTime	12
718	SoulStarCubeResultDelayTime	2.5
719	EscortBadgeItemId	item106030101162
720	FashionLotteryConsumeItem	item101200040002,1
721	FashionLotteryFreeTime	24
722	OnceLotteryAnimeTime	2.7
723	TenConsecutiveLotteryAnimeTime	3.5
724	SummonsMonsterExistenceTime	1800
725	SummonMonsterRewardPickupScope	10
726	SummonMonsterScope	5
727	StrenthenGetEffectNotice	Msg_Strenthen_GetEffect
728	CrackObtainIntegral	10
729	DevilObtainIntegral	10
730	KillDemonObtainIntegral	10
731	RuneGainWay	121;1503;1708
732	PutOnFirstWeaponTaskId	10000030
733	EquipCombineLevel	30;40;50;60;
734	PetSommonItemGainWay	19;2011;1705
735	HeroRoadTitleText	UI_HeroRoad_TitleText
736	HeroRoadTitlePicture	btn_hr_01
737	TossControlMoveSpeed	2
738	CurrenyFreezeGeneralMail	mail_currencyfreeze_general
739	DailyThawGoldNum	50000
740	ThawDiamondIntoCoins	10000
741	MinionHonorColor	229,250,227;94,161,8
742	DigTreasureExchangeMaterials	item119100000004,1;item119100000005,1;item119100000006,1
743	DigTreasureItem	item119000000050
744	DigTreasureRewardDisplay	item130000940502,1;item130000940501,1;item103010137301,1;item103010136301,1;item103010135301,1;item103010134301,1;item103010133301,1;item103010138301,1;item103010132301,1;item103010132311,1;item103010132321,1;item103010132331,1;item101020503054,1;item101020503053,1;item101020503052,1;item101020503051,1;item101020503050,1;item101020503048,1;item101020503047,1;item101020503055,1;item107100052103,1;item107100052203,1;item107100052303,1;item101040101115,1;item101040101112,1;item101040101109,1;item101040101106,1;item101040101103,1;item101040101114,1;item101040101111,1;item101040101108,1;item101040101105,1;item101040101102,1;item101040101113,1;item101040101110,1;item101040101107,1;item101040101104,1;item101040101101,1;item101020505317,1;item101020505316,1;item101020505315,1;item101020505314,1;item101020505313,1;item101020505312,1;item101020505310,1;item101020505309,1;item109000000002,1;item103015110401,1;item103015110407,1;item107999900003,1;item103010111018,1;item101040101015,1
745	DigTreasureGuaranteeReward	item119100000007,1
746	NormalMonthCardActiveId	902
747	BuyMemberCardTipsCount	3
748	NormalMemberCardActiveId	1001
749	MemberCardMessageMax	30
750	MemberCardUpgradeEffectId	10129
751	MemberCardUpgradeEffectTime	1
752	MemberCardPushRefreshTime	0
753	MonthCardPushTipsPanelInfo	UI_MonthCardPushTipsPanel_TitleName,25,30,30,900,UI_MonthCardPushTipsPanel_MemberExtra,902
754	MemberCardGetBGList	bg_letter_card,bg_letter_card,bg_letter_card
755	GrowFundItemRewardEffectID	10147
756	GrowFundHeroLoadLanguage01	GrowFundHeroLoadLanguage01
757	GrowFundHeroLoadLanguage02	GrowFundHeroLoadLanguage02
758	GrowFundActivityID	703
759	ShareRideDeposit	299
760	ShareRideCost	1
761	AutoTreasurePushCondition	5001,5;5002,3
762	TeamTowerNormalBoxLimitTips	Msg_NormalBoxLimitTips
763	TeamTowerPerfectBoxLimitTips	Msg_PerfectBoxLimitTips
764	TowerLeaveTime	10
765	FishBossGetRate	4
766	FishBossCD	3600
767	RareFishEffectLength	60
768	RareFishEffectDelay	30
769	FishingExpNum	1
770	FishingBiteTime	3,10
771	FishingFailTime	5
772	FishingShopNpc	npc_10209
773	TalentFishList	item170000102010;item170000102020
774	FishingUnlockOnHook	3
775	FishingOnHookMaxDuration	7200
776	ExchangeShopFreeReward01	ex10010010
777	GetSuperItemPanelEffect	40000051
778	EnterPowerSaveTime	300
779	MiniGameWipeRadius	20
780	MiniGameClueRadius	18
781	MiniGameAutoClose	3
782	MiniGameLinkRadius	55
783	CollectCorpseStayHeight	3
784	CollectCorpseStayTime	2.5
785	CollectCorpseFlyTime	0.5
786	CollectCorpseAutoCollect	10
787	GuildWarPrepareTime	360
788	GuildWarPvpProtectTime	540
789	GuildWarWaitFirstFloorBossTime	660
790	GuildWarKillFirstFloorBossTime	840
791	GuildWarWaitSecondFloorBossTime	960
792	GuildWarKillSecondFloorBossTime	1140
793	GuildWarWaitThirdFloorBossTime	1260
794	GuildWarKillThirdFloorBossTime	1500
795	GuildWarPrepareSceneNumber	400
796	GuildWarFightSceneNumber1	100
797	GuildWarFightSceneNumber2	160
798	GuildWarFightSceneNumber3	200
799	GuildWarFirstFloorBossManualSwitch	GuildWar_Area01_Boss01
800	GuildWarSecondFloorBossManualSwitch	GuildWar_Area02_Boss01
801	GuildWarThirdFloorBossManualSwitch	GuildWar_Area03_Boss01
802	GuildWarFirstFloorDoorManualSwitch	GuildWar_Area01_Door01
803	GuildWarSecondFloorDoorManualSwitch	GuildWar_Area02_Door01
804	GuildWarThirdFloorDoorManualSwitch	GuildWar_Area03_Door01
805	GuildWarChestShowTimeDelay	60
806	GuildWarChestNpc	box_guildwar_100
807	GuildWarChestDrop	17107
808	GuildWarCapitalNum	40000
809	GuildWarLeaveTimer	5
810	GuildWarChestDailyNum	5
811	GuildWarFirstFloorMonsterRewardLimit	100
812	GuildWarSecondFloorMonsterRewardLimit	100
813	GuildWarSecondFloorEliteRewardLimit	5
814	GuildWarFirstFloorMonsterRewardLimitMessage	GuildWar_FirstFloor_MonsterRewardLimit
815	GuildWarSecondFloorMonsterRewardLimitMessage	GuildWar_SecondFloor_MonsterRewardLimit
816	GuildWarSecondFloorEliteRewardLimitMessage	GuildWar_SecondFloor_EliteRewardLimit
817	GuildWarThirdFloorChestRewardLimitMessage	GuildWar_ThirdFloor_ChestRewardLimit
818	GuildWarBossShowMessage	GuildWar_BossShow_Message
819	GuildWarExpRewardLimit	GuildWar_ExpRewardLimit
820	GuildWarLeaveReasonKilledByPlayer	Msg_GuildWar_KilledByPlayer
821	GuildWarLeaveReasonKilledByMonster	Msg_GuildWar_KilledByMonster
822	GuildWarLeaveReasonCanNotKillBoss	Msg_GuildWar_CanNotKillBoss
823	GuildWarLeaveReasonCanNotDownstairs	Msg_GuildWar_CanNotDownstairs
824	GuildWarBeatPlayerMessage	Msg_GuildWar_BeatPlayer
825	GuildWarNextFloorInvincibleTime	3
826	TreasureTaskOneRingNum	10
827	TreasureTaskExtraReward	
828	RelationshipMailRewardMail	mail_relationship_mailreward
829	TreasureTaskWarning	UI_digtreasure_task_Max_Tip
830	FairyTaskWarning	UI_fairy_task_Max_Tip
831	FairyTaskOneRingNum	5
832	FairyTaskExtraReward	
833	RuneResolveMaxSelectCount	15
834	DayResolveRuneGetTalentPointMaxInfo	10,300000;20,300000;30,300000;40,300000;50,300000;60,300000;70,300000;80,300000;90,300000;100,300000;110,300000
835	ResolveTipsRuneGrade	5
836	RuneBagMaxCount	200
837	CameraFocusPosOffsetCenterLeft	0.8,1.2,-4
838	CameraFocusAngleOffsetCenterLeft	10,10,0
839	RobotRandomNameChannelId	999
840	RedRobotPatrolPath	0|(-76.7,-2.6,-71.0)|0|5;0|(-57.7,-2.6,-53.4)|0|5;0|(-39.4,-2.6,-32.8)|0|5;0|(-4.8,-0.1,4.6)|0|5;0|(33.1,-2.8,39.6)|0|5;0|(53.0,-2.8,57.7)|0|5;0|(72.5,-2.8,77.7)|0|5
841	RedRobotSecondPatrolPath	0|(-71.0,-2.6,-77.3)|0|5;0|(-53.4,-2.6,-57.3)|0|5;0|(-32.8,-2.6,-38.8)|0|5;0|(3.0,-0.1,-2.8)|0|5;0|(38.9,-2.6,32.7)|0|5;0|(55.5,-2.8,50.0)|0|5;0|(77.4,-2.8,72.5)|0|5
842	BlueRobotPatrolPath	0|(77.4,-2.8,72.5)|0|5;0|(55.5,-2.8,50.0)|0|5;0|(38.9,-2.6,32.7)|0|5;0|(3.0,-0.1,-2.8)|0|5;0|(-32.8,-2.6,-38.8)|0|5;0|(-53.4,-2.6,-57.3)|0|5;0|(-71.0,-2.7,-77.3)|0|5
843	BlueRobotSecondPatrolPath	0|(72.5,-2.8,77.7)|0|5;0|(53.0,-2.8,57.7)|0|5;0|(33.1,-2.8,39.6)|0|5;0|(-4.8,-0.1,4.6)|0|5;0|(-39.4,-2.6,-32.8)|0|5;0|(-57.7,-2.6,-53.4)|0|5;0|(-76.7,-2.7,-71.0)|0|5
844	ConstellationDivineCurrency	1,50000;1,100000;1,200000;1,400000;1,800000
845	ConstellationPartnerThumbUpMaxNum	100
846	ConstellationPartnerBeThumbUpMaxNum	100
847	ConstellationPartnerLevelupFate	5;10;15;30;60;90
848	ConstellationPartnerPresent	item1000,8888;item1000,8888;item1000,8888;item1000,8888;item1000,8888;item1000,8888;item1000,8888;item1000,8888;item1000,8888;item1000,8888
849	ConstellationFatePraiseEmojiID	13
850	StarEffectID	10152
851	ConstellationPartnerThumbUpLanguage	Msg_SendThumbUp
852	ConstellationPartnerBeThumbUpLanguage	Msg_ReceiveThumbUp
853	ByThumbUPHeadEffectID	10156
854	ConstellationFateNpcLink	ClickNpc:2;npc_10159
855	ConstellationTreasureContentRate	300
856	PlayerEmojiLanguage	Msg_SendEmoji
857	PlayerBeEmojiLanguage	Msg_ReceiveEmoji
858	PlayerActionLanguage	Msg_SendSAction
859	PlayerBeActionLanguage	Msg_ReceiveSAction
860	RuneWarningForBag01	120;160;180
861	RuneWarningForBag02	195
862	CreateCameraPlaneList	5;6;10;12;20
863	PlaneBgmInfo	5,26;6,27;10,15
864	WorldLevelUpdateTime	5
865	AstrolabeUIMinOffset	-2,-2
866	AstrolabeUIMaxOffset	2,4
867	AstrolabeUIDragRange	500,500
868	AstrolabeCenterOffset	0,-1,-14
869	AstrolabeCenterEuler	30,0,0
870	AstrolabeStarOffset	0,0,-5
871	AstrolabeStarEuler	30,0,0
872	AstrolabeStarScale	2
873	AstrolabeRedPointRefresh	40
874	EquipDropGroupShieldJobId	
875	UpgradeRuneNeedNoticeGrade	8
876	SpecialForbidChatTime	10800
877	GetSuperItemOpenIntervalScale	0.4
878	ConchSoundCharacterLimit	50
879	GuildAnswerNumber	5
880	LoginMaxPopUpNum	4
881	NpcRelationshipBetterGift	1.5
882	NpcRelationshipBestGift	5
883	ClearRubbishNum	50
884	HomeLandGridSize	0.75
885	HLOrderHelperNum	3
886	HomeLandOrderHelpCD	30
887	HomeLandOrderCD	180
888	HomeLandOrderClearCDTime	600
889	HomeLandOrderClearCDCost	3,2
890	HomeLandBagInitialCapacity	100
891	HomeLandReceivePlantIcon	homeland_sickle
892	HomeLandNpcBornPos	-22.5,-1.6,-47.0,0
893	HomeLandNpcLeavePos	15.2,-0.9,-44.1,100
894	HomeLandRegionGridding	1,40,80,22.6,0.24,-48,-90;2,38,38,-33.5,0.7,7.9,0
895	HomeLandMoveResponsTime	0.6
896	HomeLandMoveSpeed	10
897	HomeLandOrderNpcPos	-1.6,0.2,-39.6;-1.7,-0.3,-42.2;-1.9,-0.8,-44.6;-2.0,-1.4,-47.6;-2.0,-1.7,-49.6
898	HomeLandOrderNpcOrientation	0;0;0;0;0
899	HomeLandNpcMoveSpeed	3
900	HomeLandSceneID	41
901	HomeLandSceneMaxFairyNum	0
902	HomeLandSceneRegion	0,0,9,12;0,12,9,24;10,0,19,12;10,13,19,24
903	HomeLandFairyMoveSpeedCoefficient	0.6
904	HomeLandTaskID	510830
905	HomeLandLeaveHousePos	-18.6, 0.7, -1.4,180
906	ConchSoundMax	50
907	ActivityKillStarRankRewardSetTime	0
908	ActivityKillStarPointRatio	1
909	ActivityKillStarRankPointLimit	5
910	ActivityKillStarMaxRank	500
911	ActivityKillStarShowRank	50
912	ActivityKillStarStartRecordTime	5
913	ActivityOpenTowerLevelPermit	5
914	TeamInviteForbiddenWorldChannel	0
915	MaxSoldierCount	4
916	LeaderRewardNotice	Msg_LeaderReward_Notice
917	LeaderRewardDailyTimesLimit	20
918	FixedTeamJoinInCost	1,200000
919	FixedTeamChangeNameCost	1,100000
920	FixedTeamRecruitLastTime	604800
921	FixedTeamRecruitPersonCD	86400
922	FixedTeamRecruitTeamCD	86400
923	FixedTeamPersonAskTimes	10
924	FixedTeamTeamAskTimes	10
925	FixedTeamPersonAskMessage	Msg_FixedTeam_PersonAskMessage
926	FixedTeamTeamAskMessage	Msg_FixedTeam_TeamAskMessage
927	FixedTeamFeedTimes	1
928	FixedTeamChangeSkillTimes	1
929	FixedTeamCreatTeamNpc	2;npc_10002
930	FixedTeamFeedExp	2
931	FixedTeamAddMemberAllOnline	1
932	FixedTeamMaxDailyExp	200
933	FixedTeamExpDeductProportion	5,0.2;4,0.25;3,0.33;2,0.5
934	FixedTeamExpUp	2
935	FixedTeamUseSkillMember	3
936	FixedTeamChatLeaveTeam	Msg_FixedTeam_ChatLeaveTeam
937	FixedTeamChatJoinTeam	Msg_FixedTeam_ChatJoinTeam
938	FixedTeamChatChangeCaptain	Msg_FixedTeam_ChatChangeCaptain
939	FixedTeamChatKickTeam	Msg_FixedTeam_ChatKickTeam
940	FixedTeamChatChangeSkill	Msg_FixedTeam_ChatChangeSkill
941	FixedTeamChatFeedPet	Msg_FixedTeam_ChatFeedPet
942	FixedTeamMemberInMessage	Msg_FixedTeam_MemberInMessage
943	FixedTeamTitleId	500;501;502
944	FixedTeamAutoLeaderChangeTime	3
945	EquipAdvancedCurrencyCostBeBack	1
946	HelpPointLevelDemand	5
947	HelpPointMaxDailyNum	600
948	BoxAutomaticOpeningTime	30
949	JoystickSkilButtonFirstDragLimit	15
950	ActivityPanelEffect	4511,10196,0
951	ReduceFuncCrack	crack/crack_001.lua
952	ReduceFuncDevil	npc/yucun/devil_1001.lua
953	OccupationShopRelation	hero101,6;hero102,7;hero103,8;hero107,8;hero104,9;hero108,9;hero105,10;hero106,11
954	ProposeContentInputMaxCount	30
955	FirstMarriedTaskID	480010
956	LoveTaskAutoCancelTime	432000
957	EngageFutariRange	6
958	ForceDivorceNum	3
959	ForceDivorceCost	1,1000000;1,1000000;1,1000000
960	ForceDivorceRefuseNum	2
961	EngageFutariCost	1,1000000
962	RefuseDivorceTime	1
963	CancelDivorceTime	4
964	MarriageAwardDropId	70412
965	FerePanelSkillEffectScaleInfo	0.7,2.0,110000
966	ForceDivorceFriendPointReduce	1
967	ApplyForceDivorceCD	60
968	AgreementDivorceFriendPointReduce	500
969	FereGotNpcInfo	ClickNpc:2;npc_10075
970	FereDivorceShowTime	20000
971	ProposePanelShowTime	20000
972	MarriageItemEnjoymentLevel	15
973	MarriageItemEnjoymentTimes	60
974	FerePhotoShowTime	8
975	DefaultStrollUnlockId	10010
976	DefaultStrollUnlockRank	1
977	DefaultStrollShowAngle	0,0,0;0,0,0
978	ExchangeSellChargePercent	8
979	FestivalFunc2Activity	242,4512;236,4511;421,8400
980	MidSummerChangePanelWaitTime	1
981	MidSummerChangePanelTime	0.5
982	AdLoginActivePopGetReward	bg_tomorrow,bg_pupkin
983	DayEnergyLimit	600
984	Rareequipbuylimit	0
985	ActivityCheckinReward	item91000000033;item91000000017
986	IgnoreRareEquipBuyLimit	1000
987	ThirdPartyPaymentID	xy.thirdpay.10000
988	HeroRoadLevelMsgPre	heroroad_level
989	EvilValueChange	25
990	TDPERtoMonster	4
991	GuildLeagueFightTime	1800
992	GuildLeagueTowerPerRepairCost	45000
993	GuildLeagueFullEnergyNum	270000
994	GuildLeagueCollectEnergyNum	45000
995	GuildLeagueBlueTowerNpcId	guildleague_crystal_blue;guildleague_bluetower_left01;guildleague_bluetower_middle01;guildleague_bluetower_right01;guildleague_bluetower_left02;guildleague_bluetower_middle02;guildleague_bluetower_right02;guildleague_bluetower_left03;guildleague_bluetower_middle03;guildleague_bluetower_right03
996	GuildLeagueRedTowerNpcId	guildleague_crystal_red;guildleague_redtower_left01;guildleague_redtower_middle01;guildleague_redtower_right01;guildleague_redtower_left02;guildleague_redtower_middle02;guildleague_redtower_right02;guildleague_redtower_left03;guildleague_redtower_middle03;guildleague_redtower_right03
997	GuildLeagueBlueTowerIcon	blue_tower
998	GuildLeagueBlueCrystalIcon	blue_crystal
999	GuildLeagueRedTowerIcon	red_tower
1000	GuildLeagueRedCrystalIcon	red_crystal
1001	GuildLeagueDisturbDeviceIcon	btn_guildtower
1002	GuildLeagueDisturbedDeviceIcon	btn_guildtower
1003	GuildLeagueTopFightBlueDoorNpc	door_guildleague_topfight_blue
1004	GuildLeagueTopFightRedDoorNpc	door_guildleague_topfight_red
1005	GuildLeagueTopFightBlueBackDoorNpc	door_guildleague_topfight_blueback
1006	GuildLeagueTopFightRedBackDoorNpc	door_guildleague_topfight_redback
1007	GuildLeagueAppointFlagMemberNum	5
1008	GuildLeagueAppointEliteMemberNum	40
1009	GuildLeagueTopFightMember	5
1010	GuildLeagueDisturbTime	30
1011	GuildLeagueCrystalFieldMember	40
1012	GuildLeagueEnergyFieldMember	40
1013	GuildLeagueCannonFieldMember	40
1014	GuildLeagueTopFightFirstOpenTime	0
1015	GuildLeagueTopFightFirstFlagTime	300
1016	GuildLeagueTopFightFirstWaitTime	60
1017	GuildLeagueTopFightFirstDoorTime	120
1018	GuildLeagueTopFightFirstMatchTime	180
1019	GuildLeagueTopFightSecondOpenTime	720
1020	GuildLeagueTopFightSecondFlagTime	300
1021	GuildLeagueTopFightSecondWaitTime	60
1022	GuildLeagueTopFightSecondDoorTime	120
1023	GuildLeagueTopFightSecondMatchTime	180
1024	GuildLeagueGuildFieldMonster	monster10000144
1025	GuildLeagueGuildFieldMonsterKey	GuildLeagueMonster
1026	GuildLeagueRecoverTowerPosition	1;2
1027	GuildLeagueOpenDays	8
1028	GuildLeagueCrossOpenDays	22
1029	GuildLeaguePublishEnemyTime	11,00
1030	GuildLeagueCloseMatchArrangement	600
1031	GuildLeagueGroupGuildNum	8
1032	GuildLeagueBigCannonReloadTime	25
1033	GuildLeagueWinPoint	50000
1034	GuildLeagueClickScreenContinueTime	5
1035	GuildLeagueLeaveFieldTime	15
1036	GuildLeagueLeaveFlagTime	10
1037	GuildLeagueFirstMatchTime	19,45;20,16,59
1038	GuildLeagueSecondMatchTime	20,30;21,01,59
1039	GuildLeagueGuildChestLimitNum	3
1040	GuildLeagueWorshipMoney	4,20;1,60000;1,30000
1041	GuildLeagueMatchNum	8
1042	GuildLeagueReviveCD	10
1043	GuildLeaguePrepareSceneID	65
1044	GuildLeagueCrystalBlueId	guildleague_crystal_blue
1045	GuildLeagueCrystalRedId	guildleague_crystal_red
1046	GuildLeagueCrystalBlueCamPos	56.98,8.85,51.12
1047	GuildLeagueCrystalRedCamPos	-57.11,8.77,-52.77
1048	GuildLeagueCrystalBlueCamRot	25.9,21.8,0
1049	GuildLeagueCrystalRedCamRot	25.9,210.73,0
1050	GuildLeagueCrystalCamSpd	1.5
1051	GuildLeagueCrystalDeadEffectPlayTime	3.5
1052	GuildLeagueCrystalFieldJump	-0.11,-0.64,-10.63
1053	GuildLeagueEnergyFieldJump	-0.14,-0.64,11.33
1054	GuildLeagueCannonFieldJump	-15.95,-0.62,10.02
1055	GuildLeagueTopFightDeathMode	guildleague_buff::buff_death_mode
1056	GuildLeagueTopFightDeathModeTime	60
1057	GuildLeagueBigCannonTowerDamage	guildleague_buff::buff_siegecannon_tower
1058	GuildLeagueBigCannonPlayerDamage	guildleague_buff::buff_siegecannon_player
1059	GuildLeagueSmallCannonTowerDamage	guildleague_buff::buff_hqcannon_tower
1060	GuildLeagueSmallCannonPlayerDamage	guildleague_buff::buff_hqcannon_player
1061	GuildLeagueWinRewardShow	item100700000021,1
1062	GuildLeagueLoseRewardShow	item100700000022,1
1063	GuildLeagueTowerAttackNoticeTime	60
1064	GuildLeagueTopFightCountDown	3
1065	GuildLeagueRedCannonNpc	cannon_guildleague_enemy
1066	GuildLeagueBlueCannonNpc	cannon_guildleague_me
1067	IsOpenCrossGuildLeague	1
1068	GuildLeagueTowerBuff	guildleague_buff::buff_gtodrd_basic
1069	GuildLeagueCrystalBuff	guildleague_buff::buff_crystal_protect
1070	GuildLeagueCrossRequireMemberNum	20
1071	GuildLeagueCrossRequireLevelNum	40
1072	GuildLeagueCrossRequireLevelMemberNum	10
1073	GuildLeagueCrossRequireGuildMemberNum	4
1074	GuildLeagueMysteryRewardLimit	300
1075	GuildLeagueTopFightUITime	4
1076	GuildLeagueWorshipAvatarPos	-0.1,-1.47,3.94
1077	GuildLeagueWorshipAvatarRotate	0,180,0
1078	GuildLeagueWorshipAvatarScale	2
1079	GuildLeagueWarningEffectYaxis	0.5
1080	GuildLeagueBaseAvatarZoom	0.5
1081	GuildLeagueScreenTowerAttack	blue_tower_attack
1082	GuildLeagueScreenBlueTowerDestory	blue_tower_destroy
1083	GuildLeagueScreenRedTowerDestory	red_tower_destroy
1084	GuildLeagueScreenBlueOpenBigCannon	big_cannon
1085	GuildLeagueScreenRedOpenBigCannon	big_cannon
1086	GuildLeagueScreenBlueOpenSmallCannon	blue_smallcannon
1087	GuildLeagueScreenRedOpenSmallCannon	red_smallcannon
1088	GuildLeagueScreenBlueOpenDisturb	disturb_device
1089	GuildLeagueScreenRedOpenDisturb	disturb_device
1090	GuildLeagueScreenBombMonster	enemy_monster
1091	GuildLeagueScreenUIShowTime	3
1092	GuildLeagueBlueTopFightPosition	-92.59,517.92,115.74,225
1093	GuildLeagueRedTopFightPosition	-120.88,517.92,87.31,45
1094	GuildLeagueFuncOpenConfig	1
1095	GuildLeagueMysteryNPCID	npc_10513
1096	GuildLeagueAuctionMinNumLimit	20
1097	GuildLeagueTeamNumber	10
1098	GuildLeagueChampionCheckDay	14
1099	GuildLeagueChampionCombineSeverCheckDay	21
1100	GuildLeagueFinishSeasonGmSwitch	0
1101	KingTowerPrepareWaitTime	300
1102	KingTowerWinScore	40
1103	KingTowerLoseScore	20
1104	KingTowerBattleAliveScore	2
1105	KingTowerGetScoreTimes	10
1106	KingTowerSceneWaitTime	15
1107	KingTowerSceneBattleTime	100
1108	KingTowerMatchTime	10
1109	KingTowerCreateTeamCost	1,500000
1110	KingTowerRenameCost	1,200000
1111	KingTowerSameProfessionNumLimit	2
1112	KingTowerTeamMaxCount	7
1113	KingTowerTeamLimitMatchNum	3
1114	KingTowerTeamRecruitCD	60
1115	KingToweWaitSceneExp	5
1116	KingToweAutoLeaveTime	12
1117	KingTowerTeamNameLength	6
1118	KingTowerManifestoLength	50
1119	KingTowerSerchTeamLength	6
1120	KingTowerMatchNum	15
1121	KingTowerMatchIntervalTime	150
1122	KingTowerMatchByeNotice	MSG_KingTowerMatchByeNotice
1123	KingTowerCreateTeamNotice	MSG_KingTowerCreateTeamNotice
1124	KingTowerRenameTeamNotice	MSG_KingTowerRenameTeamNotice
1125	KingTowerLeaveTeamNotice	MSG_KingTowerLeaveTeamNotice
1126	KingTowerJoinTeamNotice	MSG_KingTowerJoinTeamNotice
1127	KingTowerBattleWinNotice	MSG_KingTowerBattleWinNotice
1128	KingTowerBattleLoseNotice	MSG_KingTowerBattleLoseNotice
1129	KingTowerBattleMaxNotice	MSG_KingTowerBattleMaxNotice
1130	KingTowerNoMatchNotice	MSG_KingTowerNoMatchNotice
1131	KingTowerDamageFactor	0.5
1132	DelayLeaveLevelNotice	5
1133	SzellpeakMemberNumber	3
1134	SzellpeakCountDown	5
1135	SzellpeakCallMonster	0.5,0.8
1136	SzellpeakBookGetWay	164;160
1137	SzellpeakBookResolveGuide	4
1138	NightStartTime	17.5
1139	NightEndTime	5.0
1140	NightOpenLevel	30
1141	SceneWeatherEffectShowRange	20
1142	SceneWeatherEffectDisableTime	10
1143	GuildAreaLeaveSafetyInvincibleTime	5
1144	GuildAreaSceneGuildMemberNum	100
1145	GuildAreaAuctionHouseProfitTax	0.8
1146	GuildAreaConveneValidTime	20
1147	GuildAreaFalseBossLastKillNotice	Msg_Guildarea_FalseBoss_LastKill_Notice
1148	GuildAreaRealBossLastKillNotice	Msg_Guildarea_RealBoss_LastKill_Notice
1149	GuildAreaSceneEffPosition	71,-35.55,-4.5,-24.2,10213;171,17.98,2.82,-37.21,10213;271,24.2,4.8,-45.7,10213
1150	GuildAreaUseCallItemNotice	Msg_Guildarea_UseCallSuccess_Notice
1151	GuildPKBossMapIconName	icon_worldboss_map
1152	GuildPKSceneReliveTime	6
1153	XianYuQuickCantSwitchAccountChannels	24,17,179,200
1154	XianYuQuickCantResumeLoginFailedChannels	14,926,114,9,15,23,24
1155	XianYuQuickNotShowVerifiedChannels	29
1156	HolyPowerUpperLimit	1000
1157	ForgingIntegRankBaseInteg	5000
1158	timerefresh	70
1159	MercenaryResolveItems	item105000000022;item105000000023;item105000000024;item105000000025;item105000000026
1160	GetLuckyItemsInBagNotice	Msg_Soldier_LuckyitemsNotice
1161	GetQualitySoldierCount	10
1162	DefaultGetSoldier	soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005
1163	Hero001DefaultTeam	soldier_npc_10002,1;soldier_npc_10004,2
1164	Hero002DefaultTeam	soldier_npc_10005,1;soldier_npc_10004,2
1165	Hero003DefaultTeam	soldier_npc_10002,1;soldier_npc_10005,2
1166	Hero004DefaultTeam	soldier_npc_10004,1;soldier_npc_10005,2
1167	Hero005DefaultTeam	soldier_npc_10002,1;soldier_npc_10004,2
1168	Hero006DefaultTeam	soldier_npc_10002,1;soldier_npc_10004,2
1169	SoldierSupProp	34,15000
1170	HallowForGuild	3
1171	GuildHallowAuthorityCheck	1;2
1172	GuildTaskTransPoint	20
1173	GuildDonationTransPoint	20
1174	GuildHallowContribute	item100600000004
1175	PersonalHallowChargedNum	1000
