流水id	npc编号	技能分类	灵魂技能解锁需佣兵等级	灵魂技能Id	灵魂技能等级	升级灵魂技能所需消耗
482	soldier_npc_10010	1	0	skill401105	6	
483	soldier_npc_10010	1	0	skill401105	7	
484	soldier_npc_10010	1	0	skill401105	8	
485	soldier_npc_10010	1	0	skill401105	9	
486	soldier_npc_10010	1	0	skill401105	10	
487	soldier_npc_10010	2	35	skill401101	1	
488	soldier_npc_10010	2	35	skill401101	2	item105000000068,1
489	soldier_npc_10010	2	35	skill401101	3	item105000000068,2
490	soldier_npc_10010	2	35	skill401101	4	item105000000068,3
491	soldier_npc_10010	2	41	skill401101	5	item105000000068,5
492	soldier_npc_10010	2	41	skill401101	6	item105000000068,7
493	soldier_npc_10010	2	61	skill401101	7	item105000000068,9
494	soldier_npc_10010	2	61	skill401101	8	item105000000068,11
495	soldier_npc_10010	2	71	skill401101	9	item105000000068,13
496	soldier_npc_10010	2	71	skill401101	10	item105000000068,15
497	soldier_npc_10010	2	35	skill401102	1	
498	soldier_npc_10010	2	35	skill401102	2	item105000000069,1
499	soldier_npc_10010	2	35	skill401102	3	item105000000069,2
500	soldier_npc_10010	2	35	skill401102	4	item105000000069,3
501	soldier_npc_10010	2	41	skill401102	5	item105000000069,5
502	soldier_npc_10010	2	41	skill401102	6	item105000000069,7
503	soldier_npc_10010	2	61	skill401102	7	item105000000069,9
504	soldier_npc_10010	2	61	skill401102	8	item105000000069,11
505	soldier_npc_10010	2	71	skill401102	9	item105000000069,13
506	soldier_npc_10010	2	71	skill401102	10	item105000000069,15
507	soldier_npc_10010	2	35	skill401103	1	
508	soldier_npc_10010	2	35	skill401103	2	item105000000070,1
509	soldier_npc_10010	2	35	skill401103	3	item105000000070,2
510	soldier_npc_10010	2	35	skill401103	4	item105000000070,3
511	soldier_npc_10010	2	41	skill401103	5	item105000000070,5
512	soldier_npc_10010	2	41	skill401103	6	item105000000070,7
513	soldier_npc_10010	2	61	skill401103	7	item105000000070,9
514	soldier_npc_10010	2	61	skill401103	8	item105000000070,11
515	soldier_npc_10010	2	71	skill401103	9	item105000000070,13
516	soldier_npc_10010	2	71	skill401103	10	item105000000070,15
517	soldier_npc_10010	2	35	skill401104	1	
518	soldier_npc_10010	2	35	skill401104	2	item105000000071,1
519	soldier_npc_10010	2	35	skill401104	3	item105000000071,2
520	soldier_npc_10010	2	35	skill401104	4	item105000000071,3
521	soldier_npc_10010	2	41	skill401104	5	item105000000071,5
522	soldier_npc_10010	2	41	skill401104	6	item105000000071,7
523	soldier_npc_10010	2	61	skill401104	7	item105000000071,9
524	soldier_npc_10010	2	61	skill401104	8	item105000000071,11
525	soldier_npc_10010	2	71	skill401104	9	item105000000071,13
526	soldier_npc_10010	2	71	skill401104	10	item105000000071,15
527	soldier_npc_10010	3	0	skill401106	1	
528	soldier_npc_10010	3	0	skill401107	1	
529	soldier_npc_10010	3	0	skill401108	1	
530	soldier_npc_10010	3	0	skill401109	1	
531	soldier_npc_10012	1	0	skill400105	1	
532	soldier_npc_10012	1	0	skill400105	2	
533	soldier_npc_10012	1	0	skill400105	3	
534	soldier_npc_10012	1	0	skill400105	4	
535	soldier_npc_10012	1	0	skill400105	5	
536	soldier_npc_10012	1	0	skill400105	6	
537	soldier_npc_10012	1	0	skill400105	7	
538	soldier_npc_10012	1	0	skill400105	8	
539	soldier_npc_10012	1	0	skill400105	9	
540	soldier_npc_10012	1	0	skill400105	10	
541	soldier_npc_10012	2	35	skill400101	1	
542	soldier_npc_10012	2	35	skill400101	2	item105000000068,1
543	soldier_npc_10012	2	35	skill400101	3	item105000000068,2
544	soldier_npc_10012	2	35	skill400101	4	item105000000068,3
545	soldier_npc_10012	2	41	skill400101	5	item105000000068,5
546	soldier_npc_10012	2	41	skill400101	6	item105000000068,7
547	soldier_npc_10012	2	61	skill400101	7	item105000000068,9
548	soldier_npc_10012	2	61	skill400101	8	item105000000068,11
549	soldier_npc_10012	2	71	skill400101	9	item105000000068,13
550	soldier_npc_10012	2	71	skill400101	10	item105000000068,15
551	soldier_npc_10012	2	35	skill400102	1	
552	soldier_npc_10012	2	35	skill400102	2	item105000000069,1
553	soldier_npc_10012	2	35	skill400102	3	item105000000069,2
554	soldier_npc_10012	2	35	skill400102	4	item105000000069,3
555	soldier_npc_10012	2	41	skill400102	5	item105000000069,5
556	soldier_npc_10012	2	41	skill400102	6	item105000000069,7
557	soldier_npc_10012	2	61	skill400102	7	item105000000069,9
558	soldier_npc_10012	2	61	skill400102	8	item105000000069,11
559	soldier_npc_10012	2	71	skill400102	9	item105000000069,13
560	soldier_npc_10012	2	71	skill400102	10	item105000000069,15
561	soldier_npc_10012	2	35	skill400103	1	
562	soldier_npc_10012	2	35	skill400103	2	item105000000070,1
563	soldier_npc_10012	2	35	skill400103	3	item105000000070,2
564	soldier_npc_10012	2	35	skill400103	4	item105000000070,3
565	soldier_npc_10012	2	41	skill400103	5	item105000000070,5
566	soldier_npc_10012	2	41	skill400103	6	item105000000070,7
567	soldier_npc_10012	2	61	skill400103	7	item105000000070,9
568	soldier_npc_10012	2	61	skill400103	8	item105000000070,11
569	soldier_npc_10012	2	71	skill400103	9	item105000000070,13
570	soldier_npc_10012	2	71	skill400103	10	item105000000070,15
571	soldier_npc_10012	2	35	skill400104	1	
572	soldier_npc_10012	2	35	skill400104	2	item105000000071,1
573	soldier_npc_10012	2	35	skill400104	3	item105000000071,2
574	soldier_npc_10012	2	35	skill400104	4	item105000000071,3
575	soldier_npc_10012	2	41	skill400104	5	item105000000071,5
576	soldier_npc_10012	2	41	skill400104	6	item105000000071,7
577	soldier_npc_10012	2	61	skill400104	7	item105000000071,9
578	soldier_npc_10012	2	61	skill400104	8	item105000000071,11
579	soldier_npc_10012	2	71	skill400104	9	item105000000071,13
580	soldier_npc_10012	2	71	skill400104	10	item105000000071,15
581	soldier_npc_10012	3	0	skill400106	1	
582	soldier_npc_10012	3	0	skill400107	1	
583	soldier_npc_10012	3	0	skill400108	1	
584	soldier_npc_10012	3	0	skill400109	1	
585	soldier_npc_10013	1	0	skill400205	1	
586	soldier_npc_10013	1	0	skill400205	2	
587	soldier_npc_10013	1	0	skill400205	3	
588	soldier_npc_10013	1	0	skill400205	4	
589	soldier_npc_10013	1	0	skill400205	5	
590	soldier_npc_10013	1	0	skill400205	6	
591	soldier_npc_10013	1	0	skill400205	7	
592	soldier_npc_10013	1	0	skill400205	8	
593	soldier_npc_10013	1	0	skill400205	9	
594	soldier_npc_10013	1	0	skill400205	10	
595	soldier_npc_10013	2	35	skill400201	1	
596	soldier_npc_10013	2	35	skill400201	2	item105000000068,1
597	soldier_npc_10013	2	35	skill400201	3	item105000000068,2
598	soldier_npc_10013	2	35	skill400201	4	item105000000068,3
599	soldier_npc_10013	2	41	skill400201	5	item105000000068,5
600	soldier_npc_10013	2	41	skill400201	6	item105000000068,7
601	soldier_npc_10013	2	61	skill400201	7	item105000000068,9
602	soldier_npc_10013	2	61	skill400201	8	item105000000068,11
603	soldier_npc_10013	2	71	skill400201	9	item105000000068,13
604	soldier_npc_10013	2	71	skill400201	10	item105000000068,15
605	soldier_npc_10013	2	35	skill400202	1	
606	soldier_npc_10013	2	35	skill400202	2	item105000000069,1
607	soldier_npc_10013	2	35	skill400202	3	item105000000069,2
608	soldier_npc_10013	2	35	skill400202	4	item105000000069,3
609	soldier_npc_10013	2	41	skill400202	5	item105000000069,5
610	soldier_npc_10013	2	41	skill400202	6	item105000000069,7
611	soldier_npc_10013	2	61	skill400202	7	item105000000069,9
612	soldier_npc_10013	2	61	skill400202	8	item105000000069,11
613	soldier_npc_10013	2	71	skill400202	9	item105000000069,13
614	soldier_npc_10013	2	71	skill400202	10	item105000000069,15
615	soldier_npc_10013	2	35	skill400203	1	
616	soldier_npc_10013	2	35	skill400203	2	item105000000070,1
617	soldier_npc_10013	2	35	skill400203	3	item105000000070,2
618	soldier_npc_10013	2	35	skill400203	4	item105000000070,3
619	soldier_npc_10013	2	41	skill400203	5	item105000000070,5
620	soldier_npc_10013	2	41	skill400203	6	item105000000070,7
621	soldier_npc_10013	2	61	skill400203	7	item105000000070,9
622	soldier_npc_10013	2	61	skill400203	8	item105000000070,11
623	soldier_npc_10013	2	71	skill400203	9	item105000000070,13
624	soldier_npc_10013	2	71	skill400203	10	item105000000070,15
625	soldier_npc_10013	2	35	skill400204	1	
626	soldier_npc_10013	2	35	skill400204	2	item105000000071,1
627	soldier_npc_10013	2	35	skill400204	3	item105000000071,2
628	soldier_npc_10013	2	35	skill400204	4	item105000000071,3
629	soldier_npc_10013	2	41	skill400204	5	item105000000071,5
630	soldier_npc_10013	2	41	skill400204	6	item105000000071,7
631	soldier_npc_10013	2	61	skill400204	7	item105000000071,9
632	soldier_npc_10013	2	61	skill400204	8	item105000000071,11
633	soldier_npc_10013	2	71	skill400204	9	item105000000071,13
634	soldier_npc_10013	2	71	skill400204	10	item105000000071,15
635	soldier_npc_10013	3	0	skill400206	1	
636	soldier_npc_10013	3	0	skill400207	1	
637	soldier_npc_10013	3	0	skill400208	1	
638	soldier_npc_10013	3	0	skill400209	1	
639	soldier_npc_10014	1	0	skill400305	1	
640	soldier_npc_10014	1	0	skill400305	2	
641	soldier_npc_10014	1	0	skill400305	3	
642	soldier_npc_10014	1	0	skill400305	4	
643	soldier_npc_10014	1	0	skill400305	5	
644	soldier_npc_10014	1	0	skill400305	6	
645	soldier_npc_10014	1	0	skill400305	7	
646	soldier_npc_10014	1	0	skill400305	8	
647	soldier_npc_10014	1	0	skill400305	9	
648	soldier_npc_10014	1	0	skill400305	10	
649	soldier_npc_10014	2	35	skill400301	1	
650	soldier_npc_10014	2	35	skill400301	2	item105000000068,1
651	soldier_npc_10014	2	35	skill400301	3	item105000000068,2
652	soldier_npc_10014	2	35	skill400301	4	item105000000068,3
653	soldier_npc_10014	2	41	skill400301	5	item105000000068,5
654	soldier_npc_10014	2	41	skill400301	6	item105000000068,7
655	soldier_npc_10014	2	61	skill400301	7	item105000000068,9
656	soldier_npc_10014	2	61	skill400301	8	item105000000068,11
657	soldier_npc_10014	2	71	skill400301	9	item105000000068,13
658	soldier_npc_10014	2	71	skill400301	10	item105000000068,15
659	soldier_npc_10014	2	35	skill400302	1	
660	soldier_npc_10014	2	35	skill400302	2	item105000000069,1
661	soldier_npc_10014	2	35	skill400302	3	item105000000069,2
662	soldier_npc_10014	2	35	skill400302	4	item105000000069,3
663	soldier_npc_10014	2	41	skill400302	5	item105000000069,5
664	soldier_npc_10014	2	41	skill400302	6	item105000000069,7
665	soldier_npc_10014	2	61	skill400302	7	item105000000069,9
666	soldier_npc_10014	2	61	skill400302	8	item105000000069,11
667	soldier_npc_10014	2	71	skill400302	9	item105000000069,13
668	soldier_npc_10014	2	71	skill400302	10	item105000000069,15
669	soldier_npc_10014	2	35	skill400303	1	
670	soldier_npc_10014	2	35	skill400303	2	item105000000070,1
671	soldier_npc_10014	2	35	skill400303	3	item105000000070,2
672	soldier_npc_10014	2	35	skill400303	4	item105000000070,3
673	soldier_npc_10014	2	41	skill400303	5	item105000000070,5
674	soldier_npc_10014	2	41	skill400303	6	item105000000070,7
675	soldier_npc_10014	2	61	skill400303	7	item105000000070,9
676	soldier_npc_10014	2	61	skill400303	8	item105000000070,11
677	soldier_npc_10014	2	71	skill400303	9	item105000000070,13
678	soldier_npc_10014	2	71	skill400303	10	item105000000070,15
679	soldier_npc_10014	2	35	skill400304	1	
680	soldier_npc_10014	2	35	skill400304	2	item105000000071,1
681	soldier_npc_10014	2	35	skill400304	3	item105000000071,2
682	soldier_npc_10014	2	35	skill400304	4	item105000000071,3
683	soldier_npc_10014	2	41	skill400304	5	item105000000071,5
684	soldier_npc_10014	2	41	skill400304	6	item105000000071,7
685	soldier_npc_10014	2	61	skill400304	7	item105000000071,9
686	soldier_npc_10014	2	61	skill400304	8	item105000000071,11
687	soldier_npc_10014	2	71	skill400304	9	item105000000071,13
688	soldier_npc_10014	2	71	skill400304	10	item105000000071,15
689	soldier_npc_10014	3	0	skill400306	1	
690	soldier_npc_10014	3	0	skill400307	1	
691	soldier_npc_10014	3	0	skill400308	1	
692	soldier_npc_10014	3	0	skill400309	1	
693	soldier_npc_10015	1	0	skill400405	1	
694	soldier_npc_10015	1	0	skill400405	2	
695	soldier_npc_10015	1	0	skill400405	3	
696	soldier_npc_10015	1	0	skill400405	4	
697	soldier_npc_10015	1	0	skill400405	5	
698	soldier_npc_10015	1	0	skill400405	6	
699	soldier_npc_10015	1	0	skill400405	7	
700	soldier_npc_10015	1	0	skill400405	8	
701	soldier_npc_10015	1	0	skill400405	9	
702	soldier_npc_10015	1	0	skill400405	10	
703	soldier_npc_10015	2	35	skill400401	1	
704	soldier_npc_10015	2	35	skill400401	2	item105000000068,1
705	soldier_npc_10015	2	35	skill400401	3	item105000000068,2
706	soldier_npc_10015	2	35	skill400401	4	item105000000068,3
707	soldier_npc_10015	2	41	skill400401	5	item105000000068,5
708	soldier_npc_10015	2	41	skill400401	6	item105000000068,7
709	soldier_npc_10015	2	61	skill400401	7	item105000000068,9
710	soldier_npc_10015	2	61	skill400401	8	item105000000068,11
711	soldier_npc_10015	2	71	skill400401	9	item105000000068,13
712	soldier_npc_10015	2	71	skill400401	10	item105000000068,15
713	soldier_npc_10015	2	35	skill400402	1	
714	soldier_npc_10015	2	35	skill400402	2	item105000000069,1
715	soldier_npc_10015	2	35	skill400402	3	item105000000069,2
716	soldier_npc_10015	2	35	skill400402	4	item105000000069,3
717	soldier_npc_10015	2	41	skill400402	5	item105000000069,5
718	soldier_npc_10015	2	41	skill400402	6	item105000000069,7
719	soldier_npc_10015	2	61	skill400402	7	item105000000069,9
720	soldier_npc_10015	2	61	skill400402	8	item105000000069,11
721	soldier_npc_10015	2	71	skill400402	9	item105000000069,13
722	soldier_npc_10015	2	71	skill400402	10	item105000000069,15
723	soldier_npc_10015	2	35	skill400403	1	
724	soldier_npc_10015	2	35	skill400403	2	item105000000070,1
725	soldier_npc_10015	2	35	skill400403	3	item105000000070,2
726	soldier_npc_10015	2	35	skill400403	4	item105000000070,3
727	soldier_npc_10015	2	41	skill400403	5	item105000000070,5
728	soldier_npc_10015	2	41	skill400403	6	item105000000070,7
729	soldier_npc_10015	2	61	skill400403	7	item105000000070,9
730	soldier_npc_10015	2	61	skill400403	8	item105000000070,11
731	soldier_npc_10015	2	71	skill400403	9	item105000000070,13
732	soldier_npc_10015	2	71	skill400403	10	item105000000070,15
733	soldier_npc_10015	2	35	skill400404	1	
734	soldier_npc_10015	2	35	skill400404	2	item105000000071,1
735	soldier_npc_10015	2	35	skill400404	3	item105000000071,2
736	soldier_npc_10015	2	35	skill400404	4	item105000000071,3
737	soldier_npc_10015	2	41	skill400404	5	item105000000071,5
738	soldier_npc_10015	2	41	skill400404	6	item105000000071,7
739	soldier_npc_10015	2	61	skill400404	7	item105000000071,9
740	soldier_npc_10015	2	61	skill400404	8	item105000000071,11
741	soldier_npc_10015	2	71	skill400404	9	item105000000071,13
742	soldier_npc_10015	2	71	skill400404	10	item105000000071,15
743	soldier_npc_10015	3	0	skill400406	1	
744	soldier_npc_10015	3	0	skill400407	1	
745	soldier_npc_10015	3	0	skill400408	1	
746	soldier_npc_10015	3	0	skill400409	1	
747	soldier_npc_10016	1	0	skill400505	1	
748	soldier_npc_10016	1	0	skill400505	2	
749	soldier_npc_10016	1	0	skill400505	3	
750	soldier_npc_10016	1	0	skill400505	4	
751	soldier_npc_10016	1	0	skill400505	5	
752	soldier_npc_10016	1	0	skill400505	6	
753	soldier_npc_10016	1	0	skill400505	7	
754	soldier_npc_10016	1	0	skill400505	8	
755	soldier_npc_10016	1	0	skill400505	9	
756	soldier_npc_10016	1	0	skill400505	10	
757	soldier_npc_10016	2	35	skill400501	1	
758	soldier_npc_10016	2	35	skill400501	2	item105000000068,2
759	soldier_npc_10016	2	35	skill400501	3	item105000000068,4
760	soldier_npc_10016	2	35	skill400501	4	item105000000068,6
761	soldier_npc_10016	2	41	skill400501	5	item105000000068,8
762	soldier_npc_10016	2	41	skill400501	6	item105000000068,10
763	soldier_npc_10016	2	61	skill400501	7	item105000000068,12
764	soldier_npc_10016	2	61	skill400501	8	item105000000068,14
765	soldier_npc_10016	2	71	skill400501	9	item105000000068,16
766	soldier_npc_10016	2	71	skill400501	10	item105000000068,18
767	soldier_npc_10016	2	35	skill400502	1	
768	soldier_npc_10016	2	35	skill400502	2	item105000000069,2
769	soldier_npc_10016	2	35	skill400502	3	item105000000069,4
770	soldier_npc_10016	2	35	skill400502	4	item105000000069,6
771	soldier_npc_10016	2	41	skill400502	5	item105000000069,8
772	soldier_npc_10016	2	41	skill400502	6	item105000000069,10
773	soldier_npc_10016	2	61	skill400502	7	item105000000069,12
774	soldier_npc_10016	2	61	skill400502	8	item105000000069,14
775	soldier_npc_10016	2	71	skill400502	9	item105000000069,16
776	soldier_npc_10016	2	71	skill400502	10	item105000000069,18
777	soldier_npc_10016	2	35	skill400503	1	
778	soldier_npc_10016	2	35	skill400503	2	item105000000070,2
779	soldier_npc_10016	2	35	skill400503	3	item105000000070,4
780	soldier_npc_10016	2	35	skill400503	4	item105000000070,6
781	soldier_npc_10016	2	41	skill400503	5	item105000000070,8
782	soldier_npc_10016	2	41	skill400503	6	item105000000070,10
783	soldier_npc_10016	2	61	skill400503	7	item105000000070,12
784	soldier_npc_10016	2	61	skill400503	8	item105000000070,14
785	soldier_npc_10016	2	71	skill400503	9	item105000000070,16
786	soldier_npc_10016	2	71	skill400503	10	item105000000070,18
787	soldier_npc_10016	2	35	skill400504	1	
788	soldier_npc_10016	2	35	skill400504	2	item105000000071,2
789	soldier_npc_10016	2	35	skill400504	3	item105000000071,4
790	soldier_npc_10016	2	35	skill400504	4	item105000000071,6
791	soldier_npc_10016	2	41	skill400504	5	item105000000071,8
792	soldier_npc_10016	2	41	skill400504	6	item105000000071,10
793	soldier_npc_10016	2	61	skill400504	7	item105000000071,12
794	soldier_npc_10016	2	61	skill400504	8	item105000000071,14
795	soldier_npc_10016	2	71	skill400504	9	item105000000071,16
796	soldier_npc_10016	2	71	skill400504	10	item105000000071,18
797	soldier_npc_10016	3	0	skill400506	1	
798	soldier_npc_10016	3	0	skill400507	1	
799	soldier_npc_10016	3	0	skill400508	1	
800	soldier_npc_10016	3	0	skill400509	1	
801	soldier_npc_10017	1	0	skill400605	1	
802	soldier_npc_10017	1	0	skill400605	2	
803	soldier_npc_10017	1	0	skill400605	3	
804	soldier_npc_10017	1	0	skill400605	4	
805	soldier_npc_10017	1	0	skill400605	5	
806	soldier_npc_10017	1	0	skill400605	6	
807	soldier_npc_10017	1	0	skill400605	7	
808	soldier_npc_10017	1	0	skill400605	8	
809	soldier_npc_10017	1	0	skill400605	9	
810	soldier_npc_10017	1	0	skill400605	10	
811	soldier_npc_10017	2	35	skill400601	1	
812	soldier_npc_10017	2	35	skill400601	2	item105000000068,2
813	soldier_npc_10017	2	35	skill400601	3	item105000000068,4
814	soldier_npc_10017	2	35	skill400601	4	item105000000068,6
815	soldier_npc_10017	2	41	skill400601	5	item105000000068,8
816	soldier_npc_10017	2	41	skill400601	6	item105000000068,10
817	soldier_npc_10017	2	61	skill400601	7	item105000000068,12
818	soldier_npc_10017	2	61	skill400601	8	item105000000068,14
819	soldier_npc_10017	2	71	skill400601	9	item105000000068,16
820	soldier_npc_10017	2	71	skill400601	10	item105000000068,18
821	soldier_npc_10017	2	35	skill400602	1	
822	soldier_npc_10017	2	35	skill400602	2	item105000000069,2
823	soldier_npc_10017	2	35	skill400602	3	item105000000069,4
824	soldier_npc_10017	2	35	skill400602	4	item105000000069,6
825	soldier_npc_10017	2	41	skill400602	5	item105000000069,8
826	soldier_npc_10017	2	41	skill400602	6	item105000000069,10
827	soldier_npc_10017	2	61	skill400602	7	item105000000069,12
828	soldier_npc_10017	2	61	skill400602	8	item105000000069,14
829	soldier_npc_10017	2	71	skill400602	9	item105000000069,16
830	soldier_npc_10017	2	71	skill400602	10	item105000000069,18
831	soldier_npc_10017	2	35	skill400603	1	
832	soldier_npc_10017	2	35	skill400603	2	item105000000070,2
833	soldier_npc_10017	2	35	skill400603	3	item105000000070,4
834	soldier_npc_10017	2	35	skill400603	4	item105000000070,6
835	soldier_npc_10017	2	41	skill400603	5	item105000000070,8
836	soldier_npc_10017	2	41	skill400603	6	item105000000070,10
837	soldier_npc_10017	2	61	skill400603	7	item105000000070,12
838	soldier_npc_10017	2	61	skill400603	8	item105000000070,14
839	soldier_npc_10017	2	71	skill400603	9	item105000000070,16
840	soldier_npc_10017	2	71	skill400603	10	item105000000070,18
841	soldier_npc_10017	2	35	skill400604	1	
842	soldier_npc_10017	2	35	skill400604	2	item105000000071,2
843	soldier_npc_10017	2	35	skill400604	3	item105000000071,4
844	soldier_npc_10017	2	35	skill400604	4	item105000000071,6
845	soldier_npc_10017	2	41	skill400604	5	item105000000071,8
846	soldier_npc_10017	2	41	skill400604	6	item105000000071,10
847	soldier_npc_10017	2	61	skill400604	7	item105000000071,12
848	soldier_npc_10017	2	61	skill400604	8	item105000000071,14
849	soldier_npc_10017	2	71	skill400604	9	item105000000071,16
850	soldier_npc_10017	2	71	skill400604	10	item105000000071,18
851	soldier_npc_10017	3	0	skill400606	1	
852	soldier_npc_10017	3	0	skill400607	1	
853	soldier_npc_10017	3	0	skill400608	1	
854	soldier_npc_10017	3	0	skill400609	1	
855	soldier_npc_10018	1	0	skill400705	1	
856	soldier_npc_10018	1	0	skill400705	2	
857	soldier_npc_10018	1	0	skill400705	3	
858	soldier_npc_10018	1	0	skill400705	4	
859	soldier_npc_10018	1	0	skill400705	5	
860	soldier_npc_10018	1	0	skill400705	6	
861	soldier_npc_10018	1	0	skill400705	7	
862	soldier_npc_10018	1	0	skill400705	8	
863	soldier_npc_10018	1	0	skill400705	9	
864	soldier_npc_10018	1	0	skill400705	10	
865	soldier_npc_10018	2	35	skill400701	1	
866	soldier_npc_10018	2	35	skill400701	2	item105000000068,2
867	soldier_npc_10018	2	35	skill400701	3	item105000000068,4
868	soldier_npc_10018	2	35	skill400701	4	item105000000068,6
869	soldier_npc_10018	2	41	skill400701	5	item105000000068,8
870	soldier_npc_10018	2	41	skill400701	6	item105000000068,10
871	soldier_npc_10018	2	61	skill400701	7	item105000000068,12
872	soldier_npc_10018	2	61	skill400701	8	item105000000068,14
873	soldier_npc_10018	2	71	skill400701	9	item105000000068,16
874	soldier_npc_10018	2	71	skill400701	10	item105000000068,18
875	soldier_npc_10018	2	35	skill400702	1	
876	soldier_npc_10018	2	35	skill400702	2	item105000000069,2
877	soldier_npc_10018	2	35	skill400702	3	item105000000069,4
878	soldier_npc_10018	2	35	skill400702	4	item105000000069,6
879	soldier_npc_10018	2	41	skill400702	5	item105000000069,8
880	soldier_npc_10018	2	41	skill400702	6	item105000000069,10
881	soldier_npc_10018	2	61	skill400702	7	item105000000069,12
882	soldier_npc_10018	2	61	skill400702	8	item105000000069,14
883	soldier_npc_10018	2	71	skill400702	9	item105000000069,16
884	soldier_npc_10018	2	71	skill400702	10	item105000000069,18
885	soldier_npc_10018	2	35	skill400703	1	
886	soldier_npc_10018	2	35	skill400703	2	item105000000070,2
887	soldier_npc_10018	2	35	skill400703	3	item105000000070,4
888	soldier_npc_10018	2	35	skill400703	4	item105000000070,6
889	soldier_npc_10018	2	41	skill400703	5	item105000000070,8
890	soldier_npc_10018	2	41	skill400703	6	item105000000070,10
891	soldier_npc_10018	2	61	skill400703	7	item105000000070,12
892	soldier_npc_10018	2	61	skill400703	8	item105000000070,14
893	soldier_npc_10018	2	71	skill400703	9	item105000000070,16
894	soldier_npc_10018	2	71	skill400703	10	item105000000070,18
895	soldier_npc_10018	2	35	skill400704	1	
896	soldier_npc_10018	2	35	skill400704	2	item105000000071,2
897	soldier_npc_10018	2	35	skill400704	3	item105000000071,4
898	soldier_npc_10018	2	35	skill400704	4	item105000000071,6
899	soldier_npc_10018	2	41	skill400704	5	item105000000071,8
900	soldier_npc_10018	2	41	skill400704	6	item105000000071,10
901	soldier_npc_10018	2	61	skill400704	7	item105000000071,12
902	soldier_npc_10018	2	61	skill400704	8	item105000000071,14
903	soldier_npc_10018	2	71	skill400704	9	item105000000071,16
904	soldier_npc_10018	2	71	skill400704	10	item105000000071,18
905	soldier_npc_10018	3	0	skill400706	1	
906	soldier_npc_10018	3	0	skill400707	1	
907	soldier_npc_10018	3	0	skill400708	1	
908	soldier_npc_10018	3	0	skill400709	1	
909	soldier_npc_10019	1	0	skill400005	1	
910	soldier_npc_10019	1	0	skill400005	2	
911	soldier_npc_10019	1	0	skill400005	3	
912	soldier_npc_10019	1	0	skill400005	4	
913	soldier_npc_10019	1	0	skill400005	5	
914	soldier_npc_10019	1	0	skill400005	6	
915	soldier_npc_10019	1	0	skill400005	7	
916	soldier_npc_10019	1	0	skill400005	8	
917	soldier_npc_10019	1	0	skill400005	9	
918	soldier_npc_10019	1	0	skill400005	10	
919	soldier_npc_10019	2	35	skill400001	1	
920	soldier_npc_10019	2	35	skill400001	2	item105000000068,2
921	soldier_npc_10019	2	35	skill400001	3	item105000000068,4
922	soldier_npc_10019	2	35	skill400001	4	item105000000068,6
923	soldier_npc_10019	2	41	skill400001	5	item105000000068,8
924	soldier_npc_10019	2	41	skill400001	6	item105000000068,10
925	soldier_npc_10019	2	61	skill400001	7	item105000000068,12
926	soldier_npc_10019	2	61	skill400001	8	item105000000068,14
927	soldier_npc_10019	2	71	skill400001	9	item105000000068,16
928	soldier_npc_10019	2	71	skill400001	10	item105000000068,18
929	soldier_npc_10019	2	35	skill400002	1	
930	soldier_npc_10019	2	35	skill400002	2	item105000000069,2
931	soldier_npc_10019	2	35	skill400002	3	item105000000069,4
932	soldier_npc_10019	2	35	skill400002	4	item105000000069,6
933	soldier_npc_10019	2	41	skill400002	5	item105000000069,8
934	soldier_npc_10019	2	41	skill400002	6	item105000000069,10
935	soldier_npc_10019	2	61	skill400002	7	item105000000069,12
936	soldier_npc_10019	2	61	skill400002	8	item105000000069,14
937	soldier_npc_10019	2	71	skill400002	9	item105000000069,16
938	soldier_npc_10019	2	71	skill400002	10	item105000000069,18
939	soldier_npc_10019	2	35	skill400003	1	
940	soldier_npc_10019	2	35	skill400003	2	item105000000070,2
941	soldier_npc_10019	2	35	skill400003	3	item105000000070,4
942	soldier_npc_10019	2	35	skill400003	4	item105000000070,6
943	soldier_npc_10019	2	41	skill400003	5	item105000000070,8
944	soldier_npc_10019	2	41	skill400003	6	item105000000070,10
945	soldier_npc_10019	2	61	skill400003	7	item105000000070,12
946	soldier_npc_10019	2	61	skill400003	8	item105000000070,14
947	soldier_npc_10019	2	71	skill400003	9	item105000000070,16
948	soldier_npc_10019	2	71	skill400003	10	item105000000070,18
949	soldier_npc_10019	2	35	skill400004	1	
950	soldier_npc_10019	2	35	skill400004	2	item105000000071,2
951	soldier_npc_10019	2	35	skill400004	3	item105000000071,4
952	soldier_npc_10019	2	35	skill400004	4	item105000000071,6
953	soldier_npc_10019	2	41	skill400004	5	item105000000071,8
954	soldier_npc_10019	2	41	skill400004	6	item105000000071,10
955	soldier_npc_10019	2	61	skill400004	7	item105000000071,12
956	soldier_npc_10019	2	61	skill400004	8	item105000000071,14
957	soldier_npc_10019	2	71	skill400004	9	item105000000071,16
958	soldier_npc_10019	2	71	skill400004	10	item105000000071,18
959	soldier_npc_10019	3	0	skill400006	1	
960	soldier_npc_10019	3	0	skill400007	1	
961	soldier_npc_10019	3	0	skill400008	1	
962	soldier_npc_10019	3	0	skill400009	1	
963	soldier_npc_10020	1	0	skill401305	1	
964	soldier_npc_10020	1	0	skill401305	2	
965	soldier_npc_10020	1	0	skill401305	3	
966	soldier_npc_10020	1	0	skill401305	4	
967	soldier_npc_10020	1	0	skill401305	5	
