ID		标签类型	拍卖类型	等待竞价时间	生命时长（开始竞价后）	货币类型	起拍竞价	每次竞价提升百分比	一口价	重置时间的节点	购买限制
236	item101020503119	5	1	300	7200	2	480000	1000	960000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
237	item101020503120	5	1	300	7200	2	480000	1000	960000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
238	item101020503121	5	1	300	7200	2	480000	1000	960000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
239	item101020503122	5	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
240	item101020503123	5	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
241	item101020503124	5	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
242	item101020503125	5	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
243	item101020503126	5	1	300	7200	2	480000	1000	960000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
244	item101020505209	5	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
245	item101020505210	5	1	300	3600	2	4000	1000	8000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
246	item101020505211	5	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
247	item101020505212	5	1	300	3600	2	4000	1000	8000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
248	item101020505213	5	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
249	item101020505214	5	1	300	3600	2	4000	1000	8000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
250	item101020505215	5	1	300	3600	2	4000	1000	8000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
251	item101020505216	5	1	300	3600	2	9600	1000	19200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
252	item101020505217	5	1	300	3600	2	4000	1000	8000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
253	item101020505218	5	1	300	3600	2	9600	1000	19200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
254	item101020505219	5	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
255	item101020505220	5	1	300	3600	2	4000	1000	8000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
256	item101020505221	5	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
257	item101020505222	5	1	300	3600	2	4000	1000	8000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
258	item101020505223	5	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
259	item101020505224	5	1	300	3600	2	4000	1000	8000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
260	item101020505225	5	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
261	item101020505226	5	1	300	3600	2	4000	1000	8000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
262	item101020505227	5	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
263	item101020505228	5	1	300	3600	2	4000	1000	8000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
264	item101020505229	5	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
265	item101020505230	5	1	300	3600	2	4000	1000	8000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
266	item101020505231	5	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
267	item101020505232	5	1	300	3600	2	4000	1000	8000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
268	item101020505233	5	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
269	item101020505234	5	1	300	3600	2	4000	1000	8000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
270	item101020505235	5	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
271	item101020505236	5	1	300	3600	2	4000	1000	8000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
272	item101020505237	5	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
273	item101020505238	5	1	300	3600	2	4000	1000	8000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
274	item101020505239	5	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
275	item101020505240	5	1	300	3600	2	4000	1000	8000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
276	item101020505241	5	1	300	3600	2	4000	1000	8000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
277	item101020505242	5	1	300	3600	2	9600	1000	19200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
278	item101020505243	5	1	300	3600	2	9600	1000	19200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
279	item101020505245	5	1	300	3600	2	4000	1000	8000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
280	item101020505246	5	1	300	3600	2	9600	1000	19200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
281	item101020505247	5	1	300	3600	2	4000	1000	8000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
282	item101020505248	5	1	300	3600	2	9600	1000	19200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
283	item101020505249	5	1	300	3600	2	4000	1000	8000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
284	item101020505250	5	1	300	3600	2	9600	1000	19200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
285	item101020505251	5	1	300	3600	2	4000	1000	8000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
286	item101020505252	5	1	300	3600	2	9600	1000	19200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
287	item101020505253	5	1	300	3600	2	9600	1000	19200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
288	item101020505301	5	1	300	3600	2	9600	1000	19200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
289	item101020505302	5	1	300	3600	2	9600	1000	19200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
290	item101020505303	5	1	300	3600	2	9600	1000	19200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
291	item101020505304	5	1	300	3600	2	9600	1000	19200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
292	item101020505305	5	1	300	3600	2	9600	1000	19200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
293	item101020505306	5	1	300	3600	2	28800	1000	57600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
294	item101020505307	5	1	300	3600	2	28800	1000	57600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
295	item101020505308	5	1	300	3600	2	28800	1000	57600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
296	item101020505309	5	1	300	7200	2	80000	1000	160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
297	item101020505310	5	1	300	7200	2	80000	1000	160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
298	item101020505311	5	1	300	7200	2	80000	1000	160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
299	item101020505312	5	1	300	7200	2	80000	1000	160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
300	item101020505313	5	1	300	7200	2	80000	1000	160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
301	item101020505314	5	1	300	7200	2	80000	1000	160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
302	item101020505315	5	1	300	7200	2	80000	1000	160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
303	item101020505316	5	1	300	7200	2	80000	1000	160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
304	item101020505317	5	1	300	7200	2	80000	1000	160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
305	item101020505318	5	1	300	3600	2	9600	1000	19200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
306	item101020505319	5	1	300	3600	2	9600	1000	19200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
307	item101020505333	5	1	300	3600	2	4000	1000	8000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
308	item101020505334	5	1	300	3600	2	9600	1000	19200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
309	item101020506001	5	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
310	item101020506002	5	1	300	3600	2	2000	1000	4000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
311	item101020506003	5	1	300	3600	2	4800	1000	9600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
312	item101020506004	5	1	300	3600	2	4800	1000	9600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
313	item101020506005	5	1	300	3600	2	4800	1000	9600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
314	item101020506006	5	1	300	3600	2	4800	1000	9600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
315	item101020506009	5	1	300	3600	2	2000	1000	4000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
316	item101020506011	5	1	300	3600	2	3200	1000	6400	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
317	item101020506012	5	1	300	3600	2	3200	1000	6400	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
318	item101020506013	5	1	300	3600	2	3200	1000	6400	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
319	item101020506014	5	1	300	3600	2	4800	1000	9600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
320	item101020506015	5	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
321	item101020506016	5	1	300	3600	2	2000	1000	4000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
322	item101020506017	5	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
323	item101020506018	5	1	300	3600	2	2000	1000	4000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
324	item101020506019	5	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
325	item101020506020	5	1	300	3600	2	2000	1000	4000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
326	item101020506021	5	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
327	item101020506022	5	1	300	3600	2	2000	1000	4000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
328	item101020506023	5	1	300	3600	2	2000	1000	4000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
329	item101020506024	5	1	300	3600	2	3200	1000	6400	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
330	item101020506025	5	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
331	item101020506026	5	1	300	3600	2	2000	1000	4000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
332	item101020506027	5	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
333	item101020506028	5	1	300	3600	2	2000	1000	4000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
334	item101020506029	5	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
335	item101020506030	5	1	300	3600	2	2000	1000	4000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
336	item101020506031	5	1	300	3600	2	2000	1000	4000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
337	item101020506032	5	1	300	3600	2	3200	1000	6400	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
338	item101020506033	5	1	300	3600	2	2000	1000	4000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
339	item101020506034	5	1	300	3600	2	3200	1000	6400	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
340	item101020506035	5	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
341	item101020506036	5	1	300	3600	2	2000	1000	4000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
342	item101020506037	5	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
343	item101020506038	5	1	300	3600	2	2000	1000	4000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
344	item101020506039	5	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
345	item101020506040	5	1	300	3600	2	2000	1000	4000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
346	item101020506041	5	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
347	item101020506042	5	1	300	3600	2	2000	1000	4000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
348	item101020506043	5	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
349	item101020506044	5	1	300	3600	2	2000	1000	4000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
350	item101020506045	5	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
351	item101020506046	5	1	300	3600	2	2000	1000	4000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
352	item101020506047	5	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
353	item101020506048	5	1	300	3600	2	2000	1000	4000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
354	item101020506049	5	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
355	item101020506050	5	1	300	3600	2	2000	1000	4000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
356	item101020506051	5	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
357	item101020506052	5	1	300	3600	2	2000	1000	4000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
358	item101020506053	5	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
359	item101020506054	5	1	300	3600	2	2000	1000	4000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
360	item101020506055	5	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
361	item101020506056	5	1	300	3600	2	2000	1000	4000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
362	item101020506057	5	1	300	3600	2	2000	1000	4000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
363	item101020506058	5	1	300	3600	2	3200	1000	6400	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
364	item101020506059	5	1	300	3600	2	3200	1000	6400	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
365	item101020506061	5	1	300	3600	2	2000	1000	4000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
366	item101020506062	5	1	300	3600	2	3200	1000	6400	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
367	item101020506063	5	1	300	3600	2	2000	1000	4000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
368	item101020506064	5	1	300	3600	2	3200	1000	6400	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
369	item101020506065	5	1	300	3600	2	2000	1000	4000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
370	item101020506066	5	1	300	3600	2	3200	1000	6400	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
371	item101020506067	5	1	300	3600	2	2000	1000	4000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
372	item101020506068	5	1	300	3600	2	3200	1000	6400	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
373	item101020506069	5	1	300	3600	2	3200	1000	6400	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
374	item101020506070	5	1	300	3600	2	3200	1000	6400	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
375	item101020506071	5	1	300	3600	2	3200	1000	6400	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
376	item101020506072	5	1	300	3600	2	3200	1000	6400	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
377	item101020506073	5	1	300	3600	2	3200	1000	6400	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
378	item101020506074	5	1	300	3600	2	3200	1000	6400	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
379	item101020506075	5	1	300	3600	2	4800	1000	9600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
380	item101020506076	5	1	300	3600	2	4800	1000	9600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
381	item101020506077	5	1	300	3600	2	4800	1000	9600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
382	item101020506078	5	1	300	3600	2	4800	1000	9600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
383	item101020506079	5	1	300	3600	2	4800	1000	9600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
384	item101020506080	5	1	300	3600	2	4800	1000	9600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
385	item101020506081	5	1	300	3600	2	4800	1000	9600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
386	item101020506082	5	1	300	3600	2	4800	1000	9600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
387	item101020506083	5	1	300	3600	2	4800	1000	9600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
388	item101020506084	5	1	300	3600	2	4800	1000	9600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
389	item101020506085	5	1	300	3600	2	4800	1000	9600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
390	item101020506086	5	1	300	3600	2	4800	1000	9600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
391	item101020506087	5	1	300	3600	2	3200	1000	6400	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
392	item101020506088	5	1	300	3600	2	3200	1000	6400	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
393	item101040101101	5	1	300	7200	2	80000	1000	160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
394	item101040101102	5	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
395	item101040101103	5	1	300	7200	2	800000	1000	1600000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
396	item101040101104	5	1	300	7200	2	80000	1000	160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
397	item101040101105	5	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
398	item101040101106	5	1	300	7200	2	800000	1000	1600000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
399	item101040101107	5	1	300	7200	2	80000	1000	160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
400	item101040101108	5	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
401	item101040101109	5	1	300	7200	2	800000	1000	1600000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
402	item101040101110	5	1	300	7200	2	80000	1000	160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
403	item101040101111	5	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
404	item101040101112	5	1	300	7200	2	800000	1000	1600000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
405	item101040101113	5	1	300	7200	2	80000	1000	160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
406	item101040101114	5	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
407	item101040101115	5	1	300	7200	2	800000	1000	1600000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
408	item103010132001	2	1	300	3600	2	16000	1000	32000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
409	item103010132011	2	1	300	3600	2	16000	1000	32000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
410	item103010132021	2	1	300	3600	2	16000	1000	32000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
411	item103010132031	2	1	300	3600	2	16000	1000	32000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
412	item103010132101	2	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
413	item103010132111	2	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
414	item103010132201	2	1	300	7200	2	800000	1000	1600000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
415	item103010132211	2	1	300	7200	2	800000	1000	1600000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
416	item103010132221	2	1	300	7200	2	800000	1000	1600000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
417	item103010132231	2	1	300	7200	2	800000	1000	1600000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
418	item103010132301	2	1	300	7200	2	4000000	1000	8000000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
419	item103010132311	2	1	300	7200	2	4000000	1000	8000000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
420	item103010132321	2	1	300	7200	2	4000000	1000	8000000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
421	item103010132331	2	1	300	7200	2	4000000	1000	8000000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
422	item103010133001	2	1	300	3600	2	40000	1000	80000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
423	item103010133101	2	1	300	7200	2	400000	1000	800000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
424	item103010133111	2	1	300	7200	2	400000	1000	800000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
425	item103010133201	2	1	300	7200	2	1600000	1000	3200000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
426	item103010133301	2	1	300	7200	2	4000000	1000	8000000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
427	item103010134001	2	1	300	3600	2	40000	1000	80000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
428	item103010134101	2	1	300	7200	2	400000	1000	800000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
429	item103010134111	2	1	300	7200	2	400000	1000	800000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
430	item103010134201	2	1	300	7200	2	1600000	1000	3200000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
431	item103010134301	2	1	300	7200	2	4000000	1000	8000000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
432	item103010135001	2	1	300	3600	2	40000	1000	80000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
433	item103010135101	2	1	300	7200	2	400000	1000	800000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
434	item103010135111	2	1	300	7200	2	400000	1000	800000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
435	item103010135201	2	1	300	7200	2	1600000	1000	3200000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
436	item103010135301	2	1	300	7200	2	4000000	1000	8000000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
437	item103010136001	2	1	300	3600	2	40000	1000	80000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
438	item103010136101	2	1	300	7200	2	400000	1000	800000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
439	item103010136111	2	1	300	7200	2	400000	1000	800000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
440	item103010136201	2	1	300	7200	2	1600000	1000	3200000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
441	item103010136301	2	1	300	7200	2	4000000	1000	8000000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
442	item103010137001	2	1	300	3600	2	40000	1000	80000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
443	item103010137101	2	1	300	7200	2	400000	1000	800000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
444	item103010137111	2	1	300	7200	2	400000	1000	800000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
445	item103010137201	2	1	300	7200	2	1600000	1000	3200000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
446	item103010137301	2	1	300	7200	2	4000000	1000	8000000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
447	item103010138001	2	1	300	3600	2	40000	1000	80000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
448	item103010138101	2	1	300	7200	2	400000	1000	800000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
449	item103010138111	2	1	300	7200	2	400000	1000	800000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
450	item103010138201	2	1	300	7200	2	1600000	1000	3200000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
451	item103010138301	2	1	300	7200	2	4000000	1000	8000000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
452	item103015110401	2	1	300	7200	2	80000	1000	160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
453	item103015110402	2	1	300	3600	2	19200	1000	38400	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
454	item103015110403	2	1	300	7200	2	160000	1000	320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
455	item103015110404	2	1	300	3600	2	25600	1000	51200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
456	item103015110405	2	1	300	3600	2	25600	1000	51200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
457	item103015110406	2	1	300	7200	2	800000	1000	1600000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
458	item103015110407	2	1	300	3600	2	19200	1000	38400	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
459	item103015110412	2	1	300	7200	2	80000	1000	160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
460	item103015110408	2	1	300	3600	2	38400	1000	76800	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
461	item103015110409	2	1	300	3600	2	19200	1000	38400	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
462	item103015110302	2	1	300	3600	2	12000	1000	24000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
463	item103015110303	2	1	300	3600	2	8000	1000	16000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
464	item103015110305	2	1	300	3600	2	9600	1000	19200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
465	item103015110417	2	1	300	7200	2	80000	1000	160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
466	item171000101032	2	1	300	7200	2	240000	1000	480000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
467	item102020060003	2	1	300	7200	2	1200000	1000	2400000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
468	item8102020060003	2	1	300	7200	2	1200000	1000	2400000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
469	item211000000003	2	1	300	7200	2	600000	1000	1200000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
470	item9307050430999	4	1	300	3600	2	32000	1000	64000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
471	item9308050430999	4	1	300	3600	2	32000	1000	64000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
472	item9309050430999	4	1	300	3600	2	32000	1000	64000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
473	item9310050430999	4	1	300	3600	2	32000	1000	64000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
474	item9307060430999	4	1	300	3600	2	64000	1000	128000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
