流水id	技能宝石	进阶等级	最大等级	收集属性倍率	镶嵌属性倍率	收集额外属性	镶嵌额外属性	技能效果评分	突破所需材料	进阶需求货币数量
230	20501001	5	120	0.000000	1.830000	1,114;26,38	4,24;1,242;26,80;21,80	55	item17902020501001,160	item1000,100000
231	20501001	6	140	0.000000	2.000000	1,128;26,43	4,31;1,317;26,105;21,105	60		
232	20502001	0	20	0.000000	1.000000	1,38;24,13	4,5;1,53;24,17;21,17	30	item17902020502001,10	item1000,50000
233	20502001	1	40	0.000000	1.170000	1,52;24,18	4,7;1,73;24,24;21,24	35	item17902020502001,20	item1000,60000
234	20502001	2	60	0.000000	1.330000	1,68;24,23	4,9;1,99;24,33;21,33	40	item17902020502001,40	item1000,70000
235	20502001	3	80	0.000000	1.500000	1,84;24,28	4,13;1,135;24,45;21,45	45	item17902020502001,70	item1000,80000
236	20502001	4	100	0.000000	1.670000	1,102;24,34	4,18;1,182;24,60;21,60	50	item17902020502001,110	item1000,90000
237	20502001	5	120	0.000000	1.830000	1,114;24,38	4,24;1,242;24,80;21,80	55	item17902020502001,160	item1000,100000
238	20502001	6	140	0.000000	2.000000	1,128;24,43	4,31;1,317;24,105;21,105	60		
239	20503001	0	20	0.000000	1.000000	4,4;23,13	4,5;1,53;23,17;22,17	30	item17902020503001,10	item1000,50000
240	20503001	1	40	0.000000	1.170000	4,6;23,18	4,7;1,73;23,24;22,24	35	item17902020503001,20	item1000,60000
241	20503001	2	60	0.000000	1.330000	4,7;23,23	4,9;1,99;23,33;22,33	40	item17902020503001,40	item1000,70000
242	20503001	3	80	0.000000	1.500000	4,9;23,28	4,13;1,135;23,45;22,45	45	item17902020503001,70	item1000,80000
243	20503001	4	100	0.000000	1.670000	4,11;23,34	4,18;1,182;23,60;22,60	50	item17902020503001,110	item1000,90000
244	20503001	5	120	0.000000	1.830000	4,12;23,38	4,24;1,242;23,80;22,80	55	item17902020503001,160	item1000,100000
245	20503001	6	140	0.000000	2.000000	4,13;23,43	4,31;1,317;23,105;22,105	60		
246	20504001	0	20	0.000000	1.000000	1,38;24,13	3,5;1,53;24,17;25,17	30	item17902020504001,10	item1000,50000
247	20504001	1	40	0.000000	1.170000	1,52;24,18	3,7;1,73;24,24;25,24	35	item17902020504001,20	item1000,60000
248	20504001	2	60	0.000000	1.330000	1,68;24,23	3,9;1,99;24,33;25,33	40	item17902020504001,40	item1000,70000
249	20504001	3	80	0.000000	1.500000	1,84;24,28	3,13;1,135;24,45;25,45	45	item17902020504001,70	item1000,80000
250	20504001	4	100	0.000000	1.670000	1,102;24,34	3,18;1,182;24,60;25,60	50	item17902020504001,110	item1000,90000
251	20504001	5	120	0.000000	1.830000	1,114;24,38	3,24;1,242;24,80;25,80	55	item17902020504001,160	item1000,100000
252	20504001	6	140	0.000000	2.000000	1,128;24,43	3,31;1,317;24,105;25,105	60		
253	20505001	0	20	0.000000	1.000000	4,4;26,13	4,5;1,53;23,17;26,17	30	item17902020505001,10	item1000,50000
254	20505001	1	40	0.000000	1.170000	4,6;26,18	4,7;1,73;23,24;26,24	35	item17902020505001,20	item1000,60000
255	20505001	2	60	0.000000	1.330000	4,7;26,23	4,9;1,99;23,33;26,33	40	item17902020505001,40	item1000,70000
256	20505001	3	80	0.000000	1.500000	4,9;26,28	4,13;1,135;23,45;26,45	45	item17902020505001,70	item1000,80000
257	20505001	4	100	0.000000	1.670000	4,11;26,34	4,18;1,182;23,60;26,60	50	item17902020505001,110	item1000,90000
258	20505001	5	120	0.000000	1.830000	4,12;26,38	4,24;1,242;23,80;26,80	55	item17902020505001,160	item1000,100000
259	20505001	6	140	0.000000	2.000000	4,13;26,43	4,31;1,317;23,105;26,105	60		
260	20506001	0	20	0.000000	1.000000	4,4;21,13	3,5;4,5;24,17;21,17	30	item17902020506001,10	item1000,50000
261	20506001	1	40	0.000000	1.170000	4,6;21,18	3,7;4,7;24,24;21,24	35	item17902020506001,20	item1000,60000
262	20506001	2	60	0.000000	1.330000	4,7;21,23	3,9;4,9;24,33;21,33	40	item17902020506001,40	item1000,70000
263	20506001	3	80	0.000000	1.500000	4,9;21,28	3,13;4,13;24,45;21,45	45	item17902020506001,70	item1000,80000
264	20506001	4	100	0.000000	1.670000	4,11;21,34	3,18;4,18;24,60;21,60	50	item17902020506001,110	item1000,90000
265	20506001	5	120	0.000000	1.830000	4,12;21,38	3,24;4,24;24,80;21,80	55	item17902020506001,160	item1000,100000
266	20506001	6	140	0.000000	2.000000	4,13;21,43	3,31;4,31;24,105;21,105	60		
267	20507001	0	20	0.000000	1.000000	3,4;22,13	3,5;1,53;25,17;22,17	30	item17902020507001,10	item1000,50000
268	20507001	1	40	0.000000	1.170000	3,6;22,18	3,7;1,73;25,24;22,24	35	item17902020507001,20	item1000,60000
269	20507001	2	60	0.000000	1.330000	3,7;22,23	3,9;1,99;25,33;22,33	40	item17902020507001,40	item1000,70000
270	20507001	3	80	0.000000	1.500000	3,9;22,28	3,13;1,135;25,45;22,45	45	item17902020507001,70	item1000,80000
271	20507001	4	100	0.000000	1.670000	3,11;22,34	3,18;1,182;25,60;22,60	50	item17902020507001,110	item1000,90000
272	20507001	5	120	0.000000	1.830000	3,12;22,38	3,24;1,242;25,80;22,80	55	item17902020507001,160	item1000,100000
273	20507001	6	140	0.000000	2.000000	3,13;22,43	3,31;1,317;25,105;22,105	60		
274	20508001	0	20	0.000000	1.000000	3,4;25,13	3,5;1,53;25,17;22,17	30	item17902020508001,10	item1000,50000
275	20508001	1	40	0.000000	1.170000	3,6;25,18	3,7;1,73;25,24;22,24	35	item17902020508001,20	item1000,60000
276	20508001	2	60	0.000000	1.330000	3,7;25,23	3,9;1,99;25,33;22,33	40	item17902020508001,40	item1000,70000
277	20508001	3	80	0.000000	1.500000	3,9;25,28	3,13;1,135;25,45;22,45	45	item17902020508001,70	item1000,80000
278	20508001	4	100	0.000000	1.670000	3,11;25,34	3,18;1,182;25,60;22,60	50	item17902020508001,110	item1000,90000
279	20508001	5	120	0.000000	1.830000	3,12;25,38	3,24;1,242;25,80;22,80	55	item17902020508001,160	item1000,100000
280	20508001	6	140	0.000000	2.000000	3,13;25,43	3,31;1,317;25,105;22,105	60		
281	20601001	0	20	0.000000	1.000000	1,38;26,13	4,5;1,53;26,17;21,17	30	item17902020601001,10	item1000,50000
282	20601001	1	40	0.000000	1.170000	1,52;26,18	4,7;1,73;26,24;21,24	35	item17902020601001,20	item1000,60000
283	20601001	2	60	0.000000	1.330000	1,68;26,23	4,9;1,99;26,33;21,33	40	item17902020601001,40	item1000,70000
284	20601001	3	80	0.000000	1.500000	1,84;26,28	4,13;1,135;26,45;21,45	45	item17902020601001,70	item1000,80000
285	20601001	4	100	0.000000	1.670000	1,102;26,34	4,18;1,182;26,60;21,60	50	item17902020601001,110	item1000,90000
286	20601001	5	120	0.000000	1.830000	1,114;26,38	4,24;1,242;26,80;21,80	55	item17902020601001,160	item1000,100000
287	20601001	6	140	0.000000	2.000000	1,128;26,43	4,31;1,317;26,105;21,105	60		
288	20602001	0	20	0.000000	1.000000	1,38;24,13	4,5;1,53;24,17;21,17	30	item17902020602001,10	item1000,50000
289	20602001	1	40	0.000000	1.170000	1,52;24,18	4,7;1,73;24,24;21,24	35	item17902020602001,20	item1000,60000
290	20602001	2	60	0.000000	1.330000	1,68;24,23	4,9;1,99;24,33;21,33	40	item17902020602001,40	item1000,70000
291	20602001	3	80	0.000000	1.500000	1,84;24,28	4,13;1,135;24,45;21,45	45	item17902020602001,70	item1000,80000
292	20602001	4	100	0.000000	1.670000	1,102;24,34	4,18;1,182;24,60;21,60	50	item17902020602001,110	item1000,90000
293	20602001	5	120	0.000000	1.830000	1,114;24,38	4,24;1,242;24,80;21,80	55	item17902020602001,160	item1000,100000
294	20602001	6	140	0.000000	2.000000	1,128;24,43	4,31;1,317;24,105;21,105	60		
295	20603001	0	20	0.000000	1.000000	4,4;23,13	4,5;1,53;23,17;22,17	30	item17902020603001,10	item1000,50000
296	20603001	1	40	0.000000	1.170000	4,6;23,18	4,7;1,73;23,24;22,24	35	item17902020603001,20	item1000,60000
297	20603001	2	60	0.000000	1.330000	4,7;23,23	4,9;1,99;23,33;22,33	40	item17902020603001,40	item1000,70000
298	20603001	3	80	0.000000	1.500000	4,9;23,28	4,13;1,135;23,45;22,45	45	item17902020603001,70	item1000,80000
299	20603001	4	100	0.000000	1.670000	4,11;23,34	4,18;1,182;23,60;22,60	50	item17902020603001,110	item1000,90000
300	20603001	5	120	0.000000	1.830000	4,12;23,38	4,24;1,242;23,80;22,80	55	item17902020603001,160	item1000,100000
301	20603001	6	140	0.000000	2.000000	4,13;23,43	4,31;1,317;23,105;22,105	60		
302	20604001	0	20	0.000000	1.000000	1,38;24,13	3,5;1,53;24,17;25,17	30	item17902020604001,10	item1000,50000
303	20604001	1	40	0.000000	1.170000	1,52;24,18	3,7;1,73;24,24;25,24	35	item17902020604001,20	item1000,60000
304	20604001	2	60	0.000000	1.330000	1,68;24,23	3,9;1,99;24,33;25,33	40	item17902020604001,40	item1000,70000
305	20604001	3	80	0.000000	1.500000	1,84;24,28	3,13;1,135;24,45;25,45	45	item17902020604001,70	item1000,80000
306	20604001	4	100	0.000000	1.670000	1,102;24,34	3,18;1,182;24,60;25,60	50	item17902020604001,110	item1000,90000
307	20604001	5	120	0.000000	1.830000	1,114;24,38	3,24;1,242;24,80;25,80	55	item17902020604001,160	item1000,100000
308	20604001	6	140	0.000000	2.000000	1,128;24,43	3,31;1,317;24,105;25,105	60		
309	20605001	0	20	0.000000	1.000000	4,4;26,13	4,5;1,53;23,17;26,17	30	item17902020605001,10	item1000,50000
310	20605001	1	40	0.000000	1.170000	4,6;26,18	4,7;1,73;23,24;26,24	35	item17902020605001,20	item1000,60000
311	20605001	2	60	0.000000	1.330000	4,7;26,23	4,9;1,99;23,33;26,33	40	item17902020605001,40	item1000,70000
312	20605001	3	80	0.000000	1.500000	4,9;26,28	4,13;1,135;23,45;26,45	45	item17902020605001,70	item1000,80000
313	20605001	4	100	0.000000	1.670000	4,11;26,34	4,18;1,182;23,60;26,60	50	item17902020605001,110	item1000,90000
314	20605001	5	120	0.000000	1.830000	4,12;26,38	4,24;1,242;23,80;26,80	55	item17902020605001,160	item1000,100000
315	20605001	6	140	0.000000	2.000000	4,13;26,43	4,31;1,317;23,105;26,105	60		
316	20606001	0	20	0.000000	1.000000	4,4;21,13	3,5;4,5;24,17;21,17	30	item17902020606001,10	item1000,50000
317	20606001	1	40	0.000000	1.170000	4,6;21,18	3,7;4,7;24,24;21,24	35	item17902020606001,20	item1000,60000
318	20606001	2	60	0.000000	1.330000	4,7;21,23	3,9;4,9;24,33;21,33	40	item17902020606001,40	item1000,70000
319	20606001	3	80	0.000000	1.500000	4,9;21,28	3,13;4,13;24,45;21,45	45	item17902020606001,70	item1000,80000
320	20606001	4	100	0.000000	1.670000	4,11;21,34	3,18;4,18;24,60;21,60	50	item17902020606001,110	item1000,90000
321	20606001	5	120	0.000000	1.830000	4,12;21,38	3,24;4,24;24,80;21,80	55	item17902020606001,160	item1000,100000
322	20606001	6	140	0.000000	2.000000	4,13;21,43	3,31;4,31;24,105;21,105	60		
323	20607001	0	20	0.000000	1.000000	3,4;22,13	3,5;1,53;25,17;22,17	30	item17902020607001,10	item1000,50000
324	20607001	1	40	0.000000	1.170000	3,6;22,18	3,7;1,73;25,24;22,24	35	item17902020607001,20	item1000,60000
325	20607001	2	60	0.000000	1.330000	3,7;22,23	3,9;1,99;25,33;22,33	40	item17902020607001,40	item1000,70000
326	20607001	3	80	0.000000	1.500000	3,9;22,28	3,13;1,135;25,45;22,45	45	item17902020607001,70	item1000,80000
327	20607001	4	100	0.000000	1.670000	3,11;22,34	3,18;1,182;25,60;22,60	50	item17902020607001,110	item1000,90000
328	20607001	5	120	0.000000	1.830000	3,12;22,38	3,24;1,242;25,80;22,80	55	item17902020607001,160	item1000,100000
329	20607001	6	140	0.000000	2.000000	3,13;22,43	3,31;1,317;25,105;22,105	60		
330	20608001	0	20	0.000000	1.000000	3,4;25,13	3,5;1,53;25,17;22,17	30	item17902020608001,10	item1000,50000
331	20608001	1	40	0.000000	1.170000	3,6;25,18	3,7;1,73;25,24;22,24	35	item17902020608001,20	item1000,60000
332	20608001	2	60	0.000000	1.330000	3,7;25,23	3,9;1,99;25,33;22,33	40	item17902020608001,40	item1000,70000
333	20608001	3	80	0.000000	1.500000	3,9;25,28	3,13;1,135;25,45;22,45	45	item17902020608001,70	item1000,80000
334	20608001	4	100	0.000000	1.670000	3,11;25,34	3,18;1,182;25,60;22,60	50	item17902020608001,110	item1000,90000
335	20608001	5	120	0.000000	1.830000	3,12;25,38	3,24;1,242;25,80;22,80	55	item17902020608001,160	item1000,100000
336	20608001	6	140	0.000000	2.000000	3,13;25,43	3,31;1,317;25,105;22,105	60		
337	30101001	0	20	0.000000	1.000000	1,200;26,67	4,32;1,324;26,108;21,108	120	item17902030101001,10	item1000,100000
338	30101001	1	40	0.000000	1.170000	1,240;26,80	4,38;1,387;26,129;21,129	140	item17902030101001,20	item1000,150000
339	30101001	2	60	0.000000	1.330000	1,280;26,94	4,47;1,471;26,157;21,157	160	item17902030101001,40	item1000,200000
340	30101001	3	80	0.000000	1.500000	1,334;26,112	4,58;1,587;26,195;21,195	180	item17902030101001,70	item1000,250000
341	30101001	4	100	0.000000	1.670000	1,372;26,124	4,74;1,741;26,247;21,247	200	item17902030101001,110	item1000,300000
342	30101001	5	120	0.000000	1.830000	1,420;26,140	4,93;1,937;26,312;21,312	220	item17902030101001,160	item1000,350000
343	30101001	6	140	0.000000	2.000000	1,476;26,159	4,118;1,1184;26,394;21,394	240		
344	30102001	0	20	0.000000	1.000000	1,200;24,67	4,32;1,324;24,108;21,108	120	item17902030102001,10	item1000,100000
345	30102001	1	40	0.000000	1.170000	1,240;24,80	4,38;1,387;24,129;21,129	140	item17902030102001,20	item1000,150000
346	30102001	2	60	0.000000	1.330000	1,280;24,94	4,47;1,471;24,157;21,157	160	item17902030102001,40	item1000,200000
347	30102001	3	80	0.000000	1.500000	1,334;24,112	4,58;1,587;24,195;21,195	180	item17902030102001,70	item1000,250000
348	30102001	4	100	0.000000	1.670000	1,372;24,124	4,74;1,741;24,247;21,247	200	item17902030102001,110	item1000,300000
349	30102001	5	120	0.000000	1.830000	1,420;24,140	4,93;1,937;24,312;21,312	220	item17902030102001,160	item1000,350000
350	30102001	6	140	0.000000	2.000000	1,476;24,159	4,118;1,1184;24,394;21,394	240		
351	30103001	0	20	0.000000	1.000000	4,20;23,67	4,32;1,324;23,108;22,108	120	item17902030103001,10	item1000,100000
352	30103001	1	40	0.000000	1.170000	4,24;23,80	4,38;1,387;23,129;22,129	140	item17902030103001,20	item1000,150000
353	30103001	2	60	0.000000	1.330000	4,28;23,94	4,47;1,471;23,157;22,157	160	item17902030103001,40	item1000,200000
354	30103001	3	80	0.000000	1.500000	4,34;23,112	4,58;1,587;23,195;22,195	180	item17902030103001,70	item1000,250000
355	30103001	4	100	0.000000	1.670000	4,38;23,124	4,74;1,741;23,247;22,247	200	item17902030103001,110	item1000,300000
356	30103001	5	120	0.000000	1.830000	4,42;23,140	4,93;1,937;23,312;22,312	220	item17902030103001,160	item1000,350000
357	30103001	6	140	0.000000	2.000000	4,48;23,159	4,118;1,1184;23,394;22,394	240		
358	30104001	0	20	0.000000	1.000000	1,200;24,67	3,32;1,324;24,108;25,108	120	item17902030104001,10	item1000,100000
359	30104001	1	40	0.000000	1.170000	1,240;24,80	3,38;1,387;24,129;25,129	140	item17902030104001,20	item1000,150000
360	30104001	2	60	0.000000	1.330000	1,280;24,94	3,47;1,471;24,157;25,157	160	item17902030104001,40	item1000,200000
361	30104001	3	80	0.000000	1.500000	1,334;24,112	3,58;1,587;24,195;25,195	180	item17902030104001,70	item1000,250000
362	30104001	4	100	0.000000	1.670000	1,372;24,124	3,74;1,741;24,247;25,247	200	item17902030104001,110	item1000,300000
363	30104001	5	120	0.000000	1.830000	1,420;24,140	3,93;1,937;24,312;25,312	220	item17902030104001,160	item1000,350000
364	30104001	6	140	0.000000	2.000000	1,476;24,159	3,118;1,1184;24,394;25,394	240		
365	30105001	0	20	0.000000	1.000000	4,20;26,67	4,32;1,324;23,108;26,108	120	item17902030105001,10	item1000,100000
366	30105001	1	40	0.000000	1.170000	4,24;26,80	4,38;1,387;23,129;26,129	140	item17902030105001,20	item1000,150000
367	30105001	2	60	0.000000	1.330000	4,28;26,94	4,47;1,471;23,157;26,157	160	item17902030105001,40	item1000,200000
368	30105001	3	80	0.000000	1.500000	4,34;26,112	4,58;1,587;23,195;26,195	180	item17902030105001,70	item1000,250000
369	30105001	4	100	0.000000	1.670000	4,38;26,124	4,74;1,741;23,247;26,247	200	item17902030105001,110	item1000,300000
370	30105001	5	120	0.000000	1.830000	4,42;26,140	4,93;1,937;23,312;26,312	220	item17902030105001,160	item1000,350000
371	30105001	6	140	0.000000	2.000000	4,48;26,159	4,118;1,1184;23,394;26,394	240		
372	30106001	0	20	0.000000	1.000000	4,20;21,67	3,32;4,32;24,108;21,108	120	item17902030106001,10	item1000,100000
373	30106001	1	40	0.000000	1.170000	4,24;21,80	3,38;4,38;24,129;21,129	140	item17902030106001,20	item1000,150000
374	30106001	2	60	0.000000	1.330000	4,28;21,94	3,47;4,47;24,157;21,157	160	item17902030106001,40	item1000,200000
375	30106001	3	80	0.000000	1.500000	4,34;21,112	3,58;4,58;24,195;21,195	180	item17902030106001,70	item1000,250000
376	30106001	4	100	0.000000	1.670000	4,38;21,124	3,74;4,74;24,247;21,247	200	item17902030106001,110	item1000,300000
377	30106001	5	120	0.000000	1.830000	4,42;21,140	3,93;4,93;24,312;21,312	220	item17902030106001,160	item1000,350000
378	30106001	6	140	0.000000	2.000000	4,48;21,159	3,118;4,118;24,394;21,394	240		
379	30107001	0	20	0.000000	1.000000	3,20;22,67	3,32;1,324;25,108;22,108	120	item17902030107001,10	item1000,100000
380	30107001	1	40	0.000000	1.170000	3,24;22,80	3,38;1,387;25,129;22,129	140	item17902030107001,20	item1000,150000
381	30107001	2	60	0.000000	1.330000	3,28;22,94	3,47;1,471;25,157;22,157	160	item17902030107001,40	item1000,200000
382	30107001	3	80	0.000000	1.500000	3,34;22,112	3,58;1,587;25,195;22,195	180	item17902030107001,70	item1000,250000
383	30107001	4	100	0.000000	1.670000	3,38;22,124	3,74;1,741;25,247;22,247	200	item17902030107001,110	item1000,300000
384	30107001	5	120	0.000000	1.830000	3,42;22,140	3,93;1,937;25,312;22,312	220	item17902030107001,160	item1000,350000
385	30107001	6	140	0.000000	2.000000	3,48;22,159	3,118;1,1184;25,394;22,394	240		
386	30108001	0	20	0.000000	1.000000	3,20;25,67	3,32;1,324;25,108;22,108	120	item17902030108001,10	item1000,100000
387	30108001	1	40	0.000000	1.170000	3,24;25,80	3,38;1,387;25,129;22,129	140	item17902030108001,20	item1000,150000
388	30108001	2	60	0.000000	1.330000	3,28;25,94	3,47;1,471;25,157;22,157	160	item17902030108001,40	item1000,200000
389	30108001	3	80	0.000000	1.500000	3,34;25,112	3,58;1,587;25,195;22,195	180	item17902030108001,70	item1000,250000
390	30108001	4	100	0.000000	1.670000	3,38;25,124	3,74;1,741;25,247;22,247	200	item17902030108001,110	item1000,300000
391	30108001	5	120	0.000000	1.830000	3,42;25,140	3,93;1,937;25,312;22,312	220	item17902030108001,160	item1000,350000
392	30108001	6	140	0.000000	2.000000	3,48;25,159	3,118;1,1184;25,394;22,394	240		
393	30201001	0	20	0.000000	1.000000	1,200;26,67	4,32;1,324;26,108;21,108	120	item17902030201001,10	item1000,100000
394	30201001	1	40	0.000000	1.170000	1,240;26,80	4,38;1,387;26,129;21,129	140	item17902030201001,20	item1000,150000
395	30201001	2	60	0.000000	1.330000	1,280;26,94	4,47;1,471;26,157;21,157	160	item17902030201001,40	item1000,200000
396	30201001	3	80	0.000000	1.500000	1,334;26,112	4,58;1,587;26,195;21,195	180	item17902030201001,70	item1000,250000
397	30201001	4	100	0.000000	1.670000	1,372;26,124	4,74;1,741;26,247;21,247	200	item17902030201001,110	item1000,300000
398	30201001	5	120	0.000000	1.830000	1,420;26,140	4,93;1,937;26,312;21,312	220	item17902030201001,160	item1000,350000
399	30201001	6	140	0.000000	2.000000	1,476;26,159	4,118;1,1184;26,394;21,394	240		
400	30202001	0	20	0.000000	1.000000	1,200;24,67	4,32;1,324;24,108;21,108	120	item17902030202001,10	item1000,100000
401	30202001	1	40	0.000000	1.170000	1,240;24,80	4,38;1,387;24,129;21,129	140	item17902030202001,20	item1000,150000
402	30202001	2	60	0.000000	1.330000	1,280;24,94	4,47;1,471;24,157;21,157	160	item17902030202001,40	item1000,200000
403	30202001	3	80	0.000000	1.500000	1,334;24,112	4,58;1,587;24,195;21,195	180	item17902030202001,70	item1000,250000
404	30202001	4	100	0.000000	1.670000	1,372;24,124	4,74;1,741;24,247;21,247	200	item17902030202001,110	item1000,300000
405	30202001	5	120	0.000000	1.830000	1,420;24,140	4,93;1,937;24,312;21,312	220	item17902030202001,160	item1000,350000
406	30202001	6	140	0.000000	2.000000	1,476;24,159	4,118;1,1184;24,394;21,394	240		
407	30203001	0	20	0.000000	1.000000	4,20;23,67	4,32;1,324;23,108;22,108	120	item17902030203001,10	item1000,100000
408	30203001	1	40	0.000000	1.170000	4,24;23,80	4,38;1,387;23,129;22,129	140	item17902030203001,20	item1000,150000
409	30203001	2	60	0.000000	1.330000	4,28;23,94	4,47;1,471;23,157;22,157	160	item17902030203001,40	item1000,200000
410	30203001	3	80	0.000000	1.500000	4,34;23,112	4,58;1,587;23,195;22,195	180	item17902030203001,70	item1000,250000
411	30203001	4	100	0.000000	1.670000	4,38;23,124	4,74;1,741;23,247;22,247	200	item17902030203001,110	item1000,300000
412	30203001	5	120	0.000000	1.830000	4,42;23,140	4,93;1,937;23,312;22,312	220	item17902030203001,160	item1000,350000
413	30203001	6	140	0.000000	2.000000	4,48;23,159	4,118;1,1184;23,394;22,394	240		
414	30204001	0	20	0.000000	1.000000	1,200;24,67	3,32;1,324;24,108;25,108	120	item17902030204001,10	item1000,100000
415	30204001	1	40	0.000000	1.170000	1,240;24,80	3,38;1,387;24,129;25,129	140	item17902030204001,20	item1000,150000
416	30204001	2	60	0.000000	1.330000	1,280;24,94	3,47;1,471;24,157;25,157	160	item17902030204001,40	item1000,200000
417	30204001	3	80	0.000000	1.500000	1,334;24,112	3,58;1,587;24,195;25,195	180	item17902030204001,70	item1000,250000
418	30204001	4	100	0.000000	1.670000	1,372;24,124	3,74;1,741;24,247;25,247	200	item17902030204001,110	item1000,300000
419	30204001	5	120	0.000000	1.830000	1,420;24,140	3,93;1,937;24,312;25,312	220	item17902030204001,160	item1000,350000
420	30204001	6	140	0.000000	2.000000	1,476;24,159	3,118;1,1184;24,394;25,394	240		
421	30205001	0	20	0.000000	1.000000	4,20;26,67	4,32;1,324;23,108;26,108	120	item17902030205001,10	item1000,100000
422	30205001	1	40	0.000000	1.170000	4,24;26,80	4,38;1,387;23,129;26,129	140	item17902030205001,20	item1000,150000
423	30205001	2	60	0.000000	1.330000	4,28;26,94	4,47;1,471;23,157;26,157	160	item17902030205001,40	item1000,200000
424	30205001	3	80	0.000000	1.500000	4,34;26,112	4,58;1,587;23,195;26,195	180	item17902030205001,70	item1000,250000
425	30205001	4	100	0.000000	1.670000	4,38;26,124	4,74;1,741;23,247;26,247	200	item17902030205001,110	item1000,300000
426	30205001	5	120	0.000000	1.830000	4,42;26,140	4,93;1,937;23,312;26,312	220	item17902030205001,160	item1000,350000
427	30205001	6	140	0.000000	2.000000	4,48;26,159	4,118;1,1184;23,394;26,394	240		
428	30206001	0	20	0.000000	1.000000	4,20;21,67	3,32;4,32;24,108;21,108	120	item17902030206001,10	item1000,100000
429	30206001	1	40	0.000000	1.170000	4,24;21,80	3,38;4,38;24,129;21,129	140	item17902030206001,20	item1000,150000
430	30206001	2	60	0.000000	1.330000	4,28;21,94	3,47;4,47;24,157;21,157	160	item17902030206001,40	item1000,200000
431	30206001	3	80	0.000000	1.500000	4,34;21,112	3,58;4,58;24,195;21,195	180	item17902030206001,70	item1000,250000
432	30206001	4	100	0.000000	1.670000	4,38;21,124	3,74;4,74;24,247;21,247	200	item17902030206001,110	item1000,300000
433	30206001	5	120	0.000000	1.830000	4,42;21,140	3,93;4,93;24,312;21,312	220	item17902030206001,160	item1000,350000
434	30206001	6	140	0.000000	2.000000	4,48;21,159	3,118;4,118;24,394;21,394	240		
435	30207001	0	20	0.000000	1.000000	3,20;22,67	3,32;1,324;25,108;22,108	120	item17902030207001,10	item1000,100000
436	30207001	1	40	0.000000	1.170000	3,24;22,80	3,38;1,387;25,129;22,129	140	item17902030207001,20	item1000,150000
437	30207001	2	60	0.000000	1.330000	3,28;22,94	3,47;1,471;25,157;22,157	160	item17902030207001,40	item1000,200000
438	30207001	3	80	0.000000	1.500000	3,34;22,112	3,58;1,587;25,195;22,195	180	item17902030207001,70	item1000,250000
439	30207001	4	100	0.000000	1.670000	3,38;22,124	3,74;1,741;25,247;22,247	200	item17902030207001,110	item1000,300000
440	30207001	5	120	0.000000	1.830000	3,42;22,140	3,93;1,937;25,312;22,312	220	item17902030207001,160	item1000,350000
441	30207001	6	140	0.000000	2.000000	3,48;22,159	3,118;1,1184;25,394;22,394	240		
442	30208001	0	20	0.000000	1.000000	3,20;25,67	3,32;1,324;25,108;22,108	120	item17902030208001,10	item1000,100000
443	30208001	1	40	0.000000	1.170000	3,24;25,80	3,38;1,387;25,129;22,129	140	item17902030208001,20	item1000,150000
444	30208001	2	60	0.000000	1.330000	3,28;25,94	3,47;1,471;25,157;22,157	160	item17902030208001,40	item1000,200000
445	30208001	3	80	0.000000	1.500000	3,34;25,112	3,58;1,587;25,195;22,195	180	item17902030208001,70	item1000,250000
446	30208001	4	100	0.000000	1.670000	3,38;25,124	3,74;1,741;25,247;22,247	200	item17902030208001,110	item1000,300000
447	30208001	5	120	0.000000	1.830000	3,42;25,140	3,93;1,937;25,312;22,312	220	item17902030208001,160	item1000,350000
448	30208001	6	140	0.000000	2.000000	3,48;25,159	3,118;1,1184;25,394;22,394	240		
449	30301001	0	20	0.000000	1.000000	1,200;26,67	4,32;1,324;26,108;21,108	120	item17902030301001,10	item1000,100000
450	30301001	1	40	0.000000	1.170000	1,240;26,80	4,38;1,387;26,129;21,129	140	item17902030301001,20	item1000,150000
451	30301001	2	60	0.000000	1.330000	1,280;26,94	4,47;1,471;26,157;21,157	160	item17902030301001,40	item1000,200000
452	30301001	3	80	0.000000	1.500000	1,334;26,112	4,58;1,587;26,195;21,195	180	item17902030301001,70	item1000,250000
453	30301001	4	100	0.000000	1.670000	1,372;26,124	4,74;1,741;26,247;21,247	200	item17902030301001,110	item1000,300000
454	30301001	5	120	0.000000	1.830000	1,420;26,140	4,93;1,937;26,312;21,312	220	item17902030301001,160	item1000,350000
455	30301001	6	140	0.000000	2.000000	1,476;26,159	4,118;1,1184;26,394;21,394	240		
456	30302001	0	20	0.000000	1.000000	1,200;24,67	4,32;1,324;24,108;21,108	120	item17902030302001,10	item1000,100000
457	30302001	1	40	0.000000	1.170000	1,240;24,80	4,38;1,387;24,129;21,129	140	item17902030302001,20	item1000,150000
458	30302001	2	60	0.000000	1.330000	1,280;24,94	4,47;1,471;24,157;21,157	160	item17902030302001,40	item1000,200000
459	30302001	3	80	0.000000	1.500000	1,334;24,112	4,58;1,587;24,195;21,195	180	item17902030302001,70	item1000,250000
460	30302001	4	100	0.000000	1.670000	1,372;24,124	4,74;1,741;24,247;21,247	200	item17902030302001,110	item1000,300000
461	30302001	5	120	0.000000	1.830000	1,420;24,140	4,93;1,937;24,312;21,312	220	item17902030302001,160	item1000,350000
