流水	装备ID	等级	属性
768	251	23	3,368;21,310;25,589
769	251	24	3,391;21,329;25,625
770	251	25	3,414;21,348;25,661
771	251	26	3,453;21,381;25,722
772	251	27	3,492;21,414;25,783
773	251	28	3,531;21,447;25,844
774	251	29	3,570;21,480;25,905
775	251	30	3,609;21,513;25,966
776	252	0	1,144;21,28;24,20
777	252	1	1,172;21,33;24,24
778	252	2	1,200;21,38;24,28
779	252	3	1,228;21,43;24,32
780	252	4	1,256;21,48;24,36
781	252	5	1,284;21,53;24,40
782	252	6	1,327;21,61;24,46
783	252	7	1,370;21,69;24,52
784	252	8	1,413;21,77;24,58
785	252	9	1,456;21,85;24,64
786	252	10	1,499;21,93;24,70
787	252	11	1,556;21,104;24,78
788	252	12	1,613;21,115;24,86
789	252	13	1,670;21,126;24,94
790	252	14	1,727;21,137;24,102
791	252	15	1,784;21,148;24,110
792	252	16	1,856;21,162;24,120
793	252	17	1,928;21,176;24,130
794	252	18	1,1000;21,190;24,140
795	252	19	1,1072;21,204;24,150
796	252	20	1,1144;21,218;24,160
797	252	21	1,1230;21,235;24,172
798	252	22	1,1316;21,252;24,184
799	252	23	1,1402;21,269;24,196
800	252	24	1,1488;21,286;24,208
801	252	25	1,1574;21,303;24,220
802	252	26	1,1718;21,331;24,240
803	252	27	1,1862;21,359;24,260
804	252	28	1,2006;21,387;24,280
805	252	29	1,2150;21,415;24,300
806	252	30	1,2294;21,443;24,320
807	253	0	4,12;23,43;26,15
808	253	1	4,14;23,51;26,18
809	253	2	4,16;23,59;26,21
810	253	3	4,18;23,67;26,24
811	253	4	4,20;23,75;26,27
812	253	5	4,22;23,83;26,30
813	253	6	4,25;23,95;26,34
814	253	7	4,28;23,107;26,38
815	253	8	4,31;23,119;26,42
816	253	9	4,34;23,131;26,46
817	253	10	4,37;23,143;26,50
818	253	11	4,41;23,160;26,56
819	253	12	4,45;23,177;26,62
820	253	13	4,49;23,194;26,68
821	253	14	4,53;23,211;26,74
822	253	15	4,57;23,228;26,80
823	253	16	4,63;23,249;26,87
824	253	17	4,69;23,270;26,94
825	253	18	4,75;23,291;26,101
826	253	19	4,81;23,312;26,108
827	253	20	4,87;23,333;26,115
828	253	21	4,94;23,358;26,124
829	253	22	4,101;23,383;26,133
830	253	23	4,108;23,408;26,142
831	253	24	4,115;23,433;26,151
832	253	25	4,122;23,458;26,160
833	253	26	4,134;23,501;26,175
834	253	27	4,146;23,544;26,190
835	253	28	4,158;23,587;26,205
836	253	29	4,170;23,630;26,220
837	253	30	4,182;23,673;26,235
838	254	0	4,16;24,30;26,22
839	254	1	4,19;24,36;26,26
840	254	2	4,22;24,42;26,30
841	254	3	4,25;24,48;26,34
842	254	4	4,28;24,54;26,38
843	254	5	4,31;24,60;26,42
844	254	6	4,36;24,69;26,48
845	254	7	4,41;24,78;26,54
846	254	8	4,46;24,87;26,60
847	254	9	4,51;24,96;26,66
848	254	10	4,56;24,105;26,72
849	254	11	4,62;24,117;26,81
850	254	12	4,68;24,129;26,90
851	254	13	4,74;24,141;26,99
852	254	14	4,80;24,153;26,108
853	254	15	4,86;24,165;26,117
854	254	16	4,94;24,180;26,128
855	254	17	4,102;24,195;26,139
856	254	18	4,110;24,210;26,150
857	254	19	4,118;24,225;26,161
858	254	20	4,126;24,240;26,172
859	254	21	4,136;24,258;26,185
860	254	22	4,146;24,276;26,198
861	254	23	4,156;24,294;26,211
862	254	24	4,166;24,312;26,224
863	254	25	4,176;24,330;26,237
864	254	26	4,192;24,360;26,259
865	254	27	4,208;24,390;26,281
866	254	28	4,224;24,420;26,303
867	254	29	4,240;24,450;26,325
868	254	30	4,256;24,480;26,347
869	255	0	1,252;22,19;23,25
870	255	1	1,302;22,22;23,30
871	255	2	1,352;22,25;23,35
872	255	3	1,402;22,28;23,40
873	255	4	1,452;22,31;23,45
874	255	5	1,502;22,34;23,50
875	255	6	1,577;22,39;23,57
876	255	7	1,652;22,44;23,64
877	255	8	1,727;22,49;23,71
878	255	9	1,802;22,54;23,78
879	255	10	1,877;22,59;23,85
880	255	11	1,977;22,66;23,95
881	255	12	1,1077;22,73;23,105
882	255	13	1,1177;22,80;23,115
883	255	14	1,1277;22,87;23,125
884	255	15	1,1377;22,94;23,135
885	255	16	1,1503;22,103;23,147
886	255	17	1,1629;22,112;23,159
887	255	18	1,1755;22,121;23,171
888	255	19	1,1881;22,130;23,183
889	255	20	1,2007;22,139;23,195
890	255	21	1,2158;22,150;23,210
891	255	22	1,2309;22,161;23,225
892	255	23	1,2460;22,172;23,240
893	255	24	1,2611;22,183;23,255
894	255	25	1,2762;22,194;23,270
895	255	26	1,3014;22,213;23,295
896	255	27	1,3266;22,232;23,320
897	255	28	1,3518;22,251;23,345
898	255	29	1,3770;22,270;23,370
899	255	30	1,4022;22,289;23,395
900	256	0	4,9;22,29;25,20
901	256	1	4,10;22,34;25,24
902	256	2	4,11;22,39;25,28
903	256	3	4,12;22,44;25,32
904	256	4	4,13;22,49;25,36
905	256	5	4,14;22,54;25,40
906	256	6	4,16;22,62;25,46
907	256	7	4,18;22,70;25,52
908	256	8	4,20;22,78;25,58
909	256	9	4,22;22,86;25,64
910	256	10	4,24;22,94;25,70
911	256	11	4,27;22,105;25,78
912	256	12	4,30;22,116;25,86
913	256	13	4,33;22,127;25,94
914	256	14	4,36;22,138;25,102
915	256	15	4,39;22,149;25,110
916	256	16	4,43;22,163;25,120
917	256	17	4,47;22,177;25,130
918	256	18	4,51;22,191;25,140
919	256	19	4,55;22,205;25,150
920	256	20	4,59;22,219;25,160
921	256	21	4,64;22,236;25,172
922	256	22	4,69;22,253;25,184
923	256	23	4,74;22,270;25,196
924	256	24	4,79;22,287;25,208
925	256	25	4,84;22,304;25,220
926	256	26	4,93;22,333;25,240
927	256	27	4,102;22,362;25,260
928	256	28	4,111;22,391;25,280
929	256	29	4,120;22,420;25,300
930	256	30	4,129;22,449;25,320
931	261	0	3,29;21,29;25,35
932	261	1	3,34;21,34;25,42
933	261	2	3,39;21,39;25,49
934	261	3	3,44;21,44;25,56
935	261	4	3,49;21,49;25,63
936	261	5	3,54;21,54;25,70
937	261	6	3,62;21,62;25,80
938	261	7	3,70;21,70;25,90
939	261	8	3,78;21,78;25,100
940	261	9	3,86;21,86;25,110
941	261	10	3,94;21,94;25,120
942	261	11	3,105;21,105;25,134
943	261	12	3,116;21,116;25,148
944	261	13	3,127;21,127;25,162
945	261	14	3,138;21,138;25,176
946	261	15	3,149;21,149;25,190
947	261	16	3,163;21,163;25,207
948	261	17	3,177;21,177;25,224
949	261	18	3,191;21,191;25,241
950	261	19	3,205;21,205;25,258
951	261	20	3,219;21,219;25,275
952	261	21	3,236;21,236;25,296
953	261	22	3,253;21,253;25,317
954	261	23	3,270;21,270;25,338
955	261	24	3,287;21,287;25,359
956	261	25	3,304;21,304;25,380
957	261	26	3,333;21,333;25,415
958	261	27	3,362;21,362;25,450
959	261	28	3,391;21,391;25,485
960	261	29	3,420;21,420;25,520
961	261	30	3,449;21,449;25,555
962	262	0	1,159;21,25;24,31
963	262	1	1,190;21,30;24,37
964	262	2	1,221;21,35;24,43
965	262	3	1,252;21,40;24,49
966	262	4	1,283;21,45;24,55
967	262	5	1,314;21,50;24,61
968	262	6	1,361;21,57;24,70
969	262	7	1,408;21,64;24,79
970	262	8	1,455;21,71;24,88
971	262	9	1,502;21,78;24,97
972	262	10	1,549;21,85;24,106
973	262	11	1,612;21,95;24,118
974	262	12	1,675;21,105;24,130
975	262	13	1,738;21,115;24,142
976	262	14	1,801;21,125;24,154
977	262	15	1,864;21,135;24,166
978	262	16	1,943;21,147;24,181
979	262	17	1,1022;21,159;24,196
980	262	18	1,1101;21,171;24,211
981	262	19	1,1180;21,183;24,226
982	262	20	1,1259;21,195;24,241
983	262	21	1,1354;21,210;24,260
984	262	22	1,1449;21,225;24,279
985	262	23	1,1544;21,240;24,298
986	262	24	1,1639;21,255;24,317
987	262	25	1,1734;21,270;24,336
988	262	26	1,1893;21,295;24,367
989	262	27	1,2052;21,320;24,398
990	262	28	1,2211;21,345;24,429
991	262	29	1,2370;21,370;24,460
992	262	30	1,2529;21,395;24,491
993	263	0	4,13;23,34;26,21
994	263	1	4,15;23,40;26,25
995	263	2	4,17;23,46;26,29
996	263	3	4,19;23,52;26,33
997	263	4	4,21;23,58;26,37
998	263	5	4,23;23,64;26,41
999	263	6	4,27;23,74;26,47
1000	263	7	4,31;23,84;26,53
1001	263	8	4,35;23,94;26,59
1002	263	9	4,39;23,104;26,65
1003	263	10	4,43;23,114;26,71
1004	263	11	4,48;23,127;26,79
1005	263	12	4,53;23,140;26,87
1006	263	13	4,58;23,153;26,95
1007	263	14	4,63;23,166;26,103
1008	263	15	4,68;23,179;26,111
1009	263	16	4,74;23,196;26,121
1010	263	17	4,80;23,213;26,131
1011	263	18	4,86;23,230;26,141
1012	263	19	4,92;23,247;26,151
1013	263	20	4,98;23,264;26,161
1014	263	21	4,106;23,284;26,173
1015	263	22	4,114;23,304;26,185
1016	263	23	4,122;23,324;26,197
1017	263	24	4,130;23,344;26,209
1018	263	25	4,138;23,364;26,221
1019	263	26	4,151;23,398;26,242
1020	263	27	4,164;23,432;26,263
1021	263	28	4,177;23,466;26,284
1022	263	29	4,190;23,500;26,305
1023	263	30	4,203;23,534;26,326
1024	264	0	4,18;24,46;26,31
1025	264	1	4,21;24,55;26,37
1026	264	2	4,24;24,64;26,43
1027	264	3	4,27;24,73;26,49
1028	264	4	4,30;24,82;26,55
1029	264	5	4,33;24,91;26,61
1030	264	6	4,38;24,105;26,70
1031	264	7	4,43;24,119;26,79
1032	264	8	4,48;24,133;26,88
1033	264	9	4,53;24,147;26,97
1034	264	10	4,58;24,161;26,106
1035	264	11	4,65;24,179;26,118
1036	264	12	4,72;24,197;26,130
1037	264	13	4,79;24,215;26,142
1038	264	14	4,86;24,233;26,154
1039	264	15	4,93;24,251;26,166
1040	264	16	4,102;24,274;26,181
1041	264	17	4,111;24,297;26,196
1042	264	18	4,120;24,320;26,211
1043	264	19	4,129;24,343;26,226
1044	264	20	4,138;24,366;26,241
1045	264	21	4,149;24,394;26,259
1046	264	22	4,160;24,422;26,277
1047	264	23	4,171;24,450;26,295
1048	264	24	4,182;24,478;26,313
1049	264	25	4,193;24,506;26,331
1050	264	26	4,211;24,552;26,362
1051	264	27	4,229;24,598;26,393
1052	264	28	4,247;24,644;26,424
1053	264	29	4,265;24,690;26,455
1054	264	30	4,283;24,736;26,486
1055	265	0	1,279;22,24;23,20
1056	265	1	1,334;22,28;23,24
1057	265	2	1,389;22,32;23,28
1058	265	3	1,444;22,36;23,32
1059	265	4	1,499;22,40;23,36
1060	265	5	1,554;22,44;23,40
1061	265	6	1,637;22,51;23,46
1062	265	7	1,720;22,58;23,52
1063	265	8	1,803;22,65;23,58
1064	265	9	1,886;22,72;23,64
1065	265	10	1,969;22,79;23,70
1066	265	11	1,1080;22,88;23,78
1067	265	12	1,1191;22,97;23,86
1068	265	13	1,1302;22,106;23,94
1069	265	14	1,1413;22,115;23,102
1070	265	15	1,1524;22,124;23,110
1071	265	16	1,1663;22,136;23,120
1072	265	17	1,1802;22,148;23,130
1073	265	18	1,1941;22,160;23,140
1074	265	19	1,2080;22,172;23,150
1075	265	20	1,2219;22,184;23,160
1076	265	21	1,2386;22,198;23,172
1077	265	22	1,2553;22,212;23,184
1078	265	23	1,2720;22,226;23,196
1079	265	24	1,2887;22,240;23,208
1080	265	25	1,3054;22,254;23,220
1081	265	26	1,3333;22,278;23,240
1082	265	27	1,3612;22,302;23,260
1083	265	28	1,3891;22,326;23,280
1084	265	29	1,4170;22,350;23,300
1085	265	30	1,4449;22,374;23,320
1086	266	0	4,10;22,37;25,11
1087	266	1	4,12;22,44;25,13
1088	266	2	4,14;22,51;25,15
1089	266	3	4,16;22,58;25,17
1090	266	4	4,18;22,65;25,19
1091	266	5	4,20;22,72;25,21
1092	266	6	4,23;22,83;25,24
1093	266	7	4,26;22,94;25,27
1094	266	8	4,29;22,105;25,30
1095	266	9	4,32;22,116;25,33
1096	266	10	4,35;22,127;25,36
1097	266	11	4,39;22,142;25,40
1098	266	12	4,43;22,157;25,44
1099	266	13	4,47;22,172;25,48
1100	266	14	4,51;22,187;25,52
1101	266	15	4,55;22,202;25,56
1102	266	16	4,60;22,220;25,61
1103	266	17	4,65;22,238;25,66
1104	266	18	4,70;22,256;25,71
1105	266	19	4,75;22,274;25,76
1106	266	20	4,80;22,292;25,81
1107	266	21	4,86;22,314;25,88
1108	266	22	4,92;22,336;25,95
1109	266	23	4,98;22,358;25,102
1110	266	24	4,104;22,380;25,109
1111	266	25	4,110;22,402;25,116
1112	266	26	4,120;22,439;25,127
1113	266	27	4,130;22,476;25,138
1114	266	28	4,140;22,513;25,149
1115	266	29	4,150;22,550;25,160
1116	266	30	4,160;22,587;25,171
1117	311	0	3,92;21,89;25,107
1118	311	1	3,110;21,104;25,128
1119	311	2	3,128;21,119;25,149
1120	311	3	3,146;21,134;25,170
1121	311	4	3,164;21,149;25,191
1122	311	5	3,182;21,164;25,212
1123	311	6	3,209;21,188;25,242
1124	311	7	3,236;21,212;25,272
1125	311	8	3,263;21,236;25,302
1126	311	9	3,290;21,260;25,332
1127	311	10	3,317;21,284;25,362
1128	311	11	3,353;21,317;25,405
1129	311	12	3,389;21,350;25,448
1130	311	13	3,425;21,383;25,491
1131	311	14	3,461;21,416;25,534
1132	311	15	3,497;21,449;25,577
1133	311	16	3,543;21,492;25,629
1134	311	17	3,589;21,535;25,681
1135	311	18	3,635;21,578;25,733
1136	311	19	3,681;21,621;25,785
1137	311	20	3,727;21,664;25,837
1138	311	21	3,782;21,716;25,901
1139	311	22	3,837;21,768;25,965
1140	311	23	3,892;21,820;25,1029
1141	311	24	3,947;21,872;25,1093
1142	311	25	3,1002;21,924;25,1157
1143	311	26	3,1094;21,1013;25,1264
1144	311	27	3,1186;21,1102;25,1371
1145	311	28	3,1278;21,1191;25,1478
1146	311	29	3,1370;21,1280;25,1585
1147	311	30	3,1462;21,1369;25,1692
1148	312	0	1,474;21,77;24,95
1149	312	1	1,566;21,92;24,113
1150	312	2	1,658;21,107;24,131
1151	312	3	1,750;21,122;24,149
1152	312	4	1,842;21,137;24,167
1153	312	5	1,934;21,152;24,185
1154	312	6	1,1075;21,173;24,212
1155	312	7	1,1216;21,194;24,239
1156	312	8	1,1357;21,215;24,266
1157	312	9	1,1498;21,236;24,293
1158	312	10	1,1639;21,257;24,320
1159	312	11	1,1826;21,287;24,356
1160	312	12	1,2013;21,317;24,392
1161	312	13	1,2200;21,347;24,428
1162	312	14	1,2387;21,377;24,464
1163	312	15	1,2574;21,407;24,500
1164	312	16	1,2811;21,443;24,546
1165	312	17	1,3048;21,479;24,592
1166	312	18	1,3285;21,515;24,638
1167	312	19	1,3522;21,551;24,684
1168	312	20	1,3759;21,587;24,730
1169	312	21	1,4042;21,633;24,788
1170	312	22	1,4325;21,679;24,846
1171	312	23	1,4608;21,725;24,904
1172	312	24	1,4891;21,771;24,962
1173	312	25	1,5174;21,817;24,1020
1174	312	26	1,5648;21,894;24,1115
1175	312	27	1,6122;21,971;24,1210
1176	312	28	1,6596;21,1048;24,1305
1177	312	29	1,7070;21,1125;24,1400
1178	312	30	1,7544;21,1202;24,1495
1179	313	0	4,43;23,117;26,80
1180	313	1	4,49;23,138;26,95
1181	313	2	4,55;23,159;26,110
1182	313	3	4,61;23,180;26,125
1183	313	4	4,67;23,201;26,140
1184	313	5	4,73;23,222;26,155
1185	313	6	4,85;23,255;26,179
1186	313	7	4,97;23,288;26,203
1187	313	8	4,109;23,321;26,227
1188	313	9	4,121;23,354;26,251
1189	313	10	4,133;23,387;26,275
1190	313	11	4,148;23,433;26,305
1191	313	12	4,163;23,479;26,335
1192	313	13	4,178;23,525;26,365
1193	313	14	4,193;23,571;26,395
1194	313	15	4,208;23,617;26,425
1195	313	16	4,229;23,675;26,465
1196	313	17	4,250;23,733;26,505
1197	313	18	4,271;23,791;26,545
1198	313	19	4,292;23,849;26,585
1199	313	20	4,313;23,907;26,625
1200	313	21	4,337;23,977;26,674
1201	313	22	4,361;23,1047;26,723
1202	313	23	4,385;23,1117;26,772
1203	313	24	4,409;23,1187;26,821
1204	313	25	4,433;23,1257;26,870
1205	313	26	4,476;23,1374;26,950
1206	313	27	4,519;23,1491;26,1030
1207	313	28	4,562;23,1608;26,1110
1208	313	29	4,605;23,1725;26,1190
1209	313	30	4,648;23,1842;26,1270
1210	314	0	4,58;24,141;26,120
1211	314	1	4,67;24,168;26,141
1212	314	2	4,76;24,195;26,162
1213	314	3	4,85;24,222;26,183
1214	314	4	4,94;24,249;26,204
1215	314	5	4,103;24,276;26,225
1216	314	6	4,118;24,319;26,258
1217	314	7	4,133;24,362;26,291
1218	314	8	4,148;24,405;26,324
1219	314	9	4,163;24,448;26,357
1220	314	10	4,178;24,491;26,390
1221	314	11	4,199;24,546;26,436
1222	314	12	4,220;24,601;26,482
1223	314	13	4,241;24,656;26,528
1224	314	14	4,262;24,711;26,574
1225	314	15	4,283;24,766;26,620
1226	314	16	4,310;24,836;26,678
1227	314	17	4,337;24,906;26,736
1228	314	18	4,364;24,976;26,794
1229	314	19	4,391;24,1046;26,852
1230	314	20	4,418;24,1116;26,910
1231	314	21	4,451;24,1202;26,980
1232	314	22	4,484;24,1288;26,1050
1233	314	23	4,517;24,1374;26,1120
1234	314	24	4,550;24,1460;26,1190
1235	314	25	4,583;24,1546;26,1260
1236	314	26	4,641;24,1687;26,1380
1237	314	27	4,699;24,1828;26,1500
1238	314	28	4,757;24,1969;26,1620
1239	314	29	4,815;24,2110;26,1740
1240	314	30	4,873;24,2251;26,1860
1241	315	0	1,831;22,49;23,67
1242	315	1	1,997;22,58;23,79
1243	315	2	1,1163;22,67;23,91
1244	315	3	1,1329;22,76;23,103
1245	315	4	1,1495;22,85;23,115
1246	315	5	1,1661;22,94;23,127
1247	315	6	1,1910;22,109;23,145
1248	315	7	1,2159;22,124;23,163
1249	315	8	1,2408;22,139;23,181
1250	315	9	1,2657;22,154;23,199
1251	315	10	1,2906;22,169;23,217
1252	315	11	1,3238;22,187;23,244
1253	315	12	1,3570;22,205;23,271
1254	315	13	1,3902;22,223;23,298
1255	315	14	1,4234;22,241;23,325
1256	315	15	1,4566;22,259;23,352
1257	315	16	1,4981;22,283;23,385
1258	315	17	1,5396;22,307;23,418
1259	315	18	1,5811;22,331;23,451
1260	315	19	1,6226;22,355;23,484
1261	315	20	1,6641;22,379;23,517
1262	315	21	1,7139;22,409;23,557
1263	315	22	1,7637;22,439;23,597
1264	315	23	1,8135;22,469;23,637
1265	315	24	1,8633;22,499;23,677
1266	315	25	1,9131;22,529;23,717
1267	315	26	1,9962;22,578;23,784
1268	315	27	1,10793;22,627;23,851
1269	315	28	1,11624;22,676;23,918
1270	315	29	1,12455;22,725;23,985
1271	315	30	1,13286;22,774;23,1052
1272	316	0	4,30;22,77;25,33
1273	316	1	4,36;22,92;25,39
1274	316	2	4,42;22,107;25,45
1275	316	3	4,48;22,122;25,51
1276	316	4	4,54;22,137;25,57
1277	316	5	4,60;22,152;25,63
1278	316	6	4,69;22,173;25,72
1279	316	7	4,78;22,194;25,81
1280	316	8	4,87;22,215;25,90
1281	316	9	4,96;22,236;25,99
1282	316	10	4,105;22,257;25,108
1283	316	11	4,117;22,287;25,120
1284	316	12	4,129;22,317;25,132
1285	316	13	4,141;22,347;25,144
1286	316	14	4,153;22,377;25,156
1287	316	15	4,165;22,407;25,168
1288	316	16	4,180;22,443;25,183
1289	316	17	4,195;22,479;25,198
1290	316	18	4,210;22,515;25,213
1291	316	19	4,225;22,551;25,228
1292	316	20	4,240;22,587;25,243
1293	316	21	4,258;22,633;25,264
1294	316	22	4,276;22,679;25,285
1295	316	23	4,294;22,725;25,306
1296	316	24	4,312;22,771;25,327
1297	316	25	4,330;22,817;25,348
1298	316	26	4,360;22,894;25,381
1299	316	27	4,390;22,971;25,414
1300	316	28	4,420;22,1048;25,447
1301	316	29	4,450;22,1125;25,480
1302	316	30	4,480;22,1202;25,513
1303	321	0	3,117;21,77;25,157
1304	321	1	3,138;21,92;25,187
1305	321	2	3,159;21,107;25,217
1306	321	3	3,180;21,122;25,247
1307	321	4	3,201;21,137;25,277
1308	321	5	3,222;21,152;25,307
1309	321	6	3,255;21,173;25,353
1310	321	7	3,288;21,194;25,399
1311	321	8	3,321;21,215;25,445
1312	321	9	3,354;21,236;25,491
1313	321	10	3,387;21,257;25,537
1314	321	11	3,433;21,287;25,598
1315	321	12	3,479;21,317;25,659
1316	321	13	3,525;21,347;25,720
1317	321	14	3,571;21,377;25,781
1318	321	15	3,617;21,407;25,842
1319	321	16	3,675;21,443;25,919
1320	321	17	3,733;21,479;25,996
1321	321	18	3,791;21,515;25,1073
1322	321	19	3,849;21,551;25,1150
1323	321	20	3,907;21,587;25,1227
1324	321	21	3,977;21,633;25,1319
1325	321	22	3,1047;21,679;25,1411
1326	321	23	3,1117;21,725;25,1503
1327	321	24	3,1187;21,771;25,1595
1328	321	25	3,1257;21,817;25,1687
1329	321	26	3,1374;21,894;25,1844
1330	321	27	3,1491;21,971;25,2001
1331	321	28	3,1608;21,1048;25,2158
1332	321	29	3,1725;21,1125;25,2315
1333	321	30	3,1842;21,1202;25,2472
1334	322	0	1,415;21,67;24,70
1335	322	1	1,498;21,79;24,82
1336	322	2	1,581;21,91;24,94
1337	322	3	1,664;21,103;24,106
1338	322	4	1,747;21,115;24,118
1339	322	5	1,830;21,127;24,130
1340	322	6	1,953;21,145;24,151
1341	322	7	1,1076;21,163;24,172
1342	322	8	1,1199;21,181;24,193
1343	322	9	1,1322;21,199;24,214
1344	322	10	1,1445;21,217;24,235
1345	322	11	1,1611;21,241;24,262
1346	322	12	1,1777;21,265;24,289
1347	322	13	1,1943;21,289;24,316
1348	322	14	1,2109;21,313;24,343
1349	322	15	1,2275;21,337;24,370
1350	322	16	1,2481;21,370;24,403
1351	322	17	1,2687;21,403;24,436
1352	322	18	1,2893;21,436;24,469
1353	322	19	1,3099;21,469;24,502
1354	322	20	1,3305;21,502;24,535
1355	322	21	1,3554;21,542;24,578
1356	322	22	1,3803;21,582;24,621
1357	322	23	1,4052;21,622;24,664
1358	322	24	1,4301;21,662;24,707
1359	322	25	1,4550;21,702;24,750
1360	322	26	1,4965;21,769;24,820
1361	322	27	1,5380;21,836;24,890
1362	322	28	1,5795;21,903;24,960
1363	322	29	1,6210;21,970;24,1030
1364	322	30	1,6625;21,1037;24,1100
1365	323	0	4,40;23,132;26,64
1366	323	1	4,46;23,156;26,76
1367	323	2	4,52;23,180;26,88
1368	323	3	4,58;23,204;26,100
1369	323	4	4,64;23,228;26,112
1370	323	5	4,70;23,252;26,124
1371	323	6	4,82;23,288;26,142
1372	323	7	4,94;23,324;26,160
1373	323	8	4,106;23,360;26,178
1374	323	9	4,118;23,396;26,196
1375	323	10	4,130;23,432;26,214
1376	323	11	4,145;23,484;26,238
1377	323	12	4,160;23,536;26,262
1378	323	13	4,175;23,588;26,286
1379	323	14	4,190;23,640;26,310
1380	323	15	4,205;23,692;26,334
1381	323	16	4,223;23,756;26,364
1382	323	17	4,241;23,820;26,394
1383	323	18	4,259;23,884;26,424
1384	323	19	4,277;23,948;26,454
1385	323	20	4,295;23,1012;26,484
1386	323	21	4,319;23,1089;26,520
1387	323	22	4,343;23,1166;26,556
1388	323	23	4,367;23,1243;26,592
1389	323	24	4,391;23,1320;26,628
1390	323	25	4,415;23,1397;26,664
1391	323	26	4,455;23,1529;26,728
1392	323	27	4,495;23,1661;26,792
1393	323	28	4,535;23,1793;26,856
1394	323	29	4,575;23,1925;26,920
1395	323	30	4,615;23,2057;26,984
1396	324	0	4,55;24,104;26,95
1397	324	1	4,64;24,122;26,113
1398	324	2	4,73;24,140;26,131
1399	324	3	4,82;24,158;26,149
1400	324	4	4,91;24,176;26,167
1401	324	5	4,100;24,194;26,185
1402	324	6	4,115;24,224;26,212
1403	324	7	4,130;24,254;26,239
1404	324	8	4,145;24,284;26,266
1405	324	9	4,160;24,314;26,293
1406	324	10	4,175;24,344;26,320
1407	324	11	4,196;24,384;26,356
1408	324	12	4,217;24,424;26,392
1409	324	13	4,238;24,464;26,428
1410	324	14	4,259;24,504;26,464
1411	324	15	4,280;24,544;26,500
1412	324	16	4,307;24,596;26,546
1413	324	17	4,334;24,648;26,592
1414	324	18	4,361;24,700;26,638
1415	324	19	4,388;24,752;26,684
1416	324	20	4,415;24,804;26,730
1417	324	21	4,445;24,865;26,785
1418	324	22	4,475;24,926;26,840
1419	324	23	4,505;24,987;26,895
1420	324	24	4,535;24,1048;26,950
1421	324	25	4,565;24,1109;26,1005
1422	324	26	4,620;24,1213;26,1100
1423	324	27	4,675;24,1317;26,1195
1424	324	28	4,730;24,1421;26,1290
1425	324	29	4,785;24,1525;26,1385
1426	324	30	4,840;24,1629;26,1480
1427	325	0	1,726;22,67;23,77
1428	325	1	1,870;22,79;23,92
1429	325	2	1,1014;22,91;23,107
1430	325	3	1,1158;22,103;23,122
1431	325	4	1,1302;22,115;23,137
1432	325	5	1,1446;22,127;23,152
1433	325	6	1,1664;22,145;23,173
1434	325	7	1,1882;22,163;23,194
1435	325	8	1,2100;22,181;23,215
1436	325	9	1,2318;22,199;23,236
1437	325	10	1,2536;22,217;23,257
1438	325	11	1,2825;22,241;23,287
1439	325	12	1,3114;22,265;23,317
1440	325	13	1,3403;22,289;23,347
1441	325	14	1,3692;22,313;23,377
1442	325	15	1,3981;22,337;23,407
1443	325	16	1,4344;22,370;23,443
1444	325	17	1,4707;22,403;23,479
1445	325	18	1,5070;22,436;23,515
1446	325	19	1,5433;22,469;23,551
1447	325	20	1,5796;22,502;23,587
1448	325	21	1,6233;22,542;23,633
1449	325	22	1,6670;22,582;23,679
1450	325	23	1,7107;22,622;23,725
1451	325	24	1,7544;22,662;23,771
1452	325	25	1,7981;22,702;23,817
1453	325	26	1,8707;22,769;23,894
1454	325	27	1,9433;22,836;23,971
1455	325	28	1,10159;22,903;23,1048
1456	325	29	1,10885;22,970;23,1125
1457	325	30	1,11611;22,1037;23,1202
1458	326	0	4,27;22,101;25,52
1459	326	1	4,30;22,119;25,61
1460	326	2	4,33;22,137;25,70
1461	326	3	4,36;22,155;25,79
1462	326	4	4,39;22,173;25,88
1463	326	5	4,42;22,191;25,97
1464	326	6	4,48;22,221;25,112
1465	326	7	4,54;22,251;25,127
1466	326	8	4,60;22,281;25,142
1467	326	9	4,66;22,311;25,157
1468	326	10	4,72;22,341;25,172
1469	326	11	4,81;22,381;25,190
1470	326	12	4,90;22,421;25,208
1471	326	13	4,99;22,461;25,226
1472	326	14	4,108;22,501;25,244
1473	326	15	4,117;22,541;25,262
1474	326	16	4,129;22,590;25,286
1475	326	17	4,141;22,639;25,310
1476	326	18	4,153;22,688;25,334
1477	326	19	4,165;22,737;25,358
1478	326	20	4,177;22,786;25,382
1479	326	21	4,192;22,847;25,412
1480	326	22	4,207;22,908;25,442
1481	326	23	4,222;22,969;25,472
1482	326	24	4,237;22,1030;25,502
1483	326	25	4,252;22,1091;25,532
1484	326	26	4,279;22,1192;25,584
1485	326	27	4,306;22,1293;25,636
1486	326	28	4,333;22,1394;25,688
1487	326	29	4,360;22,1495;25,740
1488	326	30	4,387;22,1596;25,792
1489	331	0	3,113;21,123;25,126
1490	331	1	3,134;21,147;25,150
1491	331	2	3,155;21,171;25,174
1492	331	3	3,176;21,195;25,198
1493	331	4	3,197;21,219;25,222
1494	331	5	3,218;21,243;25,246
1495	331	6	3,251;21,279;25,282
1496	331	7	3,284;21,315;25,318
1497	331	8	3,317;21,351;25,354
1498	331	9	3,350;21,387;25,390
1499	331	10	3,383;21,423;25,426
