合成前玩具ID	合成需要的数量	标题	合成后ID
1506501	2	Stn_Cmp_PetToy	1506502
1506502	2	Stn_Cmp_PetToy	1506503
1506503	2	Stn_Cmp_PetToy	1506504
1506504	2	Stn_Cmp_PetToy	1506505
1506601	2	Stn_Cmp_PetToy	1506602
1506602	2	Stn_Cmp_PetToy	1506603
1506603	2	Stn_Cmp_PetToy	1506604
1506604	2	Stn_Cmp_PetToy	1506605
1506701	2	Stn_Cmp_PetToy	1506702
1506702	2	Stn_Cmp_PetToy	1506703
1506703	2	Stn_Cmp_PetToy	1506704
1506704	2	Stn_Cmp_PetToy	1506705
1506801	2	Stn_Cmp_PetToy	1506802
1506802	2	Stn_Cmp_PetToy	1506803
1506803	2	Stn_Cmp_PetToy	1506804
1506804	2	Stn_Cmp_PetToy	1506805
1506901	2	Stn_Cmp_PetToy	1506902
1506902	2	Stn_Cmp_PetToy	1506903
1506903	2	Stn_Cmp_PetToy	1506904
1506904	2	Stn_Cmp_PetToy	1506905
1507001	2	Stn_Cmp_PetToy	1507002
1507002	2	Stn_Cmp_PetToy	1507003
1507003	2	Stn_Cmp_PetToy	1507004
1507004	2	Stn_Cmp_PetToy	1507005
1507101	2	Stn_Cmp_PetToy	1507102
1507102	2	Stn_Cmp_PetToy	1507103
1507103	2	Stn_Cmp_PetToy	1507104
1507104	2	Stn_Cmp_PetToy	1507105
1507201	2	Stn_Cmp_PetToy	1507202
1507202	2	Stn_Cmp_PetToy	1507203
1507203	2	Stn_Cmp_PetToy	1507204
1507204	2	Stn_Cmp_PetToy	1507205
1507301	2	Stn_Cmp_PetToy	1507302
1507302	2	Stn_Cmp_PetToy	1507303
1507303	2	Stn_Cmp_PetToy	1507304
1507304	2	Stn_Cmp_PetToy	1507305
1507401	2	Stn_Cmp_PetToy	1507402
1507402	2	Stn_Cmp_PetToy	1507403
1507403	2	Stn_Cmp_PetToy	1507404
1507404	2	Stn_Cmp_PetToy	1507405
1507501	2	Stn_Cmp_PetToy	1507502
1507502	2	Stn_Cmp_PetToy	1507503
1507503	2	Stn_Cmp_PetToy	1507504
1507504	2	Stn_Cmp_PetToy	1507505
1507601	2	Stn_Cmp_PetToy	1507602
1507602	2	Stn_Cmp_PetToy	1507603
1507603	2	Stn_Cmp_PetToy	1507604
1507604	2	Stn_Cmp_PetToy	1507605
1507701	2	Stn_Cmp_PetToy	1507702
1507702	2	Stn_Cmp_PetToy	1507703
1507703	2	Stn_Cmp_PetToy	1507704
1507704	2	Stn_Cmp_PetToy	1507705
1507801	2	Stn_Cmp_PetToy	1507802
1507802	2	Stn_Cmp_PetToy	1507803
1507803	2	Stn_Cmp_PetToy	1507804
1507804	2	Stn_Cmp_PetToy	1507805
1507901	2	Stn_Cmp_PetToy	1507902
1507902	2	Stn_Cmp_PetToy	1507903
1507903	2	Stn_Cmp_PetToy	1507904
1507904	2	Stn_Cmp_PetToy	1507905
1508001	2	Stn_Cmp_PetToy	1508002
1508002	2	Stn_Cmp_PetToy	1508003
1508003	2	Stn_Cmp_PetToy	1508004
1508004	2	Stn_Cmp_PetToy	1508005
1508101	2	Stn_Cmp_PetToy	1508102
1508102	2	Stn_Cmp_PetToy	1508103
1508103	2	Stn_Cmp_PetToy	1508104
1508104	2	Stn_Cmp_PetToy	1508105
1508201	2	Stn_Cmp_PetToy	1508202
1508202	2	Stn_Cmp_PetToy	1508203
1508203	2	Stn_Cmp_PetToy	1508204
1508204	2	Stn_Cmp_PetToy	1508205
1508301	2	Stn_Cmp_PetToy	1508302
1508302	2	Stn_Cmp_PetToy	1508303
1508303	2	Stn_Cmp_PetToy	1508304
1508304	2	Stn_Cmp_PetToy	1508305
1508401	2	Stn_Cmp_PetToy	1508402
1508402	2	Stn_Cmp_PetToy	1508403
1508403	2	Stn_Cmp_PetToy	1508404
1508404	2	Stn_Cmp_PetToy	1508405
1508501	2	Stn_Cmp_PetToy	1508502
1508502	2	Stn_Cmp_PetToy	1508503
1508503	2	Stn_Cmp_PetToy	1508504
1508504	2	Stn_Cmp_PetToy	1508505
1508601	2	Stn_Cmp_PetToy	1508602
1508602	2	Stn_Cmp_PetToy	1508603
1508603	2	Stn_Cmp_PetToy	1508604
1508604	2	Stn_Cmp_PetToy	1508605
1508701	2	Stn_Cmp_PetToy	1508702
1508702	2	Stn_Cmp_PetToy	1508703
1508703	2	Stn_Cmp_PetToy	1508704
1508704	2	Stn_Cmp_PetToy	1508705
1508801	2	Stn_Cmp_PetToy	1508802
1508802	2	Stn_Cmp_PetToy	1508803
1508803	2	Stn_Cmp_PetToy	1508804
1508804	2	Stn_Cmp_PetToy	1508805
1508901	2	Stn_Cmp_PetToy	1508902
1508902	2	Stn_Cmp_PetToy	1508903
1508903	2	Stn_Cmp_PetToy	1508904
1508904	2	Stn_Cmp_PetToy	1508905
1509001	2	Stn_Cmp_PetToy	1509002
1509002	2	Stn_Cmp_PetToy	1509003
1509003	2	Stn_Cmp_PetToy	1509004
1509004	2	Stn_Cmp_PetToy	1509005
1509101	2	Stn_Cmp_PetToy	1509102
1509102	2	Stn_Cmp_PetToy	1509103
1509103	2	Stn_Cmp_PetToy	1509104
1509104	2	Stn_Cmp_PetToy	1509105
1509201	2	Stn_Cmp_PetToy	1509202
1509202	2	Stn_Cmp_PetToy	1509203
1509203	2	Stn_Cmp_PetToy	1509204
1509204	2	Stn_Cmp_PetToy	1509205
1509301	2	Stn_Cmp_PetToy	1509302
1509302	2	Stn_Cmp_PetToy	1509303
1509303	2	Stn_Cmp_PetToy	1509304
1509304	2	Stn_Cmp_PetToy	1509305
1509401	2	Stn_Cmp_PetToy	1509402
1509402	2	Stn_Cmp_PetToy	1509403
1509403	2	Stn_Cmp_PetToy	1509404
1509404	2	Stn_Cmp_PetToy	1509405
1509501	2	Stn_Cmp_PetToy	1509502
1509502	2	Stn_Cmp_PetToy	1509503
1509503	2	Stn_Cmp_PetToy	1509504
1509504	2	Stn_Cmp_PetToy	1509505
1509601	2	Stn_Cmp_PetToy	1509602
1509602	2	Stn_Cmp_PetToy	1509603
1509603	2	Stn_Cmp_PetToy	1509604
1509604	2	Stn_Cmp_PetToy	1509605
1509701	2	Stn_Cmp_PetToy	1509702
1509702	2	Stn_Cmp_PetToy	1509703
1509703	2	Stn_Cmp_PetToy	1509704
1509704	2	Stn_Cmp_PetToy	1509705
1509801	2	Stn_Cmp_PetToy	1509802
1509802	2	Stn_Cmp_PetToy	1509803
1509803	2	Stn_Cmp_PetToy	1509804
1509804	2	Stn_Cmp_PetToy	1509805
1509901	2	Stn_Cmp_PetToy	1509902
1509902	2	Stn_Cmp_PetToy	1509903
1509903	2	Stn_Cmp_PetToy	1509904
1509904	2	Stn_Cmp_PetToy	1509905
1510001	2	Stn_Cmp_PetToy	1510002
1510002	2	Stn_Cmp_PetToy	1510003
1510003	2	Stn_Cmp_PetToy	1510004
1510004	2	Stn_Cmp_PetToy	1510005
1510101	2	Stn_Cmp_PetToy	1510102
1510102	2	Stn_Cmp_PetToy	1510103
1510103	2	Stn_Cmp_PetToy	1510104
1510104	2	Stn_Cmp_PetToy	1510105
1510201	2	Stn_Cmp_PetToy	1510202
1510202	2	Stn_Cmp_PetToy	1510203
1510203	2	Stn_Cmp_PetToy	1510204
1510204	2	Stn_Cmp_PetToy	1510205
1510301	2	Stn_Cmp_PetToy	1510302
1510302	2	Stn_Cmp_PetToy	1510303
1510303	2	Stn_Cmp_PetToy	1510304
1510304	2	Stn_Cmp_PetToy	1510305
1510401	2	Stn_Cmp_PetToy	1510402
1510402	2	Stn_Cmp_PetToy	1510403
1510403	2	Stn_Cmp_PetToy	1510404
1510404	2	Stn_Cmp_PetToy	1510405
1510501	2	Stn_Cmp_PetToy	1510502
1510502	2	Stn_Cmp_PetToy	1510503
1510503	2	Stn_Cmp_PetToy	1510504
1510504	2	Stn_Cmp_PetToy	1510505
1510601	2	Stn_Cmp_PetToy	1510602
1510602	2	Stn_Cmp_PetToy	1510603
1510603	2	Stn_Cmp_PetToy	1510604
1510604	2	Stn_Cmp_PetToy	1510605
1510701	2	Stn_Cmp_PetToy	1510702
1510702	2	Stn_Cmp_PetToy	1510703
1510703	2	Stn_Cmp_PetToy	1510704
1510704	2	Stn_Cmp_PetToy	1510705
1510801	2	Stn_Cmp_PetToy	1510802
1510802	2	Stn_Cmp_PetToy	1510803
1510803	2	Stn_Cmp_PetToy	1510804
1510804	2	Stn_Cmp_PetToy	1510805
1510901	2	Stn_Cmp_PetToy	1510902
1510902	2	Stn_Cmp_PetToy	1510903
1510903	2	Stn_Cmp_PetToy	1510904
1510904	2	Stn_Cmp_PetToy	1510905
1511001	2	Stn_Cmp_PetToy	1511002
1511002	2	Stn_Cmp_PetToy	1511003
1511003	2	Stn_Cmp_PetToy	1511004
1511004	2	Stn_Cmp_PetToy	1511005
