流水	装备id	进阶品阶	需求角色等级	进阶增加属性	进阶消耗材料	进阶消耗银币
1332	equip303040541006	2	48	4,33;23,82;26,51	item103015110413,60;item103015110407,4;item103015110403,2	200000
1333	equip303040541006	3	48	4,52;23,129;26,79	item103015110413,90;item103015110407,8;item103015110403,3;item103015110412,1	300000
1334	equip303040541006	4	48	4,71;23,175;26,108	item103015110413,120;item103015110407,12;item103015110403,6;item103015110412,1	400000
1335	equip303040541006	5	55	4,91;23,227;26,140	item103015110413,150;item103015110407,16;item103015110403,8;item103015110412,1	500000
1336	equip303040541006	6	60	4,112;23,278;26,172	item103015110413,300;item103015110407,24;item103015110403,10;item103015110412,1	1000000
1337	equip303040541006	7	65	4,135;23,335;26,207	item103015110413,500;item103015110407,32;item103015110403,12;item103015110412,2	2000000
1338	equip303040541006	8	70	4,158;23,392;26,242	item103015110413,700;item103015110407,40;item103015110403,14;item103015110412,3	3000000
1339	equip303040541006	9	75	4,183;23,454;26,280	item103015110413,900;item103015110407,48;item103015110403,16;item103015110412,4	4000000
1340	equip303040541006	10	80	4,209;23,516;26,319	item103015110413,1200;item103015110407,64;item103015110403,20;item103015110412,5	5000000
1341	equip303040541006	11	85	4,236;23,583;26,360	item103015110413,1500;item103015110407,80;item103015110403,25;item103015110412,6	6000000
1342	equip303040541006	12	90	4,265;23,655;26,405	item103015110413,1800;item103015110407,96;item103015110403,30;item103015110412,8	7000000
1343	equip303040541006	13	90	4,296;23,732;26,452	item103015110413,2100;item103015110407,112;item103015110403,35;item103015110412,10	8000000
1344	equip303040541006	14	90	4,330;23,815;26,504	item103015110413,2500;item103015110407,128;item103015110403,40;item103015110412,12	9000000
1345	equip303050541001	1	48	4,20;23,55;26,38	item103015110413,30;item103015110407,2;item103015110403,1	100000
1346	equip303050541001	2	48	4,41;23,111;26,77	item103015110413,60;item103015110407,4;item103015110403,2	200000
1347	equip303050541001	3	48	4,64;23,174;26,120	item103015110413,90;item103015110407,8;item103015110403,3;item103015110412,1	300000
1348	equip303050541001	4	48	4,87;23,236;26,164	item103015110413,120;item103015110407,12;item103015110403,6;item103015110412,1	400000
1349	equip303050541001	5	55	4,113;23,306;26,212	item103015110413,150;item103015110407,16;item103015110403,8;item103015110412,1	500000
1350	equip303050541001	6	60	4,138;23,376;26,260	item103015110413,300;item103015110407,24;item103015110403,10;item103015110412,1	1000000
1351	equip303050541001	7	65	4,167;23,453;26,313	item103015110413,500;item103015110407,32;item103015110403,12;item103015110412,2	2000000
1352	equip303050541001	8	70	4,195;23,529;26,367	item103015110413,700;item103015110407,40;item103015110403,14;item103015110412,3	3000000
1353	equip303050541001	9	75	4,226;23,613;26,425	item103015110413,900;item103015110407,48;item103015110403,16;item103015110412,4	4000000
1354	equip303050541001	10	80	4,257;23,697;26,483	item103015110413,1200;item103015110407,64;item103015110403,20;item103015110412,5	5000000
1355	equip303050541001	11	85	4,290;23,787;26,545	item103015110413,1500;item103015110407,80;item103015110403,25;item103015110412,6	6000000
1356	equip303050541001	12	90	4,326;23,885;26,613	item103015110413,1800;item103015110407,96;item103015110403,30;item103015110412,8	7000000
1357	equip303050541001	13	90	4,364;23,989;26,685	item103015110413,2100;item103015110407,112;item103015110403,35;item103015110412,10	8000000
1358	equip303050541001	14	90	4,406;23,1101;26,763	item103015110413,2500;item103015110407,128;item103015110403,40;item103015110412,12	9000000
1359	equip303050541002	1	48	4,19;23,61;26,30	item103015110413,30;item103015110407,2;item103015110403,1	100000
1360	equip303050541002	2	48	4,38;23,123;26,61	item103015110413,60;item103015110407,4;item103015110403,2	200000
1361	equip303050541002	3	48	4,60;23,193;26,95	item103015110413,90;item103015110407,8;item103015110403,3;item103015110412,1	300000
1362	equip303050541002	4	48	4,81;23,263;26,130	item103015110413,120;item103015110407,12;item103015110403,6;item103015110412,1	400000
1363	equip303050541002	5	55	4,105;23,340;26,168	item103015110413,150;item103015110407,16;item103015110403,8;item103015110412,1	500000
1364	equip303050541002	6	60	4,129;23,417;26,206	item103015110413,300;item103015110407,24;item103015110403,10;item103015110412,1	1000000
1365	equip303050541002	7	65	4,156;23,503;26,248	item103015110413,500;item103015110407,32;item103015110403,12;item103015110412,2	2000000
1366	equip303050541002	8	70	4,182;23,588;26,291	item103015110413,700;item103015110407,40;item103015110403,14;item103015110412,3	3000000
1367	equip303050541002	9	75	4,211;23,681;26,337	item103015110413,900;item103015110407,48;item103015110403,16;item103015110412,4	4000000
1368	equip303050541002	10	80	4,240;23,774;26,383	item103015110413,1200;item103015110407,64;item103015110403,20;item103015110412,5	5000000
1369	equip303050541002	11	85	4,271;23,874;26,432	item103015110413,1500;item103015110407,80;item103015110403,25;item103015110412,6	6000000
1370	equip303050541002	12	90	4,304;23,982;26,486	item103015110413,1800;item103015110407,96;item103015110403,30;item103015110412,8	7000000
1371	equip303050541002	13	90	4,340;23,1099;26,543	item103015110413,2100;item103015110407,112;item103015110403,35;item103015110412,10	8000000
1372	equip303050541002	14	90	4,379;23,1222;26,605	item103015110413,2500;item103015110407,128;item103015110403,40;item103015110412,12	9000000
1373	equip303050541003	1	48	4,18;23,43;26,26	item103015110413,30;item103015110407,2;item103015110403,1	100000
1374	equip303050541003	2	48	4,37;23,86;26,53	item103015110413,60;item103015110407,4;item103015110403,2	200000
1375	equip303050541003	3	48	4,59;23,135;26,83	item103015110413,90;item103015110407,8;item103015110403,3;item103015110412,1	300000
1376	equip303050541003	4	48	4,80;23,184;26,113	item103015110413,120;item103015110407,12;item103015110403,6;item103015110412,1	400000
1377	equip303050541003	5	55	4,103;23,238;26,146	item103015110413,150;item103015110407,16;item103015110403,8;item103015110412,1	500000
1378	equip303050541003	6	60	4,127;23,292;26,179	item103015110413,300;item103015110407,24;item103015110403,10;item103015110412,1	1000000
1379	equip303050541003	7	65	4,153;23,352;26,216	item103015110413,500;item103015110407,32;item103015110403,12;item103015110412,2	2000000
1380	equip303050541003	8	70	4,179;23,411;26,253	item103015110413,700;item103015110407,40;item103015110403,14;item103015110412,3	3000000
1381	equip303050541003	9	75	4,207;23,476;26,293	item103015110413,900;item103015110407,48;item103015110403,16;item103015110412,4	4000000
1382	equip303050541003	10	80	4,236;23,542;26,333	item103015110413,1200;item103015110407,64;item103015110403,20;item103015110412,5	5000000
1383	equip303050541003	11	85	4,266;23,612;26,376	item103015110413,1500;item103015110407,80;item103015110403,25;item103015110412,6	6000000
1384	equip303050541003	12	90	4,299;23,688;26,422	item103015110413,1800;item103015110407,96;item103015110403,30;item103015110412,8	7000000
1385	equip303050541003	13	90	4,335;23,769;26,472	item103015110413,2100;item103015110407,112;item103015110403,35;item103015110412,10	8000000
1386	equip303050541003	14	90	4,372;23,856;26,526	item103015110413,2500;item103015110407,128;item103015110403,40;item103015110412,12	9000000
1387	equip303050541004	1	48	4,18;23,30;26,34	item103015110413,30;item103015110407,2;item103015110403,1	100000
1388	equip303050541004	2	48	4,37;23,61;26,69	item103015110413,60;item103015110407,4;item103015110403,2	200000
1389	equip303050541004	3	48	4,59;23,96;26,108	item103015110413,90;item103015110407,8;item103015110403,3;item103015110412,1	300000
1390	equip303050541004	4	48	4,80;23,131;26,146	item103015110413,120;item103015110407,12;item103015110403,6;item103015110412,1	400000
1391	equip303050541004	5	55	4,104;23,170;26,190	item103015110413,150;item103015110407,16;item103015110403,8;item103015110412,1	500000
1392	equip303050541004	6	60	4,127;23,208;26,233	item103015110413,300;item103015110407,24;item103015110403,10;item103015110412,1	1000000
1393	equip303050541004	7	65	4,154;23,251;26,280	item103015110413,500;item103015110407,32;item103015110403,12;item103015110412,2	2000000
1394	equip303050541004	8	70	4,180;23,294;26,328	item103015110413,700;item103015110407,40;item103015110403,14;item103015110412,3	3000000
1395	equip303050541004	9	75	4,208;23,340;26,380	item103015110413,900;item103015110407,48;item103015110403,16;item103015110412,4	4000000
1396	equip303050541004	10	80	4,237;23,387;26,432	item103015110413,1200;item103015110407,64;item103015110403,20;item103015110412,5	5000000
1397	equip303050541004	11	85	4,267;23,437;26,488	item103015110413,1500;item103015110407,80;item103015110403,25;item103015110412,6	6000000
1398	equip303050541004	12	90	4,300;23,491;26,548	item103015110413,1800;item103015110407,96;item103015110403,30;item103015110412,8	7000000
1399	equip303050541004	13	90	4,336;23,549;26,613	item103015110413,2100;item103015110407,112;item103015110403,35;item103015110412,10	8000000
1400	equip303050541004	14	90	4,374;23,611;26,682	item103015110413,2500;item103015110407,128;item103015110403,40;item103015110412,12	9000000
1401	equip303050541005	1	48	4,17;23,61;26,22	item103015110413,30;item103015110407,2;item103015110403,1	100000
1402	equip303050541005	2	48	4,35;23,123;26,45	item103015110413,60;item103015110407,4;item103015110403,2	200000
1403	equip303050541005	3	48	4,55;23,193;26,70	item103015110413,90;item103015110407,8;item103015110403,3;item103015110412,1	300000
1404	equip303050541005	4	48	4,75;23,263;26,96	item103015110413,120;item103015110407,12;item103015110403,6;item103015110412,1	400000
1405	equip303050541005	5	55	4,98;23,340;26,124	item103015110413,150;item103015110407,16;item103015110403,8;item103015110412,1	500000
1406	equip303050541005	6	60	4,120;23,417;26,152	item103015110413,300;item103015110407,24;item103015110403,10;item103015110412,1	1000000
1407	equip303050541005	7	65	4,144;23,503;26,183	item103015110413,500;item103015110407,32;item103015110403,12;item103015110412,2	2000000
1408	equip303050541005	8	70	4,169;23,588;26,215	item103015110413,700;item103015110407,40;item103015110403,14;item103015110412,3	3000000
1409	equip303050541005	9	75	4,196;23,681;26,249	item103015110413,900;item103015110407,48;item103015110403,16;item103015110412,4	4000000
1410	equip303050541005	10	80	4,223;23,774;26,283	item103015110413,1200;item103015110407,64;item103015110403,20;item103015110412,5	5000000
1411	equip303050541005	11	85	4,251;23,874;26,319	item103015110413,1500;item103015110407,80;item103015110403,25;item103015110412,6	6000000
1412	equip303050541005	12	90	4,283;23,982;26,359	item103015110413,1800;item103015110407,96;item103015110403,30;item103015110412,8	7000000
1413	equip303050541005	13	90	4,316;23,1099;26,401	item103015110413,2100;item103015110407,112;item103015110403,35;item103015110412,10	8000000
1414	equip303050541005	14	90	4,352;23,1222;26,447	item103015110413,2500;item103015110407,128;item103015110403,40;item103015110412,12	9000000
1415	equip303050541006	1	48	4,20;23,49;26,30	item103015110413,30;item103015110407,2;item103015110403,1	100000
1416	equip303050541006	2	48	4,40;23,99;26,61	item103015110413,60;item103015110407,4;item103015110403,2	200000
1417	equip303050541006	3	48	4,62;23,155;26,95	item103015110413,90;item103015110407,8;item103015110403,3;item103015110412,1	300000
1418	equip303050541006	4	48	4,85;23,210;26,130	item103015110413,120;item103015110407,12;item103015110403,6;item103015110412,1	400000
1419	equip303050541006	5	55	4,110;23,272;26,168	item103015110413,150;item103015110407,16;item103015110403,8;item103015110412,1	500000
1420	equip303050541006	6	60	4,135;23,334;26,206	item103015110413,300;item103015110407,24;item103015110403,10;item103015110412,1	1000000
1421	equip303050541006	7	65	4,163;23,403;26,248	item103015110413,500;item103015110407,32;item103015110403,12;item103015110412,2	2000000
1422	equip303050541006	8	70	4,190;23,471;26,291	item103015110413,700;item103015110407,40;item103015110403,14;item103015110412,3	3000000
1423	equip303050541006	9	75	4,220;23,545;26,337	item103015110413,900;item103015110407,48;item103015110403,16;item103015110412,4	4000000
1424	equip303050541006	10	80	4,251;23,620;26,383	item103015110413,1200;item103015110407,64;item103015110403,20;item103015110412,5	5000000
1425	equip303050541006	11	85	4,283;23,700;26,432	item103015110413,1500;item103015110407,80;item103015110403,25;item103015110412,6	6000000
1426	equip303050541006	12	90	4,318;23,787;26,486	item103015110413,1800;item103015110407,96;item103015110403,30;item103015110412,8	7000000
1427	equip303050541006	13	90	4,356;23,880;26,543	item103015110413,2100;item103015110407,112;item103015110403,35;item103015110412,10	8000000
1428	equip303050541006	14	90	4,396;23,979;26,605	item103015110413,2500;item103015110407,128;item103015110403,40;item103015110412,12	9000000
1429	equip303060541001	1	48	4,24;23,65;26,45	item103015110413,30;item103015110407,2;item103015110403,1	100000
1430	equip303060541001	2	48	4,48;23,130;26,90	item103015110413,60;item103015110407,4;item103015110403,2	200000
1431	equip303060541001	3	48	4,75;23,203;26,140	item103015110413,90;item103015110407,8;item103015110403,3;item103015110412,1	300000
1432	equip303060541001	4	48	4,102;23,276;26,191	item103015110413,120;item103015110407,12;item103015110403,6;item103015110412,1	400000
1433	equip303060541001	5	55	4,132;23,357;26,247	item103015110413,150;item103015110407,16;item103015110403,8;item103015110412,1	500000
1434	equip303060541001	6	60	4,162;23,439;26,304	item103015110413,300;item103015110407,24;item103015110403,10;item103015110412,1	1000000
1435	equip303060541001	7	65	4,195;23,528;26,365	item103015110413,500;item103015110407,32;item103015110403,12;item103015110412,2	2000000
1436	equip303060541001	8	70	4,228;23,617;26,427	item103015110413,700;item103015110407,40;item103015110403,14;item103015110412,3	3000000
1437	equip303060541001	9	75	4,264;23,715;26,495	item103015110413,900;item103015110407,48;item103015110403,16;item103015110412,4	4000000
1438	equip303060541001	10	80	4,300;23,813;26,563	item103015110413,1200;item103015110407,64;item103015110403,20;item103015110412,5	5000000
1439	equip303060541001	11	85	4,339;23,918;26,636	item103015110413,1500;item103015110407,80;item103015110403,25;item103015110412,6	6000000
1440	equip303060541001	12	90	4,381;23,1032;26,715	item103015110413,1800;item103015110407,96;item103015110403,30;item103015110412,8	7000000
1441	equip303060541001	13	90	4,426;23,1154;26,799	item103015110413,2100;item103015110407,112;item103015110403,35;item103015110412,10	8000000
1442	equip303060541001	14	90	4,474;23,1284;26,889	item103015110413,2500;item103015110407,128;item103015110403,40;item103015110412,12	9000000
1443	equip303060541002	1	48	4,22;23,72;26,35	item103015110413,30;item103015110407,2;item103015110403,1	100000
1444	equip303060541002	2	48	4,44;23,144;26,71	item103015110413,60;item103015110407,4;item103015110403,2	200000
1445	equip303060541002	3	48	4,70;23,226;26,111	item103015110413,90;item103015110407,8;item103015110403,3;item103015110412,1	300000
1446	equip303060541002	4	48	4,95;23,307;26,151	item103015110413,120;item103015110407,12;item103015110403,6;item103015110412,1	400000
1447	equip303060541002	5	55	4,123;23,397;26,196	item103015110413,150;item103015110407,16;item103015110403,8;item103015110412,1	500000
1448	equip303060541002	6	60	4,151;23,488;26,241	item103015110413,300;item103015110407,24;item103015110403,10;item103015110412,1	1000000
1449	equip303060541002	7	65	4,182;23,587;26,290	item103015110413,500;item103015110407,32;item103015110403,12;item103015110412,2	2000000
1450	equip303060541002	8	70	4,212;23,687;26,339	item103015110413,700;item103015110407,40;item103015110403,14;item103015110412,3	3000000
1451	equip303060541002	9	75	4,246;23,795;26,393	item103015110413,900;item103015110407,48;item103015110403,16;item103015110412,4	4000000
1452	equip303060541002	10	80	4,280;23,904;26,447	item103015110413,1200;item103015110407,64;item103015110403,20;item103015110412,5	5000000
1453	equip303060541002	11	85	4,316;23,1021;26,505	item103015110413,1500;item103015110407,80;item103015110403,25;item103015110412,6	6000000
1454	equip303060541002	12	90	4,355;23,1148;26,567	item103015110413,1800;item103015110407,96;item103015110403,30;item103015110412,8	7000000
1455	equip303060541002	13	90	4,397;23,1283;26,634	item103015110413,2100;item103015110407,112;item103015110403,35;item103015110412,10	8000000
1456	equip303060541002	14	90	4,442;23,1428;26,706	item103015110413,2500;item103015110407,128;item103015110403,40;item103015110412,12	9000000
1457	equip303060541003	1	48	4,22;23,50;26,31	item103015110413,30;item103015110407,2;item103015110403,1	100000
1458	equip303060541003	2	48	4,44;23,101;26,62	item103015110413,60;item103015110407,4;item103015110403,2	200000
1459	equip303060541003	3	48	4,69;23,158;26,97	item103015110413,90;item103015110407,8;item103015110403,3;item103015110412,1	300000
1460	equip303060541003	4	48	4,93;23,215;26,131	item103015110413,120;item103015110407,12;item103015110403,6;item103015110412,1	400000
1461	equip303060541003	5	55	4,121;23,278;26,170	item103015110413,150;item103015110407,16;item103015110403,8;item103015110412,1	500000
1462	equip303060541003	6	60	4,149;23,341;26,209	item103015110413,300;item103015110407,24;item103015110403,10;item103015110412,1	1000000
1463	equip303060541003	7	65	4,179;23,411;26,252	item103015110413,500;item103015110407,32;item103015110403,12;item103015110412,2	2000000
1464	equip303060541003	8	70	4,209;23,481;26,294	item103015110413,700;item103015110407,40;item103015110403,14;item103015110412,3	3000000
1465	equip303060541003	9	75	4,242;23,557;26,341	item103015110413,900;item103015110407,48;item103015110403,16;item103015110412,4	4000000
1466	equip303060541003	10	80	4,276;23,633;26,388	item103015110413,1200;item103015110407,64;item103015110403,20;item103015110412,5	5000000
1467	equip303060541003	11	85	4,311;23,715;26,438	item103015110413,1500;item103015110407,80;item103015110403,25;item103015110412,6	6000000
1468	equip303060541003	12	90	4,350;23,803;26,492	item103015110413,1800;item103015110407,96;item103015110403,30;item103015110412,8	7000000
1469	equip303060541003	13	90	4,391;23,898;26,550	item103015110413,2100;item103015110407,112;item103015110403,35;item103015110412,10	8000000
1470	equip303060541003	14	90	4,436;23,1000;26,613	item103015110413,2500;item103015110407,128;item103015110403,40;item103015110412,12	9000000
1471	equip303060541004	1	48	4,22;23,36;26,40	item103015110413,30;item103015110407,2;item103015110403,1	100000
1472	equip303060541004	2	48	4,44;23,72;26,80	item103015110413,60;item103015110407,4;item103015110403,2	200000
1473	equip303060541004	3	48	4,69;23,112;26,126	item103015110413,90;item103015110407,8;item103015110403,3;item103015110412,1	300000
1474	equip303060541004	4	48	4,94;23,153;26,171	item103015110413,120;item103015110407,12;item103015110403,6;item103015110412,1	400000
1475	equip303060541004	5	55	4,121;23,198;26,222	item103015110413,150;item103015110407,16;item103015110403,8;item103015110412,1	500000
1476	equip303060541004	6	60	4,149;23,243;26,272	item103015110413,300;item103015110407,24;item103015110403,10;item103015110412,1	1000000
1477	equip303060541004	7	65	4,180;23,293;26,328	item103015110413,500;item103015110407,32;item103015110403,12;item103015110412,2	2000000
1478	equip303060541004	8	70	4,210;23,342;26,383	item103015110413,700;item103015110407,40;item103015110403,14;item103015110412,3	3000000
1479	equip303060541004	9	75	4,243;23,396;26,444	item103015110413,900;item103015110407,48;item103015110403,16;item103015110412,4	4000000
1480	equip303060541004	10	80	4,277;23,451;26,505	item103015110413,1200;item103015110407,64;item103015110403,20;item103015110412,5	5000000
1481	equip303060541004	11	85	4,313;23,509;26,570	item103015110413,1500;item103015110407,80;item103015110403,25;item103015110412,6	6000000
1482	equip303060541004	12	90	4,351;23,572;26,641	item103015110413,1800;item103015110407,96;item103015110403,30;item103015110412,8	7000000
1483	equip303060541004	13	90	4,393;23,640;26,717	item103015110413,2100;item103015110407,112;item103015110403,35;item103015110412,10	8000000
1484	equip303060541004	14	90	4,437;23,712;26,797	item103015110413,2500;item103015110407,128;item103015110403,40;item103015110412,12	9000000
1485	equip303060541005	1	48	4,20;23,72;26,26	item103015110413,30;item103015110407,2;item103015110403,1	100000
1486	equip303060541005	2	48	4,41;23,144;26,52	item103015110413,60;item103015110407,4;item103015110403,2	200000
1487	equip303060541005	3	48	4,65;23,226;26,82	item103015110413,90;item103015110407,8;item103015110403,3;item103015110412,1	300000
1488	equip303060541005	4	48	4,88;23,307;26,112	item103015110413,120;item103015110407,12;item103015110403,6;item103015110412,1	400000
1489	equip303060541005	5	55	4,114;23,397;26,145	item103015110413,150;item103015110407,16;item103015110403,8;item103015110412,1	500000
1490	equip303060541005	6	60	4,140;23,488;26,178	item103015110413,300;item103015110407,24;item103015110403,10;item103015110412,1	1000000
1491	equip303060541005	7	65	4,169;23,587;26,214	item103015110413,500;item103015110407,32;item103015110403,12;item103015110412,2	2000000
1492	equip303060541005	8	70	4,197;23,687;26,250	item103015110413,700;item103015110407,40;item103015110403,14;item103015110412,3	3000000
1493	equip303060541005	9	75	4,228;23,795;26,290	item103015110413,900;item103015110407,48;item103015110403,16;item103015110412,4	4000000
1494	equip303060541005	10	80	4,260;23,904;26,330	item103015110413,1200;item103015110407,64;item103015110403,20;item103015110412,5	5000000
1495	equip303060541005	11	85	4,293;23,1021;26,372	item103015110413,1500;item103015110407,80;item103015110403,25;item103015110412,6	6000000
1496	equip303060541005	12	90	4,330;23,1148;26,419	item103015110413,1800;item103015110407,96;item103015110403,30;item103015110412,8	7000000
1497	equip303060541005	13	90	4,369;23,1283;26,468	item103015110413,2100;item103015110407,112;item103015110403,35;item103015110412,10	8000000
1498	equip303060541005	14	90	4,410;23,1428;26,521	item103015110413,2500;item103015110407,128;item103015110403,40;item103015110412,12	9000000
1499	equip303060541006	1	48	4,23;23,57;26,35	item103015110413,30;item103015110407,2;item103015110403,1	100000
1500	equip303060541006	2	48	4,46;23,115;26,71	item103015110413,60;item103015110407,4;item103015110403,2	200000
1501	equip303060541006	3	48	4,73;23,180;26,111	item103015110413,90;item103015110407,8;item103015110403,3;item103015110412,1	300000
1502	equip303060541006	4	48	4,99;23,245;26,151	item103015110413,120;item103015110407,12;item103015110403,6;item103015110412,1	400000
1503	equip303060541006	5	55	4,128;23,318;26,196	item103015110413,150;item103015110407,16;item103015110403,8;item103015110412,1	500000
1504	equip303060541006	6	60	4,157;23,390;26,241	item103015110413,300;item103015110407,24;item103015110403,10;item103015110412,1	1000000
1505	equip303060541006	7	65	4,189;23,469;26,290	item103015110413,500;item103015110407,32;item103015110403,12;item103015110412,2	2000000
1506	equip303060541006	8	70	4,221;23,549;26,339	item103015110413,700;item103015110407,40;item103015110403,14;item103015110412,3	3000000
1507	equip303060541006	9	75	4,256;23,636;26,393	item103015110413,900;item103015110407,48;item103015110403,16;item103015110412,4	4000000
1508	equip303060541006	10	80	4,292;23,723;26,447	item103015110413,1200;item103015110407,64;item103015110403,20;item103015110412,5	5000000
1509	equip303060541006	11	85	4,329;23,816;26,505	item103015110413,1500;item103015110407,80;item103015110403,25;item103015110412,6	6000000
1510	equip303060541006	12	90	4,370;23,918;26,567	item103015110413,1800;item103015110407,96;item103015110403,30;item103015110412,8	7000000
1511	equip303060541006	13	90	4,414;23,1026;26,634	item103015110413,2100;item103015110407,112;item103015110403,35;item103015110412,10	8000000
1512	equip303060541006	14	90	4,461;23,1142;26,706	item103015110413,2500;item103015110407,128;item103015110403,40;item103015110412,12	9000000
1513	equip304040431001	1	48	4,9;24,23;26,19	item103015110413,30;item103015110303,3	50000
1514	equip304040431001	2	48	4,19;24,47;26,39	item103015110413,50;item103015110303,7	100000
1515	equip304040431001	3	48	4,31;24,75;26,63	item103015110413,70;item103015110303,15	150000
1516	equip304040431001	4	48	4,44;24,108;26,90	item103015110413,100;item103015110303,28	200000
1517	equip304040431001	5	55	4,60;24,146;26,122	item103015110413,150;item103015110303,40;item103015110412,1	250000
1518	equip304040431001	6	60	4,77;24,188;26,158	item103015110413,200;item103015110303,40;item103015110412,1	500000
1519	equip304040431001	7	65	4,95;24,231;26,193	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
1520	equip304040431001	8	70	4,114;24,278;26,233	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
1521	equip304040431001	9	75	4,133;24,325;26,272	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
1522	equip304040431001	10	80	4,155;24,377;26,316	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
1523	equip304040431001	11	85	4,178;24,434;26,363	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
1524	equip304040431001	12	90	4,203;24,495;26,414	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
1525	equip304040431001	13	90	4,230;24,561;26,470	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
1526	equip304040431001	14	90	4,259;24,632;26,529	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
1527	equip304040431002	1	48	4,9;24,17;26,15	item103015110413,30;item103015110303,3	50000
1528	equip304040431002	2	48	4,18;24,34;26,31	item103015110413,50;item103015110303,7	100000
1529	equip304040431002	3	48	4,28;24,55;26,50	item103015110413,70;item103015110303,15	150000
1530	equip304040431002	4	48	4,41;24,80;26,71	item103015110413,100;item103015110303,28	200000
1531	equip304040431002	5	55	4,56;24,108;26,97	item103015110413,150;item103015110303,40;item103015110412,1	250000
1532	equip304040431002	6	60	4,72;24,139;26,125	item103015110413,200;item103015110303,40;item103015110412,1	500000
1533	equip304040431002	7	65	4,88;24,171;26,153	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
1534	equip304040431002	8	70	4,106;24,205;26,184	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
1535	equip304040431002	9	75	4,124;24,240;26,215	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
1536	equip304040431002	10	80	4,144;24,279;26,250	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
1537	equip304040431002	11	85	4,166;24,321;26,287	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
1538	equip304040431002	12	90	4,190;24,366;26,328	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
1539	equip304040431002	13	90	4,215;24,415;26,372	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
1540	equip304040431002	14	90	4,242;24,467;26,419	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
1541	equip304040431003	1	48	4,8;24,19;26,13	item103015110413,30;item103015110303,3	50000
1542	equip304040431003	2	48	4,17;24,39;26,27	item103015110413,50;item103015110303,7	100000
1543	equip304040431003	3	48	4,28;24,62;26,43	item103015110413,70;item103015110303,15	150000
1544	equip304040431003	4	48	4,40;24,89;26,62	item103015110413,100;item103015110303,28	200000
1545	equip304040431003	5	55	4,55;24,121;26,84	item103015110413,150;item103015110303,40;item103015110412,1	250000
1546	equip304040431003	6	60	4,71;24,156;26,108	item103015110413,200;item103015110303,40;item103015110412,1	500000
1547	equip304040431003	7	65	4,87;24,191;26,133	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
1548	equip304040431003	8	70	4,105;24,230;26,160	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
1549	equip304040431003	9	75	4,122;24,269;26,187	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
1550	equip304040431003	10	80	4,142;24,312;26,217	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
1551	equip304040431003	11	85	4,163;24,359;26,250	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
1552	equip304040431003	12	90	4,186;24,410;26,285	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
1553	equip304040431003	13	90	4,211;24,465;26,323	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
1554	equip304040431003	14	90	4,238;24,523;26,364	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
1555	equip304040431004	1	48	4,8;24,21;26,17	item103015110413,30;item103015110303,3	50000
1556	equip304040431004	2	48	4,17;24,43;26,35	item103015110413,50;item103015110303,7	100000
1557	equip304040431004	3	48	4,28;24,68;26,56	item103015110413,70;item103015110303,15	150000
1558	equip304040431004	4	48	4,40;24,99;26,81	item103015110413,100;item103015110303,28	200000
1559	equip304040431004	5	55	4,55;24,133;26,109	item103015110413,150;item103015110303,40;item103015110412,1	250000
1560	equip304040431004	6	60	4,71;24,172;26,141	item103015110413,200;item103015110303,40;item103015110412,1	500000
1561	equip304040431004	7	65	4,87;24,211;26,173	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
1562	equip304040431004	8	70	4,105;24,254;26,208	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
1563	equip304040431004	9	75	4,122;24,297;26,244	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
1564	equip304040431004	10	80	4,142;24,344;26,283	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
