流水ID	武器技能石ID	对应的职业	可转换的技能石ID
870	item103010136306	5	item103010137306
871	item103010136306	6	item103010138306
872	item103010136307	1	item103010135307
873	item103010136307	2	item103010134307
874	item103010136307	3	item103010133307
875	item103010136307	4	item103010136307
876	item103010136307	5	item103010137307
877	item103010136307	6	item103010138307
878	item103010136308	1	item103010135308
879	item103010136308	2	item103010134308
880	item103010136308	3	item103010133308
881	item103010136308	4	item103010136308
882	item103010136308	5	item103010137308
883	item103010136308	6	item103010138308
884	item103010137001	1	item103010135001
885	item103010137001	2	item103010134001
886	item103010137001	3	item103010133001
887	item103010137001	4	item103010136001
888	item103010137001	5	item103010137001
889	item103010137001	6	item103010138001
890	item103010137002	1	item103010135002
891	item103010137002	2	item103010134002
892	item103010137002	3	item103010133002
893	item103010137002	4	item103010136002
894	item103010137002	5	item103010137002
895	item103010137002	6	item103010138002
896	item103010137003	1	item103010135003
897	item103010137003	2	item103010134003
898	item103010137003	3	item103010133003
899	item103010137003	4	item103010136003
900	item103010137003	5	item103010137003
901	item103010137003	6	item103010138003
902	item103010137004	1	item103010135004
903	item103010137004	2	item103010134004
904	item103010137004	3	item103010133004
905	item103010137004	4	item103010136004
906	item103010137004	5	item103010137004
907	item103010137004	6	item103010138004
908	item103010137101	1	item103010135101
909	item103010137101	1	item103010135111
910	item103010137101	2	item103010134101
911	item103010137101	2	item103010134111
912	item103010137101	3	item103010133101
913	item103010137101	3	item103010133111
914	item103010137101	4	item103010136101
915	item103010137101	4	item103010136111
916	item103010137101	5	item103010137101
917	item103010137101	5	item103010137111
918	item103010137101	6	item103010138101
919	item103010137101	6	item103010138111
920	item103010137102	1	item103010135102
921	item103010137102	1	item103010135112
922	item103010137102	2	item103010134102
923	item103010137102	2	item103010134112
924	item103010137102	3	item103010133102
925	item103010137102	3	item103010133112
926	item103010137102	4	item103010136102
927	item103010137102	4	item103010136112
928	item103010137102	5	item103010137102
929	item103010137102	5	item103010137112
930	item103010137102	6	item103010138102
931	item103010137102	6	item103010138112
932	item103010137103	1	item103010135103
933	item103010137103	1	item103010135113
934	item103010137103	2	item103010134103
935	item103010137103	2	item103010134113
936	item103010137103	3	item103010133103
937	item103010137103	3	item103010133113
938	item103010137103	4	item103010136103
939	item103010137103	4	item103010136113
940	item103010137103	5	item103010137103
941	item103010137103	5	item103010137113
942	item103010137103	6	item103010138103
943	item103010137103	6	item103010138113
944	item103010137104	1	item103010135104
945	item103010137104	1	item103010135114
946	item103010137104	2	item103010134104
947	item103010137104	2	item103010134114
948	item103010137104	3	item103010133104
949	item103010137104	3	item103010133114
950	item103010137104	4	item103010136104
951	item103010137104	4	item103010136114
952	item103010137104	5	item103010137104
953	item103010137104	5	item103010137114
954	item103010137104	6	item103010138104
955	item103010137104	6	item103010138114
956	item103010137111	1	item103010135111
957	item103010137111	1	item103010135101
958	item103010137111	2	item103010134111
959	item103010137111	2	item103010134101
960	item103010137111	3	item103010133111
961	item103010137111	3	item103010133101
962	item103010137111	4	item103010136111
963	item103010137111	4	item103010136101
964	item103010137111	5	item103010137111
965	item103010137111	5	item103010137101
966	item103010137111	6	item103010138111
967	item103010137111	6	item103010138101
968	item103010137112	1	item103010135112
969	item103010137112	1	item103010135102
970	item103010137112	2	item103010134112
971	item103010137112	2	item103010134102
972	item103010137112	3	item103010133112
973	item103010137112	3	item103010133102
974	item103010137112	4	item103010136112
975	item103010137112	4	item103010136102
976	item103010137112	5	item103010137112
977	item103010137112	5	item103010137102
978	item103010137112	6	item103010138112
979	item103010137112	6	item103010138102
980	item103010137113	1	item103010135113
981	item103010137113	1	item103010135103
982	item103010137113	2	item103010134113
983	item103010137113	2	item103010134103
984	item103010137113	3	item103010133113
985	item103010137113	3	item103010133103
986	item103010137113	4	item103010136113
987	item103010137113	4	item103010136103
988	item103010137113	5	item103010137113
989	item103010137113	5	item103010137103
990	item103010137113	6	item103010138113
991	item103010137113	6	item103010138103
992	item103010137114	1	item103010135114
993	item103010137114	1	item103010135104
994	item103010137114	2	item103010134114
995	item103010137114	2	item103010134104
996	item103010137114	3	item103010133114
997	item103010137114	3	item103010133104
998	item103010137114	4	item103010136114
999	item103010137114	4	item103010136104
1000	item103010137114	5	item103010137114
1001	item103010137114	5	item103010137104
1002	item103010137114	6	item103010138114
1003	item103010137114	6	item103010138104
1004	item103010137201	1	item103010135201
1005	item103010137201	2	item103010134201
1006	item103010137201	3	item103010133201
1007	item103010137201	4	item103010136201
1008	item103010137201	5	item103010137201
1009	item103010137201	6	item103010138201
1010	item103010137202	1	item103010135202
1011	item103010137202	2	item103010134202
1012	item103010137202	3	item103010133202
1013	item103010137202	4	item103010136202
1014	item103010137202	5	item103010137202
1015	item103010137202	6	item103010138202
1016	item103010137203	1	item103010135203
1017	item103010137203	2	item103010134203
1018	item103010137203	3	item103010133203
1019	item103010137203	4	item103010136203
1020	item103010137203	5	item103010137203
1021	item103010137203	6	item103010138203
1022	item103010137204	1	item103010135204
1023	item103010137204	2	item103010134204
1024	item103010137204	3	item103010133204
1025	item103010137204	4	item103010136204
1026	item103010137204	5	item103010137204
1027	item103010137204	6	item103010138204
1028	item103010137301	1	item103010135301
1029	item103010137301	2	item103010134301
1030	item103010137301	3	item103010133301
1031	item103010137301	4	item103010136301
1032	item103010137301	5	item103010137301
1033	item103010137301	6	item103010138301
1034	item103010137302	1	item103010135302
1035	item103010137302	2	item103010134302
1036	item103010137302	3	item103010133302
1037	item103010137302	4	item103010136302
1038	item103010137302	5	item103010137302
1039	item103010137302	6	item103010138302
1040	item103010137303	1	item103010135303
1041	item103010137303	2	item103010134303
1042	item103010137303	3	item103010133303
1043	item103010137303	4	item103010136303
1044	item103010137303	5	item103010137303
1045	item103010137303	6	item103010138303
1046	item103010137304	1	item103010135304
1047	item103010137304	2	item103010134304
1048	item103010137304	3	item103010133304
1049	item103010137304	4	item103010136304
1050	item103010137304	5	item103010137304
1051	item103010137304	6	item103010138304
1052	item103010137305	1	item103010135305
1053	item103010137305	2	item103010134305
1054	item103010137305	3	item103010133305
1055	item103010137305	4	item103010136305
1056	item103010137305	5	item103010137305
1057	item103010137305	6	item103010138305
1058	item103010137306	1	item103010135306
1059	item103010137306	2	item103010134306
1060	item103010137306	3	item103010133306
1061	item103010137306	4	item103010136306
1062	item103010137306	5	item103010137306
1063	item103010137306	6	item103010138306
1064	item103010137307	1	item103010135307
1065	item103010137307	2	item103010134307
1066	item103010137307	3	item103010133307
1067	item103010137307	4	item103010136307
1068	item103010137307	5	item103010137307
1069	item103010137307	6	item103010138307
1070	item103010137308	1	item103010135308
1071	item103010137308	2	item103010134308
1072	item103010137308	3	item103010133308
1073	item103010137308	4	item103010136308
1074	item103010137308	5	item103010137308
1075	item103010137308	6	item103010138308
1076	item103010138001	1	item103010135001
1077	item103010138001	2	item103010134001
1078	item103010138001	3	item103010133001
1079	item103010138001	4	item103010136001
1080	item103010138001	5	item103010137001
1081	item103010138001	6	item103010138001
1082	item103010138002	1	item103010135002
1083	item103010138002	2	item103010134002
1084	item103010138002	3	item103010133002
1085	item103010138002	4	item103010136002
1086	item103010138002	5	item103010137002
1087	item103010138002	6	item103010138002
1088	item103010138003	1	item103010135003
1089	item103010138003	2	item103010134003
1090	item103010138003	3	item103010133003
1091	item103010138003	4	item103010136003
1092	item103010138003	5	item103010137003
1093	item103010138003	6	item103010138003
1094	item103010138004	1	item103010135004
1095	item103010138004	2	item103010134004
1096	item103010138004	3	item103010133004
1097	item103010138004	4	item103010136004
1098	item103010138004	5	item103010137004
1099	item103010138004	6	item103010138004
1100	item103010138101	1	item103010135101
1101	item103010138101	1	item103010135111
1102	item103010138101	2	item103010134101
1103	item103010138101	2	item103010134111
1104	item103010138101	3	item103010133101
1105	item103010138101	3	item103010133111
1106	item103010138101	4	item103010136101
1107	item103010138101	4	item103010136111
1108	item103010138101	5	item103010137101
1109	item103010138101	5	item103010137111
1110	item103010138101	6	item103010138101
1111	item103010138101	6	item103010138111
1112	item103010138102	1	item103010135102
1113	item103010138102	1	item103010135112
1114	item103010138102	2	item103010134102
1115	item103010138102	2	item103010134112
1116	item103010138102	3	item103010133102
1117	item103010138102	3	item103010133112
1118	item103010138102	4	item103010136102
1119	item103010138102	4	item103010136112
1120	item103010138102	5	item103010137102
1121	item103010138102	5	item103010137112
1122	item103010138102	6	item103010138102
1123	item103010138102	6	item103010138112
1124	item103010138103	1	item103010135103
1125	item103010138103	1	item103010135113
1126	item103010138103	2	item103010134103
1127	item103010138103	2	item103010134113
1128	item103010138103	3	item103010133103
1129	item103010138103	3	item103010133113
1130	item103010138103	4	item103010136103
1131	item103010138103	4	item103010136113
1132	item103010138103	5	item103010137103
1133	item103010138103	5	item103010137113
1134	item103010138103	6	item103010138103
1135	item103010138103	6	item103010138113
1136	item103010138104	1	item103010135104
1137	item103010138104	1	item103010135114
1138	item103010138104	2	item103010134104
1139	item103010138104	2	item103010134114
1140	item103010138104	3	item103010133104
1141	item103010138104	3	item103010133114
1142	item103010138104	4	item103010136104
1143	item103010138104	4	item103010136114
1144	item103010138104	5	item103010137104
1145	item103010138104	5	item103010137114
1146	item103010138104	6	item103010138104
1147	item103010138104	6	item103010138114
1148	item103010138111	1	item103010135111
1149	item103010138111	1	item103010135101
1150	item103010138111	2	item103010134111
1151	item103010138111	2	item103010134101
1152	item103010138111	3	item103010133111
1153	item103010138111	3	item103010133101
1154	item103010138111	4	item103010136111
1155	item103010138111	4	item103010136101
1156	item103010138111	5	item103010137111
1157	item103010138111	5	item103010137101
1158	item103010138111	6	item103010138111
1159	item103010138111	6	item103010138101
1160	item103010138112	1	item103010135112
1161	item103010138112	1	item103010135102
1162	item103010138112	2	item103010134112
1163	item103010138112	2	item103010134102
1164	item103010138112	3	item103010133112
1165	item103010138112	3	item103010133102
1166	item103010138112	4	item103010136112
1167	item103010138112	4	item103010136102
1168	item103010138112	5	item103010137112
1169	item103010138112	5	item103010137102
1170	item103010138112	6	item103010138112
1171	item103010138112	6	item103010138102
1172	item103010138113	1	item103010135113
1173	item103010138113	1	item103010135103
1174	item103010138113	2	item103010134113
1175	item103010138113	2	item103010134103
1176	item103010138113	3	item103010133113
1177	item103010138113	3	item103010133103
1178	item103010138113	4	item103010136113
1179	item103010138113	4	item103010136103
1180	item103010138113	5	item103010137113
1181	item103010138113	5	item103010137103
1182	item103010138113	6	item103010138113
1183	item103010138113	6	item103010138103
1184	item103010138114	1	item103010135114
1185	item103010138114	1	item103010135104
1186	item103010138114	2	item103010134114
1187	item103010138114	2	item103010134104
1188	item103010138114	3	item103010133114
1189	item103010138114	3	item103010133104
1190	item103010138114	4	item103010136114
1191	item103010138114	4	item103010136104
1192	item103010138114	5	item103010137114
1193	item103010138114	5	item103010137104
1194	item103010138114	6	item103010138114
1195	item103010138114	6	item103010138104
1196	item103010138201	1	item103010135201
1197	item103010138201	2	item103010134201
1198	item103010138201	3	item103010133201
1199	item103010138201	4	item103010136201
1200	item103010138201	5	item103010137201
1201	item103010138201	6	item103010138201
1202	item103010138202	1	item103010135202
1203	item103010138202	2	item103010134202
1204	item103010138202	3	item103010133202
1205	item103010138202	4	item103010136202
1206	item103010138202	5	item103010137202
1207	item103010138202	6	item103010138202
1208	item103010138203	1	item103010135203
1209	item103010138203	2	item103010134203
1210	item103010138203	3	item103010133203
1211	item103010138203	4	item103010136203
1212	item103010138203	5	item103010137203
1213	item103010138203	6	item103010138203
1214	item103010138204	1	item103010135204
1215	item103010138204	2	item103010134204
1216	item103010138204	3	item103010133204
1217	item103010138204	4	item103010136204
1218	item103010138204	5	item103010137204
1219	item103010138204	6	item103010138204
1220	item103010138301	1	item103010135301
1221	item103010138301	2	item103010134301
1222	item103010138301	3	item103010133301
1223	item103010138301	4	item103010136301
1224	item103010138301	5	item103010137301
1225	item103010138301	6	item103010138301
1226	item103010138302	1	item103010135302
1227	item103010138302	2	item103010134302
1228	item103010138302	3	item103010133302
1229	item103010138302	4	item103010136302
1230	item103010138302	5	item103010137302
1231	item103010138302	6	item103010138302
1232	item103010138303	1	item103010135303
1233	item103010138303	2	item103010134303
1234	item103010138303	3	item103010133303
1235	item103010138303	4	item103010136303
1236	item103010138303	5	item103010137303
1237	item103010138303	6	item103010138303
1238	item103010138304	1	item103010135304
1239	item103010138304	2	item103010134304
1240	item103010138304	3	item103010133304
1241	item103010138304	4	item103010136304
1242	item103010138304	5	item103010137304
1243	item103010138304	6	item103010138304
1244	item103010138305	1	item103010135305
1245	item103010138305	2	item103010134305
1246	item103010138305	3	item103010133305
1247	item103010138305	4	item103010136305
1248	item103010138305	5	item103010137305
1249	item103010138305	6	item103010138305
1250	item103010138306	1	item103010135306
1251	item103010138306	2	item103010134306
1252	item103010138306	3	item103010133306
1253	item103010138306	4	item103010136306
1254	item103010138306	5	item103010137306
1255	item103010138306	6	item103010138306
1256	item103010138307	1	item103010135307
1257	item103010138307	2	item103010134307
1258	item103010138307	3	item103010133307
1259	item103010138307	4	item103010136307
1260	item103010138307	5	item103010137307
1261	item103010138307	6	item103010138307
1262	item103010138308	1	item103010135308
1263	item103010138308	2	item103010134308
1264	item103010138308	3	item103010133308
1265	item103010138308	4	item103010136308
1266	item103010138308	5	item103010137308
1267	item103010138308	6	item103010138308
1268	item103010139301	0	item103010139301
1269	item103010139302	0	item103010139302
1270	item103010139303	0	item103010139303
1271	item103010139304	0	item103010139304
1272	item103010139305	0	item103010139305
1273	item103010139306	0	item103010139306
1274	item103010139307	0	item103010139307
1275	item103010139308	0	item103010139308
1276	item103010139401	0	item103010139401
1277	item103010139402	0	item103010139402
1278	item103010139403	0	item103010139403
1279	item103010139404	0	item103010139404
1280	item103010139501	0	item103010139501
1281	item103010139502	0	item103010139502
1282	item103010139503	0	item103010139503
1283	item103010139504	0	item103010139504
1284	item103010139505	0	item103010139505
1285	item103010139506	0	item103010139506
1286	item103010139507	0	item103010139507
1287	item103010139508	0	item103010139508
1288	item103010139601	0	item103010139601
1289	item103010139602	0	item103010139602
1290	item103010139603	0	item103010139603
1291	item103010139604	0	item103010139604
1292	item103010139605	0	item103010139605
1293	item103010139606	0	item103010139606
1294	item103010139607	0	item103010139607
1295	item103010139608	0	item103010139608
1296	item103010139701	0	item103010139701
1297	item103010139702	0	item103010139702
1298	item103010139703	0	item103010139703
1299	item103010139704	0	item103010139704
1300	item103010139705	0	item103010139705
1301	item103010139706	0	item103010139706
1302	item103010139707	0	item103010139707
1303	item103010139708	0	item103010139708
