时装id	高模绑点参数	高模时装特效	低模绑点参数	低模时装特效	高模待机动作	高模展示动作	待机动作	移动动作	展示动作	展示间隔时间
fashion_1032118	19;115;116	41000829;41000830;41000831	19;115;116	41000833;41000834;41000835	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1033118					idle01	show01	idle01	idle01	show01	10000.000000
fashion_1041118	1	41000836	1	41000840	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1042118	19;115;116	41000837;41000838;41000839	19;115;116	41000841;41000842;41000843	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1043118					idle01	show01	idle01	idle01	show01	10000.000000
fashion_1051118	34;97	41000844;41000845	34;97	41000849;41000850	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1052118	19;115;116	41000846;41000847;41000848	19;115;116	41000851;41000852;41000853	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1053118					idle01	show01	idle01	idle01	show01	10000.000000
fashion_1061118	90;75	41000854;41000855	59;47	41000859;41000860	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1062118	19;115;116	41000856;41000857;41000858	19;115;116	41000861;41000862;41000863	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1063118					idle01	show01	idle01	idle01	show01	10000.000000
fashion_1071118	1	41000864	43	41000868	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1072118	19;115;116	41000865;41000866;41000867	19;115;116	41000869;41000870;41000871	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1073118					idle01	show01	idle01	idle01	show01	10000.000000
fashion_1081118	1	41000872	1	41000876	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1082118	19;115;116	41000873;41000874;41000875	19;115;116	41000877;41000878;41000879	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1083118					idle01	show01	idle01	idle01	show01	10000.000000
fashion_301317	25	41000880	25	41000882	idle01	show01	idle01	idle01	show01	10000.000000
fashion_302317	25	41000881	25	41000883	idle01	show01	idle01	idle01	show01	10000.000000
fashion_303317	25	41000886	25	41000892	idle01	show01	idle01	idle01	show01	10000.000000
fashion_304317	25	41000887	25	41000893	idle01	show01	idle01	idle01	show01	10000.000000
fashion_305317	25	41000888	25	41000894	idle01	show01	idle01	idle01	show01	10000.000000
fashion_306317	25	41000889	25	41000895	idle01	show01	idle01	idle01	show01	10000.000000
fashion_307317	25	41000890	25	41000896	idle01	show01	idle01	idle01	show01	10000.000000
fashion_308317	25	41000891	25	41000897	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004139	10	41000884	10	41000884	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004140	10	41000885	10	41000885	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004141	10;16;12;20	41000899;41000900;41000901;41000902	10;16;12;20	41000899;41000900;41000901;41000902	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004142	1	41000903	1	41000903	idle01	show01	idle01	idle01	show01	10000.000000
fashion_701209	119	1830203	188	1830204	idle01	show01	idle01	idle01	show01	10000.000000
fashion_701309					idle01	show01	idle01	idle01	show01	10000.000000
fashion_702209	225	1830205	126	1830206	idle01	show01	idle01	idle01	show01	10000.000000
fashion_702309					idle01	show01	idle01	idle01	show01	10000.000000
fashion_703209	226	1830207	227	1830208	idle01	show01	idle01	idle01	show01	10000.000000
fashion_703309					idle01	show01	idle01	idle01	show01	10000.000000
fashion_704209	228	1830209	81	1830210	idle01	show01	idle01	idle01	show01	10000.000000
fashion_704309					idle01	show01	idle01	idle01	show01	10000.000000
fashion_705209	16	1830211	223	1830212	idle01	show01	idle01	idle01	show01	10000.000000
fashion_705309					idle01	show01	idle01	idle01	show01	10000.000000
fashion_706209	82	1830213	178	1830214	idle01	show01	idle01	idle01	show01	10000.000000
fashion_706309					idle01	show01	idle01	idle01	show01	10000.000000
fashion_707209	229	1830215	227	1830216	idle01	show01	idle01	idle01	show01	10000.000000
fashion_707309					idle01	show01	idle01	idle01	show01	10000.000000
fashion_708209	126	1830217	81	1830218	idle01	show01	idle01	idle01	show01	10000.000000
fashion_708309					idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004145	1;224;177	41000904;41000905;41000906	1;224;177	41000904;41000905;41000906	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004146					idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004147					idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004148					idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004143	49;230;1	41000912;41000913;41000914	49;230;1	41000912;41000913;41000914	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004144	1	41000911	1	41000911	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004149	20;48;1	41000916;41000917;41000918	20;48;1	41000916;41000917;41000918	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004150	10;4;46;12;126	41000920;41000921;41000922;41000923;41000924	10;4;46;12;126	41000920;41000921;41000922;41000923;41000924	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004151	1	41000919	1	41000919	idle01	show01	idle01	idle01	show01	10000.000000
fashion_1004152	19	41000925	19	41000925	idle01	show01	idle01	idle01	show01	10000.000000
