流水ID	遗物ID	等级	星级	升级类型	特殊属性库id(前端用)	消耗道具	消耗碎片	消耗任意品质碎片	模型NPCID	模型特效
767	3017	11	2	2	3017011	item171002000001,4			npc_relic_314	5900314
768	3017	12	2	2	3017012	item171002000001,4			npc_relic_314	5900314
769	3017	13	2	2	3017013	item171002000001,4			npc_relic_314	5900314
770	3017	14	2	2	3017014	item171002000001,4			npc_relic_314	5900314
771	3017	15	3	3	3017015	item171002000001,20			npc_relic_314	5900314
772	3017	16	3	2	3017016	item171002000001,6			npc_relic_314	5900314
773	3017	17	3	2	3017017	item171002000001,6			npc_relic_314	5900314
774	3017	18	3	2	3017018	item171002000001,6			npc_relic_314	5900314
775	3017	19	3	2	3017019	item171002000001,6			npc_relic_314	5900314
776	3017	20	3	2	3017020	item171002000001,6			npc_relic_314	5900314
777	3017	21	3	2	3017021	item171002000001,6			npc_relic_314	5900314
778	3017	22	4	3	3017022	item171002000002,3	9003017,10	2,50	npc_relic_314	5900314
779	3017	23	4	2	3017023	item171002000002,1			npc_relic_314	5900314
780	3017	24	4	2	3017024	item171002000002,1			npc_relic_314	5900314
781	3017	25	4	2	3017025	item171002000002,1			npc_relic_314	5900314
782	3017	26	4	2	3017026	item171002000002,1			npc_relic_314	5900314
783	3017	27	4	2	3017027	item171002000002,1			npc_relic_314	5900314
784	3017	28	4	2	3017028	item171002000002,1			npc_relic_314	5900314
785	3017	29	5	3	3017029	item171002000002,5	9003017,20	2,50	npc_relic_314	5900314
786	3017	30	5	4	3017030		9003017,50	2,100	npc_relic_314	5900314
787	4001	1	1	1	4001001		9004001,30		npc_relic_401	5900401
788	4001	2	1	2	4001002	item171002000001,3			npc_relic_401	5900401
789	4001	3	1	2	4001003	item171002000001,3			npc_relic_401	5900401
790	4001	4	1	2	4001004	item171002000001,3			npc_relic_401	5900401
791	4001	5	1	2	4001005	item171002000001,3			npc_relic_401	5900401
792	4001	6	1	2	4001006	item171002000001,3			npc_relic_401	5900401
793	4001	7	1	2	4001007	item171002000001,3			npc_relic_401	5900401
794	4001	8	2	3	4001008	item171002000001,20			npc_relic_401	5900401
795	4001	9	2	2	4001009	item171002000001,6			npc_relic_401	5900401
796	4001	10	2	2	4001010	item171002000001,6			npc_relic_401	5900401
797	4001	11	2	2	4001011	item171002000001,6			npc_relic_401	5900401
798	4001	12	2	2	4001012	item171002000001,6			npc_relic_401	5900401
799	4001	13	2	2	4001013	item171002000001,6			npc_relic_401	5900401
800	4001	14	2	2	4001014	item171002000001,6			npc_relic_401	5900401
801	4001	15	3	3	4001015	item171002000001,30			npc_relic_401	5900401
802	4001	16	3	2	4001016	item171002000001,9			npc_relic_401	5900401
803	4001	17	3	2	4001017	item171002000001,9			npc_relic_401	5900401
804	4001	18	3	2	4001018	item171002000001,9			npc_relic_401	5900401
805	4001	19	3	2	4001019	item171002000001,9			npc_relic_401	5900401
806	4001	20	3	2	4001020	item171002000001,9			npc_relic_401	5900401
807	4001	21	3	2	4001021	item171002000001,9			npc_relic_401	5900401
808	4001	22	4	3	4001022	item171002000002,5	9004001,10	2,100;3,100	npc_relic_401	5900401
809	4001	23	4	2	4001023	item171002000002,2			npc_relic_401	5900401
810	4001	24	4	2	4001024	item171002000002,2			npc_relic_401	5900401
811	4001	25	4	2	4001025	item171002000002,2			npc_relic_401	5900401
812	4001	26	4	2	4001026	item171002000002,2			npc_relic_401	5900401
813	4001	27	4	2	4001027	item171002000002,2			npc_relic_401	5900401
814	4001	28	4	2	4001028	item171002000002,2			npc_relic_401	5900401
815	4001	29	5	3	4001029	item171002000002,10	9004001,20	2,200;3,200	npc_relic_401	5900401
816	4001	30	5	2	4001030	item171002000003,1			npc_relic_401	5900401
817	4001	31	5	2	4001031	item171002000003,1			npc_relic_401	5900401
818	4001	32	5	2	4001032	item171002000003,1			npc_relic_401	5900401
819	4001	33	5	2	4001033	item171002000003,1			npc_relic_401	5900401
820	4001	34	5	2	4001034	item171002000003,1			npc_relic_401	5900401
821	4001	35	5	2	4001035	item171002000003,1			npc_relic_401	5900401
822	4001	36	6	3	4001036	item171002000003,2	9004001,30	2,300;3,300	npc_relic_401	5900401
823	4001	37	6	4	4001037		9004001,50	2,400;3,400	npc_relic_401	5900401
824	4002	1	1	1	4002001		9004002,30		npc_relic_402	5900402
825	4002	2	1	2	4002002	item171002000001,3			npc_relic_402	5900402
826	4002	3	1	2	4002003	item171002000001,3			npc_relic_402	5900402
827	4002	4	1	2	4002004	item171002000001,3			npc_relic_402	5900402
828	4002	5	1	2	4002005	item171002000001,3			npc_relic_402	5900402
829	4002	6	1	2	4002006	item171002000001,3			npc_relic_402	5900402
830	4002	7	1	2	4002007	item171002000001,3			npc_relic_402	5900402
831	4002	8	2	3	4002008	item171002000001,20			npc_relic_402	5900402
832	4002	9	2	2	4002009	item171002000001,6			npc_relic_402	5900402
833	4002	10	2	2	4002010	item171002000001,6			npc_relic_402	5900402
834	4002	11	2	2	4002011	item171002000001,6			npc_relic_402	5900402
835	4002	12	2	2	4002012	item171002000001,6			npc_relic_402	5900402
836	4002	13	2	2	4002013	item171002000001,6			npc_relic_402	5900402
837	4002	14	2	2	4002014	item171002000001,6			npc_relic_402	5900402
838	4002	15	3	3	4002015	item171002000001,30			npc_relic_402	5900402
839	4002	16	3	2	4002016	item171002000001,9			npc_relic_402	5900402
840	4002	17	3	2	4002017	item171002000001,9			npc_relic_402	5900402
841	4002	18	3	2	4002018	item171002000001,9			npc_relic_402	5900402
842	4002	19	3	2	4002019	item171002000001,9			npc_relic_402	5900402
843	4002	20	3	2	4002020	item171002000001,9			npc_relic_402	5900402
844	4002	21	3	2	4002021	item171002000001,9			npc_relic_402	5900402
845	4002	22	4	3	4002022	item171002000002,5	9004002,10	2,100;3,100	npc_relic_402	5900402
846	4002	23	4	2	4002023	item171002000002,2			npc_relic_402	5900402
847	4002	24	4	2	4002024	item171002000002,2			npc_relic_402	5900402
848	4002	25	4	2	4002025	item171002000002,2			npc_relic_402	5900402
849	4002	26	4	2	4002026	item171002000002,2			npc_relic_402	5900402
850	4002	27	4	2	4002027	item171002000002,2			npc_relic_402	5900402
851	4002	28	4	2	4002028	item171002000002,2			npc_relic_402	5900402
852	4002	29	5	3	4002029	item171002000002,10	9004002,20	2,200;3,200	npc_relic_402	5900402
853	4002	30	5	2	4002030	item171002000003,1			npc_relic_402	5900402
854	4002	31	5	2	4002031	item171002000003,1			npc_relic_402	5900402
855	4002	32	5	2	4002032	item171002000003,1			npc_relic_402	5900402
856	4002	33	5	2	4002033	item171002000003,1			npc_relic_402	5900402
857	4002	34	5	2	4002034	item171002000003,1			npc_relic_402	5900402
858	4002	35	5	2	4002035	item171002000003,1			npc_relic_402	5900402
859	4002	36	6	3	4002036	item171002000003,2	9004002,30	2,300;3,300	npc_relic_402	5900402
860	4002	37	6	4	4002037		9004002,50	2,400;3,400	npc_relic_402	5900402
861	4003	1	1	1	4003001		9004003,30		npc_relic_403	5900403
862	4003	2	1	2	4003002	item171002000001,3			npc_relic_403	5900403
863	4003	3	1	2	4003003	item171002000001,3			npc_relic_403	5900403
864	4003	4	1	2	4003004	item171002000001,3			npc_relic_403	5900403
865	4003	5	1	2	4003005	item171002000001,3			npc_relic_403	5900403
866	4003	6	1	2	4003006	item171002000001,3			npc_relic_403	5900403
867	4003	7	1	2	4003007	item171002000001,3			npc_relic_403	5900403
868	4003	8	2	3	4003008	item171002000001,20			npc_relic_403	5900403
869	4003	9	2	2	4003009	item171002000001,6			npc_relic_403	5900403
870	4003	10	2	2	4003010	item171002000001,6			npc_relic_403	5900403
871	4003	11	2	2	4003011	item171002000001,6			npc_relic_403	5900403
872	4003	12	2	2	4003012	item171002000001,6			npc_relic_403	5900403
873	4003	13	2	2	4003013	item171002000001,6			npc_relic_403	5900403
874	4003	14	2	2	4003014	item171002000001,6			npc_relic_403	5900403
875	4003	15	3	3	4003015	item171002000001,30			npc_relic_403	5900403
876	4003	16	3	2	4003016	item171002000001,9			npc_relic_403	5900403
877	4003	17	3	2	4003017	item171002000001,9			npc_relic_403	5900403
878	4003	18	3	2	4003018	item171002000001,9			npc_relic_403	5900403
879	4003	19	3	2	4003019	item171002000001,9			npc_relic_403	5900403
880	4003	20	3	2	4003020	item171002000001,9			npc_relic_403	5900403
881	4003	21	3	2	4003021	item171002000001,9			npc_relic_403	5900403
882	4003	22	4	3	4003022	item171002000002,5	9004003,10	2,100;3,100	npc_relic_403	5900403
883	4003	23	4	2	4003023	item171002000002,2			npc_relic_403	5900403
884	4003	24	4	2	4003024	item171002000002,2			npc_relic_403	5900403
885	4003	25	4	2	4003025	item171002000002,2			npc_relic_403	5900403
886	4003	26	4	2	4003026	item171002000002,2			npc_relic_403	5900403
887	4003	27	4	2	4003027	item171002000002,2			npc_relic_403	5900403
888	4003	28	4	2	4003028	item171002000002,2			npc_relic_403	5900403
889	4003	29	5	3	4003029	item171002000002,10	9004003,20	2,200;3,200	npc_relic_403	5900403
890	4003	30	5	2	4003030	item171002000003,1			npc_relic_403	5900403
891	4003	31	5	2	4003031	item171002000003,1			npc_relic_403	5900403
892	4003	32	5	2	4003032	item171002000003,1			npc_relic_403	5900403
893	4003	33	5	2	4003033	item171002000003,1			npc_relic_403	5900403
894	4003	34	5	2	4003034	item171002000003,1			npc_relic_403	5900403
895	4003	35	5	2	4003035	item171002000003,1			npc_relic_403	5900403
896	4003	36	6	3	4003036	item171002000003,2	9004003,30	2,300;3,300	npc_relic_403	5900403
897	4003	37	6	4	4003037		9004003,50	2,400;3,400	npc_relic_403	5900403
898	4004	1	1	1	4004001		9004004,30		npc_relic_404	5900404
899	4004	2	1	2	4004002	item171002000001,3			npc_relic_404	5900404
900	4004	3	1	2	4004003	item171002000001,3			npc_relic_404	5900404
901	4004	4	1	2	4004004	item171002000001,3			npc_relic_404	5900404
902	4004	5	1	2	4004005	item171002000001,3			npc_relic_404	5900404
903	4004	6	1	2	4004006	item171002000001,3			npc_relic_404	5900404
904	4004	7	1	2	4004007	item171002000001,3			npc_relic_404	5900404
905	4004	8	2	3	4004008	item171002000001,20			npc_relic_404	5900404
906	4004	9	2	2	4004009	item171002000001,6			npc_relic_404	5900404
907	4004	10	2	2	4004010	item171002000001,6			npc_relic_404	5900404
908	4004	11	2	2	4004011	item171002000001,6			npc_relic_404	5900404
909	4004	12	2	2	4004012	item171002000001,6			npc_relic_404	5900404
910	4004	13	2	2	4004013	item171002000001,6			npc_relic_404	5900404
911	4004	14	2	2	4004014	item171002000001,6			npc_relic_404	5900404
912	4004	15	3	3	4004015	item171002000001,30			npc_relic_404	5900404
913	4004	16	3	2	4004016	item171002000001,9			npc_relic_404	5900404
914	4004	17	3	2	4004017	item171002000001,9			npc_relic_404	5900404
915	4004	18	3	2	4004018	item171002000001,9			npc_relic_404	5900404
916	4004	19	3	2	4004019	item171002000001,9			npc_relic_404	5900404
917	4004	20	3	2	4004020	item171002000001,9			npc_relic_404	5900404
918	4004	21	3	2	4004021	item171002000001,9			npc_relic_404	5900404
919	4004	22	4	3	4004022	item171002000002,5	9004004,10	2,100;3,100	npc_relic_404	5900404
920	4004	23	4	2	4004023	item171002000002,2			npc_relic_404	5900404
921	4004	24	4	2	4004024	item171002000002,2			npc_relic_404	5900404
922	4004	25	4	2	4004025	item171002000002,2			npc_relic_404	5900404
923	4004	26	4	2	4004026	item171002000002,2			npc_relic_404	5900404
924	4004	27	4	2	4004027	item171002000002,2			npc_relic_404	5900404
925	4004	28	4	2	4004028	item171002000002,2			npc_relic_404	5900404
926	4004	29	5	3	4004029	item171002000002,10	9004004,20	2,200;3,200	npc_relic_404	5900404
927	4004	30	5	2	4004030	item171002000003,1			npc_relic_404	5900404
928	4004	31	5	2	4004031	item171002000003,1			npc_relic_404	5900404
929	4004	32	5	2	4004032	item171002000003,1			npc_relic_404	5900404
930	4004	33	5	2	4004033	item171002000003,1			npc_relic_404	5900404
931	4004	34	5	2	4004034	item171002000003,1			npc_relic_404	5900404
932	4004	35	5	2	4004035	item171002000003,1			npc_relic_404	5900404
933	4004	36	6	3	4004036	item171002000003,2	9004004,30	2,300;3,300	npc_relic_404	5900404
934	4004	37	6	4	4004037		9004004,50	2,400;3,400	npc_relic_404	5900404
935	4005	1	1	1	4005001		9004005,30		npc_relic_405	5900405
936	4005	2	1	2	4005002	item171002000001,3			npc_relic_405	5900405
937	4005	3	1	2	4005003	item171002000001,3			npc_relic_405	5900405
938	4005	4	1	2	4005004	item171002000001,3			npc_relic_405	5900405
939	4005	5	1	2	4005005	item171002000001,3			npc_relic_405	5900405
940	4005	6	1	2	4005006	item171002000001,3			npc_relic_405	5900405
941	4005	7	1	2	4005007	item171002000001,3			npc_relic_405	5900405
942	4005	8	2	3	4005008	item171002000001,20			npc_relic_405	5900405
943	4005	9	2	2	4005009	item171002000001,6			npc_relic_405	5900405
944	4005	10	2	2	4005010	item171002000001,6			npc_relic_405	5900405
945	4005	11	2	2	4005011	item171002000001,6			npc_relic_405	5900405
946	4005	12	2	2	4005012	item171002000001,6			npc_relic_405	5900405
947	4005	13	2	2	4005013	item171002000001,6			npc_relic_405	5900405
948	4005	14	2	2	4005014	item171002000001,6			npc_relic_405	5900405
949	4005	15	3	3	4005015	item171002000001,30			npc_relic_405	5900405
950	4005	16	3	2	4005016	item171002000001,9			npc_relic_405	5900405
951	4005	17	3	2	4005017	item171002000001,9			npc_relic_405	5900405
952	4005	18	3	2	4005018	item171002000001,9			npc_relic_405	5900405
953	4005	19	3	2	4005019	item171002000001,9			npc_relic_405	5900405
954	4005	20	3	2	4005020	item171002000001,9			npc_relic_405	5900405
955	4005	21	3	2	4005021	item171002000001,9			npc_relic_405	5900405
956	4005	22	4	3	4005022	item171002000002,5	9004005,10	2,100;3,100	npc_relic_405	5900405
957	4005	23	4	2	4005023	item171002000002,2			npc_relic_405	5900405
958	4005	24	4	2	4005024	item171002000002,2			npc_relic_405	5900405
959	4005	25	4	2	4005025	item171002000002,2			npc_relic_405	5900405
960	4005	26	4	2	4005026	item171002000002,2			npc_relic_405	5900405
961	4005	27	4	2	4005027	item171002000002,2			npc_relic_405	5900405
962	4005	28	4	2	4005028	item171002000002,2			npc_relic_405	5900405
963	4005	29	5	3	4005029	item171002000002,10	9004005,20	2,200;3,200	npc_relic_405	5900405
964	4005	30	5	2	4005030	item171002000003,1			npc_relic_405	5900405
965	4005	31	5	2	4005031	item171002000003,1			npc_relic_405	5900405
966	4005	32	5	2	4005032	item171002000003,1			npc_relic_405	5900405
967	4005	33	5	2	4005033	item171002000003,1			npc_relic_405	5900405
968	4005	34	5	2	4005034	item171002000003,1			npc_relic_405	5900405
969	4005	35	5	2	4005035	item171002000003,1			npc_relic_405	5900405
970	4005	36	6	3	4005036	item171002000003,2	9004005,30	2,300;3,300	npc_relic_405	5900405
971	4005	37	6	4	4005037		9004005,50	2,400;3,400	npc_relic_405	5900405
972	4006	1	1	1	4006001		9004006,30		npc_relic_406	5900406
973	4006	2	1	2	4006002	item171002000001,3			npc_relic_406	5900406
974	4006	3	1	2	4006003	item171002000001,3			npc_relic_406	5900406
975	4006	4	1	2	4006004	item171002000001,3			npc_relic_406	5900406
976	4006	5	1	2	4006005	item171002000001,3			npc_relic_406	5900406
977	4006	6	1	2	4006006	item171002000001,3			npc_relic_406	5900406
978	4006	7	1	2	4006007	item171002000001,3			npc_relic_406	5900406
979	4006	8	2	3	4006008	item171002000001,20			npc_relic_406	5900406
980	4006	9	2	2	4006009	item171002000001,6			npc_relic_406	5900406
981	4006	10	2	2	4006010	item171002000001,6			npc_relic_406	5900406
982	4006	11	2	2	4006011	item171002000001,6			npc_relic_406	5900406
983	4006	12	2	2	4006012	item171002000001,6			npc_relic_406	5900406
984	4006	13	2	2	4006013	item171002000001,6			npc_relic_406	5900406
985	4006	14	2	2	4006014	item171002000001,6			npc_relic_406	5900406
986	4006	15	3	3	4006015	item171002000001,30			npc_relic_406	5900406
987	4006	16	3	2	4006016	item171002000001,9			npc_relic_406	5900406
988	4006	17	3	2	4006017	item171002000001,9			npc_relic_406	5900406
989	4006	18	3	2	4006018	item171002000001,9			npc_relic_406	5900406
990	4006	19	3	2	4006019	item171002000001,9			npc_relic_406	5900406
991	4006	20	3	2	4006020	item171002000001,9			npc_relic_406	5900406
992	4006	21	3	2	4006021	item171002000001,9			npc_relic_406	5900406
993	4006	22	4	3	4006022	item171002000002,5	9004006,10	2,100;3,100	npc_relic_406	5900406
994	4006	23	4	2	4006023	item171002000002,2			npc_relic_406	5900406
995	4006	24	4	2	4006024	item171002000002,2			npc_relic_406	5900406
996	4006	25	4	2	4006025	item171002000002,2			npc_relic_406	5900406
997	4006	26	4	2	4006026	item171002000002,2			npc_relic_406	5900406
998	4006	27	4	2	4006027	item171002000002,2			npc_relic_406	5900406
999	4006	28	4	2	4006028	item171002000002,2			npc_relic_406	5900406
1000	4006	29	5	3	4006029	item171002000002,10	9004006,20	2,200;3,200	npc_relic_406	5900406
1001	4006	30	5	2	4006030	item171002000003,1			npc_relic_406	5900406
1002	4006	31	5	2	4006031	item171002000003,1			npc_relic_406	5900406
1003	4006	32	5	2	4006032	item171002000003,1			npc_relic_406	5900406
1004	4006	33	5	2	4006033	item171002000003,1			npc_relic_406	5900406
1005	4006	34	5	2	4006034	item171002000003,1			npc_relic_406	5900406
1006	4006	35	5	2	4006035	item171002000003,1			npc_relic_406	5900406
1007	4006	36	6	3	4006036	item171002000003,2	9004006,30	2,300;3,300	npc_relic_406	5900406
1008	4006	37	6	4	4006037		9004006,50	2,400;3,400	npc_relic_406	5900406
1009	4007	1	1	1	4007001		9004007,30		npc_relic_407	5900407
1010	4007	2	1	2	4007002	item171002000001,3			npc_relic_407	5900407
1011	4007	3	1	2	4007003	item171002000001,3			npc_relic_407	5900407
1012	4007	4	1	2	4007004	item171002000001,3			npc_relic_407	5900407
1013	4007	5	1	2	4007005	item171002000001,3			npc_relic_407	5900407
1014	4007	6	1	2	4007006	item171002000001,3			npc_relic_407	5900407
1015	4007	7	1	2	4007007	item171002000001,3			npc_relic_407	5900407
1016	4007	8	2	3	4007008	item171002000001,20			npc_relic_407	5900407
1017	4007	9	2	2	4007009	item171002000001,6			npc_relic_407	5900407
1018	4007	10	2	2	4007010	item171002000001,6			npc_relic_407	5900407
1019	4007	11	2	2	4007011	item171002000001,6			npc_relic_407	5900407
1020	4007	12	2	2	4007012	item171002000001,6			npc_relic_407	5900407
1021	4007	13	2	2	4007013	item171002000001,6			npc_relic_407	5900407
1022	4007	14	2	2	4007014	item171002000001,6			npc_relic_407	5900407
1023	4007	15	3	3	4007015	item171002000001,30			npc_relic_407	5900407
1024	4007	16	3	2	4007016	item171002000001,9			npc_relic_407	5900407
1025	4007	17	3	2	4007017	item171002000001,9			npc_relic_407	5900407
1026	4007	18	3	2	4007018	item171002000001,9			npc_relic_407	5900407
1027	4007	19	3	2	4007019	item171002000001,9			npc_relic_407	5900407
1028	4007	20	3	2	4007020	item171002000001,9			npc_relic_407	5900407
1029	4007	21	3	2	4007021	item171002000001,9			npc_relic_407	5900407
1030	4007	22	4	3	4007022	item171002000002,5	9004007,10	2,100;3,100	npc_relic_407	5900407
1031	4007	23	4	2	4007023	item171002000002,2			npc_relic_407	5900407
1032	4007	24	4	2	4007024	item171002000002,2			npc_relic_407	5900407
1033	4007	25	4	2	4007025	item171002000002,2			npc_relic_407	5900407
1034	4007	26	4	2	4007026	item171002000002,2			npc_relic_407	5900407
1035	4007	27	4	2	4007027	item171002000002,2			npc_relic_407	5900407
1036	4007	28	4	2	4007028	item171002000002,2			npc_relic_407	5900407
1037	4007	29	5	3	4007029	item171002000002,10	9004007,20	2,200;3,200	npc_relic_407	5900407
1038	4007	30	5	2	4007030	item171002000003,1			npc_relic_407	5900407
1039	4007	31	5	2	4007031	item171002000003,1			npc_relic_407	5900407
1040	4007	32	5	2	4007032	item171002000003,1			npc_relic_407	5900407
1041	4007	33	5	2	4007033	item171002000003,1			npc_relic_407	5900407
1042	4007	34	5	2	4007034	item171002000003,1			npc_relic_407	5900407
1043	4007	35	5	2	4007035	item171002000003,1			npc_relic_407	5900407
1044	4007	36	6	3	4007036	item171002000003,2	9004007,30	2,300;3,300	npc_relic_407	5900407
1045	4007	37	6	4	4007037		9004007,50	2,400;3,400	npc_relic_407	5900407
1046	4008	1	1	1	4008001		9004008,30		npc_relic_408	5900408
1047	4008	2	1	2	4008002	item171002000001,3			npc_relic_408	5900408
1048	4008	3	1	2	4008003	item171002000001,3			npc_relic_408	5900408
1049	4008	4	1	2	4008004	item171002000001,3			npc_relic_408	5900408
1050	4008	5	1	2	4008005	item171002000001,3			npc_relic_408	5900408
1051	4008	6	1	2	4008006	item171002000001,3			npc_relic_408	5900408
1052	4008	7	1	2	4008007	item171002000001,3			npc_relic_408	5900408
1053	4008	8	2	3	4008008	item171002000001,20			npc_relic_408	5900408
1054	4008	9	2	2	4008009	item171002000001,6			npc_relic_408	5900408
1055	4008	10	2	2	4008010	item171002000001,6			npc_relic_408	5900408
1056	4008	11	2	2	4008011	item171002000001,6			npc_relic_408	5900408
1057	4008	12	2	2	4008012	item171002000001,6			npc_relic_408	5900408
1058	4008	13	2	2	4008013	item171002000001,6			npc_relic_408	5900408
1059	4008	14	2	2	4008014	item171002000001,6			npc_relic_408	5900408
1060	4008	15	3	3	4008015	item171002000001,30			npc_relic_408	5900408
1061	4008	16	3	2	4008016	item171002000001,9			npc_relic_408	5900408
1062	4008	17	3	2	4008017	item171002000001,9			npc_relic_408	5900408
1063	4008	18	3	2	4008018	item171002000001,9			npc_relic_408	5900408
1064	4008	19	3	2	4008019	item171002000001,9			npc_relic_408	5900408
1065	4008	20	3	2	4008020	item171002000001,9			npc_relic_408	5900408
1066	4008	21	3	2	4008021	item171002000001,9			npc_relic_408	5900408
1067	4008	22	4	3	4008022	item171002000002,5	9004008,10	2,100;3,100	npc_relic_408	5900408
1068	4008	23	4	2	4008023	item171002000002,2			npc_relic_408	5900408
1069	4008	24	4	2	4008024	item171002000002,2			npc_relic_408	5900408
1070	4008	25	4	2	4008025	item171002000002,2			npc_relic_408	5900408
1071	4008	26	4	2	4008026	item171002000002,2			npc_relic_408	5900408
1072	4008	27	4	2	4008027	item171002000002,2			npc_relic_408	5900408
1073	4008	28	4	2	4008028	item171002000002,2			npc_relic_408	5900408
1074	4008	29	5	3	4008029	item171002000002,10	9004008,20	2,200;3,200	npc_relic_408	5900408
1075	4008	30	5	2	4008030	item171002000003,1			npc_relic_408	5900408
1076	4008	31	5	2	4008031	item171002000003,1			npc_relic_408	5900408
1077	4008	32	5	2	4008032	item171002000003,1			npc_relic_408	5900408
1078	4008	33	5	2	4008033	item171002000003,1			npc_relic_408	5900408
1079	4008	34	5	2	4008034	item171002000003,1			npc_relic_408	5900408
1080	4008	35	5	2	4008035	item171002000003,1			npc_relic_408	5900408
1081	4008	36	6	3	4008036	item171002000003,2	9004008,30	2,300;3,300	npc_relic_408	5900408
1082	4008	37	6	4	4008037		9004008,50	2,400;3,400	npc_relic_408	5900408
1083	4009	1	1	1	4009001		9004009,30		npc_relic_409	5900409
1084	4009	2	1	2	4009002	item171002000001,3			npc_relic_409	5900409
1085	4009	3	1	2	4009003	item171002000001,3			npc_relic_409	5900409
1086	4009	4	1	2	4009004	item171002000001,3			npc_relic_409	5900409
1087	4009	5	1	2	4009005	item171002000001,3			npc_relic_409	5900409
1088	4009	6	1	2	4009006	item171002000001,3			npc_relic_409	5900409
1089	4009	7	1	2	4009007	item171002000001,3			npc_relic_409	5900409
1090	4009	8	2	3	4009008	item171002000001,20			npc_relic_409	5900409
1091	4009	9	2	2	4009009	item171002000001,6			npc_relic_409	5900409
1092	4009	10	2	2	4009010	item171002000001,6			npc_relic_409	5900409
1093	4009	11	2	2	4009011	item171002000001,6			npc_relic_409	5900409
1094	4009	12	2	2	4009012	item171002000001,6			npc_relic_409	5900409
1095	4009	13	2	2	4009013	item171002000001,6			npc_relic_409	5900409
1096	4009	14	2	2	4009014	item171002000001,6			npc_relic_409	5900409
1097	4009	15	3	3	4009015	item171002000001,30			npc_relic_409	5900409
1098	4009	16	3	2	4009016	item171002000001,9			npc_relic_409	5900409
1099	4009	17	3	2	4009017	item171002000001,9			npc_relic_409	5900409
1100	4009	18	3	2	4009018	item171002000001,9			npc_relic_409	5900409
1101	4009	19	3	2	4009019	item171002000001,9			npc_relic_409	5900409
1102	4009	20	3	2	4009020	item171002000001,9			npc_relic_409	5900409
1103	4009	21	3	2	4009021	item171002000001,9			npc_relic_409	5900409
1104	4009	22	4	3	4009022	item171002000002,5	9004009,10	2,100;3,100	npc_relic_409	5900409
1105	4009	23	4	2	4009023	item171002000002,2			npc_relic_409	5900409
1106	4009	24	4	2	4009024	item171002000002,2			npc_relic_409	5900409
1107	4009	25	4	2	4009025	item171002000002,2			npc_relic_409	5900409
1108	4009	26	4	2	4009026	item171002000002,2			npc_relic_409	5900409
1109	4009	27	4	2	4009027	item171002000002,2			npc_relic_409	5900409
1110	4009	28	4	2	4009028	item171002000002,2			npc_relic_409	5900409
1111	4009	29	5	3	4009029	item171002000002,10	9004009,20	2,200;3,200	npc_relic_409	5900409
1112	4009	30	5	2	4009030	item171002000003,1			npc_relic_409	5900409
1113	4009	31	5	2	4009031	item171002000003,1			npc_relic_409	5900409
1114	4009	32	5	2	4009032	item171002000003,1			npc_relic_409	5900409
1115	4009	33	5	2	4009033	item171002000003,1			npc_relic_409	5900409
1116	4009	34	5	2	4009034	item171002000003,1			npc_relic_409	5900409
1117	4009	35	5	2	4009035	item171002000003,1			npc_relic_409	5900409
1118	4009	36	6	3	4009036	item171002000003,2	9004009,30	2,300;3,300	npc_relic_409	5900409
1119	4009	37	6	4	4009037		9004009,50	2,400;3,400	npc_relic_409	5900409
1120	4010	1	1	1	4010001		9004010,30		npc_relic_410	5900410
1121	4010	2	1	2	4010002	item171002000001,3			npc_relic_410	5900410
1122	4010	3	1	2	4010003	item171002000001,3			npc_relic_410	5900410
1123	4010	4	1	2	4010004	item171002000001,3			npc_relic_410	5900410
1124	4010	5	1	2	4010005	item171002000001,3			npc_relic_410	5900410
1125	4010	6	1	2	4010006	item171002000001,3			npc_relic_410	5900410
1126	4010	7	1	2	4010007	item171002000001,3			npc_relic_410	5900410
1127	4010	8	2	3	4010008	item171002000001,20			npc_relic_410	5900410
1128	4010	9	2	2	4010009	item171002000001,6			npc_relic_410	5900410
1129	4010	10	2	2	4010010	item171002000001,6			npc_relic_410	5900410
1130	4010	11	2	2	4010011	item171002000001,6			npc_relic_410	5900410
1131	4010	12	2	2	4010012	item171002000001,6			npc_relic_410	5900410
1132	4010	13	2	2	4010013	item171002000001,6			npc_relic_410	5900410
1133	4010	14	2	2	4010014	item171002000001,6			npc_relic_410	5900410
1134	4010	15	3	3	4010015	item171002000001,30			npc_relic_410	5900410
1135	4010	16	3	2	4010016	item171002000001,9			npc_relic_410	5900410
1136	4010	17	3	2	4010017	item171002000001,9			npc_relic_410	5900410
1137	4010	18	3	2	4010018	item171002000001,9			npc_relic_410	5900410
1138	4010	19	3	2	4010019	item171002000001,9			npc_relic_410	5900410
1139	4010	20	3	2	4010020	item171002000001,9			npc_relic_410	5900410
1140	4010	21	3	2	4010021	item171002000001,9			npc_relic_410	5900410
1141	4010	22	4	3	4010022	item171002000002,5	9004010,10	2,100;3,100	npc_relic_410	5900410
1142	4010	23	4	2	4010023	item171002000002,2			npc_relic_410	5900410
1143	4010	24	4	2	4010024	item171002000002,2			npc_relic_410	5900410
1144	4010	25	4	2	4010025	item171002000002,2			npc_relic_410	5900410
1145	4010	26	4	2	4010026	item171002000002,2			npc_relic_410	5900410
1146	4010	27	4	2	4010027	item171002000002,2			npc_relic_410	5900410
