流水ID	关卡ID	层数ID	开放等级	携带词缀	道具奖励	首通掉落	推荐评分	攻略	预览地图资源	地图配置	进攻特效ID
44	1270	8	69	40;20;28;29;25;27;23	item1761001006628,1;item1761001006629,1;item1761001006622,1;item1761001006623,1;item1761001006616,1;item1761001006617,1	item176100100670,1;item176000000001,80;item1000,100000	UI_DefendAthenaPanel_Score	HSkName1270_01,NSkDes1270_01,NSkSolution1270_01;HSkName1270_02,NSkDes1270_02,NSkSolution1270_02;HSkName1270_03,NSkDes1270_03,NSkSolution1270_03;HSkName1270_04,NSkDes1270_04,NSkSolution1270_04;HSkName1270_05,NSkDes1270_05,NSkSolution1270_05	bg_star_map3	-262.3618;5.566714;0;-62.50852;9.252204;0;-40.38328;-74.08048;0;-124.4543;66.03582;0;-347.9033;1.875071;0	5910025
45	1270	9	69	40;20;28;29;25;27;23	item1761001006628,1;item1761001006629,1;item1761001006622,1;item1761001006623,1;item1761001006616,1;item1761001006617,1	item176100100670,1;item176000000001,90;item1000,100000	UI_DefendAthenaPanel_Score	HSkName1270_01,NSkDes1270_01,NSkSolution1270_01;HSkName1270_02,NSkDes1270_02,NSkSolution1270_02;HSkName1270_03,NSkDes1270_03,NSkSolution1270_03;HSkName1270_04,NSkDes1270_04,NSkSolution1270_04;HSkName1270_05,NSkDes1270_05,NSkSolution1270_05	bg_star_map3	-262.3618;5.566714;0;-62.50852;9.252204;0;-40.38328;-74.08048;0;-124.4543;66.03582;0;-347.9033;1.875071;0	5910025
46	1270	10	70	40;20;28;29;25;27;23	item1761001006628,1;item1761001006629,1;item1761001006622,1;item1761001006623,1;item1761001006616,1;item1761001006617,1	item176100100670,1;item176000000001,100;item1000,150000	UI_DefendAthenaPanel_Score	HSkName1270_01,NSkDes1270_01,NSkSolution1270_01;HSkName1270_02,NSkDes1270_02,NSkSolution1270_02;HSkName1270_03,NSkDes1270_03,NSkSolution1270_03;HSkName1270_04,NSkDes1270_04,NSkSolution1270_04;HSkName1270_05,NSkDes1270_05,NSkSolution1270_05	bg_star_map3	-262.3618;5.566714;0;-62.50852;9.252204;0;-40.38328;-74.08048;0;-124.4543;66.03582;0;-347.9033;1.875071;0	5910025
47	1270	11	70	40;20;28;29;25;27;23	item1761001006628,1;item1761001006629,1;item1761001006622,1;item1761001006623,1;item1761001006616,1;item1761001006617,1	item176100100670,1;item176000000001,110;item1000,150000	UI_DefendAthenaPanel_Score	HSkName1270_01,NSkDes1270_01,NSkSolution1270_01;HSkName1270_02,NSkDes1270_02,NSkSolution1270_02;HSkName1270_03,NSkDes1270_03,NSkSolution1270_03;HSkName1270_04,NSkDes1270_04,NSkSolution1270_04;HSkName1270_05,NSkDes1270_05,NSkSolution1270_05	bg_star_map3	-262.3618;5.566714;0;-62.50852;9.252204;0;-40.38328;-74.08048;0;-124.4543;66.03582;0;-347.9033;1.875071;0	5910025
48	1270	12	70	40;20;28;29;25;27;23	item1761001006628,1;item1761001006629,1;item1761001006622,1;item1761001006623,1;item1761001006616,1;item1761001006617,1	item176100100670,1;item176000000001,120;item1000,150000	UI_DefendAthenaPanel_Score	HSkName1270_01,NSkDes1270_01,NSkSolution1270_01;HSkName1270_02,NSkDes1270_02,NSkSolution1270_02;HSkName1270_03,NSkDes1270_03,NSkSolution1270_03;HSkName1270_04,NSkDes1270_04,NSkSolution1270_04;HSkName1270_05,NSkDes1270_05,NSkSolution1270_05	bg_star_map3	-262.3618;5.566714;0;-62.50852;9.252204;0;-40.38328;-74.08048;0;-124.4543;66.03582;0;-347.9033;1.875071;0	5910025
49	1270	13	71	40;20;28;29;25;27;23	item1761001006628,1;item1761001006629,1;item1761001006622,1;item1761001006623,1;item1761001006616,1;item1761001006617,1	item176100100671,1;item176000000001,130;item1000,200000	UI_DefendAthenaPanel_Score	HSkName1270_01,NSkDes1270_01,NSkSolution1270_01;HSkName1270_02,NSkDes1270_02,NSkSolution1270_02;HSkName1270_03,NSkDes1270_03,NSkSolution1270_03;HSkName1270_04,NSkDes1270_04,NSkSolution1270_04;HSkName1270_05,NSkDes1270_05,NSkSolution1270_05	bg_star_map3	-262.3618;5.566714;0;-62.50852;9.252204;0;-40.38328;-74.08048;0;-124.4543;66.03582;0;-347.9033;1.875071;0	5910025
50	1270	14	71	40;20;28;29;25;27;23	item1761001006628,1;item1761001006629,1;item1761001006622,1;item1761001006623,1;item1761001006616,1;item1761001006617,1	item176100100671,1;item176000000001,140;item1000,200000	UI_DefendAthenaPanel_Score	HSkName1270_01,NSkDes1270_01,NSkSolution1270_01;HSkName1270_02,NSkDes1270_02,NSkSolution1270_02;HSkName1270_03,NSkDes1270_03,NSkSolution1270_03;HSkName1270_04,NSkDes1270_04,NSkSolution1270_04;HSkName1270_05,NSkDes1270_05,NSkSolution1270_05	bg_star_map3	-262.3618;5.566714;0;-62.50852;9.252204;0;-40.38328;-74.08048;0;-124.4543;66.03582;0;-347.9033;1.875071;0	5910025
51	1270	15	71	40;20;28;29;25;27;23	item1761001006628,1;item1761001006629,1;item1761001006622,1;item1761001006623,1;item1761001006616,1;item1761001006617,1	item176100100671,1;item176000000001,150;item1000,200000	UI_DefendAthenaPanel_Score	HSkName1270_01,NSkDes1270_01,NSkSolution1270_01;HSkName1270_02,NSkDes1270_02,NSkSolution1270_02;HSkName1270_03,NSkDes1270_03,NSkSolution1270_03;HSkName1270_04,NSkDes1270_04,NSkSolution1270_04;HSkName1270_05,NSkDes1270_05,NSkSolution1270_05	bg_star_map3	-262.3618;5.566714;0;-62.50852;9.252204;0;-40.38328;-74.08048;0;-124.4543;66.03582;0;-347.9033;1.875071;0	5910025
52	1270	16	72	40;20;28;29;25;27;23	item1761001006634,1;item1761001006635,1;item1761001006628,1;item1761001006629,1;item1761001006622,1;item1761001006623,1;item1761001006616,1;item1761001006617,1	item176100100673,1;item176000000001,160;item1000,250000	UI_DefendAthenaPanel_Score	HSkName1270_01,NSkDes1270_01,NSkSolution1270_01;HSkName1270_02,NSkDes1270_02,NSkSolution1270_02;HSkName1270_03,NSkDes1270_03,NSkSolution1270_03;HSkName1270_04,NSkDes1270_04,NSkSolution1270_04;HSkName1270_05,NSkDes1270_05,NSkSolution1270_05	bg_star_map3	-262.3618;5.566714;0;-62.50852;9.252204;0;-40.38328;-74.08048;0;-124.4543;66.03582;0;-347.9033;1.875071;0	5910025
53	1270	17	72	40;20;28;29;25;27;23	item1761001006634,1;item1761001006635,1;item1761001006628,1;item1761001006629,1;item1761001006622,1;item1761001006623,1;item1761001006616,1;item1761001006617,1	item176100100673,1;item176000000001,170;item1000,250000	UI_DefendAthenaPanel_Score	HSkName1270_01,NSkDes1270_01,NSkSolution1270_01;HSkName1270_02,NSkDes1270_02,NSkSolution1270_02;HSkName1270_03,NSkDes1270_03,NSkSolution1270_03;HSkName1270_04,NSkDes1270_04,NSkSolution1270_04;HSkName1270_05,NSkDes1270_05,NSkSolution1270_05	bg_star_map3	-262.3618;5.566714;0;-62.50852;9.252204;0;-40.38328;-74.08048;0;-124.4543;66.03582;0;-347.9033;1.875071;0	5910025
54	1270	18	72	40;20;28;29;25;27;23	item1761001006634,1;item1761001006635,1;item1761001006628,1;item1761001006629,1;item1761001006622,1;item1761001006623,1;item1761001006616,1;item1761001006617,1	item176100100673,1;item176000000001,180;item1000,250000	UI_DefendAthenaPanel_Score	HSkName1270_01,NSkDes1270_01,NSkSolution1270_01;HSkName1270_02,NSkDes1270_02,NSkSolution1270_02;HSkName1270_03,NSkDes1270_03,NSkSolution1270_03;HSkName1270_04,NSkDes1270_04,NSkSolution1270_04;HSkName1270_05,NSkDes1270_05,NSkSolution1270_05	bg_star_map3	-262.3618;5.566714;0;-62.50852;9.252204;0;-40.38328;-74.08048;0;-124.4543;66.03582;0;-347.9033;1.875071;0	5910025
55	1271	1	67	40;28;29;30;25;15;6;18;11;16	item176100100666,1	item176100100669,1;item176000000001,10;item1000,50000	UI_DefendAthenaPanel_Score	HSkName1271_01,NSkDes1271_01,NSkSolution1271_01;HSkName1271_02,NSkDes1271_02,NSkSolution1271_02;HSkName1271_03,NSkDes1271_03,NSkSolution1271_03;HSkName1271_04,NSkDes1271_04,NSkSolution1271_04;HSkName1271_05,NSkDes1271_05,NSkSolution1271_05;HSkName1271_06,NSkDes1271_06,NSkSolution1271_06;HSkName1271_07,NSkDes1271_07,NSkSolution1271_07;	bg_star_map4	-186.4001;-15.8202;0;-264.5706;64.55917;0;-251.2991;-79.98096;0;-97.1669;-105.7917;0;-79.46547;91.10823;0	5910026
56	1271	2	67	40;28;29;30;25;15;6;18;11;16	item176100100666,1	item176100100669,1;item176000000001,20;item1000,50000	UI_DefendAthenaPanel_Score	HSkName1271_01,NSkDes1271_01,NSkSolution1271_01;HSkName1271_02,NSkDes1271_02,NSkSolution1271_02;HSkName1271_03,NSkDes1271_03,NSkSolution1271_03;HSkName1271_04,NSkDes1271_04,NSkSolution1271_04;HSkName1271_05,NSkDes1271_05,NSkSolution1271_05;HSkName1271_06,NSkDes1271_06,NSkSolution1271_06;HSkName1271_07,NSkDes1271_07,NSkSolution1271_07;	bg_star_map4	-186.4001;-15.8202;0;-264.5706;64.55917;0;-251.2991;-79.98096;0;-97.1669;-105.7917;0;-79.46547;91.10823;0	5910026
57	1271	3	67	40;28;29;30;25;15;6;18;11;16	item176100100666,1;item176100100667,1	item176100100669,1;item176000000001,30;item1000,50000	UI_DefendAthenaPanel_Score	HSkName1271_01,NSkDes1271_01,NSkSolution1271_01;HSkName1271_02,NSkDes1271_02,NSkSolution1271_02;HSkName1271_03,NSkDes1271_03,NSkSolution1271_03;HSkName1271_04,NSkDes1271_04,NSkSolution1271_04;HSkName1271_05,NSkDes1271_05,NSkSolution1271_05;HSkName1271_06,NSkDes1271_06,NSkSolution1271_06;HSkName1271_07,NSkDes1271_07,NSkSolution1271_07;	bg_star_map4	-186.4001;-15.8202;0;-264.5706;64.55917;0;-251.2991;-79.98096;0;-97.1669;-105.7917;0;-79.46547;91.10823;0	5910026
58	1271	4	68	40;28;29;30;25;15;6;18;11;16	item176100100666,1;item176100100667,1	item176100100669,1;item176000000001,40;item1000,80000	UI_DefendAthenaPanel_Score	HSkName1271_01,NSkDes1271_01,NSkSolution1271_01;HSkName1271_02,NSkDes1271_02,NSkSolution1271_02;HSkName1271_03,NSkDes1271_03,NSkSolution1271_03;HSkName1271_04,NSkDes1271_04,NSkSolution1271_04;HSkName1271_05,NSkDes1271_05,NSkSolution1271_05;HSkName1271_06,NSkDes1271_06,NSkSolution1271_06;HSkName1271_07,NSkDes1271_07,NSkSolution1271_07;	bg_star_map4	-186.4001;-15.8202;0;-264.5706;64.55917;0;-251.2991;-79.98096;0;-97.1669;-105.7917;0;-79.46547;91.10823;0	5910026
59	1271	5	68	40;28;29;30;25;15;6;18;11;16	item176100100666,1;item176100100667,1	item176100100669,1;item176000000001,50;item1000,80000	UI_DefendAthenaPanel_Score	HSkName1271_01,NSkDes1271_01,NSkSolution1271_01;HSkName1271_02,NSkDes1271_02,NSkSolution1271_02;HSkName1271_03,NSkDes1271_03,NSkSolution1271_03;HSkName1271_04,NSkDes1271_04,NSkSolution1271_04;HSkName1271_05,NSkDes1271_05,NSkSolution1271_05;HSkName1271_06,NSkDes1271_06,NSkSolution1271_06;HSkName1271_07,NSkDes1271_07,NSkSolution1271_07;	bg_star_map4	-186.4001;-15.8202;0;-264.5706;64.55917;0;-251.2991;-79.98096;0;-97.1669;-105.7917;0;-79.46547;91.10823;0	5910026
60	1271	6	68	40;28;29;30;25;15;6;18;11;16	item176100100666,1;item176100100667,1;item176100100668,1	item176100100669,1;item176000000001,60;item1000,80000	UI_DefendAthenaPanel_Score	HSkName1271_01,NSkDes1271_01,NSkSolution1271_01;HSkName1271_02,NSkDes1271_02,NSkSolution1271_02;HSkName1271_03,NSkDes1271_03,NSkSolution1271_03;HSkName1271_04,NSkDes1271_04,NSkSolution1271_04;HSkName1271_05,NSkDes1271_05,NSkSolution1271_05;HSkName1271_06,NSkDes1271_06,NSkSolution1271_06;HSkName1271_07,NSkDes1271_07,NSkSolution1271_07;	bg_star_map4	-186.4001;-15.8202;0;-264.5706;64.55917;0;-251.2991;-79.98096;0;-97.1669;-105.7917;0;-79.46547;91.10823;0	5910026
61	1271	7	69	40;28;29;30;25;15;6;18;11;16	item176100100666,1;item176100100667,1;item176100100668,1	item176100100670,1;item176000000001,70;item1000,100000	UI_DefendAthenaPanel_Score	HSkName1271_01,NSkDes1271_01,NSkSolution1271_01;HSkName1271_02,NSkDes1271_02,NSkSolution1271_02;HSkName1271_03,NSkDes1271_03,NSkSolution1271_03;HSkName1271_04,NSkDes1271_04,NSkSolution1271_04;HSkName1271_05,NSkDes1271_05,NSkSolution1271_05;HSkName1271_06,NSkDes1271_06,NSkSolution1271_06;HSkName1271_07,NSkDes1271_07,NSkSolution1271_07;	bg_star_map4	-186.4001;-15.8202;0;-264.5706;64.55917;0;-251.2991;-79.98096;0;-97.1669;-105.7917;0;-79.46547;91.10823;0	5910026
62	1271	8	69	40;28;29;30;25;15;6;18;11;16	item176100100666,1;item176100100667,1;item176100100668,1	item176100100670,1;item176000000001,80;item1000,100000	UI_DefendAthenaPanel_Score	HSkName1271_01,NSkDes1271_01,NSkSolution1271_01;HSkName1271_02,NSkDes1271_02,NSkSolution1271_02;HSkName1271_03,NSkDes1271_03,NSkSolution1271_03;HSkName1271_04,NSkDes1271_04,NSkSolution1271_04;HSkName1271_05,NSkDes1271_05,NSkSolution1271_05;HSkName1271_06,NSkDes1271_06,NSkSolution1271_06;HSkName1271_07,NSkDes1271_07,NSkSolution1271_07;	bg_star_map4	-186.4001;-15.8202;0;-264.5706;64.55917;0;-251.2991;-79.98096;0;-97.1669;-105.7917;0;-79.46547;91.10823;0	5910026
63	1271	9	69	40;28;29;30;25;15;6;18;11;16	item176100100666,1;item176100100667,1;item176100100668,1	item176100100670,1;item176000000001,90;item1000,100000	UI_DefendAthenaPanel_Score	HSkName1271_01,NSkDes1271_01,NSkSolution1271_01;HSkName1271_02,NSkDes1271_02,NSkSolution1271_02;HSkName1271_03,NSkDes1271_03,NSkSolution1271_03;HSkName1271_04,NSkDes1271_04,NSkSolution1271_04;HSkName1271_05,NSkDes1271_05,NSkSolution1271_05;HSkName1271_06,NSkDes1271_06,NSkSolution1271_06;HSkName1271_07,NSkDes1271_07,NSkSolution1271_07;	bg_star_map4	-186.4001;-15.8202;0;-264.5706;64.55917;0;-251.2991;-79.98096;0;-97.1669;-105.7917;0;-79.46547;91.10823;0	5910026
64	1271	10	70	40;28;29;30;25;15;6;18;11;16	item176100100666,1;item176100100667,1;item176100100668,1	item176100100670,1;item176000000001,100;item1000,150000	UI_DefendAthenaPanel_Score	HSkName1271_01,NSkDes1271_01,NSkSolution1271_01;HSkName1271_02,NSkDes1271_02,NSkSolution1271_02;HSkName1271_03,NSkDes1271_03,NSkSolution1271_03;HSkName1271_04,NSkDes1271_04,NSkSolution1271_04;HSkName1271_05,NSkDes1271_05,NSkSolution1271_05;HSkName1271_06,NSkDes1271_06,NSkSolution1271_06;HSkName1271_07,NSkDes1271_07,NSkSolution1271_07;	bg_star_map4	-186.4001;-15.8202;0;-264.5706;64.55917;0;-251.2991;-79.98096;0;-97.1669;-105.7917;0;-79.46547;91.10823;0	5910026
65	1271	11	70	40;28;29;30;25;15;6;18;11;16	item176100100666,1;item176100100667,1;item176100100668,1	item176100100670,1;item176000000001,110;item1000,150000	UI_DefendAthenaPanel_Score	HSkName1271_01,NSkDes1271_01,NSkSolution1271_01;HSkName1271_02,NSkDes1271_02,NSkSolution1271_02;HSkName1271_03,NSkDes1271_03,NSkSolution1271_03;HSkName1271_04,NSkDes1271_04,NSkSolution1271_04;HSkName1271_05,NSkDes1271_05,NSkSolution1271_05;HSkName1271_06,NSkDes1271_06,NSkSolution1271_06;HSkName1271_07,NSkDes1271_07,NSkSolution1271_07;	bg_star_map4	-186.4001;-15.8202;0;-264.5706;64.55917;0;-251.2991;-79.98096;0;-97.1669;-105.7917;0;-79.46547;91.10823;0	5910026
66	1271	12	70	40;28;29;30;25;15;6;18;11;16	item176100100666,1;item176100100667,1;item176100100668,1	item176100100670,1;item176000000001,120;item1000,150000	UI_DefendAthenaPanel_Score	HSkName1271_01,NSkDes1271_01,NSkSolution1271_01;HSkName1271_02,NSkDes1271_02,NSkSolution1271_02;HSkName1271_03,NSkDes1271_03,NSkSolution1271_03;HSkName1271_04,NSkDes1271_04,NSkSolution1271_04;HSkName1271_05,NSkDes1271_05,NSkSolution1271_05;HSkName1271_06,NSkDes1271_06,NSkSolution1271_06;HSkName1271_07,NSkDes1271_07,NSkSolution1271_07;	bg_star_map4	-186.4001;-15.8202;0;-264.5706;64.55917;0;-251.2991;-79.98096;0;-97.1669;-105.7917;0;-79.46547;91.10823;0	5910026
67	1271	13	71	40;28;29;30;25;15;6;18;11;16	item176100100666,1;item176100100667,1;item176100100668,1	item176100100671,1;item176000000001,130;item1000,200000	UI_DefendAthenaPanel_Score	HSkName1271_01,NSkDes1271_01,NSkSolution1271_01;HSkName1271_02,NSkDes1271_02,NSkSolution1271_02;HSkName1271_03,NSkDes1271_03,NSkSolution1271_03;HSkName1271_04,NSkDes1271_04,NSkSolution1271_04;HSkName1271_05,NSkDes1271_05,NSkSolution1271_05;HSkName1271_06,NSkDes1271_06,NSkSolution1271_06;HSkName1271_07,NSkDes1271_07,NSkSolution1271_07;	bg_star_map4	-186.4001;-15.8202;0;-264.5706;64.55917;0;-251.2991;-79.98096;0;-97.1669;-105.7917;0;-79.46547;91.10823;0	5910026
68	1271	14	71	40;28;29;30;25;15;6;18;11;16	item176100100666,1;item176100100667,1;item176100100668,1	item176100100671,1;item176000000001,140;item1000,200000	UI_DefendAthenaPanel_Score	HSkName1271_01,NSkDes1271_01,NSkSolution1271_01;HSkName1271_02,NSkDes1271_02,NSkSolution1271_02;HSkName1271_03,NSkDes1271_03,NSkSolution1271_03;HSkName1271_04,NSkDes1271_04,NSkSolution1271_04;HSkName1271_05,NSkDes1271_05,NSkSolution1271_05;HSkName1271_06,NSkDes1271_06,NSkSolution1271_06;HSkName1271_07,NSkDes1271_07,NSkSolution1271_07;	bg_star_map4	-186.4001;-15.8202;0;-264.5706;64.55917;0;-251.2991;-79.98096;0;-97.1669;-105.7917;0;-79.46547;91.10823;0	5910026
69	1271	15	71	40;28;29;30;25;15;6;18;11;16	item176100100666,1;item176100100667,1;item176100100668,1	item176100100671,1;item176000000001,150;item1000,200000	UI_DefendAthenaPanel_Score	HSkName1271_01,NSkDes1271_01,NSkSolution1271_01;HSkName1271_02,NSkDes1271_02,NSkSolution1271_02;HSkName1271_03,NSkDes1271_03,NSkSolution1271_03;HSkName1271_04,NSkDes1271_04,NSkSolution1271_04;HSkName1271_05,NSkDes1271_05,NSkSolution1271_05;HSkName1271_06,NSkDes1271_06,NSkSolution1271_06;HSkName1271_07,NSkDes1271_07,NSkSolution1271_07;	bg_star_map4	-186.4001;-15.8202;0;-264.5706;64.55917;0;-251.2991;-79.98096;0;-97.1669;-105.7917;0;-79.46547;91.10823;0	5910026
70	1271	16	72	40;28;29;30;25;15;6;18;11;16	item176100100666,1;item176100100667,1;item176100100668,1;item176100100672,1	item176100100673,1;item176000000001,160;item1000,250000	UI_DefendAthenaPanel_Score	HSkName1271_01,NSkDes1271_01,NSkSolution1271_01;HSkName1271_02,NSkDes1271_02,NSkSolution1271_02;HSkName1271_03,NSkDes1271_03,NSkSolution1271_03;HSkName1271_04,NSkDes1271_04,NSkSolution1271_04;HSkName1271_05,NSkDes1271_05,NSkSolution1271_05;HSkName1271_06,NSkDes1271_06,NSkSolution1271_06;HSkName1271_07,NSkDes1271_07,NSkSolution1271_07;	bg_star_map4	-186.4001;-15.8202;0;-264.5706;64.55917;0;-251.2991;-79.98096;0;-97.1669;-105.7917;0;-79.46547;91.10823;0	5910026
71	1271	17	72	40;28;29;30;25;15;6;18;11;16	item176100100666,1;item176100100667,1;item176100100668,1;item176100100672,1	item176100100673,1;item176000000001,170;item1000,250000	UI_DefendAthenaPanel_Score	HSkName1271_01,NSkDes1271_01,NSkSolution1271_01;HSkName1271_02,NSkDes1271_02,NSkSolution1271_02;HSkName1271_03,NSkDes1271_03,NSkSolution1271_03;HSkName1271_04,NSkDes1271_04,NSkSolution1271_04;HSkName1271_05,NSkDes1271_05,NSkSolution1271_05;HSkName1271_06,NSkDes1271_06,NSkSolution1271_06;HSkName1271_07,NSkDes1271_07,NSkSolution1271_07;	bg_star_map4	-186.4001;-15.8202;0;-264.5706;64.55917;0;-251.2991;-79.98096;0;-97.1669;-105.7917;0;-79.46547;91.10823;0	5910026
72	1271	18	72	40;28;29;30;25;15;6;18;11;16	item176100100666,1;item176100100667,1;item176100100668,1;item176100100672,1	item176100100673,1;item176000000001,180;item1000,250000	UI_DefendAthenaPanel_Score	HSkName1271_01,NSkDes1271_01,NSkSolution1271_01;HSkName1271_02,NSkDes1271_02,NSkSolution1271_02;HSkName1271_03,NSkDes1271_03,NSkSolution1271_03;HSkName1271_04,NSkDes1271_04,NSkSolution1271_04;HSkName1271_05,NSkDes1271_05,NSkSolution1271_05;HSkName1271_06,NSkDes1271_06,NSkSolution1271_06;HSkName1271_07,NSkDes1271_07,NSkSolution1271_07;	bg_star_map4	-186.4001;-15.8202;0;-264.5706;64.55917;0;-251.2991;-79.98096;0;-97.1669;-105.7917;0;-79.46547;91.10823;0	5910026
