配方ID	显示用装备ID	职业	部位	等级	绿色最小装等	绿色最大装等	蓝色最小装等	蓝色最大装等	紫色最小装等	紫色最大装等	金色最小装等	金色最大装等	货币类型	货币数量	基础经验	基础熟练	蓝色魔法属性等级掉落库	紫色魔法属性等级掉落库	金色魔法属性等级掉落库	1条魔法属性概率	2条魔法属性概率	3条魔法属性概率	4条魔法属性概率	5条魔法属性概率	消耗的道具数量	展示用魔法属性	使用的炼魔金属	需求材料1	材料1数量	需求材料2	材料2数量	需求材料3	材料3数量	需求材料4	材料4数量	需求材料5	材料5数量	熟练度等级1要求	熟练度影响1类型	熟练度影响1结果	熟练度等级2要求	熟练度影响2类型	熟练度影响2结果	熟练度等级3要求	熟练度影响3类型	熟练度影响3结果	熟练度等级4要求	熟练度影响4类型	熟练度影响4结果	熟练度等级5要求	熟练度影响5类型	熟练度影响5结果	熟练度等级6要求	熟练度影响6类型	熟练度影响6结果
302050200004	equip302050211004	4	2	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100042;100045;100046;100074;100004;100024;100002;100003;100017;100019;100021	100042,100045,100046,100074,100083,100004,100024,100002,100003,100017,100019,100021,100091	item103010111103	3	item108100101203	8		0		0		0	5	11	1	10	12	2	15	1	302060200004	30	2	2000	0	0		0	0	
303050200004	equip303050211004	4	3	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100041;100045;100047;100079;100006;100023;100002;100003;100017;100019;100021	100041,100045,100047,100079,100006,100023,100002,100003,100017,100019,100021,100085,100088,100094	item103010111103	3	item108100102103	8		0		0		0	5	11	1	10	12	2	15	1	303060200004	30	2	2000	0	0		0	0	
304050200004	equip304050211004	4	4	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100044;100045;100048;100075;100078;100006;100025;100027;100002;100003;100017;100019;100021	100044,100045,100048,100075,100078,100081,100006,100025,100027,100002,100003,100017,100019,100021,100090,100096	item103010111103	3	item108100101203	8		0		0		0	5	11	1	10	12	2	15	1	304060200004	30	2	2000	0	0		0	0	
305050200004	equip305050211004	4	5	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100043;100045;100049;100073;100006;100023;100025;100002;100003;100017;100019;100021	100043,100045,100049,100073,100080,100006,100023,100025,100002,100003,100017,100019,100021,100095	item103010111103	3	item108100101203	8		0		0		0	5	11	1	10	12	2	15	1	305060200004	30	2	2000	0	0		0	0	
306050200004	equip306050211004	4	6	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100040;100045;100050;100065;100066;100067;100004;100023;100027;100002;100003;100017;100019;100021	100040,100045,100050,100065,100066,100067,100004,100023,100027,100002,100003,100017,100019,100021,100086,100093	item103010111103	3	item108100101203	8		0		0		0	5	11	1	10	12	2	15	1	306060200004	30	2	2000	0	0		0	0	
301050200005	equip301050211005	5	1	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100051;100052;100053;100054;100069;100070;100005;100022;100026;100001;100016;100018;100020	100051,100052,100053,100054,100069,100070,100005,100022,100026,100001,100016,100018,100020	item103010111103	3	item108100102103	8		0		0		0	5	11	1	10	12	2	15	1	301060200005	30	2	2000	0	0		0	0	
302050200005	equip302050211005	5	2	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100042;100045;100046;100074;100004;100024;100002;100003;100017;100019;100021	100042,100045,100046,100074,100083,100004,100024,100002,100003,100017,100019,100021,100091	item103010111103	3	item108100101203	8		0		0		0	5	11	1	10	12	2	15	1	302060200005	30	2	2000	0	0		0	0	
303050200005	equip303050211005	5	3	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100041;100045;100047;100079;100006;100023;100002;100003;100017;100019;100021	100041,100045,100047,100079,100006,100023,100002,100003,100017,100019,100021,100085,100088,100094	item103010111103	3	item108100102103	8		0		0		0	5	11	1	10	12	2	15	1	303060200005	30	2	2000	0	0		0	0	
304050200005	equip304050211005	5	4	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100044;100045;100048;100075;100078;100006;100025;100027;100002;100003;100017;100019;100021	100044,100045,100048,100075,100078,100081,100006,100025,100027,100002,100003,100017,100019,100021,100090,100096	item103010111103	3	item108100101203	8		0		0		0	5	11	1	10	12	2	15	1	304060200005	30	2	2000	0	0		0	0	
305050200005	equip305050211005	5	5	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100043;100045;100049;100073;100006;100023;100025;100002;100003;100017;100019;100021	100043,100045,100049,100073,100080,100006,100023,100025,100002,100003,100017,100019,100021,100095	item103010111103	3	item108100101203	8		0		0		0	5	11	1	10	12	2	15	1	305060200005	30	2	2000	0	0		0	0	
306050200005	equip306050211005	5	6	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100040;100045;100050;100065;100066;100067;100004;100023;100027;100002;100003;100017;100019;100021	100040,100045,100050,100065,100066,100067,100004,100023,100027,100002,100003,100017,100019,100021,100086,100093	item103010111103	3	item108100101203	8		0		0		0	5	11	1	10	12	2	15	1	306060200005	30	2	2000	0	0		0	0	
301050200006	equip301050211006	6	1	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100051;100052;100053;100054;100069;100070;100005;100022;100026;100001;100016;100018;100020	100051,100052,100053,100054,100069,100070,100005,100022,100026,100001,100016,100018,100020	item103010111103	3	item108100102103	8		0		0		0	5	11	1	10	12	2	15	1	301060200006	30	2	2000	0	0		0	0	
302050200006	equip302050211006	6	2	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100042;100045;100046;100074;100004;100024;100002;100003;100017;100019;100021	100042,100045,100046,100074,100083,100004,100024,100002,100003,100017,100019,100021,100091	item103010111103	3	item108100101203	8		0		0		0	5	11	1	10	12	2	15	1	302060200006	30	2	2000	0	0		0	0	
303050200006	equip303050211006	6	3	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100041;100045;100047;100079;100006;100023;100002;100003;100017;100019;100021	100041,100045,100047,100079,100006,100023,100002,100003,100017,100019,100021,100085,100088,100094	item103010111103	3	item108100102103	8		0		0		0	5	11	1	10	12	2	15	1	303060200006	30	2	2000	0	0		0	0	
304050200006	equip304050211006	6	4	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100044;100045;100048;100075;100078;100006;100025;100027;100002;100003;100017;100019;100021	100044,100045,100048,100075,100078,100081,100006,100025,100027,100002,100003,100017,100019,100021,100090,100096	item103010111103	3	item108100101203	8		0		0		0	5	11	1	10	12	2	15	1	304060200006	30	2	2000	0	0		0	0	
305050200006	equip305050211006	6	5	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100043;100045;100049;100073;100006;100023;100025;100002;100003;100017;100019;100021	100043,100045,100049,100073,100080,100006,100023,100025,100002,100003,100017,100019,100021,100095	item103010111103	3	item108100101203	8		0		0		0	5	11	1	10	12	2	15	1	305060200006	30	2	2000	0	0		0	0	
306050200006	equip306050211006	6	6	50	165	165	331	331	372	414	469	522	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100040;100045;100050;100065;100066;100067;100004;100023;100027;100002;100003;100017;100019;100021	100040,100045,100050,100065,100066,100067,100004,100023,100027,100002,100003,100017,100019,100021,100086,100093	item103010111103	3	item108100101203	8		0		0		0	5	11	1	10	12	2	15	1	306060200006	30	2	2000	0	0		0	0	
307050200999	equip307050211999	0	7	50	180	180	360	360	405	450	494	549	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100055;100056;100072;100022;100024;100026;100001;100016;100018;100020	100055,100056,100072,100076,100082,100022,100024,100026,100001,100016,100018,100020	item103010111103	3	item108100102203	8		0		0		0	5	11	1	10	12	2	15	1	307060200999	30	2	2000	0	0		0	0	
308050200999	equip308050211999	0	8	50	180	180	360	360	405	450	494	549	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100057;100058;100004;100024;100027;100001;100016;100018;100020	100057,100058,100004,100024,100027,100001,100016,100018,100020,100087	item103010111103	3	item108100102203	8		0		0		0	5	11	1	10	12	2	15	1	308060200999	30	2	2000	0	0		0	0	
309050200999	equip309050211999	0	9	50	180	180	360	360	405	450	494	549	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100059;100060;100071;100005;100022;100025;100001;100016;100018;100020	100059,100060,100071,100077,100084,100005,100022,100025,100001,100016,100018,100020,100092	item103010111103	3	item108100102203	8		0		0		0	5	11	1	10	12	2	15	1	309060200999	30	2	2000	0	0		0	0	
310050200999	equip310050211999	0	10	50	180	180	360	360	405	450	494	549	1	50000	15	1	502001	503001	504001	10000	4000	1000	300	20	item103010131003,4	100061;100062;100063;100064;100005;100026;100001;100016;100018;100020	100061,100062,100063,100064,100005,100026,100001,100016,100018,100020,100089	item103010111103	3	item108100102203	8		0		0		0	5	11	1	10	12	2	15	1	310060200999	30	2	2000	0	0		0	0	
301060200001	equip301060211001	1	1	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100051;100052;100053;100054;100069;100005;100022;100026;100001;100016;100018;100020	100051,100052,100053,100054,100069,100005,100022,100026,100001,100016,100018,100020	item103010111104	3	item108100102104	8		0		0		0	5	11	1	10	12	2	15	1	301070200001	30	2	2000	0	0		0	0	
302060200001	equip302060211001	1	2	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100042;100045;100046;100074;100004;100024;100002;100003;100017;100019;100021	100042,100045,100046,100074,100083,100004,100024,100002,100003,100017,100019,100021,100091	item103010111104	3	item108100101204	8		0		0		0	5	11	1	10	12	2	15	1	302070200001	30	2	2000	0	0		0	0	
303060200001	equip303060211001	1	3	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100041;100045;100047;100079;100006;100023;100002;100003;100017;100019;100021	100041,100045,100047,100079,100006,100023,100002,100003,100017,100019,100021,100085,100088,100094	item103010111104	3	item108100102104	8		0		0		0	5	11	1	10	12	2	15	1	303070200001	30	2	2000	0	0		0	0	
304060200001	equip304060211001	1	4	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100044;100045;100048;100075;100078;100006;100025;100027;100002;100003;100017;100019;100021	100044,100045,100048,100075,100078,100081,100006,100025,100027,100002,100003,100017,100019,100021,100090,100096	item103010111104	3	item108100101204	8		0		0		0	5	11	1	10	12	2	15	1	304070200001	30	2	2000	0	0		0	0	
305060200001	equip305060211001	1	5	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100043;100045;100049;100073;100006;100023;100025;100002;100003;100017;100019;100021	100043,100045,100049,100073,100080,100006,100023,100025,100002,100003,100017,100019,100021,100095	item103010111104	3	item108100101204	8		0		0		0	5	11	1	10	12	2	15	1	305070200001	30	2	2000	0	0		0	0	
306060200001	equip306060211001	1	6	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100040;100045;100050;100065;100066;100067;100004;100023;100027;100002;100003;100017;100019;100021	100040,100045,100050,100065,100066,100067,100004,100023,100027,100002,100003,100017,100019,100021,100086,100093	item103010111104	3	item108100101204	8		0		0		0	5	11	1	10	12	2	15	1	306070200001	30	2	2000	0	0		0	0	
301060200002	equip301060211002	2	1	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100051;100052;100053;100054;100070;100005;100022;100026;100001;100016;100018;100020	100051,100052,100053,100054,100070,100005,100022,100026,100001,100016,100018,100020	item103010111104	3	item108100102104	8		0		0		0	5	11	1	10	12	2	15	1	301070200002	30	2	2000	0	0		0	0	
302060200002	equip302060211002	2	2	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100042;100045;100046;100074;100004;100024;100002;100003;100017;100019;100021	100042,100045,100046,100074,100083,100004,100024,100002,100003,100017,100019,100021,100091	item103010111104	3	item108100101204	8		0		0		0	5	11	1	10	12	2	15	1	302070200002	30	2	2000	0	0		0	0	
303060200002	equip303060211002	2	3	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100041;100045;100047;100079;100006;100023;100002;100003;100017;100019;100021	100041,100045,100047,100079,100006,100023,100002,100003,100017,100019,100021,100085,100088,100094	item103010111104	3	item108100102104	8		0		0		0	5	11	1	10	12	2	15	1	303070200002	30	2	2000	0	0		0	0	
304060200002	equip304060211002	2	4	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100044;100045;100048;100075;100078;100006;100025;100027;100002;100003;100017;100019;100021	100044,100045,100048,100075,100078,100081,100006,100025,100027,100002,100003,100017,100019,100021,100090,100096	item103010111104	3	item108100101204	8		0		0		0	5	11	1	10	12	2	15	1	304070200002	30	2	2000	0	0		0	0	
305060200002	equip305060211002	2	5	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100043;100045;100049;100073;100006;100023;100025;100002;100003;100017;100019;100021	100043,100045,100049,100073,100080,100006,100023,100025,100002,100003,100017,100019,100021,100095	item103010111104	3	item108100101204	8		0		0		0	5	11	1	10	12	2	15	1	305070200002	30	2	2000	0	0		0	0	
306060200002	equip306060211002	2	6	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100040;100045;100050;100065;100066;100067;100004;100023;100027;100002;100003;100017;100019;100021	100040,100045,100050,100065,100066,100067,100004,100023,100027,100002,100003,100017,100019,100021,100086,100093	item103010111104	3	item108100101204	8		0		0		0	5	11	1	10	12	2	15	1	306070200002	30	2	2000	0	0		0	0	
301060200003	equip301060211003	3	1	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100051;100052;100053;100054;100068;100005;100022;100026;100001;100016;100018;100020	100051,100052,100053,100054,100068,100005,100022,100026,100001,100016,100018,100020	item103010111104	3	item108100102104	8		0		0		0	5	11	1	10	12	2	15	1	301070200003	30	2	2000	0	0		0	0	
302060200003	equip302060211003	3	2	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100042;100045;100046;100074;100004;100024;100002;100003;100017;100019;100021	100042,100045,100046,100074,100083,100004,100024,100002,100003,100017,100019,100021,100091	item103010111104	3	item108100101204	8		0		0		0	5	11	1	10	12	2	15	1	302070200003	30	2	2000	0	0		0	0	
303060200003	equip303060211003	3	3	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100041;100045;100047;100079;100006;100023;100002;100003;100017;100019;100021	100041,100045,100047,100079,100006,100023,100002,100003,100017,100019,100021,100085,100088,100094	item103010111104	3	item108100102104	8		0		0		0	5	11	1	10	12	2	15	1	303070200003	30	2	2000	0	0		0	0	
304060200003	equip304060211003	3	4	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100044;100045;100048;100075;100078;100006;100025;100027;100002;100003;100017;100019;100021	100044,100045,100048,100075,100078,100081,100006,100025,100027,100002,100003,100017,100019,100021,100090,100096	item103010111104	3	item108100101204	8		0		0		0	5	11	1	10	12	2	15	1	304070200003	30	2	2000	0	0		0	0	
305060200003	equip305060211003	3	5	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100043;100045;100049;100073;100006;100023;100025;100002;100003;100017;100019;100021	100043,100045,100049,100073,100080,100006,100023,100025,100002,100003,100017,100019,100021,100095	item103010111104	3	item108100101204	8		0		0		0	5	11	1	10	12	2	15	1	305070200003	30	2	2000	0	0		0	0	
306060200003	equip306060211003	3	6	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100040;100045;100050;100065;100066;100067;100004;100023;100027;100002;100003;100017;100019;100021	100040,100045,100050,100065,100066,100067,100004,100023,100027,100002,100003,100017,100019,100021,100086,100093	item103010111104	3	item108100101204	8		0		0		0	5	11	1	10	12	2	15	1	306070200003	30	2	2000	0	0		0	0	
301060200004	equip301060211004	4	1	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100051;100052;100053;100054;100070;100005;100022;100026;100001;100016;100018;100020	100051,100052,100053,100054,100070,100005,100022,100026,100001,100016,100018,100020	item103010111104	3	item108100102104	8		0		0		0	5	11	1	10	12	2	15	1	301070200004	30	2	2000	0	0		0	0	
302060200004	equip302060211004	4	2	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100042;100045;100046;100074;100004;100024;100002;100003;100017;100019;100021	100042,100045,100046,100074,100083,100004,100024,100002,100003,100017,100019,100021,100091	item103010111104	3	item108100101204	8		0		0		0	5	11	1	10	12	2	15	1	302070200004	30	2	2000	0	0		0	0	
303060200004	equip303060211004	4	3	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100041;100045;100047;100079;100006;100023;100002;100003;100017;100019;100021	100041,100045,100047,100079,100006,100023,100002,100003,100017,100019,100021,100085,100088,100094	item103010111104	3	item108100102104	8		0		0		0	5	11	1	10	12	2	15	1	303070200004	30	2	2000	0	0		0	0	
304060200004	equip304060211004	4	4	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100044;100045;100048;100075;100078;100006;100025;100027;100002;100003;100017;100019;100021	100044,100045,100048,100075,100078,100081,100006,100025,100027,100002,100003,100017,100019,100021,100090,100096	item103010111104	3	item108100101204	8		0		0		0	5	11	1	10	12	2	15	1	304070200004	30	2	2000	0	0		0	0	
305060200004	equip305060211004	4	5	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100043;100045;100049;100073;100006;100023;100025;100002;100003;100017;100019;100021	100043,100045,100049,100073,100080,100006,100023,100025,100002,100003,100017,100019,100021,100095	item103010111104	3	item108100101204	8		0		0		0	5	11	1	10	12	2	15	1	305070200004	30	2	2000	0	0		0	0	
306060200004	equip306060211004	4	6	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100040;100045;100050;100065;100066;100067;100004;100023;100027;100002;100003;100017;100019;100021	100040,100045,100050,100065,100066,100067,100004,100023,100027,100002,100003,100017,100019,100021,100086,100093	item103010111104	3	item108100101204	8		0		0		0	5	11	1	10	12	2	15	1	306070200004	30	2	2000	0	0		0	0	
301060200005	equip301060211005	5	1	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100051;100052;100053;100054;100069;100070;100005;100022;100026;100001;100016;100018;100020	100051,100052,100053,100054,100069,100070,100005,100022,100026,100001,100016,100018,100020	item103010111104	3	item108100102104	8		0		0		0	5	11	1	10	12	2	15	1	301070200005	30	2	2000	0	0		0	0	
302060200005	equip302060211005	5	2	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100042;100045;100046;100074;100004;100024;100002;100003;100017;100019;100021	100042,100045,100046,100074,100083,100004,100024,100002,100003,100017,100019,100021,100091	item103010111104	3	item108100101204	8		0		0		0	5	11	1	10	12	2	15	1	302070200005	30	2	2000	0	0		0	0	
303060200005	equip303060211005	5	3	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100041;100045;100047;100079;100006;100023;100002;100003;100017;100019;100021	100041,100045,100047,100079,100006,100023,100002,100003,100017,100019,100021,100085,100088,100094	item103010111104	3	item108100102104	8		0		0		0	5	11	1	10	12	2	15	1	303070200005	30	2	2000	0	0		0	0	
304060200005	equip304060211005	5	4	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100044;100045;100048;100075;100078;100006;100025;100027;100002;100003;100017;100019;100021	100044,100045,100048,100075,100078,100081,100006,100025,100027,100002,100003,100017,100019,100021,100090,100096	item103010111104	3	item108100101204	8		0		0		0	5	11	1	10	12	2	15	1	304070200005	30	2	2000	0	0		0	0	
305060200005	equip305060211005	5	5	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100043;100045;100049;100073;100006;100023;100025;100002;100003;100017;100019;100021	100043,100045,100049,100073,100080,100006,100023,100025,100002,100003,100017,100019,100021,100095	item103010111104	3	item108100101204	8		0		0		0	5	11	1	10	12	2	15	1	305070200005	30	2	2000	0	0		0	0	
306060200005	equip306060211005	5	6	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100040;100045;100050;100065;100066;100067;100004;100023;100027;100002;100003;100017;100019;100021	100040,100045,100050,100065,100066,100067,100004,100023,100027,100002,100003,100017,100019,100021,100086,100093	item103010111104	3	item108100101204	8		0		0		0	5	11	1	10	12	2	15	1	306070200005	30	2	2000	0	0		0	0	
301060200006	equip301060211006	6	1	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100051;100052;100053;100054;100069;100070;100005;100022;100026;100001;100016;100018;100020	100051,100052,100053,100054,100069,100070,100005,100022,100026,100001,100016,100018,100020	item103010111104	3	item108100102104	8		0		0		0	5	11	1	10	12	2	15	1	301070200006	30	2	2000	0	0		0	0	
302060200006	equip302060211006	6	2	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100042;100045;100046;100074;100004;100024;100002;100003;100017;100019;100021	100042,100045,100046,100074,100083,100004,100024,100002,100003,100017,100019,100021,100091	item103010111104	3	item108100101204	8		0		0		0	5	11	1	10	12	2	15	1	302070200006	30	2	2000	0	0		0	0	
303060200006	equip303060211006	6	3	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100041;100045;100047;100079;100006;100023;100002;100003;100017;100019;100021	100041,100045,100047,100079,100006,100023,100002,100003,100017,100019,100021,100085,100088,100094	item103010111104	3	item108100102104	8		0		0		0	5	11	1	10	12	2	15	1	303070200006	30	2	2000	0	0		0	0	
304060200006	equip304060211006	6	4	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100044;100045;100048;100075;100078;100006;100025;100027;100002;100003;100017;100019;100021	100044,100045,100048,100075,100078,100081,100006,100025,100027,100002,100003,100017,100019,100021,100090,100096	item103010111104	3	item108100101204	8		0		0		0	5	11	1	10	12	2	15	1	304070200006	30	2	2000	0	0		0	0	
305060200006	equip305060211006	6	5	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100043;100045;100049;100073;100006;100023;100025;100002;100003;100017;100019;100021	100043,100045,100049,100073,100080,100006,100023,100025,100002,100003,100017,100019,100021,100095	item103010111104	3	item108100101204	8		0		0		0	5	11	1	10	12	2	15	1	305070200006	30	2	2000	0	0		0	0	
306060200006	equip306060211006	6	6	60	205	205	410	410	461	513	575	639	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100040;100045;100050;100065;100066;100067;100004;100023;100027;100002;100003;100017;100019;100021	100040,100045,100050,100065,100066,100067,100004,100023,100027,100002,100003,100017,100019,100021,100086,100093	item103010111104	3	item108100101204	8		0		0		0	5	11	1	10	12	2	15	1	306070200006	30	2	2000	0	0		0	0	
307060200999	equip307060211999	0	7	60	223	223	446	446	502	558	583	648	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100055;100056;100072;100022;100024;100026;100001;100016;100018;100020	100055,100056,100072,100076,100082,100022,100024,100026,100001,100016,100018,100020	item103010111104	3	item108100102204	8		0		0		0	5	11	1	10	12	2	15	1	307070200999	30	2	2000	0	0		0	0	
308060200999	equip308060211999	0	8	60	223	223	446	446	502	558	583	648	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100057;100058;100004;100024;100027;100001;100016;100018;100020	100057,100058,100004,100024,100027,100001,100016,100018,100020,100087	item103010111104	3	item108100102204	8		0		0		0	5	11	1	10	12	2	15	1	308070200999	30	2	2000	0	0		0	0	
309060200999	equip309060211999	0	9	60	223	223	446	446	502	558	583	648	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100059;100060;100071;100005;100022;100025;100001;100016;100018;100020	100059,100060,100071,100077,100084,100005,100022,100025,100001,100016,100018,100020,100092	item103010111104	3	item108100102204	8		0		0		0	5	11	1	10	12	2	15	1	309070200999	30	2	2000	0	0		0	0	
310060200999	equip310060211999	0	10	60	223	223	446	446	502	558	583	648	1	100000	15	1	602001	603001	604001	10000	4000	1000	409	27	item103010131003,5	100061;100062;100063;100064;100005;100026;100001;100016;100018;100020	100061,100062,100063,100064,100005,100026,100001,100016,100018,100020,100089	item103010111104	3	item108100102204	8		0		0		0	5	11	1	10	12	2	15	1	310070200999	30	2	2000	0	0		0	0	
301070200001	equip301070211001	1	1	70	244	244	489	489	550	612	664	738	1	100000	15	1	702001	703001	704001	10000	4000	1000	518	34	item103010131003,5	100051;100052;100053;100054;100069;100005;100022;100026;100001;100016;100018;100020	100051,100052,100053,100054,100069,100005,100022,100026,100001,100016,100018,100020	item103010111105	3	item108100102105	8		0		0		0	5	11	1	10	12	2	15	1	301080200001	30	2	2000	0	0		0	0	
302070200001	equip302070211001	1	2	70	244	244	489	489	550	612	664	738	1	100000	15	1	702001	703001	704001	10000	4000	1000	518	34	item103010131003,5	100042;100045;100046;100074;100004;100024;100002;100003;100017;100019;100021	100042,100045,100046,100074,100083,100004,100024,100002,100003,100017,100019,100021,100091	item103010111105	3	item108100101205	8		0		0		0	5	11	1	10	12	2	15	1	302080200001	30	2	2000	0	0		0	0	
303070200001	equip303070211001	1	3	70	244	244	489	489	550	612	664	738	1	100000	15	1	702001	703001	704001	10000	4000	1000	518	34	item103010131003,5	100041;100045;100047;100079;100006;100023;100002;100003;100017;100019;100021	100041,100045,100047,100079,100006,100023,100002,100003,100017,100019,100021,100085,100088,100094	item103010111105	3	item108100102105	8		0		0		0	5	11	1	10	12	2	15	1	303080200001	30	2	2000	0	0		0	0	
