宝图id	道具类型	掉落预览	奖励展示类型	奖励展示模型id	模型展示缩放	模型展示位置偏移	模型初始展示角度	展示语言包
item130000001286	2		1	fashion_101286	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000001386	2		1	fashion_101386	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000002186	2		1	fashion_102186	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000002286	2		1	fashion_102286	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000002386	2		1	fashion_102386	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000003186	2		1	fashion_103186	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000003286	2		1	fashion_103286	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000003386	2		1	fashion_103386	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000004186	2		1	fashion_104186	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000004286	2		1	fashion_104286	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000004386	2		1	fashion_104386	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000005186	2		1	fashion_105186	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000005286	2		1	fashion_105286	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000005386	2		1	fashion_105386	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000006186	2		1	fashion_106186	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000006286	2		1	fashion_106286	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000006386	2		1	fashion_106386	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000007186	2		1	fashion_107186	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000007286	2		1	fashion_107286	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000007386	2		1	fashion_107386	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000008186	2		1	fashion_108186	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000008286	2		1	fashion_108286	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000008386	2		1	fashion_108386	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000001187	2		1	fashion_101187	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000001287	2		1	fashion_101287	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000001387	2		1	fashion_101387	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000002187	2		1	fashion_102187	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000002287	2		1	fashion_102287	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000002387	2		1	fashion_102387	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000003187	2		1	fashion_103187	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000003287	2		1	fashion_103287	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000003387	2		1	fashion_103387	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000004187	2		1	fashion_104187	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000004287	2		1	fashion_104287	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000004387	2		1	fashion_104387	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000005187	2		1	fashion_105187	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000005287	2		1	fashion_105287	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000005387	2		1	fashion_105387	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000006187	2		1	fashion_106187	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000006287	2		1	fashion_106287	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000006387	2		1	fashion_106387	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000007187	2		1	fashion_107187	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000007287	2		1	fashion_107287	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000007387	2		1	fashion_107387	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000008187	2		1	fashion_108187	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000008287	2		1	fashion_108287	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000008387	2		1	fashion_108387	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000001188	2		1	fashion_101188	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000001288	2		1	fashion_101288	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000001388	2		1	fashion_101388	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000002188	2		1	fashion_102188	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000002288	2		1	fashion_102288	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000002388	2		1	fashion_102388	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000003188	2		1	fashion_103188	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000003288	2		1	fashion_103288	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000003388	2		1	fashion_103388	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000004188	2		1	fashion_104188	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000004288	2		1	fashion_104288	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000004388	2		1	fashion_104388	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000005188	2		1	fashion_105188	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000005288	2		1	fashion_105288	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000005388	2		1	fashion_105388	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000006188	2		1	fashion_106188	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000006288	2		1	fashion_106288	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000006388	2		1	fashion_106388	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000007188	2		1	fashion_107188	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000007288	2		1	fashion_107288	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000007388	2		1	fashion_107388	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000008188	2		1	fashion_108188	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000008288	2		1	fashion_108288	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000008388	2		1	fashion_108388	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000001189	2		1	fashion_101189	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000001289	2		1	fashion_101289	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000001389	2		1	fashion_101389	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000002189	2		1	fashion_102189	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000002289	2		1	fashion_102289	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000002389	2		1	fashion_102389	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000003189	2		1	fashion_103189	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000003289	2		1	fashion_103289	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000003389	2		1	fashion_103389	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000004189	2		1	fashion_104189	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000004289	2		1	fashion_104289	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000004389	2		1	fashion_104389	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000005189	2		1	fashion_105189	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000005289	2		1	fashion_105289	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000005389	2		1	fashion_105389	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000006189	2		1	fashion_106189	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000006289	2		1	fashion_106289	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000006389	2		1	fashion_106389	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000007189	2		1	fashion_107189	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000007289	2		1	fashion_107289	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000007389	2		1	fashion_107389	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000008189	2		1	fashion_108189	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000008289	2		1	fashion_108289	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000008389	2		1	fashion_108389	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000001190	2		1	fashion_101190	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000001290	2		1	fashion_101290	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000001390	2		1	fashion_101390	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000002190	2		1	fashion_102190	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000002290	2		1	fashion_102290	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000002390	2		1	fashion_102390	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000003190	2		1	fashion_103190	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000003290	2		1	fashion_103290	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000003390	2		1	fashion_103390	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000004190	2		1	fashion_104190	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000004290	2		1	fashion_104290	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000004390	2		1	fashion_104390	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000005190	2		1	fashion_105190	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000005290	2		1	fashion_105290	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000005390	2		1	fashion_105390	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000006190	2		1	fashion_106190	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000006290	2		1	fashion_106290	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000006390	2		1	fashion_106390	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000007190	2		1	fashion_107190	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000007290	2		1	fashion_107290	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000007390	2		1	fashion_107390	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000008190	2		1	fashion_108190	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000008290	2		1	fashion_108290	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000008390	2		1	fashion_108390	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000101191	2		1	fashion_101191	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000101291	2		1	fashion_101291	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000101391	2		1	fashion_101391	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000102191	2		1	fashion_102191	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000102291	2		1	fashion_102291	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000102391	2		1	fashion_102391	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000103191	2		1	fashion_103191	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000103291	2		1	fashion_103291	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000103391	2		1	fashion_103391	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000104191	2		1	fashion_104191	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000104291	2		1	fashion_104291	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000104391	2		1	fashion_104391	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000105191	2		1	fashion_105191	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000105291	2		1	fashion_105291	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000105391	2		1	fashion_105391	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000106191	2		1	fashion_106191	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000106291	2		1	fashion_106291	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000106391	2		1	fashion_106391	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000107191	2		1	fashion_107191	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000107291	2		1	fashion_107291	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000107391	2		1	fashion_107391	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000108191	2		1	fashion_108191	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000108291	2		1	fashion_108291	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000108391	2		1	fashion_108391	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000001192	2		1	fashion_101192	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000001292	2		1	fashion_101292	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000001392	2		1	fashion_101392	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000002192	2		1	fashion_102192	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000002292	2		1	fashion_102292	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000002392	2		1	fashion_102392	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000003192	2		1	fashion_103192	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000003292	2		1	fashion_103292	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000003392	2		1	fashion_103392	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000004192	2		1	fashion_104192	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000004292	2		1	fashion_104292	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000004392	2		1	fashion_104392	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000005192	2		1	fashion_105192	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000005292	2		1	fashion_105292	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000005392	2		1	fashion_105392	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000006192	2		1	fashion_106192	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000006292	2		1	fashion_106292	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000006392	2		1	fashion_106392	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000007192	2		1	fashion_107192	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000007292	2		1	fashion_107292	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000007392	2		1	fashion_107392	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000008192	2		1	fashion_108192	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000008292	2		1	fashion_108292	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000008392	2		1	fashion_108392	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000101193	2		1	fashion_101193	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000101293	2		1	fashion_101293	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000101393	2		1	fashion_101393	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000102193	2		1	fashion_102193	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000102293	2		1	fashion_102293	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000102393	2		1	fashion_102393	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000103193	2		1	fashion_103193	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000103293	2		1	fashion_103293	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000103393	2		1	fashion_103393	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000104193	2		1	fashion_104193	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000104293	2		1	fashion_104293	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000104393	2		1	fashion_104393	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000105193	2		1	fashion_105193	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000105293	2		1	fashion_105293	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000105393	2		1	fashion_105393	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000106193	2		1	fashion_106193	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000106293	2		1	fashion_106293	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000106393	2		1	fashion_106393	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000107193	2		1	fashion_107193	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000107293	2		1	fashion_107293	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000107393	2		1	fashion_107393	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000108193	2		1	fashion_108193	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000108293	2		1	fashion_108293	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000108393	2		1	fashion_108393	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000101294	2		1	fashion_101294	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000101394	2		1	fashion_101394	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000102294	2		1	fashion_102294	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000102394	2		1	fashion_102394	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000103294	2		1	fashion_103294	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000103394	2		1	fashion_103394	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000104294	2		1	fashion_104294	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000104394	2		1	fashion_104394	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000105294	2		1	fashion_105294	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000105394	2		1	fashion_105394	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000106294	2		1	fashion_106294	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000106394	2		1	fashion_106394	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000107294	2		1	fashion_107294	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000107394	2		1	fashion_107394	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000108294	2		1	fashion_108294	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000108394	2		1	fashion_108394	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000101195	2		1	fashion_101195	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000101295	2		1	fashion_101295	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000101395	2		1	fashion_101395	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000102195	2		1	fashion_102195	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000102295	2		1	fashion_102295	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000102395	2		1	fashion_102395	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000103195	2		1	fashion_103195	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000103295	2		1	fashion_103295	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000103395	2		1	fashion_103395	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000104195	2		1	fashion_104195	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000104295	2		1	fashion_104295	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000104395	2		1	fashion_104395	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000105195	2		1	fashion_105195	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000105295	2		1	fashion_105295	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000105395	2		1	fashion_105395	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000106195	2		1	fashion_106195	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000106295	2		1	fashion_106295	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000106395	2		1	fashion_106395	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000107195	2		1	fashion_107195	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000107295	2		1	fashion_107295	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000107395	2		1	fashion_107395	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000108195	2		1	fashion_108195	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000108295	2		1	fashion_108295	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000108395	2		1	fashion_108395	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000101196	2		1	fashion_101196	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000101296	2		1	fashion_101296	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000101396	2		1	fashion_101396	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000102196	2		1	fashion_102196	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000102296	2		1	fashion_102296	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000102396	2		1	fashion_102396	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000103196	2		1	fashion_103196	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000103296	2		1	fashion_103296	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000103396	2		1	fashion_103396	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000104196	2		1	fashion_104196	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000104296	2		1	fashion_104296	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000104396	2		1	fashion_104396	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000105196	2		1	fashion_105196	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000105296	2		1	fashion_105296	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000105396	2		1	fashion_105396	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000106196	2		1	fashion_106196	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000106296	2		1	fashion_106296	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000106396	2		1	fashion_106396	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000107196	2		1	fashion_107196	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000107296	2		1	fashion_107296	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000107396	2		1	fashion_107396	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000108196	2		1	fashion_108196	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000108296	2		1	fashion_108296	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000108396	2		1	fashion_108396	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000101197	2		1	fashion_101197	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000101297	2		1	fashion_101297	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000101397	2		1	fashion_101397	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000102197	2		1	fashion_102197	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000102297	2		1	fashion_102297	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000102397	2		1	fashion_102397	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000103197	2		1	fashion_103197	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000103297	2		1	fashion_103297	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000103397	2		1	fashion_103397	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000104197	2		1	fashion_104197	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000104297	2		1	fashion_104297	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000104397	2		1	fashion_104397	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000105197	2		1	fashion_105197	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000105297	2		1	fashion_105297	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000105397	2		1	fashion_105397	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000106197	2		1	fashion_106197	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000106297	2		1	fashion_106297	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000106397	2		1	fashion_106397	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000107197	2		1	fashion_107197	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000107297	2		1	fashion_107297	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000107397	2		1	fashion_107397	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000108197	2		1	fashion_108197	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000108297	2		1	fashion_108297	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000108397	2		1	fashion_108397	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000101198	2		1	fashion_101198	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000101298	2		1	fashion_101298	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000101398	2		1	fashion_101398	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000102198	2		1	fashion_102198	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000102298	2		1	fashion_102298	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000102398	2		1	fashion_102398	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000103198	2		1	fashion_103198	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000103298	2		1	fashion_103298	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000103398	2		1	fashion_103398	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000104198	2		1	fashion_104198	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
item130000104298	2		1	fashion_104298	1.350000	0,-0.5	180	UI_TreasureMap_TipsTittle
