签到期数ID	第1天奖励	第2天奖励	第3天奖励	第4天奖励	第5天奖励	第6天奖励	第7天奖励	第8天奖励	第9天奖励	第10天奖励	第11天奖励	第12天奖励	第13天奖励	第14天奖励	第15天奖励	第16天奖励	第17天奖励	第18天奖励	第19天奖励	第20天奖励	第21天奖励	第22天奖励	第23天奖励	第24天奖励	第25天奖励	第26天奖励	第27天奖励	第28天奖励	第29天奖励	第30天奖励	累计第1个宝箱奖励	累计第1个宝箱奖励	累计第2个宝箱奖励	累计第2个宝箱奖励	累计第3个宝箱奖励	累计第3个宝箱奖励	累计第4个宝箱奖励	累计第4个宝箱奖励	累计第5个宝箱奖励	累计第5个宝箱奖励	累计第6个宝箱奖励	累计第6个宝箱奖励
35	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
36	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
37	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
38	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
39	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
40	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
41	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
42	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
43	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
44	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
45	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
46	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
47	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
48	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
49	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
50	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
51	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
52	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
53	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
54	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
55	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
56	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
57	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
58	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
59	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
60	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
61	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
62	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
63	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
64	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
65	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
66	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
67	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
68	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
69	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
70	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
