流水	按钮显示功能	功能名	功能开启条件	组内排序	是否生效	链接命令	链接参数
340	447	Elemental_Equip_Advanced	522	0	1		
341	448	Elemental_Equip_Refine	522	0	1		
342	449	Bag_Itemtips_Use	522	0	1	LinkUI	
343	450	Bag_Itemtips_Use	520	0	1	LinkUI	ElementalSpiritMainPanel
344	451	Bag_Itemtips_Use	520	0	1	LinkUI	ElementalSpiritMainPanel
345	452	Bag_Itemtips_EmblemInlay	523	0	1		
346	453	Bag_Itemtips_EnvoyEquipUnuse	523	0	1		
347	454	Bag_Itemtips_SoulMedal_Upgrade	523	0	1		
348	455	Bag_Itemtips_SoulMedal_Dismantling	523	0	1		
349	456	Bag_Itemtips_EnvoyEquipBapTize	523	0	1		
350	457	Bag_Itemtips_Exchange	525	0	1	LinkUI	TradingPanel;3;935
351	458	Bag_Itemtips_Use	523	0	1	LinkUI	ShopPanel;936
352	459	Bag_Itemtips_Use	523	0	1	LinkUI	ElementalSpiritMainPanel;3
353	460	Bag_Itemtips_Use	522	0	1	LinkUI	ElementalSpiritMainPanel;2
