流水号	主任务ID	子任务序号	子任务类型	行为类型	替换bgm	目标对象	目标线索	行为目标	战力限制	目的地提示	是否显示Content	是否显示战斗标志	目标场景	行为场景	目标坐标	是否启用停止范围	寻路停止范围	触发类型	长、宽、旋转	触发范围	需求数量	提交NPC	提交场景	提交npc坐标	自动提交任务	自动继续	完成提示显示	完成特效提示	判断进度条显示	是否显示流光特效	任务栏显示奖励掉落包	奖励显示	任务道具奖励	世界任务灰色数值奖励	世界任务灰色道具奖励	世界任务超出数量奖励	是否可放弃	显示图片	失败条件类型	失败条件参数	进行中标题	进行中内容	进行中故事	提交时标题	提交时内容	提示时故事	触发引导ID	任务邮件	隔天任务邮件	是否为界面内的	是否记录任务进度
147	129160	0	57	5	0			LinkCmd:OnWorldTaskAnswerPanelOpen	0		1		9	9	-17.8,-2.0,-41.1	1	0	0		3.000000	3		9		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName129160	ExecuteTaskContent129160	ExecuteTaskStory129160								0
148	129170	0	25	6	0	129170,0		-42.4,8.0,7.5,31,icon_dianran,InteractiveFire1	0				9	9	-42.4,8.0,7.5	0	0	0		3.000000	1		9		0	0	1	1	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName129170	ExecuteTaskContent129170	ExecuteTaskStory129170								0
149	129180	0	2	2	0	monster10008001		monster10008001	0		1	1	9	9	-5.9,1.6,-15.3	0	0	0		13.000000	10		9		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName129180	ExecuteTaskContent129180	ExecuteTaskStory129180								0
150	129190	0	1	1	0	npc_10290		npc_10290	0				9	9	11.8,1.6,-15.3	0	0	0		3.000000	1	npc_10290	9	11.8,1.6,-15.3	0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName129190	ExecuteTaskContent129190	ExecuteTaskStory129190	SubmitTaskName129190	SubmitTaskContent129190	SubmitTaskStory129190					0
151	129200	0	2	2	0	monster11008011		monster11008011	0		1	1	9	9	-7.9,4.0,49.1	0	0	0		13.000000	1		9		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName129200	ExecuteTaskContent129200	ExecuteTaskStory129200								0
152	129210	0	2	2	0	monster11008012		monster11008012	0		1	1	9	9	15.1,1.6,-44.2	0	0	0		13.000000	1		9		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName129210	ExecuteTaskContent129210	ExecuteTaskStory129210								0
153	129220	0	2	2	0	monster10008002		monster10008002	0		1	1	9	9	-13.8,8.6,-2.3	0	0	0		13.000000	10		9		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName129220	ExecuteTaskContent129220	ExecuteTaskStory129220								0
154	129230	0	25	6	0	129230,0		-24.4,-0.4,-26.3,19,icon_clean,InteractiveClean	0				9	9	-24.4,-0.4,-26.3	0	0	0		3.000000	1		9		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName129230	ExecuteTaskContent129230	ExecuteTaskStory129230								0
155	130010	0	2	2	0	monster10109003		monster10109003	0		1	1	37	37	-3.7, 2.6, -12.5	0	0	0		13.000000	1		37		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName130010	ExecuteTaskContent130010	ExecuteTaskStory130010								0
156	130020	0	2	2	0	monster10109001		monster10109001	0		1	1	37	37	16.0, 2.6, 24.2	0	0	0		13.000000	1		37		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName130020	ExecuteTaskContent130020	ExecuteTaskStory130020								0
157	130030	0	2	2	0	monster10109004		monster10109004	0		1	1	37	37	22.3, 2.6, 108.8	0	0	0		13.000000	8		37		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName130030	ExecuteTaskContent130030	ExecuteTaskStory130030								0
158	130040	0	2	2	0	monster10109005		monster10109005	0		1	1	37	37	-29.4, 5.3, 65.6	0	0	0		13.000000	8		37		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName130040	ExecuteTaskContent130040	ExecuteTaskStory130040								0
159	130050	0	2	2	0	monster10109007		monster10109007	0		1	1	37	37	-22.5, 3.9, -71.3	0	0	0		13.000000	8		37		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName130050	ExecuteTaskContent130050	ExecuteTaskStory130050								0
160	130060	0	2	2	0	monster10109008		monster10109008	0		1	1	37	37	86.6, 2.6, 35.2	0	0	0		13.000000	10		37		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName130060	ExecuteTaskContent130060	ExecuteTaskStory130060								0
161	130070	0	1	1	0	npc_109020		npc_109020	0				37	37	11.8, 2.6, 0.5	0	0	0		3.000000	1	npc_109020	37	11.8, 2.6, 0.5	0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName130070	ExecuteTaskContent130070	ExecuteTaskStory130070	SubmitTaskName130070	SubmitTaskContent130070	SubmitTaskStory130070					0
162	130080	0	1	1	0	npc_109019		npc_109019	0				37	37	-34.8, 3.8, 31.9	0	0	0		3.000000	1	npc_109019	37	-34.8, 3.8, 31.9	0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName130080	ExecuteTaskContent130080	ExecuteTaskStory130080	SubmitTaskName130080	SubmitTaskContent130080	SubmitTaskStory130080					0
163	130090	0	25	6	0	130090,0		79.1, 2.6, 23.1,19,icon_clean,InteractiveClean	0				37	37	79.1, 2.6, 23.1	0	0	0		3.000000	1		37		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName130090	ExecuteTaskContent130090	ExecuteTaskStory130090								0
164	130100	0	57	5	0			LinkCmd:OnWorldTaskAnswerPanelOpen	0		1		37	37	54, 2.6, -4.6	1	0	0		3.000000	3		37		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName130100	ExecuteTaskContent130100	ExecuteTaskStory130100								0
165	130110	0	2	2	0	monster10110001		monster10110001	0		1	1	18	18	62.3, 57.7, -59.7	0	0	0		13.000000	1		18		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName130110	ExecuteTaskContent130110	ExecuteTaskStory130110								0
166	130120	0	2	2	0	monster10110002		monster10110002	0		1	1	18	18	80.1, 60.0, 34.9	0	0	0		13.000000	1		18		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName130120	ExecuteTaskContent130120	ExecuteTaskStory130120								0
167	130130	0	25	6	0	130130,0		25.0,63.9,63.6,9,icon_jianqi,InteractivePray	0				18	18	25.0,63.9,63.6	0	0	0		3.000000	1		18		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName130130	ExecuteTaskContent130130	ExecuteTaskStory130130								0
168	130140	0	25	6	0	130140,0		-30.8,54.9,-16.8,19,icon_clean,InteractiveClean	0				18	18	-30.8,54.9,-16.8	0	0	0		3.000000	1		18		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName130140	ExecuteTaskContent130140	ExecuteTaskStory130140								0
169	130150	0	57	5	0			LinkCmd:OnWorldTaskAnswerPanelOpen	0		1		18	18	-13.0, 57.9, 87.3	1	0	0		3.000000	3		18		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName130150	ExecuteTaskContent130150	ExecuteTaskStory130150								0
170	130160	0	2	2	0	monster10110003		monster10110003	0		1	1	18	18	-49.5, 56.9, 32.1	0	0	0		13.000000	10		18		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName130160	ExecuteTaskContent130160	ExecuteTaskStory130160								0
171	130170	0	2	2	0	monster10110004		monster10110004	0		1	1	18	18	39.1, 60.0, -15.1	0	0	0		13.000000	10		18		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName130170	ExecuteTaskContent130170	ExecuteTaskStory130170								0
172	130180	0	2	2	0	monster10110005		monster10110005	0		1	1	18	18	49.3, 59.4, 26.4	0	0	0		13.000000	10		18		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName130180	ExecuteTaskContent130180	ExecuteTaskStory130180								0
173	130190	0	2	2	0	monster10110006		monster10110006	0		1	1	18	18	-32.8, 51.5, -58.3	0	0	0		13.000000	10		18		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName130190	ExecuteTaskContent130190	ExecuteTaskStory130190								0
174	130200	0	2	2	0	monster10110007		monster10110007	0		1	1	18	18	13.8, 61.1, 40.9	0	0	0		13.000000	10		18		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName130200	ExecuteTaskContent130200	ExecuteTaskStory130200								0
175	151010	0	2	2	0	monster10002002		monster10002002	0		1		1	1	-15.9,-0.5,61.4	0	0	0		0.000000	15		-1		0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151010	ExecuteTaskContent151010	ExecuteTaskStory151010								0
176	151020	0	2	2	0	monster10002003		monster10002003	0		1		1	1	-8.6,-0.4,16.9	0	0	0		0.000000	15		-1		0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151020	ExecuteTaskContent151020	ExecuteTaskStory151020								0
177	151030	0	2	2	0	monster10002005		monster10002005	0		1		1	1	21.9,-0.4,-4.3	0	0	0		0.000000	15		-1		0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151030	ExecuteTaskContent151030	ExecuteTaskStory151030								0
178	151040	0	2	2	0	monster10002008		monster10002008	0		1		1	1	40.7,-5.1,-49.2	0	0	0		0.000000	15		-1		0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151040	ExecuteTaskContent151040	ExecuteTaskStory151040								0
179	151050	0	2	2	0	monster10002009		monster10002009	0		1		1	1	27.3, -5.2, -56.9	0	0	0		0.000000	1		-1		0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151050	ExecuteTaskContent151050	ExecuteTaskStory151050								0
180	151110	0	2	2	0	monster10003004		monster10003004	0		1		3	3	12.4,0.2,-1.4	0	0	0		0.000000	15		-1		0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151110	ExecuteTaskContent151110	ExecuteTaskStory151110								0
181	151120	0	2	2	0	monster10003005		monster10003005	0		1		3	3	-6.6,0.4,8.1	0	0	0		0.000000	15		-1		0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151120	ExecuteTaskContent151120	ExecuteTaskStory151120								0
182	151130	0	2	2	0	monster10003009		monster10003009	0		1		3	3	5.4,0.2,31.1	0	0	0		0.000000	15		-1		0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151130	ExecuteTaskContent151130	ExecuteTaskStory151130								0
183	151140	0	2	2	0	monster10003010		monster10003010	0		1		3	3	-1.1,0.6,44.4	0	0	0		0.000000	15		-1		0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151140	ExecuteTaskContent151140	ExecuteTaskStory151140								0
184	151150	0	2	2	0	monster10003011		monster10003011	0		1		3	3	-4.7,0.4,7.6	0	0	0		0.000000	1		-1		0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151150	ExecuteTaskContent151150	ExecuteTaskStory151150								0
185	151310	0	25	6	0	151310,0		-19.6,4.1,12.4,8,icon_caiji,InteractiveSearch	0				40	40	-19.6,4.1,12.4	0	0	0		2.000000	1		-1		0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151310	ExecuteTaskContent151310	ExecuteTaskStory151310								0
186	151320	0	25	6	0	151320,0		-32.6,1.1,-3.9,17,icon_read,InteractiveRead	0				40	40	-32.6,1.1,-3.9	0	0	0		2.000000	1		-1		0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151320	ExecuteTaskContent151320	ExecuteTaskStory151320								0
187	151330	0	25	6	0	151330,0		-10.4,1.7,34.3,18,icon_water,InteractiveWater	0				40	40	-10.4,1.7,34.3	0	0	0		2.000000	1		-1		0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151330	ExecuteTaskContent151330	ExecuteTaskStory151330								0
188	151340	0	25	6	0	151340,0		-5.6,-0.4,-32.9,19,icon_clean,InteractiveClean	0				40	40	-5.6,-0.4,-32.9	0	0	0		2.000000	1		-1		0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151340	ExecuteTaskContent151340	ExecuteTaskStory151340								0
189	151350	0	25	6	0	151350,0		15.9,-1.1,-34.2,20,icon_arrange,InteractiveArrange	0				40	40	15.9,-1.1,-34.2	0	0	0		2.000000	1		-1		0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151350	ExecuteTaskContent151350	ExecuteTaskStory151350								0
190	151410	0	29	5	0	item102010111001		LinkUI:TradingPanel;0;1;3;2;item102010111001	0				0	0		0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151410	ExecuteTaskContent151410	ExecuteTaskStory151410	SubmitTaskName151410	SubmitTaskContent151410	SubmitTaskStory151410					0
191	151420	0	29	5	0	item102010211001		LinkUI:TradingPanel;0;1;3;2;item102010211001	0				0	0		0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151420	ExecuteTaskContent151420	ExecuteTaskStory151420	SubmitTaskName151420	SubmitTaskContent151420	SubmitTaskStory151420					0
192	151430	0	29	5	0	item103010111000		LinkUI:TradingPanel;0;1;3;2;item103010111000	0				0	0		0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151430	ExecuteTaskContent151430	ExecuteTaskStory151430	SubmitTaskName151430	SubmitTaskContent151430	SubmitTaskStory151430					0
193	151440	0	29	5	0	item103010211001		LinkUI:TradingPanel;0;1;3;2;item103010211001	0				0	0		0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151440	ExecuteTaskContent151440	ExecuteTaskStory151440	SubmitTaskName151440	SubmitTaskContent151440	SubmitTaskStory151440					0
194	151450	0	29	1	0	equip301010111001		npc_10039	0				2	2	-19.2,0.0,2.8	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151450	ExecuteTaskContent151450	ExecuteTaskStory151450	SubmitTaskName151450	SubmitTaskContent151450	SubmitTaskStory151450					0
195	151460	0	29	1	0	equip301010111002		npc_10039	0				2	2	-19.2,0.0,2.8	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151460	ExecuteTaskContent151460	ExecuteTaskStory151460	SubmitTaskName151460	SubmitTaskContent151460	SubmitTaskStory151460					0
196	151470	0	29	1	0	equip301010111003		npc_10039	0				2	2	-19.2,0.0,2.8	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151470	ExecuteTaskContent151470	ExecuteTaskStory151470	SubmitTaskName151470	SubmitTaskContent151470	SubmitTaskStory151470					0
197	151480	0	29	1	0	equip301010111004		npc_10039	0				2	2	-19.2,0.0,2.8	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151480	ExecuteTaskContent151480	ExecuteTaskStory151480	SubmitTaskName151480	SubmitTaskContent151480	SubmitTaskStory151480					0
198	151490	0	29	1	0	equip301010111005		npc_10039	0				2	2	-19.2,0.0,2.8	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151490	ExecuteTaskContent151490	ExecuteTaskStory151490	SubmitTaskName151490	SubmitTaskContent151490	SubmitTaskStory151490					0
199	151500	0	29	1	0	equip302010111001		npc_10040	0				2	2	-23.3,0.0,-2.5	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151500	ExecuteTaskContent151500	ExecuteTaskStory151500	SubmitTaskName151500	SubmitTaskContent151500	SubmitTaskStory151500					0
200	151510	0	29	1	0	equip302010111002		npc_10040	0				2	2	-23.3,0.0,-2.5	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151510	ExecuteTaskContent151510	ExecuteTaskStory151510	SubmitTaskName151510	SubmitTaskContent151510	SubmitTaskStory151510					0
201	151520	0	29	1	0	equip305010111003		npc_10040	0				2	2	-23.3,0.0,-2.5	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151520	ExecuteTaskContent151520	ExecuteTaskStory151520	SubmitTaskName151520	SubmitTaskContent151520	SubmitTaskStory151520					0
202	151530	0	29	1	0	equip304010111004		npc_10040	0				2	2	-23.3,0.0,-2.5	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151530	ExecuteTaskContent151530	ExecuteTaskStory151530	SubmitTaskName151530	SubmitTaskContent151530	SubmitTaskStory151530					0
203	151540	0	29	1	0	equip306010111005		npc_10040	0				2	2	-23.3,0.0,-2.5	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,36000;item1003,40;item4001,1600	item1000,36000;item1003,40;item4001,1				1				ExecuteTaskName151540	ExecuteTaskContent151540	ExecuteTaskStory151540	SubmitTaskName151540	SubmitTaskContent151540	SubmitTaskStory151540					0
204	151610	0	29	5	0	item108100101101		LinkUI:TradingPanel;1;0;item108100101101	0				0	0		0	0	0		0.000000	2	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName151610	ExecuteTaskContent151610	ExecuteTaskStory151610	SubmitTaskName151610	SubmitTaskContent151610	SubmitTaskStory151610					0
205	151620	0	29	5	0	item108100101201		LinkUI:TradingPanel;1;0;item108100101201	0				0	0		0	0	0		0.000000	2	npc_10003	1	-34.6,1.6,6.5	0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName151620	ExecuteTaskContent151620	ExecuteTaskStory151620	SubmitTaskName151620	SubmitTaskContent151620	SubmitTaskStory151620					0
206	151630	0	29	5	0	item108100102101		LinkUI:TradingPanel;1;0;item108100102101	0				0	0		0	0	0		0.000000	2	npc_10007	1	-46.9,1.6,-7.6	0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName151630	ExecuteTaskContent151630	ExecuteTaskStory151630	SubmitTaskName151630	SubmitTaskContent151630	SubmitTaskStory151630					0
207	151640	0	29	5	0	item108100102201		LinkUI:TradingPanel;1;0;item108100102201	0				0	0		0	0	0		0.000000	2	npc_10011	1	-0.6,1.3,28.4	0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName151640	ExecuteTaskContent151640	ExecuteTaskStory151640	SubmitTaskName151640	SubmitTaskContent151640	SubmitTaskStory151640					0
208	151650	0	29	5	0	item108100103351		LinkUI:TradingPanel;1;0;item108100103351	0				0	0		0	0	0		0.000000	2	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName151650	ExecuteTaskContent151650	ExecuteTaskStory151650	SubmitTaskName151650	SubmitTaskContent151650	SubmitTaskStory151650					0
209	151660	0	29	5	0	item108100103151		LinkUI:TradingPanel;1;0;item108100103151	0				0	0		0	0	0		0.000000	2	npc_forging_001	2	12.9,0.0,-11.9	0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName151660	ExecuteTaskContent151660	ExecuteTaskStory151660	SubmitTaskName151660	SubmitTaskContent151660	SubmitTaskStory151660					0
210	151670	0	29	5	0	item108100103251		LinkUI:TradingPanel;1;0;item108100103251	0				0	0		0	0	0		0.000000	2	npc_forging_001	2	12.9,0.0,-11.9	0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName151670	ExecuteTaskContent151670	ExecuteTaskStory151670	SubmitTaskName151670	SubmitTaskContent151670	SubmitTaskStory151670					0
211	151680	0	29	5	0	item108100103051		LinkUI:TradingPanel;1;0;item108100103051	0				0	0		0	0	0		0.000000	2	npc_forging_001	2	12.9,0.0,-11.9	0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName151680	ExecuteTaskContent151680	ExecuteTaskStory151680	SubmitTaskName151680	SubmitTaskContent151680	SubmitTaskStory151680					0
212	151710	0	29	5	0	item108100101102		LinkUI:TradingPanel;1;0;BuyTaskItem;item108100101102;3	0				0	0		0	0	0		0.000000	3	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName151710	ExecuteTaskContent151710	ExecuteTaskStory151710	SubmitTaskName151710	SubmitTaskContent151710	SubmitTaskStory151710					0
213	151720	0	29	5	0	item108100101202		LinkUI:TradingPanel;1;0;BuyTaskItem;item108100101202;3	0				0	0		0	0	0		0.000000	3	npc_10023	3	-21.0,0.8,31.4	0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName151720	ExecuteTaskContent151720	ExecuteTaskStory151720	SubmitTaskName151720	SubmitTaskContent151720	SubmitTaskStory151720					0
214	151730	0	29	5	0	item108100102102		LinkUI:TradingPanel;1;0;BuyTaskItem;item108100102102;3	0				0	0		0	0	0		0.000000	3	npc_10026	3	15.6,2.8,-42.4	0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName151730	ExecuteTaskContent151730	ExecuteTaskStory151730	SubmitTaskName151730	SubmitTaskContent151730	SubmitTaskStory151730					0
215	151740	0	29	5	0	item108100102202		LinkUI:TradingPanel;1;0;BuyTaskItem;item108100102202;3	0				0	0		0	0	0		0.000000	3	npc_10025	3	-33.2,0.2,-35.8	0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName151740	ExecuteTaskContent151740	ExecuteTaskStory151740	SubmitTaskName151740	SubmitTaskContent151740	SubmitTaskStory151740					0
216	152010	0	2	2	0	monster10004011		monster10004011	0		1		4	4	8.5,6.9,33.2	0	0	0		0.000000	15		-1		0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName152010	ExecuteTaskContent152010	ExecuteTaskStory152010								0
217	152020	0	2	2	0	monster10004008		monster10004008	0		1		4	4	-24.8,3.7,-46.6	0	0	0		0.000000	15		-1		0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName152020	ExecuteTaskContent152020	ExecuteTaskStory152020								0
218	152030	0	2	2	0	monster10004004		monster10004004	0		1		4	4	30.1,4.8,-52.8	0	0	0		0.000000	15		-1		0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName152030	ExecuteTaskContent152030	ExecuteTaskStory152030								0
219	152040	0	2	2	0	monster10004006		monster10004006	0		1		4	4	-37.3,10.6,-83.3	0	0	0		0.000000	15		-1		0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName152040	ExecuteTaskContent152040	ExecuteTaskStory152040								0
220	152050	0	2	2	0	monster10004007		monster10004007	0		1		4	4	-51.1,10.7,-90.8	0	0	0		0.000000	1		-1		0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName152050	ExecuteTaskContent152050	ExecuteTaskStory152050								0
