流水ID	NPC	等级	经验	阶段文本	相识历程文本	比较喜欢礼物	喜欢礼物	邮件回礼奖励	谢礼文本	每日好感交互类型	交互增加好感度	每日好感度上限	羁绊类型	羁绊效果	羁绊名称	羁绊说明
114	npc_10034	3	8000	Relationship_Name_3	Relationship_Des_3	item107999900001;item107999900002;item107999900003	item106210100010	item8170000120010,60	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	4000	2	0,4,20	BondNameDes2_npc_10034	BondDes2_npc_10034
115	npc_10034	4	20000	Relationship_Name_4	Relationship_Des_4	item107999900001;item107999900002;item107999900003	item106210100010	item101040101015,80	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	8000	0		BondNameDes_Gift1	BondDes_Gift1
116	npc_10034	5	40000	Relationship_Name_5	Relationship_Des_5	item107999900001;item107999900002;item107999900003	item106210100010	item103010131001,56	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	8000	2	0,3,30	BondNameDes3_npc_10034	BondDes3_npc_10034
117	npc_10034	6	80000	Relationship_Name_6	Relationship_Des_6	item107999900001;item107999900002;item107999900003	item106210100010	item8103010111018,24	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	0		BondNameDes_Gift2	BondDes_Gift2
118	npc_10034	7	160000	Relationship_Name_7	Relationship_Des_7	item107999900001;item107999900002;item107999900003	item106210100010	item101040101015,420	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	0,23,100	BondNameDes4_npc_10034	BondDes4_npc_10034
119	npc_10034	8	280000	Relationship_Name_8	Relationship_Des_8	item107999900001;item107999900002;item107999900003	item106210100010	item107300000002,114	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	0		BondNameDes_None	BondDes_None
120	npc_10034	9	440000	Relationship_Name_9	Relationship_Des_9	item107999900001;item107999900002;item107999900003	item106210100010	item107999900002,214	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	0,25,100	BondNameDes5_npc_10034	BondDes5_npc_10034
121	npc_10034	10	640000	Relationship_Name_10	Relationship_Des_10	item107999900001;item107999900002;item107999900003	item106210100010	item107200053001,12	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	5,11,200;5,12,200;5,13,200	BondNameDes6_npc_10034	BondDes6_npc_10034
122	npc_10035	0	0				item106210100004					4000	0			
123	npc_10035	1	500	Relationship_Name_1	Relationship_Des_1	item103010111006;item103010111007;item103010111008	item106210100004	item8103010121003,10	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	4000	2	0,1,300	BondNameDes1_npc_10035	BondDes1_npc_10035
124	npc_10035	2	4000	Relationship_Name_2	Relationship_Des_2	item103010111006;item103010111007;item103010111008	item106210100004	item101040101015,20	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	4000	0		BondNameDes_Hello	BondDes_Hello
125	npc_10035	3	8000	Relationship_Name_3	Relationship_Des_3	item103010111006;item103010111007;item103010111008	item106210100004	item107200042001,15	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	4000	2	0,4,20	BondNameDes2_npc_10035	BondDes2_npc_10035
126	npc_10035	4	20000	Relationship_Name_4	Relationship_Des_4	item103010111006;item103010111007;item103010111008	item106210100004	item1000,8000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	8000	0		BondNameDes_Gift1	BondDes_Gift1
127	npc_10035	5	40000	Relationship_Name_5	Relationship_Des_5	item103010111006;item103010111007;item103010111008	item106210100004	item107200043001,28	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	8000	2	0,3,20	BondNameDes3_npc_10035	BondDes3_npc_10035
128	npc_10035	6	80000	Relationship_Name_6	Relationship_Des_6	item103010111006;item103010111007;item103010111008	item106210100004	item8103010111018,24	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	0		BondNameDes_Gift2	BondDes_Gift2
129	npc_10035	7	160000	Relationship_Name_7	Relationship_Des_7	item103010111006;item103010111007;item103010111008	item106210100004	item107200051001,19	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	0,21,100	BondNameDes4_npc_10035	BondDes4_npc_10035
130	npc_10035	8	280000	Relationship_Name_8	Relationship_Des_8	item103010111006;item103010111007;item103010111008	item106210100004	item107200052001,13	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	0		BondNameDes_None	BondDes_None
131	npc_10035	9	440000	Relationship_Name_9	Relationship_Des_9	item103010111006;item103010111007;item103010111008	item106210100004	item8103010111019,7	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	0,25,100	BondNameDes5_npc_10035	BondDes5_npc_10035
132	npc_10035	10	640000	Relationship_Name_10	Relationship_Des_10	item103010111006;item103010111007;item103010111008	item106210100004	item107200053001,12	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	3,11,200;3,12,200;3,13,200	BondNameDes6_npc_10035	BondDes6_npc_10035
133	npc_10033	0	0				item106210100014					4000	0			
134	npc_10033	1	500	Relationship_Name_1	Relationship_Des_1	item103010111011;item103010111012;item103010111013	item106210100014	item8170000120010,10	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	4000	2	0,1,200	BondNameDes1_npc_10033	BondDes1_npc_10033
135	npc_10033	2	4000	Relationship_Name_2	Relationship_Des_2	item103010111011;item103010111012;item103010111013	item106210100014	item1000,2000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	4000	0		BondNameDes_Hello	BondDes_Hello
136	npc_10033	3	8000	Relationship_Name_3	Relationship_Des_3	item103010111011;item103010111012;item103010111013	item106210100014	item8103010121004,15	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	4000	2	0,4,30	BondNameDes2_npc_10033	BondDes2_npc_10033
137	npc_10033	4	20000	Relationship_Name_4	Relationship_Des_4	item103010111011;item103010111012;item103010111013	item106210100014	item1000,8000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	8000	0		BondNameDes_Gift1	BondDes_Gift1
138	npc_10033	5	40000	Relationship_Name_5	Relationship_Des_5	item103010111011;item103010111012;item103010111013	item106210100014	item1000,14000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	8000	2	0,3,20	BondNameDes3_npc_10033	BondDes3_npc_10033
139	npc_10033	6	80000	Relationship_Name_6	Relationship_Des_6	item103010111011;item103010111012;item103010111013	item106210100014	item107300000002,59	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	0		BondNameDes_Gift2	BondDes_Gift2
140	npc_10033	7	160000	Relationship_Name_7	Relationship_Des_7	item103010111011;item103010111012;item103010111013	item106210100014	item101040101015,420	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	0,24,100	BondNameDes4_npc_10033	BondDes4_npc_10033
141	npc_10033	8	280000	Relationship_Name_8	Relationship_Des_8	item103010111011;item103010111012;item103010111013	item106210100014	item8103010111018,46	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	0		BondNameDes_None	BondDes_None
142	npc_10033	9	440000	Relationship_Name_9	Relationship_Des_9	item103010111011;item103010111012;item103010111013	item106210100014	item101040101015,640	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	0,26,100	BondNameDes5_npc_10033	BondDes5_npc_10033
143	npc_10033	10	640000	Relationship_Name_10	Relationship_Des_10	item103010111011;item103010111012;item103010111013	item106210100014	item107200053001,12	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	1,11,200;1,12,200;1,13,200	BondNameDes6_npc_10033	BondDes6_npc_10033
144	npc_10036	0	0				item106210100001					4000	0			
145	npc_10036	1	500	Relationship_Name_1	Relationship_Des_1	item107999900001;item107999900002;item107999900003	item106210100001	item107999900001,9	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	4000	2	0,1,200	BondNameDes1_npc_10036	BondDes1_npc_10036
146	npc_10036	2	4000	Relationship_Name_2	Relationship_Des_2	item107999900001;item107999900002;item107999900003	item106210100001	item107999900001,34	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	4000	0		BondNameDes_Hello	BondDes_Hello
147	npc_10036	3	8000	Relationship_Name_3	Relationship_Des_3	item107999900001;item107999900002;item107999900003	item106210100001	item107999900001,50	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	4000	2	0,4,20	BondNameDes2_npc_10036	BondDes2_npc_10036
148	npc_10036	4	20000	Relationship_Name_4	Relationship_Des_4	item107999900001;item107999900002;item107999900003	item106210100001	item1000,8000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	8000	0		BondNameDes_Gift1	BondDes_Gift1
149	npc_10036	5	40000	Relationship_Name_5	Relationship_Des_5	item107999900001;item107999900002;item107999900003	item106210100001	item101040101015,140	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	8000	2	0,3,30	BondNameDes3_npc_10036	BondDes3_npc_10036
150	npc_10036	6	80000	Relationship_Name_6	Relationship_Des_6	item107999900001;item107999900002;item107999900003	item106210100001	item107200051001,14	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	0		BondNameDes_Gift2	BondDes_Gift2
151	npc_10036	7	160000	Relationship_Name_7	Relationship_Des_7	item107999900001;item107999900002;item107999900003	item106210100001	item101040101015,420	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	0,23,100	BondNameDes4_npc_10036	BondDes4_npc_10036
152	npc_10036	8	280000	Relationship_Name_8	Relationship_Des_8	item107999900001;item107999900002;item107999900003	item106210100001	item1000,57000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	0		BondNameDes_None	BondDes_None
153	npc_10036	9	440000	Relationship_Name_9	Relationship_Des_9	item107999900001;item107999900002;item107999900003	item106210100001	item107999900002,214	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	0,22,100	BondNameDes5_npc_10036	BondDes5_npc_10036
154	npc_10036	10	640000	Relationship_Name_10	Relationship_Des_10	item107999900001;item107999900002;item107999900003	item106210100001	item107200053001,12	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	2	2,11,200;2,12,200;2,13,200	BondNameDes6_npc_10036	BondDes6_npc_10036
155	npc_10044	0	0				item106210100008					3000	0			
156	npc_10044	1	500	Relationship_Name_1	Relationship_Des_1	item103010131001	item106210100008	item8103010121003,10	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	3000	7	200000	BondNameDes1_npc_10044	BondDes1_npc_10044
157	npc_10044	2	2000	Relationship_Name_2	Relationship_Des_2	item103010131001	item106210100008	item8103010121004,5	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	0		BondNameDes_Hello	BondDes_Hello
158	npc_10044	3	4000	Relationship_Name_3	Relationship_Des_3	item103010131001	item106210100008	item107999900001,34	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	7	100000	BondNameDes2_npc_10044	BondDes2_npc_10044
159	npc_10044	4	10000	Relationship_Name_4	Relationship_Des_4	item103010131001	item106210100008	item107999900001,59	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	0		BondNameDes_Gift1	BondDes_Gift1
160	npc_10044	5	20000	Relationship_Name_5	Relationship_Des_5	item103010131001	item106210100008	item1000,9000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	8	43200	BondNameDes3_npc_10044	BondDes3_npc_10044
161	npc_10044	6	40000	Relationship_Name_6	Relationship_Des_6	item103010131001	item106210100008	item107300000002,32	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_Gift2	BondDes_Gift2
162	npc_10044	7	80000	Relationship_Name_7	Relationship_Des_7	item103010131001	item106210100008	item107300000002,40	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	8	86400	BondNameDes4_npc_10044	BondDes4_npc_10044
163	npc_10044	8	140000	Relationship_Name_8	Relationship_Des_8	item103010131001	item106210100008	item107200051001,12	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_None	BondDes_None
164	npc_10044	9	220000	Relationship_Name_9	Relationship_Des_9	item103010131001	item106210100008	item107999900002,107	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	8	172800	BondNameDes5_npc_10044	BondDes5_npc_10044
165	npc_10044	10	320000	Relationship_Name_10	Relationship_Des_10	item103010131001	item106210100008	item107200052001,12	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	1	item141000000118,1	BondNameDes6_npc_10044	BondDes6_npc_10044
166	npc_forging_001	0	0				item106210100001					3000	0			
167	npc_forging_001	1	500	Relationship_Name_1	Relationship_Des_1	item103010111102;item103010111103	item106210100001	item107999900001,9	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	3000	11	1000	BondNameDes1_npc_forging_001	BondDes1_npc_forging_001
168	npc_forging_001	2	2000	Relationship_Name_2	Relationship_Des_2	item103010111102;item103010111103	item106210100001	item107200042001,5	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	0		BondNameDes_Hello	BondDes_Hello
169	npc_forging_001	3	4000	Relationship_Name_3	Relationship_Des_3	item103010111102;item103010111103	item106210100001	item8103010121003,40	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	10	100	BondNameDes2_npc_forging_001	BondDes2_npc_forging_001
170	npc_forging_001	4	10000	Relationship_Name_4	Relationship_Des_4	item103010111102;item103010111103	item106210100001	item107200043001,7	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	0		BondNameDes_Gift1	BondDes_Gift1
171	npc_forging_001	5	20000	Relationship_Name_5	Relationship_Des_5	item103010111102;item103010111103	item106210100001	item8103010121004,45	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	10	300	BondNameDes3_npc_forging_001	BondDes3_npc_forging_001
172	npc_forging_001	6	40000	Relationship_Name_6	Relationship_Des_6	item103010111102;item103010111103	item106210100001	item101040101015,160	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_Gift2	BondDes_Gift2
173	npc_forging_001	7	80000	Relationship_Name_7	Relationship_Des_7	item103010111102;item103010111103	item106210100001	item8103010111019,2	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	10	600	BondNameDes4_npc_forging_001	BondDes4_npc_forging_001
174	npc_forging_001	8	140000	Relationship_Name_8	Relationship_Des_8	item103010111102;item103010111103	item106210100001	item107300000002,52	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_None	BondDes_None
175	npc_forging_001	9	220000	Relationship_Name_9	Relationship_Des_9	item103010111102;item103010111103	item106210100001	item107300000002,64	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	10	1100	BondNameDes5_npc_forging_001	BondDes5_npc_forging_001
176	npc_forging_001	10	320000	Relationship_Name_10	Relationship_Des_10	item103010111102;item103010111103	item106210100001	item8103010111019,5	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	12	300	BondNameDes6_npc_forging_001	BondDes6_npc_forging_001
177	npc_19000	0	0				item106210100020					3000	0			
178	npc_19000	1	500	Relationship_Name_1	Relationship_Des_1	item103010111016;item103010111017;item103010111018	item106210100020	item172200010150,1	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	3000	0		BondNameDes1_npc_19000	BondDes1_npc_19000
179	npc_19000	2	2000	Relationship_Name_2	Relationship_Des_2	item103010111016;item103010111017;item103010111018	item106210100020	item101040101015,10	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	0		BondNameDes_Hello	BondDes_Hello
180	npc_19000	3	4000	Relationship_Name_3	Relationship_Des_3	item103010111016;item103010111017;item103010111018	item106210100020	item172200015100,1	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	0		BondNameDes2_npc_19000	BondDes2_npc_19000
181	npc_19000	4	10000	Relationship_Name_4	Relationship_Des_4	item103010111016;item103010111017;item103010111018	item106210100020	item8103010121004,18	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	0		BondNameDes_Gift1	BondDes_Gift1
182	npc_19000	5	20000	Relationship_Name_5	Relationship_Des_5	item103010111016;item103010111017;item103010111018	item106210100020	item172200020160,1	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	0		BondNameDes3_npc_19000	BondDes3_npc_19000
183	npc_19000	6	40000	Relationship_Name_6	Relationship_Des_6	item103010111016;item103010111017;item103010111018	item106210100020	item101040101015,160	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_Gift2	BondDes_Gift2
184	npc_19000	7	80000	Relationship_Name_7	Relationship_Des_7	item103010111016;item103010111017;item103010111018	item106210100020	item172300020050,1	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes4_npc_19000	BondDes4_npc_19000
185	npc_19000	8	140000	Relationship_Name_8	Relationship_Des_8	item103010111016;item103010111017;item103010111018	item106210100020	item107300000001,130	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_None	BondDes_None
186	npc_19000	9	220000	Relationship_Name_9	Relationship_Des_9	item103010111016;item103010111017;item103010111018	item106210100020	item107300000001,160	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes5_npc_19000	BondDes5_npc_19000
187	npc_19000	10	320000	Relationship_Name_10	Relationship_Des_10	item103010111016;item103010111017;item103010111018	item106210100020	item8103010121005,63	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes6_npc_19000	BondDes6_npc_19000
188	npc_10138	0	0				item106210100002					3000	0			
189	npc_10138	1	500	Relationship_Name_1	Relationship_Des_1	item107300000001;item107300000002	item106210100002	item107999900001,9	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	3000	6	200	BondNameDes1_npc_10138	BondDes1_npc_10138
190	npc_10138	2	2000	Relationship_Name_2	Relationship_Des_2	item107300000001;item107300000002	item106210100002	item8170000120010,20	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	0		BondNameDes_Hello	BondDes_Hello
191	npc_10138	3	4000	Relationship_Name_3	Relationship_Des_3	item107300000001;item107300000002	item106210100002	item1000,2000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	6	400	BondNameDes2_npc_10138	BondDes2_npc_10138
192	npc_10138	4	10000	Relationship_Name_4	Relationship_Des_4	item107300000001;item107300000002	item106210100002	item8170000120010,70	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	0		BondNameDes_Gift1	BondDes_Gift1
193	npc_10138	5	20000	Relationship_Name_5	Relationship_Des_5	item107300000001;item107300000002	item106210100002	item101040101015,90	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	6	600	BondNameDes3_npc_10138	BondDes3_npc_10138
194	npc_10138	6	40000	Relationship_Name_6	Relationship_Des_6	item107300000001;item107300000002	item106210100002	item8170000120010,320	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_Gift2	BondDes_Gift2
195	npc_10138	7	80000	Relationship_Name_7	Relationship_Des_7	item107300000001;item107300000002	item106210100002	item1000,20000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	6	800	BondNameDes4_npc_10138	BondDes4_npc_10138
196	npc_10138	8	140000	Relationship_Name_8	Relationship_Des_8	item107300000001;item107300000002	item106210100002	item101040101015,260	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_None	BondDes_None
197	npc_10138	9	220000	Relationship_Name_9	Relationship_Des_9	item107300000001;item107300000002	item106210100002	item107300000001,160	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	6	1000	BondNameDes5_npc_10138	BondDes5_npc_10138
198	npc_10138	10	320000	Relationship_Name_10	Relationship_Des_10	item107300000001;item107300000002	item106210100002	item107200052001,12	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	6	1500	BondNameDes6_npc_10138	BondDes6_npc_10138
199	npc_multi	0	0				item106210100019					3000	0			
200	npc_multi	1	500	Relationship_Name_1	Relationship_Des_1	item103010121003;item103010121004;item103010121005	item106210100019	item107999900001,9	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	3000	2	0,185,100	BondNameDes1_npc_90003	BondDes1_npc_90003
201	npc_multi	2	2000	Relationship_Name_2	Relationship_Des_2	item103010121003;item103010121004;item103010121005	item106210100019	item8170000120010,20	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	0		BondNameDes_Hello	BondDes_Hello
202	npc_multi	3	4000	Relationship_Name_3	Relationship_Des_3	item103010121003;item103010121004;item103010121005	item106210100019	item107999900001,34	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	2	0,185,100	BondNameDes2_npc_90003	BondDes2_npc_90003
203	npc_multi	4	10000	Relationship_Name_4	Relationship_Des_4	item103010121003;item103010121004;item103010121005	item106210100019	item107200042001,18	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	0		BondNameDes_Gift1	BondDes_Gift1
204	npc_multi	5	20000	Relationship_Name_5	Relationship_Des_5	item103010121003;item103010121004;item103010121005	item106210100019	item107200043001,18	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	2	0,185,100	BondNameDes3_npc_90003	BondDes3_npc_90003
205	npc_multi	6	40000	Relationship_Name_6	Relationship_Des_6	item103010121003;item103010121004;item103010121005	item106210100019	item107999900002,54	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_Gift2	BondDes_Gift2
206	npc_multi	7	80000	Relationship_Name_7	Relationship_Des_7	item103010121003;item103010121004;item103010121005	item106210100019	item107300000002,40	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,185,300	BondNameDes4_npc_90003	BondDes4_npc_90003
207	npc_multi	8	140000	Relationship_Name_8	Relationship_Des_8	item103010121003;item103010121004;item103010121005	item106210100019	item107300000001,130	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_None	BondDes_None
208	npc_multi	9	220000	Relationship_Name_9	Relationship_Des_9	item103010121003;item103010121004;item103010121005	item106210100019	item107999900002,107	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,185,400;0,33,100	BondNameDes5_npc_90003	BondDes5_npc_90003
209	npc_multi	10	320000	Relationship_Name_10	Relationship_Des_10	item103010121003;item103010121004;item103010121005	item106210100019	item8103010111019,5	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,185,500;0,33,500	BondNameDes6_npc_90003	BondDes6_npc_90003
210	npc_10139	0	0				item106210100005					2000	0			
211	npc_10139	1	500	Relationship_Name_1	Relationship_Des_1	item102010411001;item103010411001	item106210100005	item8170000120010,10	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	2000	4	17	BondNameDes1_npc_10139	BondDes1_npc_10139
212	npc_10139	2	1000	Relationship_Name_2	Relationship_Des_2	item102010411001;item103010411001	item106210100005	item107999900001,9	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	2000	0		BondNameDes_Hello	BondDes_Hello
213	npc_10139	3	2000	Relationship_Name_3	Relationship_Des_3	item102010411001;item103010411001	item106210100005	item107200042001,5	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	2000	5	200	BondNameDes2_npc_10139	BondDes2_npc_10139
214	npc_10139	4	5000	Relationship_Name_4	Relationship_Des_4	item102010411001;item103010411001	item106210100005	item107200043001,4	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	5000	0		BondNameDes_Gift1	BondDes_Gift1
215	npc_10139	5	10000	Relationship_Name_5	Relationship_Des_5	item102010411001;item103010411001	item106210100005	item107999900001,50	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	5000	4	18	BondNameDes3_npc_10139	BondDes3_npc_10139
216	npc_10139	6	20000	Relationship_Name_6	Relationship_Des_6	item102010411001;item103010411001	item106210100005	item8103010111018,5	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes_Gift2	BondDes_Gift2
217	npc_10139	7	40000	Relationship_Name_7	Relationship_Des_7	item102010411001;item103010411001	item106210100005	item107999900002,34	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	5	400	BondNameDes4_npc_10139	BondDes4_npc_10139
218	npc_10139	8	70000	Relationship_Name_8	Relationship_Des_8	item102010411001;item103010411001	item106210100005	item101040101015,140	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes_None	BondDes_None
219	npc_10139	9	110000	Relationship_Name_9	Relationship_Des_9	item102010411001;item103010411001	item106210100005	item8170000120010,360	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	4	19	BondNameDes5_npc_10139	BondDes5_npc_10139
220	npc_10139	10	160000	Relationship_Name_10	Relationship_Des_10	item102010411001;item103010411001	item106210100005	item8103010111018,20	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	5	1000	BondNameDes6_npc_10139	BondDes6_npc_10139
221	npc_10085	0	0				item106210100016					4000	0			
222	npc_10085	1	500	Relationship_Name_1	Relationship_Des_1	item107999900001;item107999900002;item107999900003	item106210100016	item1000,500000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	4000	1	item10000000000,1	BondNameDes1_npc_10085	BondDes1_npc_10085
223	npc_10085	2	4000	Relationship_Name_2	Relationship_Des_2	item107999900001;item107999900002;item107999900003	item106210100016	item8170000120010,40	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	4000	0		BondNameDes_Hello	BondDes_Hello
224	npc_10085	3	8000	Relationship_Name_3	Relationship_Des_3	item107999900001;item107999900002;item107999900003	item106210100016	item172200010160,1	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	4000	1	item10000000000,1	BondNameDes2_npc_10085	BondDes2_npc_10085
225	npc_10085	4	20000	Relationship_Name_4	Relationship_Des_4	item107999900001;item107999900002;item107999900003	item106210100016	item1000,8000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	8000	0		BondNameDes_Gift1	BondDes_Gift1
226	npc_10085	5	40000	Relationship_Name_5	Relationship_Des_5	item107999900001;item107999900002;item107999900003	item106210100016	item1000,14000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	8000	1	item10000000000,1	BondNameDes3_npc_10085	BondDes3_npc_10085
227	npc_10085	6	80000	Relationship_Name_6	Relationship_Des_6	item107999900001;item107999900002;item107999900003	item106210100016	item8103010111018,24	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	0		BondNameDes_Gift2	BondDes_Gift2
