场景ID	秘境类型	阶段	等级限制	穿行类型	长度(米)	最大载重	个人首通奖励	完美通关奖励宝箱	未完美通关假奖励宝箱	完美通关时间	限制最小人数	限制最大人数	秘境名字	普通通关奖励显示	完美通关奖励显示	提示信息方案	关卡描述	护罩特效	滚动背景资源	横向转动物件	纵向转动物件	颜色(控制材质球颜色变化)	动画(控制物件动画速度变化)
1330	1	30	51	1	100	30	item161000000002,2;item1006,300;item8103015110408,1	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName30	item90000000070,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item161000000002,2;item8103015110408,1;item1006,300	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1331	1	31	61	1	300	30	item161000000002,2;item1006,300;item8103015110408,1	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName31	item902040888070,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item160000110104,1;item1006,110	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1332	1	32	61	1	300	30	item160000310104,1;item1006,100	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName32	item902040888070,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item160000210104,1;item1006,110	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1333	1	33	61	1	300	30	item101100113003,1;item1006,100	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName33	item902040888070,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item160000310104,1;item1006,110	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1334	1	34	61	1	300	30	item161000000002,2;item1006,300;item8103015110408,1	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName34	item902040888070,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item101100113003,1;item1006,110	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1335	1	35	61	1	100	30	item161000000002,2;item1006,300;item8103015110408,1	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName35	item902040888070,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item161000000002,2;item8103015110305,2;item1006,330	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1336	1	36	61	1	300	30	item161000000002,2;item1006,300;item8103015110408,1	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName36	item902040888070,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item160000110104,1;item1006,120	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1337	1	37	61	1	300	30	item160000310104,1;item1006,100	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName37	item902040888070,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item160000210104,1;item1006,120	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1338	1	38	61	1	300	30	item101100113003,1;item1006,100	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName38	item902040888070,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item160000310104,1;item1006,120	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1339	1	39	61	1	300	30	item161000000002,2;item1006,300;item8103015110408,1	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName39	item902040888070,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item101100113003,1;item1006,120	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1340	1	40	61	1	100	30	item161000000002,2;item1006,300;item8103015110408,1	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName40	item902040888070,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item161000000002,2;item8103015110408,1;item1006,360	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1341	1	41	81	1	300	30	item161000000002,2;item1006,300;item8103015110408,1	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName41	item902040888090,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item160000110104,1;item1006,130	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1342	1	42	81	1	300	30	item160000310104,1;item1006,100	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName42	item902040888090,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item160000210104,1;item1006,130	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1343	1	43	81	1	300	30	item101100113003,1;item1006,100	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName43	item902040888090,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item160000310104,1;item1006,130	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1344	1	44	81	1	300	30	item161000000002,2;item1006,300;item8103015110408,1	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName44	item902040888090,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item101100113003,1;item1006,130	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1345	1	45	81	1	100	30	item161000000002,2;item1006,300;item8103015110408,1	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName45	item902040888090,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item161000000002,2;item8103015110409,2;item1006,390	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1346	1	46	81	1	300	30	item161000000002,2;item1006,300;item8103015110408,1	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName46	item902040888070,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item160000110104,1;item1006,140	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1347	1	47	81	1	300	30	item160000310104,1;item1006,100	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName47	item902040888070,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item160000210104,1;item1006,140	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1348	1	48	81	1	300	30	item101100113003,1;item1006,100	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName48	item902040888070,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item160000310104,1;item1006,140	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1349	1	49	81	1	300	30	item161000000002,2;item1006,300;item8103015110408,1	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName49	item902040888070,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item101100113003,1;item1006,140	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1350	1	50	81	1	100	30	item161000000002,2;item1006,300;item8103015110408,1	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName50	item902040888070,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item161000000002,2;item8103015110409,2;item1006,420	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1351	1	51	91	1	300	30	item161000000002,2;item1006,300;item8103015110408,1	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName51	item902040888090,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item160000110104,1;item1006,150	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1352	1	52	91	1	300	30	item160000310104,1;item1006,100	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName52	item902040888090,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item160000210104,1;item1006,150	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1353	1	53	91	1	300	30	item101100113003,1;item1006,100	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName53	item902040888090,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item160000310104,1;item1006,150	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1354	1	54	91	1	300	30	item161000000002,2;item1006,300;item8103015110408,1	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName54	item902040888090,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item101100113003,1;item1006,150	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1355	1	55	91	1	100	30	item161000000002,2;item1006,300;item8103015110408,1	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName55	item902040888090,1;item103015110409,1;item103015110305,1;item90000000107,1;item1000,1;item1006,1	item161000000002,2;item8103015110409,2;item1006,450	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1401	2	1	40	1	50000	30				0	3	5	UnlimitSecretName1	item1006,1		0	UI_UnlimitLevelDescription	110025	20002/Background001		Baoshi001/YHSJ_shuijingzhuzi_001;Baoshi001/YHSJ_shuijingzhuzi_003;Baoshi001/YHSJ_shuijingzhuzi_005;Baoshi001/YHSJ_shuijingzhuzi_006;Baoshi001/YHSJ_shuijingzhuzi_007		
