升级前武器ID	升级后武器ID	星光武器阶段	升级所需玩家等级限制	职业ID	主界面展示模型	男角色佩戴展示模型（高模）	男角色佩戴展示模型（低模）	女角色佩戴展示模型（高模）	女角色佩戴展示模型（低模）	高模特效	低模特效	升级到当前级消耗道具	升级到当前级消耗货币	属性加成	buff加成
equip301070653002	equip301070654002	4	75	2	18			c002h_weapon901_t4	c002_weapon901_t4	13000044;13000082;13000083;13000089	13000099;13000009;13000094	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000099	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301070654002	equip301070655002	5	80	2	19			c002h_weapon901_t5	c002_weapon901_t5	13000045;13000084;13000085;13000090	13000100;13000010;13000095	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000100	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301070541003	equip301070651003	1	60	3	15	c007h_weapon901_t1	c007_weapon901_t1	c003h_weapon901_t1	c003_weapon901_t1	13000011	13000071	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000101	buff6_wp_shine::buff101_lv1
equip301070651003	equip301070652003	2	60	3	16	c007h_weapon901_t2	c007_weapon901_t2	c003h_weapon901_t2	c003_weapon901_t2	13000012	13000072	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000102	buff6_wp_shine::buff101_lv2
equip301070652003	equip301070653003	3	70	3	17	c007h_weapon901_t3	c007_weapon901_t3	c003h_weapon901_t3	c003_weapon901_t3	13000013	13000073	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000103	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301070653003	equip301070654003	4	75	3	18	c007h_weapon901_t4	c007_weapon901_t4	c003h_weapon901_t4	c003_weapon901_t4	13000014	13000074	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000104	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301070654003	equip301070655003	5	80	3	19	c007h_weapon901_t5	c007_weapon901_t5	c003h_weapon901_t5	c003_weapon901_t5	13000015	13000075	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000105	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301070541004	equip301070651004	1	60	4	15	c008h_weapon901_t1	c008_weapon901_t1	c004h_weapon901_t1	c004_weapon901_t1	13000016	13000061	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000106	buff6_wp_shine::buff101_lv1
equip301070651004	equip301070652004	2	60	4	16	c008h_weapon901_t2	c008_weapon901_t2	c004h_weapon901_t2	c004_weapon901_t2	13000017	13000062	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000107	buff6_wp_shine::buff101_lv2
equip301070652004	equip301070653004	3	70	4	17	c008h_weapon901_t3	c008_weapon901_t3	c004h_weapon901_t3	c004_weapon901_t3	13000018	13000063	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000108	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301070653004	equip301070654004	4	75	4	18	c008h_weapon901_t4	c008_weapon901_t4	c004h_weapon901_t4	c004_weapon901_t4	13000019	13000064	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000109	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301070654004	equip301070655004	5	80	4	19	c008h_weapon901_t5	c008_weapon901_t5	c004h_weapon901_t5	c004_weapon901_t5	13000020	13000065	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000110	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301070541005	equip301070651005	1	60	5	15	c005h_weapon901_t1	c005_weapon901_t1			13000021;13000026	13000021;13000026	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000111	buff6_wp_shine::buff101_lv1
equip301070651005	equip301070652005	2	60	5	16	c005h_weapon901_t2	c005_weapon901_t2			13000022;13000027	13000022;13000027	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000112	buff6_wp_shine::buff101_lv2
equip301070652005	equip301070653005	3	70	5	17	c005h_weapon901_t3	c005_weapon901_t3			13000023;13000028	13000023;13000028	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000113	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301070653005	equip301070654005	4	75	5	18	c005h_weapon901_t4	c005_weapon901_t4			13000024;13000029	13000024;13000029	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000114	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301070654005	equip301070655005	5	80	5	19	c005h_weapon901_t5	c005_weapon901_t5			13000025;13000030	13000025;13000030	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000115	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301070541006	equip301070651006	1	60	6	15	c006h_weapon901_t1	c006_weapon901_t1			13000046;13000051	13000031;13000036	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000116	buff6_wp_shine::buff101_lv1
equip301070651006	equip301070652006	2	60	6	16	c006h_weapon901_t2	c006_weapon901_t2			13000047;13000052	13000032;13000037	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000117	buff6_wp_shine::buff101_lv2
equip301070652006	equip301070653006	3	70	6	17	c006h_weapon901_t3	c006_weapon901_t3			13000048;13000053	13000033;13000038	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000118	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301070653006	equip301070654006	4	75	6	18	c006h_weapon901_t4	c006_weapon901_t4			13000049;13000054	13000034;13000039	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000119	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301070654006	equip301070655006	5	80	6	19	c006h_weapon901_t5	c006_weapon901_t5			13000050;13000055	13000035;13000040	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000120	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301080541001	equip301080651001	1	60	1	15	c001h_weapon901_t1	c001_weapon901_t1			13000056	13000001	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000091	buff6_wp_shine::buff101_lv1
equip301080651001	equip301080652001	2	60	1	16	c001h_weapon901_t2	c001_weapon901_t2			13000057	13000002	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000092	buff6_wp_shine::buff101_lv2
equip301080652001	equip301080653001	3	70	1	17	c001h_weapon901_t3	c001_weapon901_t3			13000058	13000003	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000093	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301080653001	equip301080654001	4	75	1	18	c001h_weapon901_t4	c001_weapon901_t4			13000059	13000004	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000094	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301080654001	equip301080655001	5	80	1	19	c001h_weapon901_t5	c001_weapon901_t5			13000060	13000005	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000095	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301080541002	equip301080651002	1	60	2	15			c002h_weapon901_t1	c002_weapon901_t1	13000041;13000076;13000077;13000086	13000096;13000006;13000091	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000096	buff6_wp_shine::buff101_lv1
equip301080651002	equip301080652002	2	60	2	16			c002h_weapon901_t2	c002_weapon901_t2	13000042;13000078;13000079;13000087	13000097;13000007;13000092	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000097	buff6_wp_shine::buff101_lv2
equip301080652002	equip301080653002	3	70	2	17			c002h_weapon901_t3	c002_weapon901_t3	13000043;13000080;13000081;13000088	13000098;13000008;13000093	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000098	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301080653002	equip301080654002	4	75	2	18			c002h_weapon901_t4	c002_weapon901_t4	13000044;13000082;13000083;13000089	13000099;13000009;13000094	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000099	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301080654002	equip301080655002	5	80	2	19			c002h_weapon901_t5	c002_weapon901_t5	13000045;13000084;13000085;13000090	13000100;13000010;13000095	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000100	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301080541003	equip301080651003	1	60	3	15	c007h_weapon901_t1	c007_weapon901_t1	c003h_weapon901_t1	c003_weapon901_t1	13000011	13000071	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000101	buff6_wp_shine::buff101_lv1
equip301080651003	equip301080652003	2	60	3	16	c007h_weapon901_t2	c007_weapon901_t2	c003h_weapon901_t2	c003_weapon901_t2	13000012	13000072	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000102	buff6_wp_shine::buff101_lv2
equip301080652003	equip301080653003	3	70	3	17	c007h_weapon901_t3	c007_weapon901_t3	c003h_weapon901_t3	c003_weapon901_t3	13000013	13000073	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000103	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301080653003	equip301080654003	4	75	3	18	c007h_weapon901_t4	c007_weapon901_t4	c003h_weapon901_t4	c003_weapon901_t4	13000014	13000074	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000104	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301080654003	equip301080655003	5	80	3	19	c007h_weapon901_t5	c007_weapon901_t5	c003h_weapon901_t5	c003_weapon901_t5	13000015	13000075	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000105	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301080541004	equip301080651004	1	60	4	15	c008h_weapon901_t1	c008_weapon901_t1	c004h_weapon901_t1	c004_weapon901_t1	13000016	13000061	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000106	buff6_wp_shine::buff101_lv1
equip301080651004	equip301080652004	2	60	4	16	c008h_weapon901_t2	c008_weapon901_t2	c004h_weapon901_t2	c004_weapon901_t2	13000017	13000062	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000107	buff6_wp_shine::buff101_lv2
equip301080652004	equip301080653004	3	70	4	17	c008h_weapon901_t3	c008_weapon901_t3	c004h_weapon901_t3	c004_weapon901_t3	13000018	13000063	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000108	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301080653004	equip301080654004	4	75	4	18	c008h_weapon901_t4	c008_weapon901_t4	c004h_weapon901_t4	c004_weapon901_t4	13000019	13000064	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000109	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301080654004	equip301080655004	5	80	4	19	c008h_weapon901_t5	c008_weapon901_t5	c004h_weapon901_t5	c004_weapon901_t5	13000020	13000065	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000110	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301080541005	equip301080651005	1	60	5	15	c005h_weapon901_t1	c005_weapon901_t1			13000021;13000026	13000021;13000026	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000111	buff6_wp_shine::buff101_lv1
equip301080651005	equip301080652005	2	60	5	16	c005h_weapon901_t2	c005_weapon901_t2			13000022;13000027	13000022;13000027	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000112	buff6_wp_shine::buff101_lv2
equip301080652005	equip301080653005	3	70	5	17	c005h_weapon901_t3	c005_weapon901_t3			13000023;13000028	13000023;13000028	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000113	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301080653005	equip301080654005	4	75	5	18	c005h_weapon901_t4	c005_weapon901_t4			13000024;13000029	13000024;13000029	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000114	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301080654005	equip301080655005	5	80	5	19	c005h_weapon901_t5	c005_weapon901_t5			13000025;13000030	13000025;13000030	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000115	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301080541006	equip301080651006	1	60	6	15	c006h_weapon901_t1	c006_weapon901_t1			13000046;13000051	13000031;13000036	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000116	buff6_wp_shine::buff101_lv1
equip301080651006	equip301080652006	2	60	6	16	c006h_weapon901_t2	c006_weapon901_t2			13000047;13000052	13000032;13000037	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000117	buff6_wp_shine::buff101_lv2
equip301080652006	equip301080653006	3	70	6	17	c006h_weapon901_t3	c006_weapon901_t3			13000048;13000053	13000033;13000038	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000118	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301080653006	equip301080654006	4	75	6	18	c006h_weapon901_t4	c006_weapon901_t4			13000049;13000054	13000034;13000039	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000119	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301080654006	equip301080655006	5	80	6	19	c006h_weapon901_t5	c006_weapon901_t5			13000050;13000055	13000035;13000040	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000120	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301090541001	equip301090651001	1	60	1	15	c001h_weapon901_t1	c001_weapon901_t1			13000056	13000001	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000091	buff6_wp_shine::buff101_lv1
equip301090651001	equip301090652001	2	60	1	16	c001h_weapon901_t2	c001_weapon901_t2			13000057	13000002	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000092	buff6_wp_shine::buff101_lv2
equip301090652001	equip301090653001	3	70	1	17	c001h_weapon901_t3	c001_weapon901_t3			13000058	13000003	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000093	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301090653001	equip301090654001	4	75	1	18	c001h_weapon901_t4	c001_weapon901_t4			13000059	13000004	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000094	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301090654001	equip301090655001	5	80	1	19	c001h_weapon901_t5	c001_weapon901_t5			13000060	13000005	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000095	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301090541002	equip301090651002	1	60	2	15			c002h_weapon901_t1	c002_weapon901_t1	13000041;13000076;13000077;13000086	13000096;13000006;13000091	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000096	buff6_wp_shine::buff101_lv1
equip301090651002	equip301090652002	2	60	2	16			c002h_weapon901_t2	c002_weapon901_t2	13000042;13000078;13000079;13000087	13000097;13000007;13000092	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000097	buff6_wp_shine::buff101_lv2
equip301090652002	equip301090653002	3	70	2	17			c002h_weapon901_t3	c002_weapon901_t3	13000043;13000080;13000081;13000088	13000098;13000008;13000093	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000098	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301090653002	equip301090654002	4	75	2	18			c002h_weapon901_t4	c002_weapon901_t4	13000044;13000082;13000083;13000089	13000099;13000009;13000094	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000099	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301090654002	equip301090655002	5	80	2	19			c002h_weapon901_t5	c002_weapon901_t5	13000045;13000084;13000085;13000090	13000100;13000010;13000095	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000100	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301090541003	equip301090651003	1	60	3	15	c007h_weapon901_t1	c007_weapon901_t1	c003h_weapon901_t1	c003_weapon901_t1	13000011	13000071	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000101	buff6_wp_shine::buff101_lv1
equip301090651003	equip301090652003	2	60	3	16	c007h_weapon901_t2	c007_weapon901_t2	c003h_weapon901_t2	c003_weapon901_t2	13000012	13000072	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000102	buff6_wp_shine::buff101_lv2
equip301090652003	equip301090653003	3	70	3	17	c007h_weapon901_t3	c007_weapon901_t3	c003h_weapon901_t3	c003_weapon901_t3	13000013	13000073	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000103	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301090653003	equip301090654003	4	75	3	18	c007h_weapon901_t4	c007_weapon901_t4	c003h_weapon901_t4	c003_weapon901_t4	13000014	13000074	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000104	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301090654003	equip301090655003	5	80	3	19	c007h_weapon901_t5	c007_weapon901_t5	c003h_weapon901_t5	c003_weapon901_t5	13000015	13000075	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000105	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301090541004	equip301090651004	1	60	4	15	c008h_weapon901_t1	c008_weapon901_t1	c004h_weapon901_t1	c004_weapon901_t1	13000016	13000061	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000106	buff6_wp_shine::buff101_lv1
equip301090651004	equip301090652004	2	60	4	16	c008h_weapon901_t2	c008_weapon901_t2	c004h_weapon901_t2	c004_weapon901_t2	13000017	13000062	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000107	buff6_wp_shine::buff101_lv2
equip301090652004	equip301090653004	3	70	4	17	c008h_weapon901_t3	c008_weapon901_t3	c004h_weapon901_t3	c004_weapon901_t3	13000018	13000063	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000108	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301090653004	equip301090654004	4	75	4	18	c008h_weapon901_t4	c008_weapon901_t4	c004h_weapon901_t4	c004_weapon901_t4	13000019	13000064	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000109	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301090654004	equip301090655004	5	80	4	19	c008h_weapon901_t5	c008_weapon901_t5	c004h_weapon901_t5	c004_weapon901_t5	13000020	13000065	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000110	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301090541005	equip301090651005	1	60	5	15	c005h_weapon901_t1	c005_weapon901_t1			13000021;13000026	13000021;13000026	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000111	buff6_wp_shine::buff101_lv1
equip301090651005	equip301090652005	2	60	5	16	c005h_weapon901_t2	c005_weapon901_t2			13000022;13000027	13000022;13000027	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000112	buff6_wp_shine::buff101_lv2
equip301090652005	equip301090653005	3	70	5	17	c005h_weapon901_t3	c005_weapon901_t3			13000023;13000028	13000023;13000028	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000113	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301090653005	equip301090654005	4	75	5	18	c005h_weapon901_t4	c005_weapon901_t4			13000024;13000029	13000024;13000029	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000114	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301090654005	equip301090655005	5	80	5	19	c005h_weapon901_t5	c005_weapon901_t5			13000025;13000030	13000025;13000030	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000115	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301090541006	equip301090651006	1	60	6	15	c006h_weapon901_t1	c006_weapon901_t1			13000046;13000051	13000031;13000036	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000116	buff6_wp_shine::buff101_lv1
equip301090651006	equip301090652006	2	60	6	16	c006h_weapon901_t2	c006_weapon901_t2			13000047;13000052	13000032;13000037	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000117	buff6_wp_shine::buff101_lv2
equip301090652006	equip301090653006	3	70	6	17	c006h_weapon901_t3	c006_weapon901_t3			13000048;13000053	13000033;13000038	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000118	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301090653006	equip301090654006	4	75	6	18	c006h_weapon901_t4	c006_weapon901_t4			13000049;13000054	13000034;13000039	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000119	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301090654006	equip301090655006	5	80	6	19	c006h_weapon901_t5	c006_weapon901_t5			13000050;13000055	13000035;13000040	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000120	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301100541001	equip301100651001	1	60	1	15	c001h_weapon901_t1	c001_weapon901_t1			13000056	13000001	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000091	buff6_wp_shine::buff101_lv1
equip301100651001	equip301100652001	2	60	1	16	c001h_weapon901_t2	c001_weapon901_t2			13000057	13000002	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000092	buff6_wp_shine::buff101_lv2
equip301100652001	equip301100653001	3	70	1	17	c001h_weapon901_t3	c001_weapon901_t3			13000058	13000003	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000093	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301100653001	equip301100654001	4	75	1	18	c001h_weapon901_t4	c001_weapon901_t4			13000059	13000004	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000094	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301100654001	equip301100655001	5	80	1	19	c001h_weapon901_t5	c001_weapon901_t5			13000060	13000005	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000095	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301100541002	equip301100651002	1	60	2	15			c002h_weapon901_t1	c002_weapon901_t1	13000041;13000076;13000077;13000086	13000096;13000006;13000091	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000096	buff6_wp_shine::buff101_lv1
equip301100651002	equip301100652002	2	60	2	16			c002h_weapon901_t2	c002_weapon901_t2	13000042;13000078;13000079;13000087	13000097;13000007;13000092	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000097	buff6_wp_shine::buff101_lv2
equip301100652002	equip301100653002	3	70	2	17			c002h_weapon901_t3	c002_weapon901_t3	13000043;13000080;13000081;13000088	13000098;13000008;13000093	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000098	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301100653002	equip301100654002	4	75	2	18			c002h_weapon901_t4	c002_weapon901_t4	13000044;13000082;13000083;13000089	13000099;13000009;13000094	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000099	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301100654002	equip301100655002	5	80	2	19			c002h_weapon901_t5	c002_weapon901_t5	13000045;13000084;13000085;13000090	13000100;13000010;13000095	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000100	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301100541003	equip301100651003	1	60	3	15	c007h_weapon901_t1	c007_weapon901_t1	c003h_weapon901_t1	c003_weapon901_t1	13000011	13000071	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000101	buff6_wp_shine::buff101_lv1
equip301100651003	equip301100652003	2	60	3	16	c007h_weapon901_t2	c007_weapon901_t2	c003h_weapon901_t2	c003_weapon901_t2	13000012	13000072	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000102	buff6_wp_shine::buff101_lv2
equip301100652003	equip301100653003	3	70	3	17	c007h_weapon901_t3	c007_weapon901_t3	c003h_weapon901_t3	c003_weapon901_t3	13000013	13000073	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000103	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301100653003	equip301100654003	4	75	3	18	c007h_weapon901_t4	c007_weapon901_t4	c003h_weapon901_t4	c003_weapon901_t4	13000014	13000074	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000104	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301100654003	equip301100655003	5	80	3	19	c007h_weapon901_t5	c007_weapon901_t5	c003h_weapon901_t5	c003_weapon901_t5	13000015	13000075	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000105	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301100541004	equip301100651004	1	60	4	15	c008h_weapon901_t1	c008_weapon901_t1	c004h_weapon901_t1	c004_weapon901_t1	13000016	13000061	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000106	buff6_wp_shine::buff101_lv1
equip301100651004	equip301100652004	2	60	4	16	c008h_weapon901_t2	c008_weapon901_t2	c004h_weapon901_t2	c004_weapon901_t2	13000017	13000062	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000107	buff6_wp_shine::buff101_lv2
