道具ID	开启奖励数量	开启获得道具
item94000000218	1	hero101:item130000001168,1|hero102:item130000002168,1|hero103:item130000003168,1|hero104:item130000004168,1|hero105:item130000005168,1|hero106:item130000006168,1|hero107:item130000007168,1|hero108:item130000008168,1
item94000000219	1	hero101:item130000001368,1|hero102:item130000002368,1|hero103:item130000003368,1|hero104:item130000004368,1|hero105:item130000005368,1|hero106:item130000006368,1|hero107:item130000007368,1|hero108:item130000008368,1
item94000000223	1	item8103010132351,1;item8103010132361,1
item94000000225	1	item105100000004,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000044,1;item105000000048,1;item105100000001,1;item105100000002,1;item105100000003,1;item105100000006,1
item94000000230	1	item91000000029,1;item891000000694,1
item94000000234	1	item91000000295,1;item891000000694,1
item94000000235	1	item105100000004,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000044,1;item105000000048,1;item105100000001,1;item105100000002,1;item105100000003,1;item105100000009,1
item94000000236	1	item101020507311,1;item130000040329,1
item94000000249	1	item8101020505344,1;item8101020505345,1
item94000000250	1	item162000120207,1;item160000320707,1
item94000000251	1	item8101020505309,1;item8101020505312,1;item8101020505313,1;item8101020505314,1;item8101020505315,1;item8101020505316,1;item8101020505317,1;item8101020505344,1;item8101020505345,1;item8101020505339,1
item94000000252	1	item8103010132301,1;item8103010132311,1;item8103010132321,1;item8103010132331,1;item8103015110418,1;item8103015110419,1;item8103010133301,1;item8103010134301,1;item8103010135301,1;item8103010136301,1;item8103010137301,1;item8103010138201,1;item8103010138301,1;item891000000694,1
item94000000255	1	item8103015110418,1;item8103015110419,1
item94000000256	1	hero101:item130000001269,1|hero102:item130000002269,1|hero103:item130000003269,1|hero104:item130000004269,1|hero105:item130000005269,1|hero106:item130000006269,1|hero107:item130000007269,1|hero108:item130000008269,1
item94000000257	1	hero101:item130000001369,1|hero102:item130000002369,1|hero103:item130000003369,1|hero104:item130000004369,1|hero105:item130000005369,1|hero106:item130000006369,1|hero107:item130000007369,1|hero108:item130000008369,1
item94000000260	1	item171000103519,1;item171000103520,1
item94000000261	1	item171000113517,1
item94000000262	1	item82121000100063,1;item82120000100054,1;item82120300100041,1;item82120400100044,1;item82120600100065,1;item82120600100066,1;item82120700100055,1;item82120700100072,1;item82120400100078,1;item82120900100071,1;item82120500100073,1;item82120200100074,1;item82120400100075,1
item94000000265	1	item8103010132341,1;item891000000694,1
item94000000271	1	item144300012004,1;item144300012005,1;item144300012006,1
item94000000272	1	item144300013004,1;item144300013005,1;item144300013006,1
item94000000282	1	item82130500100080,1;item82130000100051,1;item82130000100052,1;item82130200100042,1;item82130600100040,1;item82130800100058,1;item82130700100076,1;item82130900100077,1
item94000000284	1	item91000000423,1;item91000000763,1;item94000000212,1
item94000000285	1	item100500000116,1;item100500000115,1;item100500000111,1;item100500000110,1;item100500000109,1;item100500000108,1;item100500000119,1
item94000000286	1	item101020507311,1;item101020507319,1;item101020507322,1;item101020507323,1;item101020507324,1;item101020507325,1;item101020507327,1;item101020507329,1;item101020507332,1;item101020507333,1;item101020507334,1;item101020507335,1;item101020507336,1;item101020507337,1;item101020507338,1;item101020507340,1;item101020507339,1;item101020507341,1;item101020507342,1;item101020507344,1;item101020507345,1;item101020507346,1;item101020507348,1;item101020507351,1
item94000000287	1	item8101020503056,1;item8101020503033,1;item91000000058,1;item182000000414,1
item94000000289	1	item101020505343,1;item101020505341,1;item101020505310,1;item101020505348,1;item91000000048,1
item94000000290	1	item8101020503044,1;item8101020503045,1;item8101020503046,1;item8101020503093,1
item94000000291	1	item8101020505306,1;item8101020505307,1;item8101020505308,1;item8101020505342,1
item94000000292	1	item8230000000101,1;item8230000000102,1;item8230000000103,1;item8230000000104,1;item8230000000132,1
item94000000293	1	item107100053205,1;item107100053206,1;item107100053207,1
item94000000294	1	item91000000549,1;item91000000550,1;item91000000551,1;item130000040330,1
item94000000295	1	item107100053103,1;item107100053210,1;item107100053106,1
item94000000296	1	item127000053103,1;item127000053210,1;item127000053106,1
item94000000297	1	item8103010132341,1;item8103010132301,1;item8103010132311,1;item8103010132321,1;item8103010132331,1;item8103015110418,1;item8103015110419,1;item8103010133301,1;item8103010134301,1;item8103010135301,1;item8103010136301,1;item8103010137301,1;item8103010138301,1;item891000000694,1
item94000000300	1	item107100053108,1;item107100053205,1;item107100053308,1
item94000000301	1	item127000053108,1;item127000053205,1;item127000053308,1
item94000000312	1	item107100053213,1;item107100053206,1;item107100053106,1
item94000000313	1	item127000053213,1;item127000053206,1;item127000053106,1
item94000000330	1	item171000113515,1;item171000113516,1;item171000113518,1
item94000000351	1	hero101:item130000001279,1|hero102:item130000002279,1|hero103:item130000003279,1|hero104:item130000004279,1|hero105:item130000005279,1|hero106:item130000006279,1|hero107:item130000007279,1|hero108:item130000008279,1
item94000000352	1	hero101:item130000001379,1|hero102:item130000002379,1|hero103:item130000003379,1|hero104:item130000004379,1|hero105:item130000005379,1|hero106:item130000006379,1|hero107:item130000007379,1|hero108:item130000008379,1
item94000000353	1	item107100053207,1;item107100053206,1;item107100053106,1
item94000000354	1	item127000053207,1;item127000053206,1;item127000053106,1
item95000000001	1	item103015110409,14;item90000000155,7
item95000000039	1	item103010135301,1;item103010136301,1;item103010137301,1;item103010133301,1;item103010134301,1
item95000000046	1	item82120700100055,1;item82120600100065,1;item82120900100059,1
item95000000081	1	item91000000018,1;item91000000220,1;item119100000003,30
item95000000110	1	item130000040328,1;item101020507324,1
item95000000111	1	item101020507503,1;item101020507504,1;item101020507505,1;item101020507506,1
item95000000159	1	item100500000114,1;item130000040312,1;item101020507317,1;item211000000002,5
item95000000297	1	item171000113519,1;item171000113520,1
item95000000298	1	hero101:item130000001282,1|hero102:item130000002282,1|hero103:item130000003282,1|hero104:item130000004282,1|hero105:item130000005282,1|hero106:item130000006282,1|hero107:item130000007282,1|hero108:item130000008282,1
item95000000299	1	hero101:item130000001182,1|hero102:item130000002182,1|hero103:item130000003182,1|hero104:item130000004182,1|hero105:item130000005182,1|hero106:item130000006182,1|hero107:item130000007182,1|hero108:item130000008182,1
item95000000300	1	hero101:item130000001382,1|hero102:item130000002382,1|hero103:item130000003382,1|hero104:item130000004382,1|hero105:item130000005382,1|hero106:item130000006382,1|hero107:item130000007382,1|hero108:item130000008382,1
item95000000305	1	item107100053205,1;item107100053308,1;item127000053205,1;item127000053308,1
item95000000311	1	item82130800100058,1;item82130400100081,1
item95000000329	1	item82130500100080,1;item82130900100077,1;item82130700100082,1
item95000000332	1	item82130600100040,1;item162000120607,1;item8102020061004,1
item96000000012	1	item107100052105,1;item107100052206,1;item107100052305,1
item96000000022	1	hero101:item130000001367,1|hero102:item130000002367,1|hero103:item130000003367,1|hero104:item130000004367,1|hero105:item130000005367,1|hero106:item130000006367,1|hero107:item130000007367,1|hero108:item130000008367,1
item96000000023	1	hero101:item130000001267,1|hero102:item130000002267,1|hero103:item130000003267,1|hero104:item130000004267,1|hero105:item130000005267,1|hero106:item130000006267,1|hero107:item130000007267,1|hero108:item130000008267,1
item94000000355	1	item130000040332,1;item94000000332,500
item94000000356	1	|hero101:item130000301307,1;|hero102:item130000302307,1;|hero103:item130000303307,1;|hero104:item130000304307,1;|hero105:item130000305307,1;|hero106:item130000306307,1;|hero107:item130000307307,1;|hero108:item130000308307,1
item94000000357	1	item174000005007,40
item95000000349	1	item82130700100082,1;item82130700100076,1
item91000001111	1	item105100000018,1;item105100000020,1;item105100000022,1
item91000001152	1	item105100000017,1;item105100000019,1;item105100000021,1
item91000001156	1	item8101020505312,1;item8101020505313,1;item8101020505314,1;item8101020505315,1;item8101020505316,1;item8101020505317,1;item8101020505343,1;item8101020505341,1;item8101020505310,1;item8101020505348,1;item8101020505309,1;item8101020505346,1;item8101020505347,1
item95000000360	1	item173000005007,1;item8102020061004,1;item82130000100052,1;item82131000100064,1
item91000001157	1	item107100053106,1;item107100053308,1;item107100053210,1
item91000001158	1	item127000053106,1;item127000053308,1;item127000053210,1
item91000001159	1	hero101:item130000301307,1|hero102:item130000302307,1|hero103:item130000303307,1|hero104:item130000304307,1|hero105:item130000305307,1|hero106:item130000306307,1|hero107:item130000307307,1|hero108:item130000308307,1
item92000000216	1	item101020507355,1;item101020507356,1
item94000000360	1	item101020507355,1;item101020507356,1
item94000000374	1	item130000040317,1;item101020507330,1
item94000000371	1	item144300007122,1;item144300007121,1;item144300007120,1;item144300007119,1;item144300007118,1;item144300007117,1;item144300007116,1;item144300007115,1;item144300007114,1;item144300007113,1;item144300007112,1;item144300007111,1;item144300007110,1
item94000000372	1	item144300013010,1;item144300012010,1
item94000000373	1	item140000003046,1;item140000003045,1
item91000001126	1	item140000021035,1;item140000021036,1
item91000001127	1	item101032406401,1;item101032406501,1;item101032406601,1;item101032406701,1;item101032406801,1;item101032406901,1
item96000000029	1	hero101:item130000001369,1|hero102:item130000002369,1|hero103:item130000003369,1|hero104:item130000004369,1|hero105:item130000005369,1|hero106:item130000006369,1|hero107:item130000007369,1|hero108:item130000008369,1
item96000000030	1	hero101:item130000001269,1|hero102:item130000002269,1|hero103:item130000003269,1|hero104:item130000004269,1|hero105:item130000005269,1|hero106:item130000006269,1|hero107:item130000007269,1|hero108:item130000008269,1
item91000001160	1	hero101:item133000101257,1|hero102:item133000102257,1|hero103:item133000103257,1|hero104:item133000104257,1|hero105:item133000105257,1|hero106:item133000106257,1|hero107:item133000107257,1|hero108:item133000108257,1
item94000000379	1	hero101:item130000001283,1|hero102:item130000002283,1|hero103:item130000003283,1|hero104:item130000004283,1|hero105:item130000005283,1|hero106:item130000006283,1|hero107:item130000007283,1|hero108:item130000008283,1
item94000000380	1	hero101:item130000001183,1|hero102:item130000002183,1|hero103:item130000003183,1|hero104:item130000004183,1|hero105:item130000005183,1|hero106:item130000006183,1|hero107:item130000007183,1|hero108:item130000008183,1
item94000000381	1	hero101:item130000001383,1|hero102:item130000002383,1|hero103:item130000003383,1|hero104:item130000004383,1|hero105:item130000005383,1|hero106:item130000006383,1|hero107:item130000007383,1|hero108:item130000008383,1
item94000000382	1	hero101:item130000001282,1|hero102:item130000002282,1|hero103:item130000003282,1|hero104:item130000004282,1|hero105:item130000005282,1|hero106:item130000006282,1|hero107:item130000007282,1|hero108:item130000008282,1
item94000000383	1	hero101:item130000001182,1|hero102:item130000002182,1|hero103:item130000003182,1|hero104:item130000004182,1|hero105:item130000005182,1|hero106:item130000006182,1|hero107:item130000007182,1|hero108:item130000008182,1
item94000000384	1	hero101:item130000001382,1|hero102:item130000002382,1|hero103:item130000003382,1|hero104:item130000004382,1|hero105:item130000005382,1|hero106:item130000006382,1|hero107:item130000007382,1|hero108:item130000008382,1
item94000000385	1	item105100000004,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000044,1;item105000000048,1;item105100000001,1;item105100000002,1;item105100000003,1;item105100000009,1;item105100000016,1
item91000001169	1	item127000053103,1;item127000053203,1;item127000053205,1;item127000053206,1;item127000053207,1;item127000053104,1;item127000053208,1;item127000053304,1;item127000053106,1;item127000053210,1;item127000053306,1;item127000053308,1;item127000053108,1;item127000053213,1;item127000053309,1;item127000053310,1
item96000000036	1	hero101:item130000001278,1|hero102:item130000002278,1|hero103:item130000003278,1|hero104:item130000004278,1|hero105:item130000005278,1|hero106:item130000006278,1|hero107:item130000007278,1|hero108:item130000008278,1
item96000000037	1	hero101:item130000001378,1|hero102:item130000002378,1|hero103:item130000003378,1|hero104:item130000004378,1|hero105:item130000005378,1|hero106:item130000006378,1|hero107:item130000007378,1|hero108:item130000008378,1
item94000000386	1	item82130500100084,1;item82130500100083,1;item82130500100082,1;item82130500100081,1;item82130500100080,1;item82130000100051,1;item82130000100052,1;item82130200100042,1;item82130600100040,1;item82130800100058,1;item82130700100076,1;item82130900100077,1
item94000000389	1	hero101:item130000001281,1|hero102:item130000002281,1|hero103:item130000003281,1|hero104:item130000004281,1|hero105:item130000005281,1|hero106:item130000006281,1|hero107:item130000007281,1|hero108:item130000008281,1
item94000000390	1	hero101:item130000001381,1|hero102:item130000002381,1|hero103:item130000003381,1|hero104:item130000004381,1|hero105:item130000005381,1|hero106:item130000006381,1|hero107:item130000007381,1|hero108:item130000008381,1
item95000000370	1	item101020507355,1;item101020507356,1
item95000000371	1	item91000001151,1;item8102020061004,1;item82130000100052,1;item162000220507,1
item94000000397	1	item107100053308,1;item107100053306,1;item107100053309,1;item107100053304,1
item94000000398	1	item127000053308,1;item127000053306,1;item127000053309,1;item127000053304,1
item95000000372	1	item107100053306,1;item107100053210,1;item107100053108,1;item127000053306,1;item127000053210,1;item127000053108,1
item91000001182	1	item8230000000101,1;item8230000000104,1
item91000001183	1	item8230000000201,1;item8230000000204,1
item91000001185	1	item8101020505309,1;item8101020505312,1;item8101020505313,1;item8101020505314,1;item8101020505315,1;item8101020505316,1;item8101020505317,1
item91000001188	1	item82130500100080,1;item82130400100081,1
item95000000375	1	item82130700100082,1;item82130600100040,1;item82130000100051,1
item94000000409	1	item140000003031,1;item140000003032,1
item95000000378	1	item175100000002,15;item119100000003,30;item103015110406,1;item8101020503093,1
item99000000001	1	hero101:item130000001284,1|hero102:item130000002284,1|hero103:item130000003284,1|hero104:item130000004284,1|hero105:item130000005284,1|hero106:item130000006284,1|hero107:item130000007284,1|hero108:item130000008284,1
item99000000002	1	hero101:item130000001184,1|hero102:item130000002184,1|hero103:item130000003184,1|hero104:item130000004184,1|hero105:item130000005184,1|hero106:item130000006184,1|hero107:item130000007184,1|hero108:item130000008184,1
item99000000003	1	hero101:item130000001384,1|hero102:item130000002384,1|hero103:item130000003384,1|hero104:item130000004384,1|hero105:item130000005384,1|hero106:item130000006384,1|hero107:item130000007384,1|hero108:item130000008384,1
item95000000379	1	item144300007122,1;item144300007121,1;item144300007120,1;item144300007119,1;item144300007118,1;item144300007117,1;item144300007116,1;item144300007115,1;item144300007114,1;item144300007113,1;item144300007112,1;item144300007111,1;item144300007110,1
item95000000380	1	item144300013010,1;item144300012010,1
item94000000410	1	item144300007129,1;item144300007128,1;item144300007127,1;item144300007126,1;item144300007125,1;item144300007124,1;item144300007123,1
item94000000411	1	item8101020505353,1;item8101020505345,1;item8101020505344,1;item8101020505317,1;item8101020505316,1;item8101020505315,1;item8101020505314,1;item8101020505313,1;item8101020505312,1;item8101020505309,1
item94000000412	1	item144300013013,1;item144300013012,1;item144300013011,1;item144300012013,1;item144300012012,1;item144300012011,1
item94000000413	1	item127000053205,1;item127000053206,1;item127000053207,1
item91000001193	1	item101020507355,1;item101020507356,1
item95000000384	1	item91000000245,1;item93000000172,1;item93000000173,1;item93000000174,1;item101020507358,1
item94000000420	1	item173000005009,1
item95000000386	1	item95000000385,1;item8102020061004,1;item82130900100077,1;item82130500100080,1
item95000000387	1	item8103010132341,1;item891000000694,1
item176100100666	1	item176100100112,1;item176100100122,1;item176100100132,1;item176100100142,1;item176100100152,1;item176100100162,1;item176100100212,1;item176100100222,1;item176100100232,1;item176100100242,1;item176100100252,1;item176100100262,1;item176100100312,1;item176100100322,1;item176100100332,1;item176100100342,1;item176100100352,1;item176100100362,1;item176100100412,1;item176100100422,1;item176100100432,1;item176100100442,1;item176100100452,1;item176100100462,1;item176100100512,1;item176100100522,1;item176100100532,1;item176100100542,1;item176100100552,1;item176100100562,1;item176100100612,1;item176100100622,1;item176100100632,1;item176100100642,1;item176100100652,1;item176100100662,1;
item176100100667	1	item176100100113,1;item176100100123,1;item176100100133,1;item176100100143,1;item176100100153,1;item176100100163,1;item176100100213,1;item176100100223,1;item176100100233,1;item176100100243,1;item176100100253,1;item176100100263,1;item176100100313,1;item176100100323,1;item176100100333,1;item176100100343,1;item176100100353,1;item176100100363,1;item176100100413,1;item176100100423,1;item176100100433,1;item176100100443,1;item176100100453,1;item176100100463,1;item176100100513,1;item176100100523,1;item176100100533,1;item176100100543,1;item176100100553,1;item176100100563,1;item176100100613,1;item176100100623,1;item176100100633,1;item176100100643,1;item176100100653,1;item176100100663,1;
item176100100668	1	item176100100114,1;item176100100124,1;item176100100134,1;item176100100144,1;item176100100154,1;item176100100164,1;item176100100214,1;item176100100224,1;item176100100234,1;item176100100244,1;item176100100254,1;item176100100264,1;item176100100314,1;item176100100324,1;item176100100334,1;item176100100344,1;item176100100354,1;item176100100364,1;item176100100414,1;item176100100424,1;item176100100434,1;item176100100444,1;item176100100454,1;item176100100464,1;item176100100514,1;item176100100524,1;item176100100534,1;item176100100544,1;item176100100554,1;item176100100564,1;item176100100614,1;item176100100624,1;item176100100634,1;item176100100644,1;item176100100654,1;item176100100664,1;
item176100100672	1	item176100100715,1;item176100100725,1;item176100100735,1;item176100100745,1;item176100100755,1;item176100100765,1;item176100100815,1;item176100100825,1;item176100100835,1;item176100100845,1;item176100100855,1;item176100100865,1;item176100100915,1;item176100100925,1;item176100100935,1;item176100100945,1;item176100100955,1;item176100100965,1;item176100101015,1;item176100101025,1;item176100101035,1;item176100101045,1;item176100101055,1;item176100101065,1;item176100101115,1;item176100101125,1;item176100101135,1;item176100101145,1;item176100101155,1;item176100101165,1;item176100101215,1;item176100101225,1;item176100101235,1;item176100101245,1;item176100101255,1;item176100101265,1;
item99000000004	1	hero101:item130000001260,1|hero102:item130000002260,1|hero103:item130000003260,1|hero104:item130000004260,1|hero105:item130000005260,1|hero106:item130000006260,1|hero107:item130000007260,1|hero108:item130000008260,1|
item99000000005	1	hero101:item130000001360,1|hero102:item130000002360,1|hero103:item130000003360,1|hero104:item130000004360,1|hero105:item130000005360,1|hero106:item130000006360,1|hero107:item130000007360,1|hero108:item130000008360,1|
item99000000006	1	hero101:item130000001160,1|hero102:item130000002160,1|hero103:item130000003160,1|hero104:item130000004160,1|hero105:item130000005160,1|hero106:item130000006160,1|hero107:item130000007160,1|hero108:item130000008160,1|
item99000000007	1	hero101:item130000001261,1|hero102:item130000002261,1|hero103:item130000003261,1|hero104:item130000004261,1|hero105:item130000005261,1|hero106:item130000006261,1|hero107:item130000007261,1|hero108:item130000008261,1|
item99000000008	1	hero101:item130000001361,1|hero102:item130000002361,1|hero103:item130000003361,1|hero104:item130000004361,1|hero105:item130000005361,1|hero106:item130000006361,1|hero107:item130000007361,1|hero108:item130000008361,1|
item99000000009	1	hero101:item130000001262,1|hero102:item130000002262,1|hero103:item130000003262,1|hero104:item130000004262,1|hero105:item130000005262,1|hero106:item130000006262,1|hero107:item130000007262,1|hero108:item130000008262,1|
item99000000010	1	hero101:item130000001362,1|hero102:item130000002362,1|hero103:item130000003362,1|hero104:item130000004362,1|hero105:item130000005362,1|hero106:item130000006362,1|hero107:item130000007362,1|hero108:item130000008362,1|
item99000000011	1	hero101:item130000001263,1|hero102:item130000002263,1|hero103:item130000003263,1|hero104:item130000004263,1|hero105:item130000005263,1|hero106:item130000006263,1|hero107:item130000007263,1|hero108:item130000008263,1|
item99000000012	1	hero101:item130000001363,1|hero102:item130000002363,1|hero103:item130000003363,1|hero104:item130000004363,1|hero105:item130000005363,1|hero106:item130000006363,1|hero107:item130000007363,1|hero108:item130000008363,1|
item99000000013	1	hero101:item130000001264,1|hero102:item130000002264,1|hero103:item130000003264,1|hero104:item130000004264,1|hero105:item130000005264,1|hero106:item130000006264,1|hero107:item130000007264,1|hero108:item130000008264,1|
item99000000014	1	hero101:item130000001364,1|hero102:item130000002364,1|hero103:item130000003364,1|hero104:item130000004364,1|hero105:item130000005364,1|hero106:item130000006364,1|hero107:item130000007364,1|hero108:item130000008364,1|
item99000000015	1	hero101:item130000001265,1|hero102:item130000002265,1|hero103:item130000003265,1|hero104:item130000004265,1|hero105:item130000005265,1|hero106:item130000006265,1|hero107:item130000007265,1|hero108:item130000008265,1|
item99000000016	1	hero101:item130000001365,1|hero102:item130000002365,1|hero103:item130000003365,1|hero104:item130000004365,1|hero105:item130000005365,1|hero106:item130000006365,1|hero107:item130000007365,1|hero108:item130000008365,1|
item99000000017	1	hero101:item130000001266,1|hero102:item130000002266,1|hero103:item130000003266,1|hero104:item130000004266,1|hero105:item130000005266,1|hero106:item130000006266,1|hero107:item130000007266,1|hero108:item130000008266,1|
item99000000018	1	hero101:item130000001366,1|hero102:item130000002366,1|hero103:item130000003366,1|hero104:item130000004366,1|hero105:item130000005366,1|hero106:item130000006366,1|hero107:item130000007366,1|hero108:item130000008366,1|
item99000000019	1	hero101:item130000001267,1|hero102:item130000002267,1|hero103:item130000003267,1|hero104:item130000004267,1|hero105:item130000005267,1|hero106:item130000006267,1|hero107:item130000007267,1|hero108:item130000008267,1|
item99000000020	1	hero101:item130000001367,1|hero102:item130000002367,1|hero103:item130000003367,1|hero104:item130000004367,1|hero105:item130000005367,1|hero106:item130000006367,1|hero107:item130000007367,1|hero108:item130000008367,1|
item99000000021	1	hero101:item130000001268,1|hero102:item130000002268,1|hero103:item130000003268,1|hero104:item130000004268,1|hero105:item130000005268,1|hero106:item130000006268,1|hero107:item130000007268,1|hero108:item130000008268,1|
item99000000022	1	hero101:item130000001368,1|hero102:item130000002368,1|hero103:item130000003368,1|hero104:item130000004368,1|hero105:item130000005368,1|hero106:item130000006368,1|hero107:item130000007368,1|hero108:item130000008368,1|
item99000000023	1	hero101:item130000001168,1|hero102:item130000002168,1|hero103:item130000003168,1|hero104:item130000004168,1|hero105:item130000005168,1|hero106:item130000006168,1|hero107:item130000007168,1|hero108:item130000008168,1|
item99000000024	1	hero101:item130000001269,1|hero102:item130000002269,1|hero103:item130000003269,1|hero104:item130000004269,1|hero105:item130000005269,1|hero106:item130000006269,1|hero107:item130000007269,1|hero108:item130000008269,1|
item99000000025	1	hero101:item130000001369,1|hero102:item130000002369,1|hero103:item130000003369,1|hero104:item130000004369,1|hero105:item130000005369,1|hero106:item130000006369,1|hero107:item130000007369,1|hero108:item130000008369,1|
item99000000026	1	hero101:item130000001270,1|hero102:item130000002270,1|hero103:item130000003270,1|hero104:item130000004270,1|hero105:item130000005270,1|hero106:item130000006270,1|hero107:item130000007270,1|hero108:item130000008270,1|
item99000000027	1	hero101:item130000001370,1|hero102:item130000002370,1|hero103:item130000003370,1|hero104:item130000004370,1|hero105:item130000005370,1|hero106:item130000006370,1|hero107:item130000007370,1|hero108:item130000008370,1|
item99000000028	1	hero101:item130000001278,1|hero102:item130000002278,1|hero103:item130000003278,1|hero104:item130000004278,1|hero105:item130000005278,1|hero106:item130000006278,1|hero107:item130000007278,1|hero108:item130000008278,1|
item99000000029	1	hero101:item130000001378,1|hero102:item130000002378,1|hero103:item130000003378,1|hero104:item130000004378,1|hero105:item130000005378,1|hero106:item130000006378,1|hero107:item130000007378,1|hero108:item130000008378,1|
item99000000030	1	hero101:item130000001279,1|hero102:item130000002279,1|hero103:item130000003279,1|hero104:item130000004279,1|hero105:item130000005279,1|hero106:item130000006279,1|hero107:item130000007279,1|hero108:item130000008279,1|
item99000000031	1	hero101:item130000001379,1|hero102:item130000002379,1|hero103:item130000003379,1|hero104:item130000004379,1|hero105:item130000005379,1|hero106:item130000006379,1|hero107:item130000007379,1|hero108:item130000008379,1|
item99000000032	1	hero101:item130000001280,1|hero102:item130000002280,1|hero103:item130000003280,1|hero104:item130000004280,1|hero105:item130000005280,1|hero106:item130000006280,1|hero107:item130000007280,1|hero108:item130000008280,1|
item99000000033	1	hero101:item130000001380,1|hero102:item130000002380,1|hero103:item130000003380,1|hero104:item130000004380,1|hero105:item130000005380,1|hero106:item130000006380,1|hero107:item130000007380,1|hero108:item130000008380,1|
item99000000034	1	hero101:item130000001281,1|hero102:item130000002281,1|hero103:item130000003281,1|hero104:item130000004281,1|hero105:item130000005281,1|hero106:item130000006281,1|hero107:item130000007281,1|hero108:item130000008281,1|
item99000000035	1	hero101:item130000001381,1|hero102:item130000002381,1|hero103:item130000003381,1|hero104:item130000004381,1|hero105:item130000005381,1|hero106:item130000006381,1|hero107:item130000007381,1|hero108:item130000008381,1|
item99000000036	1	hero101:item130000001282,1|hero102:item130000002282,1|hero103:item130000003282,1|hero104:item130000004282,1|hero105:item130000005282,1|hero106:item130000006282,1|hero107:item130000007282,1|hero108:item130000008282,1|
item99000000037	1	hero101:item130000001382,1|hero102:item130000002382,1|hero103:item130000003382,1|hero104:item130000004382,1|hero105:item130000005382,1|hero106:item130000006382,1|hero107:item130000007382,1|hero108:item130000008382,1|
item99000000038	1	hero101:item130000001182,1|hero102:item130000002182,1|hero103:item130000003182,1|hero104:item130000004182,1|hero105:item130000005182,1|hero106:item130000006182,1|hero107:item130000007182,1|hero108:item130000008182,1|
item99000000039	1	hero101:item130000001283,1|hero102:item130000002283,1|hero103:item130000003283,1|hero104:item130000004283,1|hero105:item130000005283,1|hero106:item130000006283,1|hero107:item130000007283,1|hero108:item130000008283,1|
item99000000040	1	hero101:item130000001383,1|hero102:item130000002383,1|hero103:item130000003383,1|hero104:item130000004383,1|hero105:item130000005383,1|hero106:item130000006383,1|hero107:item130000007383,1|hero108:item130000008383,1|
item99000000041	1	hero101:item130000001183,1|hero102:item130000002183,1|hero103:item130000003183,1|hero104:item130000004183,1|hero105:item130000005183,1|hero106:item130000006183,1|hero107:item130000007183,1|hero108:item130000008183,1|
item99000000042	1	hero101:item130000001285,1|hero102:item130000002285,1|hero103:item130000003285,1|hero104:item130000004285,1|hero105:item130000005285,1|hero106:item130000006285,1|hero107:item130000007285,1|hero108:item130000008285,1|
item99000000043	1	hero101:item130000001385,1|hero102:item130000002385,1|hero103:item130000003385,1|hero104:item130000004385,1|hero105:item130000005385,1|hero106:item130000006385,1|hero107:item130000007385,1|hero108:item130000008385,1|
item99000000044	1	hero101:item130000001286,1|hero102:item130000002286,1|hero103:item130000003286,1|hero104:item130000004286,1|hero105:item130000005286,1|hero106:item130000006286,1|hero107:item130000007286,1|hero108:item130000008286,1|
item99000000045	1	hero101:item130000001386,1|hero102:item130000002386,1|hero103:item130000003386,1|hero104:item130000004386,1|hero105:item130000005386,1|hero106:item130000006386,1|hero107:item130000007386,1|hero108:item130000008386,1|
item99000000046	1	hero101:item130000001186,1|hero102:item130000002186,1|hero103:item130000003186,1|hero104:item130000004186,1|hero105:item130000005186,1|hero106:item130000006186,1|hero107:item130000007186,1|hero108:item130000008186,1
item91000001204	1	hero101:item133000301381,1|hero102:item133000302381,1|hero103:item133000303381,1|hero107:item133000307381,1|hero104:item133000304381,1|hero108:item133000308381,1|hero105:item133000305381,1|hero106:item133000306381,1
item91000001205	1	hero101:item133000301281,1|hero102:item133000302281,1|hero103:item133000303281,1|hero107:item133000307281,1|hero104:item133000304281,1|hero108:item133000308281,1|hero105:item133000305281,1|hero106:item133000306281,1
item94000000421	1	item130000040333,1;item94000000098,1;item94000000099,1;item94000000100,1
item94000000431	1	item107100053306,1;item107100053213,1;item107100053208,1
item92000000246	1	item175000240001,1;item175000240002,1;item175000240003,1;item175000240004,1;item175000240005,1;item175000240006,1;item175000140001,1;item175000140002,1;item175000140003,1;item175000140004,1;item175000140005,1;item175000140006,1
item92000000247	1	item175000340001,1;item175000340002,1
item95000000406	1	item107100053103,1;item107100053210,1;item127000053103,1;item127000053210,1
item95000000408	1	item91000001016,3;item8102020061004,1;item82130800100058,1;item162000320707,1
item95000000409	1	item107100053205,1;item107100053206,1
item95000000410	1	item107100053309,1;item107100053213,1;item127000053309,1;item127000053213,1
item95000000416	1	item130000040338,1;item130000040340,1;item130000040341,1
item94000000434	1	item105100000004,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000044,1;item105000000048,1;item105100000001,1;item105100000002,1;item105100000003,1;item105100000023,1
item94000000436	1	item102020061010,1;item102020061011,1;item102020061012,1;item102020061013,1;item102020061017,1;item102020061019,1
item94000000446	1	item107100053207,1;item107100053106,1;item107100053304,1
item94000000447	1	item127000053207,1;item127000053106,1;item127000053304,1
item95000000418	1	item82130400100081,1;item82130700100076,1;item82130700100082,1
