时装id	英雄ID	SDKAreaType	低模长相	高模长相	类型	衣服配色	缩放比例	展示icon	激活道具	展示文本	转换性别时装id	穿戴属性	收藏属性	套装id	展示类型
fashion_107331	hero107		c007|face|c007_face001_t1|head|c007_head006_t1	c007h|face|c007h_face001_t1|head|c007h_head006_t1	3			item130000007331	item131000007331,2592000	FashionDes_130000007331	fashion_103331			0	0
fashion_107351	hero107		c007|face|c007_face001_t1|head|c007_head007_t1	c007h|face|c007h_face001_t1|head|c007h_head007_t1	3			item130000007351	item130000007351,-1;item133000707351,604800	FashionDes_130000007351	fashion_103351	1,150	1,50;35,25	40071401	0
fashion_107352	hero107		c007|face|c007_face001_t1|head|c007_head008_t1	c007h|face|c007h_face001_t1|head|c007h_head008_t1	3			item130000007352	item130000007352,-1;item132000007352,604800;item132000007552,86400	FashionDes_130000007352	fashion_103352	1,150	1,50;35,25	40071402	0
fashion_107353	hero107		c007|face|c007_face001_t1|head|c007_head009_t1	c007h|face|c007h_face001_t1|head|c007h_head009_t1	3			item130000007353	item130000007353,-1	FashionDes_130000007353	fashion_103353	1,150	1,50;35,25	40071403	0
fashion_107354	hero107		c007|face|c007_face001_t1|head|c007_head504_t1	c007h|face|c007h_face001_t1|head|c007h_head504_t1	3			item130000007354	item130000007354,-1	FashionDes_130000007354	fashion_103354	1,150	1,50;35,25	40071404	0
fashion_107355	hero107		c007|face|c007_face001_t1|head|c007_head505_t1	c007h|face|c007h_face001_t1|head|c007h_head505_t1	3			item130000007355	item130000007355,-1	FashionDes_130000007355	fashion_103355	1,150	1,50;35,25	40071405	0
fashion_107356	hero107		c007|face|c007_face001_t1|head|c007_head507_t1	c007h|face|c007h_face001_t1|head|c007h_head507_t1	3			item130000007356	item130000007356,-1	FashionDes_130000007356	fashion_103356	1,150	1,50;35,25	40071406	0
fashion_107357	hero107		c007|face|c007_face001_t1|head|c007_head508_t1	c007h|face|c007h_face001_t1|head|c007h_head508_t1	3			item130000007357	item130000007357,-1	FashionDes_130000007357	fashion_103357	1,150	1,50;35,25	40071407	0
fashion_107358	hero107		c007|face|c007_face001_t1|head|c007_head506_t1	c007h|face|c007h_face001_t1|head|c007h_head506_t1	3			item130000007358	item130000007358,-1;item133000007358,259200	FashionDes_130000007358	fashion_103358	1,150	1,50;35,25	40071408	0
fashion_107359	hero107		c007|face|c007_face001_t1|head|c007_head509_t1	c007h|face|c007h_face001_t1|head|c007h_head509_t1	3			item130000007359	item130000007359,-1	FashionDes_130000007359	fashion_103359	1,150	1,50;35,25	40071409	0
fashion_107371	hero107		c007|face|c007_face001_t1|head|c007_head011_t1	c007h|face|c007h_face001_t1|head|c007h_head011_t1	3	10720211,10720212,10720213		item130000007371	item130000007371,-1	FashionDes_130000007371		1,50	1,20	0	0
fashion_107372	hero107		c007|face|c007_face001_t1|head|c007_head012_t1	c007h|face|c007h_face001_t1|head|c007h_head012_t1	3	10720221,10720222,10720223		item130000007372	item130000007372,-1	FashionDes_130000007372		1,50	1,20	0	0
fashion_107374	hero107		c007|face|c007_face001_t1|head|c007_head010_t1	c007h|face|c007h_face001_t1|head|c007h_head010_t1	3			item130000007374	item130000003374,-1	FashionDes_130000007374	fashion_103374	1,50	1,20	0	0
fashion_307301	hero107		c007|face||head|c007_head301_t1	c007h|face||head|c007h_head301_t1	3			item130000307301	item130000307301,-1	FashionDes_130000301301	fashion_303301	1,150	1,50;35,25	0	0
fashion_307302	hero107		c007|face|c007_face001_t1|head|c007_head302_t1	c007h|face|c007h_face001_t1|head|c007h_head302_t1	3			item130000307302	item130000307302,-1	FashionDes_130000301302	fashion_303302	1,500;12,150;52,100;32,100;34,100	1,200;3,20;32,50;34,50	0	0
fashion_307303	hero107		c007|face|c007_face001_t1|head|c007_head303_t1	c007h|face|c007h_face001_t1|head|c007h_head303_t1	3			item130000307303	item130000307303,-1	FashionDes_130000301303	fashion_303303	1,500;12,150;52,100;32,100;34,100	1,200;3,20;32,50;34,50	0	0
fashion_108102	hero108		c008|weapon|c008_weapon003_t1	c008h|weapon|c008h_weapon003_t1	1			item130000008102	item130000008102,-1	FashionDes_130000004102	fashion_104102			0	0
fashion_108103	hero108		c008|weapon|c008_weapon002_t1	c008h|weapon|c008h_weapon002_t1	1			item130000008103	item130000008103,-1	FashionDes_130000004103	fashion_104103			0	0
fashion_108104	hero108		c008|weapon|c008_weapon013_t1	c008h|weapon|c008h_weapon013_t1	1			item130000008104	item130000008104,-1	FashionDes_130000004104	fashion_104104			0	0
fashion_108105	hero108		c008|weapon|c008_weapon014_t1	c008h|weapon|c008h_weapon014_t1	1			item130000008105	item130000008105,-1	FashionDes_130000004105	fashion_104105			0	0
fashion_108106	hero108		c008|weapon|c008_weapon018_t1	c008h|weapon|c008h_weapon018_t1	1			item130000008106	item130000008106,-1	FashionDes_130000004106	fashion_104106			0	0
fashion_108107	hero108		c008|weapon|c008_weapon107_t1	c008h|weapon|c008h_weapon107_t1	1			item130000008107	item130000008107,-1	FashionDes_130000004107	fashion_104107			0	0
fashion_108108	hero108		c008|weapon|c008_weapon108_t1	c008h|weapon|c008h_weapon108_t1	1			item130000008108	item130000008108,-1	FashionDes_130000004108	fashion_104108			0	0
fashion_108131	hero108		c008|weapon|c008_weapon004_t1	c008h|weapon|c008h_weapon004_t1	1			item130000008131	item131000008131,2592000	FashionDes_130000004131	fashion_104131			0	0
fashion_108151	hero108		c008|weapon|c008_weapon005_t1	c008h|weapon|c008h_weapon005_t1	1			item130000008151	item130000008151,-1;item133000708151,604800	FashionDes_130000004151	fashion_104151	3,15	3,5;30,25	40081401	0
fashion_108152	hero108		c008|weapon|c008_weapon006_t1	c008h|weapon|c008h_weapon006_t1	1			item130000008152	item130000008152,-1	FashionDes_130000004152	fashion_104152	3,15	3,5;30,25	40081402	0
fashion_108153	hero108		c008|weapon|c008_weapon012_t1	c008h|weapon|c008h_weapon012_t1	1			item130000008153	item130000008153,-1	FashionDes_130000004153	fashion_104153	3,15	3,5;30,25	40081403	0
fashion_108154	hero108		c008|weapon|c008_weapon504_t1	c008h|weapon|c008h_weapon504_t1	1			item130000008154	item130000008154,-1;item132000008154,86400	FashionDes_130000004154	fashion_104154	3,15	3,5;30,25	40081404	0
fashion_108155	hero108		c008|weapon|c008_weapon507_t1	c008h|weapon|c008h_weapon507_t1	1			item130000008155	item130000008155,-1	FashionDes_130000004155	fashion_104155	3,15	3,5;30,25	40081406	0
fashion_108156	hero108		c008|weapon|c008_weapon508_t1	c008h|weapon|c008h_weapon508_t1	1			item130000008156	item130000008156,-1	FashionDes_130000004156	fashion_104156	3,15	3,5;30,25	40081407	0
fashion_108158	hero108		c008|weapon|c008_weapon506_t1	c008h|weapon|c008h_weapon506_t1	1			item130000008158	item130000008158,-1;item133000008158,259200	FashionDes_130000004158	fashion_104158	3,15	3,5;30,25	40081408	0
fashion_108159	hero108		c008|weapon|c008_weapon509_t1	c008h|weapon|c008h_weapon509_t1	1			item130000008159	item130000008159,-1	FashionDes_130000004159	fashion_104159	3,15	3,5;30,25	40081409	0
fashion_108171	hero108		c008|weapon|c008_weapon007_t1	c008h|weapon|c008h_weapon007_t1	1			item130000008171	item130000008171,-1	FashionDes_130000004171	fashion_104171	3,5	3,2	0	0
fashion_108172	hero108		c008|weapon|c008_weapon008_t1	c008h|weapon|c008h_weapon008_t1	1			item130000008172	item130000008172,-1	FashionDes_130000004172	fashion_104172	3,5	3,2	0	0
fashion_108173	hero108		c008|weapon|c008_weapon009_t1	c008h|weapon|c008h_weapon009_t1	1			item130000008173	item130000008173,-1	FashionDes_130000004173	fashion_104173	3,5	3,2	0	0
fashion_108174	hero108		c008|weapon|c008_weapon010_t1	c008h|weapon|c008h_weapon010_t1	1			item130000008174	item130000008174,-1	FashionDes_130000004174	fashion_104174	3,5	3,2	0	0
fashion_108175	hero108		c008|weapon|c008_weapon011_t1	c008h|weapon|c008h_weapon011_t1	1			item130000008175	item130000008175,-1	FashionDes_130000004175	fashion_104175	3,5	3,2	0	0
fashion_108202	hero108		c008|bottoms|c008_bottoms003_t1|clothes|c008_clothes003_t1|shoulder|c008_shoulder003_t1	c008h|bottoms|c008h_bottoms003_t1|clothes|c008h_clothes003_t1|shoulder|c008h_shoulder003_t1|parta|c008h_parta001_t1	2			item130000008202	item130000008202,-1	FashionDes_130000008202	fashion_104202			0	0
fashion_108203	hero108		c008|bottoms|c008_bottoms002_t1|clothes|c008_clothes002_t1|shoulder|c008_shoulder002_t1	c008h|bottoms|c008h_bottoms002_t1|clothes|c008h_clothes002_t1|shoulder|c008h_shoulder002_t1|parta|c008h_parta001_t1	2			item130000008203	item130000008203,-1	FashionDes_130000008203	fashion_104203			0	0
fashion_108204	hero108		c008|bottoms|c008_bottoms004_t1|clothes|c008_clothes004_t1|shoulder|c008_shoulder004_t1	c008h|bottoms|c008h_bottoms004_t1|clothes|c008h_clothes004_t1|shoulder|c008h_shoulder004_t1|parta|c008h_parta001_t1	2			item130000008204	item130000008204,-1	FashionDes_130000008204	fashion_104204			0	0
fashion_108205	hero108		c008|bottoms|c008_bottoms005_t1|clothes|c008_clothes005_t1|shoulder|c008_shoulder005_t1	c008h|bottoms|c008h_bottoms005_t1|clothes|c008h_clothes005_t1|shoulder|c008h_shoulder005_t1|parta|c008h_parta001_t1	2			item130000008205	item130000008205,-1	FashionDes_130000008205	fashion_104205			0	0
fashion_108206	hero108		c008|bottoms|c008_bottoms006_t1|clothes|c008_clothes006_t1|shoulder|c008_shoulder006_t1	c008h|bottoms|c008h_bottoms006_t1|clothes|c008h_clothes006_t1|shoulder|c008h_shoulder006_t1|parta|c008h_parta001_t1	2			item130000008206	item130000008206,-1	FashionDes_130000008206	fashion_104206			0	0
fashion_108207	hero108		c008|bottoms|c008_bottoms007_t1|clothes|c008_clothes007_t1|shoulder|c008_shoulder007_t1	c008h|bottoms|c008h_bottoms007_t1|clothes|c008h_clothes007_t1|shoulder|c008h_shoulder007_t1|parta|c008h_parta001_t1	2			item130000008207	item130000008207,-1	FashionDes_130000008207	fashion_104207			0	0
fashion_108208	hero108		c008|bottoms|c008_bottoms008_t1|clothes|c008_clothes008_t1|shoulder|c008_shoulder008_t1	c008h|bottoms|c008h_bottoms008_t1|clothes|c008h_clothes008_t1|shoulder|c008h_shoulder008_t1|parta|c008h_parta001_t1	2			item130000008208	item130000008208,-1	FashionDes_130000008208	fashion_104208			0	0
fashion_108231	hero108		c008|bottoms|c008_bottoms801_t1|clothes|c008_clothes801_t1|shoulder|c008_shoulder801_t1	c008h|bottoms|c008h_bottoms801_t1|clothes|c008h_clothes801_t1|shoulder|c008h_shoulder801_t1|parta|c008h_parta001_t1	2			item130000008231	item131000008231,2592000	FashionDes_130000008231	fashion_104231			0	0
fashion_108251	hero108		c008|bottoms||clothes|c008_clothes501_t1|shoulder||parta||	c008h|bottoms||clothes|c008h_clothes501_t1|shoulder||parta||	2			item130000008251	item130000008251,-1;item132000008251,604800;item133000708251,604800	FashionDes_130000008251	fashion_104251	4,15	4,5;33,25	40081401	0
fashion_108252	hero108		c008|bottoms||clothes|c008_clothes502_t1|shoulder||parta||	c008h|bottoms||clothes|c008h_clothes502_t1|shoulder||parta||	2			item130000008252	item130000008252,-1;item132000008252,604800;item132000008452,86400	FashionDes_130000008252	fashion_104252	4,15	4,5;33,25	40081402	0
fashion_108253	hero108		c008|bottoms||clothes|c008_clothes503_t1|shoulder||parta||	c008h|bottoms||clothes|c008h_clothes503_t1|shoulder||parta||	2			item130000008253	item130000008253,-1	FashionDes_130000008253	fashion_104253	4,15	4,5;33,25	40081403	0
fashion_108254	hero108		c008|bottoms||clothes|c008_clothes504_t1|shoulder||parta||	c008h|bottoms||clothes|c008h_clothes504_t1|shoulder||parta||	2			item130000008254	item130000008254,-1;item132000008254,86400	FashionDes_130000008254	fashion_104254	4,15	4,5;33,25	40081404	0
fashion_108255	hero108		c008|bottoms||clothes|c008_clothes505_t1|shoulder||parta||	c008h|bottoms||clothes|c008h_clothes505_t1|shoulder||parta||	2			item130000008255	item130000008255,-1	FashionDes_130000008255	fashion_104255	4,15	4,5;33,25	40081405	0
fashion_108256	hero108		c008|bottoms||clothes|c008_clothes507_t1|shoulder||parta||	c008h|bottoms||clothes|c008h_clothes507_t1|shoulder||parta||	2			item130000008256	item130000008256,-1	FashionDes_130000008256	fashion_104256	4,15	4,5;33,25	40081406	0
fashion_108257	hero108		c008|bottoms||clothes|c008_clothes508_t1|shoulder||parta||	c008h|bottoms||clothes|c008h_clothes508_t1|shoulder||parta||	2			item130000008257	item130000008257,-1;item133000108257,86400	FashionDes_130000008257	fashion_104257	4,15	4,5;33,25	40081407	0
fashion_108258	hero108		c008|bottoms||clothes|c008_clothes506_t1|shoulder||	c008h|bottoms||clothes|c008h_clothes506_t1|shoulder||	2			item130000008258	item130000008258,-1;item133000008258,259200	FashionDes_130000008258	fashion_104258	4,15	4,5;33,25	40081408	0
fashion_108259	hero108		c008|bottoms||clothes|c008_clothes509_t1|shoulder||	c008h|bottoms||clothes|c008h_clothes509_t1|shoulder||	2			item130000008259	item130000008259,-1	FashionDes_130000008259	fashion_104259	4,15	4,5;33,25	40081409	0
fashion_108304	hero108		c008|face|c008_face001_t1|head|c008_head002_t1	c008h|face|c008h_face001_t1|head|c008h_head002_t1	3	10820211,10820212,10820213		item130000008304	item130000008304,-1	FashionDes_130000008304	fashion_104304			0	0
fashion_108306	hero108		c008|face|c008_face001_t1|head|c008_head013_t1	c008h|face|c008h_face001_t1|head|c008h_head013_t1	3			item130000008306	item130000008306,-1	FashionDes_130000008306	fashion_104306			0	0
fashion_108307	hero108		c008|face|c008_face001_t1|head|c008_head107_t1	c008h|face|c008h_face001_t1|head|c008h_head107_t1	3			item130000008307	item130000008307,-1	FashionDes_130000008307	fashion_104307			0	0
fashion_108308	hero108		c008|face|c008_face001_t1|head|c008_head108_t1	c008h|face|c008h_face001_t1|head|c008h_head108_t1	3			item130000008308	item130000008308,-1	FashionDes_130000008308	fashion_104308			0	0
fashion_108331	hero108		c008|face|c008_face001_t1|head|c008_head006_t1	c008h|face|c008h_face001_t1|head|c008h_head006_t1	3			item130000008331	item130000008331,2592000	FashionDes_130000008331				0	0
fashion_108351	hero108		c008|face|c008_face001_t1|head|c008_head009_t1	c008h|face|c008h_face001_t1|head|c008h_head009_t1	3			item130000008351	item130000008351,-1;item133000708351,604800	FashionDes_130000008351	fashion_104351	1,150	1,50;35,25	40081401	0
fashion_108352	hero108		c008|face|c008_face001_t1|head|c008_head008_t1	c008h|face|c008h_face001_t1|head|c008h_head008_t1	3			item130000008352	item130000008352,-1;item132000008352,604800;item132000008552,86400	FashionDes_130000008352	fashion_104352	1,150	1,50;35,25	40081402	0
fashion_108353	hero108		c008|face|c008_face001_t1|head|c008_head007_t1	c008h|face|c008h_face001_t1|head|c008h_head007_t1	3			item130000008353	item130000008353,-1	FashionDes_130000008353	fashion_104353	1,150	1,50;35,25	40081403	0
fashion_108354	hero108		c008|face|c008_face001_t1|head|c008_head504_t1	c008h|face|c008h_face001_t1|head|c008h_head504_t1	3			item130000008354	item130000008354,-1	FashionDes_130000008354	fashion_104354	1,150	1,50;35,25	40081404	0
fashion_108355	hero108		c008|face|c008_face001_t1|head|c008_head505_t1	c008h|face|c008h_face001_t1|head|c008h_head505_t1	3			item130000008355	item130000008355,-1	FashionDes_130000008355	fashion_104355	1,150	1,50;35,25	40081405	0
fashion_108356	hero108		c008|face|c008_face001_t1|head|c008_head507_t1	c008h|face|c008h_face001_t1|head|c008h_head507_t1	3			item130000008356	item130000008356,-1	FashionDes_130000008356	fashion_104356	1,150	1,50;35,25	40081406	0
fashion_108357	hero108		c008|face|c008_face001_t1|head|c008_head508_t1	c008h|face|c008h_face001_t1|head|c008h_head508_t1	3			item130000008357	item130000008357,-1	FashionDes_130000008357	fashion_104357	1,150	1,50;35,25	40081407	0
fashion_108358	hero108		c008|face|c008_face001_t1|head|c008_head506_t1	c008h|face|c008h_face001_t1|head|c008h_head506_t1	3			item130000008358	item130000008358,-1;item133000008358,259200	FashionDes_130000008358	fashion_104358	1,150	1,50;35,25	40081408	0
fashion_108359	hero108		c008|face|c008_face001_t1|head|c008_head509_t1	c008h|face|c008h_face001_t1|head|c008h_head509_t1	3			item130000008359	item130000008359,-1	FashionDes_130000008359	fashion_104359	1,150	1,50;35,25	40081409	0
fashion_108371	hero108		c008|face|c008_face001_t1|head|c008_head010_t1	c008h|face|c008h_face001_t1|head|c008h_head010_t1	3			item130000008371	item130000008371,-1	FashionDes_130000008371	fashion_104374	1,50	1,20	0	0
fashion_108372	hero108		c008|face|c008_face001_t1|head|c008_head011_t1	c008h|face|c008h_face001_t1|head|c008h_head011_t1	3	10820221,10820222,10820223		item130000008372	item130000008372,-1	FashionDes_130000008372		1,50	1,20	0	0
fashion_108373	hero108		c008|face|c008_face001_t1|head|c008_head012_t1	c008h|face|c008h_face001_t1|head|c008h_head012_t1	3	10820231,10820232,10820233		item130000008373	item130000008373,-1	FashionDes_130000008373		1,50	1,20	0	0
fashion_308301	hero108		c008|face||head|c008_head301_t1	c008h|face||head|c008h_head301_t1	3			item130000308301	item130000308301,-1	FashionDes_130000301301	fashion_304301	1,150	1,50;35,25	0	0
fashion_308302	hero108		c008|face|c008_face001_t1|head|c008_head302_t1	c008h|face|c008h_face001_t1|head|c008h_head302_t1	3			item130000308302	item130000308302,-1	FashionDes_130000301302	fashion_304302	1,500;12,150;52,100;32,100;34,100	1,200;3,20;32,50;34,50	0	0
fashion_308303	hero108		c008|face|c008_face001_t1|head|c008_head303_t1	c008h|face|c008h_face001_t1|head|c008h_head303_t1	3			item130000308303	item130000308303,-1	FashionDes_130000301303	fashion_304303	1,500;12,150;52,100;32,100;34,100	1,200;3,20;32,50;34,50	0	0
fashion_100401	0		backd001_t1	backd001h_t1	4			item130000040301	item130000040301,-1	FashionDes_130000040301	fashion_100401	1,50;3,5	1,20;3,2	0	0
fashion_100402	0		backd010_t1	backd010h_t1	4			item130000040302	item130000040302,-1	FashionDes_130000040302	fashion_100402	1,100	1,20	0	0
fashion_100403	0		backd002_t1	backd002h_t1	4		hero101,1.4;hero102,1.4;hero103,1.4;hero104,1.4;hero105,1.4;hero106,1.4;hero107,1.4;hero108,1.4	item130000040303	item130000040303,-1	FashionDes_130000040303	fashion_100403	1,50;3,5	1,20;3,2	0	0
fashion_100404	0		backd003_t1	backd003h_t1	4		hero101,1.4;hero102,1.4;hero103,1.4;hero104,1.4;hero105,1.4;hero106,1.4;hero107,1.4;hero108,1.4	item130000040304	item130000040304,-1	FashionDes_130000040304	fashion_100404	1,50;3,5	1,20;3,2	0	0
fashion_100405	0		backd004_t1	backd004h_t1	4		hero101,1.4;hero102,1.4;hero103,1.4;hero104,1.4;hero105,1.4;hero106,1.4;hero107,1.4;hero108,1.4	item130000040305	item130000040305,-1	FashionDes_130000040305	fashion_100405	1,50;3,5	1,20;3,2	0	0
fashion_100406	0		backd100_t1	backd100h_t1	4		hero101,1.4;hero102,1.4;hero103,1.4;hero104,1.4;hero105,1.4;hero106,1.4;hero107,1.4;hero108,1.4	item130000040306	item130000040306,-1;item132000140306,86400;item132000740306,604800	FashionDes_130000040306	fashion_100406	1,100;3,10;132,100	1,50;3,2;31,25	0	0
fashion_100407	0		backd102_t1	backd102h_t1	4		hero101,1.4;hero102,1.4;hero103,1.4;hero104,1.4;hero105,1.4;hero106,1.4;hero107,1.4;hero108,1.4	item130000040307	item130000040307,-1;item132000740307,604800;item132000540307,432000;item132000340307,259200	FashionDes_130000040307	fashion_100407	1,100;3,10;132,100	1,50;3,2;31,25	0	0
fashion_100408	0		backd103_t1	backd103h_t1	4		hero101,1.4;hero102,1.4;hero103,1.4;hero104,1.4;hero105,1.4;hero106,1.4;hero107,1.4;hero108,1.4	item130000040308	item130000040308,-1	FashionDes_130000040308	fashion_100408	3,50;51,100	3,5;34,50	0	0
fashion_100409	0		backd101_t1	backd101h_t1	4		hero101,1.4;hero102,1.4;hero103,1.4;hero104,1.4;hero105,1.4;hero106,1.4;hero107,1.4;hero108,1.4	item130000040309	item130000040309,-1	FashionDes_130000040309	fashion_100409	1,100;3,10;132,100	1,50;3,2;31,25	0	0
fashion_100410	0		backd005_t1	backd005_t1	4			item130000040310	item130000040310,-1	FashionDes_130000040310	fashion_100410	1,100;3,10;132,100	1,50;3,2;31,25	0	0
fashion_100411	0		backd901_t1	backd901h_t1	4			item130000940501	item130000940501,-1	FashionDes_130000940501	fashion_100411	30,500;31,500;32,500;33,500;34,500;35,500	30,100;31,100;32,100;33,100;34,100;35,100	0	0
fashion_100412	0		backd902_t1	backd902h_t1	4			item130000940502	item130000940502,-1	FashionDes_130000940502	fashion_100412	1,3000;3,300;4,300;51,500;52,250	1,600;3,60;4,60;51,100;52,50	0	0
fashion_100413	0		backd104_t1	backd104h_t1	4		hero101,0.7;hero102,0.7;hero103,0.7;hero104,0.7;hero105,0.7;hero106,0.7;hero107,0.7;hero108,0.7	item130000040311	item130000040311,-1	FashionDes_130000040311	fashion_100413	1,500;11,100	1,100;31,25	0	0
fashion_100414	0		backd006_t1	backd006h_t1	4			item130000040312	item130000040312,-1;item133007040312,604800	FashionDes_130000040312	fashion_100414	1,50;3,5	1,20;3,2	0	0
fashion_100415	0		backd011_t1	backd011h_t1	4			item130000040313	item130000040313,-1	FashionDes_130000040313	fashion_100415	1,50;3,5	1,20;3,2	0	0
fashion_100416	0		backd012_t1	backd012h_t1	4			item130000040314	item130000040314,-1	FashionDes_130000040314	fashion_100416	1,100;3,10;132,100	1,50;3,2;31,25	0	0
fashion_100417	0		backd014_t1	backd014h_t1	4		hero101,0.7;hero102,0.7;hero103,0.7;hero104,0.7;hero105,0.7;hero106,0.7;hero107,0.7;hero108,0.7	item130000040315	item130000040315,-1	FashionDes_130000040315	fashion_100417	1,50;3,5	1,20;3,2	0	0
fashion_100418	0		backd013_t1	backd013h_t1	4			item130000040316	item130000040316,-1	FashionDes_130000040316	fashion_100418	1,100;3,10;132,100	1,50;3,2;31,25	0	0
fashion_100419	0		backd016_t1	backd016h_t1	4			item130000040317	item130000040317,-1	FashionDes_130000040317	fashion_100419	1,100;3,10;132,100	1,50;3,2;31,25	0	0
fashion_100420	0		backd903_t1	backd903h_t1	4		hero101,0.9;hero102,0.9;hero103,0.9;hero104,0.9;hero105,0.9;hero106,0.9;hero107,0.9;hero108,0.9	item130000940503	item130000940503,-1	FashionDes_130000940503	fashion_100420	1,4000;206,400;105,1000;52,400	1,900;206,50;105,200;52,100	0	0
fashion_100421	0		backd002_t2	backd002h_t2	4		hero101,1.4;hero102,1.4;hero103,1.4;hero104,1.4;hero105,1.4;hero106,1.4;hero107,1.4;hero108,1.4	item130000040318	item130000040318,-1	FashionDes_130000040318	fashion_100421	1,50;3,5	1,20;3,2	0	0
fashion_100422	0		backd901_t2	backd901h_t2	4			item130000940504	item130000940504,-1;item133010940504,86400	FashionDes_130000940504	fashion_100422	30,500;31,500;32,500;33,500;34,500;35,500	30,100;31,100;32,100;33,100;34,100;35,100	0	0
fashion_100423	0		backd017_t1	backd017h_t1	4			item130000040319	item130000040319,-1	FashionDes_130000040319	fashion_100423	1,500;11,100	1,100;31,25	0	0
fashion_100424	0		backd104_t2	backd104h_t2	4		hero101,0.7;hero102,0.7;hero103,0.7;hero104,0.7;hero105,0.7;hero106,0.7;hero107,0.7;hero108,0.7	item130000040320	item130000040320,-1	FashionDes_130000040320	fashion_100424	1,500;11,100	1,100;31,25	0	0
fashion_100425	0		backd108_t1	backd108h_t1	4		hero101,1.3;hero102,1.3;hero103,1.3;hero104,1.3;hero105,1.3;hero106,1.3;hero107,1.3;hero108,1.3	item130000040321	item130000040321,-1	FashionDes_130000040321	fashion_100425	1,100;3,10;132,100	1,50;3,2;31,25	0	0
fashion_100426	0		backd110_t1	backd110h_t1	4		hero101,1.3;hero102,1.3;hero103,1.3;hero104,1.3;hero105,1.3;hero106,1.3;hero107,1.3;hero108,1.3	item130000040322	item130000040322,-1	FashionDes_130000040322	fashion_100426	1,100;3,10;132,100	1,50;3,2;31,25	0	0
fashion_100427	0		backd109_t1	backd109h_t1	4		hero101,1.3;hero102,1.3;hero103,1.3;hero104,1.3;hero105,1.3;hero106,1.3;hero107,1.3;hero108,1.3	item130000040323	item130000040323,-1	FashionDes_130000040323	fashion_100427	1,100;3,10;132,100	1,50;3,2;31,25	0	0
fashion_100428	0	4	backd105_t1	backd105h_t1	4			item130000040324	item130000040324,-1	FashionDes_130000040324	fashion_100428	1,500;11,100	1,100;31,25	0	0
fashion_100429	0		backd111_t1	backd111h_t1	4		hero101,1.3;hero102,1.3;hero103,1.3;hero104,1.3;hero105,1.3;hero106,1.3;hero107,1.3;hero108,1.3	item130000040325	item130000040325,-1	FashionDes_130000040325	fashion_100429	1,100;3,10;132,100	1,50;3,2;31,25	0	0
fashion_100430	0		backd013_t2	backd013h_t2	4			item130000040326	item130000040326,-1	FashionDes_130000040326	fashion_100430	1,100;3,10;132,100	1,50;3,2;31,25	0	0
fashion_100431	0		backd018_t1	backd018h_t1	4		hero101,0.7;hero102,0.7;hero103,0.7;hero104,0.7;hero105,0.7;hero106,0.7;hero107,0.7;hero108,0.7	item130000040327	item130000040327,-1	FashionDes_130000040327	fashion_100431	1,500;34,100	1,100;34,25	0	0
fashion_100432	0		backd906_t1	backd906h_t1	4		hero101,1.3;hero102,1.3;hero103,1.3;hero104,1.3;hero105,1.3;hero106,1.3;hero107,1.3;hero108,1.3	item130000940505	item130000940505,-1	FashionDes_130000940505	fashion_100432	1,4000;12,600;13,600;52,600;51,600	1,800;12,120;13,120;52,120;51,120	0	0
fashion_100433	0		backd907_t1	backd907h_t1	4			item130000940507	item130000940507,-1;item130000740507,604800	FashionDes_130000940507	fashion_100433	1,4000;30,500;32,500;34,500;131,800;132,1200	1,800;30,100;32,100;34,100;131,160;132,240	0	0
fashion_100434	0		backd905_t1	backd905h_t1	4		hero101,1.5;hero102,1.5;hero103,1.5;hero104,1.5;hero105,1.5;hero106,1.7;hero107,1.5;hero108,1.5	item130000940506	item130000940506,-1	FashionDes_130000940506	fashion_100434	1,3000;3,300;11,500;12,500	1,600;3,60;11,100;12,100	0	0
fashion_100435	0		backd904_t1	backd904h_t1	4		hero101,1.5;hero102,1.5;hero103,1.5;hero104,1.5;hero105,1.5;hero106,1.5;hero107,1.5;hero108,1.5	item130000940508	item130000940508,-1	FashionDes_130000940508	fashion_100435	1,5000;36,1000;28,200;3,400;52,1000;51,1000	1,1000;36,200;28,40;3,80;52,200;51,200	0	0
fashion_100436	0		backd903_t2	backd903h_t2	4		hero101,0.9;hero102,0.9;hero103,0.9;hero104,0.9;hero105,0.9;hero106,0.9;hero107,0.9;hero108,0.9	item130000940509	item130000940509,-1	FashionDes_130000940509	fashion_100436	1,4000;3,400;13,400;52,400	1,900;3,80;13,80;52,80	0	0
fashion_100437	0		backd112_t1	backd112h_t1	4	10820262,10820263,10820264	hero101,0.9;hero102,0.9;hero103,0.9;hero104,0.9;hero105,0.9;hero106,0.9;hero107,0.9;hero108,0.9	item130000040328	item130000040328,-1	FashionDes_130000040328	fashion_100437	1,800;3,150;52,300	1,160;3,30;52,60	0	0
fashion_100438	0		backd908_t1	backd908h_t1	4			item130000940510	item130000940510,-1	FashionDes_130000040328	fashion_100438	1,4000;12,600;32,600;34,1000;52,1000	1,800;12,120;32,120;34,200;52,200	0	0
fashion_100439	0		backd118_t1	backd118h_t1	4			item130000040329	item130000040329,-1	FashionDes_130000040329	fashion_100439	1,800;3,150;11,200	1,160;3,30;11,40	0	0
fashion_100440	0		backd123_t1	backd123h_t1	4			item130000040330	item130000040330,-1	FashionDes_130000040330	fashion_100440	1,800;4,150;51,300	1,160;4,30;51,60	0	0
