流水id	元素灵ID	元素灵等级	人物等级	元素灵主动等级	元素灵被动等级	到当前级属性加成	升下一级所需经验
367	elemental_npc_5002	7	80	1	1	279,400000;281,40000;285,40000	2640
368	elemental_npc_5002	8	80	1	1	279,400000;281,40000;285,40000	2880
369	elemental_npc_5002	9	80	1	1	279,400000;281,40000;285,40000	3120
370	elemental_npc_5002	10	80	1	1	279,400000;281,40000;285,40000	3360
371	elemental_npc_5002	11	80	1	1	279,400000;281,40000;285,40000	3600
372	elemental_npc_5002	12	80	1	1	279,400000;281,40000;285,40000	3840
373	elemental_npc_5002	13	80	1	1	279,400000;281,40000;285,40000	4080
374	elemental_npc_5002	14	80	1	1	279,400000;281,40000;285,40000	4320
375	elemental_npc_5002	15	80	1	1	279,400000;281,40000;285,40000	4560
376	elemental_npc_5002	16	80	1	1	279,400000;281,40000;285,40000	4800
377	elemental_npc_5002	17	80	1	1	279,400000;281,40000;285,40000	5040
378	elemental_npc_5002	18	80	1	1	279,400000;281,40000;285,40000	5280
379	elemental_npc_5002	19	80	1	1	279,400000;281,40000;285,40000	5520
380	elemental_npc_5002	20	80	1	1	279,400000;281,40000;285,40000	5760
381	elemental_npc_5002	21	80	1	1	279,400000;281,40000;285,40000	6000
382	elemental_npc_5002	22	80	1	1	279,400000;281,40000;285,40000	6240
383	elemental_npc_5002	23	80	1	1	279,400000;281,40000;285,40000	6480
384	elemental_npc_5002	24	80	1	1	279,400000;281,40000;285,40000	6720
385	elemental_npc_5002	25	80	1	1	279,400000;281,40000;285,40000	6960
386	elemental_npc_5002	26	80	1	1	279,400000;281,40000;285,40000	7200
387	elemental_npc_5002	27	80	1	1	279,400000;281,40000;285,40000	7440
388	elemental_npc_5002	28	80	1	1	279,400000;281,40000;285,40000	7680
389	elemental_npc_5002	29	80	1	1	279,400000;281,40000;285,40000	7920
390	elemental_npc_5002	30	80	1	1	279,400000;281,40000;285,40000	8160
391	elemental_npc_5002	31	80	2	2	279,400000;281,40000;285,40000	8400
392	elemental_npc_5002	32	80	2	2	279,400000;281,40000;285,40000	8640
393	elemental_npc_5002	33	80	2	2	279,400000;281,40000;285,40000	8880
394	elemental_npc_5002	34	80	2	2	279,400000;281,40000;285,40000	9120
395	elemental_npc_5002	35	80	2	2	279,400000;281,40000;285,40000	9360
396	elemental_npc_5002	36	80	2	2	279,400000;281,40000;285,40000	9600
397	elemental_npc_5002	37	80	2	2	279,400000;281,40000;285,40000	9840
398	elemental_npc_5002	38	80	2	2	279,400000;281,40000;285,40000	10080
399	elemental_npc_5002	39	80	2	2	279,400000;281,40000;285,40000	10320
400	elemental_npc_5002	40	80	2	2	279,400000;281,40000;285,40000	10560
401	elemental_npc_5002	41	80	3	3	279,400000;281,40000;285,40000	10800
402	elemental_npc_5002	42	80	3	3	279,400000;281,40000;285,40000	11040
403	elemental_npc_5002	43	80	3	3	279,400000;281,40000;285,40000	11280
404	elemental_npc_5002	44	80	3	3	279,400000;281,40000;285,40000	11520
405	elemental_npc_5002	45	80	3	3	279,400000;281,40000;285,40000	11760
406	elemental_npc_5002	46	80	3	3	279,400000;281,40000;285,40000	12000
407	elemental_npc_5002	47	80	3	3	279,400000;281,40000;285,40000	12240
408	elemental_npc_5002	48	80	3	3	279,400000;281,40000;285,40000	12480
409	elemental_npc_5002	49	80	3	3	279,400000;281,40000;285,40000	12720
410	elemental_npc_5002	50	80	3	3	279,400000;281,40000;285,40000	12960
411	elemental_npc_5002	51	80	4	4	279,400000;281,40000;285,40000	13200
412	elemental_npc_5002	52	80	4	4	279,400000;281,40000;285,40000	13440
413	elemental_npc_5002	53	80	4	4	279,400000;281,40000;285,40000	13680
414	elemental_npc_5002	54	80	4	4	279,400000;281,40000;285,40000	13920
415	elemental_npc_5002	55	80	4	4	279,400000;281,40000;285,40000	14160
416	elemental_npc_5002	56	80	4	4	279,400000;281,40000;285,40000	14400
417	elemental_npc_5002	57	80	4	4	279,400000;281,40000;285,40000	14640
418	elemental_npc_5002	58	80	4	4	279,400000;281,40000;285,40000	14880
419	elemental_npc_5002	59	80	4	4	279,400000;281,40000;285,40000	15120
420	elemental_npc_5002	60	80	4	4	279,400000;281,40000;285,40000	15360
421	elemental_npc_5002	61	80	5	5	279,400000;281,40000;285,40000	31200
422	elemental_npc_5002	62	80	5	5	279,400000;281,40000;285,40000	31680
423	elemental_npc_5002	63	80	5	5	279,400000;281,40000;285,40000	32160
424	elemental_npc_5002	64	80	5	5	279,400000;281,40000;285,40000	32640
425	elemental_npc_5002	65	80	5	5	279,400000;281,40000;285,40000	33120
426	elemental_npc_5002	66	80	5	5	279,400000;281,40000;285,40000	33600
427	elemental_npc_5002	67	80	5	5	279,400000;281,40000;285,40000	34080
428	elemental_npc_5002	68	80	5	5	279,400000;281,40000;285,40000	34560
429	elemental_npc_5002	69	80	5	5	279,400000;281,40000;285,40000	35040
430	elemental_npc_5002	70	80	5	5	279,400000;281,40000;285,40000	35520
431	elemental_npc_5002	71	80	6	6	279,400000;281,40000;285,40000	36000
432	elemental_npc_5002	72	80	6	6	279,400000;281,40000;285,40000	36480
433	elemental_npc_5002	73	80	6	6	279,400000;281,40000;285,40000	36960
434	elemental_npc_5002	74	80	6	6	279,400000;281,40000;285,40000	37440
435	elemental_npc_5002	75	80	6	6	279,400000;281,40000;285,40000	37920
436	elemental_npc_5002	76	80	6	6	279,400000;281,40000;285,40000	38400
437	elemental_npc_5002	77	80	6	6	279,400000;281,40000;285,40000	38880
438	elemental_npc_5002	78	80	6	6	279,400000;281,40000;285,40000	39360
439	elemental_npc_5002	79	80	6	6	279,400000;281,40000;285,40000	39840
440	elemental_npc_5002	80	80	6	6	279,400000;281,40000;285,40000	40320
441	elemental_npc_5003	1	80	1	1		1200
442	elemental_npc_5003	2	80	1	1	279,400000;281,40000;285,40000	1440
443	elemental_npc_5003	3	80	1	1	279,400000;281,40000;285,40000	1680
444	elemental_npc_5003	4	80	1	1	279,400000;281,40000;285,40000	1920
445	elemental_npc_5003	5	80	1	1	279,400000;281,40000;285,40000	2160
446	elemental_npc_5003	6	80	1	1	279,400000;281,40000;285,40000	2400
447	elemental_npc_5003	7	80	1	1	279,400000;281,40000;285,40000	2640
448	elemental_npc_5003	8	80	1	1	279,400000;281,40000;285,40000	2880
449	elemental_npc_5003	9	80	1	1	279,400000;281,40000;285,40000	3120
450	elemental_npc_5003	10	80	1	1	279,400000;281,40000;285,40000	3360
451	elemental_npc_5003	11	80	1	1	279,400000;281,40000;285,40000	3600
452	elemental_npc_5003	12	80	1	1	279,400000;281,40000;285,40000	3840
453	elemental_npc_5003	13	80	1	1	279,400000;281,40000;285,40000	4080
454	elemental_npc_5003	14	80	1	1	279,400000;281,40000;285,40000	4320
455	elemental_npc_5003	15	80	1	1	279,400000;281,40000;285,40000	4560
456	elemental_npc_5003	16	80	1	1	279,400000;281,40000;285,40000	4800
457	elemental_npc_5003	17	80	1	1	279,400000;281,40000;285,40000	5040
458	elemental_npc_5003	18	80	1	1	279,400000;281,40000;285,40000	5280
459	elemental_npc_5003	19	80	1	1	279,400000;281,40000;285,40000	5520
460	elemental_npc_5003	20	80	1	1	279,400000;281,40000;285,40000	5760
461	elemental_npc_5003	21	80	1	1	279,400000;281,40000;285,40000	6000
462	elemental_npc_5003	22	80	1	1	279,400000;281,40000;285,40000	6240
463	elemental_npc_5003	23	80	1	1	279,400000;281,40000;285,40000	6480
464	elemental_npc_5003	24	80	1	1	279,400000;281,40000;285,40000	6720
465	elemental_npc_5003	25	80	1	1	279,400000;281,40000;285,40000	6960
466	elemental_npc_5003	26	80	1	1	279,400000;281,40000;285,40000	7200
467	elemental_npc_5003	27	80	1	1	279,400000;281,40000;285,40000	7440
468	elemental_npc_5003	28	80	1	1	279,400000;281,40000;285,40000	7680
469	elemental_npc_5003	29	80	1	1	279,400000;281,40000;285,40000	7920
470	elemental_npc_5003	30	80	1	1	279,400000;281,40000;285,40000	8160
471	elemental_npc_5003	31	80	2	2	279,400000;281,40000;285,40000	8400
472	elemental_npc_5003	32	80	2	2	279,400000;281,40000;285,40000	8640
473	elemental_npc_5003	33	80	2	2	279,400000;281,40000;285,40000	8880
474	elemental_npc_5003	34	80	2	2	279,400000;281,40000;285,40000	9120
475	elemental_npc_5003	35	80	2	2	279,400000;281,40000;285,40000	9360
476	elemental_npc_5003	36	80	2	2	279,400000;281,40000;285,40000	9600
477	elemental_npc_5003	37	80	2	2	279,400000;281,40000;285,40000	9840
478	elemental_npc_5003	38	80	2	2	279,400000;281,40000;285,40000	10080
479	elemental_npc_5003	39	80	2	2	279,400000;281,40000;285,40000	10320
480	elemental_npc_5003	40	80	2	2	279,400000;281,40000;285,40000	10560
481	elemental_npc_5003	41	80	3	3	279,400000;281,40000;285,40000	10800
482	elemental_npc_5003	42	80	3	3	279,400000;281,40000;285,40000	11040
483	elemental_npc_5003	43	80	3	3	279,400000;281,40000;285,40000	11280
484	elemental_npc_5003	44	80	3	3	279,400000;281,40000;285,40000	11520
485	elemental_npc_5003	45	80	3	3	279,400000;281,40000;285,40000	11760
486	elemental_npc_5003	46	80	3	3	279,400000;281,40000;285,40000	12000
487	elemental_npc_5003	47	80	3	3	279,400000;281,40000;285,40000	12240
488	elemental_npc_5003	48	80	3	3	279,400000;281,40000;285,40000	12480
489	elemental_npc_5003	49	80	3	3	279,400000;281,40000;285,40000	12720
490	elemental_npc_5003	50	80	3	3	279,400000;281,40000;285,40000	12960
491	elemental_npc_5003	51	80	4	4	279,400000;281,40000;285,40000	13200
492	elemental_npc_5003	52	80	4	4	279,400000;281,40000;285,40000	13440
493	elemental_npc_5003	53	80	4	4	279,400000;281,40000;285,40000	13680
494	elemental_npc_5003	54	80	4	4	279,400000;281,40000;285,40000	13920
495	elemental_npc_5003	55	80	4	4	279,400000;281,40000;285,40000	14160
496	elemental_npc_5003	56	80	4	4	279,400000;281,40000;285,40000	14400
497	elemental_npc_5003	57	80	4	4	279,400000;281,40000;285,40000	14640
498	elemental_npc_5003	58	80	4	4	279,400000;281,40000;285,40000	14880
499	elemental_npc_5003	59	80	4	4	279,400000;281,40000;285,40000	15120
500	elemental_npc_5003	60	80	4	4	279,400000;281,40000;285,40000	15360
501	elemental_npc_5003	61	80	5	5	279,400000;281,40000;285,40000	31200
502	elemental_npc_5003	62	80	5	5	279,400000;281,40000;285,40000	31680
503	elemental_npc_5003	63	80	5	5	279,400000;281,40000;285,40000	32160
504	elemental_npc_5003	64	80	5	5	279,400000;281,40000;285,40000	32640
505	elemental_npc_5003	65	80	5	5	279,400000;281,40000;285,40000	33120
506	elemental_npc_5003	66	80	5	5	279,400000;281,40000;285,40000	33600
507	elemental_npc_5003	67	80	5	5	279,400000;281,40000;285,40000	34080
508	elemental_npc_5003	68	80	5	5	279,400000;281,40000;285,40000	34560
509	elemental_npc_5003	69	80	5	5	279,400000;281,40000;285,40000	35040
510	elemental_npc_5003	70	80	5	5	279,400000;281,40000;285,40000	35520
511	elemental_npc_5003	71	80	6	6	279,400000;281,40000;285,40000	36000
512	elemental_npc_5003	72	80	6	6	279,400000;281,40000;285,40000	36480
513	elemental_npc_5003	73	80	6	6	279,400000;281,40000;285,40000	36960
514	elemental_npc_5003	74	80	6	6	279,400000;281,40000;285,40000	37440
515	elemental_npc_5003	75	80	6	6	279,400000;281,40000;285,40000	37920
516	elemental_npc_5003	76	80	6	6	279,400000;281,40000;285,40000	38400
517	elemental_npc_5003	77	80	6	6	279,400000;281,40000;285,40000	38880
518	elemental_npc_5003	78	80	6	6	279,400000;281,40000;285,40000	39360
519	elemental_npc_5003	79	80	6	6	279,400000;281,40000;285,40000	39840
520	elemental_npc_5003	80	80	6	6	279,400000;281,40000;285,40000	40320
521	elemental_npc_5004	1	80	1	1		1200
522	elemental_npc_5004	2	80	1	1	279,400000;281,40000;285,40000	1440
523	elemental_npc_5004	3	80	1	1	279,400000;281,40000;285,40000	1680
524	elemental_npc_5004	4	80	1	1	279,400000;281,40000;285,40000	1920
525	elemental_npc_5004	5	80	1	1	279,400000;281,40000;285,40000	2160
526	elemental_npc_5004	6	80	1	1	279,400000;281,40000;285,40000	2400
527	elemental_npc_5004	7	80	1	1	279,400000;281,40000;285,40000	2640
528	elemental_npc_5004	8	80	1	1	279,400000;281,40000;285,40000	2880
529	elemental_npc_5004	9	80	1	1	279,400000;281,40000;285,40000	3120
530	elemental_npc_5004	10	80	1	1	279,400000;281,40000;285,40000	3360
531	elemental_npc_5004	11	80	1	1	279,400000;281,40000;285,40000	3600
532	elemental_npc_5004	12	80	1	1	279,400000;281,40000;285,40000	3840
533	elemental_npc_5004	13	80	1	1	279,400000;281,40000;285,40000	4080
534	elemental_npc_5004	14	80	1	1	279,400000;281,40000;285,40000	4320
535	elemental_npc_5004	15	80	1	1	279,400000;281,40000;285,40000	4560
536	elemental_npc_5004	16	80	1	1	279,400000;281,40000;285,40000	4800
537	elemental_npc_5004	17	80	1	1	279,400000;281,40000;285,40000	5040
538	elemental_npc_5004	18	80	1	1	279,400000;281,40000;285,40000	5280
539	elemental_npc_5004	19	80	1	1	279,400000;281,40000;285,40000	5520
540	elemental_npc_5004	20	80	1	1	279,400000;281,40000;285,40000	5760
541	elemental_npc_5004	21	80	1	1	279,400000;281,40000;285,40000	6000
542	elemental_npc_5004	22	80	1	1	279,400000;281,40000;285,40000	6240
543	elemental_npc_5004	23	80	1	1	279,400000;281,40000;285,40000	6480
544	elemental_npc_5004	24	80	1	1	279,400000;281,40000;285,40000	6720
545	elemental_npc_5004	25	80	1	1	279,400000;281,40000;285,40000	6960
546	elemental_npc_5004	26	80	1	1	279,400000;281,40000;285,40000	7200
547	elemental_npc_5004	27	80	1	1	279,400000;281,40000;285,40000	7440
548	elemental_npc_5004	28	80	1	1	279,400000;281,40000;285,40000	7680
549	elemental_npc_5004	29	80	1	1	279,400000;281,40000;285,40000	7920
550	elemental_npc_5004	30	80	1	1	279,400000;281,40000;285,40000	8160
551	elemental_npc_5004	31	80	2	2	279,400000;281,40000;285,40000	8400
552	elemental_npc_5004	32	80	2	2	279,400000;281,40000;285,40000	8640
553	elemental_npc_5004	33	80	2	2	279,400000;281,40000;285,40000	8880
554	elemental_npc_5004	34	80	2	2	279,400000;281,40000;285,40000	9120
555	elemental_npc_5004	35	80	2	2	279,400000;281,40000;285,40000	9360
556	elemental_npc_5004	36	80	2	2	279,400000;281,40000;285,40000	9600
557	elemental_npc_5004	37	80	2	2	279,400000;281,40000;285,40000	9840
558	elemental_npc_5004	38	80	2	2	279,400000;281,40000;285,40000	10080
559	elemental_npc_5004	39	80	2	2	279,400000;281,40000;285,40000	10320
560	elemental_npc_5004	40	80	2	2	279,400000;281,40000;285,40000	10560
561	elemental_npc_5004	41	80	3	3	279,400000;281,40000;285,40000	10800
562	elemental_npc_5004	42	80	3	3	279,400000;281,40000;285,40000	11040
563	elemental_npc_5004	43	80	3	3	279,400000;281,40000;285,40000	11280
564	elemental_npc_5004	44	80	3	3	279,400000;281,40000;285,40000	11520
565	elemental_npc_5004	45	80	3	3	279,400000;281,40000;285,40000	11760
566	elemental_npc_5004	46	80	3	3	279,400000;281,40000;285,40000	12000
567	elemental_npc_5004	47	80	3	3	279,400000;281,40000;285,40000	12240
568	elemental_npc_5004	48	80	3	3	279,400000;281,40000;285,40000	12480
569	elemental_npc_5004	49	80	3	3	279,400000;281,40000;285,40000	12720
570	elemental_npc_5004	50	80	3	3	279,400000;281,40000;285,40000	12960
571	elemental_npc_5004	51	80	4	4	279,400000;281,40000;285,40000	13200
572	elemental_npc_5004	52	80	4	4	279,400000;281,40000;285,40000	13440
573	elemental_npc_5004	53	80	4	4	279,400000;281,40000;285,40000	13680
574	elemental_npc_5004	54	80	4	4	279,400000;281,40000;285,40000	13920
575	elemental_npc_5004	55	80	4	4	279,400000;281,40000;285,40000	14160
576	elemental_npc_5004	56	80	4	4	279,400000;281,40000;285,40000	14400
577	elemental_npc_5004	57	80	4	4	279,400000;281,40000;285,40000	14640
578	elemental_npc_5004	58	80	4	4	279,400000;281,40000;285,40000	14880
579	elemental_npc_5004	59	80	4	4	279,400000;281,40000;285,40000	15120
580	elemental_npc_5004	60	80	4	4	279,400000;281,40000;285,40000	15360
581	elemental_npc_5004	61	80	5	5	279,400000;281,40000;285,40000	31200
582	elemental_npc_5004	62	80	5	5	279,400000;281,40000;285,40000	31680
583	elemental_npc_5004	63	80	5	5	279,400000;281,40000;285,40000	32160
584	elemental_npc_5004	64	80	5	5	279,400000;281,40000;285,40000	32640
585	elemental_npc_5004	65	80	5	5	279,400000;281,40000;285,40000	33120
586	elemental_npc_5004	66	80	5	5	279,400000;281,40000;285,40000	33600
587	elemental_npc_5004	67	80	5	5	279,400000;281,40000;285,40000	34080
588	elemental_npc_5004	68	80	5	5	279,400000;281,40000;285,40000	34560
589	elemental_npc_5004	69	80	5	5	279,400000;281,40000;285,40000	35040
590	elemental_npc_5004	70	80	5	5	279,400000;281,40000;285,40000	35520
591	elemental_npc_5004	71	80	6	6	279,400000;281,40000;285,40000	36000
592	elemental_npc_5004	72	80	6	6	279,400000;281,40000;285,40000	36480
593	elemental_npc_5004	73	80	6	6	279,400000;281,40000;285,40000	36960
594	elemental_npc_5004	74	80	6	6	279,400000;281,40000;285,40000	37440
595	elemental_npc_5004	75	80	6	6	279,400000;281,40000;285,40000	37920
596	elemental_npc_5004	76	80	6	6	279,400000;281,40000;285,40000	38400
597	elemental_npc_5004	77	80	6	6	279,400000;281,40000;285,40000	38880
598	elemental_npc_5004	78	80	6	6	279,400000;281,40000;285,40000	39360
599	elemental_npc_5004	79	80	6	6	279,400000;281,40000;285,40000	39840
600	elemental_npc_5004	80	80	6	6	279,400000;281,40000;285,40000	40320
601	elemental_npc_5005	1	80	1	1		1200
602	elemental_npc_5005	2	80	1	1	279,400000;281,40000;285,40000	1440
603	elemental_npc_5005	3	80	1	1	279,400000;281,40000;285,40000	1680
604	elemental_npc_5005	4	80	1	1	279,400000;281,40000;285,40000	1920
605	elemental_npc_5005	5	80	1	1	279,400000;281,40000;285,40000	2160
606	elemental_npc_5005	6	80	1	1	279,400000;281,40000;285,40000	2400
607	elemental_npc_5005	7	80	1	1	279,400000;281,40000;285,40000	2640
608	elemental_npc_5005	8	80	1	1	279,400000;281,40000;285,40000	2880
609	elemental_npc_5005	9	80	1	1	279,400000;281,40000;285,40000	3120
610	elemental_npc_5005	10	80	1	1	279,400000;281,40000;285,40000	3360
611	elemental_npc_5005	11	80	1	1	279,400000;281,40000;285,40000	3600
612	elemental_npc_5005	12	80	1	1	279,400000;281,40000;285,40000	3840
613	elemental_npc_5005	13	80	1	1	279,400000;281,40000;285,40000	4080
614	elemental_npc_5005	14	80	1	1	279,400000;281,40000;285,40000	4320
615	elemental_npc_5005	15	80	1	1	279,400000;281,40000;285,40000	4560
616	elemental_npc_5005	16	80	1	1	279,400000;281,40000;285,40000	4800
617	elemental_npc_5005	17	80	1	1	279,400000;281,40000;285,40000	5040
618	elemental_npc_5005	18	80	1	1	279,400000;281,40000;285,40000	5280
619	elemental_npc_5005	19	80	1	1	279,400000;281,40000;285,40000	5520
620	elemental_npc_5005	20	80	1	1	279,400000;281,40000;285,40000	5760
621	elemental_npc_5005	21	80	1	1	279,400000;281,40000;285,40000	6000
622	elemental_npc_5005	22	80	1	1	279,400000;281,40000;285,40000	6240
623	elemental_npc_5005	23	80	1	1	279,400000;281,40000;285,40000	6480
624	elemental_npc_5005	24	80	1	1	279,400000;281,40000;285,40000	6720
625	elemental_npc_5005	25	80	1	1	279,400000;281,40000;285,40000	6960
626	elemental_npc_5005	26	80	1	1	279,400000;281,40000;285,40000	7200
627	elemental_npc_5005	27	80	1	1	279,400000;281,40000;285,40000	7440
628	elemental_npc_5005	28	80	1	1	279,400000;281,40000;285,40000	7680
629	elemental_npc_5005	29	80	1	1	279,400000;281,40000;285,40000	7920
630	elemental_npc_5005	30	80	1	1	279,400000;281,40000;285,40000	8160
631	elemental_npc_5005	31	80	2	2	279,400000;281,40000;285,40000	8400
632	elemental_npc_5005	32	80	2	2	279,400000;281,40000;285,40000	8640
633	elemental_npc_5005	33	80	2	2	279,400000;281,40000;285,40000	8880
634	elemental_npc_5005	34	80	2	2	279,400000;281,40000;285,40000	9120
635	elemental_npc_5005	35	80	2	2	279,400000;281,40000;285,40000	9360
636	elemental_npc_5005	36	80	2	2	279,400000;281,40000;285,40000	9600
637	elemental_npc_5005	37	80	2	2	279,400000;281,40000;285,40000	9840
638	elemental_npc_5005	38	80	2	2	279,400000;281,40000;285,40000	10080
639	elemental_npc_5005	39	80	2	2	279,400000;281,40000;285,40000	10320
640	elemental_npc_5005	40	80	2	2	279,400000;281,40000;285,40000	10560
641	elemental_npc_5005	41	80	3	3	279,400000;281,40000;285,40000	10800
642	elemental_npc_5005	42	80	3	3	279,400000;281,40000;285,40000	11040
643	elemental_npc_5005	43	80	3	3	279,400000;281,40000;285,40000	11280
644	elemental_npc_5005	44	80	3	3	279,400000;281,40000;285,40000	11520
645	elemental_npc_5005	45	80	3	3	279,400000;281,40000;285,40000	11760
646	elemental_npc_5005	46	80	3	3	279,400000;281,40000;285,40000	12000
647	elemental_npc_5005	47	80	3	3	279,400000;281,40000;285,40000	12240
648	elemental_npc_5005	48	80	3	3	279,400000;281,40000;285,40000	12480
649	elemental_npc_5005	49	80	3	3	279,400000;281,40000;285,40000	12720
650	elemental_npc_5005	50	80	3	3	279,400000;281,40000;285,40000	12960
651	elemental_npc_5005	51	80	4	4	279,400000;281,40000;285,40000	13200
652	elemental_npc_5005	52	80	4	4	279,400000;281,40000;285,40000	13440
653	elemental_npc_5005	53	80	4	4	279,400000;281,40000;285,40000	13680
654	elemental_npc_5005	54	80	4	4	279,400000;281,40000;285,40000	13920
655	elemental_npc_5005	55	80	4	4	279,400000;281,40000;285,40000	14160
656	elemental_npc_5005	56	80	4	4	279,400000;281,40000;285,40000	14400
657	elemental_npc_5005	57	80	4	4	279,400000;281,40000;285,40000	14640
658	elemental_npc_5005	58	80	4	4	279,400000;281,40000;285,40000	14880
659	elemental_npc_5005	59	80	4	4	279,400000;281,40000;285,40000	15120
660	elemental_npc_5005	60	80	4	4	279,400000;281,40000;285,40000	15360
661	elemental_npc_5005	61	80	5	5	279,400000;281,40000;285,40000	31200
662	elemental_npc_5005	62	80	5	5	279,400000;281,40000;285,40000	31680
663	elemental_npc_5005	63	80	5	5	279,400000;281,40000;285,40000	32160
664	elemental_npc_5005	64	80	5	5	279,400000;281,40000;285,40000	32640
665	elemental_npc_5005	65	80	5	5	279,400000;281,40000;285,40000	33120
666	elemental_npc_5005	66	80	5	5	279,400000;281,40000;285,40000	33600
667	elemental_npc_5005	67	80	5	5	279,400000;281,40000;285,40000	34080
668	elemental_npc_5005	68	80	5	5	279,400000;281,40000;285,40000	34560
669	elemental_npc_5005	69	80	5	5	279,400000;281,40000;285,40000	35040
670	elemental_npc_5005	70	80	5	5	279,400000;281,40000;285,40000	35520
671	elemental_npc_5005	71	80	6	6	279,400000;281,40000;285,40000	36000
672	elemental_npc_5005	72	80	6	6	279,400000;281,40000;285,40000	36480
673	elemental_npc_5005	73	80	6	6	279,400000;281,40000;285,40000	36960
674	elemental_npc_5005	74	80	6	6	279,400000;281,40000;285,40000	37440
675	elemental_npc_5005	75	80	6	6	279,400000;281,40000;285,40000	37920
676	elemental_npc_5005	76	80	6	6	279,400000;281,40000;285,40000	38400
677	elemental_npc_5005	77	80	6	6	279,400000;281,40000;285,40000	38880
678	elemental_npc_5005	78	80	6	6	279,400000;281,40000;285,40000	39360
679	elemental_npc_5005	79	80	6	6	279,400000;281,40000;285,40000	39840
680	elemental_npc_5005	80	80	6	6	279,400000;281,40000;285,40000	40320
681	elemental_npc_10001	1	80	1	1	279,80000;281,8000;285,8000	600
682	elemental_npc_10001	2	80	1	1	279,80000;281,8000;285,8000	720
683	elemental_npc_10001	3	80	1	1	279,80000;281,8000;285,8000	840
684	elemental_npc_10001	4	80	1	1	279,80000;281,8000;285,8000	960
685	elemental_npc_10001	5	80	1	1	279,80000;281,8000;285,8000	1080
686	elemental_npc_10001	6	80	1	1	279,80000;281,8000;285,8000	1200
687	elemental_npc_10001	7	80	1	1	279,80000;281,8000;285,8000	1320
688	elemental_npc_10001	8	80	1	1	279,80000;281,8000;285,8000	1440
689	elemental_npc_10001	9	80	1	1	279,80000;281,8000;285,8000	1560
690	elemental_npc_10001	10	80	1	1	279,80000;281,8000;285,8000	1680
691	elemental_npc_10001	11	80	1	1	279,80000;281,8000;285,8000	1800
692	elemental_npc_10001	12	80	1	1	279,80000;281,8000;285,8000	1920
693	elemental_npc_10001	13	80	1	1	279,80000;281,8000;285,8000	2040
694	elemental_npc_10001	14	80	1	1	279,80000;281,8000;285,8000	2160
695	elemental_npc_10001	15	80	1	1	279,80000;281,8000;285,8000	2280
696	elemental_npc_10001	16	80	1	1	279,80000;281,8000;285,8000	2400
697	elemental_npc_10001	17	80	1	1	279,80000;281,8000;285,8000	2520
698	elemental_npc_10001	18	80	1	1	279,80000;281,8000;285,8000	2640
699	elemental_npc_10001	19	80	1	1	279,80000;281,8000;285,8000	2760
700	elemental_npc_10001	20	80	1	1	279,80000;281,8000;285,8000	2880
701	elemental_npc_10001	21	80	1	1	279,80000;281,8000;285,8000	3000
702	elemental_npc_10001	22	80	1	1	279,80000;281,8000;285,8000	3120
703	elemental_npc_10001	23	80	1	1	279,80000;281,8000;285,8000	3240
704	elemental_npc_10001	24	80	1	1	279,80000;281,8000;285,8000	3360
705	elemental_npc_10001	25	80	1	1	279,80000;281,8000;285,8000	3480
706	elemental_npc_10001	26	80	1	1	279,80000;281,8000;285,8000	3600
707	elemental_npc_10001	27	80	1	1	279,80000;281,8000;285,8000	3720
708	elemental_npc_10001	28	80	1	1	279,80000;281,8000;285,8000	3840
709	elemental_npc_10001	29	80	1	1	279,80000;281,8000;285,8000	3960
710	elemental_npc_10001	30	80	1	1	279,80000;281,8000;285,8000	4080
711	elemental_npc_10001	31	80	2	2	279,80000;281,8000;285,8000	4200
712	elemental_npc_10001	32	80	2	2	279,80000;281,8000;285,8000	4320
713	elemental_npc_10001	33	80	2	2	279,80000;281,8000;285,8000	4440
714	elemental_npc_10001	34	80	2	2	279,80000;281,8000;285,8000	4560
715	elemental_npc_10001	35	80	2	2	279,80000;281,8000;285,8000	4680
716	elemental_npc_10001	36	80	2	2	279,80000;281,8000;285,8000	4800
717	elemental_npc_10001	37	80	2	2	279,80000;281,8000;285,8000	4920
718	elemental_npc_10001	38	80	2	2	279,80000;281,8000;285,8000	5040
719	elemental_npc_10001	39	80	2	2	279,80000;281,8000;285,8000	5160
720	elemental_npc_10001	40	80	2	2	279,80000;281,8000;285,8000	5280
721	elemental_npc_10001	41	80	3	3	279,80000;281,8000;285,8000	5400
722	elemental_npc_10001	42	80	3	3	279,80000;281,8000;285,8000	5520
723	elemental_npc_10001	43	80	3	3	279,80000;281,8000;285,8000	5640
724	elemental_npc_10001	44	80	3	3	279,80000;281,8000;285,8000	5760
725	elemental_npc_10001	45	80	3	3	279,80000;281,8000;285,8000	5880
726	elemental_npc_10001	46	80	3	3	279,80000;281,8000;285,8000	6000
727	elemental_npc_10001	47	80	3	3	279,80000;281,8000;285,8000	6120
728	elemental_npc_3001	48	80	3	3	279,80000;281,8000;285,8000	6240
729	elemental_npc_4001	49	80	3	3	279,80000;281,8000;285,8000	6360
730	elemental_npc_4002	50	80	3	3	279,80000;281,8000;285,8000	6480
731	elemental_npc_4003	51	80	4	4	279,80000;281,8000;285,8000	6600
732	elemental_npc_5001	52	80	4	4	279,80000;281,8000;285,8000	6720
733	elemental_npc_5002	53	80	4	4	279,80000;281,8000;285,8000	6840
734	elemental_npc_5003	54	80	4	4	279,80000;281,8000;285,8000	6960
