技能宝石ID	技能宝石对应item	技能宝石对应碎片item	适用英雄类型	适用职业技能	品质	技能宝石升级属性类型	激活所需碎片数量	收集属性	宝石初始评分	技能类型ICON	技能释放后附加的buff	技能释放后附加buff的几率	职业技能强化效果	技能伤害比例倍率	技能附加伤害值倍率	技能效果描述语言包
30505001	item17901030505001	item17902030505001	hero105	skill1402	3	305	item17902030505001,40		33	gemtypebadge_2	buff6_saint01::buff_3	28,30,32,34,36,38,40		600,660,720,780,840,900,1000		SkillEffectDec_3
30506001	item17901030506001	item17902030506001	hero105	skill1405	3	306	item17902030506001,40		33	gemtypebadge_2	buff6_saint01::buff_3	14,15,16,17,18,19,20		600,660,720,780,840,900,1000		SkillEffectDec_3
30507001	item17901030507001	item17902030507001	hero105	skill1404	3	307	item17902030507001,40		33	gemtypebadge_2	buff6_saint01::buff_4	28,30,32,34,36,38,40				
30508001	item17901030508001	item17902030508001	hero105	skill1403	3	308	item17902030508001,40		33	gemtypebadge_2	buff6_saint01::buff_4	42,45,48,51,54,57,60				
40501001	item17901040501001	item17902040501001	hero105	skill1401	4	401	item17902040501001,50		75	gemtypebadge_1			skill81065	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40502001	item17901040502001	item17902040502001	hero105	skill1407	4	402	item17902040502001,50		75	gemtypebadge_1			skill81067	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40503001	item17901040503001	item17902040503001	hero105	skill1406	4	403	item17902040503001,50		75	gemtypebadge_1			skill81069	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40504001	item17901040504001	item17902040504001	hero105	skill1408	4	404	item17902040504001,50		75	gemtypebadge_1			skill81071	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40505001	item17901040505001	item17902040505001	hero105	skill1402	4	405	item17902040505001,50		75	gemtypebadge_4			skill81073	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40506001	item17901040506001	item17902040506001	hero105	skill1405	4	406	item17902040506001,50		75	gemtypebadge_1			skill81075	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40507001	item17901040507001	item17902040507001	hero105	skill1404	4	407	item17902040507001,50		75	gemtypebadge_5	buff6_saint01::buff_5	28,30,32,34,36,38,40	skill81077			
40508001	item17901040508001	item17902040508001	hero105	skill1403	4	408	item17902040508001,50		75	gemtypebadge_1	buff6_saint01::buff_5	42,45,48,51,54,57,60	skill81079			
50501001	item17901050501001	item17902050501001	hero105	skill1401	5	501	item17902050501001,50		150	gemtypebadge_3			skill81066	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50502001	item17901050502001	item17902050502001	hero105	skill1407	5	502	item17902050502001,50		150	gemtypebadge_1			skill81068	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50503001	item17901050503001	item17902050503001	hero105	skill1406	5	503	item17902050503001,50		150	gemtypebadge_3			skill81070	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50504001	item17901050504001	item17902050504001	hero105	skill1408	5	504	item17902050504001,50		150	gemtypebadge_1			skill81072	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50505001	item17901050505001	item17902050505001	hero105	skill1402	5	505	item17902050505001,50		150	gemtypebadge_4			skill81074	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50506001	item17901050506001	item17902050506001	hero105	skill1405	5	506	item17902050506001,50		150	gemtypebadge_3			skill81076	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50507001	item17901050507001	item17902050507001	hero105	skill1404	5	507	item17902050507001,50		150	gemtypebadge_5	buff6_saint01::buff_6	28,30,32,34,36,38,40	skill81078			
50508001	item17901050508001	item17902050508001	hero105	skill1403	5	508	item17902050508001,50		150	gemtypebadge_1	buff6_saint01::buff_6	42,45,48,51,54,57,60	skill81080			
20601001	item17901020601001	item17902020601001	hero106	skill1508	2	201	item17902020601001,25		6	gemtypebadge_1	buff6_saint01::buff_1	42,45,48,51,54,57,60		300,330,360,390,420,450,500		SkillEffectDec_3
20602001	item17901020602001	item17902020602001	hero106	skill1504	2	202	item17902020602001,25		6	gemtypebadge_1	buff6_saint01::buff_2	28,30,32,34,36,38,40				
20603001	item17901020603001	item17902020603001	hero106	skill1503	2	203	item17902020603001,25		6	gemtypebadge_1	buff6_saint01::buff_1	14,15,16,17,18,19,20		300,330,360,390,420,450,500		SkillEffectDec_3
20604001	item17901020604001	item17902020604001	hero106	skill1502	2	204	item17902020604001,25		6	gemtypebadge_1	buff6_saint01::buff_1	28,30,32,34,36,38,40		300,330,360,390,420,450,500		SkillEffectDec_3
20605001	item17901020605001	item17902020605001	hero106	skill1505	2	205	item17902020605001,25		6	gemtypebadge_1	buff6_saint01::buff_1	56,60,64,68,72,76,80		300,330,360,390,420,450,500		SkillEffectDec_3
20606001	item17901020606001	item17902020606001	hero106	skill1506	2	206	item17902020606001,25		6	gemtypebadge_1	buff6_saint01::buff_2	70,75,80,85,90,95,100				
20607001	item17901020607001	item17902020607001	hero106	skill1510	2	207	item17902020607001,25		6	gemtypebadge_1	buff6_saint01::buff_1	28,30,32,34,36,38,40		300,330,360,390,420,450,500		SkillEffectDec_3
20608001	item17901020608001	item17902020608001	hero106	skill1509	2	208	item17902020608001,25		6	gemtypebadge_1	buff6_saint01::buff_2	42,45,48,51,54,57,60				
30601001	item17901030601001	item17902030601001	hero106	skill1508	3	301	item17902030601001,40		33	gemtypebadge_2	buff6_saint01::buff_3	42,45,48,51,54,57,60		600,660,720,780,840,900,1000		SkillEffectDec_3
30602001	item17901030602001	item17902030602001	hero106	skill1504	3	302	item17902030602001,40		33	gemtypebadge_2	buff6_saint01::buff_4	28,30,32,34,36,38,40				
30603001	item17901030603001	item17902030603001	hero106	skill1503	3	303	item17902030603001,40		33	gemtypebadge_2	buff6_saint01::buff_3	14,15,16,17,18,19,20		600,660,720,780,840,900,1000		SkillEffectDec_3
30604001	item17901030604001	item17902030604001	hero106	skill1502	3	304	item17902030604001,40		33	gemtypebadge_2	buff6_saint01::buff_3	28,30,32,34,36,38,40		600,660,720,780,840,900,1000		SkillEffectDec_3
30605001	item17901030605001	item17902030605001	hero106	skill1505	3	305	item17902030605001,40		33	gemtypebadge_2	buff6_saint01::buff_3	56,60,64,68,72,76,80		600,660,720,780,840,900,1000		SkillEffectDec_3
30606001	item17901030606001	item17902030606001	hero106	skill1506	3	306	item17902030606001,40		33	gemtypebadge_2	buff6_saint01::buff_4	70,75,80,85,90,95,100				
30607001	item17901030607001	item17902030607001	hero106	skill1510	3	307	item17902030607001,40		33	gemtypebadge_2	buff6_saint01::buff_3	28,30,32,34,36,38,40		600,660,720,780,840,900,1000		SkillEffectDec_3
30608001	item17901030608001	item17902030608001	hero106	skill1509	3	308	item17902030608001,40		33	gemtypebadge_2	buff6_saint01::buff_4	42,45,48,51,54,57,60				
40601001	item17901040601001	item17902040601001	hero106	skill1508	4	401	item17902040601001,50		75	gemtypebadge_1			skill81081	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40602001	item17901040602001	item17902040602001	hero106	skill1504	4	402	item17902040602001,50		75	gemtypebadge_4	buff6_saint01::buff_11	28,30,32,34,36,38,40	skill81083			
40603001	item17901040603001	item17902040603001	hero106	skill1503	4	403	item17902040603001,50		75	gemtypebadge_2			skill81085	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40604001	item17901040604001	item17902040604001	hero106	skill1502	4	404	item17902040604001,50		75	gemtypebadge_4			skill81087	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40605001	item17901040605001	item17902040605001	hero106	skill1505	4	405	item17902040605001,50		75	gemtypebadge_1			skill81089	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40606001	item17901040606001	item17902040606001	hero106	skill1506	4	406	item17902040606001,50		75	gemtypebadge_1	buff6_saint01::buff_5	70,75,80,85,90,95,100	skill81091			
40607001	item17901040607001	item17902040607001	hero106	skill1510	4	407	item17902040607001,50		75	gemtypebadge_4			skill81093	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40608001	item17901040608001	item17902040608001	hero106	skill1509	4	408	item17902040608001,50		75	gemtypebadge_1	buff6_saint01::buff_11	42,45,48,51,54,57,60	skill81095			
50601001	item17901050601001	item17902050601001	hero106	skill1508	5	501	item17902050601001,50		150	gemtypebadge_1			skill81082	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50602001	item17901050602001	item17902050602001	hero106	skill1504	5	502	item17902050602001,50		150	gemtypebadge_1	buff6_saint01::buff_12	28,30,32,34,36,38,40	skill81084			
50603001	item17901050603001	item17902050603001	hero106	skill1503	5	503	item17902050603001,50		150	gemtypebadge_4			skill81086	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50604001	item17901050604001	item17902050604001	hero106	skill1502	5	504	item17902050604001,50		150	gemtypebadge_4			skill81088	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50605001	item17901050605001	item17902050605001	hero106	skill1505	5	505	item17902050605001,50		150	gemtypebadge_3			skill81090	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50606001	item17901050606001	item17902050606001	hero106	skill1506	5	506	item17902050606001,50		150	gemtypebadge_1	buff6_saint01::buff_6	70,75,80,85,90,95,100	skill81092			
50607001	item17901050607001	item17902050607001	hero106	skill1510	5	507	item17902050607001,50		150	gemtypebadge_1			skill81094	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50608001	item17901050608001	item17902050608001	hero106	skill1509	5	508	item17902050608001,50		150	gemtypebadge_1	buff6_saint01::buff_12	42,45,48,51,54,57,60	skill81096			
