事件ID	事件类型	事件描述	武艺属性要求	才艺属性要求	游历基础奖励	招募经验奖励	高级奖励掉落库	勋章掉落	影集掉落	奇遇探索触发概率	对应成就ID	专属奖励预览（前端展示）	奖励预览（前端展示）	带回学徒概率
600516	2	EventDes600516	35,91570;33,79350	6,11860			5042	8512,800	9508,1000	75116,1500;75216,1500;75316,1500	8105316,8105416,8105516,8105112,8105208	item127000068078,1;item127100000001,1;item127000065064,1;item127000065069,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600517	2	EventDes600517	30,84620;35,98280	5,12580;2,12580			5051	8513,800		75117,1500;75217,1500;75317,1500	8105317,8105417,8105517,8105113	item127000068079,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600518	3	EventDes600518	31,84620;3,45930	3,12580;4,12580			5051	8514,800		75118,1500;75218,1500;75318,1500	8105318,8105418,8105518,8105114	item127000068080,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600519	4	EventDes600519	1,435920;4,51880	1,12930;5,12930			5052		9509,1000	75119,1500;75219,1500;75319,1500	8105319,8105419,8105519,8105209	item127100000001,1;item127000065062,1;item127000065063,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600520	1	EventDes600520	32,86970;33,86970	3,12930;1,12930			5052	8515,800	9510,1000	75120,1500;75220,1500;75320,1500	8105320,8105420,8105520,8105115,8105210	item127000068081,1;item127100000001,1;item127000065062,1;item127000065063,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600521	3	EventDes600521	30,92400;3,48440	5,13670;2,13670			5061	8516,800		75121,1500;75221,1500;75321,1500	8105321,8105421,8105521,8105116	item127000068082,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600522	4	EventDes600522	31,92400;4,53610	2,13670;4,13670			5061	8517,800		75122,1500;75222,1500;75322,1500	8105322,8105422,8105522,8105117	item127000068083,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600523	1	EventDes600523	1,458840;33,94900	4,14040;4,14040			5062		9511,1000	75123,1500;75223,1500;75323,1500	8105323,8105423,8105523,8105211	item127100000001,1;item127000065065,1;item127000065066,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600524	2	EventDes600524	32,94900;34,110830	6,14040;1,14040			5062	8518,800	9512,1000	75124,1500;75224,1500;75324,1500	8105324,8105424,8105524,8105118,8105212	item127000068084,1;item127100000001,1;item127000065065,1;item127000065066,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600525	4	EventDes600525	30,100470;3,51010	1,14800;3,14800			5071	8519,800		75125,1500;75225,1500;75325,1500	8105325,8105425,8105525,8105119	item127000068085,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600526	1	EventDes600526	31,100470;4,56830	2,14800;2,14800			5071	8520,800		75126,1500;75226,1500;75326,1500	8105326,8105426,8105526,8105120	item127000068086,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600527	2	EventDes600527	1,482350;35,121020	5,15190;6,15190			5072		9513,1000	75127,1500;75227,1500;75327,1500	8105327,8105427,8105527,8105213	item127100000001,1;item127000065067,1;item127000065068,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600528	3	EventDes600528	32,103110;31,103110	1,15190;5,15190			5072	8521,800		75128,1500;75228,1500;75328,1500	8105328,8105428,8105528,8105121	item127000068087,1;item127000065067,1;item127000065068,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600529	3	EventDes600529	33,109540;3,53820	1,16060;3,16060			5081	8522,800	9514,1000	75129,1500;75229,1500;75329,1500	8105329,8105429,8105529,8105122,8105214	item127000068088,1;item127100000001,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600530	2	EventDes600530	34,129210;4,60380	2,16060;4,16060			5081	8523,800		75130,1500;75230,1500;75330,1500	8105330,8105430,8105530,8105123	item127000068089,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600531	1	EventDes600531	35,132530;35,132530	5,16480;6,16480			5082	8524,800	9515,1000	75131,1500;75231,1500;75331,1500	8105331,8105431,8105531,8105124,8105215	item127000068090,1;item127100000001,1;item127000065064,1;item127000065069,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600532	4	EventDes600532	30,112350;31,112350	1,16480;2,16480			5082	8525,800		75132,1500;75232,1500;75332,1500	8105332,8105432,8105532,8105125	item127000068091,1;item127000065064,1;item127000065069,1	item127000063000,1;item127000063003,1;item127000063020,1	1500
600601	1	EventDes600601	1,429250	6,12090			6011	8601,800		76101,1500;76201,1500;76301,1500	8106301,8106401,8106501,8106101	item127000068092,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600602	2	EventDes600602	3,47410	4,12090			6011	8602,800		76102,1500;76202,1500;76302,1500	8106302,8106402,8106502,8106102	item127000068093,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600603	3	EventDes600603	4,52670	2,12410			6012		9601,1000	76103,1500;76203,1500;76303,1500	8106303,8106403,8106503,8106201	item127100000001,1;item127000065062,1;item127000065063,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600604	4	EventDes600604	1,440860;32,82480	1,12410			6012	8603,800		76104,1500;76204,1500;76304,1500	8106304,8106404,8106504,8106103	item127000068094,1;item127000065062,1;item127000065063,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600605	2	EventDes600605	3,50030;33,88400	3,13220			6021	8604,800		76105,1500;76205,1500;76305,1500	8106305,8106405,8106505,8106104	item127000068095,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600606	4	EventDes600606	4,54550;34,101950	5,13220			6021		9602,1000	76106,1500;76206,1500;76306,1500	8106306,8106406,8106506,8106202	item127100000001,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600607	1	EventDes600607	1,464610;35,104630	1,13570			6022	8605,800		76107,1500;76207,1500;76307,1500	8106307,8106407,8106507,8106105	item127000068096,1;item127000065065,1;item127000065066,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600608	3	EventDes600608	3,51350;30,90730	2,13570			6022	8606,800		76108,1500;76208,1500;76308,1500	8106308,8106408,8106508,8106106	item127000068097,1;item127000065065,1;item127000065066,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600609	4	EventDes600609	4,57920;31,96800	6,14400			6031		9603,1000	76109,1500;76209,1500;76309,1500	8106309,8106409,8106509,8106203	item127100000001,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600610	3	EventDes600610	32,96800;31,96800	3,14400			6031	8607,800		76110,1500;76210,1500;76310,1500	8106310,8106410,8106510,8106107	item127000068098,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600611	2	EventDes600611	34,115240;30,99290	4,14770			6032	8608,800		76111,1500;76211,1500;76311,1500	8106311,8106411,8106511,8106108	item127000068099,1;item127000065067,1;item127000065068,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600612	1	EventDes600612	30,99290;35,115240	5,14770			6032		9604,1000	76112,1500;76212,1500;76312,1500	8106312,8106412,8106512,8106204	item127100000001,1;item127000065067,1;item127000065068,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600613	3	EventDes600613	32,105520;34,123170	1,15620			6041	8609,800	9605,1000	76113,1500;76213,1500;76313,1500	8106313,8106413,8106513,8106109,8106205	item127000068100,1;item127100000001,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600614	1	EventDes600614	33,105520;33,105520	3,15620			6041	8610,800		76114,1500;76214,1500;76314,1500	8106314,8106414,8106514,8106110	item127000068101,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600615	4	EventDes600615	34,126250;32,108150	6,16000			6042		9606,1000	76115,1500;76215,1500;76315,1500	8106315,8106415,8106515,8106206	item127100000001,1;item127000065064,1;item127000065069,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600616	2	EventDes600616	35,126250;33,108150	6,16000			6042	8611,800		76116,1500;76216,1500;76316,1500	8106316,8106416,8106516,8106111	item127000068102,1;item127000065064,1;item127000065069,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600617	2	EventDes600617	30,114540;35,134380	5,16880;2,16880			6051	8612,800	9607,1000	76117,1500;76217,1500;76317,1500	8106317,8106417,8106517,8106112,8106207	item127000068103,1;item127100000001,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600618	3	EventDes600618	31,114540;3,58340	3,16880;4,16880			6051		9608,1000	76118,1500;76218,1500;76318,1500	8106318,8106418,8106518,8106208	item127100000001,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600619	4	EventDes600619	1,539600;4,66530	1,17290;5,17290			6052	8613,800		76119,1500;76219,1500;76319,1500	8106319,8106419,8106519,8106113	item127000068104,1;item127000065062,1;item127000065063,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600620	1	EventDes600620	32,117330;33,117330	3,17290;1,17290			6052	8614,800		76120,1500;76220,1500;76320,1500	8106320,8106420,8106520,8106114	item127000068105,1;item127000065062,1;item127000065063,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600621	3	EventDes600621	30,124650;3,61420	5,18290;2,18290			6061		9609,1000	76121,1500;76221,1500;76321,1500	8106321,8106421,8106521,8106209	item127100000001,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600622	4	EventDes600622	31,124650;4,68860	2,18290;4,18290			6061	8615,800		76122,1500;76222,1500;76322,1500	8106322,8106422,8106522,8106115	item127000068106,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600623	1	EventDes600623	1,567420;33,127610	4,18720;4,18720			6062	8616,800		76123,1500;76223,1500;76323,1500	8106323,8106423,8106523,8106116	item127000068107,1;item127000065065,1;item127000065066,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600624	2	EventDes600624	32,127610;34,150460	6,18720;1,18720			6062		9610,1000	76124,1500;76224,1500;76324,1500	8106324,8106424,8106524,8106210	item127100000001,1;item127000065065,1;item127000065066,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600625	4	EventDes600625	30,143910;3,68580	1,21020;3,21020			6071	8617,800		76125,1500;76225,1500;76325,1500	8106325,8106425,8106525,8106117	item127000068108,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600626	1	EventDes600626	31,143910;4,77450	2,21020;2,21020			6071	8618,800		76126,1500;76226,1500;76326,1500	8106326,8106426,8106526,8106118	item127000068109,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600627	2	EventDes600627	1,648280;35,174460	5,21510;6,21510			6072	8619,800	9611,1000	76127,1500;76227,1500;76327,1500	8106327,8106427,8106527,8106119,8106211	item127000068110,1;item127100000001,1;item127000065067,1;item127000065068,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600628	3	EventDes600628	32,147250;31,147250	1,21510;5,21510			6072		9612,1000	76128,1500;76228,1500;76328,1500	8106328,8106428,8106528,8106212	item127100000001,1;item127000065067,1;item127000065068,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600629	3	EventDes600629	33,165130;3,76280	1,24030;3,24030			6081	8620,800		76129,1500;76229,1500;76329,1500	8106329,8106429,8106529,8106120	item127000068111,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600630	2	EventDes600630	34,196490;4,86740	2,24030;4,24030			6081	8621,800		76130,1500;76230,1500;76330,1500	8106330,8106430,8106530,8106121	item127000068112,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600631	1	EventDes600631	35,200960;35,200960	5,24580;6,24580			6082	8622,800		76131,1500;76231,1500;76331,1500	8106331,8106431,8106531,8106122	item127000068113,1;item127000065064,1;item127000065069,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600632	4	EventDes600632	30,168890;31,168890	1,24580;2,24580			6082		9613,1000	76132,1500;76232,1500;76332,1500	8106332,8106432,8106532,8106213	item127100000001,1;item127000065064,1;item127000065069,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600633	2	EventDes600633	31,179860;3,80510	1,26070;3,26070			6091	8623,800		76133,1500;76233,1500;76333,1500	8106333,8106433,8106533,8106123	item127000068114,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600634	1	EventDes600634	1,756620;4,92200	2,26070;4,26070			6091	8624,800		76134,1500;76234,1500;76334,1500	8106334,8106434,8106534,8106124	item127000068115,1;item127000063023,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600635	4	EventDes600635	32,183850;35,219700	5,26650;6,26650			6092	8625,800	9614,1000	76135,1500;76235,1500;76335,1500	8106335,8106435,8106535,8106125,8106214	item127000068116,1;item127100000001,1;item127000065062,1;item127000065063,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
600636	3	EventDes600636	33,183850;31,183850	1,26650;2,26650			6092	8626,800		76136,1500;76236,1500;76336,1500	8106336,8106436,8106536,8106126	item127000068117,1;item127000065062,1;item127000065063,1	item127000063000,1;item127000063003,1;item127000063020,1	2000
