流水	活动id	第几周	任务组	任务id	能量	功能检测和自动关闭
772	6206	2	157	181330	30	138,1
773	6206	2	158	183060	100	14,1
774	6206	2	159	182090	50	34,1
775	6206	2	160	182100	50	41,0
776	6206	2	161	183080	100	13,1
777	6206	2	162	182130	50	145,1
778	6206	2	163	181430	30	37,0
779	6206	2	163	181440	30	37,0
780	6206	2	163	181450	30	37,0
781	6206	2	164	183110	100	0,1
782	6206	2	165	182150	50	25,1
783	6206	2	166	181490	30	0,1
784	6206	2	166	181500	30	0,1
785	6206	2	166	181510	30	0,1
786	6206	3	167	183010	100	0,1
787	6206	3	168	182010	50	69,0
788	6206	3	169	181070	30	0,1
789	6206	3	169	181080	30	0,1
790	6206	3	169	181090	30	0,1
791	6206	3	170	183020	100	106,1
792	6206	3	171	182070	50	2,1
793	6206	3	172	182050	50	0,0
794	6206	3	173	183070	100	0,1
795	6206	3	174	182060	50	1,1
796	6206	3	175	181250	30	0,0
797	6206	3	175	181260	30	0,0
798	6206	3	175	181270	30	0,0
799	6206	3	176	183050	100	23,1
800	6206	3	177	182080	50	33,1
801	6206	3	178	181340	30	138,1
802	6206	3	178	181350	30	138,1
803	6206	3	178	181360	30	138,1
804	6206	3	179	183040	100	0,1
805	6206	3	180	182100	50	41,0
806	6206	3	181	182120	50	127,0
807	6206	3	182	183080	100	13,1
808	6206	3	183	182130	50	145,1
809	6206	3	184	181430	30	37,0
810	6206	3	184	181440	30	37,0
811	6206	3	184	181450	30	37,0
812	6206	3	185	183100	100	0,1
813	6206	3	186	182160	50	25,1
814	6206	3	187	181520	30	0,1
815	6206	3	187	181530	30	0,1
816	6206	3	187	181540	30	0,1
817	6206	4	188	183010	100	0,1
818	6206	4	189	182010	50	69,0
819	6206	4	190	181100	30	0,1
820	6206	4	190	181110	30	0,1
821	6206	4	190	181120	30	0,1
822	6206	4	191	183030	100	80,1
823	6206	4	192	182030	50	39,0
824	6206	4	193	182050	50	0,0
825	6206	4	194	183040	100	0,1
826	6206	4	195	182070	50	2,1
827	6206	4	196	181280	30	0,0
828	6206	4	196	181290	30	0,0
829	6206	4	196	181300	30	0,0
830	6206	4	197	183050	100	23,1
831	6206	4	198	182080	50	33,1
832	6206	4	199	181370	30	138,1
833	6206	4	199	181380	30	138,1
834	6206	4	199	181390	30	138,1
835	6206	4	200	183060	100	14,1
836	6206	4	201	182100	50	41,0
837	6206	4	202	182110	50	0,0
838	6206	4	203	183080	100	13,1
839	6206	4	204	182130	50	145,1
840	6206	4	205	181430	30	37,0
841	6206	4	205	181440	30	37,0
842	6206	4	205	181450	30	37,0
843	6206	4	206	183110	100	0,1
844	6206	4	207	182170	50	25,1
845	6206	4	208	181550	30	0,1
846	6206	4	208	181560	30	0,1
847	6206	4	208	181570	30	0,1
848	6206	5	209	183010	100	0,1
849	6206	5	210	182010	50	69,0
850	6206	5	211	181310	30	138,1
851	6206	5	211	181320	30	138,1
852	6206	5	211	181330	30	138,1
853	6206	5	213	182020	50	12,0
854	6206	5	214	182030	50	39,0
855	6206	5	217	181340	30	138,1
856	6206	5	217	181350	30	138,1
857	6206	5	217	181360	30	138,1
858	6206	5	218	183040	100	0,1
859	6206	5	219	182050	50	0,0
860	6206	5	220	182060	50	1,1
861	6206	5	221	183050	100	23,1
862	6206	5	222	182070	50	2,1
863	6206	5	223	181370	30	138,1
864	6206	5	223	181380	30	138,1
865	6206	5	223	181390	30	138,1
866	6206	5	225	182080	50	33,1
867	6206	5	226	181400	30	0,1
868	6206	5	226	181410	30	0,1
869	6206	5	226	181420	30	0,1
870	6206	5	227	183070	100	0,1
871	6206	5	228	182090	50	34,1
872	6206	5	229	181430	30	37,0
873	6206	5	229	181440	30	37,0
874	6206	5	229	181450	30	37,0
875	6206	5	230	183080	100	13,1
876	6206	5	231	182100	50	41,0
877	6206	5	232	182110	50	0,0
878	6206	5	233	183090	100	0,1
879	6206	5	234	182120	50	127,0
880	6206	5	235	181580	30	0,1
881	6206	5	235	181590	30	0,1
882	6206	5	235	181600	30	0,1
883	6206	5	236	183100	100	0,1
884	6206	5	237	182130	50	145,1
885	6206	5	238	181130	30	0,1
886	6206	5	238	181140	30	0,1
887	6206	5	238	181150	30	0,1
888	6206	5	239	183110	100	0,1
889	6206	5	240	182140	50	25,1
890	6206	5	241	181160	30	0,1
891	6206	5	241	181170	30	0,1
892	6206	5	241	181180	30	0,1
893	6206	5	242	183120	100	0,1
894	6206	5	243	182150	50	25,1
895	6206	5	244	181250	30	0,0
896	6206	5	244	181260	30	0,0
897	6206	5	244	181270	30	0,0
898	6206	5	245	182160	50	25,1
899	6206	5	246	182170	50	25,1
900	6206	5	247	181190	30	0,0
901	6206	5	247	181200	30	0,0
902	6206	5	247	181210	30	0,0
903	6206	5	248	182180	50	25,1
904	6207	1	125	183010	100	0,1
905	6207	1	126	182010	50	69,0
906	6207	1	127	181430	30	37,0
907	6207	1	127	181440	30	37,0
908	6207	1	127	181450	30	37,0
909	6207	1	128	183020	100	106,1
910	6207	1	129	182020	50	12,0
911	6207	1	130	182050	50	0,0
912	6207	1	131	183040	100	0,1
913	6207	1	132	182060	50	1,1
914	6207	1	133	181010	30	0,1
915	6207	1	133	181020	30	0,1
916	6207	1	133	181030	30	0,1
917	6207	1	134	183050	100	23,1
918	6207	1	135	182080	50	33,1
919	6207	1	136	181190	30	0,0
920	6207	1	136	181200	30	0,0
921	6207	1	136	181210	30	0,0
922	6207	1	137	183070	100	0,1
923	6207	1	138	182100	50	41,0
924	6207	1	139	182110	50	0,0
925	6207	1	140	183080	100	13,1
926	6207	1	141	182130	50	145,1
927	6207	1	142	181400	30	0,1
928	6207	1	142	181410	30	0,1
929	6207	1	142	181420	30	0,1
930	6207	1	143	183100	100	0,1
931	6207	1	144	182140	50	25,1
932	6207	1	145	181460	30	0,1
933	6207	1	145	181470	30	0,1
934	6207	1	145	181480	30	0,1
935	6207	1	249	183130	30	183,1
936	6207	2	146	183010	100	0,1
937	6207	2	147	182010	50	69,0
938	6207	2	148	181040	30	0,1
939	6207	2	148	181050	30	0,1
940	6207	2	148	181060	30	0,1
941	6207	2	149	183030	100	80,1
942	6207	2	150	182030	50	39,0
943	6207	2	151	182050	50	0,0
944	6207	2	152	183040	100	0,1
945	6207	2	153	182060	50	1,1
946	6207	2	154	181220	30	0,0
947	6207	2	154	181230	30	0,0
948	6207	2	154	181240	30	0,0
949	6207	2	155	183050	100	23,1
950	6207	2	156	182080	50	33,1
951	6207	2	157	181310	30	138,1
952	6207	2	157	181320	30	138,1
953	6207	2	157	181330	30	138,1
954	6207	2	158	183060	100	14,1
955	6207	2	159	182090	50	34,1
956	6207	2	160	182100	50	41,0
957	6207	2	161	183080	100	13,1
958	6207	2	162	182130	50	145,1
959	6207	2	163	181430	30	37,0
960	6207	2	163	181440	30	37,0
961	6207	2	163	181450	30	37,0
962	6207	2	164	183110	100	0,1
963	6207	2	165	182150	50	25,1
964	6207	2	166	181490	30	0,1
965	6207	2	166	181500	30	0,1
966	6207	2	166	181510	30	0,1
967	6207	3	167	183010	100	0,1
968	6207	3	168	182010	50	69,0
969	6207	3	169	181070	30	0,1
970	6207	3	169	181080	30	0,1
971	6207	3	169	181090	30	0,1
972	6207	3	170	183020	100	106,1
973	6207	3	171	182070	50	2,1
974	6207	3	172	182050	50	0,0
975	6207	3	173	183070	100	0,1
976	6207	3	174	182060	50	1,1
977	6207	3	175	181250	30	0,0
978	6207	3	175	181260	30	0,0
979	6207	3	175	181270	30	0,0
980	6207	3	176	183050	100	23,1
981	6207	3	177	182080	50	33,1
982	6207	3	178	181340	30	138,1
983	6207	3	178	181350	30	138,1
984	6207	3	178	181360	30	138,1
985	6207	3	179	183040	100	0,1
986	6207	3	180	182100	50	41,0
987	6207	3	181	182120	50	127,0
988	6207	3	182	183080	100	13,1
989	6207	3	183	182130	50	145,1
990	6207	3	184	181430	30	37,0
991	6207	3	184	181440	30	37,0
992	6207	3	184	181450	30	37,0
993	6207	3	185	183100	100	0,1
994	6207	3	186	182160	50	25,1
995	6207	3	187	181520	30	0,1
996	6207	3	187	181530	30	0,1
997	6207	3	187	181540	30	0,1
998	6207	4	188	183010	100	0,1
999	6207	4	189	182010	50	69,0
1000	6207	4	190	181100	30	0,1
1001	6207	4	190	181110	30	0,1
1002	6207	4	190	181120	30	0,1
1003	6207	4	191	183030	100	80,1
1004	6207	4	192	182030	50	39,0
1005	6207	4	193	182050	50	0,0
1006	6207	4	194	183040	100	0,1
1007	6207	4	195	182070	50	2,1
1008	6207	4	196	181280	30	0,0
1009	6207	4	196	181290	30	0,0
1010	6207	4	196	181300	30	0,0
1011	6207	4	197	183050	100	23,1
1012	6207	4	198	182080	50	33,1
1013	6207	4	199	181370	30	138,1
1014	6207	4	199	181380	30	138,1
1015	6207	4	199	181390	30	138,1
1016	6207	4	200	183060	100	14,1
1017	6207	4	201	182100	50	41,0
1018	6207	4	202	182110	50	0,0
1019	6207	4	203	183080	100	13,1
1020	6207	4	204	182130	50	145,1
1021	6207	4	205	181430	30	37,0
1022	6207	4	205	181440	30	37,0
1023	6207	4	205	181450	30	37,0
1024	6207	4	206	183110	100	0,1
1025	6207	4	207	182170	50	25,1
1026	6207	4	208	181550	30	0,1
1027	6207	4	208	181560	30	0,1
1028	6207	4	208	181570	30	0,1
1029	6207	5	209	183010	100	0,1
1030	6207	5	210	182010	50	69,0
1031	6207	5	211	181310	30	138,1
1032	6207	5	211	181320	30	138,1
1033	6207	5	211	181330	30	138,1
1034	6207	5	213	182020	50	12,0
1035	6207	5	214	182030	50	39,0
1036	6207	5	217	181340	30	138,1
1037	6207	5	217	181350	30	138,1
1038	6207	5	217	181360	30	138,1
1039	6207	5	218	183040	100	0,1
1040	6207	5	219	182050	50	0,0
1041	6207	5	220	182060	50	1,1
1042	6207	5	221	183050	100	23,1
1043	6207	5	222	182070	50	2,1
1044	6207	5	223	181370	30	138,1
1045	6207	5	223	181380	30	138,1
1046	6207	5	223	181390	30	138,1
1047	6207	5	225	182080	50	33,1
1048	6207	5	226	181400	30	0,1
1049	6207	5	226	181410	30	0,1
1050	6207	5	226	181420	30	0,1
1051	6207	5	227	183070	100	0,1
1052	6207	5	228	182090	50	34,1
1053	6207	5	229	181430	30	37,0
1054	6207	5	229	181440	30	37,0
1055	6207	5	229	181450	30	37,0
1056	6207	5	230	183080	100	13,1
1057	6207	5	231	182100	50	41,0
1058	6207	5	232	182110	50	0,0
1059	6207	5	233	183090	100	0,1
1060	6207	5	234	182120	50	127,0
1061	6207	5	235	181580	30	0,1
1062	6207	5	235	181590	30	0,1
1063	6207	5	235	181600	30	0,1
1064	6207	5	236	183100	100	0,1
1065	6207	5	237	182130	50	145,1
1066	6207	5	238	181130	30	0,1
1067	6207	5	238	181140	30	0,1
1068	6207	5	238	181150	30	0,1
1069	6207	5	239	183110	100	0,1
1070	6207	5	240	182140	50	25,1
1071	6207	5	241	181160	30	0,1
1072	6207	5	241	181170	30	0,1
1073	6207	5	241	181180	30	0,1
1074	6207	5	242	183120	100	0,1
1075	6207	5	243	182150	50	25,1
1076	6207	5	244	181250	30	0,0
1077	6207	5	244	181260	30	0,0
1078	6207	5	244	181270	30	0,0
1079	6207	5	245	182160	50	25,1
1080	6207	5	246	182170	50	25,1
1081	6207	5	247	181190	30	0,0
1082	6207	5	247	181200	30	0,0
1083	6207	5	247	181210	30	0,0
1084	6207	5	248	182180	50	25,1
1085	6208	1	125	183010	100	0,1
1086	6208	1	126	182010	50	69,0
1087	6208	1	127	181430	30	37,0
1088	6208	1	127	181440	30	37,0
1089	6208	1	127	181450	30	37,0
1090	6208	1	128	183020	100	106,1
1091	6208	1	129	182020	50	12,0
1092	6208	1	130	182050	50	0,0
1093	6208	1	131	183040	100	0,1
1094	6208	1	132	182060	50	1,1
1095	6208	1	133	181010	30	0,1
1096	6208	1	133	181020	30	0,1
1097	6208	1	133	181030	30	0,1
1098	6208	1	134	183050	100	23,1
1099	6208	1	135	182080	50	33,1
1100	6208	1	136	181190	30	0,0
1101	6208	1	136	181200	30	0,0
1102	6208	1	136	181210	30	0,0
1103	6208	1	137	183070	100	0,1
1104	6208	1	138	182100	50	41,0
1105	6208	1	139	182110	50	0,0
1106	6208	1	140	183080	100	13,1
1107	6208	1	141	182130	50	145,1
1108	6208	1	142	181400	30	0,1
1109	6208	1	142	181410	30	0,1
1110	6208	1	142	181420	30	0,1
1111	6208	1	143	183100	100	0,1
1112	6208	1	144	182140	50	25,1
1113	6208	1	145	181460	30	0,1
1114	6208	1	145	181470	30	0,1
1115	6208	1	145	181480	30	0,1
1116	6208	1	249	183130	30	183,1
1117	6208	2	146	183010	100	0,1
1118	6208	2	147	182010	50	69,0
1119	6208	2	148	181040	30	0,1
1120	6208	2	148	181050	30	0,1
1121	6208	2	148	181060	30	0,1
1122	6208	2	149	183030	100	80,1
1123	6208	2	150	182030	50	39,0
1124	6208	2	151	182050	50	0,0
1125	6208	2	152	183040	100	0,1
1126	6208	2	153	182060	50	1,1
1127	6208	2	154	181220	30	0,0
1128	6208	2	154	181230	30	0,0
1129	6208	2	154	181240	30	0,0
1130	6208	2	155	183050	100	23,1
1131	6208	2	156	182080	50	33,1
1132	6208	2	157	181310	30	138,1
1133	6208	2	157	181320	30	138,1
1134	6208	2	157	181330	30	138,1
1135	6208	2	158	183060	100	14,1
1136	6208	2	159	182090	50	34,1
1137	6208	2	160	182100	50	41,0
1138	6208	2	161	183080	100	13,1
1139	6208	2	162	182130	50	145,1
1140	6208	2	163	181430	30	37,0
1141	6208	2	163	181440	30	37,0
1142	6208	2	163	181450	30	37,0
1143	6208	2	164	183110	100	0,1
1144	6208	2	165	182150	50	25,1
1145	6208	2	166	181490	30	0,1
1146	6208	2	166	181500	30	0,1
1147	6208	2	166	181510	30	0,1
1148	6208	3	167	183010	100	0,1
1149	6208	3	168	182010	50	69,0
1150	6208	3	169	181070	30	0,1
1151	6208	3	169	181080	30	0,1
1152	6208	3	169	181090	30	0,1
1153	6208	3	170	183020	100	106,1
1154	6208	3	171	182070	50	2,1
1155	6208	3	172	182050	50	0,0
1156	6208	3	173	183070	100	0,1
1157	6208	3	174	182060	50	1,1
1158	6208	3	175	181250	30	0,0
1159	6208	3	175	181260	30	0,0
1160	6208	3	175	181270	30	0,0
1161	6208	3	176	183050	100	23,1
1162	6208	3	177	182080	50	33,1
1163	6208	3	178	181340	30	138,1
1164	6208	3	178	181350	30	138,1
1165	6208	3	178	181360	30	138,1
1166	6208	3	179	183040	100	0,1
1167	6208	3	180	182100	50	41,0
1168	6208	3	181	182120	50	127,0
1169	6208	3	182	183080	100	13,1
1170	6208	3	183	182130	50	145,1
1171	6208	3	184	181430	30	37,0
1172	6208	3	184	181440	30	37,0
1173	6208	3	184	181450	30	37,0
1174	6208	3	185	183100	100	0,1
1175	6208	3	186	182160	50	25,1
1176	6208	3	187	181520	30	0,1
1177	6208	3	187	181530	30	0,1
1178	6208	3	187	181540	30	0,1
1179	6208	4	188	183010	100	0,1
1180	6208	4	189	182010	50	69,0
1181	6208	4	190	181100	30	0,1
1182	6208	4	190	181110	30	0,1
1183	6208	4	190	181120	30	0,1
1184	6208	4	191	183030	100	80,1
1185	6208	4	192	182030	50	39,0
1186	6208	4	193	182050	50	0,0
1187	6208	4	194	183040	100	0,1
1188	6208	4	195	182070	50	2,1
1189	6208	4	196	181280	30	0,0
1190	6208	4	196	181290	30	0,0
1191	6208	4	196	181300	30	0,0
1192	6208	4	197	183050	100	23,1
1193	6208	4	198	182080	50	33,1
1194	6208	4	199	181370	30	138,1
1195	6208	4	199	181380	30	138,1
1196	6208	4	199	181390	30	138,1
1197	6208	4	200	183060	100	14,1
1198	6208	4	201	182100	50	41,0
1199	6208	4	202	182110	50	0,0
1200	6208	4	203	183080	100	13,1
1201	6208	4	204	182130	50	145,1
1202	6208	4	205	181430	30	37,0
1203	6208	4	205	181440	30	37,0
1204	6208	4	205	181450	30	37,0
1205	6208	4	206	183110	100	0,1
1206	6208	4	207	182170	50	25,1
1207	6208	4	208	181550	30	0,1
1208	6208	4	208	181560	30	0,1
1209	6208	4	208	181570	30	0,1
1210	6208	5	209	183010	100	0,1
1211	6208	5	210	182010	50	69,0
1212	6208	5	211	181310	30	138,1
1213	6208	5	211	181320	30	138,1
1214	6208	5	211	181330	30	138,1
1215	6208	5	213	182020	50	12,0
1216	6208	5	214	182030	50	39,0
1217	6208	5	217	181340	30	138,1
1218	6208	5	217	181350	30	138,1
1219	6208	5	217	181360	30	138,1
1220	6208	5	218	183040	100	0,1
1221	6208	5	219	182050	50	0,0
1222	6208	5	220	182060	50	1,1
1223	6208	5	221	183050	100	23,1
1224	6208	5	222	182070	50	2,1
1225	6208	5	223	181370	30	138,1
1226	6208	5	223	181380	30	138,1
1227	6208	5	223	181390	30	138,1
1228	6208	5	225	182080	50	33,1
1229	6208	5	226	181400	30	0,1
1230	6208	5	226	181410	30	0,1
1231	6208	5	226	181420	30	0,1
1232	6208	5	227	183070	100	0,1
1233	6208	5	228	182090	50	34,1
1234	6208	5	229	181430	30	37,0
1235	6208	5	229	181440	30	37,0
1236	6208	5	229	181450	30	37,0
1237	6208	5	230	183080	100	13,1
1238	6208	5	231	182100	50	41,0
1239	6208	5	232	182110	50	0,0
1240	6208	5	233	183090	100	0,1
1241	6208	5	234	182120	50	127,0
1242	6208	5	235	181580	30	0,1
1243	6208	5	235	181590	30	0,1
1244	6208	5	235	181600	30	0,1
1245	6208	5	236	183100	100	0,1
1246	6208	5	237	182130	50	145,1
1247	6208	5	238	181130	30	0,1
1248	6208	5	238	181140	30	0,1
1249	6208	5	238	181150	30	0,1
1250	6208	5	239	183110	100	0,1
1251	6208	5	240	182140	50	25,1
1252	6208	5	241	181160	30	0,1
1253	6208	5	241	181170	30	0,1
1254	6208	5	241	181180	30	0,1
1255	6208	5	242	183120	100	0,1
1256	6208	5	243	182150	50	25,1
1257	6208	5	244	181250	30	0,0
1258	6208	5	244	181260	30	0,0
1259	6208	5	244	181270	30	0,0
1260	6208	5	245	182160	50	25,1
1261	6208	5	246	182170	50	25,1
1262	6208	5	247	181190	30	0,0
1263	6208	5	247	181200	30	0,0
1264	6208	5	247	181210	30	0,0
1265	6208	5	248	182180	50	25,1
1266	6209	1	125	183010	100	0,1
1267	6209	1	126	182010	50	69,0
1268	6209	1	127	181430	30	37,0
1269	6209	1	127	181440	30	37,0
1270	6209	1	127	181450	30	37,0
1271	6209	1	128	183020	100	106,1
1272	6209	1	129	182020	50	12,0
1273	6209	1	130	182050	50	0,0
1274	6209	1	131	183040	100	0,1
1275	6209	1	132	182060	50	1,1
1276	6209	1	133	181010	30	0,1
1277	6209	1	133	181020	30	0,1
1278	6209	1	133	181030	30	0,1
1279	6209	1	134	183050	100	23,1
1280	6209	1	135	182080	50	33,1
1281	6209	1	136	181190	30	0,0
1282	6209	1	136	181200	30	0,0
1283	6209	1	136	181210	30	0,0
1284	6209	1	137	183070	100	0,1
1285	6209	1	138	182100	50	41,0
1286	6209	1	139	182110	50	0,0
1287	6209	1	140	183080	100	13,1
1288	6209	1	141	182130	50	145,1
1289	6209	1	142	181400	30	0,1
1290	6209	1	142	181410	30	0,1
1291	6209	1	142	181420	30	0,1
1292	6209	1	143	183100	100	0,1
1293	6209	1	144	182140	50	25,1
1294	6209	1	145	181460	30	0,1
1295	6209	1	145	181470	30	0,1
1296	6209	1	145	181480	30	0,1
1297	6209	1	249	183130	30	183,1
1298	6209	2	146	183010	100	0,1
1299	6209	2	147	182010	50	69,0
1300	6209	2	148	181040	30	0,1
1301	6209	2	148	181050	30	0,1
1302	6209	2	148	181060	30	0,1
1303	6209	2	149	183030	100	80,1
1304	6209	2	150	182030	50	39,0
1305	6209	2	151	182050	50	0,0
1306	6209	2	152	183040	100	0,1
1307	6209	2	153	182060	50	1,1
1308	6209	2	154	181220	30	0,0
1309	6209	2	154	181230	30	0,0
1310	6209	2	154	181240	30	0,0
1311	6209	2	155	183050	100	23,1
1312	6209	2	156	182080	50	33,1
1313	6209	2	157	181310	30	138,1
1314	6209	2	157	181320	30	138,1
1315	6209	2	157	181330	30	138,1
1316	6209	2	158	183060	100	14,1
1317	6209	2	159	182090	50	34,1
1318	6209	2	160	182100	50	41,0
1319	6209	2	161	183080	100	13,1
1320	6209	2	162	182130	50	145,1
1321	6209	2	163	181430	30	37,0
1322	6209	2	163	181440	30	37,0
1323	6209	2	163	181450	30	37,0
1324	6209	2	164	183110	100	0,1
1325	6209	2	165	182150	50	25,1
1326	6209	2	166	181490	30	0,1
1327	6209	2	166	181500	30	0,1
1328	6209	2	166	181510	30	0,1
1329	6209	3	167	183010	100	0,1
1330	6209	3	168	182010	50	69,0
1331	6209	3	169	181070	30	0,1
1332	6209	3	169	181080	30	0,1
1333	6209	3	169	181090	30	0,1
1334	6209	3	170	183020	100	106,1
1335	6209	3	171	182070	50	2,1
1336	6209	3	172	182050	50	0,0
1337	6209	3	173	183070	100	0,1
1338	6209	3	174	182060	50	1,1
1339	6209	3	175	181250	30	0,0
1340	6209	3	175	181260	30	0,0
1341	6209	3	175	181270	30	0,0
1342	6209	3	176	183050	100	23,1
1343	6209	3	177	182080	50	33,1
1344	6209	3	178	181340	30	138,1
1345	6209	3	178	181350	30	138,1
1346	6209	3	178	181360	30	138,1
1347	6209	3	179	183040	100	0,1
1348	6209	3	180	182100	50	41,0
1349	6209	3	181	182120	50	127,0
1350	6209	3	182	183080	100	13,1
1351	6209	3	183	182130	50	145,1
1352	6209	3	184	181430	30	37,0
1353	6209	3	184	181440	30	37,0
1354	6209	3	184	181450	30	37,0
1355	6209	3	185	183100	100	0,1
1356	6209	3	186	182160	50	25,1
1357	6209	3	187	181520	30	0,1
1358	6209	3	187	181530	30	0,1
1359	6209	3	187	181540	30	0,1
1360	6209	4	188	183010	100	0,1
1361	6209	4	189	182010	50	69,0
1362	6209	4	190	181100	30	0,1
1363	6209	4	190	181110	30	0,1
1364	6209	4	190	181120	30	0,1
1365	6209	4	191	183030	100	80,1
1366	6209	4	192	182030	50	39,0
1367	6209	4	193	182050	50	0,0
1368	6209	4	194	183040	100	0,1
1369	6209	4	195	182070	50	2,1
1370	6209	4	196	181280	30	0,0
1371	6209	4	196	181290	30	0,0
1372	6209	4	196	181300	30	0,0
1373	6209	4	197	183050	100	23,1
1374	6209	4	198	182080	50	33,1
1375	6209	4	199	181370	30	138,1
1376	6209	4	199	181380	30	138,1
1377	6209	4	199	181390	30	138,1
1378	6209	4	200	183060	100	14,1
1379	6209	4	201	182100	50	41,0
1380	6209	4	202	182110	50	0,0
1381	6209	4	203	183080	100	13,1
1382	6209	4	204	182130	50	145,1
1383	6209	4	205	181430	30	37,0
1384	6209	4	205	181440	30	37,0
1385	6209	4	205	181450	30	37,0
1386	6209	4	206	183110	100	0,1
1387	6209	4	207	182170	50	25,1
1388	6209	4	208	181550	30	0,1
1389	6209	4	208	181560	30	0,1
1390	6209	4	208	181570	30	0,1
1391	6209	5	209	183010	100	0,1
1392	6209	5	210	182010	50	69,0
1393	6209	5	211	181310	30	138,1
1394	6209	5	211	181320	30	138,1
1395	6209	5	211	181330	30	138,1
1396	6209	5	213	182020	50	12,0
1397	6209	5	214	182030	50	39,0
1398	6209	5	217	181340	30	138,1
1399	6209	5	217	181350	30	138,1
1400	6209	5	217	181360	30	138,1
1401	6209	5	218	183040	100	0,1
1402	6209	5	219	182050	50	0,0
1403	6209	5	220	182060	50	1,1
1404	6209	5	221	183050	100	23,1
1405	6209	5	222	182070	50	2,1
1406	6209	5	223	181370	30	138,1
1407	6209	5	223	181380	30	138,1
1408	6209	5	223	181390	30	138,1
1409	6209	5	225	182080	50	33,1
1410	6209	5	226	181400	30	0,1
1411	6209	5	226	181410	30	0,1
1412	6209	5	226	181420	30	0,1
1413	6209	5	227	183070	100	0,1
1414	6209	5	228	182090	50	34,1
1415	6209	5	229	181430	30	37,0
1416	6209	5	229	181440	30	37,0
1417	6209	5	229	181450	30	37,0
1418	6209	5	230	183080	100	13,1
1419	6209	5	231	182100	50	41,0
1420	6209	5	232	182110	50	0,0
1421	6209	5	233	183090	100	0,1
1422	6209	5	234	182120	50	127,0
1423	6209	5	235	181580	30	0,1
1424	6209	5	235	181590	30	0,1
1425	6209	5	235	181600	30	0,1
1426	6209	5	236	183100	100	0,1
1427	6209	5	237	182130	50	145,1
1428	6209	5	238	181130	30	0,1
1429	6209	5	238	181140	30	0,1
1430	6209	5	238	181150	30	0,1
1431	6209	5	239	183110	100	0,1
1432	6209	5	240	182140	50	25,1
1433	6209	5	241	181160	30	0,1
1434	6209	5	241	181170	30	0,1
1435	6209	5	241	181180	30	0,1
1436	6209	5	242	183120	100	0,1
1437	6209	5	243	182150	50	25,1
1438	6209	5	244	181250	30	0,0
1439	6209	5	244	181260	30	0,0
1440	6209	5	244	181270	30	0,0
1441	6209	5	245	182160	50	25,1
1442	6209	5	246	182170	50	25,1
1443	6209	5	247	181190	30	0,0
1444	6209	5	247	181200	30	0,0
1445	6209	5	247	181210	30	0,0
1446	6209	5	248	182180	50	25,1
1447	6210	1	125	183010	100	0,1
1448	6210	1	126	182010	50	69,0
1449	6210	1	127	181430	30	37,0
1450	6210	1	127	181440	30	37,0
1451	6210	1	127	181450	30	37,0
1452	6210	1	128	183020	100	106,1
1453	6210	1	129	182020	50	12,0
1454	6210	1	130	182050	50	0,0
1455	6210	1	131	183040	100	0,1
1456	6210	1	132	182060	50	1,1
1457	6210	1	133	181010	30	0,1
1458	6210	1	133	181020	30	0,1
1459	6210	1	133	181030	30	0,1
1460	6210	1	134	183050	100	23,1
1461	6210	1	135	182080	50	33,1
1462	6210	1	136	181190	30	0,0
1463	6210	1	136	181200	30	0,0
1464	6210	1	136	181210	30	0,0
1465	6210	1	137	183070	100	0,1
1466	6210	1	138	182100	50	41,0
1467	6210	1	139	182110	50	0,0
1468	6210	1	140	183080	100	13,1
1469	6210	1	141	182130	50	145,1
1470	6210	1	142	181400	30	0,1
1471	6210	1	142	181410	30	0,1
1472	6210	1	142	181420	30	0,1
1473	6210	1	143	183100	100	0,1
1474	6210	1	144	182140	50	25,1
1475	6210	1	145	181460	30	0,1
1476	6210	1	145	181470	30	0,1
1477	6210	1	145	181480	30	0,1
1478	6210	1	249	183130	30	183,1
1479	6210	2	146	183010	100	0,1
1480	6210	2	147	182010	50	69,0
1481	6210	2	148	181040	30	0,1
1482	6210	2	148	181050	30	0,1
1483	6210	2	148	181060	30	0,1
1484	6210	2	149	183030	100	80,1
1485	6210	2	150	182030	50	39,0
1486	6210	2	151	182050	50	0,0
1487	6210	2	152	183040	100	0,1
1488	6210	2	153	182060	50	1,1
1489	6210	2	154	181220	30	0,0
1490	6210	2	154	181230	30	0,0
1491	6210	2	154	181240	30	0,0
1492	6210	2	155	183050	100	23,1
1493	6210	2	156	182080	50	33,1
1494	6210	2	157	181310	30	138,1
1495	6210	2	157	181320	30	138,1
1496	6210	2	157	181330	30	138,1
1497	6210	2	158	183060	100	14,1
1498	6210	2	159	182090	50	34,1
1499	6210	2	160	182100	50	41,0
1500	6210	2	161	183080	100	13,1
1501	6210	2	162	182130	50	145,1
1502	6210	2	163	181430	30	37,0
1503	6210	2	163	181440	30	37,0
1504	6210	2	163	181450	30	37,0
1505	6210	2	164	183110	100	0,1
1506	6210	2	165	182150	50	25,1
1507	6210	2	166	181490	30	0,1
1508	6210	2	166	181500	30	0,1
1509	6210	2	166	181510	30	0,1
1510	6210	3	167	183010	100	0,1
1511	6210	3	168	182010	50	69,0
1512	6210	3	169	181070	30	0,1
1513	6210	3	169	181080	30	0,1
1514	6210	3	169	181090	30	0,1
1515	6210	3	170	183020	100	106,1
1516	6210	3	171	182070	50	2,1
1517	6210	3	172	182050	50	0,0
1518	6210	3	173	183070	100	0,1
