流水	特质库ID	特质id	特质概率
1455	110412	302	150
1456	110412	303	120
1457	110412	304	100
1458	110412	401	300
1459	110412	402	150
1460	110412	403	120
1461	110412	404	100
1462	110412	501	300
1463	110412	502	150
1464	110412	503	120
1465	110412	504	100
1466	110412	601	300
1467	110412	602	150
1468	110412	603	120
1469	110412	604	100
1470	110412	701	300
1471	110412	702	150
1472	110412	703	120
1473	110412	704	100
1474	110412	801	300
1475	110412	802	150
1476	110412	803	120
1477	110412	804	100
1478	110412	901	300
1479	110412	902	150
1480	110412	903	120
1481	110412	904	100
1482	110412	1001	300
1483	110412	1002	150
1484	110412	1003	120
1485	110412	1004	100
1486	110412	1101	300
1487	110412	1102	150
1488	110412	1103	120
1489	110412	1104	100
1490	110412	1201	300
1491	110412	1202	150
1492	110412	1203	120
1493	110412	1204	100
1494	110412	1401	300
1495	110412	1402	150
1496	110412	1403	120
1497	110412	1404	100
1498	210112	101	600
1499	210112	102	70
1500	210112	201	600
1501	210112	202	70
1502	210112	301	600
1503	210112	302	70
1504	210112	401	600
1505	210112	402	70
1506	210112	501	600
1507	210112	502	70
1508	210112	601	600
1509	210112	602	70
1510	210112	701	600
1511	210112	702	70
1512	210112	801	600
1513	210112	802	70
1514	210112	901	600
1515	210112	902	70
1516	210112	1001	600
1517	210112	1002	70
1518	210112	1101	600
1519	210112	1102	70
1520	210112	1201	600
1521	210112	1202	70
1522	210112	1401	600
1523	210112	1402	70
1524	210212	101	480
1525	210212	102	120
1526	210212	103	70
1527	210212	201	480
1528	210212	202	120
1529	210212	203	70
1530	210212	301	480
1531	210212	302	120
1532	210212	303	70
1533	210212	401	480
1534	210212	402	120
1535	210212	403	70
1536	210212	501	480
1537	210212	502	120
1538	210212	503	70
1539	210212	601	480
1540	210212	602	120
1541	210212	603	70
1542	210212	701	480
1543	210212	702	120
1544	210212	703	70
1545	210212	801	480
1546	210212	802	120
1547	210212	803	70
1548	210212	901	480
1549	210212	902	120
1550	210212	903	70
1551	210212	1001	480
1552	210212	1002	120
1553	210212	1003	70
1554	210212	1101	480
1555	210212	1102	120
1556	210212	1103	70
1557	210212	1201	480
1558	210212	1202	120
1559	210212	1203	70
1560	210212	1401	480
1561	210212	1402	120
1562	210212	1403	70
1563	210312	101	400
1564	210312	102	130
1565	210312	103	100
1566	210312	104	70
1567	210312	201	400
1568	210312	202	130
1569	210312	203	100
1570	210312	204	70
1571	210312	301	400
1572	210312	302	130
1573	210312	303	100
1574	210312	304	70
1575	210312	401	400
1576	210312	402	130
1577	210312	403	100
1578	210312	404	70
1579	210312	501	400
1580	210312	502	130
1581	210312	503	100
1582	210312	504	70
1583	210312	601	400
1584	210312	602	130
1585	210312	603	100
1586	210312	604	70
1587	210312	701	400
1588	210312	702	130
1589	210312	703	100
1590	210312	704	70
1591	210312	801	400
1592	210312	802	130
1593	210312	803	100
1594	210312	804	70
1595	210312	901	400
1596	210312	902	130
1597	210312	903	100
1598	210312	904	70
1599	210312	1001	400
1600	210312	1002	130
1601	210312	1003	100
1602	210312	1004	70
1603	210312	1101	400
1604	210312	1102	130
1605	210312	1103	100
1606	210312	1104	70
1607	210312	1201	400
1608	210312	1202	130
1609	210312	1203	100
1610	210312	1204	70
1611	210312	1401	400
1612	210312	1402	130
1613	210312	1403	100
1614	210312	1404	70
1615	210412	101	240
1616	210412	102	170
1617	210412	103	140
1618	210412	104	120
1619	210412	201	240
1620	210412	202	170
1621	210412	203	140
1622	210412	204	120
1623	210412	301	240
1624	210412	302	170
1625	210412	303	140
1626	210412	304	120
1627	210412	401	240
1628	210412	402	170
1629	210412	403	140
1630	210412	404	120
1631	210412	501	240
1632	210412	502	170
1633	210412	503	140
1634	210412	504	120
1635	210412	601	240
1636	210412	602	170
1637	210412	603	140
1638	210412	604	120
1639	210412	701	240
1640	210412	702	170
1641	210412	703	140
1642	210412	704	120
1643	210412	801	240
1644	210412	802	170
1645	210412	803	140
1646	210412	804	120
1647	210412	901	240
1648	210412	902	170
1649	210412	903	140
1650	210412	904	120
1651	210412	1001	240
1652	210412	1002	170
1653	210412	1003	140
1654	210412	1004	120
1655	210412	1101	240
1656	210412	1102	170
1657	210412	1103	140
1658	210412	1104	120
1659	210412	1201	240
1660	210412	1202	170
1661	210412	1203	140
1662	210412	1204	120
1663	210412	1401	240
1664	210412	1402	170
1665	210412	1403	140
1666	210412	1404	120
