流水ID	共鸣ID	等级	道具品质	基础属性加成	百分比加成属性id	共鸣百分比加成语言说明	共鸣百分比加成语言	推荐标识	共鸣名称	共鸣icon	六维1万分比	六维2万分比	六维3万分比	六维4万分比	六维5万分比	六维6万分比	共鸣六维百分比加成	共鸣六维百分比加成	共鸣激活buff效果	buff加成战力
102	1001011	2	3,1;4,3	3,100	3,2300;23,2300;25,2300;21,2300	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001011	SoulMedalResonance_011	0	3100	0	3100	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt3::buff_ATT_03	800
103	1001011	3	3,1;4,3	3,110	3,2500;23,2500;25,2500;21,2500	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001011	SoulMedalResonance_011	0	3300	0	3300	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt3::buff_ATT_03	800
104	1001011	4	3,1;4,3	3,120	3,2700;23,2700;25,2700;21,2700	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001011	SoulMedalResonance_011	0	3800	0	3800	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt3::buff_ATT_03	800
105	1001011	5	3,1;4,3	3,130	3,2900;23,2900;25,2900;21,2900	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001011	SoulMedalResonance_011	0	4100	0	4100	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt3::buff_ATT_03	800
106	1001011	6	3,1;4,3	3,140	3,3200;23,3200;25,3200;21,3200	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001011	SoulMedalResonance_011	0	4500	0	4500	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt3::buff_ATT_03	800
107	1001011	7	3,1;4,3	3,150	3,3500;23,3500;25,3500;21,3500	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001011	SoulMedalResonance_011	0	5000	0	5000	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt3::buff_ATT_03	800
108	1001011	8	3,1;4,3	3,160	3,3800;23,3800;25,3800;21,3800	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001011	SoulMedalResonance_011	0	5600	0	5600	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt3::buff_ATT_03	800
109	1001011	9	3,1;4,3	3,170	3,4300;23,4300;25,4300;21,4300	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001011	SoulMedalResonance_011	0	7300	0	7300	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt3::buff_ATT_03	800
110	1001011	10	3,1;4,3	3,180	3,5000;23,5000;25,5000;21,5000	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001011	SoulMedalResonance_011	0	7500	0	7500	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt3::buff_ATT_03	800
111	1001012	1	3,4;4,1	3,40	3,2100;23,2100;25,2100;21,2100	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001012	SoulMedalResonance_012	0	2800	0	2800	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
112	1001012	2	3,4;4,1	3,45	3,2300;23,2300;25,2300;21,2300	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001012	SoulMedalResonance_012	0	3100	0	3100	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
113	1001012	3	3,4;4,1	3,50	3,2500;23,2500;25,2500;21,2500	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001012	SoulMedalResonance_012	0	3300	0	3300	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
114	1001012	4	3,4;4,1	3,55	3,2700;23,2700;25,2700;21,2700	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001012	SoulMedalResonance_012	0	3800	0	3800	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
115	1001012	5	3,4;4,1	3,60	3,2900;23,2900;25,2900;21,2900	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001012	SoulMedalResonance_012	0	4100	0	4100	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
116	1001012	6	3,4;4,1	3,65	3,3200;23,3200;25,3200;21,3200	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001012	SoulMedalResonance_012	0	4500	0	4500	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
117	1001012	7	3,4;4,1	3,70	3,3500;23,3500;25,3500;21,3500	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001012	SoulMedalResonance_012	0	5000	0	5000	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
118	1001012	8	3,4;4,1	3,75	3,3800;23,3800;25,3800;21,3800	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001012	SoulMedalResonance_012	0	5600	0	5600	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
119	1001012	9	3,4;4,1	3,80	3,4300;23,4300;25,4300;21,4300	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001012	SoulMedalResonance_012	0	7300	0	7300	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
120	1001012	10	3,4;4,1	3,85	3,5000;23,5000;25,5000;21,5000	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001012	SoulMedalResonance_012	0	7500	0	7500	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
121	1001013	1	3,3;4,2	3,70	3,2100;23,2100;25,2100;21,2100	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001013	SoulMedalResonance_013	0	2800	0	2800	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
122	1001013	2	3,3;4,2	3,75	3,2300;23,2300;25,2300;21,2300	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001013	SoulMedalResonance_013	0	3100	0	3100	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
123	1001013	3	3,3;4,2	3,80	3,2500;23,2500;25,2500;21,2500	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001013	SoulMedalResonance_013	0	3300	0	3300	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
124	1001013	4	3,3;4,2	3,85	3,2700;23,2700;25,2700;21,2700	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001013	SoulMedalResonance_013	0	3800	0	3800	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
125	1001013	5	3,3;4,2	3,90	3,2900;23,2900;25,2900;21,2900	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001013	SoulMedalResonance_013	0	4100	0	4100	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
126	1001013	6	3,3;4,2	3,100	3,3200;23,3200;25,3200;21,3200	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001013	SoulMedalResonance_013	0	4500	0	4500	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
127	1001013	7	3,3;4,2	3,110	3,3500;23,3500;25,3500;21,3500	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001013	SoulMedalResonance_013	0	5000	0	5000	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
128	1001013	8	3,3;4,2	3,120	3,3800;23,3800;25,3800;21,3800	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001013	SoulMedalResonance_013	0	5600	0	5600	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
129	1001013	9	3,3;4,2	3,130	3,4300;23,4300;25,4300;21,4300	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001013	SoulMedalResonance_013	0	7300	0	7300	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
130	1001013	10	3,3;4,2	3,140	3,5000;23,5000;25,5000;21,5000	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001013	SoulMedalResonance_013	0	7500	0	7500	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_02	600
131	1001014	1	3,2;4,3	3,90	3,2100;23,2100;25,2100;21,2100	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001014	SoulMedalResonance_014	0	2800	0	2800	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt3::buff_ATT_03	800
132	1001014	2	3,2;4,3	3,100	3,2300;23,2300;25,2300;21,2300	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001014	SoulMedalResonance_014	0	3100	0	3100	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt3::buff_ATT_03	800
133	1001014	3	3,2;4,3	3,110	3,2500;23,2500;25,2500;21,2500	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001014	SoulMedalResonance_014	0	3300	0	3300	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt3::buff_ATT_03	800
134	1001014	4	3,2;4,3	3,120	3,2700;23,2700;25,2700;21,2700	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001014	SoulMedalResonance_014	0	3800	0	3800	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt3::buff_ATT_03	800
135	1001014	5	3,2;4,3	3,130	3,2900;23,2900;25,2900;21,2900	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001014	SoulMedalResonance_014	0	4100	0	4100	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt3::buff_ATT_03	800
136	1001014	6	3,2;4,3	3,140	3,3200;23,3200;25,3200;21,3200	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001014	SoulMedalResonance_014	0	4500	0	4500	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt3::buff_ATT_03	800
137	1001014	7	3,2;4,3	3,150	3,3500;23,3500;25,3500;21,3500	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001014	SoulMedalResonance_014	0	5000	0	5000	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt3::buff_ATT_03	800
138	1001014	8	3,2;4,3	3,160	3,3800;23,3800;25,3800;21,3800	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001014	SoulMedalResonance_014	0	5600	0	5600	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt3::buff_ATT_03	800
139	1001014	9	3,2;4,3	3,170	3,4300;23,4300;25,4300;21,4300	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001014	SoulMedalResonance_014	0	7300	0	7300	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt3::buff_ATT_03	800
140	1001014	10	3,2;4,3	3,180	3,5000;23,5000;25,5000;21,5000	ResonanceAttackName	ResonanceAttackDesc	0	ResonanceName1001014	SoulMedalResonance_014	0	7500	0	7500	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt3::buff_ATT_03	800
141	1001015	1	3,1;4,4	3,180	3,2200;23,2200;25,2200;21,2200	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001015	SoulMedalResonance_015	0	2800	0	2800	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt4::buff_ATT_04	1000
142	1001015	2	3,1;4,4	3,200	3,2500;23,2500;25,2500;21,2500	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001015	SoulMedalResonance_015	0	3200	0	3200	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt4::buff_ATT_04	1000
143	1001015	3	3,1;4,4	3,220	3,2800;23,2800;25,2800;21,2800	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001015	SoulMedalResonance_015	0	3400	0	3400	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt4::buff_ATT_04	1000
144	1001015	4	3,1;4,4	3,240	3,3100;23,3100;25,3100;21,3100	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001015	SoulMedalResonance_015	0	4000	0	4000	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt4::buff_ATT_04	1000
145	1001015	5	3,1;4,4	3,260	3,3400;23,3400;25,3400;21,3400	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001015	SoulMedalResonance_015	0	4400	0	4400	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt4::buff_ATT_04	1000
146	1001015	6	3,1;4,4	3,280	3,3800;23,3800;25,3800;21,3800	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001015	SoulMedalResonance_015	0	4800	0	4800	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt4::buff_ATT_04	1000
147	1001015	7	3,1;4,4	3,300	3,4200;23,4200;25,4200;21,4200	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001015	SoulMedalResonance_015	0	5400	0	5400	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt4::buff_ATT_04	1000
148	1001015	8	3,1;4,4	3,320	3,4600;23,4600;25,4600;21,4600	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001015	SoulMedalResonance_015	0	6000	0	6000	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt4::buff_ATT_04	1000
149	1001015	9	3,1;4,4	3,340	3,5200;23,5200;25,5200;21,5200	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001015	SoulMedalResonance_015	0	7800	0	7800	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt4::buff_ATT_04	1000
150	1001015	10	3,1;4,4	3,360	3,6000;23,6000;25,6000;21,6000	ResonanceAttackName	ResonanceAttackDesc	1	ResonanceName1001015	SoulMedalResonance_015	0	8000	0	8000	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedalatt4::buff_ATT_04	1000
151	1002001	1	2,1;3,1	1,300				0	ResonanceName1001001	SoulMedalResonance_001	0	0	2000	0	2000	2000	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
152	1002001	2	2,1;3,1	1,350				0	ResonanceName1001001	SoulMedalResonance_001	0	0	2100	0	2100	2100	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
153	1002001	3	2,1;3,1	1,400				0	ResonanceName1001001	SoulMedalResonance_001	0	0	2200	0	2200	2200	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
154	1002001	4	2,1;3,1	1,450				0	ResonanceName1001001	SoulMedalResonance_001	0	0	2300	0	2300	2300	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
155	1002001	5	2,1;3,1	1,500				0	ResonanceName1001001	SoulMedalResonance_001	0	0	2400	0	2400	2400	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
156	1002001	6	2,1;3,1	1,550				0	ResonanceName1001001	SoulMedalResonance_001	0	0	2500	0	2500	2500	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
157	1002001	7	2,1;3,1	1,600				0	ResonanceName1001001	SoulMedalResonance_001	0	0	3000	0	3000	3000	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
158	1002001	8	2,1;3,1	1,650				0	ResonanceName1001001	SoulMedalResonance_001	0	0	3600	0	3600	3600	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
159	1002001	9	2,1;3,1	1,700				0	ResonanceName1001001	SoulMedalResonance_001	0	0	4200	0	4200	4200	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
160	1002001	10	2,1;3,1	1,750				0	ResonanceName1001001	SoulMedalResonance_001	0	0	5000	0	5000	5000	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
161	1002002	1	3,2	1,350				0	ResonanceName1001002	SoulMedalResonance_002	0	0	2000	0	2000	2000	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
162	1002002	2	3,2	1,400				0	ResonanceName1001002	SoulMedalResonance_002	0	0	2100	0	2100	2100	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
163	1002002	3	3,2	1,450				0	ResonanceName1001002	SoulMedalResonance_002	0	0	2200	0	2200	2200	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
164	1002002	4	3,2	1,500				0	ResonanceName1001002	SoulMedalResonance_002	0	0	2300	0	2300	2300	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
165	1002002	5	3,2	1,550				0	ResonanceName1001002	SoulMedalResonance_002	0	0	2400	0	2400	2400	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
166	1002002	6	3,2	1,600				0	ResonanceName1001002	SoulMedalResonance_002	0	0	2500	0	2500	2500	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
167	1002002	7	3,2	1,650				0	ResonanceName1001002	SoulMedalResonance_002	0	0	3000	0	3000	3000	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
168	1002002	8	3,2	1,700				0	ResonanceName1001002	SoulMedalResonance_002	0	0	3600	0	3600	3600	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
169	1002002	9	3,2	1,750				0	ResonanceName1001002	SoulMedalResonance_002	0	0	4200	0	4200	4200	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
170	1002002	10	3,2	1,800				0	ResonanceName1001002	SoulMedalResonance_002	0	0	5000	0	5000	5000	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
171	1002003	1	3,1;4,1	1,400				0	ResonanceName1001003	SoulMedalResonance_003	0	0	2400	0	2400	2400	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc	soulmedal::buff_DEF_01	400
172	1002003	2	3,1;4,1	1,450				0	ResonanceName1001003	SoulMedalResonance_003	0	0	2500	0	2500	2500	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc	soulmedal::buff_DEF_01	400
173	1002003	3	3,1;4,1	1,500				0	ResonanceName1001003	SoulMedalResonance_003	0	0	2700	0	2700	2700	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc	soulmedal::buff_DEF_01	400
174	1002003	4	3,1;4,1	1,550				0	ResonanceName1001003	SoulMedalResonance_003	0	0	2800	0	2800	2800	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc	soulmedal::buff_DEF_01	400
175	1002003	5	3,1;4,1	1,600				0	ResonanceName1001003	SoulMedalResonance_003	0	0	2900	0	2900	2900	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc	soulmedal::buff_DEF_01	400
176	1002003	6	3,1;4,1	1,650				0	ResonanceName1001003	SoulMedalResonance_003	0	0	3100	0	3100	3100	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc	soulmedal::buff_DEF_01	400
177	1002003	7	3,1;4,1	1,700				0	ResonanceName1001003	SoulMedalResonance_003	0	0	3600	0	3600	3600	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc	soulmedal::buff_DEF_01	400
178	1002003	8	3,1;4,1	1,750				0	ResonanceName1001003	SoulMedalResonance_003	0	0	4300	0	4300	4300	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc	soulmedal::buff_DEF_01	400
179	1002003	9	3,1;4,1	1,800				0	ResonanceName1001003	SoulMedalResonance_003	0	0	5000	0	5000	5000	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc	soulmedal::buff_DEF_01	400
180	1002003	10	3,1;4,1	1,850				0	ResonanceName1001003	SoulMedalResonance_003	0	0	6000	0	6000	6000	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc	soulmedal::buff_DEF_01	400
181	1002004	1	2,1;3,2	1,300	4,2000;24,2000;26,2000;22,2000	ResonanceDefName	ResonanceDefDesc	0	ResonanceName1001004	SoulMedalResonance_004	0	0	2500	0	2500	2500	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
182	1002004	2	2,1;3,2	1,350	4,2100;24,2100;26,2100;22,2100	ResonanceDefName	ResonanceDefDesc	0	ResonanceName1001004	SoulMedalResonance_004	0	0	2600	0	2600	2600	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
183	1002004	3	2,1;3,2	1,400	4,2200;24,2200;26,2200;22,2200	ResonanceDefName	ResonanceDefDesc	0	ResonanceName1001004	SoulMedalResonance_004	0	0	2800	0	2800	2800	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
184	1002004	4	2,1;3,2	1,450	4,2300;24,2300;26,2300;22,2300	ResonanceDefName	ResonanceDefDesc	0	ResonanceName1001004	SoulMedalResonance_004	0	0	2900	0	2900	2900	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
185	1002004	5	2,1;3,2	1,500	4,2400;24,2400;26,2400;22,2400	ResonanceDefName	ResonanceDefDesc	0	ResonanceName1001004	SoulMedalResonance_004	0	0	3000	0	3000	3000	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
186	1002004	6	2,1;3,2	1,550	4,2600;24,2600;26,2600;22,2600	ResonanceDefName	ResonanceDefDesc	0	ResonanceName1001004	SoulMedalResonance_004	0	0	3200	0	3200	3200	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
187	1002004	7	2,1;3,2	1,600	4,2800;24,2800;26,2800;22,2800	ResonanceDefName	ResonanceDefDesc	0	ResonanceName1001004	SoulMedalResonance_004	0	0	3700	0	3700	3700	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
188	1002004	8	2,1;3,2	1,650	4,3000;24,3000;26,3000;22,3000	ResonanceDefName	ResonanceDefDesc	0	ResonanceName1001004	SoulMedalResonance_004	0	0	4400	0	4400	4400	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
189	1002004	9	2,1;3,2	1,700	4,3400;24,3400;26,3400;22,3400	ResonanceDefName	ResonanceDefDesc	0	ResonanceName1001004	SoulMedalResonance_004	0	0	5100	0	5100	5100	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
190	1002004	10	2,1;3,2	1,750	4,4000;24,4000;26,4000;22,4000	ResonanceDefName	ResonanceDefDesc	0	ResonanceName1001004	SoulMedalResonance_004	0	0	6100	0	6100	6100	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
191	1002005	1	3,3	1,350	4,2000;24,2000;26,2000;22,2000	ResonanceDefName	ResonanceDefDesc	0	ResonanceName1001005	SoulMedalResonance_005	0	0	2600	0	2600	2600	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
192	1002005	2	3,3	1,400	4,2100;24,2100;26,2100;22,2100	ResonanceDefName	ResonanceDefDesc	0	ResonanceName1001005	SoulMedalResonance_005	0	0	2700	0	2700	2700	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
193	1002005	3	3,3	1,450	4,2200;24,2200;26,2200;22,2200	ResonanceDefName	ResonanceDefDesc	0	ResonanceName1001005	SoulMedalResonance_005	0	0	2900	0	2900	2900	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
194	1002005	4	3,3	1,500	4,2300;24,2300;26,2300;22,2300	ResonanceDefName	ResonanceDefDesc	0	ResonanceName1001005	SoulMedalResonance_005	0	0	3000	0	3000	3000	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
195	1002005	5	3,3	1,550	4,2400;24,2400;26,2400;22,2400	ResonanceDefName	ResonanceDefDesc	0	ResonanceName1001005	SoulMedalResonance_005	0	0	3100	0	3100	3100	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
196	1002005	6	3,3	1,600	4,2600;24,2600;26,2600;22,2600	ResonanceDefName	ResonanceDefDesc	0	ResonanceName1001005	SoulMedalResonance_005	0	0	3300	0	3300	3300	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
197	1002005	7	3,3	1,650	4,2800;24,2800;26,2800;22,2800	ResonanceDefName	ResonanceDefDesc	0	ResonanceName1001005	SoulMedalResonance_005	0	0	3800	0	3800	3800	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
198	1002005	8	3,3	1,700	4,3000;24,3000;26,3000;22,3000	ResonanceDefName	ResonanceDefDesc	0	ResonanceName1001005	SoulMedalResonance_005	0	0	4500	0	4500	4500	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
199	1002005	9	3,3	1,750	4,3400;24,3400;26,3400;22,3400	ResonanceDefName	ResonanceDefDesc	0	ResonanceName1001005	SoulMedalResonance_005	0	0	5200	0	5200	5200	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
200	1002005	10	3,3	1,800	4,4000;24,4000;26,4000;22,4000	ResonanceDefName	ResonanceDefDesc	0	ResonanceName1001005	SoulMedalResonance_005	0	0	6200	0	6200	6200	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc		0
201	1002006	1	3,2;4,1	1,400	4,2000;24,2000;26,2000;22,2000	ResonanceDefName	ResonanceDefDesc	0	ResonanceName1001006	SoulMedalResonance_006	0	0	2600	0	2600	2600	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc	soulmedal::buff_DEF_01	400
202	1002006	2	3,2;4,1	1,450	4,2100;24,2100;26,2100;22,2100	ResonanceDefName	ResonanceDefDesc	0	ResonanceName1001006	SoulMedalResonance_006	0	0	2800	0	2800	2800	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc	soulmedal::buff_DEF_01	400
203	1002006	3	3,2;4,1	1,500	4,2200;24,2200;26,2200;22,2200	ResonanceDefName	ResonanceDefDesc	0	ResonanceName1001006	SoulMedalResonance_006	0	0	3000	0	3000	3000	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc	soulmedal::buff_DEF_01	400
204	1002006	4	3,2;4,1	1,550	4,2300;24,2300;26,2300;22,2300	ResonanceDefName	ResonanceDefDesc	0	ResonanceName1001006	SoulMedalResonance_006	0	0	3300	0	3300	3300	ResonanceDefSixDimensionsName	ResonanceDefSixDimensionsDesc	soulmedal::buff_DEF_01	400
