流水	活动ID	奖励序号	累计次数	奖励	领取描述
418	6336	12	1000	item91000001765,2	UI_Active_Common_Desc_6305
419	6336	13	1500	item91000001765,2	UI_Active_Common_Desc_6305
420	6336	14	2200	item91000001764,1	UI_Active_Common_Desc_6305
421	6337	1	1	item91000001791,1	UI_Active_Common_Desc_6305
422	6337	2	8	item1002,100	UI_Active_Common_Desc_6305
423	6337	3	18	item91000001788,1	UI_Active_Common_Desc_6305
424	6337	4	35	item1002,500	UI_Active_Common_Desc_6305
425	6337	5	60	item91000001789,25	UI_Active_Common_Desc_6305
426	6337	6	95	item91000001788,1	UI_Active_Common_Desc_6305
427	6337	7	140	item91000001789,35	UI_Active_Common_Desc_6305
428	6337	8	200	item91000001788,1	UI_Active_Common_Desc_6305
429	6337	9	260	item91000001789,45	UI_Active_Common_Desc_6305
430	6337	10	400	item91000001788,1	UI_Active_Common_Desc_6305
431	6337	11	850	item91000001788,1	UI_Active_Common_Desc_6305
432	6337	12	1000	item91000001788,2	UI_Active_Common_Desc_6305
433	6337	13	1500	item91000001788,2	UI_Active_Common_Desc_6305
434	6337	14	2200	item91000001787,1	UI_Active_Common_Desc_6305
435	6337	15	3500	item91000001787,1	UI_Active_Common_Desc_6305
436	6338	1	1	item91000001821,1	UI_Active_Common_Desc_6305
437	6338	2	8	item1002,100	UI_Active_Common_Desc_6305
438	6338	3	18	item91000001818,1	UI_Active_Common_Desc_6305
439	6338	4	35	item1002,500	UI_Active_Common_Desc_6305
440	6338	5	60	item91000001819,25	UI_Active_Common_Desc_6305
441	6338	6	95	item91000001818,1	UI_Active_Common_Desc_6305
442	6338	7	140	item91000001819,35	UI_Active_Common_Desc_6305
443	6338	8	200	item91000001818,1	UI_Active_Common_Desc_6305
444	6338	9	260	item91000001819,45	UI_Active_Common_Desc_6305
445	6338	10	400	item91000001818,1	UI_Active_Common_Desc_6305
446	6338	11	850	item91000001818,1	UI_Active_Common_Desc_6305
447	6338	12	1000	item91000001818,2	UI_Active_Common_Desc_6305
448	6338	13	1500	item91000001818,2	UI_Active_Common_Desc_6305
449	6338	14	2200	item91000001817,1	UI_Active_Common_Desc_6305
450	6338	15	3500	item91000001817,1	UI_Active_Common_Desc_6305
451	6339	1	1	item91000001821,1	UI_Active_Common_Desc_6305
452	6339	2	8	item1002,100	UI_Active_Common_Desc_6305
453	6339	3	18	item91000001818,1	UI_Active_Common_Desc_6305
454	6339	4	35	item1002,500	UI_Active_Common_Desc_6305
455	6339	5	60	item91000001819,25	UI_Active_Common_Desc_6305
456	6339	6	95	item91000001818,1	UI_Active_Common_Desc_6305
457	6339	7	140	item91000001819,35	UI_Active_Common_Desc_6305
458	6339	8	200	item91000001818,1	UI_Active_Common_Desc_6305
459	6339	9	260	item91000001819,45	UI_Active_Common_Desc_6305
460	6339	10	400	item91000001818,1	UI_Active_Common_Desc_6305
461	6339	11	850	item91000001818,1	UI_Active_Common_Desc_6305
462	6339	12	1000	item91000001818,2	UI_Active_Common_Desc_6305
463	6339	13	1500	item91000001818,2	UI_Active_Common_Desc_6305
464	6339	14	2200	item91000001817,1	UI_Active_Common_Desc_6305
465	6339	15	3500	item91000001817,1	UI_Active_Common_Desc_6305
