流水	徽记id	等级	经验需求	升级属性加成
713	item171000103532	3	900	3,160;30,340;52,400
714	item171000103532	4	1950	3,180;30,370;52,450
715	item171000103532	5	3750	3,200;30,400;52,500
716	item171000103532	6	6450	3,220;30,430;52,550
717	item171000103532	7	10950	3,240;30,460;52,600
718	item171000103532	8	18750	3,260;30,490;52,650
719	item171000103532	9	30450	3,280;30,520;52,700
720	item171000103532	10	49650	3,300;30,550;52,750
721	item171000103533	1	0	1,1200;206,120;31,400
722	item171000103533	2	300	1,1400;206,140;31,450
723	item171000103533	3	900	1,1600;206,160;31,500
724	item171000103533	4	1950	1,1800;206,180;31,550
725	item171000103533	5	3750	1,2000;206,200;31,600
726	item171000103533	6	6450	1,2200;206,220;31,650
727	item171000103533	7	10950	1,2400;206,240;31,700
728	item171000103533	8	18750	1,2600;206,260;31,750
729	item171000103533	9	30450	1,2800;206,280;31,800
730	item171000103533	10	49650	1,3000;206,300;31,850
731	item171000103534	1	0	3,120;131,280;30,300
732	item171000103534	2	300	3,140;131,310;30,350
733	item171000103534	3	900	3,160;131,340;30,400
734	item171000103534	4	1950	3,180;131,370;30,450
735	item171000103534	5	3750	3,200;131,400;30,500
736	item171000103534	6	6450	3,220;131,430;30,550
737	item171000103534	7	10950	3,240;131,460;30,600
738	item171000103534	8	18750	3,260;131,490;30,650
739	item171000103534	9	30450	3,280;131,520;30,700
740	item171000103534	10	49650	3,300;131,550;30,750
741	item171000103535	1	0	3,120;11,120;33,400
742	item171000103535	2	300	3,140;11,140;33,450
743	item171000103535	3	900	3,160;11,160;33,500
744	item171000103535	4	1950	3,180;11,180;33,550
745	item171000103535	5	3750	3,200;11,200;33,600
746	item171000103535	6	6450	3,220;11,220;33,650
747	item171000103535	7	10950	3,240;11,240;33,700
748	item171000103535	8	18750	3,260;11,260;33,750
749	item171000103535	9	30450	3,280;11,280;33,800
750	item171000103535	10	49650	3,300;11,300;33,850
751	item171000103536	1	0	3,120;32,400;11,120
752	item171000103536	2	300	3,140;32,450;11,140
753	item171000103536	3	900	3,160;32,500;11,160
754	item171000103536	4	1950	3,180;32,550;11,180
755	item171000103536	5	3750	3,200;32,600;11,200
756	item171000103536	6	6450	3,220;32,650;11,220
757	item171000103536	7	10950	3,240;32,700;11,240
758	item171000103536	8	18750	3,260;32,750;11,260
759	item171000103536	9	30450	3,280;32,800;11,280
760	item171000103536	10	49650	3,300;32,850;11,300
761	item171000103537	1	0	3,120;36,100;31,280
762	item171000103537	2	300	3,140;36,115;31,310
763	item171000103537	3	900	3,160;36,130;31,340
764	item171000103537	4	1950	3,180;36,145;31,370
765	item171000103537	5	3750	3,200;36,160;31,400
766	item171000103537	6	6450	3,220;36,175;31,430
767	item171000103537	7	10950	3,240;36,190;31,460
768	item171000103537	8	18750	3,260;36,205;31,490
769	item171000103537	9	30450	3,280;36,220;31,520
770	item171000103537	10	49650	3,300;36,250;31,550
771	item171000103538	1	0	3,120;30,300;31,280
772	item171000103538	2	300	3,140;30,350;31,310
773	item171000103538	3	900	3,160;30,400;31,340
774	item171000103538	4	1950	3,180;30,450;31,370
775	item171000103538	5	3750	3,200;30,500;31,400
776	item171000103538	6	6450	3,220;30,550;31,430
777	item171000103538	7	10950	3,240;30,600;31,460
778	item171000103538	8	18750	3,260;30,650;31,490
779	item171000103538	9	30450	3,280;30,700;31,520
780	item171000103538	10	49650	3,300;30,750;31,550
781	item171000103539	1	0	1,1200;12,120;51,400
782	item171000103539	2	300	1,1400;12,140;51,450
783	item171000103539	3	900	1,1600;12,160;51,500
784	item171000103539	4	1950	1,1800;12,180;51,550
785	item171000103539	5	3750	1,2000;12,200;51,600
786	item171000103539	6	6450	1,2200;12,220;51,650
787	item171000103539	7	10950	1,2400;12,240;51,700
788	item171000103539	8	18750	1,2600;12,260;51,750
789	item171000103539	9	30450	1,2800;12,280;51,800
790	item171000103539	10	49650	1,3000;12,300;51,850
