流水	组合名	前置任务	调查事件描述	图鉴1	头像1条件类型	头像1性别	头像1目标	头像1参数	头像1描述	头像1引导行为类型	头像1引导对象	头像1引导场景	头像1引导坐标	图鉴2	头像2条件类型	头像2性别	头像2目标	头像2参数	头像2描述	头像2引导行为类型	头像2引导对象	头像2引导场景	头像2引导坐标	图鉴3	头像3条件类型	头像3性别	头像3目标	头像3参数	头像3描述	头像3引导行为类型	头像3引导对象	头像3引导场景	头像3引导坐标	图鉴4	头像4条件类型	头像4性别	头像4目标	头像4参数	头像4描述	头像4引导行为类型	头像4引导对象	头像4引导场景	头像4引导坐标	图鉴5	头像5条件类型	头像5性别	头像5目标	头像5参数	头像5描述	头像5引导行为类型	头像5引导对象	头像5引导场景	头像5引导坐标	特殊奖励	冒险点奖励
91	ConquerName_91	0	ResearchEventDes_91	100033	1	0	100033	500	Conquer_TaskDes_9101	2	monster10004009	4	-53.8, 3.3, -29.1	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item100000000006,3	300
92	ConquerName_92	0	ResearchEventDes_92	100045	1	0	100045	5000	Conquer_TaskDes_9201	2	monster10005001	5	-51.9, 3.3, -30.8	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900002,1;item100200000301,2	300
93	ConquerName_93	0	ResearchEventDes_93	100051	1	0	100051	2000	Conquer_TaskDes_9301	2	monster10005007	5	10.5, 3.1, -54.8	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8100000000012,2;item100200000601,2	300
94	ConquerName_94	0	ResearchEventDes_94	100053	1	0	100053	10	Conquer_TaskDes_9401	1	door_30041	5	28.4, 8.0, 60.9	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010121003,5	300
95	ConquerName_95	0	ResearchEventDes_95	100065	1	0	100065	10000	Conquer_TaskDes_9501	2	monster10006003	6	-20.7, -0.3, -29.3	100066	1	0	100066	10000	Conquer_TaskDes_9502	2	monster10006004	6	-10.6, 0.0, -12.0	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900003,2	300
96	ConquerName_96	0	ResearchEventDes_96	100066	1	0	100066	20000	Conquer_TaskDes_9601	2	monster10006004	6	-10.6, 0.0, -12.0	100065	1	0	100065	20000	Conquer_TaskDes_9602	2	monster10006003	6	-20.7, -0.3, -29.3	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010121005,2;item100200000101,2	300
97	ConquerName_97	0	ResearchEventDes_97	100100	2	0	1102	5	Conquer_TaskDes_9701	1	door_350031	6	21.6, 4.4, 97.3	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item100000000000,2	300
98	ConquerName_98	0	ResearchEventDes_98	100101	1	0	100101	20000	Conquer_TaskDes_9801	2	monster10007001	7	-33.2, 5.7, 23.0	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010121005,2	300
99	ConquerName_99	0	ResearchEventDes_99	100102	1	0	100102	10000	Conquer_TaskDes_9901	2	monster10007002	7	-3.1, -0.5, -1.7	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010121004,3	300
100	ConquerName_100	0	ResearchEventDes_100	100103	1	0	100103	10000	Conquer_TaskDes_10001	2	monster10007003	7	55.6, -1.3, -50.4	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107200041001,5	300
101	ConquerName_101	0	ResearchEventDes_101	100104	1	0	100104	20000	Conquer_TaskDes_10101	2	monster10007004	7	36.5, -0.8, -27.0	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8101020504901,5	300
102	ConquerName_102	0	ResearchEventDes_102	100105	1	0	100105	20000	Conquer_TaskDes_10201	2	monster10007005	7	61.8, -0.8, -34.9	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107200042001,2	300
103	ConquerName_103	0	ResearchEventDes_103	100106	1	0	100106	10000	Conquer_TaskDes_10301	2	monster10007006	7	23.6, 6.1, 42.3	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item100000000006,10	300
104	ConquerName_104	0	ResearchEventDes_104	100107	1	0	100107	10000	Conquer_TaskDes_10401	2	monster10007007	7	56.8, -0.8, -2.7	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8100000000012,4	300
105	ConquerName_105	0	ResearchEventDes_105	100108	1	0	100108	20000	Conquer_TaskDes_10501	2	monster10007008	7	15.8, 2.9, 5.3	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010111018,2	300
106	ConquerName_106	0	ResearchEventDes_106	100109	1	0	100109	5000	Conquer_TaskDes_10601	2	monster11007001	7	56.6, -0.8, -26.4	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8101020504901,5;item100200000401,2	300
107	ConquerName_107	0	ResearchEventDes_107	100110	1	0	100110	5000	Conquer_TaskDes_10701	2	monster11007002	7	-36.9, 5.7, 45.5	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107200042001,2;item100200001001,2	300
108	ConquerName_108	0	ResearchEventDes_108	100111	1	0	100111	5	Conquer_TaskDes_10801	1	door_30061	7	15.9,6.7,86.9	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010111017,10	300
109	ConquerName_109	0	ResearchEventDes_109	100112	1	0	100112	10	Conquer_TaskDes_10901	1	door_30061	7	15.9,6.7,86.9	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900003,2	300
110	ConquerName_110	0	ResearchEventDes_110	100112	2	0	1038	10	Conquer_TaskDes_11001	1	door_30061	7	15.9,6.7,86.9	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010121005,2	300
111	ConquerName_111	0	ResearchEventDes_111	100113	1	0	100113	1	Conquer_TaskDes_11101	1	door_35005	7	19.0,2.3,-44.3	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item100000000006,10	300
112	ConquerName_112	0	ResearchEventDes_112	100114	1	0	100114	1	Conquer_TaskDes_11201	1	door_35005	7	19.0,2.3,-44.3	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010111018,2	300
113	ConquerName_113	0	ResearchEventDes_113	100115	1	0	100115	5000	Conquer_TaskDes_11301	2	monster11008001	8	-45.2,-0.4,-60.1	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item100000000006,2	300
114	ConquerName_114	0	ResearchEventDes_114	100116	1	0	100116	10000	Conquer_TaskDes_11401	2	monster11008002	8	-15.8,-0.4,-35.0	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900002,2	300
115	ConquerName_115	0	ResearchEventDes_115	100117	1	0	100117	10000	Conquer_TaskDes_11501	2	monster11008003	8	-43.4,4.7,-26.6	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010111017,4	300
116	ConquerName_116	0	ResearchEventDes_116	100119	1	0	100119	15000	Conquer_TaskDes_11601	2	monster11008005	8	32.6,18.4,34.2	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item171000101021,8	300
117	ConquerName_117	0	ResearchEventDes_117	100120	1	0	100120	15000	Conquer_TaskDes_11701	2	monster11008006	8	56.6,18.6,34.1	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8200000800001,2	300
118	ConquerName_118	0	ResearchEventDes_118	100121	1	0	100121	20000	Conquer_TaskDes_11801	2	monster11008007	8	-85.5,8.8,-8.9	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900003,2	300
119	ConquerName_119	0	ResearchEventDes_119	100122	1	0	100122	20000	Conquer_TaskDes_11901	2	monster11008008	8	-20.8,13.2,33.2	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8101020504901,5	300
120	ConquerName_120	0	ResearchEventDes_120	100123	1	0	100123	5000	Conquer_TaskDes_12001	2	monster11008009	8	-27.58,-0.415,-64.37	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8200000800002,2;item100200000301,2	300
121	ConquerName_121	0	ResearchEventDes_121	100124	1	0	100124	5000	Conquer_TaskDes_12101	2	monster11008010	8	-34.48,13.2,43.65	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item171000101012,15;item100200000901,2	300
122	ConquerName_122	0	ResearchEventDes_122	100125	1	0	100125	5	Conquer_TaskDes_12201	1	door_35004	8	-32.0,13.0,56.5	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8100000000012,4	300
123	ConquerName_123	0	ResearchEventDes_123	100126	1	0	100126	10	Conquer_TaskDes_12301	1	door_35004	8	-32.0,13.0,56.5	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010111018,2	300
124	ConquerName_124	0	ResearchEventDes_124	100127	1	0	100127	10000	Conquer_TaskDes_12401	2	monster10008001	9	-9.0,1.6,-15.0	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900001,4	300
125	ConquerName_126	0	ResearchEventDes_126	100128	1	0	100128	15000	Conquer_TaskDes_12501	2	monster10008003	9	-17.1,-2.0,-64.4	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010111017,4	300
126	ConquerName_127	0	ResearchEventDes_127	100129	1	0	100129	15000	Conquer_TaskDes_12601	2	monster10008004	9	48.3,-2.4,-63.2	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item171000101021,4;item100200000801,1	300
127	ConquerName_128	0	ResearchEventDes_128	100130	1	0	100130	20000	Conquer_TaskDes_12701	2	monster10008005	9	68.5,2.7,-21.0	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010111017,10	300
128	ConquerName_129	0	ResearchEventDes_129	100131	1	0	100131	20000	Conquer_TaskDes_12801	2	monster10008006	9	37.5,9.1,40.1	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107200042001,5	300
129	ConquerName_130	0	ResearchEventDes_130	100132	1	0	100132	20	Conquer_TaskDes_12901	1	door_35005	4	-7.2,2.6,25.9	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8200000800001,2	300
130	ConquerName_131	0	ResearchEventDes_131	100133	1	0	100133	20	Conquer_TaskDes_13001	1	door_35005	4	-7.2,2.6,25.9	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8100000000012,4	300
131	ConquerName_132	0	ResearchEventDes_132	100134	1	0	100134	5	Conquer_TaskDes_13101	1	door_35005	4	-7.2,2.6,25.9	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010111018,2;item100200000601,2	300
132	ConquerName_133	0	ResearchEventDes_133	100135	1	0	100135	10	Conquer_TaskDes_13201	1	door_35005	4	-7.2,2.6,25.9	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item171000101012,15	300
133	ConquerName_134	0	ResearchEventDes_134	100136	1	0	100136	10000	Conquer_TaskDes_13301	2	monster10109004	37	22.3, 2.6, 108.8	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900003,2	300
134	ConquerName_135	0	ResearchEventDes_135	100137	1	0	100137	10000	Conquer_TaskDes_13401	2	monster10109005	37	-29.4, 5.3, 65.6	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010121005,2	300
135	ConquerName_136	0	ResearchEventDes_136	100138	1	0	100138	10000	Conquer_TaskDes_13501	2	monster10109006	37	-54.4, 1.1, -49.1	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010111017,10	300
136	ConquerName_137	0	ResearchEventDes_137	100139	1	0	100139	10000	Conquer_TaskDes_13601	2	monster10109007	37	-22.5, 3.9, -71.3	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8200000800001,2	300
137	ConquerName_138	0	ResearchEventDes_138	100140	1	0	100140	10000	Conquer_TaskDes_13701	2	monster10109008	37	86.6, 2.6, 35.2	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item171000101021,4	300
138	ConquerName_139	0	ResearchEventDes_139	100141	1	0	100141	5000	Conquer_TaskDes_13801	2	monster10109001	37	16.0, 2.6, 24.2	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item230000000004,2;item100200000801,2	300
139	ConquerName_140	0	ResearchEventDes_140	100142	1	0	100142	5000	Conquer_TaskDes_13901	2	monster10109003	37	-3.7, 2.6, -12.5	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item18000000000003,15;item100200000701,2	300
140	ConquerName_141	0	ResearchEventDes_141	100143	1	0	100143	8000	Conquer_TaskDes_14001	2	monster10110001	18	62.3, 57.7, -59.7	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107300000003,2;item100200000301,2	300
141	ConquerName_142	0	ResearchEventDes_142	100144	1	0	100144	8000	Conquer_TaskDes_14101	2	monster10110002	18	80.1, 60.0, 34.9	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item18000000000011,3;item100200000901,2	300
142	ConquerName_143	0	ResearchEventDes_143	100145	1	0	100145	15000	Conquer_TaskDes_14201	2	monster10110003	18	-49.5, 56.9, 32.1	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item171000101021,8	300
143	ConquerName_144	0	ResearchEventDes_144	100146	1	0	100146	15000	Conquer_TaskDes_14301	2	monster10110004	18	39.1, 60.0, -15.1	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010111017,15	300
144	ConquerName_145	0	ResearchEventDes_145	100147	1	0	100147	15000	Conquer_TaskDes_14401	2	monster10110005	18	49.3, 59.4, 26.4	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900003,4	300
145	ConquerName_146	0	ResearchEventDes_146	100148	1	0	100148	15000	Conquer_TaskDes_14501	2	monster10110006	18	-32.8, 51.5, -58.3	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010121005,4	300
146	ConquerName_147	0	ResearchEventDes_147	100149	1	0	100149	15000	Conquer_TaskDes_14601	2	monster10110007	18	13.8, 61.1, 40.9	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8200000800009,2	300
