流水	技能ID	技能大类	技能层级	技能icon	技能名称	技能描述	技能类型	等级	升级消耗	加成内容	解锁条件
250	20117	2	4	skill_60601	SailSkillName20117	SailSkillDes20117	17	10	item1041,4500	4,100;1,100;105,3000	
251	20118	2	4	skill_60461	SailSkillName20118	SailSkillDes20118	17	1	item1041,500	4,50;1,500;56,10	20106,3
252	20118	2	4	skill_60461	SailSkillName20118	SailSkillDes20118	17	2	item1041,800	4,55;1,550;56,14	
253	20118	2	4	skill_60461	SailSkillName20118	SailSkillDes20118	17	3	item1041,1200	4,60;1,600;56,18	
254	20118	2	4	skill_60461	SailSkillName20118	SailSkillDes20118	17	4	item1041,1500	4,65;1,600;56,22	
255	20118	2	4	skill_60461	SailSkillName20118	SailSkillDes20118	17	5	item1041,2000	4,70;1,700;56,26	
256	20118	2	4	skill_60461	SailSkillName20118	SailSkillDes20118	17	6	item1041,2500	4,75;1,750;56,30	
257	20118	2	4	skill_60461	SailSkillName20118	SailSkillDes20118	17	7	item1041,3000	4,80;1,800;56,34	
258	20118	2	4	skill_60461	SailSkillName20118	SailSkillDes20118	17	8	item1041,3500	4,85;1,850;56,38	
259	20118	2	4	skill_60461	SailSkillName20118	SailSkillDes20118	17	9	item1041,4000	4,90;1,900;56,42	
260	20118	2	4	skill_60461	SailSkillName20118	SailSkillDes20118	17	10	item1041,4500	4,100;1,100;56,50	
261	20119	2	4	skill_60821	SailSkillName20119	SailSkillDes20119	17	1	item1041,500	4,50;1,500;148,300	20106,3
262	20119	2	4	skill_60821	SailSkillName20119	SailSkillDes20119	17	2	item1041,800	4,55;1,550;148,600	
263	20119	2	4	skill_60821	SailSkillName20119	SailSkillDes20119	17	3	item1041,1200	4,60;1,600;148,900	
264	20119	2	4	skill_60821	SailSkillName20119	SailSkillDes20119	17	4	item1041,1500	4,65;1,600;148,1200	
265	20119	2	4	skill_60821	SailSkillName20119	SailSkillDes20119	17	5	item1041,2000	4,70;1,700;148,1500	
266	20119	2	4	skill_60821	SailSkillName20119	SailSkillDes20119	17	6	item1041,2500	4,75;1,750;148,1800	
267	20119	2	4	skill_60821	SailSkillName20119	SailSkillDes20119	17	7	item1041,3000	4,80;1,800;148,2100	
268	20119	2	4	skill_60821	SailSkillName20119	SailSkillDes20119	17	8	item1041,3500	4,85;1,850;148,2400	
269	20119	2	4	skill_60821	SailSkillName20119	SailSkillDes20119	17	9	item1041,4000	4,90;1,900;148,2700	
270	20119	2	4	skill_60821	SailSkillName20119	SailSkillDes20119	17	10	item1041,4500	4,100;1,1000;148,3000	
271	20120	2	4	skill_401109	SailSkillName20120	SailSkillDes20120	17	1	item1041,500	4,50;1,500;138,300	20107,3
272	20120	2	4	skill_401109	SailSkillName20120	SailSkillDes20120	17	2	item1041,800	4,55;1,550;138,600	
273	20120	2	4	skill_401109	SailSkillName20120	SailSkillDes20120	17	3	item1041,1200	4,60;1,600;138,900	
274	20120	2	4	skill_401109	SailSkillName20120	SailSkillDes20120	17	4	item1041,1500	4,65;1,600;138,1200	
275	20120	2	4	skill_401109	SailSkillName20120	SailSkillDes20120	17	5	item1041,2000	4,70;1,700;138,1500	
276	20120	2	4	skill_401109	SailSkillName20120	SailSkillDes20120	17	6	item1041,2500	4,75;1,750;138,1800	
277	20120	2	4	skill_401109	SailSkillName20120	SailSkillDes20120	17	7	item1041,3000	4,80;1,800;138,2100	
278	20120	2	4	skill_401109	SailSkillName20120	SailSkillDes20120	17	8	item1041,3500	4,85;1,850;138,2400	
279	20120	2	4	skill_401109	SailSkillName20120	SailSkillDes20120	17	9	item1041,4000	4,90;1,900;138,2700	
280	20120	2	4	skill_401109	SailSkillName20120	SailSkillDes20120	17	10	item1041,4500	4,100;1,1000;138,3000	
281	20121	2	4	skill_400605	SailSkillName20121	SailSkillDes20121	17	1	item1041,500	4,50;1,500;142,300	20107,3
282	20121	2	4	skill_400605	SailSkillName20121	SailSkillDes20121	17	2	item1041,800	4,55;1,550;142,600	
283	20121	2	4	skill_400605	SailSkillName20121	SailSkillDes20121	17	3	item1041,1200	4,60;1,600;142,900	
284	20121	2	4	skill_400605	SailSkillName20121	SailSkillDes20121	17	4	item1041,1500	4,65;1,600;142,1200	
285	20121	2	4	skill_400605	SailSkillName20121	SailSkillDes20121	17	5	item1041,2000	4,70;1,700;142,1500	
286	20121	2	4	skill_400605	SailSkillName20121	SailSkillDes20121	17	6	item1041,2500	4,75;1,750;142,1800	
287	20121	2	4	skill_400605	SailSkillName20121	SailSkillDes20121	17	7	item1041,3000	4,80;1,800;142,2100	
288	20121	2	4	skill_400605	SailSkillName20121	SailSkillDes20121	17	8	item1041,3500	4,85;1,850;142,2400	
289	20121	2	4	skill_400605	SailSkillName20121	SailSkillDes20121	17	9	item1041,4000	4,90;1,900;142,2700	
290	20121	2	4	skill_400605	SailSkillName20121	SailSkillDes20121	17	10	item1041,4500	4,100;1,1000;142,3000	
291	20122	2	4	skill_61351	SailSkillName20122	SailSkillDes20122	17	1	item1041,500	4,50;1,500;144,300	20107,3
292	20122	2	4	skill_61351	SailSkillName20122	SailSkillDes20122	17	2	item1041,800	4,55;1,550;144,600	
293	20122	2	4	skill_61351	SailSkillName20122	SailSkillDes20122	17	3	item1041,1200	4,60;1,600;144,900	
294	20122	2	4	skill_61351	SailSkillName20122	SailSkillDes20122	17	4	item1041,1500	4,65;1,600;144,1200	
295	20122	2	4	skill_61351	SailSkillName20122	SailSkillDes20122	17	5	item1041,2000	4,70;1,700;144,1500	
296	20122	2	4	skill_61351	SailSkillName20122	SailSkillDes20122	17	6	item1041,2500	4,75;1,750;144,1800	
297	20122	2	4	skill_61351	SailSkillName20122	SailSkillDes20122	17	7	item1041,3000	4,80;1,800;144,2100	
298	20122	2	4	skill_61351	SailSkillName20122	SailSkillDes20122	17	8	item1041,3500	4,85;1,850;144,2400	
299	20122	2	4	skill_61351	SailSkillName20122	SailSkillDes20122	17	9	item1041,4000	4,90;1,900;144,2700	
300	20122	2	4	skill_61351	SailSkillName20122	SailSkillDes20122	17	10	item1041,4500	4,100;1,1000;144,3000	
301	20123	2	4	skill_60041	SailSkillName20123	SailSkillDes20123	17	1	item1041,500	4,50;1,500;140,300	20107,3
302	20123	2	4	skill_60041	SailSkillName20123	SailSkillDes20123	17	2	item1041,800	4,55;1,550;140,600	
303	20123	2	4	skill_60041	SailSkillName20123	SailSkillDes20123	17	3	item1041,1200	4,60;1,600;140,900	
304	20123	2	4	skill_60041	SailSkillName20123	SailSkillDes20123	17	4	item1041,1500	4,65;1,600;140,1200	
305	20123	2	4	skill_60041	SailSkillName20123	SailSkillDes20123	17	5	item1041,2000	4,70;1,700;140,1500	
306	20123	2	4	skill_60041	SailSkillName20123	SailSkillDes20123	17	6	item1041,2500	4,75;1,750;140,1800	
307	20123	2	4	skill_60041	SailSkillName20123	SailSkillDes20123	17	7	item1041,3000	4,80;1,800;140,2100	
308	20123	2	4	skill_60041	SailSkillName20123	SailSkillDes20123	17	8	item1041,3500	4,85;1,850;140,2400	
309	20123	2	4	skill_60041	SailSkillName20123	SailSkillDes20123	17	9	item1041,4000	4,90;1,900;140,2700	
310	20123	2	4	skill_60041	SailSkillName20123	SailSkillDes20123	17	10	item1041,4500	4,100;1,1000;140,3000	
311	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	1	item1041,1000	dg_bf445_1_sail::buff_1;1	20108,4;20109,4;20110,4;20111,4;20112,4;20113,4;20114,4;20115,4
312	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	2	item1041,1000	dg_bf445_1_sail::buff_1;2	
313	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	3	item1041,1000	dg_bf445_1_sail::buff_1;3	
314	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	4	item1041,1000	dg_bf445_1_sail::buff_1;4	
315	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	5	item1041,1500	dg_bf445_1_sail::buff_1;5	
316	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	6	item1041,1500	dg_bf445_1_sail::buff_1;6	
317	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	7	item1041,1500	dg_bf445_1_sail::buff_1;7	
318	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	8	item1041,1500	dg_bf445_1_sail::buff_1;8	
319	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	9	item1041,1500	dg_bf445_1_sail::buff_1;9	
320	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	10	item1041,1500	dg_bf445_1_sail::buff_1;10	
321	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	11	item1041,2000	dg_bf445_1_sail::buff_1;11	
322	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	12	item1041,2000	dg_bf445_1_sail::buff_1;12	
323	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	13	item1041,2000	dg_bf445_1_sail::buff_1;13	
324	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	14	item1041,2000	dg_bf445_1_sail::buff_1;14	
325	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	15	item1041,2000	dg_bf445_1_sail::buff_1;15	
326	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	16	item1041,3000	dg_bf445_1_sail::buff_1;16	
327	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	17	item1041,3000	dg_bf445_1_sail::buff_1;17	
328	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	18	item1041,3000	dg_bf445_1_sail::buff_1;18	
329	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	19	item1041,3000	dg_bf445_1_sail::buff_1;19	
330	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	20	item1041,3000	dg_bf445_1_sail::buff_1;20	
331	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	21	item1041,4000	dg_bf445_1_sail::buff_1;21	
332	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	22	item1041,4000	dg_bf445_1_sail::buff_1;22	
333	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	23	item1041,4000	dg_bf445_1_sail::buff_1;23	
334	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	24	item1041,4000	dg_bf445_1_sail::buff_1;24	
335	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	25	item1041,4000	dg_bf445_1_sail::buff_1;25	
336	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	26	item1041,6000	dg_bf445_1_sail::buff_1;26	
337	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	27	item1041,6000	dg_bf445_1_sail::buff_1;27	
338	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	28	item1041,6000	dg_bf445_1_sail::buff_1;28	
339	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	29	item1041,6000	dg_bf445_1_sail::buff_1;29	
340	20124	2	5	skill_60721	SailBuffName_20124	SkillDesSpecial_Sail	16	30	item1041,6000	dg_bf445_1_sail::buff_1;30	
341	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	1	item1041,1000	dg_bf445_1_sail::buff_2;1	20108,4;20109,4;20110,4;20111,4;20112,4;20113,4;20114,4;20115,4
342	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	2	item1041,1000	dg_bf445_1_sail::buff_2;2	
343	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	3	item1041,1000	dg_bf445_1_sail::buff_2;3	
344	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	4	item1041,1000	dg_bf445_1_sail::buff_2;4	
345	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	5	item1041,1500	dg_bf445_1_sail::buff_2;5	
346	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	6	item1041,1500	dg_bf445_1_sail::buff_2;6	
347	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	7	item1041,1500	dg_bf445_1_sail::buff_2;7	
348	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	8	item1041,1500	dg_bf445_1_sail::buff_2;8	
349	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	9	item1041,1500	dg_bf445_1_sail::buff_2;9	
350	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	10	item1041,1500	dg_bf445_1_sail::buff_2;10	
351	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	11	item1041,2000	dg_bf445_1_sail::buff_2;11	
352	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	12	item1041,2000	dg_bf445_1_sail::buff_2;12	
353	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	13	item1041,2000	dg_bf445_1_sail::buff_2;13	
354	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	14	item1041,2000	dg_bf445_1_sail::buff_2;14	
355	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	15	item1041,2000	dg_bf445_1_sail::buff_2;15	
356	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	16	item1041,3000	dg_bf445_1_sail::buff_2;16	
357	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	17	item1041,3000	dg_bf445_1_sail::buff_2;17	
358	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	18	item1041,3000	dg_bf445_1_sail::buff_2;18	
359	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	19	item1041,3000	dg_bf445_1_sail::buff_2;19	
360	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	20	item1041,3000	dg_bf445_1_sail::buff_2;20	
361	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	21	item1041,4000	dg_bf445_1_sail::buff_2;21	
362	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	22	item1041,4000	dg_bf445_1_sail::buff_2;22	
363	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	23	item1041,4000	dg_bf445_1_sail::buff_2;23	
364	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	24	item1041,4000	dg_bf445_1_sail::buff_2;24	
365	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	25	item1041,4000	dg_bf445_1_sail::buff_2;25	
366	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	26	item1041,6000	dg_bf445_1_sail::buff_2;26	
367	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	27	item1041,6000	dg_bf445_1_sail::buff_2;27	
368	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	28	item1041,6000	dg_bf445_1_sail::buff_2;28	
369	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	29	item1041,6000	dg_bf445_1_sail::buff_2;29	
370	20125	2	5	skill_60481	SailBuffName_20125	SkillDesSpecial_Sail	16	30	item1041,6000	dg_bf445_1_sail::buff_2;30	
371	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	1	item1041,1000	dg_bf445_1_sail::buff_3;1	20108,4;20109,4;20110,4;20111,4;20112,4;20113,4;20114,4;20115,4
372	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	2	item1041,1000	dg_bf445_1_sail::buff_3;2	
373	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	3	item1041,1000	dg_bf445_1_sail::buff_3;3	
374	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	4	item1041,1000	dg_bf445_1_sail::buff_3;4	
375	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	5	item1041,1500	dg_bf445_1_sail::buff_3;5	
376	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	6	item1041,1500	dg_bf445_1_sail::buff_3;6	
377	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	7	item1041,1500	dg_bf445_1_sail::buff_3;7	
378	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	8	item1041,1500	dg_bf445_1_sail::buff_3;8	
379	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	9	item1041,1500	dg_bf445_1_sail::buff_3;9	
380	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	10	item1041,1500	dg_bf445_1_sail::buff_3;10	
381	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	11	item1041,2000	dg_bf445_1_sail::buff_3;11	
382	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	12	item1041,2000	dg_bf445_1_sail::buff_3;12	
383	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	13	item1041,2000	dg_bf445_1_sail::buff_3;13	
384	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	14	item1041,2000	dg_bf445_1_sail::buff_3;14	
385	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	15	item1041,2000	dg_bf445_1_sail::buff_3;15	
386	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	16	item1041,3000	dg_bf445_1_sail::buff_3;16	
387	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	17	item1041,3000	dg_bf445_1_sail::buff_3;17	
388	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	18	item1041,3000	dg_bf445_1_sail::buff_3;18	
389	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	19	item1041,3000	dg_bf445_1_sail::buff_3;19	
390	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	20	item1041,3000	dg_bf445_1_sail::buff_3;20	
391	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	21	item1041,4000	dg_bf445_1_sail::buff_3;21	
392	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	22	item1041,4000	dg_bf445_1_sail::buff_3;22	
393	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	23	item1041,4000	dg_bf445_1_sail::buff_3;23	
394	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	24	item1041,4000	dg_bf445_1_sail::buff_3;24	
395	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	25	item1041,4000	dg_bf445_1_sail::buff_3;25	
396	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	26	item1041,6000	dg_bf445_1_sail::buff_3;26	
397	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	27	item1041,6000	dg_bf445_1_sail::buff_3;27	
398	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	28	item1041,6000	dg_bf445_1_sail::buff_3;28	
399	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	29	item1041,6000	dg_bf445_1_sail::buff_3;29	
400	20126	2	5	skill1402_starforge	SailBuffName_20126	SkillDesSpecial_Sail	16	30	item1041,6000	dg_bf445_1_sail::buff_3;30	
401	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	1	item1041,1000	dg_bf445_1_sail::buff_4;1	20116,4;20117,4;20118,4;20119,4;20120,4;20121,4;20122,4;20123,4
402	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	2	item1041,1000	dg_bf445_1_sail::buff_4;2	
403	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	3	item1041,1000	dg_bf445_1_sail::buff_4;3	
404	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	4	item1041,1000	dg_bf445_1_sail::buff_4;4	
405	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	5	item1041,1500	dg_bf445_1_sail::buff_4;5	
406	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	6	item1041,1500	dg_bf445_1_sail::buff_4;6	
407	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	7	item1041,1500	dg_bf445_1_sail::buff_4;7	
408	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	8	item1041,1500	dg_bf445_1_sail::buff_4;8	
409	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	9	item1041,1500	dg_bf445_1_sail::buff_4;9	
410	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	10	item1041,1500	dg_bf445_1_sail::buff_4;10	
411	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	11	item1041,2000	dg_bf445_1_sail::buff_4;11	
412	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	12	item1041,2000	dg_bf445_1_sail::buff_4;12	
413	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	13	item1041,2000	dg_bf445_1_sail::buff_4;13	
414	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	14	item1041,2000	dg_bf445_1_sail::buff_4;14	
415	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	15	item1041,2000	dg_bf445_1_sail::buff_4;15	
416	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	16	item1041,3000	dg_bf445_1_sail::buff_4;16	
417	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	17	item1041,3000	dg_bf445_1_sail::buff_4;17	
418	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	18	item1041,3000	dg_bf445_1_sail::buff_4;18	
419	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	19	item1041,3000	dg_bf445_1_sail::buff_4;19	
420	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	20	item1041,3000	dg_bf445_1_sail::buff_4;20	
421	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	21	item1041,4000	dg_bf445_1_sail::buff_4;21	
422	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	22	item1041,4000	dg_bf445_1_sail::buff_4;22	
423	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	23	item1041,4000	dg_bf445_1_sail::buff_4;23	
424	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	24	item1041,4000	dg_bf445_1_sail::buff_4;24	
425	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	25	item1041,4000	dg_bf445_1_sail::buff_4;25	
426	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	26	item1041,6000	dg_bf445_1_sail::buff_4;26	
427	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	27	item1041,6000	dg_bf445_1_sail::buff_4;27	
428	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	28	item1041,6000	dg_bf445_1_sail::buff_4;28	
429	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	29	item1041,6000	dg_bf445_1_sail::buff_4;29	
430	20127	2	5	skill11036	SailBuffName_20127	SkillDesSpecial_Sail	16	30	item1041,6000	dg_bf445_1_sail::buff_4;30	
431	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	1	item1041,1000	dg_bf445_1_sail::buff_5;1	20116,4;20117,4;20118,4;20119,4;20120,4;20121,4;20122,4;20123,4
432	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	2	item1041,1000	dg_bf445_1_sail::buff_5;2	
433	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	3	item1041,1000	dg_bf445_1_sail::buff_5;3	
434	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	4	item1041,1000	dg_bf445_1_sail::buff_5;4	
435	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	5	item1041,1500	dg_bf445_1_sail::buff_5;5	
436	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	6	item1041,1500	dg_bf445_1_sail::buff_5;6	
437	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	7	item1041,1500	dg_bf445_1_sail::buff_5;7	
438	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	8	item1041,1500	dg_bf445_1_sail::buff_5;8	
439	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	9	item1041,1500	dg_bf445_1_sail::buff_5;9	
440	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	10	item1041,1500	dg_bf445_1_sail::buff_5;10	
441	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	11	item1041,2000	dg_bf445_1_sail::buff_5;11	
442	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	12	item1041,2000	dg_bf445_1_sail::buff_5;12	
443	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	13	item1041,2000	dg_bf445_1_sail::buff_5;13	
444	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	14	item1041,2000	dg_bf445_1_sail::buff_5;14	
445	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	15	item1041,2000	dg_bf445_1_sail::buff_5;15	
446	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	16	item1041,3000	dg_bf445_1_sail::buff_5;16	
447	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	17	item1041,3000	dg_bf445_1_sail::buff_5;17	
448	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	18	item1041,3000	dg_bf445_1_sail::buff_5;18	
449	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	19	item1041,3000	dg_bf445_1_sail::buff_5;19	
450	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	20	item1041,3000	dg_bf445_1_sail::buff_5;20	
451	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	21	item1041,4000	dg_bf445_1_sail::buff_5;21	
452	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	22	item1041,4000	dg_bf445_1_sail::buff_5;22	
453	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	23	item1041,4000	dg_bf445_1_sail::buff_5;23	
454	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	24	item1041,4000	dg_bf445_1_sail::buff_5;24	
