流水id	技能宝石升级属性类型	等级	镶嵌属性	升级至次级所需经验	重置所需材料
774	302	74	4,74;1,737;24,246;21,246	55500	item17908000000001,1
775	302	75	4,76;1,755;24,252;21,252	72500	item17908000000001,1
776	302	76	4,78;1,774;24,258;21,258	72500	item17908000000001,1
777	302	77	4,80;1,793;24,265;21,265	72500	item17908000000001,1
778	302	78	4,82;1,812;24,271;21,271	72500	item17908000000001,1
779	302	79	4,84;1,831;24,277;21,277	72500	item17908000000001,1
780	302	80	4,85;1,850;24,284;21,284	45000	item17908000000001,1
781	302	81	4,87;1,870;24,290;21,290	45000	item17908000000001,1
782	302	82	4,89;1,890;24,297;21,297	45000	item17908000000001,1
783	302	83	4,91;1,910;24,304;21,304	45000	item17908000000001,1
784	302	84	4,93;1,930;24,310;21,310	45000	item17908000000001,1
785	302	85	4,95;1,950;24,317;21,317	82500	item17908000000001,1
786	302	86	4,98;1,972;24,324;21,324	82500	item17908000000001,1
787	302	87	4,100;1,994;24,332;21,332	82500	item17908000000001,1
788	302	88	4,102;1,1016;24,339;21,339	82500	item17908000000001,1
789	302	89	4,104;1,1038;24,346;21,346	82500	item17908000000001,1
790	302	90	4,106;1,1060;24,354;21,354	120000	item17908000000001,1
791	302	91	4,109;1,1082;24,361;21,361	120000	item17908000000001,1
792	302	92	4,111;1,1104;24,368;21,368	120000	item17908000000001,1
793	302	93	4,113;1,1126;24,376;21,376	120000	item17908000000001,1
794	302	94	4,115;1,1148;24,383;21,383	120000	item17908000000001,1
795	302	95	4,117;1,1170;24,390;21,390	157500	item17908000000001,1
796	302	96	4,120;1,1193;24,398;21,398	157500	item17908000000001,1
797	302	97	4,122;1,1216;24,406;21,406	157500	item17908000000001,1
798	302	98	4,124;1,1239;24,413;21,413	157500	item17908000000001,1
799	302	99	4,127;1,1262;24,421;21,421	157500	item17908000000001,1
800	302	100	4,129;1,1285;24,429;21,429	97500	item17908000000001,1
801	302	101	4,131;1,1310;24,437;21,437	97500	item17908000000001,1
802	302	102	4,134;1,1335;24,445;21,445	97500	item17908000000001,1
803	302	103	4,136;1,1360;24,454;21,454	97500	item17908000000001,1
804	302	104	4,139;1,1385;24,462;21,462	97500	item17908000000001,1
805	302	105	4,141;1,1410;24,470;21,470	163500	item17908000000001,1
806	302	106	4,144;1,1436;24,479;21,479	163500	item17908000000001,1
807	302	107	4,147;1,1462;24,488;21,488	163500	item17908000000001,1
808	302	108	4,149;1,1488;24,496;21,496	163500	item17908000000001,1
809	302	109	4,152;1,1514;24,505;21,505	163500	item17908000000001,1
810	302	110	4,154;1,1540;24,514;21,514	229500	item17908000000001,1
811	302	111	4,157;1,1567;24,523;21,523	229500	item17908000000001,1
812	302	112	4,160;1,1594;24,532;21,532	229500	item17908000000001,1
813	302	113	4,163;1,1621;24,541;21,541	229500	item17908000000001,1
814	302	114	4,165;1,1648;24,550;21,550	229500	item17908000000001,1
815	302	115	4,168;1,1675;24,559;21,559	295000	item17908000000001,1
816	302	116	4,171;1,1703;24,568;21,568	295000	item17908000000001,1
817	302	117	4,174;1,1731;24,577;21,577	295000	item17908000000001,1
818	302	118	4,176;1,1759;24,587;21,587	295000	item17908000000001,1
819	302	119	4,179;1,1787;24,596;21,596	295000	item17908000000001,1
820	302	120	4,182;1,1815;24,605;21,605	180000	item17908000000001,1
821	302	121	4,185;1,1844;24,615;21,615	180000	item17908000000001,1
822	302	122	4,188;1,1873;24,625;21,625	180000	item17908000000001,1
823	302	123	4,191;1,1902;24,634;21,634	180000	item17908000000001,1
824	302	124	4,194;1,1931;24,644;21,644	180000	item17908000000001,1
825	302	125	4,196;1,1960;24,654;21,654	280000	item17908000000001,1
826	302	126	4,199;1,1990;24,664;21,664	280000	item17908000000001,1
827	302	127	4,202;1,2020;24,674;21,674	280000	item17908000000001,1
828	302	128	4,205;1,2050;24,684;21,684	280000	item17908000000001,1
829	302	129	4,208;1,2080;24,694;21,694	280000	item17908000000001,1
830	302	130	4,211;1,2110;24,704;21,704	380000	item17908000000001,1
831	302	131	4,215;1,2142;24,714;21,714	380000	item17908000000001,1
832	302	132	4,218;1,2174;24,725;21,725	380000	item17908000000001,1
833	302	133	4,221;1,2206;24,736;21,736	380000	item17908000000001,1
834	302	134	4,224;1,2238;24,746;21,746	380000	item17908000000001,1
835	302	135	4,227;1,2270;24,757;21,757	480000	item17908000000001,1
836	302	136	4,231;1,2303;24,768;21,768	480000	item17908000000001,1
837	302	137	4,234;1,2336;24,779;21,779	480000	item17908000000001,1
838	302	138	4,237;1,2369;24,790;21,790	480000	item17908000000001,1
839	302	139	4,241;1,2402;24,801;21,801	480000	item17908000000001,1
840	302	140	4,244;1,2435;24,812;21,812	0	item17908000000001,1
841	402	1	4,1;1,2;24,1;21,1	200	item17908000000001,1
842	402	2	4,1;1,4;24,2;21,2	200	item17908000000001,1
843	402	3	4,1;1,6;24,2;21,2	200	item17908000000001,1
844	402	4	4,1;1,8;24,3;21,3	200	item17908000000001,1
845	402	5	4,1;1,10;24,4;21,4	600	item17908000000001,1
846	402	6	4,2;1,14;24,5;21,5	600	item17908000000001,1
847	402	7	4,2;1,18;24,6;21,6	600	item17908000000001,1
848	402	8	4,3;1,22;24,8;21,8	600	item17908000000001,1
849	402	9	4,3;1,26;24,9;21,9	600	item17908000000001,1
850	402	10	4,3;1,30;24,10;21,10	1000	item17908000000001,1
851	402	11	4,4;1,35;24,12;21,12	1000	item17908000000001,1
852	402	12	4,4;1,40;24,14;21,14	1000	item17908000000001,1
853	402	13	4,5;1,45;24,15;21,15	1000	item17908000000001,1
854	402	14	4,5;1,50;24,17;21,17	1000	item17908000000001,1
855	402	15	4,6;1,55;24,19;21,19	2000	item17908000000001,1
856	402	16	4,7;1,61;24,21;21,21	2000	item17908000000001,1
857	402	17	4,7;1,67;24,23;21,23	2000	item17908000000001,1
858	402	18	4,8;1,73;24,25;21,25	2000	item17908000000001,1
859	402	19	4,8;1,79;24,27;21,27	2000	item17908000000001,1
860	402	20	4,9;1,85;24,29;21,29	800	item17908000000001,1
861	402	21	4,10;1,93;24,31;21,31	800	item17908000000001,1
862	402	22	4,11;1,101;24,34;21,34	800	item17908000000001,1
863	402	23	4,11;1,109;24,37;21,37	800	item17908000000001,1
864	402	24	4,12;1,117;24,39;21,39	800	item17908000000001,1
865	402	25	4,13;1,125;24,42;21,42	2500	item17908000000001,1
866	402	26	4,14;1,134;24,45;21,45	2500	item17908000000001,1
867	402	27	4,15;1,143;24,48;21,48	2500	item17908000000001,1
868	402	28	4,16;1,152;24,51;21,51	2500	item17908000000001,1
869	402	29	4,17;1,161;24,54;21,54	2500	item17908000000001,1
870	402	30	4,17;1,170;24,57;21,57	7000	item17908000000001,1
871	402	31	4,18;1,180;24,60;21,60	7000	item17908000000001,1
872	402	32	4,19;1,190;24,64;21,64	7000	item17908000000001,1
873	402	33	4,20;1,200;24,67;21,67	7000	item17908000000001,1
874	402	34	4,21;1,210;24,70;21,70	7000	item17908000000001,1
875	402	35	4,22;1,220;24,74;21,74	15000	item17908000000001,1
876	402	36	4,24;1,232;24,78;21,78	15000	item17908000000001,1
877	402	37	4,25;1,244;24,82;21,82	15000	item17908000000001,1
878	402	38	4,26;1,256;24,86;21,86	15000	item17908000000001,1
879	402	39	4,27;1,268;24,90;21,90	15000	item17908000000001,1
880	402	40	4,28;1,280;24,94;21,94	7500	item17908000000001,1
881	402	41	4,30;1,293;24,98;21,98	7500	item17908000000001,1
882	402	42	4,31;1,306;24,102;21,102	7500	item17908000000001,1
883	402	43	4,32;1,319;24,107;21,107	7500	item17908000000001,1
884	402	44	4,34;1,332;24,111;21,111	7500	item17908000000001,1
885	402	45	4,35;1,345;24,115;21,115	16500	item17908000000001,1
886	402	46	4,36;1,359;24,120;21,120	16500	item17908000000001,1
887	402	47	4,38;1,373;24,125;21,125	16500	item17908000000001,1
888	402	48	4,39;1,387;24,129;21,129	16500	item17908000000001,1
889	402	49	4,41;1,401;24,134;21,134	16500	item17908000000001,1
890	402	50	4,42;1,415;24,139;21,139	25500	item17908000000001,1
891	402	51	4,44;1,431;24,144;21,144	25500	item17908000000001,1
892	402	52	4,45;1,447;24,149;21,149	25500	item17908000000001,1
893	402	53	4,47;1,463;24,155;21,155	25500	item17908000000001,1
894	402	54	4,48;1,479;24,160;21,160	25500	item17908000000001,1
895	402	55	4,50;1,495;24,165;21,165	34000	item17908000000001,1
896	402	56	4,52;1,512;24,171;21,171	34000	item17908000000001,1
897	402	57	4,53;1,529;24,177;21,177	34000	item17908000000001,1
898	402	58	4,55;1,546;24,182;21,182	34000	item17908000000001,1
899	402	59	4,57;1,563;24,188;21,188	34000	item17908000000001,1
900	402	60	4,58;1,580;24,194;21,194	21000	item17908000000001,1
901	402	61	4,60;1,598;24,200;21,200	21000	item17908000000001,1
902	402	62	4,62;1,616;24,206;21,206	21000	item17908000000001,1
903	402	63	4,64;1,634;24,212;21,212	21000	item17908000000001,1
904	402	64	4,66;1,652;24,218;21,218	21000	item17908000000001,1
905	402	65	4,67;1,670;24,224;21,224	38500	item17908000000001,1
906	402	66	4,69;1,689;24,230;21,230	38500	item17908000000001,1
907	402	67	4,71;1,708;24,236;21,236	38500	item17908000000001,1
908	402	68	4,73;1,727;24,243;21,243	38500	item17908000000001,1
909	402	69	4,75;1,746;24,249;21,249	38500	item17908000000001,1
910	402	70	4,77;1,765;24,255;21,255	55500	item17908000000001,1
911	402	71	4,79;1,786;24,262;21,262	55500	item17908000000001,1
912	402	72	4,81;1,807;24,269;21,269	55500	item17908000000001,1
913	402	73	4,83;1,828;24,276;21,276	55500	item17908000000001,1
914	402	74	4,85;1,849;24,283;21,283	55500	item17908000000001,1
915	402	75	4,87;1,870;24,290;21,290	72500	item17908000000001,1
916	402	76	4,90;1,892;24,298;21,298	72500	item17908000000001,1
917	402	77	4,92;1,914;24,305;21,305	72500	item17908000000001,1
918	402	78	4,94;1,936;24,312;21,312	72500	item17908000000001,1
919	402	79	4,96;1,958;24,320;21,320	72500	item17908000000001,1
920	402	80	4,98;1,980;24,327;21,327	45000	item17908000000001,1
921	402	81	4,101;1,1004;24,335;21,335	45000	item17908000000001,1
922	402	82	4,103;1,1028;24,343;21,343	45000	item17908000000001,1
923	402	83	4,106;1,1052;24,351;21,351	45000	item17908000000001,1
924	402	84	4,108;1,1076;24,359;21,359	45000	item17908000000001,1
925	402	85	4,110;1,1100;24,367;21,367	82500	item17908000000001,1
926	402	86	4,113;1,1125;24,375;21,375	82500	item17908000000001,1
927	402	87	4,115;1,1150;24,384;21,384	82500	item17908000000001,1
928	402	88	4,118;1,1175;24,392;21,392	82500	item17908000000001,1
929	402	89	4,120;1,1200;24,400;21,400	82500	item17908000000001,1
930	402	90	4,123;1,1225;24,409;21,409	120000	item17908000000001,1
931	402	91	4,126;1,1251;24,417;21,417	120000	item17908000000001,1
932	402	92	4,128;1,1277;24,426;21,426	120000	item17908000000001,1
933	402	93	4,131;1,1303;24,435;21,435	120000	item17908000000001,1
934	402	94	4,133;1,1329;24,443;21,443	120000	item17908000000001,1
935	402	95	4,136;1,1355;24,452;21,452	157500	item17908000000001,1
936	402	96	4,139;1,1382;24,461;21,461	157500	item17908000000001,1
937	402	97	4,141;1,1409;24,470;21,470	157500	item17908000000001,1
938	402	98	4,144;1,1436;24,479;21,479	157500	item17908000000001,1
939	402	99	4,147;1,1463;24,488;21,488	157500	item17908000000001,1
940	402	100	4,149;1,1490;24,497;21,497	97500	item17908000000001,1
941	402	101	4,152;1,1519;24,507;21,507	97500	item17908000000001,1
942	402	102	4,155;1,1548;24,516;21,516	97500	item17908000000001,1
943	402	103	4,158;1,1577;24,526;21,526	97500	item17908000000001,1
944	402	104	4,161;1,1606;24,536;21,536	97500	item17908000000001,1
945	402	105	4,164;1,1635;24,545;21,545	163500	item17908000000001,1
946	402	106	4,167;1,1665;24,555;21,555	163500	item17908000000001,1
947	402	107	4,170;1,1695;24,565;21,565	163500	item17908000000001,1
948	402	108	4,173;1,1725;24,575;21,575	163500	item17908000000001,1
949	402	109	4,176;1,1755;24,585;21,585	163500	item17908000000001,1
950	402	110	4,179;1,1785;24,595;21,595	229500	item17908000000001,1
951	402	111	4,182;1,1817;24,606;21,606	229500	item17908000000001,1
952	402	112	4,185;1,1849;24,617;21,617	229500	item17908000000001,1
953	402	113	4,189;1,1881;24,627;21,627	229500	item17908000000001,1
954	402	114	4,192;1,1913;24,638;21,638	229500	item17908000000001,1
955	402	115	4,195;1,1945;24,649;21,649	295000	item17908000000001,1
956	402	116	4,198;1,1977;24,659;21,659	295000	item17908000000001,1
957	402	117	4,201;1,2009;24,670;21,670	295000	item17908000000001,1
958	402	118	4,205;1,2041;24,681;21,681	295000	item17908000000001,1
959	402	119	4,208;1,2073;24,691;21,691	295000	item17908000000001,1
960	402	120	4,211;1,2105;24,702;21,702	180000	item17908000000001,1
961	402	121	4,214;1,2139;24,713;21,713	180000	item17908000000001,1
962	402	122	4,218;1,2173;24,725;21,725	180000	item17908000000001,1
963	402	123	4,221;1,2207;24,736;21,736	180000	item17908000000001,1
964	402	124	4,225;1,2241;24,747;21,747	180000	item17908000000001,1
965	402	125	4,228;1,2275;24,759;21,759	280000	item17908000000001,1
966	402	126	4,231;1,2310;24,770;21,770	280000	item17908000000001,1
967	402	127	4,235;1,2345;24,782;21,782	280000	item17908000000001,1
968	402	128	4,238;1,2380;24,794;21,794	280000	item17908000000001,1
969	402	129	4,242;1,2415;24,805;21,805	280000	item17908000000001,1
970	402	130	4,245;1,2450;24,817;21,817	380000	item17908000000001,1
971	402	131	4,249;1,2487;24,829;21,829	380000	item17908000000001,1
972	402	132	4,253;1,2524;24,842;21,842	380000	item17908000000001,1
973	402	133	4,257;1,2561;24,854;21,854	380000	item17908000000001,1
974	402	134	4,260;1,2598;24,866;21,866	380000	item17908000000001,1
975	402	135	4,264;1,2635;24,879;21,879	480000	item17908000000001,1
976	402	136	4,268;1,2673;24,891;21,891	480000	item17908000000001,1
977	402	137	4,272;1,2711;24,904;21,904	480000	item17908000000001,1
978	402	138	4,275;1,2749;24,917;21,917	480000	item17908000000001,1
979	402	139	4,279;1,2787;24,929;21,929	480000	item17908000000001,1
980	402	140	4,283;1,2825;24,942;21,942	0	item17908000000001,1
981	502	1	4,1;1,3;24,1;21,1	200	item17908000000001,1
982	502	2	4,1;1,6;24,2;21,2	200	item17908000000001,1
983	502	3	4,1;1,9;24,3;21,3	200	item17908000000001,1
984	502	4	4,2;1,12;24,4;21,4	200	item17908000000001,1
985	502	5	4,2;1,15;24,5;21,5	600	item17908000000001,1
986	502	6	4,2;1,19;24,7;21,7	600	item17908000000001,1
987	502	7	4,3;1,23;24,8;21,8	600	item17908000000001,1
988	502	8	4,3;1,27;24,9;21,9	600	item17908000000001,1
989	502	9	4,4;1,31;24,11;21,11	600	item17908000000001,1
990	502	10	4,4;1,35;24,12;21,12	1000	item17908000000001,1
991	502	11	4,5;1,41;24,14;21,14	1000	item17908000000001,1
992	502	12	4,5;1,47;24,16;21,16	1000	item17908000000001,1
993	502	13	4,6;1,53;24,18;21,18	1000	item17908000000001,1
994	502	14	4,6;1,59;24,20;21,20	1000	item17908000000001,1
995	502	15	4,7;1,65;24,22;21,22	2000	item17908000000001,1
996	502	16	4,8;1,72;24,24;21,24	2000	item17908000000001,1
997	502	17	4,8;1,79;24,27;21,27	2000	item17908000000001,1
998	502	18	4,9;1,86;24,29;21,29	2000	item17908000000001,1
999	502	19	4,10;1,93;24,31;21,31	2000	item17908000000001,1
1000	502	20	4,10;1,100;24,34;21,34	800	item17908000000001,1
1001	502	21	4,11;1,109;24,37;21,37	800	item17908000000001,1
1002	502	22	4,12;1,118;24,40;21,40	800	item17908000000001,1
1003	502	23	4,13;1,127;24,43;21,43	800	item17908000000001,1
1004	502	24	4,14;1,136;24,46;21,46	800	item17908000000001,1
1005	502	25	4,15;1,145;24,49;21,49	2500	item17908000000001,1
1006	502	26	4,16;1,155;24,52;21,52	2500	item17908000000001,1
1007	502	27	4,17;1,165;24,55;21,55	2500	item17908000000001,1
1008	502	28	4,18;1,175;24,59;21,59	2500	item17908000000001,1
1009	502	29	4,19;1,185;24,62;21,62	2500	item17908000000001,1
1010	502	30	4,20;1,195;24,65;21,65	7000	item17908000000001,1
1011	502	31	4,21;1,207;24,69;21,69	7000	item17908000000001,1
1012	502	32	4,22;1,219;24,73;21,73	7000	item17908000000001,1
1013	502	33	4,24;1,231;24,77;21,77	7000	item17908000000001,1
1014	502	34	4,25;1,243;24,81;21,81	7000	item17908000000001,1
1015	502	35	4,26;1,255;24,85;21,85	15000	item17908000000001,1
1016	502	36	4,27;1,269;24,90;21,90	15000	item17908000000001,1
1017	502	37	4,29;1,283;24,95;21,95	15000	item17908000000001,1
1018	502	38	4,30;1,297;24,99;21,99	15000	item17908000000001,1
1019	502	39	4,32;1,311;24,104;21,104	15000	item17908000000001,1
1020	502	40	4,33;1,325;24,109;21,109	7500	item17908000000001,1
1021	502	41	4,34;1,339;24,113;21,113	7500	item17908000000001,1
1022	502	42	4,36;1,353;24,118;21,118	7500	item17908000000001,1
1023	502	43	4,37;1,367;24,123;21,123	7500	item17908000000001,1
1024	502	44	4,39;1,381;24,127;21,127	7500	item17908000000001,1
1025	502	45	4,40;1,395;24,132;21,132	16500	item17908000000001,1
1026	502	46	4,42;1,411;24,137;21,137	16500	item17908000000001,1
1027	502	47	4,43;1,427;24,143;21,143	16500	item17908000000001,1
1028	502	48	4,45;1,443;24,148;21,148	16500	item17908000000001,1
1029	502	49	4,46;1,459;24,153;21,153	16500	item17908000000001,1
1030	502	50	4,48;1,475;24,159;21,159	25500	item17908000000001,1
1031	502	51	4,50;1,493;24,165;21,165	25500	item17908000000001,1
1032	502	52	4,52;1,511;24,171;21,171	25500	item17908000000001,1
1033	502	53	4,53;1,529;24,177;21,177	25500	item17908000000001,1
1034	502	54	4,55;1,547;24,183;21,183	25500	item17908000000001,1
1035	502	55	4,57;1,565;24,189;21,189	34000	item17908000000001,1
1036	502	56	4,59;1,584;24,195;21,195	34000	item17908000000001,1
1037	502	57	4,61;1,603;24,201;21,201	34000	item17908000000001,1
1038	502	58	4,63;1,622;24,208;21,208	34000	item17908000000001,1
1039	502	59	4,65;1,641;24,214;21,214	34000	item17908000000001,1
1040	502	60	4,66;1,660;24,220;21,220	21000	item17908000000001,1
1041	502	61	4,69;1,681;24,227;21,227	21000	item17908000000001,1
1042	502	62	4,71;1,702;24,234;21,234	21000	item17908000000001,1
1043	502	63	4,73;1,723;24,241;21,241	21000	item17908000000001,1
1044	502	64	4,75;1,744;24,248;21,248	21000	item17908000000001,1
1045	502	65	4,77;1,765;24,255;21,255	38500	item17908000000001,1
1046	502	66	4,79;1,787;24,263;21,263	38500	item17908000000001,1
1047	502	67	4,81;1,809;24,270;21,270	38500	item17908000000001,1
1048	502	68	4,84;1,831;24,277;21,277	38500	item17908000000001,1
1049	502	69	4,86;1,853;24,285;21,285	38500	item17908000000001,1
1050	502	70	4,88;1,875;24,292;21,292	55500	item17908000000001,1
1051	502	71	4,90;1,899;24,300;21,300	55500	item17908000000001,1
1052	502	72	4,93;1,923;24,308;21,308	55500	item17908000000001,1
1053	502	73	4,95;1,947;24,316;21,316	55500	item17908000000001,1
1054	502	74	4,98;1,971;24,324;21,324	55500	item17908000000001,1
1055	502	75	4,100;1,995;24,332;21,332	72500	item17908000000001,1
1056	502	76	4,102;1,1020;24,340;21,340	72500	item17908000000001,1
1057	502	77	4,105;1,1045;24,349;21,349	72500	item17908000000001,1
1058	502	78	4,107;1,1070;24,357;21,357	72500	item17908000000001,1
1059	502	79	4,110;1,1095;24,365;21,365	72500	item17908000000001,1
1060	502	80	4,112;1,1120;24,374;21,374	45000	item17908000000001,1
1061	502	81	4,115;1,1147;24,383;21,383	45000	item17908000000001,1
1062	502	82	4,118;1,1174;24,392;21,392	45000	item17908000000001,1
1063	502	83	4,121;1,1201;24,401;21,401	45000	item17908000000001,1
1064	502	84	4,123;1,1228;24,410;21,410	45000	item17908000000001,1
1065	502	85	4,126;1,1255;24,419;21,419	82500	item17908000000001,1
1066	502	86	4,129;1,1284;24,428;21,428	82500	item17908000000001,1
1067	502	87	4,132;1,1313;24,438;21,438	82500	item17908000000001,1
1068	502	88	4,135;1,1342;24,448;21,448	82500	item17908000000001,1
1069	502	89	4,138;1,1371;24,457;21,457	82500	item17908000000001,1
1070	502	90	4,140;1,1400;24,467;21,467	120000	item17908000000001,1
1071	502	91	4,143;1,1429;24,477;21,477	120000	item17908000000001,1
1072	502	92	4,146;1,1458;24,486;21,486	120000	item17908000000001,1
1073	502	93	4,149;1,1487;24,496;21,496	120000	item17908000000001,1
1074	502	94	4,152;1,1516;24,506;21,506	120000	item17908000000001,1
1075	502	95	4,155;1,1545;24,515;21,515	157500	item17908000000001,1
1076	502	96	4,158;1,1576;24,526;21,526	157500	item17908000000001,1
1077	502	97	4,161;1,1607;24,536;21,536	157500	item17908000000001,1
1078	502	98	4,164;1,1638;24,546;21,546	157500	item17908000000001,1
1079	502	99	4,167;1,1669;24,557;21,557	157500	item17908000000001,1
1080	502	100	4,170;1,1700;24,567;21,567	97500	item17908000000001,1
1081	502	101	4,174;1,1733;24,578;21,578	97500	item17908000000001,1
1082	502	102	4,177;1,1766;24,589;21,589	97500	item17908000000001,1
1083	502	103	4,180;1,1799;24,600;21,600	97500	item17908000000001,1
1084	502	104	4,184;1,1832;24,611;21,611	97500	item17908000000001,1
1085	502	105	4,187;1,1865;24,622;21,622	163500	item17908000000001,1
1086	502	106	4,190;1,1899;24,633;21,633	163500	item17908000000001,1
1087	502	107	4,194;1,1933;24,645;21,645	163500	item17908000000001,1
1088	502	108	4,197;1,1967;24,656;21,656	163500	item17908000000001,1
1089	502	109	4,201;1,2001;24,667;21,667	163500	item17908000000001,1
1090	502	110	4,204;1,2035;24,679;21,679	229500	item17908000000001,1
1091	502	111	4,208;1,2071;24,691;21,691	229500	item17908000000001,1
1092	502	112	4,211;1,2107;24,703;21,703	229500	item17908000000001,1
1093	502	113	4,215;1,2143;24,715;21,715	229500	item17908000000001,1
1094	502	114	4,218;1,2179;24,727;21,727	229500	item17908000000001,1
1095	502	115	4,222;1,2215;24,739;21,739	295000	item17908000000001,1
1096	502	116	4,226;1,2252;24,751;21,751	295000	item17908000000001,1
1097	502	117	4,229;1,2289;24,763;21,763	295000	item17908000000001,1
1098	502	118	4,233;1,2326;24,776;21,776	295000	item17908000000001,1
1099	502	119	4,237;1,2363;24,788;21,788	295000	item17908000000001,1
1100	502	120	4,240;1,2400;24,800;21,800	180000	item17908000000001,1
1101	502	121	4,244;1,2439;24,813;21,813	180000	item17908000000001,1
1102	502	122	4,248;1,2478;24,826;21,826	180000	item17908000000001,1
1103	502	123	4,252;1,2517;24,839;21,839	180000	item17908000000001,1
1104	502	124	4,256;1,2556;24,852;21,852	180000	item17908000000001,1
1105	502	125	4,260;1,2595;24,865;21,865	280000	item17908000000001,1
1106	502	126	4,264;1,2635;24,879;21,879	280000	item17908000000001,1
1107	502	127	4,268;1,2675;24,892;21,892	280000	item17908000000001,1
1108	502	128	4,272;1,2715;24,905;21,905	280000	item17908000000001,1
1109	502	129	4,276;1,2755;24,919;21,919	280000	item17908000000001,1
1110	502	130	4,280;1,2795;24,932;21,932	380000	item17908000000001,1
1111	502	131	4,284;1,2837;24,946;21,946	380000	item17908000000001,1
1112	502	132	4,288;1,2879;24,960;21,960	380000	item17908000000001,1
1113	502	133	4,293;1,2921;24,974;21,974	380000	item17908000000001,1
1114	502	134	4,297;1,2963;24,988;21,988	380000	item17908000000001,1
1115	502	135	4,301;1,3005;24,1002;21,1002	480000	item17908000000001,1
1116	502	136	4,305;1,3049;24,1017;21,1017	480000	item17908000000001,1
1117	502	137	4,310;1,3093;24,1031;21,1031	480000	item17908000000001,1
1118	502	138	4,314;1,3137;24,1046;21,1046	480000	item17908000000001,1
1119	502	139	4,319;1,3181;24,1061;21,1061	480000	item17908000000001,1
1120	502	140	4,323;1,3225;24,1075;21,1075	0	item17908000000001,1
1121	203	1	4,1;1,2;23,1;22,1	200	item17908000000001,1
1122	203	2	4,1;1,4;23,2;22,2	200	item17908000000001,1
1123	203	3	4,1;1,6;23,2;22,2	200	item17908000000001,1
1124	203	4	4,1;1,8;23,3;22,3	200	item17908000000001,1
1125	203	5	4,1;1,10;23,4;22,4	600	item17908000000001,1
1126	203	6	4,2;1,13;23,5;22,5	600	item17908000000001,1
1127	203	7	4,2;1,16;23,6;22,6	600	item17908000000001,1
1128	203	8	4,2;1,19;23,7;22,7	600	item17908000000001,1
1129	203	9	4,3;1,22;23,8;22,8	600	item17908000000001,1
1130	203	10	4,3;1,25;23,9;22,9	1000	item17908000000001,1
1131	203	11	4,3;1,29;23,10;22,10	1000	item17908000000001,1
1132	203	12	4,4;1,33;23,11;22,11	1000	item17908000000001,1
1133	203	13	4,4;1,37;23,13;22,13	1000	item17908000000001,1
1134	203	14	4,5;1,41;23,14;22,14	1000	item17908000000001,1
1135	203	15	4,5;1,45;23,15;22,15	2000	item17908000000001,1
1136	203	16	4,5;1,49;23,17;22,17	2000	item17908000000001,1
1137	203	17	4,6;1,53;23,18;22,18	2000	item17908000000001,1
1138	203	18	4,6;1,57;23,19;22,19	2000	item17908000000001,1
1139	203	19	4,7;1,61;23,21;22,21	2000	item17908000000001,1
1140	203	20	4,7;1,65;23,22;22,22	800	item17908000000001,1
1141	203	21	4,7;1,70;23,24;22,24	800	item17908000000001,1
1142	203	22	4,8;1,75;23,25;22,25	800	item17908000000001,1
1143	203	23	4,8;1,80;23,27;22,27	800	item17908000000001,1
1144	203	24	4,9;1,85;23,29;22,29	800	item17908000000001,1
1145	203	25	4,9;1,90;23,30;22,30	2500	item17908000000001,1
1146	203	26	4,10;1,96;23,32;22,32	2500	item17908000000001,1
1147	203	27	4,11;1,102;23,34;22,34	2500	item17908000000001,1
1148	203	28	4,11;1,108;23,36;22,36	2500	item17908000000001,1
1149	203	29	4,12;1,114;23,38;22,38	2500	item17908000000001,1
1150	203	30	4,12;1,120;23,40;22,40	7000	item17908000000001,1
1151	203	31	4,13;1,127;23,43;22,43	7000	item17908000000001,1
1152	203	32	4,14;1,134;23,45;22,45	7000	item17908000000001,1
1153	203	33	4,15;1,141;23,47;22,47	7000	item17908000000001,1
1154	203	34	4,15;1,148;23,50;22,50	7000	item17908000000001,1
1155	203	35	4,16;1,155;23,52;22,52	15000	item17908000000001,1
1156	203	36	4,17;1,163;23,55;22,55	15000	item17908000000001,1
1157	203	37	4,18;1,171;23,57;22,57	15000	item17908000000001,1
1158	203	38	4,18;1,179;23,60;22,60	15000	item17908000000001,1
1159	203	39	4,19;1,187;23,63;22,63	15000	item17908000000001,1
1160	203	40	4,20;1,195;23,65;22,65	7500	item17908000000001,1
1161	203	41	4,21;1,204;23,68;22,68	7500	item17908000000001,1
1162	203	42	4,22;1,213;23,71;22,71	7500	item17908000000001,1
1163	203	43	4,23;1,222;23,74;22,74	7500	item17908000000001,1
1164	203	44	4,24;1,231;23,77;22,77	7500	item17908000000001,1
1165	203	45	4,24;1,240;23,80;22,80	16500	item17908000000001,1
1166	203	46	4,25;1,250;23,84;22,84	16500	item17908000000001,1
1167	203	47	4,26;1,260;23,87;22,87	16500	item17908000000001,1
1168	203	48	4,27;1,270;23,90;22,90	16500	item17908000000001,1
1169	203	49	4,28;1,280;23,94;22,94	16500	item17908000000001,1
1170	203	50	4,29;1,290;23,97;22,97	25500	item17908000000001,1
1171	203	51	4,31;1,301;23,101;22,101	25500	item17908000000001,1
1172	203	52	4,32;1,312;23,104;22,104	25500	item17908000000001,1
1173	203	53	4,33;1,323;23,108;22,108	25500	item17908000000001,1
1174	203	54	4,34;1,334;23,112;22,112	25500	item17908000000001,1
