称号id(非流水)	称号类型	称号品质	对应ItemID	称号名	称号描述	称号获取方式描述	称号收集属性	称号装备属性	称号持续时间	对应的公会职位ID	地区渠道号
616	1	4	item141000000242	TitleName_10000616	TitleDes_10000616	TitleWay_10000616	3,15,4,15	30,150,3,30	-1	0	1
617	1	4	item141000000243	TitleName_10000617	TitleDes_10000617	TitleWay_10000617	3,15,4,15	30,150,3,30	-1	0	1
618	2	3	item141000000249	TitleName_10000618	TitleDes_10000618	TitleWay_10000618	1,100,132,30	1,200,131,60	-1	0	
619	2	3	item141000000250	TitleName_10000619	TitleDes_10000619	TitleWay_10000619	1,120,132,40	1,200,131,80	-1	0	
620	2	4	item141000000251	TitleName_10000620	TitleDes_10000620	TitleWay_10000620	1,150,132,50	1,200,131,100	-1	0	
621	2	4	item141000000252	TitleName_10000621	TitleDes_10000621	TitleWay_10000621	1,200,132,80	1,200,131,160	-1	0	
622	2	4	item141000000253	TitleName_10000622	TitleDes_10000622	TitleWay_10000622	1,150,132,60	1,200,131,120	-1	0	
623	2	4	item141000000254	TitleName_10000623	TitleDes_10000623	TitleWay_10000623	1,200,132,100	1,200,131,200	-1	0	
624	1	4	item141000002105	TitleName_10000624	TitleDes_10000630	TitleWay_10000624	3,10	11,60	86400	0	
625	1	3	item141000002106	TitleName_10000625	TitleDes_10000631	TitleWay_10000625	3,8	11,50	86400	0	
626	1	3	item141000002107	TitleName_10000626	TitleDes_10000632	TitleWay_10000626	3,6	11,40	86400	0	
627	1	4	item141000002108	TitleName_10000627	TitleDes_10000624	TitleWay_10000627	24,20	24,100	86400	0	
628	1	3	item141000002109	TitleName_10000628	TitleDes_10000625	TitleWay_10000628	24,15	24,80	86400	0	
629	1	3	item141000002110	TitleName_10000629	TitleDes_10000626	TitleWay_10000629	24,10	24,60	86400	0	
630	1	4	item141000002111	TitleName_10000630	TitleDes_10000627	TitleWay_10000630	21,20	21,100	86400	0	
631	1	3	item141000002112	TitleName_10000631	TitleDes_10000628	TitleWay_10000631	21,15	21,80	86400	0	
632	1	3	item141000002113	TitleName_10000632	TitleDes_10000629	TitleWay_10000632	21,10	21,60	86400	0	
633	1	4	item141000002114	TitleName_10000633	TitleDes_10000633	TitleWay_10000633	22,20	22,100	86400	0	
634	1	3	item141000002115	TitleName_10000634	TitleDes_10000634	TitleWay_10000634	22,15	22,80	86400	0	
635	1	3	item141000002116	TitleName_10000635	TitleDes_10000635	TitleWay_10000635	22,10	22,60	86400	0	
636	1	4	item141000002117	TitleName_10000636	TitleDes_10000636	TitleWay_10000636	23,20	23,100	86400	0	
637	1	3	item141000002118	TitleName_10000637	TitleDes_10000637	TitleWay_10000637	23,15	23,80	86400	0	
638	1	3	item141000002119	TitleName_10000638	TitleDes_10000638	TitleWay_10000638	23,10	23,60	86400	0	
639	1	4	item141000000255	TitleName_10000639	TitleDes_10000639	TitleWay_10000639	1,150	23,50,25,50	594000	0	
640	1	3	item141000000256	TitleName_10000640	TitleDes_10000640	TitleWay_10000640	1,120	23,40,25,40	594000	0	
641	1	3	item141000000257	TitleName_10000641	TitleDes_10000641	TitleWay_10000641	1,90	23,30,25,30	594000	0	
642	1	3	item141000000258	TitleName_10000642	TitleDes_10000642	TitleWay_10000642	1,60	23,20,25,20	594000	0	
643	1	4	item141000000259	TitleName_10000643	TitleDes_10000643	TitleWay_10000643	1,100	1,400	604800	0	
644	1	3	item141000000260	TitleName_10000644	TitleDes_10000644	TitleWay_10000644	1,80	1,300	604800	0	
645	1	3	item141000000261	TitleName_10000645	TitleDes_10000645	TitleWay_10000645	1,60	1,200	604800	0	
646	1	3	item141000000262	TitleName_10000646	TitleDes_10000646	TitleWay_10000646	3,5	23,20	-1	0	
647	1	3	item141000000263	TitleName_10000647	TitleDes_10000647	TitleWay_10000647	3,20	23,50,25,50	-1	0	
648	1	5	item141000000264	TitleName_10000648	TitleDes_10000648	TitleWay_10000648	1,200,3,20,4,20	30,200,3,40	-1	0	1
649	1	4	item141000000265	TitleName_10000649	TitleDes_10000649	TitleWay_10000649	3,15,4,15	30,150,3,30	-1	0	1
650	1	4	item141000000266	TitleName_10000650	TitleDes_10000650	TitleWay_10000650	3,15,4,15	30,150,3,30	-1	0	1
651	1	4	item141000000267	TitleName_10000651	TitleDes_10000651	TitleWay_10000651	3,15,4,15	30,150,3,30	-1	0	1
652	1	4	item141000000268	TitleName_10000652	TitleDes_10000652	TitleWay_10000652	3,15,4,15	30,150,3,30	-1	0	1
653	1	4	item141000000269	TitleName_10000653	TitleDes_10000653	TitleWay_10000653	3,15,4,15	30,150,3,30	-1	0	1
654	1	4	item141000000270	TitleName_10000654	TitleDes_10000654	TitleWay_10000654	3,15,4,15	30,150,3,30	-1	0	1
655	1	4	item141000000271	TitleName_10000655	TitleDes_10000655	TitleWay_10000655	3,15,4,15	30,150,3,30	-1	0	1
656	1	4	item141000000272	TitleName_10000656	TitleDes_10000656	TitleWay_10000656	3,15,4,15	30,150,3,30	-1	0	1
657	1	4	item141000000273	TitleName_10000657	TitleDes_10000657	TitleWay_10000657	3,15,4,15	30,150,3,30	-1	0	1
658	8	4	item141000000274	TitleName_10000658	TitleDes_10000658	TitleWay_10000658	1,100,3,5	1,200,23,20	-1	0	
659	8	4	item141000000275	TitleName_10000659	TitleDes_10000659	TitleWay_10000659	1,100,3,5	1,200,25,20	-1	0	
660	8	4	item141000000276	TitleName_10000660	TitleDes_10000660	TitleWay_10000660	1,100,3,5	1,200,21,20	-1	0	
661	5	4	item141000000277	TitleName_10000661	TitleDes_10000661	TitleWay_10000661	1,200,3,20	1,200,22,20	-1	0	
662	5	4	item141000000278	TitleName_10000662	TitleDes_10000662	TitleWay_10000662	1,200,3,20	1,200,26,20	-1	0	
663	5	4	item141000000279	TitleName_10000663	TitleDes_10000663	TitleWay_10000663	11,60	11,100,4,20	2592000	0	
664	5	4	item141000000280	TitleName_10000664	TitleDes_10000664	TitleWay_10000664	11,50	11,80,4,16	2592000	0	
665	5	4	item141000000281	TitleName_10000665	TitleDes_10000665	TitleWay_10000665	11,40	11,60,4,12	2592000	0	
666	1	4	item141000000282	TitleName_10000666	TitleDes_10000666	TitleWay_10000666	12,100	51,100,3,20	604800	0	
667	1	4	item141000000283	TitleName_10000667	TitleDes_10000667	TitleWay_10000667	12,80	51,80,3,16	604800	0	
668	1	4	item141000000284	TitleName_10000668	TitleDes_10000668	TitleWay_10000668	12,60	51,60,3,12	604800	0	
669	1	4	item141000000285	TitleName_10000669	TitleDes_10000669	TitleWay_10000669	12,60	153,100,3,20	2592000	0	
671	1	3	item141000000287	TitleName_10000671	TitleDes_10000671	TitleWay_10000671	12,40	153,60,3,12	2592000	0	
672	1	4	item141000000288	TitleName_10000672	TitleDes_10000672	TitleWay_10000672	12,100	153,200,3,20	2592000	0	
673	5	4	item141000000289	TitleName_10000673	TitleDes_10000673	TitleWay_10000673	4,10	13,60	86400	0	
674	5	4	item141000000290	TitleName_10000674	TitleDes_10000674	TitleWay_10000674	4,8	13,50	86400	0	
675	5	4	item141000000291	TitleName_10000675	TitleDes_10000675	TitleWay_10000675	4,6	13,40	86400	0	
676	5	4	item141000000292	TitleName_10000676	TitleDes_10000676	TitleWay_10000676	1,100	11,60	86400	0	
677	5	4	item141000000293	TitleName_10000677	TitleDes_10000677	TitleWay_10000677	1,80	11,50	86400	0	
678	5	4	item141000000294	TitleName_10000678	TitleDes_10000678	TitleWay_10000678	1,60	11,40	86400	0	
679	5	4	item141000000295	TitleName_10000679	TitleDes_10000679	TitleWay_10000679	1,200,12,50	1,200	-1	0	
680	1	4	item141000000296	TitleName_10000680	TitleDes_10000680	TitleWay_10000680	3,15,4,15	30,150,3,30	-1	0	1
681	1	4	item141000000297	TitleName_10000681	TitleDes_10000681	TitleWay_10000681	3,15,4,15	30,150,3,30	-1	0	1
682	1	4	item141000000298	TitleName_10000682	TitleDes_10000682	TitleWay_10000682	3,15,4,15	30,150,3,30	-1	0	1
683	1	4	item141000000299	TitleName_10000683	TitleDes_10000683	TitleWay_10000683	3,15,4,15	30,150,3,30	-1	0	1
684	1	4	item141000000300	TitleName_10000684	TitleDes_10000684	TitleWay_10000684	3,15,4,15	30,150,3,30	-1	0	1
685	1	5	item141000000301	TitleName_10000685	TitleDes_10000685	TitleWay_10000685	1,200,3,20,4,20	30,200,3,40	-1	0	1
686	1	4	item141000000302	TitleName_10000302	TitleDes_10000302	TitleWay_10000302	12,60	1,200,3,20	2592000	0	
687	1	4	item141000000303	TitleName_10000303	TitleDes_10000303	TitleWay_10000303	12,50	1,160,3,16	2592000	0	
688	1	4	item141000000304	TitleName_10000304	TitleDes_10000304	TitleWay_10000304	12,40	1,120,3,12	2592000	0	
689	2	5	item141000000305	TitleName_10000305	TitleDes_10000305	TitleWay_10000305	1,66,3,6	1,166	2592000	0	
690	2	5	item141000000306	TitleName_10000306	TitleDes_10000306	TitleWay_10000306	1,100	1,120	2592000	0	
691	2	4	item141000000307	TitleName_10000307	TitleDes_10000307	TitleWay_10000307	1,66	1,66	2592000	0	
692	1	4	item141000000692	TitleName_10000692	TitleDes_10000692	TitleWay_10000692	3,40	23,80,25,80	-1	0	
693	1	4	item141000000693	TitleName_10000693	TitleDes_10000693	TitleWay_10000693	3,50	23,100,25,100	-1	0	
694	1	4	item141000000694	TitleName_10000694	TitleDes_10000694	TitleWay_10000694	3,15,4,15	30,150,3,30	-1	0	1
695	1	4	item141000000695	TitleName_10000695	TitleDes_10000695	TitleWay_10000695	3,15,4,15	30,150,3,30	-1	0	1
696	1	4	item141000000696	TitleName_10000696	TitleDes_10000696	TitleWay_10000696	3,15,4,15	30,150,3,30	-1	0	1
697	1	5	item141000000697	TitleName_10000697	TitleDes_10000697	TitleWay_10000697	1,200,3,20,4,20	30,200,3,40	-1	0	1
698	1	4	item178100000004	TitleName_10000698	TitleDes_10000698	TitleWay_10000698	12,100,4,50	1,200,3,15	2592000	0	
699	1	5	item141000000699	TitleName_10000699	TitleDes_10000699	TitleWay_10000699	1,200,3,20,4,20	30,200,3,40	-1	0	1
700	1	5	item141000000700	TitleName_10000700	TitleDes_10000700	TitleWay_10000700	1,200,3,20,4,20	30,200,3,40	-1	0	1
701	1	4	item141000000701	TitleName_10000701	TitleDes_10000701	TitleWay_10000701	3,15,4,15	30,150,3,30	-1	0	1
702	1	4	item141000000702	TitleName_10000702	TitleDes_10000702	TitleWay_10000702	3,15,4,15	30,150,3,30	-1	0	1
703	1	4	item141000000703	TitleName_10000703	TitleDes_10000703	TitleWay_10000703	3,15,4,15	30,150,3,30	-1	0	1
704	1	4	item141000000704	TitleName_10000704	TitleDes_10000704	TitleWay_10000704	3,15,4,15	30,150,3,30	-1	0	1
705	1	4	item141000000705	TitleName_10000705	TitleDes_10000705	TitleWay_10000705	1,100,12,25,13,25	21,66,22,66	-1	0	1
706	2	4	item141000000706	TitleName_10000706	TitleDes_10000706	TitleWay_10000706	25,20	25,100	2592000	0	1
707	2	3	item141000000707	TitleName_10000707	TitleDes_10000707	TitleWay_10000707	25,15	25,80	2592000	0	1
708	2	3	item141000000708	TitleName_10000708	TitleDes_10000708	TitleWay_10000708	25,10	25,60	2592000	0	1
1001	1	4	item141000001001	TitleName_10001001	TitleDes_10001001	TitleWay_10001001	1,50,3,5,4,5	23,50,25,50	-1	0	1
1002	2	4	item141000001002	TitleName_10001002	TitleDes_10001002	TitleWay_10001002	3,15,4,15	30,150,3,30	-1	0	1
1003	3	4	item141000001003	TitleName_10001003	TitleDes_10001003	TitleWay_10001003	3,15,4,15	30,150,3,30	-1	0	1
1004	3	4	item141000001004	TitleName_10001004	TitleDes_10001004	TitleWay_10001004	1,50,3,5,4,5	23,50,25,50	-1	0	1
1005	3	3	item141000001005	TitleName_10001005	TitleDes_10001005	TitleWay_10001005	1,50,3,10	1,100,3,20	-1	0	1
1006	3	5	item141000001006	TitleName_10001006	TitleDes_10001006	TitleWay_10001006	12,40,23,25,25,25	30,50,31,50	-1	0	1
1007	3	4	item141000001007	TitleName_10001007	TitleDes_10001007	TitleWay_10001007	1,66,3,6	25,66	-1	0	1
1101	5	3	item141000001101	TitleName_10001101	TitleDes_10001101	TitleWay_10001101	23,10	23,30	-1	0	
1102	5	2	item141000001102	TitleName_10001102	TitleDes_10001102	TitleWay_10001102	1,10	1,80	-1	0	2
1103	5	3	item141000001103	TitleName_10001103	TitleDes_10001103	TitleWay_10001103	1,50	1,50,3,5	604800	0	2
1104	5	3	item141000001104	TitleName_10001104	TitleDes_10001104	TitleWay_10001104	1,99	21,50	-1	0	
1105	5	3	item141000001105	TitleName_10001105	TitleDes_10001105	TitleWay_10001105	1,99	26,50	-1	0	2
1106	5	4	item141000001106	TitleName_10001106	TitleDes_10001106	TitleWay_10001106	3,25,25,50	12,100,132,200	-1	0	2
1107	5	4	item141000001107	TitleName_10001107	TitleDes_10001107	TitleWay_10001107	21,50,23,50	3,80,31,50	-1	0	
1108	5	3	item141000001108	TitleName_10001108	TitleDes_10001108	TitleWay_10001108	1,30,153,50	1,80,3,10	-1	0	2
1109	5	3	item141000001109	TitleName_10001109	TitleDes_10001109	TitleWay_10001109	1,30,153,50	1,80,3,10	-1	0	2
1110	5	3	item141000001110	TitleName_10001110	TitleDes_10001110	TitleWay_10001110	1,30,153,50	1,80,3,10	-1	0	2
1111	5	4	item141000001111	TitleName_10001111	TitleDes_10001111	TitleWay_10001111	1,50,153,50	1,200,3,15	-1	0	2
1112	5	3	item141000001112	TitleName_10001112	TitleDes_10001112	TitleWay_10001112	1,30,153,50	1,80,3,10	-1	0	2
1113	5	3	item141000001113	TitleName_10001113	TitleDes_10001113	TitleWay_10001113	1,30,153,50	1,80,3,10	-1	0	2
1115	5	5	item141000001115	TitleName_10001115	TitleDes_10001115	TitleWay_10001115	1,200,3,20,4,20	30,200,3,40	-1	0	2
1116	5	5	item141000001116	TitleName_10001116	TitleDes_10001116	TitleWay_10001116	1,200,3,20,4,20	30,200,3,40	-1	0	2
1117	5	5	item141000001117	TitleName_10001117	TitleDes_10001117	TitleWay_10001117	1,200,3,20,4,20	30,200,3,40	-1	0	2
1118	5	5	item141000001118	TitleName_10001118	TitleDes_10001118	TitleWay_10001118	1,200,3,20,4,20	30,200,3,40	-1	0	2
1119	5	5	item141000001119	TitleName_10001119	TitleDes_10001119	TitleWay_10001119	1,200,3,20,4,20	30,200,3,40	-1	0	2
1120	5	4	item141000001120	TitleName_10001120	TitleDes_10001120	TitleWay_10001120	1,50,3,5,4,5	23,50,25,50	-1	0	2
1121	5	4	item141000001121	TitleName_10001121	TitleDes_10001121	TitleWay_10001121	3,15,4,15	30,150,3,30	-1	0	2
1122	5	4	item141000001122	TitleName_10001122	TitleDes_10001122	TitleWay_10001122	3,15,4,15	30,150,3,30	-1	0	2
1123	5	4	item141000001123	TitleName_10001123	TitleDes_10001123	TitleWay_10001123	3,15,4,15	30,150,3,30	-1	0	2
1201	5	4	item141000001201	TitleName_10001201	TitleDes_10001201	TitleWay_10001201	1,30	22,50	-1	0	3
1202	5	4	item141000001202	TitleName_10001202	TitleDes_10001202	TitleWay_10001201	1,100,3,10,4,10	30,100,3,20	-1	0	3
1203	1	5	item141000001203	TitleName_10001203	TitleDes_10001203	TitleWay_10001203	1,200,3,20,4,20	30,200,3,40	-1	0	3
1204	1	4	item141000001204	TitleName_10001204	TitleDes_10001204	TitleWay_10001204	3,15,4,15	30,150,3,30	-1	0	3
1205	1	4	item141000001205	TitleName_10001205	TitleDes_10001205	TitleWay_10001205	3,15,4,15	30,150,3,30	-1	0	3
1206	1	4	item141000001206	TitleName_10001206	TitleDes_10001206	TitleWay_10001206	3,15,4,15	30,150,3,30	-1	0	3
1207	1	4	item141000001207	TitleName_10001207	TitleDes_10001207	TitleWay_10001207	3,15,4,15	30,150,3,30	-1	0	3
1208	1	4	item141000001208	TitleName_10001208	TitleDes_10001208	TitleWay_10001208	3,15,4,15	30,150,3,30	-1	0	3
1209	1	4	item141000001209	TitleName_10001209	TitleDes_10001209	TitleWay_10001209	3,15,4,15	30,150,3,30	-1	0	3
1210	1	4	item141000001210	TitleName_10001210	TitleDes_10001210	TitleWay_10001210	3,15,4,15	30,150,3,30	-1	0	3
1211	1	4	item141000001211	TitleName_10001211	TitleDes_10001211	TitleWay_10001211	3,15,4,15	30,150,3,30	-1	0	3
1212	1	4	item141000001212	TitleName_10001212	TitleDes_10001212	TitleWay_10001212	3,15,4,15	30,150,3,30	-1	0	3
1213	1	4	item141000001213	TitleName_10001213	TitleDes_10001213	TitleWay_10001213	23,20	23,100	-1	0	3
1214	1	4	item141000001214	TitleName_10001214	TitleDes_10001214	TitleWay_10001214	1,10	23,50	-1	0	3
1215	1	3	item141000001215	TitleName_10001215	TitleDes_10001215	TitleWay_10001215	1,10,3,5	1,100,3,5	-1	0	3
1216	1	4	item141000001216	TitleName_10001216	TitleDes_10001216	TitleWay_10001216	1,100,3,10,4,10	32,100,3,20	-1	0	3
1217	5	4	item141000001217	TitleName_10001217	TitleDes_10001217	TitleWay_10001217	1,100,3,10,4,10	30,100,3,20	-1	0	3
1218	1	5	item141000001218	TitleName_10001218	TitleDes_10001218	TitleWay_10001218	1,200,3,20,4,20	30,200,3,40	-1	0	3
1219	1	4	item141000001219	TitleName_10001219	TitleDes_10001219	TitleWay_10001219	3,15,4,15	30,150,3,30	-1	0	3
1220	1	4	item141000001220	TitleName_10001220	TitleDes_10001220	TitleWay_10001220	3,15,4,15	30,150,3,30	-1	0	3
1221	1	4	item141000001221	TitleName_10001221	TitleDes_10001221	TitleWay_10001221	3,15,4,15	30,150,3,30	-1	0	3
1222	1	4	item141000001222	TitleName_10001222	TitleDes_10001222	TitleWay_10001222	3,15,4,15	30,150,3,30	-1	0	3
1223	1	4	item141000001223	TitleName_10001223	TitleDes_10001223	TitleWay_10001223	3,15,4,15	30,150,3,30	-1	0	3
1224	1	4	item141000001224	TitleName_10001224	TitleDes_10001224	TitleWay_10001224	3,15,4,15	30,150,3,30	-1	0	3
1225	1	4	item141000001225	TitleName_10001225	TitleDes_10001225	TitleWay_10001225	3,15,4,15	30,150,3,30	-1	0	3
1226	1	4	item141000001226	TitleName_10001226	TitleDes_10001226	TitleWay_10001226	3,15,4,15	30,150,3,30	-1	0	3
1227	1	4	item141000001227	TitleName_10001227	TitleDes_10001227	TitleWay_10001227	3,15,4,15	30,150,3,30	-1	0	3
1228	1	4	item93000000330	TitleName_10001228	TitleDes_10001228	TitleWay_10001228	3,15,4,15	30,150,3,30	-1	0	3
1229	1	4	item93000000331	TitleName_10001229	TitleDes_10001229	TitleWay_10001229	3,15,4,15	30,150,3,30	-1	0	3
1230	1	4	item93000000332	TitleName_10001230	TitleDes_10001230	TitleWay_10001230	3,15,4,15	30,150,3,30	-1	0	3
1231	1	4	item93000000333	TitleName_10001231	TitleDes_10001231	TitleWay_10001231	3,15,4,15	30,150,3,30	-1	0	3
1232	1	4	item93000000334	TitleName_10001232	TitleDes_10001232	TitleWay_10001232	3,15,4,15	30,150,3,30	-1	0	3
1233	1	4	item93000000335	TitleName_10001233	TitleDes_10001233	TitleWay_10001233	3,15,4,15	30,150,3,30	-1	0	3
1234	1	4	item93000000336	TitleName_10001234	TitleDes_10001234	TitleWay_10001234	3,15,4,15	30,150,3,30	-1	0	3
1235	1	4	item93000000337	TitleName_10001235	TitleDes_10001235	TitleWay_10001235	3,15,4,15	30,150,3,30	-1	0	3
1236	1	4	item93000000338	TitleName_10001236	TitleDes_10001236	TitleWay_10001236	3,15,4,15	30,150,3,30	-1	0	3
1237	1	5	item93000000339	TitleName_10001237	TitleDes_10001237	TitleWay_10001237	1,200,3,20,4,20	30,200,3,40	-1	0	3
1301	5	3	item141000001301	TitleName_10001301	TitleDes_10001301	TitleWay_10001301	3,8	3,28,153,50	-1	0	4
1302	5	3	item141000000247	TitleName_10001302	TitleDes_10001302	TitleWay_10001302	1,300	26,40	-1	0	4
1303	5	4	item141000000248	TitleName_10001303	TitleDes_10001303	TitleWay_10001303	1,400,35,100	26,45	-1	0	4
1304	5	4	item141000001304	TitleName_10001304	TitleDes_10001304	TitleWay_10001304	1,100,3,10,4,10	23,50,25,50	-1	0	4
1305	5	3	item141000001305	TitleName_10001305	TitleDes_10001305	TitleWay_10001305	1,100,3,10,4,10	23,50,25,50	-1	0	1
1306	1	4	item141000001306	TitleName_10001306	TitleDes_10001306	TitleWay_10001306	23,20	23,100	-1	0	3
1307	1	4	item141000001307	TitleName_10001307	TitleDes_10001307	TitleWay_10001307	1,99,3,5,4,5	23,50,25,50	-1	0	4
1308	1	5	item141000001308	TitleName_10001308	TitleDes_10001308	TitleWay_10001308	11,99,3,5,4,5	32,99,25,99	-1	0	4
1309	1	5	item141000001309	TitleName_10001309	TitleDes_10001309	TitleWay_10001309	1,50,3,20	23,100	-1	0	4
1310	1	4	item141000001310	TitleName_10001310	TitleDes_10001310	TitleWay_10001310	1,10,3,10	1,100	-1	0	4
1311	1	4	item141000001311	TitleName_10001311	TitleDes_10001311	TitleWay_10001311	1,10,3,10	1,100	-1	0	
1312	3	4	item141000001312	TitleName_10001312	TitleDes_10001312	TitleWay_10001312	1,50,3,5,4,5	23,50,25,50	-1	0	4
1401	4	4	item141000001401	TitleName_10001401	TitleDes_10001401	TitleWay_10001401	12,100,4,50	1,200,3,15	6480000	0	5
1402	1	5	item141000001402	TitleName_10001402	TitleDes_10001402	TitleWay_10001402	1,200,3,20,4,20	30,200,3,40	-1	0	5
1403	1	5	item141000001403	TitleName_10001403	TitleDes_10001403	TitleWay_10001403	1,200,3,20,4,20	30,200,3,40	-1	0	5
1404	1	5	item141000001404	TitleName_10001404	TitleDes_10001404	TitleWay_10001404	1,200,3,20,4,20	30,200,3,40	-1	0	5
1405	1	4	item141000001405	TitleName_10001405	TitleDes_10001405	TitleWay_10001405	3,15,4,15	30,150,3,30	-1	0	5
1406	1	4	item141000001406	TitleName_10001406	TitleDes_10001406	TitleWay_10001406	3,15,4,15	30,150,3,30	-1	0	5
1407	1	4	item141000001407	TitleName_10001407	TitleDes_10001407	TitleWay_10001407	3,15,4,15	30,150,3,30	-1	0	5
1408	1	4	item141000001408	TitleName_10001408	TitleDes_10001408	TitleWay_10001408	3,15,4,15	30,150,3,30	-1	0	5
1409	1	4	item141000001409	TitleName_10001409	TitleDes_10001409	TitleWay_10001409	3,15,4,15	30,150,3,30	-1	0	5
1410	1	4	item141000001410	TitleName_10001410	TitleDes_10001410	TitleWay_10001410	3,15,4,15	30,150,3,30	-1	0	5
1411	1	4	item141000001411	TitleName_10001411	TitleDes_10001411	TitleWay_10001411	3,15,4,15	30,150,3,30	-1	0	5
1402	1	5	item141000001412	TitleName_10001412	TitleDes_10001402	TitleWay_10001402	1,200,3,20,4,20	30,200,3,40	-1	0	5
1403	1	5	item141000001413	TitleName_10001413	TitleDes_10001402	TitleWay_10001402	1,200,3,20,4,20	30,200,3,40	-1	0	5
1404	1	5	item141000001414	TitleName_10001414	TitleDes_10001402	TitleWay_10001402	1,200,3,20,4,20	30,200,3,40	-1	0	5
1405	1	4	item141000001415	TitleName_10001415	TitleDes_10001402	TitleWay_10001402	3,15,4,15	30,150,3,30	-1	0	5
1406	1	4	item141000001416	TitleName_10001416	TitleDes_10001402	TitleWay_10001402	3,15,4,15	30,150,3,30	-1	0	5
1407	1	4	item141000001417	TitleName_10001417	TitleDes_10001402	TitleWay_10001402	3,15,4,15	30,150,3,30	-1	0	5
1408	1	4	item141000001418	TitleName_10001418	TitleDes_10001402	TitleWay_10001402	3,15,4,15	30,150,3,30	-1	0	5
1409	1	4	item141000001419	TitleName_10001419	TitleDes_10001402	TitleWay_10001402	3,15,4,15	30,150,3,30	-1	0	5
1410	1	4	item141000001420	TitleName_10001420	TitleDes_10001402	TitleWay_10001402	3,15,4,15	30,150,3,30	-1	0	5
1411	1	4	item141000001421	TitleName_10001421	TitleDes_10001402	TitleWay_10001402	3,15,4,15	30,150,3,30	-1	0	5
1412	1	5	item91000001440	TitleName_10001440	TitleDes_10001440	TitleWay_10001440	1,200,3,20,4,20	3,40,25,100	-1	0	1
1413	1	5	item91000001441	TitleName_10001441	TitleDes_10001441	TitleWay_10001441	1,200,3,20,4,20	3,40,25,100	-1	0	1
1414	1	5	item91000001442	TitleName_10001442	TitleDes_10001442	TitleWay_10001442	1,200,3,20,4,20	3,40,25,100	-1	0	1
1415	1	5	item91000001443	TitleName_10001443	TitleDes_10001443	TitleWay_10001443	1,200,3,20,4,20	3,40,25,100	-1	0	1
1416	1	4	item91000001444	TitleName_10001444	TitleDes_10001444	TitleWay_10001444	1,100,3,15,4,15	3,25,25,66	-1	0	1
1417	1	4	item91000001445	TitleName_10001445	TitleDes_10001445	TitleWay_10001445	1,100,3,15,4,15	3,25,25,66	-1	0	1
1418	1	4	item91000001446	TitleName_10001446	TitleDes_10001446	TitleWay_10001446	3,15,4,15	3,25	-1	0	1
1419	1	4	item91000001447	TitleName_10001447	TitleDes_10001447	TitleWay_10001447	3,20,1,200	12,50	-1	0	1
1420	1	5	item91000001448	TitleName_10001448	TitleDes_10001448	TitleWay_10001448	3,30,23,50,25,50	34,100,131,50	-1	0	1
1421	1	5	item91000001449	TitleName_10001449	TitleDes_10001449	TitleWay_10001449	12,50,21,100,25,100	34,150,131,100	-1	0	1
1422	1	6	item91000001450	TitleName_10001450	TitleDes_10001450	TitleWay_10001450	12,100,32,100,34,100	34,200,131,150	-1	0	1
1423	1	6	item91000001451	TitleName_10001451	TitleDes_10001451	TitleWay_10001451	12,150,30,150,34,150	206,200,131,200	-1	0	1
1424	1	5	item91000001517	TitleName_10001517	TitleDes_10001517	TitleWay_10001517	1,200,3,20,4,20	3,40,25,100	-1	0	1
1425	1	5	item91000001518	TitleName_10001518	TitleDes_10001518	TitleWay_10001518	1,200,3,20,4,20	3,40,25,100	-1	0	1
1426	1	4	item91000001519	TitleName_10001519	TitleDes_10001519	TitleWay_10001519	1,100,3,15,4,15	3,25,25,66	-1	0	1
1427	1	4	item91000001520	TitleName_10001520	TitleDes_10001520	TitleWay_10001520	1,100,3,15,4,15	3,25,25,66	-1	0	1
1428	1	4	item91000001521	TitleName_10001521	TitleDes_10001521	TitleWay_10001521	1,100,3,15,4,15	3,25,25,66	-1	0	1
1429	1	5	item91000001488	TitleName_10001488	TitleDes_10001488	TitleWay_10001488	1,100,3,10,13,20	32,50,34,50	-1	0	1
1430	1	5	item91000001572	TitleName_10001572	TitleDes_10001572	TitleWay_10001572	1,200,3,20,4,20	3,40,25,100	-1	0	1
1431	1	4	item91000001573	TitleName_10001573	TitleDes_10001573	TitleWay_10001573	1,100,3,15,4,15	3,25,25,66	-1	0	1
1432	1	4	item91000001574	TitleName_10001574	TitleDes_10001574	TitleWay_10001574	1,100,3,15,4,15	3,25,25,66	-1	0	1
1433	1	4	item91000001575	TitleName_10001575	TitleDes_10001575	TitleWay_10001575	12,100,4,50	1,200,3,15	6480000	0	1
1434	1	4	item91000001619	TitleName_10001619	TitleDes_10001619	TitleWay_10001619	1,100,3,15,4,15	3,25,25,66	-1	0	1
1435	1	4	item91000001620	TitleName_10001620	TitleDes_10001620	TitleWay_10001620	1,100,3,15,4,15	3,25,25,66	-1	0	1
1436	1	5	item91000001621	TitleName_10001621	TitleDes_10001621	TitleWay_10001621	1,200,3,20,4,20	3,40,25,100	-1	0	1
1437	1	5	item91000001622	TitleName_10001622	TitleDes_10001622	TitleWay_10001622	1,200,3,20,4,20	3,40,25,100	-1	0	1
1438	1	4	item91000001642	TitleName_10001642	TitleDes_10001642	TitleWay_10001642	1,50,3,5,4,5	23,50,25,50	-1	0	1
1439	1	6	item91000001716	TitleName_10001716	TitleDes_10001716	TitleWay_10001716	1,200,3,20,4,20	32,100,34,100	-1	0	1
