编号	等级	部位	升级累积经验	对品质产出的影响	对装等产出的影响
937	48	9	117600	4800	9600
938	49	9	122500	4900	9800
939	50	9	127500	5000	10000
940	51	9	132600	5100	10200
941	52	9	137800	5200	10400
942	53	9	143100	5300	10600
943	54	9	148500	5400	10800
944	55	9	154000	5500	11000
945	56	9	159600	5600	11200
946	57	9	165300	5700	11400
947	58	9	171100	5800	11600
948	59	9	177000	5900	11800
949	60	9	183000	6000	12000
950	61	9	189100	6100	12200
951	62	9	195300	6200	12400
952	63	9	201600	6300	12600
953	64	9	208000	6400	12800
954	65	9	214500	6500	13000
955	66	9	221100	6600	13200
956	67	9	227800	6700	13400
957	68	9	234600	6800	13600
958	69	9	241500	6900	13800
959	70	9	248500	7000	14000
960	71	9	255600	7100	14200
961	72	9	262800	7200	14400
962	73	9	270100	7300	14600
963	74	9	277500	7400	14800
964	75	9	285000	7500	15000
965	76	9	292600	7600	15200
966	77	9	300300	7700	15400
967	78	9	308100	7800	15600
968	79	9	316000	7900	15800
969	80	9	324000	8000	16000
970	81	9	332100	8100	16200
971	82	9	340300	8200	16400
972	83	9	348600	8300	16600
973	84	9	357000	8400	16800
974	85	9	365500	8500	17000
975	86	9	374100	8600	17200
976	87	9	382800	8700	17400
977	88	9	391600	8800	17600
978	89	9	400500	8900	17800
979	90	9	409500	9000	18000
980	91	9	418600	9100	18200
981	92	9	427800	9200	18400
982	93	9	437100	9300	18600
983	94	9	446500	9400	18800
984	95	9	456000	9500	19000
985	96	9	465600	9600	19200
986	97	9	475300	9700	19400
987	98	9	485100	9800	19600
988	99	9	495000	9900	19800
989	100	9	505000	10000	20000
990	101	9	515100	10100	20200
991	102	9	525300	10200	20400
992	103	9	535600	10300	20600
993	104	9	546000	10400	20800
994	105	9	556500	10500	21000
995	106	9	567100	10600	21200
996	107	9	577800	10700	21400
997	108	9	588600	10800	21600
998	109	9	599500	10900	21800
999	110	9	610500	11000	22000
1000	0	10	0	0	0
1001	1	10	100	100	200
1002	2	10	300	200	400
1003	3	10	600	300	600
1004	4	10	1000	400	800
1005	5	10	1500	500	1000
1006	6	10	2100	600	1200
1007	7	10	2800	700	1400
1008	8	10	3600	800	1600
1009	9	10	4500	900	1800
1010	10	10	5500	1000	2000
1011	11	10	6600	1100	2200
1012	12	10	7800	1200	2400
1013	13	10	9100	1300	2600
1014	14	10	10500	1400	2800
1015	15	10	12000	1500	3000
1016	16	10	13600	1600	3200
1017	17	10	15300	1700	3400
1018	18	10	17100	1800	3600
1019	19	10	19000	1900	3800
1020	20	10	21000	2000	4000
1021	21	10	23100	2100	4200
1022	22	10	25300	2200	4400
1023	23	10	27600	2300	4600
1024	24	10	30000	2400	4800
1025	25	10	32500	2500	5000
1026	26	10	35100	2600	5200
1027	27	10	37800	2700	5400
1028	28	10	40600	2800	5600
1029	29	10	43500	2900	5800
1030	30	10	46500	3000	6000
1031	31	10	49600	3100	6200
1032	32	10	52800	3200	6400
1033	33	10	56100	3300	6600
1034	34	10	59500	3400	6800
1035	35	10	63000	3500	7000
1036	36	10	66600	3600	7200
1037	37	10	70300	3700	7400
1038	38	10	74100	3800	7600
1039	39	10	78000	3900	7800
1040	40	10	82000	4000	8000
1041	41	10	86100	4100	8200
1042	42	10	90300	4200	8400
1043	43	10	94600	4300	8600
1044	44	10	99000	4400	8800
1045	45	10	103500	4500	9000
1046	46	10	108100	4600	9200
1047	47	10	112800	4700	9400
1048	48	10	117600	4800	9600
1049	49	10	122500	4900	9800
1050	50	10	127500	5000	10000
1051	51	10	132600	5100	10200
1052	52	10	137800	5200	10400
1053	53	10	143100	5300	10600
1054	54	10	148500	5400	10800
1055	55	10	154000	5500	11000
1056	56	10	159600	5600	11200
1057	57	10	165300	5700	11400
1058	58	10	171100	5800	11600
1059	59	10	177000	5900	11800
1060	60	10	183000	6000	12000
1061	61	10	189100	6100	12200
1062	62	10	195300	6200	12400
1063	63	10	201600	6300	12600
1064	64	10	208000	6400	12800
1065	65	10	214500	6500	13000
1066	66	10	221100	6600	13200
1067	67	10	227800	6700	13400
1068	68	10	234600	6800	13600
1069	69	10	241500	6900	13800
1070	70	10	248500	7000	14000
1071	71	10	255600	7100	14200
1072	72	10	262800	7200	14400
1073	73	10	270100	7300	14600
1074	74	10	277500	7400	14800
1075	75	10	285000	7500	15000
1076	76	10	292600	7600	15200
1077	77	10	300300	7700	15400
1078	78	10	308100	7800	15600
1079	79	10	316000	7900	15800
1080	80	10	324000	8000	16000
1081	81	10	332100	8100	16200
1082	82	10	340300	8200	16400
1083	83	10	348600	8300	16600
1084	84	10	357000	8400	16800
1085	85	10	365500	8500	17000
1086	86	10	374100	8600	17200
1087	87	10	382800	8700	17400
1088	88	10	391600	8800	17600
1089	89	10	400500	8900	17800
1090	90	10	409500	9000	18000
1091	91	10	418600	9100	18200
1092	92	10	427800	9200	18400
1093	93	10	437100	9300	18600
1094	94	10	446500	9400	18800
1095	95	10	456000	9500	19000
1096	96	10	465600	9600	19200
1097	97	10	475300	9700	19400
1098	98	10	485100	9800	19600
1099	99	10	495000	9900	19800
1100	100	10	505000	10000	20000
1101	101	10	515100	10100	20200
1102	102	10	525300	10200	20400
1103	103	10	535600	10300	20600
1104	104	10	546000	10400	20800
1105	105	10	556500	10500	21000
1106	106	10	567100	10600	21200
1107	107	10	577800	10700	21400
1108	108	10	588600	10800	21600
1109	109	10	599500	10900	21800
1110	110	10	610500	11000	22000
