NPC编号	对象类型	名称	名称位置	模型编号	特效资源	功能类型	目标场景组	目标场景	目标坐标X	目标坐标Y	目标坐标Z	目标朝向	组队副本拉镜头的角度	组队副本拉镜头位置偏移量	最大生存时间	是否是需要激活的场景传送门	触发范围	圆柱高度	圆柱半径	小地图标志	附近显示npc	探索ID	入口出口标志
door_35005_trans_01	DoorNpc	door_dungeon	0,1.2,2		10000015	8		0	-9.740000	9.900000	-11.620000	44.490002			900000	1	2.000000	3.600000	1.000000			0	0
door_35005_trans_02	DoorNpc	door_dungeon	0,1.2,2		10000015	8		0	41.849998	19.320000	40.130001	44.490002			900000	1	2.000000	3.600000	1.000000			0	0
door_35004_transfer1	DoorNpc	door_dungeon	0,1.2,2		10000015	8		0	-41.290001	24.680000	36.919998	-21.938999			900000	1	2.000000	3.600000	1.000000			0	0
door_35004_transfer2	DoorNpc	door_dungeon	0,1.2,2		10000015	8		0	81.129997	20.799999	71.430000	4.659000			900000	1	2.000000	3.600000	1.000000			0	0
door_35006_transfer1	DoorNpc	door_dungeon	0,1.2,2		10000015	8		0	22.162399	5.899973	15.320470	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_35006_transfer2	DoorNpc	door_dungeon	0,1.2,2		10000015	8		0	-95.891006	0.280410	49.362961	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_35006_transfer3	DoorNpc	door_dungeon	0,1.2,2		10000015	8		0	-30.500000	7.000000	77.000000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_35006_transfer4	DoorNpc	door_dungeon	0,1.2,2		10000015	8		0	-95.891006	0.280410	49.362961	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_35006_transfer5	DoorNpc	door_dungeon	0,1.2,2		10000015	8		0	-30.000000	-1.000000	-82.000000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_30012_transfer1	DoorNpc	door_dungeon	0,1.2,0		10000016	9		1113	-49.900002	3.400000	-44.799999	225.600006			900000	1	2.000000	3.600000	1.000000			0	0
door_30012_transfer2	DoorNpc	door_dungeon	0,1.2,2		10000015	8		0	1.500000	19.400000	15.900000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_30012_transfer3	DoorNpc	door_dungeon	0,1.2,2		10000015	8		0	59.000000	-0.200000	-80.000000	34.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_60001_transfer1	DoorNpc	door_dungeon	0,1.2,2		10000015	8		0	0.530000	0.000000	33.450001	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_60001_transfer2	DoorNpc	door_dungeon	0,1.2,2		10000015	8		0	35.259998	0.000000	-2.360000	90.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_60001_transfer3	DoorNpc	door_dungeon	0,1.2,2		10000015	8		0	-0.550000	0.000000	-35.759998	180.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_60001_transfer4	DoorNpc	door_dungeon	0,1.2,2		10000015	8		0	-33.150002	0.000000	-1.350000	270.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_dummy_001	DoorNpc		0,1.2,0		40000010	9		3	0.000000	0.900000	0.000000	0.000000			900000	1	0.000000	0.100000	0.000000			0	0
door_guildwar_east_1	DoorNpc	door_dungeon	0,1.2,2		10000002	10		63	0.000000	0.000000	0.000000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_guildwar_south_1	DoorNpc	door_dungeon	0,1.2,2		10000002	10		63	0.000000	0.000000	0.000000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_guildwar_west_1	DoorNpc	door_dungeon	0,1.2,2		10000002	10		163	0.000000	0.000000	0.000000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_guildwar_north_1	DoorNpc	door_dungeon	0,1.2,2		10000002	10		163	0.000000	0.000000	0.000000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_guildwar_east_2	DoorNpc	door_dungeon	0,1.2,2		10000002	10		64	0.000000	0.000000	0.000000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_guildwar_west_2	DoorNpc	door_dungeon	0,1.2,2		10000002	10		64	0.000000	0.000000	0.000000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_guildwar_middle_3	DoorNpc	door_dungeon	0,1.2,2		10000002	10		0	0.000000	0.000000	0.000000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_guildleague_topfight_blue	DoorNpc	door_guildleague_topfight	0,1.2,2		10000026	11		1211	-92.589996	517.919983	115.739998	225.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_guildleague_topfight_red	DoorNpc	door_guildleague_topfight	0,1.2,2		10000026	11		1211	-120.879997	517.919983	87.309998	45.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_guildleague_topfight_blueback	DoorNpc	door_guildleague_topfightback	0,1.2,2		10000026	12		1211	79.430000	1.190000	78.680000	225.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_guildleague_topfight_redback	DoorNpc	door_guildleague_topfightback	0,1.2,2		10000026	12		1211	-79.190002	1.110000	-77.589996	45.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_30009_trans_04	DoorNpc	door_dungeon	0,1.2,2		2000003	8		1040	0.000000	0.000000	0.000000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_30009_trans_05	DoorNpc	door_dungeon	0,1.2,2		2000003	8		1040	0.000000	0.000000	0.000000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_homeland_tohouse	DoorNpc		0,1.2,2		10000016	1		48	0.000000	0.000000	0.000000	0.000000			900000	1	2.000000	0.100000	1.000000			0	0
door_homeland_toland	DoorNpc		0,1.2,2		10000016	1		41	-18.600000	0.700000	-1.400000	0.000000			900000	1	2.000000	0.100000	1.000000			0	0
door_holybattle_01	DoorNpc				10000002	13		68	0.000000	0.000000	0.000000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_holybattle_02	DoorNpc				10000002	13		68	20.000000	0.000000	20.000000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
npc_110050	DoorNpc		0,1.2,0		10000002	9		18	-21.100000	55.900002	46.200001	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
npc_110051	DoorNpc		0,1.2,0		10000002	9		18	-36.700001	58.799999	45.500000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
