流水	所在章节	关卡组	关卡ID	关卡类型	难度	场景ID	关卡标题	关卡头像	头像展示缩放	头像展示位置偏移	关卡位置坐标	前置关卡	前置星数	解锁等级	下一关	触发buff评分	小怪BUFF列表	精英怪buff列表	BOSS怪BUFF列表	首通奖励	推荐评分	副本介绍	显示用关卡序号	核心关展示奖励
92	6	601	60102	1	2	1548	EpicMissionTitle60102	m905_portrait02	1.200000	0,16,0	-551.3,10.8	6,601,60101	6,10	60	6,604,60402	215000	skill40402::buff_01			item1014,50;item171002000002,3;item8103010111018,4	215000	EpicMissionDECEpicMissionTitle60102	MissionShow601	item171002000002,3
93	6	601	60103	1	3	1584	EpicMissionTitle60103	m905_portrait02	1.200000	0,16,0	-551.3,10.8	6,601,60102	6,14	65	6,604,60403	310000	skill40402::buff_01			item1014,60;item200000800001,3;item171002000002,6	310000	EpicMissionDECEpicMissionTitle60103	MissionShow601	item171002000002,6
94	6	602	60201	2	1	1543	EpicMissionTitle60201	m012_portrait02	1.000000	0,8,0	-378.0,194.9	6,601,60101		60	6,603,60301	87000	skill40402::buff_01			item8103010121003,15;item1000,150000;item171002000001,10	87000	EpicMissionDECEpicMissionTitle60201	MissionShow602	
95	6	603	60301	2	1	1544	EpicMissionTitle60301	m019_portrait01	1.000000	0,10,0	-106.3,234.3	6,602,60201		60	6,604,60401	89000	skill40402::buff_01			item8103010121003,15;item1000,150000;item171002000001,10	89000	EpicMissionDECEpicMissionTitle60301	MissionShow603	
96	6	604	60401	1	1	1547	EpicMissionTitle60401	m904_portrait04	1.200000	0,16,0	72.9,92.5	6,603,60301		60	6,605,60501	95000	skill40402::buff_01	skill40402::buff_02		item1014,50;item8106210200001,6;item171002000001,15	95000	EpicMissionDECEpicMissionTitle60401	MissionShow604	item1014,50
97	6	604	60402	1	2	1585	EpicMissionTitle60402	m904_portrait04	1.200000	0,16,0	72.9,92.5	6,604,60401	6,10	60	6,607,60702	225000	skill40402::buff_01	skill40402::buff_02		item1014,50;item171002000002,3;item8103010111018,4	225000	EpicMissionDECEpicMissionTitle60402	MissionShow604	item171002000002,3
98	6	604	60403	1	3	1586	EpicMissionTitle60403	m904_portrait04	1.200000	0,16,0	72.9,92.5	6,604,60402	6,14	65	6,607,60703	340000	skill40402::buff_01	skill40402::buff_02		item1014,60;item200000800002,3;item171002000002,6	340000	EpicMissionDECEpicMissionTitle60403	MissionShow604	item171002000002,6
99	6	605	60501	2	1	1545	EpicMissionTitle60501	m013_portrait01	1.000000	0,10,0	-182.1,20.7	6,604,60401		60	6,606,60601	97000	skill40402::buff_01			item8103010121003,15;item1000,150000;item171002000001,10	97000	EpicMissionDECEpicMissionTitle60501	MissionShow605	
100	6	606	60601	2	1	1546	EpicMissionTitle60601	m015_portrait01	1.000000	0,4,0	-285.5,-154.6	6,605,60501		60	6,607,60701	99000	skill40402::buff_01			item8103010121003,15;item1000,150000;item171002000001,10	99000	EpicMissionDECEpicMissionTitle60601	MissionShow606	
101	6	607	60701	1	1	1549	EpicMissionTitle60701	m906_portrait03	1.200000	0,16,0	-1.0,-180	6,606,60601		60	6,608,60801	107000			skill40402::buff_03	item1014,50;item1000,150000;item171002000001,10	107000	EpicMissionDECEpicMissionTitle60701	MissionShow607	item1014,50
102	6	607	60702	1	2	1588	EpicMissionTitle60702	m906_portrait03	1.200000	0,16,0	-1.0,-180	6,607,60701	6,10	60	6,610,61002	237000			skill40402::buff_03	item1014,50;item171002000002,3;item8103010111018,4	237000	EpicMissionDECEpicMissionTitle60702	MissionShow607	item171002000002,3
103	6	607	60703	1	3	1589	EpicMissionTitle60703	m906_portrait03	1.200000	0,16,0	-1.0,-180	6,607,60702	6,14	65	6,610,61003	370000			skill40402::buff_03	item1014,60;item200000800002,3;item171002000002,6	370000	EpicMissionDECEpicMissionTitle60703	MissionShow607	item171002000002,6
104	6	608	60801	2	1	1487	EpicMissionTitle60801	m907_portrait03	1.000000	0,6,0	280.6,-168.3	6,607,60701		60	6,609,60901	109000	skill40402::buff_01		skill40402::buff_03	item8103010121003,15;item1000,150000;item171002000001,10	109000	EpicMissionDECEpicMissionTitle60801	MissionShow608	
105	6	609	60901	2	1	1587	EpicMissionTitle60901	m905_portrait04	1.000000	0,6,0	322.9,44.3	6,608,60801		60	6,610,61001	111000		skill40402::buff_02		item8103010121003,15;item1000,150000;item171002000001,10	111000	EpicMissionDECEpicMissionTitle60901	MissionShow609	
106	6	610	61001	1	1	1488	EpicMissionTitle61001	b003_portrait01	1.100000	0,10,0	524.7,126.0	6,609,60901		60	6,601,60102	120000			skill40402::buff_03	item1014,100;item8106210200001,7;item171002000001,20	120000	EpicMissionDECEpicMissionTitle61001	MissionShow610	item1014,100
107	6	610	61002	1	2	1591	EpicMissionTitle61002	b003_portrait01	1.100000	0,10,0	524.7,126.0	6,610,61001	6,10	60	6,601,60103	250000			skill40402::buff_03	item1014,100;item171002000002,6;item8103010111018,4	250000	EpicMissionDECEpicMissionTitle61002	MissionShow610	item171002000002,6
108	6	610	61003	1	3	1592	EpicMissionTitle61003	b003_portrait01	1.100000	0,10,0	524.7,126.0	6,610,61002	6,14	65		400000			skill40402::buff_03	item1014,120;item200000800003,3;item171002000002,12	400000	EpicMissionDECEpicMissionTitle61003	MissionShow610	item171002000002,12
109	7	701	70101	1	1	1489	EpicMissionTitle70101	m023_portrait01	1.200000	0,16,0	-530.0,196.0			60	7,702,70201	95000	skill40402::buff_01			item1014,50;item1000,150000;item171000101061,1	95000	EpicMissionDECEpicMissionTitle70101	MissionShow701	item1014,50
110	7	701	70102	1	2	1593	EpicMissionTitle70102	m023_portrait01	1.200000	0,16,0	-530.0,196.0	7,701,70101	7,10	60	7,704,70402	275000	skill40402::buff_01			item1014,50;item171000101061,2;item8103010111018,4	275000	EpicMissionDECEpicMissionTitle70102	MissionShow701	item171000101061,2
111	7	701	70103	1	3	1594	EpicMissionTitle70103	m023_portrait01	1.200000	0,16,0	-530.0,196.0	7,701,70102	7,14	65	7,704,70403	410000	skill40402::buff_01			item1014,60;item200000800001,4;item171000101061,4	410000	EpicMissionDECEpicMissionTitle70103	MissionShow701	item171000101061,4
112	7	702	70201	2	1	1490	EpicMissionTitle70201	m024_portrait01	0.800000	0,4,0	-363.0,38.0	7,701,70101		60	7,703,70301	97000	skill40402::buff_01	skill40402::buff_02		item8103010121003,15;item1000,150000;item171000101061,1	97000	EpicMissionDECEpicMissionTitle70201	MissionShow702	
113	7	703	70301	2	1	1491	EpicMissionTitle70301	m908_portrait01	1.000000	0,6,0	-480.0,-132.0	7,702,70201		60	7,704,70401	99000	skill40402::buff_01			item8103010121003,15;item1000,150000;item171000101061,1	99000	EpicMissionDECEpicMissionTitle70301	MissionShow703	
114	7	704	70401	1	1	1492	EpicMissionTitle70401	m909_portrait01	1.200000	0,14,0	-173.0,-214.0	7,703,70301		60	7,705,70501	105000	skill40402::buff_01	skill40402::buff_02		item1014,50;item8106210200001,6;item171000101061,2	105000	EpicMissionDECEpicMissionTitle70401	MissionShow704	item1014,50
115	7	704	70402	1	2	1595	EpicMissionTitle70402	m909_portrait01	1.200000	0,14,0	-173.0,-214.0	7,704,70401	7,10	60	7,707,70702	285000	skill40402::buff_01	skill40402::buff_02		item1014,50;item171000101061,2;item8103010111018,4	285000	EpicMissionDECEpicMissionTitle70402	MissionShow704	item171000101061,2
116	7	704	70403	1	3	1596	EpicMissionTitle70403	m909_portrait01	1.200000	0,14,0	-173.0,-214.0	7,704,70402	7,14	65	7,707,70703	440000	skill40402::buff_01	skill40402::buff_02		item1014,60;item200000800002,4;item171000101061,4	440000	EpicMissionDECEpicMissionTitle70403	MissionShow704	item171000101061,4
117	7	705	70501	2	1	1493	EpicMissionTitle70501	m025_portrait03	1.000000	0,10,0	-74.0,-46.0	7,704,70401		60	7,706,70601	107000	skill40402::buff_01			item8103010121003,15;item1000,150000;item171000101061,1	107000	EpicMissionDECEpicMissionTitle70501	MissionShow705	
118	7	706	70601	2	1	1494	EpicMissionTitle70601	m026_portrait01	1.000000	0,10,0	-139.0,168.0	7,705,70501		60	7,707,70701	109000	skill40402::buff_01			item8103010121003,15;item1000,150000;item171000101061,1	109000	EpicMissionDECEpicMissionTitle70601	MissionShow706	
119	7	707	70701	1	1	1495	EpicMissionTitle70701	m911_portrait01	1.200000	0,16,0	164.0,242.0	7,706,70601		60	7,708,70801	117000	skill40402::buff_01			item1014,50;item1000,150000;item171000101061,1	117000	EpicMissionDECEpicMissionTitle70701	MissionShow707	item1014,50
120	7	707	70702	1	2	1597	EpicMissionTitle70702	m911_portrait01	1.200000	0,16,0	164.0,242.0	7,707,70701	7,10	60	7,710,71002	297000	skill40402::buff_01			item1014,50;item171000101061,2;item8103010111018,4	297000	EpicMissionDECEpicMissionTitle70702	MissionShow707	item171000101061,2
121	7	707	70703	1	3	1598	EpicMissionTitle70703	m911_portrait01	1.200000	0,16,0	164.0,242.0	7,707,70702	7,14	65	7,710,71003	470000	skill40402::buff_01			item1014,60;item200000800002,4;item171000101061,4	470000	EpicMissionDECEpicMissionTitle70703	MissionShow707	item171000101061,4
122	7	708	70801	2	1	1496	EpicMissionTitle70801	m027_portrait01	1.000000	0,10,0	180.0,5.0	7,707,70701		60	7,709,70901	119000	skill40402::buff_01			item8103010121003,15;item1000,150000;item171000101061,1	119000	EpicMissionDECEpicMissionTitle70801	MissionShow708	
123	7	709	70901	2	1	1497	EpicMissionTitle70901	m912_portrait01	1.000000	0,6,0	336.0,-137.0	7,708,70801		60	7,710,71001	121000		skill40402::buff_02		item8103010121003,15;item1000,150000;item171000101061,1	121000	EpicMissionDECEpicMissionTitle70901	MissionShow709	
124	7	710	71001	1	1	1498	EpicMissionTitle71001	b001_portrait01	1.200000	0,16,0	504.0,118.0	7,709,70901		60	7,701,70102	130000			skill40402::buff_03	item1014,100;item8106210200001,7;item171000101061,3	130000	EpicMissionDECEpicMissionTitle71001	MissionShow710	item1014,100
125	7	710	71002	1	2	1599	EpicMissionTitle71002	b001_portrait01	1.200000	0,16,0	504.0,118.0	7,710,71001	7,10	60	7,701,70103	310000			skill40402::buff_03	item1014,100;item171000101061,4;item8103010111018,4	310000	EpicMissionDECEpicMissionTitle71002	MissionShow710	item171000101061,4
126	7	710	71003	1	3	1600	EpicMissionTitle71003	b001_portrait01	1.200000	0,16,0	504.0,118.0	7,710,71002	7,14	65		500000			skill40402::buff_03	item1014,120;item200000800003,4;item171000101061,8	500000	EpicMissionDECEpicMissionTitle71003	MissionShow710	item171000101061,8
127	8	801	80101	1	1	1565	EpicMissionTitle80101	m028_portrait10	1.200000	0,16,0	-466.0,187.0			60	8,802,80201	105000		skill40402::buff_02		item1014,50;item1000,200000;item105000000032,5	105000	EpicMissionDECEpicMissionTitle80101	MissionShow801	item1014,50
128	8	801	80102	1	2	1684	EpicMissionTitle80102	m028_portrait10	1.200000	0,16,0	-466.0,187.0	8,801,80101	8,10	60	8,804,80402	335000		skill40402::buff_02		item1014,50;item105000000033,2;item8103010111018,5	335000	EpicMissionDECEpicMissionTitle80102	MissionShow801	item105000000033,2
129	8	801	80103	1	3	1685	EpicMissionTitle80103	m028_portrait10	1.200000	0,16,0	-466.0,187.0	8,801,80102	8,14	65	8,804,80403	510000		skill40402::buff_02		item1014,60;item200000800009,2;item105000000033,4	510000	EpicMissionDECEpicMissionTitle80103	MissionShow801	item105000000033,4
130	8	802	80201	2	1	1566	EpicMissionTitle80201	m029_portrait01	1.000000	4,10,0	-566.0,-45.0	8,801,80101		60	8,803,80301	107000	skill40402::buff_01			item8103010121003,20;item1000,200000;item105000000032,5	107000	EpicMissionDECEpicMissionTitle80201	MissionShow802	
131	8	803	80301	2	1	1567	EpicMissionTitle80301	m916_portrait05	1.000000	0,6,0	-407.0,-216.0	8,802,80201		60	8,804,80401	109000	skill40402::buff_01	skill40402::buff_02		item8103010121003,20;item1000,200000;item105000000032,5	109000	EpicMissionDECEpicMissionTitle80301	MissionShow803	
132	8	804	80401	1	1	1568	EpicMissionTitle80401	m917_portrait04	1.200000	0,16,0	-276.0,3.0	8,803,80301		60	8,805,80501	115000	skill40402::buff_01	skill40402::buff_02		item1014,50;item106210200001,7;item105000000032,5	115000	EpicMissionDECEpicMissionTitle80401	MissionShow804	item1014,50
133	8	804	80402	1	2	1686	EpicMissionTitle80402	m917_portrait04	1.200000	0,16,0	-276.0,3.0	8,804,80401	8,10	60	8,807,80702	345000	skill40402::buff_01	skill40402::buff_02		item1014,50;item105000000033,2;item8103010111018,5	345000	EpicMissionDECEpicMissionTitle80402	MissionShow804	item105000000033,2
134	8	804	80403	1	3	1687	EpicMissionTitle80403	m917_portrait04	1.200000	0,16,0	-276.0,3.0	8,804,80402	8,14	65	8,807,80703	540000	skill40402::buff_01	skill40402::buff_02		item1014,60;item200000800010,2;item105000000033,4	540000	EpicMissionDECEpicMissionTitle80403	MissionShow804	item105000000033,4
135	8	805	80501	2	1	1569	EpicMissionTitle80501	m030_portrait04	1.000000	4,10,0	-88.0,-154.0	8,804,80401		60	8,806,80601	117000	skill40402::buff_01			item8103010121003,20;item1000,200000;item105000000032,5	117000	EpicMissionDECEpicMissionTitle80501	MissionShow805	
136	8	806	80601	2	1	1570	EpicMissionTitle80601	r001_portrait05	1.000000	0,10,0	42.0,45.0	8,805,80501		60	8,807,80701	119000	skill40402::buff_01			item8103010121003,20;item1000,200000;item105000000032,5	119000	EpicMissionDECEpicMissionTitle80601	MissionShow806	
137	8	807	80701	1	1	1573	EpicMissionTitle80701	m918_portrait01	1.200000	0,16,0	260.0,218.0	8,806,80601		60	8,808,80801	127000	skill40402::buff_01		skill40402::buff_03	item1014,50;item1000,200000;item105000000032,5	127000	EpicMissionDECEpicMissionTitle80701	MissionShow807	item1014,50
138	8	807	80702	1	2	1688	EpicMissionTitle80702	m918_portrait01	1.200000	0,16,0	260.0,218.0	8,807,80701	8,10	60	8,810,81002	357000	skill40402::buff_01		skill40402::buff_03	item1014,50;item105000000033,2;item8103010111018,5	357000	EpicMissionDECEpicMissionTitle80702	MissionShow807	item105000000033,2
139	8	807	80703	1	3	1689	EpicMissionTitle80703	m918_portrait01	1.200000	0,16,0	260.0,218.0	8,807,80702	8,14	65	8,810,81003	570000	skill40402::buff_01		skill40402::buff_03	item1014,60;item200000800010,2;item105000000033,4	570000	EpicMissionDECEpicMissionTitle80703	MissionShow807	item105000000033,4
140	8	808	80801	2	1	1572	EpicMissionTitle80801	m919_portrait01	1.000000	0,10,0	287.0,-8.0	8,807,80701		60	8,809,80901	129000	skill40402::buff_01			item8103010121003,20;item1000,200000;item105000000032,5	129000	EpicMissionDECEpicMissionTitle80801	MissionShow808	
141	8	809	80901	2	1	1571	EpicMissionTitle80901	b012_portrait01	1.000000	0,6,0	480.0,-130.0	8,808,80801		60	8,810,81001	131000	skill40402::buff_01			item8103010121003,20;item1000,200000;item105000000032,5	131000	EpicMissionDECEpicMissionTitle80901	MissionShow809	
142	8	810	81001	1	1	1574	EpicMissionTitle81001	b902_portrait01	1.200000	0,16,0	545.0,114.0	8,809,80901		60	8,801,80102	140000	skill40402::buff_01		skill40402::buff_03	item1014,100;item106210200001,8;item105000000032,5	140000	EpicMissionDECEpicMissionTitle81001	MissionShow810	item1014,100
143	8	810	81002	1	2	1690	EpicMissionTitle81002	b902_portrait01	1.200000	0,16,0	545.0,114.0	8,810,81001	8,10	60	8,801,80103	370000	skill40402::buff_01		skill40402::buff_03	item1014,100;item105000000033,4;item8103010111018,5	370000	EpicMissionDECEpicMissionTitle81002	MissionShow810	item105000000033,4
144	8	810	81003	1	3	1691	EpicMissionTitle81003	b902_portrait01	1.200000	0,16,0	545.0,114.0	8,810,81002	8,14	65		600000	skill40402::buff_01		skill40402::buff_03	item1014,120;item200000800011,2;item105000000033,8	600000	EpicMissionDECEpicMissionTitle81003	MissionShow810	item105000000033,8
145	9	901	90101	1	1	1695	EpicMissionTitle90101	m922_portrait01	1.200000	0,16,0	-378.0,199.9			70	9,902,90201	115000			skill40402::buff_03	item1014,50;item1000,200000;item102000020251,1	115000	EpicMissionDECEpicMissionTitle90101	MissionShow901	item1014,50
146	9	901	90102	1	2	1742	EpicMissionTitle90102	m922_portrait01	1.200000	0,16,0	-378.0,199.9	9,901,90101	9,10	70	9,904,90402	395000			skill40402::buff_03	item1014,50;item102000020251,2;item8103010111018,5	395000	EpicMissionDECEpicMissionTitle90102	MissionShow901	item102000020251,2
147	9	901	90103	1	3	1743	EpicMissionTitle90103	m922_portrait01	1.200000	0,16,0	-378.0,199.9	9,901,90102	9,14	75	9,904,90403	610000			skill40402::buff_03	item1014,60;item200000800009,3;item102000020251,4	610000	EpicMissionDECEpicMissionTitle90103	MissionShow901	item102000020251,4
148	9	902	90201	2	1	1692	EpicMissionTitle90201	m002_portrait01	1.000000	0,10,0	-549.4,-12.8	9,901,90101		70	9,903,90301	117000	skill40402::buff_01			item8103010121003,20;item1000,200000;item102000020251,1	117000	EpicMissionDECEpicMissionTitle90201	MissionShow902	
149	9	903	90301	2	1	1693	EpicMissionTitle90301	m004_portrait01	1.000000	3,6,0	-377.1,-209.7	9,902,90201		70	9,904,90401	119000	skill40402::buff_01			item8103010121003,20;item1000,200000;item102000020251,1	119000	EpicMissionDECEpicMissionTitle90301	MissionShow903	
150	9	904	90401	1	1	1696	EpicMissionTitle90401	m005_portrait02	1.200000	0,16,0	-223.5,-16.7	9,903,90301		70	9,905,90501	125000	skill40402::buff_01	skill40402::buff_02		item1014,50;item8106210200001,7;item102000020251,2	125000	EpicMissionDECEpicMissionTitle90401	MissionShow904	item1014,50
151	9	904	90402	1	2	1744	EpicMissionTitle90402	m005_portrait02	1.200000	0,16,0	-223.5,-16.7	9,904,90401	9,10	70	9,907,90702	405000	skill40402::buff_01	skill40402::buff_02		item1014,50;item102000020251,2;item8103010111018,5	405000	EpicMissionDECEpicMissionTitle90402	MissionShow904	item102000020251,2
152	9	904	90403	1	3	1745	EpicMissionTitle90403	m005_portrait02	1.200000	0,16,0	-223.5,-16.7	9,904,90402	9,14	75	9,907,90703	640000	skill40402::buff_01	skill40402::buff_02		item1014,60;item200000800010,3;item102000020251,4	640000	EpicMissionDECEpicMissionTitle90403	MissionShow904	item102000020251,4
153	9	905	90501	2	1	1700	EpicMissionTitle90501	m007_portrait04	1.000000	0,6,0	-36.4,-156.5	9,904,90401		70	9,906,90601	127000		skill40402::buff_02		item8103010121003,20;item1000,200000;item102000020251,1	127000	EpicMissionDECEpicMissionTitle90501	MissionShow905	
154	9	906	90601	2	1	1697	EpicMissionTitle90601	m006_portrait01	1.000000	0,8,0	18.7,67.9	9,905,90501		70	9,907,90701	129000		skill40402::buff_02		item8103010121003,20;item1000,200000;item102000020251,1	129000	EpicMissionDECEpicMissionTitle90601	MissionShow906	
155	9	907	90701	1	1	1706	EpicMissionTitle90701	m920_portrait01	1.200000	0,16,0	201.8,221.5	9,906,90601		70	9,908,90801	137000	skill40402::buff_01		skill40402::buff_03	item1014,50;item1000,200000;item102000020251,1	137000	EpicMissionDECEpicMissionTitle90701	MissionShow907	item1014,50
156	9	907	90702	1	2	1746	EpicMissionTitle90702	m920_portrait01	1.200000	0,16,0	201.8,221.5	9,907,90701	9,10	70	9,910,91002	417000	skill40402::buff_01		skill40402::buff_03	item1014,50;item102000020251,2;item8103010111018,5	417000	EpicMissionDECEpicMissionTitle90702	MissionShow907	item102000020251,2
157	9	907	90703	1	3	1747	EpicMissionTitle90703	m920_portrait01	1.200000	0,16,0	201.8,221.5	9,907,90702	9,14	75	9,910,91003	670000	skill40402::buff_01		skill40402::buff_03	item1014,60;item200000800010,3;item102000020251,4	670000	EpicMissionDECEpicMissionTitle90703	MissionShow907	item102000020251,4
158	9	908	90801	2	1	1694	EpicMissionTitle90801	m003_portrait01	1.000000	0,6,0	249.1,-8.9	9,907,90701		70	9,909,90901	139000	skill40402::buff_01			item8103010121003,20;item1000,200000;item102000020251,1	139000	EpicMissionDECEpicMissionTitle90801	MissionShow908	
159	9	909	90901	2	1	1707	EpicMissionTitle90901	m007_portrait02	1.000000	0,6,0	408.6,-154.6	9,908,90801		70	9,910,91001	141000		skill40402::buff_02		item8103010121003,20;item1000,200000;item102000020251,1	141000	EpicMissionDECEpicMissionTitle90901	MissionShow909	
160	9	910	91001	1	1	1708	EpicMissionTitle91001	b004_portrait03	1.200000	0,16,0	526.7,92.5	9,909,90901		70	9,901,90102	150000			skill40402::buff_03	item1014,100;item8106210200001,8;item102000020251,3	150000	EpicMissionDECEpicMissionTitle91001	MissionShow910	item1014,100
161	9	910	91002	1	2	1748	EpicMissionTitle91002	b004_portrait03	1.200000	0,16,0	526.7,92.5	9,910,91001	9,10	70	9,901,90103	430000			skill40402::buff_03	item1014,100;item102000020251,4;item8103010111018,5	430000	EpicMissionDECEpicMissionTitle91002	MissionShow910	item102000020251,4
162	9	910	91003	1	3	1749	EpicMissionTitle91003	b004_portrait03	1.200000	0,16,0	526.7,92.5	9,910,91002	9,14	75		700000			skill40402::buff_03	item1014,120;item200000800011,3;item102000020251,8	700000	EpicMissionDECEpicMissionTitle91003	MissionShow910	item102000020251,8
163	10	1001	100101	1	1	1741	EpicMissionTitle100101	m905_portrait02	1.200000	0,16,0	-551.3,10.8			70	10,1002,100201	125000	skill40402::buff_01			item1014,50;item1000,250000;item107300000001,20	125000	EpicMissionDECEpicMissionTitle100101	MissionShow1001	item1014,50
164	10	1001	100102	1	2	1714	EpicMissionTitle100102	m905_portrait02	1.200000	0,16,0	-551.3,10.8	10,1001,100101	10,10	70	10,1004,100402	455000	skill40402::buff_01			item1014,50;item107300000002,5;item8103010111018,6	455000	EpicMissionDECEpicMissionTitle100102	MissionShow1001	item107300000002,5
165	10	1001	100103	1	3	1750	EpicMissionTitle100103	m905_portrait02	1.200000	0,16,0	-551.3,10.8	10,1001,100102	10,14	75	10,1004,100403	710000	skill40402::buff_01			item1014,60;item200000800009,4;item107300000002,10	710000	EpicMissionDECEpicMissionTitle100103	MissionShow1001	item107300000002,10
166	10	1002	100201	2	1	1709	EpicMissionTitle100201	m012_portrait02	1.000000	0,8,0	-378.0,194.9	10,1001,100101		70	10,1003,100301	127000	skill40402::buff_01			item8103010121003,25;item1000,250000;item107300000001,20	127000	EpicMissionDECEpicMissionTitle100201	MissionShow1002	
167	10	1003	100301	2	1	1710	EpicMissionTitle100301	m019_portrait01	1.000000	0,10,0	-106.3,234.3	10,1002,100201		70	10,1004,100401	129000	skill40402::buff_01			item8103010121003,25;item1000,250000;item107300000001,20	129000	EpicMissionDECEpicMissionTitle100301	MissionShow1003	
168	10	1004	100401	1	1	1713	EpicMissionTitle100401	m904_portrait04	1.200000	0,16,0	72.9,92.5	10,1003,100301		70	10,1005,100501	135000	skill40402::buff_01	skill40402::buff_02		item1014,50;item8106210200001,8;item107300000001,15	135000	EpicMissionDECEpicMissionTitle100401	MissionShow1004	item1014,50
169	10	1004	100402	1	2	1763	EpicMissionTitle100402	m904_portrait04	1.200000	0,16,0	72.9,92.5	10,1004,100401	10,10	70	10,1007,100702	465000	skill40402::buff_01	skill40402::buff_02		item1014,50;item107300000002,5;item8103010111018,6	465000	EpicMissionDECEpicMissionTitle100402	MissionShow1004	item107300000002,5
170	10	1004	100403	1	3	1764	EpicMissionTitle100403	m904_portrait04	1.200000	0,16,0	72.9,92.5	10,1004,100402	10,14	75	10,1007,100703	740000	skill40402::buff_01	skill40402::buff_02		item1014,60;item200000800010,4;item107300000002,10	740000	EpicMissionDECEpicMissionTitle100403	MissionShow1004	item107300000002,10
171	10	1005	100501	2	1	1711	EpicMissionTitle100501	m013_portrait01	1.000000	0,10,0	-182.1,20.7	10,1004,100401		70	10,1006,100601	137000	skill40402::buff_01			item8103010121003,25;item1000,250000;item107300000001,20	137000	EpicMissionDECEpicMissionTitle100501	MissionShow1005	
172	10	1006	100601	2	1	1712	EpicMissionTitle100601	m015_portrait01	1.000000	0,4,0	-285.5,-154.6	10,1005,100501		70	10,1007,100701	139000	skill40402::buff_01			item8103010121003,25;item1000,250000;item107300000001,20	139000	EpicMissionDECEpicMissionTitle100601	MissionShow1006	
173	10	1007	100701	1	1	1715	EpicMissionTitle100701	m906_portrait03	1.200000	0,16,0	-1.0,-180	10,1006,100601		70	10,1008,100801	147000			skill40402::buff_03	item1014,50;item1000,250000;item107300000001,20	147000	EpicMissionDECEpicMissionTitle100701	MissionShow1007	item1014,50
174	10	1007	100702	1	2	1766	EpicMissionTitle100702	m906_portrait03	1.200000	0,16,0	-1.0,-180	10,1007,100701	10,10	70	10,1010,101002	477000			skill40402::buff_03	item1014,50;item107300000002,5;item8103010111018,6	477000	EpicMissionDECEpicMissionTitle100702	MissionShow1007	item107300000002,5
175	10	1007	100703	1	3	1767	EpicMissionTitle100703	m906_portrait03	1.200000	0,16,0	-1.0,-180	10,1007,100702	10,14	75	10,1010,101003	770000			skill40402::buff_03	item1014,60;item200000800010,4;item107300000002,10	770000	EpicMissionDECEpicMissionTitle100703	MissionShow1007	item107300000002,10
176	10	1008	100801	2	1	1716	EpicMissionTitle100801	m907_portrait03	1.000000	0,6,0	280.6,-168.3	10,1007,100701		70	10,1009,100901	149000	skill40402::buff_01		skill40402::buff_03	item8103010121003,25;item1000,250000;item107300000001,20	149000	EpicMissionDECEpicMissionTitle100801	MissionShow1008	
177	10	1009	100901	2	1	1765	EpicMissionTitle100901	m905_portrait04	1.000000	0,6,0	322.9,44.3	10,1008,100801		70	10,1010,101001	151000		skill40402::buff_02		item8103010121003,25;item1000,250000;item107300000001,20	151000	EpicMissionDECEpicMissionTitle100901	MissionShow1009	
178	10	1010	101001	1	1	1717	EpicMissionTitle101001	b003_portrait01	1.100000	0,10,0	524.7,126.0	10,1009,100901		70	10,1001,100102	160000			skill40402::buff_03	item1014,100;item8106210200001,9;item107300000001,20	160000	EpicMissionDECEpicMissionTitle101001	MissionShow1010	item1014,100
179	10	1010	101002	1	2	1769	EpicMissionTitle101002	b003_portrait01	1.100000	0,10,0	524.7,126.0	10,1010,101001	10,10	70	10,1001,100103	490000			skill40402::buff_03	item1014,100;item107300000002,10;item8103010111018,6	490000	EpicMissionDECEpicMissionTitle101002	MissionShow1010	item107300000002,10
180	10	1010	101003	1	3	1770	EpicMissionTitle101003	b003_portrait01	1.100000	0,10,0	524.7,126.0	10,1010,101002	10,14	75		800000			skill40402::buff_03	item1014,120;item200000800011,4;item107300000002,20	800000	EpicMissionDECEpicMissionTitle101003	MissionShow1010	item107300000002,20
181	11	1101	110101	1	1	1718	EpicMissionTitle110101	m023_portrait01	1.200000	0,16,0	-530.0,196.0			70	11,1102,110201	135000	skill40402::buff_01			item1014,50;item1000,250000;item18000000000003,10	135000	EpicMissionDECEpicMissionTitle110101	MissionShow1101	item1014,50
182	11	1101	110102	1	2	1771	EpicMissionTitle110102	m023_portrait01	1.200000	0,16,0	-530.0,196.0	11,1101,110101	11,10	70	11,1104,110402	515000	skill40402::buff_01			item1014,50;item18000000000011,2;item8103010111018,6	515000	EpicMissionDECEpicMissionTitle110102	MissionShow1101	item18000000000011,2
183	11	1101	110103	1	3	1772	EpicMissionTitle110103	m023_portrait01	1.200000	0,16,0	-530.0,196.0	11,1101,110102	11,14	75	11,1104,110403	810000	skill40402::buff_01			item1014,60;item200000800013,2;item18000000000011,4	810000	EpicMissionDECEpicMissionTitle110103	MissionShow1101	item18000000000011,4
184	11	1102	110201	2	1	1719	EpicMissionTitle110201	m024_portrait01	0.800000	0,4,0	-363.0,38.0	11,1101,110101		70	11,1103,110301	137000	skill40402::buff_01	skill40402::buff_02		item8103010121003,25;item1000,250000;item18000000000003,10	137000	EpicMissionDECEpicMissionTitle110201	MissionShow1102	
