符文id	符文道具id	符文道具id	符文类别	符文品阶	符文等阶	符文属性	升阶后符文Id	升阶消耗	符文星座	分解返还天赋经验	分解获得道具	道具消耗	货币消耗	第一条属性洗练库	第二条属性洗练库	第三条属性洗练库	符文底框
320301	item160000320301	item162000320301	3	1	1	1,600;31,100	320302	1,10000	18	500	item160000000001,20	item160000000001,1	1,50000	11001	0	0	rune_hp2
320302	item160000320302	item162000320302	3	2	2	1,720;31,120	320303	1,15000	18	1000	item160000000001,20	item160000000001,1	1,50000	11002	0	0	rune_hp3
320303	item160000320303	item162000320303	3	2	3	1,840;31,140	320304	1,20000	18	2000	item160000000001,20	item160000000001,1	1,50000	11003	11003	0	rune_hp3
320304	item160000320304	item162000320304	3	3	4	1,960;31,160	320305	1,25000	18	4000	item160000000001,20	item160000000001,1	1,50000	11003	11003	13004	rune_hp4
320305	item160000320305	item162000320305	3	3	5	1,1080;31,180	320306	1,30000	18	8000	item160000000001,20	item160000000001,1	1,50000	11003	11003	13004	rune_hp4
320306	item160000320306	item162000320306	3	3	6	1,1200;31,200	320307	1,35000	18	16000	item160000000001,20	item160000000001,1	1,300000	931006	932006	933006	rune_hp4
320307	item160000320307	item162000320307	3	4	7	1,1320;31,220	320308	1,40000	18	32000	item160000000001,20	item160000000001,1	1,400000	931006	932006	933006	rune_hp5
320308	item160000320308	item162000320308	3	4	8	1,1440;31,240	320309	1,45000	18	64000	item160000000001,20	item160000000001,1	1,500000	931006	932006	933006	rune_hp5
320309	item160000320309	item162000320309	3	4	9	1,1560;31,260	320310	1,50000	18	128000	item160000000001,20	item160000000001,1	1,600000	931006	932006	933006	rune_hp5
320310	item160000320310	item162000320310	3	4	10	1,1680;31,280	0	1,55000	18	256000	item160000000001,20	item160000000001,1	1,700000	931006	932006	933006	rune_hp5
320401	item160000320401	item162000320401	3	1	1	1,600;34,100	320402	1,10000	19	500	item160000000001,20	item160000000001,1	1,50000	11001	0	0	rune_hp2
320402	item160000320402	item162000320402	3	2	2	1,720;34,120	320403	1,15000	19	1000	item160000000001,20	item160000000001,1	1,50000	11002	0	0	rune_hp3
320403	item160000320403	item162000320403	3	2	3	1,840;34,140	320404	1,20000	19	2000	item160000000001,20	item160000000001,1	1,50000	11003	11003	0	rune_hp3
320404	item160000320404	item162000320404	3	3	4	1,960;34,160	320405	1,25000	19	4000	item160000000001,20	item160000000001,1	1,50000	11003	11003	13004	rune_hp4
320405	item160000320405	item162000320405	3	3	5	1,1080;34,180	320406	1,30000	19	8000	item160000000001,20	item160000000001,1	1,50000	11003	11003	13004	rune_hp4
320406	item160000320406	item162000320406	3	3	6	1,1200;34,200	320407	1,35000	19	16000	item160000000001,20	item160000000001,1	1,300000	931006	932006	933006	rune_hp4
320407	item160000320407	item162000320407	3	4	7	1,1320;34,220	320408	1,40000	19	32000	item160000000001,20	item160000000001,1	1,400000	931006	932006	933006	rune_hp5
320408	item160000320408	item162000320408	3	4	8	1,1440;34,240	320409	1,45000	19	64000	item160000000001,20	item160000000001,1	1,500000	931006	932006	933006	rune_hp5
320409	item160000320409	item162000320409	3	4	9	1,1560;34,260	320410	1,50000	19	128000	item160000000001,20	item160000000001,1	1,600000	931006	932006	933006	rune_hp5
320410	item160000320410	item162000320410	3	4	10	1,1680;34,280	0	1,55000	19	256000	item160000000001,20	item160000000001,1	1,700000	931006	932006	933006	rune_hp5
320501	item160000320501	item162000320501	3	1	1	11,150;206,100	320502	1,10000	20	500	item160000000001,100	item160000000001,1	1,50000	11001	0	0	rune_hp2
320502	item160000320502	item162000320502	3	2	2	11,170;206,120	320503	1,15000	20	1000	item160000000001,100	item160000000001,1	1,50000	11002	0	0	rune_hp3
320503	item160000320503	item162000320503	3	2	3	11,190;206,140	320504	1,20000	20	2000	item160000000001,100	item160000000001,1	1,50000	11003	11003	0	rune_hp3
320504	item160000320504	item162000320504	3	3	4	11,210;206,160	320505	1,25000	20	4000	item160000000001,100	item160000000001,1	1,50000	11003	11003	13004	rune_hp4
320505	item160000320505	item162000320505	3	3	5	11,230;206,180	320506	1,30000	20	8000	item160000000001,100	item160000000001,1	1,50000	11003	11003	13004	rune_hp4
320506	item160000320506	item162000320506	3	3	6	11,250;206,200	320507	1,35000	20	16000	item160000000001,100	item160000000001,1	1,300000	931006	932006	933006	rune_hp4
320507	item160000320507	item162000320507	3	4	7	11,270;206,220	320508	1,40000	20	32000	item160000000001,100	item160000000001,1	1,400000	931006	932006	933006	rune_hp5
320508	item160000320508	item162000320508	3	4	8	11,290;206,240	320509	1,45000	20	64000	item160000000001,100	item160000000001,1	1,500000	931006	932006	933006	rune_hp5
320509	item160000320509	item162000320509	3	4	9	11,310;206,260	320510	1,50000	20	128000	item160000000001,100	item160000000001,1	1,600000	931006	932006	933006	rune_hp5
320510	item160000320510	item162000320510	3	4	10	11,330;206,280	0	1,55000	20	256000	item160000000001,100	item160000000001,1	1,700000	931006	932006	933006	rune_hp5
320601	item160000320601	item162000320601	3	1	1	11,100;52,120	320602	1,10000	22	500	item160000000001,20	item160000000001,1	1,50000	11001	0	0	rune_hpsp2
320602	item160000320602	item162000320602	3	2	2	11,120;52,140	320603	1,15000	22	1000	item160000000001,20	item160000000001,1	1,50000	11002	0	0	rune_hpsp3
320603	item160000320603	item162000320603	3	2	3	11,140;52,160	320604	1,20000	22	2000	item160000000001,20	item160000000001,1	1,50000	11003	11003	0	rune_hpsp3
320604	item160000320604	item162000320604	3	3	4	11,160;52,180	320605	1,25000	22	4000	item160000000001,20	item160000000001,1	1,50000	11003	11003	13004	rune_hpsp4
320605	item160000320605	item162000320605	3	3	5	11,180;52,200	320606	1,30000	22	8000	item160000000001,20	item160000000001,1	1,50000	11003	11003	13004	rune_hpsp4
320606	item160000320606	item162000320606	3	3	6	11,200;52,220	320607	1,35000	22	16000	item160000000001,20	item160000000001,1	1,300000	931006	932006	933006	rune_hpsp4
320607	item160000320607	item162000320607	3	4	7	11,220;52,240	320608	1,40000	22	32000	item160000000001,20	item160000000001,1	1,400000	931006	932006	933006	rune_hpsp5
320608	item160000320608	item162000320608	3	4	8	11,240;52,260	320609	1,45000	22	64000	item160000000001,20	item160000000001,1	1,500000	931006	932006	933006	rune_hpsp5
320609	item160000320609	item162000320609	3	4	9	11,260;52,280	320610	1,50000	22	128000	item160000000001,20	item160000000001,1	1,600000	931006	932006	933006	rune_hpsp5
320610	item160000320610	item162000320610	3	4	10	11,280;52,300	0	1,55000	22	256000	item160000000001,20	item160000000001,1	1,700000	931006	932006	933006	rune_hpsp5
120601	item160000120601	item162000120601	1	1	1	206,150;34,100	120602	1,10000	23	500	item160000000001,100	item160000000001,1	1,50000	11001	0	0	rune_atksp2
120602	item160000120602	item162000120602	1	2	2	206,200;34,200	120603	1,15000	23	1000	item160000000001,100	item160000000001,1	1,50000	11002	0	0	rune_atksp3
120603	item160000120603	item162000120603	1	2	3	206,250;34,300	120604	1,20000	23	2000	item160000000001,100	item160000000001,1	1,50000	11003	11003	0	rune_atksp3
120604	item160000120604	item162000120604	1	3	4	206,300;34,400	120605	1,25000	23	4000	item160000000001,100	item160000000001,1	1,50000	11003	11003	13004	rune_atksp4
120605	item160000120605	item162000120605	1	3	5	206,350;34,500	120606	1,30000	23	8000	item160000000001,100	item160000000001,1	1,50000	11003	11003	13004	rune_atksp4
120606	item160000120606	item162000120606	1	3	6	206,400;34,600	120607	1,35000	23	16000	item160000000001,100	item160000000001,1	1,300000	911006	912006	913006	rune_atksp4
120607	item160000120607	item162000120607	1	4	7	206,450;34,700	120608	1,40000	23	32000	item160000000001,100	item160000000001,1	1,400000	911006	912006	913006	rune_atksp5
120608	item160000120608	item162000120608	1	4	8	206,500;34,800	120609	1,45000	23	64000	item160000000001,100	item160000000001,1	1,500000	911006	912006	913006	rune_atksp5
120609	item160000120609	item162000120609	1	4	9	206,550;34,900	120610	1,50000	23	128000	item160000000001,100	item160000000001,1	1,600000	911006	912006	913006	rune_atksp5
120610	item160000120610	item162000120610	1	4	10	206,600;34,1000	0	1,55000	23	256000	item160000000001,100	item160000000001,1	1,700000	911006	912006	913006	rune_atksp5
120701	item160000120701	item162000120701	1	1	1	3,80;30,100;34,100	120702	1,10000	25	500	item160000000001,100	item160000000001,1	1,50000	11001	0	0	rune_atksp2
120702	item160000120702	item162000120702	1	2	2	3,100;30,130;34,130	120703	1,15000	25	1000	item160000000001,100	item160000000001,1	1,50000	11002	0	0	rune_atksp3
120703	item160000120703	item162000120703	1	2	3	3,120;30,160;34,160	120704	1,20000	25	2000	item160000000001,100	item160000000001,1	1,50000	11003	11003	0	rune_atksp3
120704	item160000120704	item162000120704	1	3	4	3,140;30,190;34,190	120705	1,25000	25	4000	item160000000001,100	item160000000001,1	1,50000	11003	11003	13004	rune_atksp4
120705	item160000120705	item162000120705	1	3	5	3,160;30,220;34,220	120706	1,30000	25	8000	item160000000001,100	item160000000001,1	1,50000	11003	11003	13004	rune_atksp4
120706	item160000120706	item162000120706	1	3	6	3,180;30,250;34,250	120707	1,35000	25	16000	item160000000001,100	item160000000001,1	1,300000	911006	912006	913006	rune_atksp4
120707	item160000120707	item162000120707	1	4	7	3,200;30,280;34,280	120708	1,40000	25	32000	item160000000001,100	item160000000001,1	1,400000	911006	912006	913006	rune_atksp5
120708	item160000120708	item162000120708	1	4	8	3,220;30,310;34,310	120709	1,45000	25	64000	item160000000001,100	item160000000001,1	1,500000	911006	912006	913006	rune_atksp5
120709	item160000120709	item162000120709	1	4	9	3,240;30,340;34,340	120710	1,50000	25	128000	item160000000001,100	item160000000001,1	1,600000	911006	912006	913006	rune_atksp5
120710	item160000120710	item162000120710	1	4	10	3,260;30,370;34,370	0	1,55000	25	256000	item160000000001,100	item160000000001,1	1,700000	911006	912006	913006	rune_atksp5
320701	item160000320701	item162000320701	3	1	1	131,100;132,100	320702	1,10000	24	500	item160000000001,100	item160000000001,1	1,50000	11001	0	0	rune_hpsp2
320702	item160000320702	item162000320702	3	2	2	131,180;132,200	320703	1,15000	24	1000	item160000000001,100	item160000000001,1	1,50000	11002	0	0	rune_hpsp3
320703	item160000320703	item162000320703	3	2	3	131,260;132,300	320704	1,20000	24	2000	item160000000001,100	item160000000001,1	1,50000	11003	11003	0	rune_hpsp3
320704	item160000320704	item162000320704	3	3	4	131,340;132,400	320705	1,25000	24	4000	item160000000001,100	item160000000001,1	1,50000	11003	11003	13004	rune_hpsp4
320705	item160000320705	item162000320705	3	3	5	131,420;132,500	320706	1,30000	24	8000	item160000000001,100	item160000000001,1	1,50000	11003	11003	13004	rune_hpsp4
320706	item160000320706	item162000320706	3	3	6	131,500;132,600	320707	1,35000	24	16000	item160000000001,100	item160000000001,1	1,300000	931006	932006	933006	rune_hpsp4
320707	item160000320707	item162000320707	3	4	7	131,580;132,700	320708	1,40000	24	32000	item160000000001,100	item160000000001,1	1,400000	931006	932006	933006	rune_hpsp5
320708	item160000320708	item162000320708	3	4	8	131,660;132,800	320709	1,45000	24	64000	item160000000001,100	item160000000001,1	1,500000	931006	932006	933006	rune_hpsp5
320709	item160000320709	item162000320709	3	4	9	131,740;132,900	320710	1,50000	24	128000	item160000000001,100	item160000000001,1	1,600000	931006	932006	933006	rune_hpsp5
320710	item160000320710	item162000320710	3	4	10	131,820;132,1000	0	1,55000	24	256000	item160000000001,100	item160000000001,1	1,700000	931006	932006	933006	rune_hpsp5
220501	item160000220501	item162000220501	2	1	1	3,80;31,100;52,100	220502	1,10000	26	500	item160000000001,100	item160000000001,1	1,50000	11001	0	0	rune_def2
220502	item160000220502	item162000220502	2	2	2	3,100;31,130;52,130	220503	1,15000	26	1000	item160000000001,100	item160000000001,1	1,50000	11002	0	0	rune_def3
220503	item160000220503	item162000220503	2	2	3	3,120;31,160;52,160	220504	1,20000	26	2000	item160000000001,100	item160000000001,1	1,50000	11003	11003	0	rune_def3
220504	item160000220504	item162000220504	2	3	4	3,140;31,190;52,190	220505	1,25000	26	4000	item160000000001,100	item160000000001,1	1,50000	11003	11003	13004	rune_def4
220505	item160000220505	item162000220505	2	3	5	3,160;31,220;52,220	220506	1,30000	26	8000	item160000000001,100	item160000000001,1	1,50000	11003	11003	13004	rune_def4
220506	item160000220506	item162000220506	2	3	6	3,180;31,250;52,250	220507	1,35000	26	16000	item160000000001,100	item160000000001,1	1,300000	921006	922006	923006	rune_def4
220507	item160000220507	item162000220507	2	4	7	3,200;31,280;52,280	220508	1,40000	26	32000	item160000000001,100	item160000000001,1	1,400000	921006	922006	923006	rune_def5
220508	item160000220508	item162000220508	2	4	8	3,220;31,310;52,310	220509	1,45000	26	64000	item160000000001,100	item160000000001,1	1,500000	921006	922006	923006	rune_def5
220509	item160000220509	item162000220509	2	4	9	3,240;31,340;52,340	220510	1,50000	26	128000	item160000000001,100	item160000000001,1	1,600000	921006	922006	923006	rune_def5
220510	item160000220510	item162000220510	2	4	10	3,260;31,370;52,370	0	1,55000	26	256000	item160000000001,100	item160000000001,1	1,700000	921006	922006	923006	rune_def5
330101	item160000330101	item162000330101	1	1	1	3,80;32,100;51,100	330102	1,10000	27	500	item160000000001,100	item160000000001,1	1,50000	11001	0	0	rune_atksp2
330102	item160000330102	item162000330102	1	2	2	3,100;32,130;51,130	330103	1,15000	27	1000	item160000000001,100	item160000000001,1	1,50000	11002	0	0	rune_atksp3
330103	item160000330103	item162000330103	1	2	3	3,120;32,160;51,160	330104	1,20000	27	2000	item160000000001,100	item160000000001,1	1,50000	11003	11003	0	rune_atksp3
330104	item160000330104	item162000330104	1	3	4	3,140;32,190;51,190	330105	1,25000	27	4000	item160000000001,100	item160000000001,1	1,50000	11003	11003	13004	rune_atksp4
330105	item160000330105	item162000330105	1	3	5	3,160;32,220;51,220	330106	1,30000	27	8000	item160000000001,100	item160000000001,1	1,50000	11003	11003	13004	rune_atksp4
330106	item160000330106	item162000330106	1	3	6	3,180;32,250;51,250	330107	1,35000	27	16000	item160000000001,100	item160000000001,1	1,300000	911006	912006	913006	rune_atksp4
330107	item160000330107	item162000330107	1	4	7	3,200;32,280;51,280	330108	1,40000	27	32000	item160000000001,100	item160000000001,1	1,400000	911006	912006	913006	rune_atksp5
330108	item160000330108	item162000330108	1	4	8	3,220;32,310;51,310	330109	1,45000	27	64000	item160000000001,100	item160000000001,1	1,500000	911006	912006	913006	rune_atksp5
330109	item160000330109	item162000330109	1	4	9	3,240;32,340;51,340	330110	1,50000	27	128000	item160000000001,100	item160000000001,1	1,600000	911006	912006	913006	rune_atksp5
330110	item160000330110	item162000330110	1	4	10	3,260;32,370;51,370	0	1,55000	27	256000	item160000000001,100	item160000000001,1	1,700000	911006	912006	913006	rune_atksp5
330201	item160000330201	item162000330201	2	1	1	3,80;185,60;33,110	330202	1,10000	28	500	item160000000001,100	item160000000001,1	1,50000	11001	0	0	rune_def2
330202	item160000330202	item162000330202	2	2	2	3,100;185,80;33,140	330203	1,15000	28	1000	item160000000001,100	item160000000001,1	1,50000	11002	0	0	rune_def3
330203	item160000330203	item162000330203	2	2	3	3,120;185,100;33,170	330204	1,20000	28	2000	item160000000001,100	item160000000001,1	1,50000	11003	11003	0	rune_def3
330204	item160000330204	item162000330204	2	3	4	3,140;185,120;33,200	330205	1,25000	28	4000	item160000000001,100	item160000000001,1	1,50000	11003	11003	13004	rune_def4
330205	item160000330205	item162000330205	2	3	5	3,160;185,140;33,230	330206	1,30000	28	8000	item160000000001,100	item160000000001,1	1,50000	11003	11003	13004	rune_def4
330206	item160000330206	item162000330206	2	3	6	3,180;185,160;33,260	330207	1,35000	28	16000	item160000000001,100	item160000000001,1	1,300000	921006	922006	923006	rune_def4
330207	item160000330207	item162000330207	2	4	7	3,200;185,180;33,290	330208	1,40000	28	32000	item160000000001,100	item160000000001,1	1,400000	921006	922006	923006	rune_def5
330208	item160000330208	item162000330208	2	4	8	3,220;185,200;33,320	330209	1,45000	28	64000	item160000000001,100	item160000000001,1	1,500000	921006	922006	923006	rune_def5
330209	item160000330209	item162000330209	2	4	9	3,240;185,220;33,350	330210	1,50000	28	128000	item160000000001,100	item160000000001,1	1,600000	921006	922006	923006	rune_def5
330210	item160000330210	item162000330210	2	4	10	3,260;185,240;33,380	0	1,55000	28	256000	item160000000001,100	item160000000001,1	1,700000	921006	922006	923006	rune_def5
330301	item160000330301	item162000330301	3	1	1	3,80;11,60;52,110	330302	1,10000	29	500	item160000000001,100	item160000000001,1	1,50000	11001	0	0	rune_hpsp2
330302	item160000330302	item162000330302	3	2	2	3,100;11,80;52,140	330303	1,15000	29	1000	item160000000001,100	item160000000001,1	1,50000	11002	0	0	rune_hpsp3
330303	item160000330303	item162000330303	3	2	3	3,120;11,100;52,170	330304	1,20000	29	2000	item160000000001,100	item160000000001,1	1,50000	11003	11003	0	rune_hpsp3
330304	item160000330304	item162000330304	3	3	4	3,140;11,120;52,200	330305	1,25000	29	4000	item160000000001,100	item160000000001,1	1,50000	11003	11003	13004	rune_hpsp4
330305	item160000330305	item162000330305	3	3	5	3,160;11,140;52,230	330306	1,30000	29	8000	item160000000001,100	item160000000001,1	1,50000	11003	11003	13004	rune_hpsp4
330306	item160000330306	item162000330306	3	3	6	3,180;11,160;52,260	330307	1,35000	29	16000	item160000000001,100	item160000000001,1	1,300000	931006	932006	933006	rune_hpsp4
330307	item160000330307	item162000330307	3	4	7	3,200;11,180;52,290	330308	1,40000	29	32000	item160000000001,100	item160000000001,1	1,400000	931006	932006	933006	rune_hpsp5
330308	item160000330308	item162000330308	3	4	8	3,220;11,200;52,320	330309	1,45000	29	64000	item160000000001,100	item160000000001,1	1,500000	931006	932006	933006	rune_hpsp5
330309	item160000330309	item162000330309	3	4	9	3,240;11,220;52,350	330310	1,50000	29	128000	item160000000001,100	item160000000001,1	1,600000	931006	932006	933006	rune_hpsp5
330310	item160000330310	item162000330310	3	4	10	3,260;11,240;52,380	0	1,55000	29	256000	item160000000001,100	item160000000001,1	1,700000	931006	932006	933006	rune_hpsp5
330401	item160000330401	item162000330401	1	1	1	12,120;32,100;206,140	330402	1,10000	30	500	item160000000001,100	item160000000001,1	1,50000	11001	0	0	rune_atksp2
330402	item160000330402	item162000330402	1	2	2	12,140;32,140;206,160	330403	1,15000	30	1000	item160000000001,100	item160000000001,1	1,50000	11002	0	0	rune_atksp3
330403	item160000330403	item162000330403	1	2	3	12,160;32,180;206,180	330404	1,20000	30	2000	item160000000001,100	item160000000001,1	1,50000	11003	11003	0	rune_atksp3
330404	item160000330404	item162000330404	1	3	4	12,180;32,220;206,200	330405	1,25000	30	4000	item160000000001,100	item160000000001,1	1,50000	11003	11003	13004	rune_atksp4
330405	item160000330405	item162000330405	1	3	5	12,200;32,260;206,220	330406	1,30000	30	8000	item160000000001,100	item160000000001,1	1,50000	11003	11003	13004	rune_atksp4
330406	item160000330406	item162000330406	1	3	6	12,220;32,300;206,240	330407	1,35000	30	16000	item160000000001,100	item160000000001,1	1,300000	911006	912006	913006	rune_atksp4
330407	item160000330407	item162000330407	1	4	7	12,240;32,340;206,260	330408	1,40000	30	32000	item160000000001,100	item160000000001,1	1,400000	911006	912006	913006	rune_atksp5
330408	item160000330408	item162000330408	1	4	8	12,260;32,380;206,280	330409	1,45000	30	64000	item160000000001,100	item160000000001,1	1,500000	911006	912006	913006	rune_atksp5
330409	item160000330409	item162000330409	1	4	9	12,280;32,420;206,300	330410	1,50000	30	128000	item160000000001,100	item160000000001,1	1,600000	911006	912006	913006	rune_atksp5
330410	item160000330410	item162000330410	1	4	10	12,300;32,460;206,320	0	1,55000	30	256000	item160000000001,100	item160000000001,1	1,700000	911006	912006	913006	rune_atksp5
330501	item160000330501	item162000330501	2	1	1	3,80;13,120;35,120	330502	1,10000	31	500	item160000000001,100	item160000000001,1	1,50000	11001	0	0	rune_def2
330502	item160000330502	item162000330502	2	2	2	3,100;13,140;35,140	330503	1,15000	31	1000	item160000000001,100	item160000000001,1	1,50000	11002	0	0	rune_def3
330503	item160000330503	item162000330503	2	2	3	3,120;13,160;35,160	330504	1,20000	31	2000	item160000000001,100	item160000000001,1	1,50000	11003	11003	0	rune_def3
330504	item160000330504	item162000330504	2	3	4	3,140;13,180;35,180	330505	1,25000	31	4000	item160000000001,100	item160000000001,1	1,50000	11003	11003	13004	rune_def4
330505	item160000330505	item162000330505	2	3	5	3,160;13,200;35,200	330506	1,30000	31	8000	item160000000001,100	item160000000001,1	1,50000	11003	11003	13004	rune_def4
330506	item160000330506	item162000330506	2	3	6	3,180;13,220;35,220	330507	1,35000	31	16000	item160000000001,100	item160000000001,1	1,300000	921006	922006	923006	rune_def4
330507	item160000330507	item162000330507	2	4	7	3,200;13,240;35,240	330508	1,40000	31	32000	item160000000001,100	item160000000001,1	1,400000	921006	922006	923006	rune_def5
330508	item160000330508	item162000330508	2	4	8	3,220;13,260;35,260	330509	1,45000	31	64000	item160000000001,100	item160000000001,1	1,500000	921006	922006	923006	rune_def5
330509	item160000330509	item162000330509	2	4	9	3,240;13,280;35,280	330510	1,50000	31	128000	item160000000001,100	item160000000001,1	1,600000	921006	922006	923006	rune_def5
330510	item160000330510	item162000330510	2	4	10	3,260;13,300;35,300	0	1,55000	31	256000	item160000000001,100	item160000000001,1	1,700000	921006	922006	923006	rune_def5
330601	item160000330601	item162000330601	3	1	1	11,130;32,100;185,100	330602	1,10000	32	500	item160000000001,100	item160000000001,1	1,50000	11001	0	0	rune_hpsp2
330602	item160000330602	item162000330602	3	2	2	11,150;32,130;185,130	330603	1,15000	32	1000	item160000000001,100	item160000000001,1	1,50000	11002	0	0	rune_hpsp3
330603	item160000330603	item162000330603	3	2	3	11,170;32,160;185,160	330604	1,20000	32	2000	item160000000001,100	item160000000001,1	1,50000	11003	11003	0	rune_hpsp3
330604	item160000330604	item162000330604	3	3	4	11,190;32,190;185,190	330605	1,25000	32	4000	item160000000001,100	item160000000001,1	1,50000	11003	11003	13004	rune_hpsp4
330605	item160000330605	item162000330605	3	3	5	11,210;32,220;185,220	330606	1,30000	32	8000	item160000000001,100	item160000000001,1	1,50000	11003	11003	13004	rune_hpsp4
330606	item160000330606	item162000330606	3	3	6	11,230;32,250;185,250	330607	1,35000	32	16000	item160000000001,100	item160000000001,1	1,300000	931006	932006	933006	rune_hpsp4
330607	item160000330607	item162000330607	3	4	7	11,250;32,280;185,280	330608	1,40000	32	32000	item160000000001,100	item160000000001,1	1,400000	931006	932006	933006	rune_hpsp5
330608	item160000330608	item162000330608	3	4	8	11,270;32,310;185,310	330609	1,45000	32	64000	item160000000001,100	item160000000001,1	1,500000	931006	932006	933006	rune_hpsp5
330609	item160000330609	item162000330609	3	4	9	11,290;32,340;185,340	330610	1,50000	32	128000	item160000000001,100	item160000000001,1	1,600000	931006	932006	933006	rune_hpsp5
330610	item160000330610	item162000330610	3	4	10	11,310;32,370;185,370	0	1,55000	32	256000	item160000000001,100	item160000000001,1	1,700000	931006	932006	933006	rune_hpsp5
330701	item160000330701	item160000330701	1	1	1	12,120;30,100;51,200	330702	1,10000	33	500	item160000000001,100	item160000000001,1	1,50000	11001	0	0	rune_atksp2
330702	item160000330702	item160000330702	1	2	2	12,140;30,140;51,230	330703	1,15000	33	1000	item160000000001,100	item160000000001,1	1,50000	11002	0	0	rune_atksp3
330703	item160000330703	item160000330703	1	2	3	12,160;30,180;51,260	330704	1,20000	33	2000	item160000000001,100	item160000000001,1	1,50000	11003	11003	0	rune_atksp3
330704	item160000330704	item160000330704	1	3	4	12,180;30,220;51,290	330705	1,25000	33	4000	item160000000001,100	item160000000001,1	1,50000	11003	11003	13004	rune_atksp4
330705	item160000330705	item160000330705	1	3	5	12,200;30,260;51,320	330706	1,30000	33	8000	item160000000001,100	item160000000001,1	1,50000	11003	11003	13004	rune_atksp4
330706	item160000330706	item160000330706	1	3	6	12,220;30,300;51,350	330707	1,35000	33	16000	item160000000001,100	item160000000001,1	1,300000	911006	912006	913006	rune_atksp4
330707	item160000330707	item160000330707	1	4	7	12,240;30,340;51,380	330708	1,40000	33	32000	item160000000001,100	item160000000001,1	1,400000	911006	912006	913006	rune_atksp5
330708	item160000330708	item160000330708	1	4	8	12,260;30,380;51,410	330709	1,45000	33	64000	item160000000001,100	item160000000001,1	1,500000	911006	912006	913006	rune_atksp5
330709	item160000330709	item160000330709	1	4	9	12,280;30,420;51,440	330710	1,50000	33	128000	item160000000001,100	item160000000001,1	1,600000	911006	912006	913006	rune_atksp5
330710	item160000330710	item160000330710	1	4	10	12,300;30,460;51,470	0	1,55000	33	256000	item160000000001,100	item160000000001,1	1,700000	911006	912006	913006	rune_atksp5
330801	item160000330801	item160000330801	2	1	1	13,120;30,100;132,200	330802	1,10000	34	500	item160000000001,100	item160000000001,1	1,50000	11001	0	0	rune_def2
330802	item160000330802	item160000330802	2	2	2	13,140;30,140;132,230	330803	1,15000	34	1000	item160000000001,100	item160000000001,1	1,50000	11002	0	0	rune_def3
330803	item160000330803	item160000330803	2	2	3	13,160;30,180;132,260	330804	1,20000	34	2000	item160000000001,100	item160000000001,1	1,50000	11003	11003	0	rune_def3
330804	item160000330804	item160000330804	2	3	4	13,180;30,220;132,290	330805	1,25000	34	4000	item160000000001,100	item160000000001,1	1,50000	11003	11003	13004	rune_def4
330805	item160000330805	item160000330805	2	3	5	13,200;30,260;132,320	330806	1,30000	34	8000	item160000000001,100	item160000000001,1	1,50000	11003	11003	13004	rune_def4
330806	item160000330806	item160000330806	2	3	6	13,220;30,300;132,350	330807	1,35000	34	16000	item160000000001,100	item160000000001,1	1,300000	921006	922006	923006	rune_def4
330807	item160000330807	item160000330807	2	4	7	13,240;30,340;132,380	330808	1,40000	34	32000	item160000000001,100	item160000000001,1	1,400000	921006	922006	923006	rune_def5
330808	item160000330808	item160000330808	2	4	8	13,260;30,380;132,410	330809	1,45000	34	64000	item160000000001,100	item160000000001,1	1,500000	921006	922006	923006	rune_def5
330809	item160000330809	item160000330809	2	4	9	13,280;30,420;132,440	330810	1,50000	34	128000	item160000000001,100	item160000000001,1	1,600000	921006	922006	923006	rune_def5
330810	item160000330810	item160000330810	2	4	10	13,300;30,460;132,470	0	1,55000	34	256000	item160000000001,100	item160000000001,1	1,700000	921006	922006	923006	rune_def5
330901	item160000330901	item160000330901	3	1	1	11,120;33,100;35,200	330902	1,10000	35	500	item160000000001,100	item160000000001,1	1,50000	11001	0	0	rune_hpsp2
330902	item160000330902	item160000330902	3	2	2	11,140;33,140;35,230	330903	1,15000	35	1000	item160000000001,100	item160000000001,1	1,50000	11002	0	0	rune_hpsp3
330903	item160000330903	item160000330903	3	2	3	11,160;33,180;35,260	330904	1,20000	35	2000	item160000000001,100	item160000000001,1	1,50000	11003	11003	0	rune_hpsp3
330904	item160000330904	item160000330904	3	3	4	11,180;33,220;35,290	330905	1,25000	35	4000	item160000000001,100	item160000000001,1	1,50000	11003	11003	13004	rune_hpsp4
330905	item160000330905	item160000330905	3	3	5	11,200;33,260;35,320	330906	1,30000	35	8000	item160000000001,100	item160000000001,1	1,50000	11003	11003	13004	rune_hpsp4
330906	item160000330906	item160000330906	3	3	6	11,220;33,300;35,350	330907	1,35000	35	16000	item160000000001,100	item160000000001,1	1,300000	931006	932006	933006	rune_hpsp4
330907	item160000330907	item160000330907	3	4	7	11,240;33,340;35,380	330908	1,40000	35	32000	item160000000001,100	item160000000001,1	1,400000	931006	932006	933006	rune_hpsp5
330908	item160000330908	item160000330908	3	4	8	11,260;33,380;35,410	330909	1,45000	35	64000	item160000000001,100	item160000000001,1	1,500000	931006	932006	933006	rune_hpsp5
330909	item160000330909	item160000330909	3	4	9	11,280;33,420;35,440	330910	1,50000	35	128000	item160000000001,100	item160000000001,1	1,600000	931006	932006	933006	rune_hpsp5
330910	item160000330910	item160000330910	3	4	10	11,300;33,460;35,470	0	1,55000	35	256000	item160000000001,100	item160000000001,1	1,700000	931006	932006	933006	rune_hpsp5
