配色id	首次染色消耗货币种类	首次染色消耗货币数量	非首次染色消耗货币种类	非首次染色消耗货币数量	首次染色消耗道具	非首次染色消耗道具	长相	高模长相	颜色	解锁需要达成的成就id	展示icon	染色界面模型倍数	特殊解锁条件	特效修改颜色	高模时装特效	低模时装特效
10820101	1	10000	0	0			c008|bottoms|c008_bottoms001_t1|clothes|c008_clothes001_t1|shoulder|c008_shoulder001_t1|parta|c008_parta001_t1	c008h|bottoms|c008h_bottoms001_t1|clothes|c008h_clothes001_t1|shoulder|c008h_shoulder001_t1|parta|c008h_parta001_t1	255,255,255;174,168,166		item130000008201	0.000000				
10820102	1	10000	0	0	item130010000001,7		c008|bottoms|c008_bottoms001_t2|clothes|c008_clothes001_t2|shoulder|c008_shoulder001_t2|parta|c008_parta001_t1	c008h|bottoms|c008h_bottoms001_t2|clothes|c008h_clothes001_t2|shoulder|c008h_shoulder001_t2|parta|c008h_parta001_t1	60,147,198;29,93,133		item130000018201	0.000000				
10820103	1	10000	0	0	item130010000001,7		c008|bottoms|c008_bottoms001_t3|clothes|c008_clothes001_t3|shoulder|c008_shoulder001_t3|parta|c008_parta001_t1	c008h|bottoms|c008h_bottoms001_t3|clothes|c008h_clothes001_t3|shoulder|c008h_shoulder001_t3|parta|c008h_parta001_t1	137,74,89;85,41,51		item130000028201	0.000000				
10820201	1	10000	0	0			c008|face|c008_face001_t1|head|c008_head001_t1	c008h|face|c008h_face001_t1|head|c008h_head001_t1	160,139,137;89,74,72		item130000008301	0.000000				
10820202	1	10000	0	0	item130010000001,6		c008|face|c008_face001_t1|head|c008_head001_t2	c008h|face|c008h_face001_t1|head|c008h_head001_t2	60,53,52;29,24,23		item130000018301	0.000000				
10820203	1	10000	0	0	item130010000001,6		c008|face|c008_face001_t1|head|c008_head001_t3	c008h|face|c008h_face001_t1|head|c008h_head001_t3	201,177,136;147,110,73		item130000028301	0.000000				
10820211	1	10000	0	0			c008|face|c008_face001_t1|head|c008_head002_t1	c008h|face|c008h_face001_t1|head|c008h_head002_t1	64,62,64;23,22,21		item130000008302	0.000000				
10820212	1	10000	0	0	item130010000001,6		c008|face|c008_face001_t1|head|c008_head002_t2	c008h|face|c008h_face001_t1|head|c008h_head002_t2	117,93,74;61,40,29		item130000018302	0.000000				
10820213	1	10000	0	0	item130010000001,6		c008|face|c008_face001_t1|head|c008_head002_t3	c008h|face|c008h_face001_t1|head|c008h_head002_t3	85,111,144;55,49,74		item130000028302	0.000000				
10820221	1	10000	0	0			c008|face|c008_face001_t1|head|c008_head011_t1	c008h|face|c008h_face001_t1|head|c008h_head011_t1	122,88,70;76,54,43		item130000008372	0.000000				
10820222	1	10000	0	0	item130010000001,6		c008|face|c008_face001_t1|head|c008_head011_t2	c008h|face|c008h_face001_t1|head|c008h_head011_t2	95,79,102;57,47,59		item130000018372	0.000000				
10820223	1	10000	0	0	item130010000001,6		c008|face|c008_face001_t1|head|c008_head011_t3	c008h|face|c008h_face001_t1|head|c008h_head011_t3	113,47,44;74,28,24		item130000028372	0.000000				
10820231	1	10000	0	0			c008|face|c008_face001_t1|head|c008_head012_t1	c008h|face|c008h_face001_t1|head|c008h_head012_t1	140,104,75;73,53,44		item130000008373	0.000000				
10820232	1	10000	0	0	item130010000001,6		c008|face|c008_face001_t1|head|c008_head012_t2	c008h|face|c008h_face001_t1|head|c008h_head012_t2	206,169,95;133,98,58		item130000018373	0.000000				
10820233	1	10000	0	0	item130010000001,6		c008|face|c008_face001_t1|head|c008_head012_t3	c008h|face|c008h_face001_t1|head|c008h_head012_t3	121,164,255;91,50,121		item130000028373	0.000000				
10820249	1	10000	0	0			backd162_t1	backd162h_t1	225,147,211;137,42,112		item130000040375	0.000000				
10820250	1	10000	0	0	item130010000002,10		backd162_t2	backd162h_t2	225,227,69;166,38,24		item130000040375	0.000000		2884,972,0		
10820251	1	10000	0	0	item130010000002,30		backd162_t3	backd162h_t3	222,245,249;80,188,231		item130000040375	0.000000			41000788	41000788
10820252	1	10000	0	0			backd190_t1	backd190h_t1	233,181,56;184,60,35		item130000040404	0.800000				
10820253	1	10000	0	0	item130010000002,30		backd190_t2	backd190h_t2	142,120,154;62,136,195		item130000040404	0.800000			41000789	41000789
10820254	1	10000	0	0	item130010000002,30		backd190_t3	backd190h_t3	220,191,99;84,23,117		item130000040404	0.800000			41000790	41000790
10820255	1	10000	0	0			backd195_t1	backd195h_t1	208,211,209;242,52,23		item130000040415	0.000000				
10820256	1	10000	0	0	item130010000002,3		backd195_t2	backd195h_t2	207,146,159;69,52,50		item130000040415	0.000000				
10820257	1	10000	0	0	item130010000002,3		backd195_t3	backd195h_t3	220,191,99;69,52,50		item130000040415	0.000000				
10820258	1	10000	0	0	item130010000002,3		backd195_t4	backd195h_t4	79,157,209;69,52,50		item130000040415	0.000000				
10820259	1	10000	0	0			backd186_t1	backd186h_t1	69,57,69;36,30,37		item130000040406	0.800000				
10820260	1	10000	0	0	item130010000002,3		backd186_t2	backd186h_t2	244,151,209;232,221,226		item130000040406	0.800000				
10820261	1	10000	0	0	item130010000002,3		backd186_t3	backd186h_t3	236,216,136;241,233,181		item130000040406	0.800000				
10820262	1	10000	0	0			backd112_t1	backd112h_t1	243,242,237;226,208,96		item130000040328	0.000000				
10820263	1	10000	0	0	item130010000002,3		backd112_t2	backd112h_t2	196,185,193;208,161,87		item130000040328	0.000000				
10820264	1	10000	0	0	item130010000002,3		backd112_t3	backd112h_t3	136,120,111;170,144,126		item130000040328	0.000000				
