流水	精灵	突破等级	所需等级	人物等级	需求材料	合成需求货币	货币数量	等级上限	主动技能	被动技能	魔灵进阶出战属性列表	突破外观变化	协助奖励	战宠阵列突破属性	突破属性描述	进阶等级	突破消耗碎片数量
148	pet_168	3	50	31	item101020505233,12	1	400000	60	skill60761,4	skill60771,4	4,25;24,70;26,70	pet_168	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1683	0	0
149	pet_168	4	60	41	item101020505233,18	1	500000	70	skill60761,5	skill60771,5	3,30;21,80;23,80	pet_168	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1684	0	0
150	pet_168	5	70	51	item101020505233,24	1	600000	70	skill60761,6	skill60771,6	75,100;33,100;32,100	pet_168	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1685	0	0
151	pet_169	0	0	1		0	0	30	skill60761,1	skill60771,1		pet_169		3,7;4,7;1,75;24,15	UnlockPropListDECpet_1690	0	0
152	pet_169	1	30	21	item101020505234,6	1	500000	40	skill60761,2	skill60771,2	1,200;22,60;25,60	pet_169	item100000000005,3	3,2;4,2;1,25;24,5	UnlockPropListDECpet_1691	0	0
153	pet_169	2	40	21	item101020505234,12	1	1000000	50	skill60761,3	skill60771,3	1,250;3,25;4,25	pet_169	item100000000005,3	3,2;4,2;1,25;24,5	UnlockPropListDECpet_1692	0	0
154	pet_169	3	50	31	item101020505234,18	1	1500000	60	skill60761,4	skill60771,4	4,30;24,80;26,80	pet_169	item100000000005,3	3,2;4,2;1,25;24,5	UnlockPropListDECpet_1693	0	0
155	pet_169	4	60	41	item101020505234,28	1	2000000	70	skill60761,5	skill60771,5	3,35;21,90;23,90	pet_169	item100000000005,3	3,2;4,2;1,25;24,5	UnlockPropListDECpet_1694	0	0
156	pet_169	5	70	51	item101020505234,36	1	2500000	70	skill60761,6	skill60771,6	75,150;33,150;32,150	pet_169	item100000000005,3	3,2;4,2;1,25;24,5	UnlockPropListDECpet_1695	0	0
157	pet_170	0	0	1		0	0	30	skill60781,1	skill60791,1		pet_170		3,7;4,7	UnlockPropListDECpet_1700	0	0
158	pet_170	1	30	21	item101020505235,4	1	200000	40	skill60781,2	skill60791,2	1,150;21,50;25,50	pet_170	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1701	0	0
159	pet_170	2	40	21	item101020505235,6	1	300000	50	skill60781,3	skill60791,3	1,200;3,20;4,20	pet_170	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1702	0	0
160	pet_170	3	50	31	item101020505235,12	1	400000	60	skill60781,4	skill60791,4	4,25;24,70;26,70	pet_170	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1703	0	0
161	pet_170	4	60	41	item101020505235,18	1	500000	70	skill60781,5	skill60791,5	3,30;22,80;23,80	pet_170	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1704	0	0
162	pet_170	5	70	51	item101020505235,24	1	600000	70	skill60781,6	skill60791,6	83,100;30,100;31,100	pet_170	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1705	0	0
163	pet_171	0	0	1		0	0	30	skill60781,1	skill60791,1		pet_171		3,7;4,7;1,75;22,15	UnlockPropListDECpet_1710	0	0
164	pet_171	1	30	21	item101020505236,6	1	500000	40	skill60781,2	skill60791,2	1,200;21,60;25,60	pet_171	item100000000005,3	3,2;4,2;1,25;22,5	UnlockPropListDECpet_1711	0	0
165	pet_171	2	40	21	item101020505236,12	1	1000000	50	skill60781,3	skill60791,3	1,250;3,25;4,25	pet_171	item100000000005,3	3,2;4,2;1,25;22,5	UnlockPropListDECpet_1712	0	0
166	pet_171	3	50	31	item101020505236,18	1	1500000	60	skill60781,4	skill60791,4	4,30;24,80;26,80	pet_171	item100000000005,3	3,2;4,2;1,25;22,5	UnlockPropListDECpet_1713	0	0
167	pet_171	4	60	41	item101020505236,28	1	2000000	70	skill60781,5	skill60791,5	3,35;22,90;23,90	pet_171	item100000000005,3	3,2;4,2;1,25;22,5	UnlockPropListDECpet_1714	0	0
168	pet_171	5	70	51	item101020505236,36	1	2500000	70	skill60781,6	skill60791,6	83,150;30,150;31,150	pet_171	item100000000005,3	3,2;4,2;1,25;22,5	UnlockPropListDECpet_1715	0	0
169	pet_172	0	0	1		0	0	30	skill60801,1	skill60811,1		pet_172		3,7;4,7	UnlockPropListDECpet_1720	0	0
170	pet_172	1	30	21	item101020505237,4	1	200000	40	skill60801,2	skill60811,2	1,150;25,50;21,50	pet_172	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1721	0	0
171	pet_172	2	40	21	item101020505237,6	1	300000	50	skill60801,3	skill60811,3	1,200;3,20;4,20	pet_172	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1722	0	0
172	pet_172	3	50	31	item101020505237,12	1	400000	60	skill60801,4	skill60811,4	4,25;24,70;26,70	pet_172	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1723	0	0
173	pet_172	4	60	41	item101020505237,18	1	500000	70	skill60801,5	skill60811,5	3,30;22,80;25,80	pet_172	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1724	0	0
174	pet_172	5	70	51	item101020505237,24	1	600000	70	skill60801,6	skill60811,6	79,100;32,100;35,100	pet_172	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1725	0	0
175	pet_173	0	0	1		0	0	30	skill60801,1	skill60811,1		pet_173		3,7;4,7;1,75;26,15	UnlockPropListDECpet_1730	0	0
176	pet_173	1	30	21	item101020505238,6	1	500000	40	skill60801,2	skill60811,2	1,200;25,60;21,60	pet_173	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1731	0	0
177	pet_173	2	40	21	item101020505238,12	1	1000000	50	skill60801,3	skill60811,3	1,250;3,25;4,25	pet_173	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1732	0	0
178	pet_173	3	50	31	item101020505238,18	1	1500000	60	skill60801,4	skill60811,4	4,30;24,80;26,80	pet_173	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1733	0	0
179	pet_173	4	60	41	item101020505238,28	1	2000000	70	skill60801,5	skill60811,5	3,35;22,90;25,90	pet_173	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1734	0	0
180	pet_173	5	70	51	item101020505238,36	1	2500000	70	skill60801,6	skill60811,6	79,150;32,150;35,150	pet_173	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1735	0	0
181	pet_174	0	0	1		0	0	30	skill60821,1	skill60831,1		pet_174		3,7;4,7	UnlockPropListDECpet_1740	0	0
182	pet_174	1	30	21	item101020505239,4	1	200000	40	skill60821,2	skill60831,2	1,150;22,50;21,50	pet_174	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1741	0	0
183	pet_174	2	40	21	item101020505239,6	1	300000	50	skill60821,3	skill60831,3	1,200;3,20;4,20	pet_174	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1742	0	0
184	pet_174	3	50	31	item101020505239,12	1	400000	60	skill60821,4	skill60831,4	4,25;24,70;22,70	pet_174	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1743	0	0
185	pet_174	4	60	41	item101020505239,18	1	500000	70	skill60821,5	skill60831,5	3,30;22,80;23,80	pet_174	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1744	0	0
186	pet_174	5	70	51	item101020505239,24	1	600000	70	skill60821,6	skill60831,6	67,100;32,100;33,100	pet_174	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1745	0	0
187	pet_175	0	0	1		0	0	30	skill60821,1	skill60831,1		pet_175		3,7;4,7;1,75;26,15	UnlockPropListDECpet_1750	0	0
188	pet_175	1	30	21	item101020505240,6	1	500000	40	skill60821,2	skill60831,2	1,200;22,60;21,60	pet_175	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1751	0	0
189	pet_175	2	40	21	item101020505240,12	1	1000000	50	skill60821,3	skill60831,3	1,250;3,25;4,25	pet_175	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1752	0	0
190	pet_175	3	50	31	item101020505240,18	1	1500000	60	skill60821,4	skill60831,4	4,30;24,80;22,80	pet_175	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1753	0	0
191	pet_175	4	60	41	item101020505240,28	1	2000000	70	skill60821,5	skill60831,5	3,35;22,90;23,90	pet_175	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1754	0	0
192	pet_175	5	70	51	item101020505240,36	1	2500000	70	skill60821,6	skill60831,6	67,150;32,150;33,150	pet_175	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1755	0	0
193	pet_176	0	0	1		0	0	30	skill60541,1	skill60551,1		pet_176		3,7;4,7;1,75;22,15	UnlockPropListDECpet_1760	0	0
194	pet_176	1	30	21	item101020505241,6	1	500000	40	skill60541,2	skill60551,2	1,200;22,60;25,60	pet_176	item100000000005,3	3,2;4,2;1,25;22,5	UnlockPropListDECpet_1761	0	0
195	pet_176	2	40	21	item101020505241,12	1	1000000	50	skill60541,3	skill60551,3	1,250;3,25;4,25	pet_176	item100000000005,3	3,2;4,2;1,25;22,5	UnlockPropListDECpet_1762	0	0
196	pet_176	3	50	31	item101020505241,18	1	1500000	60	skill60541,4	skill60551,4	4,30;24,80;25,80	pet_176	item100000000005,3	3,2;4,2;1,25;22,5	UnlockPropListDECpet_1763	0	0
197	pet_176	4	60	41	item101020505241,28	1	2000000	70	skill60541,5	skill60551,5	3,35;22,90;21,90	pet_176	item100000000005,3	3,2;4,2;1,25;22,5	UnlockPropListDECpet_1764	0	0
198	pet_176	5	70	51	item101020505241,36	1	2500000	70	skill60541,6	skill60551,6	34,150;33,150;31,150	pet_176	item100000000005,3	3,2;4,2;1,25;22,5	UnlockPropListDECpet_1765	0	0
199	pet_177	0	0	1		0	0	30	skill60541,1	skill60551,1		pet_177		3,11;4,11;1,112;26,30	UnlockPropListDECpet_1770	0	0
200	pet_177	1	30	21	item101020505242,10	1	1000000	40	skill60541,2	skill60551,2	1,300;22,100;25,100	pet_177	item100000000005,5	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1771	0	0
201	pet_177	2	40	21	item101020505242,18	1	2000000	50	skill60541,3	skill60551,3	1,300;3,30;4,30	pet_177	item100000000005,5	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1772	0	0
202	pet_177	3	50	31	item101020505242,26	1	3000000	60	skill60541,4	skill60551,4	4,40;24,120;25,120	pet_177	item100000000005,5	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1773	0	0
203	pet_177	4	60	41	item101020505242,34	1	4000000	70	skill60541,5	skill60551,5	3,40;22,120;21,120	pet_177	item100000000005,5	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1774	0	0
204	pet_177	5	70	51	item101020505242,42	1	5000000	70	skill60541,6	skill60551,6	34,200;33,200;31,200	pet_177	item100000000005,5	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1775	0	0
205	pet_179	0	0	1		0	0	30	skill60361,1	skill60371,1		pet_179		3,11;4,11;1,112;26,30	UnlockPropListDECpet_1790	0	0
206	pet_179	1	30	21	item101020505243,10	1	1000000	40	skill60361,2	skill60371,2	1,300;25,100;21,100	pet_179	item100000000005,3	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1791	0	0
207	pet_179	2	40	21	item101020505243,18	1	2000000	50	skill60361,3	skill60371,3	1,300;3,30;4,30	pet_179	item100000000005,3	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1792	0	0
208	pet_179	3	50	31	item101020505243,26	1	3000000	60	skill60361,4	skill60371,4	4,40;24,120;26,120	pet_179	item100000000005,3	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1793	0	0
209	pet_179	4	60	41	item101020505243,34	1	4000000	70	skill60361,5	skill60371,5	3,40;22,120;23,120	pet_179	item100000000005,3	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1794	0	0
210	pet_179	5	70	51	item101020505243,42	1	5000000	70	skill60361,6	skill60371,6	35,200;32,200;34,200	pet_179	item100000000005,3	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1795	0	0
211	pet_180	0	0	1		0	0	30	skill60441,1	skill60451,1		pet_180		3,7;4,7;1,75;24,15	UnlockPropListDECpet_1800	0	0
212	pet_180	1	30	21	item101020505245,6	1	500000	40	skill60441,2	skill60451,2	4,20;21,60;23,60	pet_180	item100000000005,3	3,2;4,2;1,25;24,5	UnlockPropListDECpet_1801	0	0
213	pet_180	2	40	21	item101020505245,12	1	1000000	50	skill60441,3	skill60451,3	1,250;3,25;4,25	pet_180	item100000000005,3	3,2;4,2;1,25;24,5	UnlockPropListDECpet_1802	0	0
214	pet_180	3	50	31	item101020505245,18	1	1500000	60	skill60441,4	skill60451,4	1,300;24,80;26,80	pet_180	item100000000005,3	3,2;4,2;1,25;24,5	UnlockPropListDECpet_1803	0	0
215	pet_180	4	60	41	item101020505245,28	1	2000000	70	skill60441,5	skill60451,5	3,35;22,90;21,90	pet_180	item100000000005,3	3,2;4,2;1,25;24,5	UnlockPropListDECpet_1804	0	0
216	pet_180	5	70	51	item101020505245,36	1	2500000	70	skill60441,6	skill60451,6	51,150;33,150;34,150	pet_180	item100000000005,3	3,2;4,2;1,25;24,5	UnlockPropListDECpet_1805	0	0
217	pet_181	0	0	1		0	0	30	skill60441,1	skill60451,1		pet_181		3,11;4,11;1,112;26,30	UnlockPropListDECpet_1810	0	0
218	pet_181	1	30	21	item101020505246,10	1	1000000	40	skill60441,2	skill60451,2	4,30;21,100;23,100	pet_181	item100000000005,5	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1811	0	0
219	pet_181	2	40	21	item101020505246,18	1	2000000	50	skill60441,3	skill60451,3	1,300;3,30;4,30	pet_181	item100000000005,5	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1812	0	0
220	pet_181	3	50	31	item101020505246,26	1	3000000	60	skill60441,4	skill60451,4	1,400;24,120;26,120	pet_181	item100000000005,5	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1813	0	0
221	pet_181	4	60	41	item101020505246,34	1	4000000	70	skill60441,5	skill60451,5	3,40;22,120;21,120	pet_181	item100000000005,5	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1814	0	0
222	pet_181	5	70	51	item101020505246,42	1	5000000	70	skill60441,6	skill60451,6	51,200;33,200;34,200	pet_181	item100000000005,5	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1815	0	0
223	pet_182	0	0	1		0	0	30	skill60481,1	skill60491,1		pet_182		3,7;4,7;1,75;22,15	UnlockPropListDECpet_1820	0	0
224	pet_182	1	30	21	item101020505247,6	1	500000	40	skill60481,2	skill60491,2	1,200;25,60;23,60	pet_182	item100000000005,3	3,2;4,2;1,25;22,5	UnlockPropListDECpet_1821	0	0
225	pet_182	2	40	21	item101020505247,12	1	1000000	50	skill60481,3	skill60491,3	1,250;3,25;4,25	pet_182	item100000000005,3	3,2;4,2;1,25;22,5	UnlockPropListDECpet_1822	0	0
226	pet_182	3	50	31	item101020505247,18	1	1500000	60	skill60481,4	skill60491,4	4,30;24,80;26,80	pet_182	item100000000005,3	3,2;4,2;1,25;22,5	UnlockPropListDECpet_1823	0	0
227	pet_182	4	60	41	item101020505247,28	1	2000000	70	skill60481,5	skill60491,5	3,35;21,90;23,90	pet_182	item100000000005,3	3,2;4,2;1,25;22,5	UnlockPropListDECpet_1824	0	0
228	pet_182	5	70	51	item101020505247,36	1	2500000	70	skill60481,6	skill60491,6	75,150;32,150;31,150	pet_182	item100000000005,3	3,2;4,2;1,25;22,5	UnlockPropListDECpet_1825	0	0
229	pet_183	0	0	1		0	0	30	skill60481,1	skill60491,1		pet_183		3,11;4,11;1,112;22,30	UnlockPropListDECpet_1830	0	0
230	pet_183	1	30	21	item101020505248,10	1	1000000	40	skill60481,2	skill60491,2	1,300;25,100;23,100	pet_183	item100000000005,5	3,3;4,3;1,37;22,10	UnlockPropListDECpet_1831	0	0
231	pet_183	2	40	21	item101020505248,18	1	2000000	50	skill60481,3	skill60491,3	1,300;3,30;4,30	pet_183	item100000000005,5	3,3;4,3;1,37;22,10	UnlockPropListDECpet_1832	0	0
232	pet_183	3	50	31	item101020505248,26	1	3000000	60	skill60481,4	skill60491,4	4,40;24,120;26,120	pet_183	item100000000005,5	3,3;4,3;1,37;22,10	UnlockPropListDECpet_1833	0	0
233	pet_183	4	60	41	item101020505248,34	1	4000000	70	skill60481,5	skill60491,5	3,40;21,120;23,120	pet_183	item100000000005,5	3,3;4,3;1,37;22,10	UnlockPropListDECpet_1834	0	0
234	pet_183	5	70	51	item101020505248,42	1	5000000	70	skill60481,6	skill60491,6	75,200;32,200;31,200	pet_183	item100000000005,5	3,3;4,3;1,37;22,10	UnlockPropListDECpet_1835	0	0
235	pet_184	0	0	1		0	0	30	skill60501,1	skill60511,1		pet_184		3,7;4,7;1,75;26,15	UnlockPropListDECpet_1840	0	0
236	pet_184	1	30	21	item101020505249,6	1	500000	40	skill60501,2	skill60511,2	1,200;22,60;25,60	pet_184	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1841	0	0
237	pet_184	2	40	21	item101020505249,12	1	1000000	50	skill60501,3	skill60511,3	1,250;3,25;4,25	pet_184	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1842	0	0
238	pet_184	3	50	31	item101020505249,18	1	1500000	60	skill60501,4	skill60511,4	4,30;24,80;26,80	pet_184	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1843	0	0
239	pet_184	4	60	41	item101020505249,28	1	2000000	70	skill60501,5	skill60511,5	3,35;21,90;23,90	pet_184	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1844	0	0
240	pet_184	5	70	51	item101020505249,36	1	2500000	70	skill60501,6	skill60511,6	32,150;35,150;31,150	pet_184	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1845	0	0
241	pet_185	0	0	1		0	0	30	skill60501,1	skill60511,1		pet_185		3,11;4,11;1,112;24,30	UnlockPropListDECpet_1850	0	0
242	pet_185	1	30	21	item101020505250,10	1	1000000	40	skill60501,2	skill60511,2	1,300;22,100;25,100	pet_185	item100000000005,5	3,3;4,3;1,37;24,10	UnlockPropListDECpet_1851	0	0
243	pet_185	2	40	21	item101020505250,18	1	2000000	50	skill60501,3	skill60511,3	1,300;3,30;4,30	pet_185	item100000000005,5	3,3;4,3;1,37;24,10	UnlockPropListDECpet_1852	0	0
244	pet_185	3	50	31	item101020505250,26	1	3000000	60	skill60501,4	skill60511,4	4,40;24,120;26,120	pet_185	item100000000005,5	3,3;4,3;1,37;24,10	UnlockPropListDECpet_1853	0	0
245	pet_185	4	60	41	item101020505250,34	1	4000000	70	skill60501,5	skill60511,5	3,40;21,120;23,120	pet_185	item100000000005,5	3,3;4,3;1,37;24,10	UnlockPropListDECpet_1854	0	0
246	pet_185	5	70	51	item101020505250,42	1	5000000	70	skill60501,6	skill60511,6	32,200;35,200;31,200	pet_185	item100000000005,5	3,3;4,3;1,37;24,10	UnlockPropListDECpet_1855	0	0
247	pet_186	0	0	1		0	0	30	skill60521,1	skill60531,1		pet_186		3,7;4,7;1,75;26,15	UnlockPropListDECpet_1860	0	0
248	pet_186	1	30	21	item101020505251,6	1	500000	40	skill60521,2	skill60531,2	1,200;22,60;21,60	pet_186	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1861	0	0
249	pet_186	2	40	21	item101020505251,12	1	1000000	50	skill60521,3	skill60531,3	1,250;3,25;4,25	pet_186	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1862	0	0
250	pet_186	3	50	31	item101020505251,18	1	1500000	60	skill60521,4	skill60531,4	4,30;24,80;26,80	pet_186	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1863	0	0
251	pet_186	4	60	41	item101020505251,28	1	2000000	70	skill60521,5	skill60531,5	3,35;25,90;23,90	pet_186	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1864	0	0
252	pet_186	5	70	51	item101020505251,36	1	2500000	70	skill60521,6	skill60531,6	52,150;35,150;30,150	pet_186	item100000000005,3	3,2;4,2;1,25;26,5	UnlockPropListDECpet_1865	0	0
253	pet_187	0	0	1		0	0	30	skill60521,1	skill60531,1		pet_187		3,11;4,11;1,112;22,30	UnlockPropListDECpet_1870	0	0
254	pet_187	1	30	21	item101020505252,10	1	1000000	40	skill60521,2	skill60531,2	1,300;22,100;21,100	pet_187	item100000000005,5	3,3;4,3;1,37;22,10	UnlockPropListDECpet_1871	0	0
255	pet_187	2	40	21	item101020505252,18	1	2000000	50	skill60521,3	skill60531,3	1,300;3,30;4,30	pet_187	item100000000005,5	3,3;4,3;1,37;22,10	UnlockPropListDECpet_1872	0	0
256	pet_187	3	50	31	item101020505252,26	1	3000000	60	skill60521,4	skill60531,4	4,40;24,120;26,120	pet_187	item100000000005,5	3,3;4,3;1,37;22,10	UnlockPropListDECpet_1873	0	0
257	pet_187	4	60	41	item101020505252,34	1	4000000	70	skill60521,5	skill60531,5	3,40;25,120;23,120	pet_187	item100000000005,5	3,3;4,3;1,37;22,10	UnlockPropListDECpet_1874	0	0
258	pet_187	5	70	51	item101020505252,42	1	5000000	70	skill60521,6	skill60531,6	52,200;35,200;30,200	pet_187	item100000000005,5	3,3;4,3;1,37;22,10	UnlockPropListDECpet_1875	0	0
259	pet_188	0	0	1		0	0	30	skill60241,1	skill60251,1		pet_188		3,11;4,11;1,112;26,30	UnlockPropListDECpet_1880	0	0
260	pet_188	1	30	21	item101020505253,10	1	1000000	40	skill60241,2	skill60251,2	1,300;22,100;23,100	pet_188	item100000000005,5	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1881	0	0
261	pet_188	2	40	21	item101020505253,18	1	2000000	50	skill60241,3	skill60251,3	1,300;3,30;4,30	pet_188	item100000000005,5	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1882	0	0
262	pet_188	3	50	31	item101020505253,26	1	3000000	60	skill60241,4	skill60251,4	4,40;24,120;26,120	pet_188	item100000000005,5	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1883	0	0
263	pet_188	4	60	41	item101020505253,34	1	4000000	70	skill60241,5	skill60251,5	3,40;21,120;25,120	pet_188	item100000000005,5	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1884	0	0
264	pet_188	5	70	51	item101020505253,42	1	5000000	70	skill60241,6	skill60251,6	52,200;33,200;30,200	pet_188	item100000000005,5	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1885	0	0
265	pet_190	0	0	1		0	0	30	skill60261,1	skill60271,1		pet_190		3,11;4,11;1,112;26,30	UnlockPropListDECpet_1900	0	0
266	pet_190	1	30	21	item101020505301,10	1	1000000	40	skill60261,2	skill60271,2	1,300;22,100;23,100	pet_190	item100000000005,5	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1901	0	0
267	pet_190	2	40	21	item101020505301,18	1	2000000	50	skill60261,3	skill60271,3	1,300;3,30;4,30	pet_190	item100000000005,5	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1902	0	0
268	pet_190	3	50	31	item101020505301,26	1	3000000	60	skill60261,4	skill60271,4	4,40;24,120;26,120	pet_190	item100000000005,5	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1903	0	0
269	pet_190	4	60	41	item101020505301,34	1	4000000	70	skill60261,5	skill60271,5	3,40;25,120;23,120	pet_190	item100000000005,5	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1904	0	0
270	pet_190	5	70	51	item101020505301,42	1	5000000	70	skill60261,6	skill60271,6	51,200;33,200;34,200	pet_190	item100000000005,5	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1905	0	0
271	pet_192	0	0	1		0	0	30	skill60281,1	skill60291,1		pet_192		3,11;4,11;1,112;22,30	UnlockPropListDECpet_1920	0	0
272	pet_192	1	30	21	item101020505302,10	1	1000000	40	skill60281,2	skill60291,2	1,300;21,100;25,100	pet_192	item100000000005,5	3,3;4,3;1,37;22,10	UnlockPropListDECpet_1921	0	0
273	pet_192	2	40	21	item101020505302,18	1	2000000	50	skill60281,3	skill60291,3	1,300;3,30;4,30	pet_192	item100000000005,5	3,3;4,3;1,37;22,10	UnlockPropListDECpet_1922	0	0
274	pet_192	3	50	31	item101020505302,26	1	3000000	60	skill60281,4	skill60291,4	4,40;24,120;26,120	pet_192	item100000000005,5	3,3;4,3;1,37;22,10	UnlockPropListDECpet_1923	0	0
275	pet_192	4	60	41	item101020505302,34	1	4000000	70	skill60281,5	skill60291,5	3,40;25,120;23,120	pet_192	item100000000005,5	3,3;4,3;1,37;22,10	UnlockPropListDECpet_1924	0	0
276	pet_192	5	70	51	item101020505302,42	1	5000000	70	skill60281,6	skill60291,6	51,200;30,200;31,200	pet_192	item100000000005,5	3,3;4,3;1,37;22,10	UnlockPropListDECpet_1925	0	0
277	pet_194	0	0	1		0	0	30	skill60301,1	skill60311,1		pet_194		3,11;4,11;1,112;24,30	UnlockPropListDECpet_1940	0	0
278	pet_194	1	30	21	item101020505303,10	1	1000000	40	skill60301,2	skill60311,2	1,300;25,100;21,100	pet_194	item100000000005,5	3,3;4,3;1,37;24,10	UnlockPropListDECpet_1941	0	0
279	pet_194	2	40	21	item101020505303,18	1	2000000	50	skill60301,3	skill60311,3	1,300;3,30;4,30	pet_194	item100000000005,5	3,3;4,3;1,37;24,10	UnlockPropListDECpet_1942	0	0
280	pet_194	3	50	31	item101020505303,26	1	3000000	60	skill60301,4	skill60311,4	4,40;24,120;26,120	pet_194	item100000000005,5	3,3;4,3;1,37;24,10	UnlockPropListDECpet_1943	0	0
281	pet_194	4	60	41	item101020505303,34	1	4000000	70	skill60301,5	skill60311,5	3,40;22,120;23,120	pet_194	item100000000005,5	3,3;4,3;1,37;24,10	UnlockPropListDECpet_1944	0	0
282	pet_194	5	70	51	item101020505303,42	1	5000000	70	skill60301,6	skill60311,6	112,200;33,200;31,200	pet_194	item100000000005,5	3,3;4,3;1,37;24,10	UnlockPropListDECpet_1945	0	0
283	pet_196	0	0	1		0	0	30	skill60321,1	skill60331,1		pet_196		3,11;4,11;1,112;22,30	UnlockPropListDECpet_1960	0	0
284	pet_196	1	30	21	item101020505304,10	1	1000000	40	skill60321,2	skill60331,2	1,300;22,100;21,100	pet_196	item100000000005,5	3,3;4,3;1,37;22,10	UnlockPropListDECpet_1961	0	0
285	pet_196	2	40	21	item101020505304,18	1	2000000	50	skill60321,3	skill60331,3	1,300;3,30;4,30	pet_196	item100000000005,5	3,3;4,3;1,37;22,10	UnlockPropListDECpet_1962	0	0
286	pet_196	3	50	31	item101020505304,26	1	3000000	60	skill60321,4	skill60331,4	4,40;24,120;26,120	pet_196	item100000000005,5	3,3;4,3;1,37;22,10	UnlockPropListDECpet_1963	0	0
287	pet_196	4	60	41	item101020505304,34	1	4000000	70	skill60321,5	skill60331,5	3,40;22,120;23,120	pet_196	item100000000005,5	3,3;4,3;1,37;22,10	UnlockPropListDECpet_1964	0	0
288	pet_196	5	70	51	item101020505304,42	1	5000000	70	skill60321,6	skill60331,6	32,200;35,200;30,200	pet_196	item100000000005,5	3,3;4,3;1,37;22,10	UnlockPropListDECpet_1965	0	0
289	pet_198	0	0	1		0	0	30	skill60341,1	skill60351,1		pet_198		3,11;4,11;1,112;26,30	UnlockPropListDECpet_1980	0	0
290	pet_198	1	30	21	item101020505305,10	1	1000000	40	skill60341,2	skill60351,2	1,300;25,100;23,100	pet_198	item100000000005,5	3,3;4,3;1,37;26,10	UnlockPropListDECpet_1981	0	0
