奇遇ID	地图ID	奇遇类型	奇遇图标	事件描述	武艺属性要求	才艺属性要求	学徒数量	奇遇基础奖励	勋章奖励
73327	1003	3	item_102020030002	AdventureDes73327	1,326700	2,8600	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,7	0
73328	1003	3	item_102020030002	AdventureDes73328	33,56870	5,8600	4	item127000063000,2;item127000063001,7;item127000063002,4;item127000063020,7	0
74101	1004	1	icon_traranbox	AdventureDes74101	3,26990	1,6000	3	item127000063000,2;item127000063001,4;item127000063002,3;item127000063020,6	0
74102	1004	1	icon_traranbox	AdventureDes74102	32,38810	4,6000	3	item127000063000,2;item127000063001,4;item127000063002,3;item127000063020,6	0
74103	1004	1	icon_traranbox	AdventureDes74103	35,42980	1,6000;2,6000	3	item127000063000,2;item127000063001,4;item127000063002,3;item127000063020,6	0
74104	1004	1	icon_traranbox	AdventureDes74104	3,26990;4,28380	1,6000	3	item127000063000,2;item127000063001,4;item127000063002,3;item127000063020,6	0
74105	1004	1	icon_traranbox	AdventureDes74105	30,43030;31,43030	4,6600	3	item127000063000,2;item127000063001,4;item127000063002,3;item127000063020,7	0
74106	1004	1	icon_traranbox	AdventureDes74106	1,268760	2,6600	3	item127000063000,2;item127000063001,4;item127000063002,3;item127000063020,7	0
74107	1004	1	icon_traranbox	AdventureDes74107	33,43030	5,6600	3	item127000063000,2;item127000063001,4;item127000063002,3;item127000063020,7	0
74108	1004	1	icon_traranbox	AdventureDes74108	30,43030	3,6600;4,6600	3	item127000063000,2;item127000063001,4;item127000063002,3;item127000063020,7	0
74109	1004	1	icon_traranbox	AdventureDes74109	32,60990;33,60990	2,9300	4	item127000063000,2;item127000063001,4;item127000063002,4;item127000063020,7	0
74110	1004	1	icon_traranbox	AdventureDes74110	1,371480;3,39170	5,9300	4	item127000063000,2;item127000063001,4;item127000063002,4;item127000063020,7	0
74111	1004	1	icon_traranbox	AdventureDes74111	4,41740	3,9300	4	item127000063000,2;item127000063001,4;item127000063002,4;item127000063020,7	0
74112	1004	1	icon_traranbox	AdventureDes74112	34,68700	6,9300	4	item127000063000,2;item127000063001,4;item127000063002,4;item127000063020,7	0
74113	1004	1	icon_traranbox	AdventureDes74113	31,68200	5,10310;6,10310	4	item127000063000,2;item127000063001,3;item127000063002,4;item127000063020,9	0
74114	1004	1	icon_traranbox	AdventureDes74114	34,77570;35,77570	3,10310	4	item127000063000,2;item127000063001,3;item127000063002,4;item127000063020,9	0
74115	1004	1	icon_traranbox	AdventureDes74115	33,68200	5,10310	4	item127000063000,2;item127000063001,3;item127000063002,4;item127000063020,9	0
74116	1004	1	icon_traranbox	AdventureDes74116	30,79210	3,11970;4,11970	4	item127000063000,2;item127000063001,3;item127000063002,4;item127000063020,9	0
74117	1004	1	icon_traranbox	AdventureDes74117	32,87930;33,87930	2,13200	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74118	1004	1	icon_traranbox	AdventureDes74118	1,484990;3,51130	5,13200	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74119	1004	1	icon_traranbox	AdventureDes74119	4,55460	3,13200	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74120	1004	1	icon_traranbox	AdventureDes74120	34,100920	6,13200	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74121	1004	1	icon_traranbox	AdventureDes74121	33,97030	5,14480	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74122	1004	1	icon_traranbox	AdventureDes74122	30,97030;31,97030	4,14480	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74123	1004	1	icon_traranbox	AdventureDes74123	1,512840	2,14480	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74124	1004	1	icon_traranbox	AdventureDes74124	33,97030	5,14480	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74125	1004	1	icon_traranbox	AdventureDes74125	30,106510	3,15810;4,15810	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74126	1004	1	icon_traranbox	AdventureDes74126	32,106510;33,106510	2,15810	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74127	1004	1	icon_traranbox	AdventureDes74127	1,541470;3,57300	5,15810	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74128	1004	1	icon_traranbox	AdventureDes74128	4,63090	3,15810	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74201	1004	2	m913_portrait01	AdventureDes74201	1,254040	2,6000	3	item127000063000,2;item127000063001,4;item127000063002,3;item127000063020,6	0
74202	1004	2	m913_portrait01	AdventureDes74202	33,38810	5,6000	3	item127000063000,2;item127000063001,4;item127000063002,3;item127000063020,6	0
74203	1004	2	m913_portrait01	AdventureDes74203	30,38810	3,6000;4,6000	3	item127000063000,2;item127000063001,4;item127000063002,3;item127000063020,6	0
74204	1004	2	m913_portrait01	AdventureDes74204	32,38810;33,38810	2,6000	3	item127000063000,2;item127000063001,4;item127000063002,3;item127000063020,6	0
74205	1004	2	m913_portrait01	AdventureDes74205	1,268760;3,28590	5,6600	3	item127000063000,2;item127000063001,4;item127000063002,3;item127000063020,7	0
74206	1004	2	m913_portrait01	AdventureDes74206	4,30290	3,6600	3	item127000063000,2;item127000063001,4;item127000063002,3;item127000063020,7	0
74207	1004	2	m913_portrait01	AdventureDes74207	34,48120	6,6600	3	item127000063000,2;item127000063001,4;item127000063002,3;item127000063020,7	0
74208	1004	2	m913_portrait01	AdventureDes74208	31,43030	5,6600;6,6600	3	item127000063000,2;item127000063001,4;item127000063002,3;item127000063020,7	0
74209	1004	2	m913_portrait01	AdventureDes74209	34,68700;35,68700	3,9300	4	item127000063000,2;item127000063001,4;item127000063002,4;item127000063020,7	0
74210	1004	2	m913_portrait01	AdventureDes74210	3,39170	1,9300	4	item127000063000,2;item127000063001,4;item127000063002,4;item127000063020,7	0
74211	1004	2	m913_portrait01	AdventureDes74211	32,60990	4,9300	4	item127000063000,2;item127000063001,4;item127000063002,4;item127000063020,7	0
74212	1004	2	m913_portrait01	AdventureDes74212	35,68700	1,9300;2,9300	4	item127000063000,2;item127000063001,4;item127000063002,4;item127000063020,7	0
74213	1004	2	m913_portrait01	AdventureDes74213	3,41650;4,44770	1,10310	4	item127000063000,2;item127000063001,3;item127000063002,4;item127000063020,9	0
74214	1004	2	m913_portrait01	AdventureDes74214	30,68200;31,68200	4,10310	4	item127000063000,2;item127000063001,3;item127000063002,4;item127000063020,9	0
74215	1004	2	m913_portrait01	AdventureDes74215	34,77570	6,10310	4	item127000063000,2;item127000063001,3;item127000063002,4;item127000063020,9	0
74216	1004	2	m913_portrait01	AdventureDes74216	31,79210	5,11970;6,11970	4	item127000063000,2;item127000063001,3;item127000063002,4;item127000063020,9	0
74217	1004	2	m913_portrait01	AdventureDes74217	34,100920;35,100920	3,13200	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74218	1004	2	m913_portrait01	AdventureDes74218	3,51130	1,13200	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74219	1004	2	m913_portrait01	AdventureDes74219	32,87930	4,13200	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74220	1004	2	m913_portrait01	AdventureDes74220	35,100920	1,13200;2,13200	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74221	1004	2	m913_portrait01	AdventureDes74221	34,112150	6,14480	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74222	1004	2	m913_portrait01	AdventureDes74222	1,512840;3,54170	5,14480	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74223	1004	2	m913_portrait01	AdventureDes74223	4,63090	3,15810	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74224	1004	2	m913_portrait01	AdventureDes74224	34,123870	6,15810	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74225	1004	2	m913_portrait01	AdventureDes74225	31,106510	5,15810;6,15810	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74226	1004	2	m913_portrait01	AdventureDes74226	34,123870;35,123870	3,15810	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74227	1004	2	m913_portrait01	AdventureDes74227	3,60520	1,17200	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74228	1004	2	m913_portrait01	AdventureDes74228	32,116370	4,17200	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74301	1004	3	item_102020030002	AdventureDes74301	4,28380	3,6000	3	item127000063000,2;item127000063001,4;item127000063002,3;item127000063020,6	0
74302	1004	3	item_102020030002	AdventureDes74302	34,42980	6,6000	3	item127000063000,2;item127000063001,4;item127000063002,3;item127000063020,6	0
74303	1004	3	item_102020030002	AdventureDes74303	31,38810	5,6000;6,6000	3	item127000063000,2;item127000063001,4;item127000063002,3;item127000063020,6	0
74304	1004	3	item_102020030002	AdventureDes74304	34,42980;35,42980	3,6000	3	item127000063000,2;item127000063001,4;item127000063002,3;item127000063020,6	0
74305	1004	3	item_102020030002	AdventureDes74305	3,28590	1,6600	3	item127000063000,2;item127000063001,4;item127000063002,3;item127000063020,7	0
74306	1004	3	item_102020030002	AdventureDes74306	32,43030	4,6600	3	item127000063000,2;item127000063001,4;item127000063002,3;item127000063020,7	0
74307	1004	3	item_102020030002	AdventureDes74307	35,48120	1,6600;2,6600	3	item127000063000,2;item127000063001,4;item127000063002,3;item127000063020,7	0
74308	1004	3	item_102020030002	AdventureDes74308	3,28590;4,30290	1,6600	3	item127000063000,2;item127000063001,4;item127000063002,3;item127000063020,7	0
74309	1004	3	item_102020030002	AdventureDes74309	30,60990;31,60990	4,9300	4	item127000063000,2;item127000063001,4;item127000063002,4;item127000063020,7	0
74310	1004	3	item_102020030002	AdventureDes74310	1,371480	2,9300	4	item127000063000,2;item127000063001,4;item127000063002,4;item127000063020,7	0
74311	1004	3	item_102020030002	AdventureDes74311	33,60990	5,9300	4	item127000063000,2;item127000063001,4;item127000063002,4;item127000063020,7	0
74312	1004	3	item_102020030002	AdventureDes74312	30,60990	3,9300;4,9300	4	item127000063000,2;item127000063001,4;item127000063002,4;item127000063020,7	0
74313	1004	3	item_102020030002	AdventureDes74313	32,68200;33,68200	2,10310	4	item127000063000,2;item127000063001,3;item127000063002,4;item127000063020,9	0
74314	1004	3	item_102020030002	AdventureDes74314	1,394210;3,41650	5,10310	4	item127000063000,2;item127000063001,3;item127000063002,4;item127000063020,9	0
74315	1004	3	item_102020030002	AdventureDes74315	35,77570	1,10310;2,10310	4	item127000063000,2;item127000063001,3;item127000063002,4;item127000063020,9	0
74316	1004	3	item_102020030002	AdventureDes74316	3,48180;4,51830	1,11970	4	item127000063000,2;item127000063001,3;item127000063002,4;item127000063020,9	0
74317	1004	3	item_102020030002	AdventureDes74317	30,87930;31,87930	4,13200	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74318	1004	3	item_102020030002	AdventureDes74318	1,484990	2,13200	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74319	1004	3	item_102020030002	AdventureDes74319	33,87930	5,13200	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74320	1004	3	item_102020030002	AdventureDes74320	30,87930	3,13200;4,13200	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74321	1004	3	item_102020030002	AdventureDes74321	35,112150	1,14480;2,14480	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74322	1004	3	item_102020030002	AdventureDes74322	3,54170	1,14480	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74323	1004	3	item_102020030002	AdventureDes74323	32,97030	4,14480	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74324	1004	3	item_102020030002	AdventureDes74324	35,123870	1,15810;2,15810	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74325	1004	3	item_102020030002	AdventureDes74325	3,57300;4,63090	1,15810	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74326	1004	3	item_102020030002	AdventureDes74326	30,106510;31,106510	4,15810	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74327	1004	3	item_102020030002	AdventureDes74327	1,541470	2,15810	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
74328	1004	3	item_102020030002	AdventureDes74328	33,116370	5,17200	4	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
75101	1005	1	icon_traranbox	AdventureDes75101	3,41710	1,10040	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,7	0
75102	1005	1	icon_traranbox	AdventureDes75102	32,66040	4,10040	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,7	0
75103	1005	1	icon_traranbox	AdventureDes75103	35,74630	1,10040;2,10040	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,7	0
75104	1005	1	icon_traranbox	AdventureDes75104	3,41710;4,44570	1,10040	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,7	0
75105	1005	1	icon_traranbox	AdventureDes75105	30,73550;31,73550	4,11100	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
75106	1005	1	icon_traranbox	AdventureDes75106	1,417380	2,11100	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
75107	1005	1	icon_traranbox	AdventureDes75107	33,73550	5,11100	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
75108	1005	1	icon_traranbox	AdventureDes75108	30,73550	3,11100;4,11100	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
75109	1005	1	icon_traranbox	AdventureDes75109	32,81380;33,81380	2,12200	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
75110	1005	1	icon_traranbox	AdventureDes75110	1,462900;3,50640	5,13140	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
75111	1005	1	icon_traranbox	AdventureDes75111	4,55000	3,13140	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
75112	1005	1	icon_traranbox	AdventureDes75112	34,93570	6,12200	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
75113	1005	1	icon_traranbox	AdventureDes75113	31,115710	5,17300;6,17300	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75114	1005	1	icon_traranbox	AdventureDes75114	34,133540;35,133540	3,17300	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75115	1005	1	icon_traranbox	AdventureDes75115	33,115710	5,17300	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75116	1005	1	icon_traranbox	AdventureDes75116	30,115710	3,17300;4,17300	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75117	1005	1	icon_traranbox	AdventureDes75117	32,126940;33,126940	2,18870	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75118	1005	1	icon_traranbox	AdventureDes75118	1,636210;3,68900	5,18870	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75119	1005	1	icon_traranbox	AdventureDes75119	4,75730	3,18870	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75120	1005	1	icon_traranbox	AdventureDes75120	34,147420	6,18870	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75121	1005	1	icon_traranbox	AdventureDes75121	33,138600	5,20500	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75122	1005	1	icon_traranbox	AdventureDes75122	30,138600;31,138600	4,20500	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75123	1005	1	icon_traranbox	AdventureDes75123	1,670160	2,20500	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75124	1005	1	icon_traranbox	AdventureDes75124	33,138600	5,20500	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75125	1005	1	icon_traranbox	AdventureDes75125	30,150700	3,22200;4,22200	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,12	0
75126	1005	1	icon_traranbox	AdventureDes75126	32,150700;33,150700	2,22200	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,12	0
75127	1005	1	icon_traranbox	AdventureDes75127	1,704980;3,76530	5,22200	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,12	0
75128	1005	1	icon_traranbox	AdventureDes75128	4,85250	3,22200	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,12	0
75129	1005	1	icon_traranbox	AdventureDes75129	33,164320	5,24100	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,12	0
75130	1005	1	icon_traranbox	AdventureDes75130	30,164320	3,24100;4,24100	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,12	0
75131	1005	1	icon_traranbox	AdventureDes75131	32,164320;33,164320	2,24100	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,12	0
75132	1005	1	icon_traranbox	AdventureDes75132	1,742830;3,80730	5,24100	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,12	0
75201	1005	2	m913_portrait01	AdventureDes75201	1,394170	2,10040	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,7	0
75202	1005	2	m913_portrait01	AdventureDes75202	33,66040	5,10040	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,7	0
75203	1005	2	m913_portrait01	AdventureDes75203	30,66040	3,10040;4,10040	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,7	0
75204	1005	2	m913_portrait01	AdventureDes75204	32,66040;33,66040	2,10040	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,7	0
75205	1005	2	m913_portrait01	AdventureDes75205	1,417380;3,44250	5,11100	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
75206	1005	2	m913_portrait01	AdventureDes75206	4,47700	3,11100	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
75207	1005	2	m913_portrait01	AdventureDes75207	34,83890	6,11100	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
75208	1005	2	m913_portrait01	AdventureDes75208	31,73550	5,11100;6,11100	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
75209	1005	2	m913_portrait01	AdventureDes75209	34,93570;35,93570	3,12200	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
75210	1005	2	m913_portrait01	AdventureDes75210	3,46860	1,12200	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
75211	1005	2	m913_portrait01	AdventureDes75211	32,87620	4,13140	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
75212	1005	2	m913_portrait01	AdventureDes75212	35,100680	1,13140;2,13140	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
75213	1005	2	m913_portrait01	AdventureDes75213	3,65240;4,71180	1,17300	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75214	1005	2	m913_portrait01	AdventureDes75214	30,115710;31,115710	4,17300	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75215	1005	2	m913_portrait01	AdventureDes75215	34,133540	6,17300	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75216	1005	2	m913_portrait01	AdventureDes75216	31,115710	5,17300;6,17300	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75217	1005	2	m913_portrait01	AdventureDes75217	34,147420;35,147420	3,18870	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75218	1005	2	m913_portrait01	AdventureDes75218	3,68900	1,18870	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75219	1005	2	m913_portrait01	AdventureDes75219	32,126940	4,18870	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75220	1005	2	m913_portrait01	AdventureDes75220	35,147420	1,18870;2,18870	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75221	1005	2	m913_portrait01	AdventureDes75221	34,161880	6,20500	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75222	1005	2	m913_portrait01	AdventureDes75222	1,670160;3,72660	5,20500	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75223	1005	2	m913_portrait01	AdventureDes75223	4,80420	3,20500	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75224	1005	2	m913_portrait01	AdventureDes75224	34,161880	6,20500	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75225	1005	2	m913_portrait01	AdventureDes75225	31,150700	5,22200;6,22200	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,12	0
75226	1005	2	m913_portrait01	AdventureDes75226	34,176880;35,176880	3,22200	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,12	0
75227	1005	2	m913_portrait01	AdventureDes75227	3,76530	1,22200	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,12	0
75228	1005	2	m913_portrait01	AdventureDes75228	32,150700	4,22200	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,12	0
75229	1005	2	m913_portrait01	AdventureDes75229	34,193820	6,24100	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,12	0
75230	1005	2	m913_portrait01	AdventureDes75230	31,164320	5,24100;6,24100	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,12	0
75231	1005	2	m913_portrait01	AdventureDes75231	34,193820;35,193820	3,24100	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,12	0
75232	1005	2	m913_portrait01	AdventureDes75232	3,80730	1,24100	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,12	0
75301	1005	3	item_102020030002	AdventureDes75301	4,44570	3,10040	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,7	0
75302	1005	3	item_102020030002	AdventureDes75302	34,74630	6,10040	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,7	0
75303	1005	3	item_102020030002	AdventureDes75303	31,66040	5,10040;6,10040	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,7	0
75304	1005	3	item_102020030002	AdventureDes75304	34,74630;35,74630	3,10040	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,7	0
75305	1005	3	item_102020030002	AdventureDes75305	3,44250	1,11100	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
75306	1005	3	item_102020030002	AdventureDes75306	32,73550	4,11100	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
75307	1005	3	item_102020030002	AdventureDes75307	35,83890	1,11100;2,11100	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
75308	1005	3	item_102020030002	AdventureDes75308	3,44250;4,47700	1,11100	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
75309	1005	3	item_102020030002	AdventureDes75309	30,87620;31,87620	4,13140	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
75310	1005	3	item_102020030002	AdventureDes75310	1,441240	2,12200	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
75311	1005	3	item_102020030002	AdventureDes75311	33,81380	5,12200	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
75312	1005	3	item_102020030002	AdventureDes75312	30,87620	3,13140;4,13140	3	item127000063000,2;item127000063002,4;item127000063003,1;item127000063020,9	0
75313	1005	3	item_102020030002	AdventureDes75313	32,115710;33,115710	2,17300	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75314	1005	3	item_102020030002	AdventureDes75314	1,603150;3,65240	5,17300	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75315	1005	3	item_102020030002	AdventureDes75315	35,133540	1,17300;2,17300	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75316	1005	3	item_102020030002	AdventureDes75316	3,65240;4,71180	1,17300	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75317	1005	3	item_102020030002	AdventureDes75317	30,126940;31,126940	4,18870	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75318	1005	3	item_102020030002	AdventureDes75318	1,636210	2,18870	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75319	1005	3	item_102020030002	AdventureDes75319	33,126940	5,18870	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75320	1005	3	item_102020030002	AdventureDes75320	30,126940	3,18870;4,18870	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75321	1005	3	item_102020030002	AdventureDes75321	35,161880	1,20500;2,20500	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75322	1005	3	item_102020030002	AdventureDes75322	3,72660	1,20500	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75323	1005	3	item_102020030002	AdventureDes75323	32,138600	4,20500	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75324	1005	3	item_102020030002	AdventureDes75324	35,161880	1,20500;2,20500	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,10	0
75325	1005	3	item_102020030002	AdventureDes75325	3,76530;4,85250	1,22200	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,12	0
75326	1005	3	item_102020030002	AdventureDes75326	30,150700;31,150700	4,22200	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,12	0
75327	1005	3	item_102020030002	AdventureDes75327	1,704980	2,22200	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,12	0
75328	1005	3	item_102020030002	AdventureDes75328	33,150700	5,22200	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,12	0
75329	1005	3	item_102020030002	AdventureDes75329	35,193820	1,24100;2,24100	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,12	0
75330	1005	3	item_102020030002	AdventureDes75330	3,80730;4,90570	1,24100	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,12	0
75331	1005	3	item_102020030002	AdventureDes75331	30,164320;31,164320	4,24100	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,12	0
75332	1005	3	item_102020030002	AdventureDes75332	1,742830	2,24100	4	item127000063000,2;item127000063002,4;item127000063003,3;item127000063020,12	0
76101	1006	1	icon_traranbox	AdventureDes76101	3,75860	1,19340	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,9	0
76102	1006	1	icon_traranbox	AdventureDes76102	32,128500	4,19340	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,9	0
76103	1006	1	icon_traranbox	AdventureDes76103	35,147090	1,19340;2,19340	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,9	0
76104	1006	1	icon_traranbox	AdventureDes76104	3,75860;4,82050	1,19340	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,9	0
76105	1006	1	icon_traranbox	AdventureDes76105	30,141450;31,141450	4,21160	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,10	0
76106	1006	1	icon_traranbox	AdventureDes76106	1,724320	2,21160	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,10	0
76107	1006	1	icon_traranbox	AdventureDes76107	33,141450	5,21160	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,10	0
