流水号	渠道ID	充值id	充值类型	是否触发首冲	充值条件	客户端显示充值金额	获得基础钻石	累计充值计算钻石	是否有额外赠送	首次额外赠送	以后每次购买额外赠送	Icon图标资源	特效资源	充值钻石信息	支付产品id名字	支付产品数量	红包id,数量
407	30601	3001	4	1	2,902,29	49000	0	250	0	-1	-1			UI_Recharge_SpName03	UI_SdkProductName08	1	
409	30601	5001	6	0		12000	0	30	0	-1	-1			UI_Recharge_SpName06	UI_SdkProductName09	1	
411	30601	5002	7	0	1,1	12000	0	80	0	-1	-1			UI_Recharge_SpName07	UI_SdkProductName10	1	
413	30601	5003	7	0	1,1	122000	0	680	0	-1	-1			UI_Recharge_SpName08	UI_SdkProductName11	1	
415	30601	6021	8	0		12000	0	60	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
417	30601	6022	8	0		12000	0	60	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
419	30601	6023	8	0		12000	0	60	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
421	30601	6024	8	0		12000	0	60	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
423	30601	6025	8	0		12000	0	60	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
425	30601	6026	8	0		12000	0	60	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
427	30601	6031	8	0		25000	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
429	30601	6032	8	0		25000	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
431	30601	6033	8	0		25000	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
433	30601	6034	8	0		25000	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
435	30601	6035	8	0		25000	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
437	30601	6036	8	0		25000	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
439	30601	6041	8	0		37000	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
441	30601	6042	8	0		37000	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
443	30601	6043	8	0		37000	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
445	30601	6044	8	0		37000	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
447	30601	6045	8	0		37000	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
449	30601	6046	8	0		37000	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
451	30601	6051	8	0		49000	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
453	30601	6052	8	0		49000	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
455	30601	6053	8	0		49000	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
457	30601	6054	8	0		49000	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
459	30601	6055	8	0		49000	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
461	30601	6056	8	0		49000	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
463	30601	6061	8	0		61000	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
465	30601	6062	8	0		61000	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
467	30601	6063	8	0		61000	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
469	30601	6064	8	0		61000	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
471	30601	6065	8	0		61000	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
473	30601	6066	8	0		61000	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
475	30601	6071	8	0		98000	0	500	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
477	30601	6072	8	0		98000	0	500	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
479	30601	6073	8	0		98000	0	500	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
481	30601	6074	8	0		98000	0	500	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
483	30601	6081	8	0		184000	0	980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
485	30601	6082	8	0		184000	0	980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
487	30601	6083	8	0		184000	0	980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
489	30601	6084	8	0		184000	0	980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
491	30601	6091	8	0		244000	0	1280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
493	30601	6092	8	0		244000	0	1280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
495	30601	6093	8	0		244000	0	1280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
497	30601	6094	8	0		244000	0	1280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
499	30601	6101	8	0		306000	0	1680	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
501	30601	6102	8	0		306000	0	1680	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
503	30601	6111	8	0		306000	0	1880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
505	30601	6112	8	0		306000	0	1880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
507	30601	6121	8	0		368000	0	1980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
509	30601	6122	8	0		368000	0	1980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
511	30601	6131	8	0		514000	0	2680	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
513	30601	6132	8	0		514000	0	2680	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
515	30601	6141	8	0		574000	0	2980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
517	30601	6142	8	0		574000	0	2980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
519	30601	6151	8	0		610000	0	3280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
521	30601	6152	8	0		610000	0	3280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
523	30601	6161	8	0		750000	0	3880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
525	30601	6162	8	0		750000	0	3880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
527	30601	6171	8	0		900000	0	4880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
529	30601	6172	8	0		900000	0	4880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
531	30601	6181	8	0		1100000	0	5880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
533	30601	6182	8	0		1100000	0	5880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
535	30601	6191	8	0		1200000	0	6480	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
537	30601	6192	8	0		1200000	0	6480	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
539	30601	7000	9	1		160000	0	880	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
541	30601	7001	9	1		160000	0	880	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
543	30601	7002	9	1		160000	0	880	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
545	30601	7003	9	1		160000	0	880	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
547	30601	7011	9	1		244000	0	1280	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
549	30601	7021	9	1		306000	0	1680	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
551	30601	7031	9	1		368000	0	1980	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
553	30601	7041	9	1		574000	0	2980	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
555	30601	7051	9	1		610000	0	3280	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
557	30601	7061	9	1		900000	0	4880	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
559	30601	7071	9	1		1100000	0	5880	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
561	30601	7081	9	1		1200000	0	6480	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
563	30601	8000	10	1		122000	0	680	0	-1	-1			UI_Recharge_SpName11	UI_SdkProductName14	1	
565	30601	8010	10	1		160000	0	880	0	-1	-1			UI_Recharge_SpName11	UI_SdkProductName14	1	
567	30601	8020	10	1		244000	0	1280	0	-1	-1			UI_Recharge_SpName11	UI_SdkProductName14	1	
569	30601	8030	10	1		368000	0	1980	0	-1	-1			UI_Recharge_SpName11	UI_SdkProductName14	1	
571	30601	8040	10	1		610000	0	3280	0	-1	-1			UI_Recharge_SpName11	UI_SdkProductName14	1	
573	30601	8050	10	1		900000	0	4880	0	-1	-1			UI_Recharge_SpName11	UI_SdkProductName14	1	
575	30601	8060	10	1		1100000	0	5880	0	-1	-1			UI_Recharge_SpName11	UI_SdkProductName14	1	
577	30601	8070	10	1		1200000	0	6480	0	-1	-1			UI_Recharge_SpName11	UI_SdkProductName14	1	
579	30801	101	1	1		199	120	120	1	12	12	recharge_icon01	10120;10119	UI_Recharge_Diamonds	UI_SdkProductName01	60	
581	30801	102	1	1		499	300	300	1	33	33	recharge_icon02	10120;10119	UI_Recharge_Diamonds	UI_SdkProductName01	300	
583	30801	103	1	1		1499	980	980	1	118	118	recharge_icon03	10120;10119	UI_Recharge_Diamonds	UI_SdkProductName01	980	item142000000202,1
585	30801	104	1	1		2999	1980	1980	1	288	288	recharge_icon04	10122;10121	UI_Recharge_Diamonds	UI_SdkProductName01	1980	item142000000202,2
587	30801	105	1	1		4999	3280	3280	1	488	488	recharge_icon05	10122;10121	UI_Recharge_Diamonds	UI_SdkProductName01	3280	item142000000202,5
589	30801	106	1	1		9999	6480	6480	1	988	988	recharge_icon06	10122;10121	UI_Recharge_Diamonds	UI_SdkProductName01	6480	item142000000202,10
591	20401	101	1	1		199	120	120	1	12	12	recharge_icon01	10120;10119	UI_Recharge_Diamonds	UI_SdkProductName01	60	
593	20401	102	1	1		499	300	300	1	33	33	recharge_icon02	10120;10119	UI_Recharge_Diamonds	UI_SdkProductName01	300	
595	20401	103	1	1		1499	980	980	1	118	118	recharge_icon03	10120;10119	UI_Recharge_Diamonds	UI_SdkProductName01	980	item142000000202,1
597	20401	104	1	1		2999	1980	1980	1	288	288	recharge_icon04	10122;10121	UI_Recharge_Diamonds	UI_SdkProductName01	1980	item142000000202,2
599	20401	105	1	1		4999	3280	3280	1	488	488	recharge_icon05	10122;10121	UI_Recharge_Diamonds	UI_SdkProductName01	3280	item142000000202,5
601	20401	106	1	1		9999	6480	6480	1	988	988	recharge_icon06	10122;10121	UI_Recharge_Diamonds	UI_SdkProductName01	6480	item142000000202,10
602	10007	101	1	1		250000	120	120	1	12	12	recharge_icon01	10120;10119	UI_Recharge_Diamonds	UI_SdkProductName01	120	
603	10007	102	1	1		590000	300	300	1	30	30	recharge_icon02	10120;10119	UI_Recharge_Diamonds	UI_SdkProductName01	300	
604	10007	103	1	1		2000000	1000	1000	1	100	100	recharge_icon03	10120;10119	UI_Recharge_Diamonds	UI_SdkProductName01	1000	item142000000202,1
605	10007	104	1	1		4100000	2050	2050	1	205	205	recharge_icon04	10122;10121	UI_Recharge_Diamonds	UI_SdkProductName01	2050	item142000000202,2
606	10007	105	1	1		6900000	3450	3450	1	345	345	recharge_icon05	10122;10121	UI_Recharge_Diamonds	UI_SdkProductName01	3450	item142000000202,5
607	10007	106	1	1		11900000	6000	6000	1	600	600	recharge_icon06	10122;10121	UI_Recharge_Diamonds	UI_SdkProductName01	6000	item142000000202,10
608	10007	1000	5	1		1600000	0	880	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName02	1	
609	10007	1001	5	1		1600000	0	880	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName02	1	
610	10007	1002	5	1		1200000	0	680	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
611	10007	1003	5	1		1200000	0	680	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
612	10007	1004	5	1		1600000	0	880	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
613	10007	1005	5	1		2500000	0	1280	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
614	10007	1006	5	1		3200000	0	1680	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
615	10007	1007	5	1		3700000	0	1980	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
616	10007	1008	5	1		5200000	0	268	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
617	10007	1009	5	1		5800000	0	2980	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
618	10007	1010	5	1		6500000	0	3280	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
619	10007	1011	5	1		7500000	0	3880	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
620	10007	1012	5	1		9500000	0	4880	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
621	10007	1013	8	1		11900000	0	6000	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
622	10007	2000	3	1		590000	300	300	0	-1	-1			UI_Recharge_SpName02	UI_SdkProductName04	1	
623	10007	2001	3	1	3,1001,9999	590000	300	300	0	-1	-1			UI_Recharge_SpName02	UI_SdkProductName05	1	
624	10007	2002	3	1	3,1001,9999	490000	250	250	0	-1	-1			UI_Recharge_SpName02	UI_SdkProductName06	1	
625	10007	3000	4	1		490000	250	250	0	-1	-1			UI_Recharge_SpName03	UI_SdkProductName07	1	
626	10007	3001	4	1	2,902,9999	490000	0	250	0	-1	-1			UI_Recharge_SpName03	UI_SdkProductName08	1	
627	10007	5001	6	0		250000	0	120	0	-1	-1			UI_Recharge_SpName06	UI_SdkProductName09	1	
628	10007	5002	7	0	1,1	390000	0	180	0	-1	-1			UI_Recharge_SpName07	UI_SdkProductName10	1	
629	10007	5003	7	0	1,1	3700000	0	1980	0	-1	-1			UI_Recharge_SpName08	UI_SdkProductName11	1	
630	10007	5004	7	0	1,1	1600000	0	880	0	-1	-1			UI_Recharge_SpName08	UI_SdkProductName11	1	
631	10007	5005	7	0	1,1	2000000	0	1000	0	-1	-1			UI_Recharge_SpName08	UI_SdkProductName11	1	
632	10007	6031	8	1		250000	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
633	10007	6032	8	0		250000	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
634	10007	6033	8	0		250000	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
635	10007	6034	8	0		250000	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
636	10007	6035	8	0		250000	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
637	10007	6036	8	0		250000	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
638	10007	6041	8	0		390000	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
639	10007	6042	8	0		390000	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
640	10007	6043	8	0		390000	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
641	10007	6044	8	0		390000	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
642	10007	6045	8	0		390000	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
643	10007	6046	8	0		390000	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
644	10007	6051	8	0		490000	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
645	10007	6052	8	0		490000	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
646	10007	6053	8	0		490000	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
647	10007	6054	8	0		490000	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
648	10007	6055	8	0		490000	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
649	10007	6056	8	0		490000	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
650	10007	6061	8	0		590000	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
651	10007	6062	8	0		590000	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
652	10007	6063	8	0		590000	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
653	10007	6064	8	0		590000	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
654	10007	6065	8	0		590000	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
655	10007	6066	8	0		590000	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
656	10007	6071	11	0		990000	0	500	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
657	10007	6072	8	0		990000	0	500	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
658	10007	6073	8	0		990000	0	500	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
659	10007	6074	8	0		990000	0	500	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
660	10007	6081	8	0		1900000	0	980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
661	10007	6082	8	0		1900000	0	980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
662	10007	6083	8	0		1900000	0	980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
663	10007	6084	8	0		1900000	0	980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
664	10007	6091	8	0		2500000	0	1280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
665	10007	6092	8	0		2500000	0	1280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
666	10007	6093	8	0		2500000	0	1280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
667	10007	6094	8	0		2500000	0	1280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
668	10007	6101	8	0		3200000	0	1680	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
669	10007	6102	8	0		3200000	0	1680	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
670	10007	6111	8	0		3500000	0	1880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
671	10007	6112	8	0		3500000	0	1880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
672	10007	6121	8	0		3700000	0	1980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
673	10007	6122	8	0		3700000	0	1980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
674	10007	6131	8	0		5200000	0	2680	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
675	10007	6132	8	0		5200000	0	2680	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
676	10007	6141	8	0		5800000	0	2980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
677	10007	6142	8	0		5800000	0	2980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
678	10007	6151	8	0		6500000	0	3280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
679	10007	6152	8	0		6500000	0	3280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
680	10007	6161	8	0		7500000	0	3880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
681	10007	6162	8	0		7500000	0	3880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
682	10007	6171	8	0		9500000	0	4880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
683	10007	6172	8	0		9500000	0	4880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
684	10007	6181	8	0		10900000	0	6000	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
685	10007	6182	8	0		10900000	0	6000	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
686	10007	6191	8	0		11900000	0	6000	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
687	10007	6192	8	0		11900000	0	6000	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
688	10007	7000	9	1		1600000	0	880	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
689	10007	7001	9	1		1600000	0	880	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
690	10007	7002	8	1		1600000	0	880	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
691	10007	7003	9	1		1600000	0	880	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
692	10007	7011	9	1		2500000	0	1280	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
693	10007	7021	9	1		3200000	0	1680	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
694	10007	7031	8	1		3700000	0	1980	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
695	10007	7041	9	1		5800000	0	2980	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
696	10007	7051	8	1		6500000	0	3280	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
697	10007	7061	8	1		9500000	0	4880	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
698	10007	7071	8	1		10900000	0	5880	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
699	10007	7081	8	1		11900000	0	6000	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
700	10007	8000	10	1		1200000	680	680	0	-1	-1			UI_Recharge_SpName11	UI_SdkProductName14	1	
701	10007	8010	10	1		1600000	880	880	0	-1	-1			UI_Recharge_SpName11	UI_SdkProductName14	1	
702	10007	8020	10	1		2500000	1280	1280	0	-1	-1			UI_Recharge_SpName11	UI_SdkProductName14	1	
703	10007	8030	8	1		3700000	1980	1980	0	-1	-1			UI_Recharge_SpName11	UI_SdkProductName14	1	
704	10007	8040	8	1		6500000	0	3280	0	-1	-1			UI_Recharge_SpName11	UI_SdkProductName14	1	
705	10007	8050	10	1		9500000	4880	4880	0	-1	-1			UI_Recharge_SpName11	UI_SdkProductName14	1	
706	10007	8060	8	1		10900000	0	5880	0	-1	-1			UI_Recharge_SpName11	UI_SdkProductName14	1	
707	10007	8070	8	1		11900000	0	6000	0	-1	-1			UI_Recharge_SpName11	UI_SdkProductName14	1	
708	10007	7004	8	1		1600000	0	880	0	-1	-1			UI_Recharge_SpName10	UI_SdkProductName13	1	
709	10007	6201	8	0		1200000	0	680	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
710	10007	6202	8	0		1200000	0	680	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
711	10007	6232	8	0		250000	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
712	10007	6233	8	0		250000	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
713	10007	6234	8	0		250000	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
714	10007	6241	8	0		390000	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
715	10007	6242	8	0		390000	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
716	10007	6243	8	0		390000	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
717	10007	6244	8	0		390000	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
718	10007	6251	8	0		490000	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
719	10007	6252	8	0		490000	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
720	10007	6253	8	0		490000	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
721	10007	6254	8	0		490000	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
722	10007	6261	8	0		590000	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
723	10007	6262	8	0		590000	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
724	10007	6263	8	0		590000	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
725	10007	6264	8	0		590000	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
726	10007	6271	8	0		990000	0	500	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
727	10007	6272	8	0		990000	0	500	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
728	10007	6273	8	0		990000	0	500	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
729	10007	6274	8	0		990000	0	500	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
730	10007	6281	8	0		1900000	0	980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
731	10007	6282	8	0		1900000	0	980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
732	10007	6283	8	0		1900000	0	980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
733	10007	6284	8	0		1900000	0	980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
734	10007	6291	8	0		2500000	0	1280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
735	10007	6292	8	0		2500000	0	1280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
736	10007	6293	8	0		2500000	0	1280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
737	10007	6294	8	0		2500000	0	1280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
738	10007	6301	8	0		3200000	0	1680	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
739	10007	6302	8	0		3200000	0	1680	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
740	10007	6303	8	0		3200000	0	1680	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
741	10007	6304	8	0		3200000	0	1680	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
742	10007	6311	8	0		3500000	0	1880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
743	10007	6312	8	0		3500000	0	1880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
744	10007	6313	8	0		3500000	0	1880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
745	10007	6314	8	0		3500000	0	1880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
746	10007	6321	8	0		3700000	0	1980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
747	10007	6322	8	0		3700000	0	1980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
748	10007	6323	8	0		3700000	0	1980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
749	10007	6324	8	0		3700000	0	1980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
