流水	场景ID	Npc配置ID	对象类型	出生位置	出生角度
346	1	ride_pub_seat_air01	ShowNpc	12.1, -1.5, 9.6	358.399994
347	1	ride_pub_seat_air01	ShowNpc	13.0, -1.4, 9.8	358.399994
348	1	npc_mappoint_fishing_0101	ShowNpc	-20.7, -0.5, 38.9	187.039993
349	1	npc_mappoint_fishing_0102	ShowNpc	8.5, -0.4, 42.9	201.820007
350	1	npc_mappoint_fishing_0103	ShowNpc	0.1, -5.4, -67.0	148.600006
351	1	npc_10020	ShowNpc	-10.1, -5.0, -43.4	195.245804
352	1	npc_10019	ShowNpc	-67.0, -4.3, -47.5	121.732300
353	1	npc_10003	ShowNpc	-59.5, -4.3, -41.2	176.698593
354	1	npc_collect_001	ShowNpc	14.1, -5.1, -52.1	180.000000
355	1	npc_collect_008	ShowNpc	-55.9, -2.8, 13.1	180.000000
356	1	npc_collect_010	ShowNpc	28.0, -0.4, -14.1	180.000000
357	1	npc_101621	ShowNpc	-57.7, -4.3, -66.6	45.509682
358	1	npc_10004	ShowNpc	14.8, -5.1, -46.4	102.733902
359	1	npc_018_lilina	ShowNpc	24.3, -5.1, -37.5	155.682602
360	1	npc_018_lilina2	ShowNpc	-67.7, -4.3, -64.4	53.519691
361	1	npc_018_fushide	ShowNpc	47.9, 4.1, 59.3	168.921204
362	1	npc_collect_005	ShowNpc	-24.2, -0.5, 61.8	180.000000
363	1	npc_trial_1001	TrialNpc	48.5, 4.1, 47.7	223.100006
364	1	npc_trial_1002	TrialNpc	13.5, -0.3, 38.1	154.399994
365	1	npc_trial_1003	TrialNpc	-16.5, -0.4, 54.9	132.800003
366	1	npc_trial_1004	TrialNpc	31.5, -0.3, -0.2	15.000000
367	1	npc_trial_1005	TrialNpc	31.1, -5.3, -52.0	15.000000
368	1	npc_10009_CarryTarget	ShowNpc	-25.5, -5.0, -31.7	0.000000
369	1	npc_zhengqi	ShowNpc	12.1, -8.2, 14.3	0.000000
370	1	npc_penquan	ShowNpc	12.1, -8.2, 14.3	0.000000
371	1	npc_fishingground_010101	ShowNpc	-20.8, -3.1, 29.4	358.399994
372	1	npc_fishingground_010201	ShowNpc	3.3, -3.1, 52.5	358.399994
373	1	npc_fishingground_010301	ShowNpc	7.9, -5.4, -72.5	358.399994
374	1	npc_10014	ShowNpc	40.5, -5.1, -62.3	338.341705
375	1	npc_10015	ShowNpc	44.3, -5.1, -59.5	330.905701
376	3	npc_10016	ShowNpc	-68.8,0.2,4.3	168.651901
377	1	npc_10201	ShowNpc	-6.9, 4.7, -12.8	179.506195
378	1	cannon_npc_001	ShowNpc	-28.0, -3.7, -28.0	88.000000
379	1	ride_pub_seat_01	ShowNpc	-38.3, -4.2, -67.5	330.000000
380	1	ride_pub_seat_01	ShowNpc	-39.6, -4.2, -68.9	330.000000
381	1	ride_pub_seat_01	ShowNpc	-40.8, -4.2, -70.3	330.000000
382	1	ride_pub_seat_01	ShowNpc	-41.9, -4.2, -71.8	330.000000
383	1	ride_pub_seat_01	ShowNpc	-62.5, -4.2, -41.0	330.000000
384	1	ride_pub_stone_01	ShowNpc	65.3, 4.2, 42.4	14.188470
385	1	ride_pub_stone_01	ShowNpc	44.9, 4.2, 62.0	14.188470
386	1	ride_pub_stone_01	ShowNpc	42.4, 4.2, 59.6	14.188470
387	1	ride_pub_stone_01	ShowNpc	40.8, 4.2, 57.4	14.188470
388	1	ride_pub_stone_01	ShowNpc	38.7, 4.2, 55.6	14.188470
389	1	ride_pub_stone_01	ShowNpc	51.5, 4.2, 33.6	14.188470
390	1	ride_pub_stone_01	ShowNpc	-26.1, -0.4, 69.3	14.188470
391	1	ride_pub_stone_01	ShowNpc	-27.5, -0.4, 56.7	14.188470
392	1	ride_pub_stone_01	ShowNpc	-3.6, -0.3, 67.2	14.188470
393	1	ride_pub_stone_01	ShowNpc	-34.7, -3.0, 14.9	14.188470
394	1	ride_pub_stone_01	ShowNpc	-56.8, -2.8, 26.0	14.188470
395	1	ride_pub_stone_01	ShowNpc	-45.4, -4.9, -30.7	14.188470
396	1	ride_pub_stone_01	ShowNpc	48.7, -5.1, -39.6	14.188470
397	1	ride_pub_stone_01	ShowNpc	23.9, -5.1, -63.8	14.188470
398	1	ride_pub_stone_01	ShowNpc	-24.7, -4.9, -47.5	14.188470
399	1	ride_pub_stone_01	ShowNpc	-33.5, -4.9, -4.2	14.188470
400	1	ride_pub_stone_01	ShowNpc	-29.6, -4.9, -8.1	14.188470
401	1	ride_pub_stone_01	ShowNpc	-55.2, -2.8, 9.9	14.188470
402	1	ride_pub_stone_01	ShowNpc	17.7, -0.3, 44.1	14.188470
403	1	ride_pub_stone_01	ShowNpc	8.4, -0.3, 44.1	14.188470
404	1	ride_pub_stone_01	ShowNpc	38.0, -0.3, 23.5	14.188470
405	1	ride_pub_stone_01	ShowNpc	46.3, -0.3, 5.2	14.188470
406	1	ride_pub_stone_01	ShowNpc	43.0, -0.3, -9.7	14.188470
407	1	ride_pub_stone_01	ShowNpc	23.5, -0.3, -15.5	14.188470
408	1	ride_pub_stone_01	ShowNpc	16.5, -0.3, -15.0	14.188470
409	1	ride_pub_stone_01	ShowNpc	50.0, -5.1, -47.5	14.188470
410	1	ride_pub_stone_01	ShowNpc	-9.0, -4.9, -36.2	14.188470
411	1	ride_pub_stone_01	ShowNpc	-11.3, -4.9, -41.7	14.188470
412	1	ride_pub_stone_01	ShowNpc	-34.5, -2.9, 18.9	14.188470
413	1	ride_pub_stone_01	ShowNpc	-44.2, -0.3, 46.8	14.188470
414	1	ride_pub_stone_01	ShowNpc	-10.5, -0.3, 4.7	14.188470
415	1	ride_pub_stone_01	ShowNpc	40.5, -5.1, -65.4	14.188470
416	1	ride_pub_stone_01	ShowNpc	34.5, -5.1, -64.8	14.188470
417	1	ride_pub_stone_01	ShowNpc	-8.7, -5.2, -56.2	14.188470
418	1	ride_pub_stone_01	ShowNpc	-17.4, -4.9, -53.9	14.188470
419	1	npc_10084	ShowNpc	41.6, -0.4, -3.0	73.981499
420	1	toss_04	ShowNpc	32.2, -0.4, -3.6	73.981499
421	1	npc_ditujiantou	ShowNpc	-12.1, 4.8, -9.7	0.000000
422	1	npc_101311	ShowNpc	50.6, 4.1, 58.2	190.800003
423	1	npc_10216	ShowNpc	-58.4, -2.8, 18.7	97.981506
424	1	npc_018_zuoqi	ShowNpc	22.1, -0.4, 2.8	143.169495
425	1	npc_018_zuoqi2	ShowNpc	-64.0, -4.3, -73.9	42.981510
426	1	npc_018_timu1	ShowNpc	-23.6, -5.0, -13.8	206.981506
427	1	npc_018_xsw	ShowNpc	20.6, -5.1, -34.9	192.198593
428	1	npc_018_xsw2	ShowNpc	14.4, -5.1, -49.7	43.198601
429	1	npc_100812	ShowNpc	40.6, 4.3, 48.3	33.000000
430	1	npc_20022	ShowNpc	-37.0, -4.3, -58.5	264.905701
431	1	npc_20023	ShowNpc	-5.1, -0.5, 62.7	313.899994
432	1	npc_10082	ShowNpc	-25.0, -5.0, -34.0	201.343994
433	1	npc_100821	ShowNpc	-13.0, -5.0, -23.2	216.343994
434	1	npc_100823	ShowNpc	38.1, -0.4, -10.6	216.343994
435	1	npc_100822	ShowNpc	-11.1, -5.0, -26.8	155.053604
436	1	ride_pub_ofk_001	ShowNpc	-43.3, -4.9, -32.5	210.000000
437	1	ride_pub_ofk_001	ShowNpc	-44.0, -4.9, -32.0	210.000000
438	1	ride_pub_ofk_001	ShowNpc	-44.7, -4.9, -31.5	210.000000
439	1	ride_pub_ofk_001	ShowNpc	-45.4, -4.9, -31.0	210.000000
440	1	ride_pub_ofk_001	ShowNpc	-46.1, -4.9, -30.5	210.000000
441	1	npc_003_mohade1	ShowNpc	40.6, 4.3, 48.3	33.000000
442	1	npc_10153	ShowNpc	-56.8, -4.3, -63.4	235.698593
443	1	npc_10012	ShowNpc	-20.2, -0.5, 68.3	136.196701
444	1	npc_018_moto	ShowNpc	-11.1, -5.0, -26.8	155.053604
445	1	npc_018_moto	ShowNpc	40.4, -0.4, -8.2	190.053604
446	1	npc_collect_022	ShowNpc	-10.5, -5.0, -40.0	180.000000
447	1	npc_018_lilina_sleep	ShowNpc	24.3, -5.1, -37.5	155.682602
448	1	npc_ring002	ShowNpc	-45.9, -2.8, 15.6	59.860001
449	1	npc_ring102	ShowNpc	-45.9, -2.8, 15.6	59.860001
450	1	npc_ring202	ShowNpc	-45.9, -2.8, 15.6	59.860001
451	1	npc_ring302	ShowNpc	-45.9, -2.8, 15.6	59.860001
452	1	npc_ring402	ShowNpc	-45.9, -2.8, 15.6	59.860001
453	1	npc_10007	ShowNpc	-68.2, -4.3, -62.3	78.509682
454	1	npc_10011	ShowNpc	-42.8, -4.3, -73.5	318.174988
455	1	npc_collect_007	ShowNpc	47.0, -5.1, -43.7	180.000000
456	1	npc_collect_006	ShowNpc	42.1, -0.4, -10.4	180.000000
457	1	npc_collect_002	ShowNpc	-20.8, -5.0, -16.9	180.000000
458	1	npc_collect_004	ShowNpc	-10.4, -0.4, 12.1	180.000000
459	1	npc_ring001	ShowNpc	1.9, -0.5, 6.0	59.860001
460	1	npc_ring101	ShowNpc	1.9, -0.5, 6.0	59.860001
461	1	npc_ring201	ShowNpc	1.9, -0.5, 6.0	59.860001
462	1	npc_ring301	ShowNpc	1.9, -0.5, 6.0	59.860001
463	1	npc_ring401	ShowNpc	1.9, -0.5, 6.0	59.860001
464	1	npc_018_diaoxiang1	ShowNpc	-52.5, -4.3, -59.3	212.000000
465	1	npc_018_diaoxiang2	ShowNpc	-52.5, -4.3, -59.3	212.000000
466	1	npc_003_mohade3	ShowNpc	-58.2, -4.3, -81.2	195.245804
467	1	npc_509170	ShowNpc	-56.8, -4.3, -55.7	195.000000
468	2	ride_pub_seat_air02	ShowNpc	-79.4, 0.8, -79.7	225.000000
469	2	ride_pub_seat_air02	ShowNpc	-78.5, 0.8, -80.6	225.000000
470	2	ride_pub_seat_air02	ShowNpc	-38.0, 2.2, -27.2	260.000000
471	2	ride_pub_seat_air02	ShowNpc	-39.4, 3.3, -22.6	275.299988
472	2	ride_pub_seat_air02	ShowNpc	-39.5, 3.5, -21.3	275.299988
473	2	ride_pub_seat_air02	ShowNpc	-45.8, 3.6, -21.8	79.999992
474	2	ride_pub_seat_air02	ShowNpc	-45.8, 3.5, -22.8	79.999992
475	2	ride_pub_seat_air02	ShowNpc	-45.0, 2.6, -28.9	65.000008
476	2	ride_pub_seat_air02	ShowNpc	-42.6, 1.9, -35.4	55.000000
477	2	ride_pub_seat_air02	ShowNpc	-42.3, 1.8, -36.2	55.000000
478	2	linknpc_libing	ShowNpc	-65.0, 0.6, -58.4	154.009995
479	2	npc_100802	ShowNpc	-40.1, 3.8, 4.3	143.199997
480	2	npc_10515	ShowNpc	19.8, 1.1, -38.1	285.000000
481	2	npc_soldier	ShowNpc	-11.6, 1.3, -47.3	175.729996
482	2	npc_noticeboard_001	ShowNpc	-63.1, 0.7, -57.9	144.899994
483	2	npc_noticeboard_002	ShowNpc	-7.0, 0.1, 14.3	60.000000
484	2	npc_noticeboard_003	ShowNpc	18.4, 2.5, -24.3	144.899994
485	2	npc_soulstar	ShowNpc	-8.0, 0.1, -10.8	156.699997
486	2	npc_star002	ShowNpc	-5.2, 0.1, -13.2	232.800003
487	2	npc_forging_002	ShowNpc	17.4, 0.0, -15.6	262.450012
488	2	npc_101623	ShowNpc	-25.4, 0.0, -13.9	316.100006
489	2	npc_10139	ShowNpc	-24.9, 1.2, -45.2	203.419998
490	2	npc_101391	ShowNpc	-61.9, 0.8, -65.2	178.419998
491	2	npc_10045	ShowNpc	1.4, 1.2, -43.8	150.960007
492	2	npc_100451	ShowNpc	-61.1, 0.6, -70.3	240.720001
493	2	npc_20001	ShowNpc	-61.0, 0.7, -58.9	180.899994
494	2	npc_20002	ShowNpc	92.5, 9.7, 24.4	226.500000
495	2	npc_20003	ShowNpc	68.5, -1.3, -32.8	226.500000
496	2	npc_20014	ShowNpc	55.7, 11.0, 55.5	218.199997
497	2	npc_20015	ShowNpc	59.4, 11.0, 52.1	225.600006
498	2	npc_20016	ShowNpc	60.0, 13.2, 59.4	141.300003
499	2	npc_20017	ShowNpc	63.3, 13.2, 56.2	318.200012
500	2	cannon_npc_002	ShowNpc	25.2, 4.7, 21.6	228.199997
501	2	npc_10232	ShowNpc	-74.0, 0.8, -57.8	41.900009
502	2	npc_102392	ShowNpc	-11.2, 8.1, 56.1	111.300003
503	2	npc_10236	ShowNpc	-2.6, 8.1, 58.7	149.000000
504	2	npc_102351	ShowNpc	-2.7, 9.0, 58.7	149.300003
505	2	npc_102352	ShowNpc	66.3, 23.7, -7.8	308.600006
506	2	npc_examination	ShowNpc	7.0, 0.0, -21.0	308.700012
507	2	npc_10210	ShowNpc	-27.9, 0.0, -19.8	90.699997
508	2	npc_guildwar_entrance	ShowNpc	-49.7, 5.9, 32.1	180.880005
510	2	npc_multi	ShowNpc	-54.7, 5.9, 28.8	129.649994
511	2	npc_10079	ShowNpc	23.5, 2.4, -24.8	230.699997
512	2	npc_10075	ShowNpc	-15.3, 1.3, -47.2	189.500000
513	2	npc_10138	ShowNpc	-20.2, 1.2, -46.3	194.600006
514	2	npc_19000	ShowNpc	-27.9, 0.0, -12.4	98.300003
515	2	npc_10078	ShowNpc	-5.7, 1.2, -48.3	169.380005
516	2	npc_10002	ShowNpc	61.0, 13.3, 57.3	222.100006
517	2	npc_100021	ShowNpc	-32.7, 1.2, -36.3	225.100006
518	2	npc_10037	ShowNpc	18.5, 4.7, 28.6	173.199997
519	2	npc_10077	ShowNpc	-29.5, 3.9, 36.1	142.699997
520	2	npc_10044	ShowNpc	-42.6, 3.8, -7.1	148.899994
521	2	npc_10159	ShowNpc	-9.9, 0.1, -12.9	40.099998
522	2	npc_forging_001	ShowNpc	12.9, 0.0, -11.9	182.860001
523	2	npc_10032	ShowNpc	27.2, 4.7, 29.7	205.800003
524	2	npc_10043	ShowNpc	98.3, 9.7, 23.5	224.110001
525	2	npc_10034	ShowNpc	31.4, 4.7, 13.8	318.600006
526	2	npc_10035	ShowNpc	32.8, 4.7, 22.9	261.200012
527	2	npc_crack	ShowNpc	-3.2, 0.0, 7.0	219.460007
528	2	npc_10041	ShowNpc	5.1, 1.2, -53.6	312.200012
529	2	npc_10036	ShowNpc	23.6, 4.7, 29.8	179.000000
530	2	npc_10040	ShowNpc	-24.6, 0.0, -4.3	130.820007
531	2	npc_10046	ShowNpc	7.7, 1.2, -34.3	313.399994
532	2	npc_10033	ShowNpc	32.8, 4.7, 18.3	283.489990
533	2	npc_10205	ShowNpc	-14.0, 0.0, 6.3	144.899994
534	2	npc_trial	ShowNpc	-0.8, 0.0, 4.6	220.000000
535	2	ride_pub_ofk_001	ShowNpc	-16.3, 0.1, -39.6	192.000000
536	2	ride_pub_ofk_001	ShowNpc	-17.4, 0.1, -39.4	192.000000
537	2	ride_pub_ofk_001	ShowNpc	-18.5, 0.1, -39.2	192.000000
538	2	ride_pub_ofk_001	ShowNpc	-19.6, 0.1, -39.0	192.000000
539	2	ride_pub_ofk_001	ShowNpc	-20.7, 0.1, -38.8	192.000000
540	2	npc_digtreasure	ShowNpc	-6.5, 0.0, -34.7	306.500000
541	2	ride_pub_stone_01	ShowNpc	69.8, 11.1, 52.8	14.188470
542	2	ride_pub_stone_01	ShowNpc	56.9, 11.0, 67.6	14.188470
543	2	ride_pub_stone_01	ShowNpc	32.6, 11.0, 93.0	14.188470
544	2	ride_pub_stone_01	ShowNpc	88.7, 9.8, 31.1	14.188470
545	2	ride_pub_stone_01	ShowNpc	-24.1, 1.3, -43.6	14.188470
546	2	ride_pub_stone_01	ShowNpc	18.3, 1.2, -45.9	14.188470
547	2	ride_pub_stone_01	ShowNpc	-58.0, -0.7, -76.7	14.188470
548	2	ride_pub_stone_01	ShowNpc	-73.9, 0.8, -74.7	14.188470
549	2	ride_pub_stone_01	ShowNpc	-1.1, 8.2, 57.5	14.188470
550	2	ride_pub_stone_01	ShowNpc	-6.1, 8.2, 67.5	14.188470
551	2	ride_pub_stone_01	ShowNpc	-13.0, 8.2, 59.4	14.188470
552	2	ride_pub_stone_01	ShowNpc	-7.0, 8.2, 56.1	14.188470
553	2	ride_pub_stone_01	ShowNpc	0.3, 8.2, 61.3	14.188470
554	2	ride_pub_stone_01	ShowNpc	-7.8, 8.2, 51.2	14.188470
555	2	ride_pub_stone_01	ShowNpc	-13.5, 8.2, 55.4	14.188470
556	2	ride_pub_stone_01	ShowNpc	-4.5, 8.2, 54.0	14.188470
557	2	ride_pub_stone_01	ShowNpc	-0.1, 8.2, 57.0	14.188470
558	2	ride_pub_stone_01	ShowNpc	68.2, 23.8, -6.4	14.188470
559	2	ride_pub_stone_01	ShowNpc	65.4, 23.8, -10.4	14.188470
560	2	ride_pub_stone_01	ShowNpc	68.9, 23.8, -13.9	14.188470
561	2	ride_pub_stone_01	ShowNpc	71.6, 23.8, -12.6	14.188470
562	2	ride_pub_stone_01	ShowNpc	2.9, 3.9, 36.0	14.188470
563	2	ride_pub_stone_01	ShowNpc	-0.4, 3.9, 39.1	14.188470
564	2	ride_pub_stone_01	ShowNpc	43.7, 3.9, -5.1	14.188470
565	2	ride_pub_stone_01	ShowNpc	37.9, 3.9, 0.6	14.188470
566	2	ride_pub_stone_01	ShowNpc	40.4, 3.9, -1.9	14.188470
567	2	ride_pub_stone_01	ShowNpc	34.8, 3.9, 3.9	14.188470
568	2	ride_pub_stone_01	ShowNpc	8.5, 3.9, 30.2	14.188470
569	2	ride_pub_stone_01	ShowNpc	5.2, 3.9, 33.6	14.188470
570	2	ride_pub_stone_01	ShowNpc	102.8, 9.8, 17.2	14.188470
571	2	ride_pub_stone_01	ShowNpc	-70.9, 0.8, -71.8	14.188470
572	2	ride_pub_stone_01	ShowNpc	-68.3, -0.7, -79.9	14.188470
573	2	npc_20020	ShowNpc	-65.1, -0.8, -80.7	120.550003
574	2	npc_20021	ShowNpc	-56.4, -0.6, -79.8	225.399994
575	2	npc_10042	ShowNpc	26.7, 11.0, 85.1	143.199997
576	2	npc_101701	ShowNpc	33.9, 5.0, 30.1	196.500000
577	2	npc_10039	ShowNpc	-19.2, 0.0, 2.8	144.899994
578	2	npc_snowfight	ShowNpc	-27.8, 0.0, -15.6	79.199997
579	2	linknpc_dalisic	ShowNpc	-12.0, 0.1, -10.1	132.050003
580	3	npc_mappoint_fishing_0201	ShowNpc	-6.3, 0.2, -5.5	187.039993
581	3	npc_mappoint_fishing_0202	ShowNpc	35.5, 0.1, -8.9	18.100060
583	3	ride_pub_stone_01	ShowNpc	-33.8, 0.2, -44.4	14.188470
584	3	ride_pub_stone_01	ShowNpc	-40.6, 0.2, -34.7	14.188470
585	3	ride_pub_stone_01	ShowNpc	-38.8, 0.2, -41.8	14.188470
586	3	ride_pub_stone_01	ShowNpc	-50.9, 0.2, -10.4	14.188470
587	3	ride_pub_stone_01	ShowNpc	-38.1, 0.2, 18.9	14.188470
588	3	ride_pub_stone_01	ShowNpc	-53.2, 0.2, 15.3	14.188470
589	3	ride_pub_stone_01	ShowNpc	-67.7, 0.2, 15.2	14.188470
590	3	ride_pub_stone_01	ShowNpc	-17.5, 0.3, 21.5	14.188470
591	3	ride_pub_stone_01	ShowNpc	6.2, 0.2, 46.1	14.188470
592	3	ride_pub_stone_01	ShowNpc	30.6, 0.2, 46.9	14.188470
593	3	ride_pub_stone_01	ShowNpc	37.3, 0.2, 43.6	14.188470
594	3	ride_pub_stone_01	ShowNpc	29.3, 0.3, 31.3	14.188470
595	3	ride_pub_stone_01	ShowNpc	56.0, 0.0, 29.3	14.188470
596	3	ride_pub_stone_01	ShowNpc	54.5, 0.3, 31.7	14.188470
597	3	ride_pub_stone_01	ShowNpc	50.8, 0.2, 37.3	14.188470
598	3	ride_pub_stone_01	ShowNpc	47.4, 0.2, 39.0	14.188470
599	3	ride_pub_stone_01	ShowNpc	59.9, 0.1, 16.7	14.188470
600	3	ride_pub_stone_01	ShowNpc	57.4, 0.1, 14.4	14.188470
601	3	ride_pub_stone_01	ShowNpc	59.7, 0.1, 8.9	14.188470
602	3	ride_pub_stone_01	ShowNpc	63.3, 0.1, 6.8	14.188470
603	3	ride_pub_stone_01	ShowNpc	65.9, 0.1, 0.9	14.188470
604	3	ride_pub_stone_01	ShowNpc	46.5, 0.1, -9.2	14.188470
605	3	ride_pub_stone_01	ShowNpc	43.0, 0.1, -9.3	14.188470
606	3	ride_pub_stone_01	ShowNpc	51.9, 0.1, -8.5	14.188470
607	3	ride_pub_stone_01	ShowNpc	29.0, 0.1, 8.7	14.188470
608	3	ride_pub_stone_01	ShowNpc	32.0, 0.1, 12.3	14.188470
609	3	ride_pub_stone_01	ShowNpc	27.2, 0.1, 16.2	14.188470
610	3	ride_pub_stone_01	ShowNpc	15.9, 0.2, 5.2	14.188470
611	3	ride_pub_stone_01	ShowNpc	11.9, 0.2, 4.6	14.188470
612	3	ride_pub_stone_01	ShowNpc	21.9, 0.2, -0.7	14.188470
613	3	ride_pub_stone_01	ShowNpc	0.7, 0.4, 11.3	14.188470
614	3	ride_pub_stone_01	ShowNpc	-12.5, 0.4, 10.6	14.188470
615	3	ride_pub_stone_01	ShowNpc	-7.5, 0.4, 11.6	14.188470
616	3	ride_pub_stone_01	ShowNpc	-16.6, 0.2, 1.6	14.188470
617	3	ride_pub_stone_01	ShowNpc	-8.6, 0.2, -18.8	14.188470
618	3	ride_pub_stone_01	ShowNpc	-8.1, 0.2, -15.1	14.188470
619	3	ride_pub_stone_01	ShowNpc	22.5, 2.9, -55.1	14.188470
620	3	ride_pub_stone_01	ShowNpc	32.1, 2.9, -36.4	14.188470
621	3	ride_pub_stone_01	ShowNpc	23.6, 2.9, -20.9	14.188470
622	3	ride_pub_stone_01	ShowNpc	14.4, 2.9, -30.1	14.188470
623	3	ride_pub_stone_01	ShowNpc	16.7, 2.9, -60.2	14.188470
624	3	ride_pub_stone_01	ShowNpc	9.2, 2.8, 55.3	14.188470
625	3	ride_pub_stone_01	ShowNpc	-6.3, 1.4, 52.9	14.188470
626	3	ride_pub_seat_fire	ShowNpc	21.1, 0.2, 50.9	296.000000
627	3	ride_pub_seat_fire	ShowNpc	19.5, 0.2, 49.6	356.000000
628	3	ride_pub_seat_fire	ShowNpc	17.5, 0.2, 50.4	58.000000
629	3	ride_pub_seat_fire	ShowNpc	17.3, 0.2, 52.9	125.000000
630	3	ride_pub_seat_fire	ShowNpc	19.8, 0.2, 53.5	190.000000
631	3	ride_pub_seat_01	ShowNpc	18.1, 2.9, -43.4	224.000000
632	3	ride_pub_seat_01	ShowNpc	23.3, 2.9, -43.5	180.000000
633	3	cannon_npc_003	ShowNpc	25.2, 2.9, -34.8	307.799988
634	3	npc_10031	ShowNpc	55.2, 0.1, 7.7	228.500000
635	3	npc_10022	ShowNpc	-39.5, 0.2, 14.3	178.940002
636	3	npc_10030	ShowNpc	-20.9, 0.2, -45.2	124.000000
637	3	npc_trial_3001	TrialNpc	-55.6, 0.2, 4.1	84.000000
638	3	npc_trial_3002	TrialNpc	-8.2, 0.2, -51.7	340.000000
639	3	npc_trial_3003	TrialNpc	43.6, 0.1, 6.4	160.000000
640	3	npc_trial_3004	TrialNpc	0.4, 0.2, 33.8	98.000000
641	3	npc_trial_3005	TrialNpc	0.1, 0.2, -22.8	276.000000
642	3	npc_fishingground_020101	ShowNpc	-8.4, -1.1, 1.4	354.380005
643	3	npc_fishingground_020201	ShowNpc	31.1, -1.9, -13.0	354.380005
644	3	npc_ring009	ShowNpc	-6.7, 0.3, -53.5	59.860001
645	3	npc_100271	ShowNpc	-22.9, 0.2, -10.5	230.000000
646	3	npc_100272	ShowNpc	-17.6, 0.4, 32.0	208.000000
647	3	npc_100273	ShowNpc	-27.2, 0.2, 21.7	133.000000
648	3	npc_100274	ShowNpc	4.6, 0.2, -13.8	228.000000
649	3	npc_100275	ShowNpc	-29.7, 0.2, -36.3	284.000000
650	3	npc_10084	ShowNpc	-18.3, 0.4, 30.8	240.000000
651	3	npc_10085	ShowNpc	14.6, 2.8, -48.3	25.700001
652	3	npc_1008510	ShowNpc	48.7, 0.1, 18.1	126.400002
653	3	npc_1008511	ShowNpc	-18.3, 0.4, 30.8	240.000000
654	3	npc_002_mohade	ShowNpc	-37.4, 0.2, -31.8	134.399994
655	3	npc_101622	ShowNpc	-29.8, 0.2, -33.6	226.399994
656	3	npc_10160	ShowNpc	-2.2, 0.2, -23.3	0.000000
657	3	npc_003_mohade2	ShowNpc	-15.2, 0.2, 30.5	223.399994
658	3	npc_100641	ShowNpc	55.6, 0.1, 15.3	233.800003
659	3	npc_100642	ShowNpc	54.7, 0.1, 19.0	222.800003
660	3	npc_100642	ShowNpc	57.2, 0.1, 15.1	299.799988
661	3	npc_100642	ShowNpc	58.7, 0.1, 18.3	252.800003
662	3	npc_collect_011	ShowNpc	63.9, 0.1, 2.1	180.000000
663	3	npc_ring109	ShowNpc	-6.7, 0.3, -53.5	59.860001
664	3	npc_ring209	ShowNpc	-6.7, 0.3, -53.5	59.860001
665	3	npc_ring309	ShowNpc	-6.7, 0.3, -53.5	59.860001
666	3	npc_ring409	ShowNpc	-6.7, 0.3, -53.5	59.860001
667	3	npc_101591	ShowNpc	-9.5, 0.2, -22.4	206.399994
668	3	npc_101594	ShowNpc	-44.2, 0.2, 3.0	180.399994
669	3	npc_10027	ShowNpc	20.0, 2.8, -45.3	280.000000
670	3	npc_1002710	ShowNpc	57.5, 0.1, 21.0	208.399994
671	3	npc_1002711	ShowNpc	-17.6, 0.4, 32.0	208.000000
672	3	npc_10028	ShowNpc	11.6, 2.8, -44.6	108.000000
673	3	npc_collect_009	ShowNpc	-61.4, 0.2, 13.1	180.000000
674	3	npc_collect_012	ShowNpc	-21.1, 0.2, -51.6	180.000000
675	3	npc_10026	ShowNpc	15.6, 2.8, -42.4	180.000000
676	3	npc_10116	ShowNpc	3.4, 2.7, 57.6	135.000000
677	3	npc_10029	ShowNpc	21.8, 0.2, 53.0	224.600006
678	3	npc_ring010	ShowNpc	-18.0, 0.2, -47.8	59.860001
679	3	npc_ring110	ShowNpc	-18.0, 0.2, -47.8	59.860001
680	3	npc_ring210	ShowNpc	-18.0, 0.2, -47.8	59.860001
681	3	npc_ring310	ShowNpc	-18.0, 0.2, -47.8	59.860001
682	3	npc_ring410	ShowNpc	-18.0, 0.2, -47.8	59.860001
683	3	npc_ring004	ShowNpc	-6.3, 0.2, 31.7	59.860001
684	3	npc_ring104	ShowNpc	-6.3, 0.2, 31.7	59.860001
685	3	npc_ring204	ShowNpc	-6.3, 0.2, 31.7	59.860001
686	3	npc_ring304	ShowNpc	-6.3, 0.2, 31.7	59.860001
687	3	npc_ring404	ShowNpc	-6.3, 0.2, 31.7	59.860001
688	3	npc_ring003	ShowNpc	-0.5, 0.2, -9.6	59.860001
689	3	npc_ring103	ShowNpc	-0.5, 0.2, -9.6	59.860001
690	3	npc_ring203	ShowNpc	-0.5, 0.2, -9.6	59.860001
691	3	npc_ring303	ShowNpc	-0.5, 0.2, -9.6	59.860001
692	3	npc_ring403	ShowNpc	-0.5, 0.2, -9.6	59.860001
693	3	mine_npc003	ShowNpc	24.1, 2.8, -23.1	166.000000
694	3	mine_npc004	ShowNpc	57.0, 0.1, 30.3	206.000000
695	3	collect_npc003	ShowNpc	-29.5, 0.2, -29.6	124.000000
696	3	collect_npc004	ShowNpc	53.3, 0.1, 19.6	124.000000
697	3	npc_10024	ShowNpc	-32.3, 0.2, -31.8	167.570007
698	3	npc_10023	ShowNpc	-21.0, 0.8, 31.4	161.800003
699	3	npc_100231	ShowNpc	-20.2, 0.2, 2.9	186.000000
700	3	npc_10025	ShowNpc	-33.2, 0.2, -35.8	40.810001
