流水ID	属性ID	修炼等级	升级需要经验	修炼1次提升经验	单次提升消耗	增加属性参数	历史帮贡限制	玩家角色等级限制	解锁圣器等级
6048	24	48	5580	10	4,1;1,18000	617	30072	48	0
6049	24	49	5780	10	4,1;1,18000	630	31806	49	0
6050	24	50	5980	10	4,1;1,18000	642	33600	50	0
6051	24	51	6220	10	4,1;1,20000	655	35466	51	0
6052	24	52	6460	10	4,1;1,20000	668	37404	52	0
6053	24	53	6700	10	4,1;1,20000	681	39414	53	0
6054	24	54	6940	10	4,1;1,20000	694	41496	54	0
6055	24	55	7180	10	4,1;1,20000	707	43650	55	0
6056	24	56	7420	10	4,1;1,22000	720	45876	56	0
6057	24	57	7660	10	4,1;1,22000	732	48174	57	0
6058	24	58	7900	10	4,1;1,22000	745	50544	58	0
6059	24	59	8140	10	4,1;1,22000	758	52986	59	0
6060	24	60	8380	10	4,1;1,22000	771	55500	60	0
6061	24	61	8660	10	4,1;1,22000	784	58098	61	0
6062	24	62	8940	10	4,1;1,22000	797	60780	61	0
6063	24	63	9220	10	4,1;1,22000	810	63546	61	0
6064	24	64	9500	10	4,1;1,22000	822	66396	61	0
6065	24	65	9780	10	4,1;1,22000	835	69330	61	0
6066	24	66	10060	10	4,1;1,22000	848	72348	61	0
6067	24	67	10340	10	4,1;1,22000	861	75450	61	0
6068	24	68	10620	10	4,1;1,22000	874	78636	61	0
6069	24	69	10900	10	4,1;1,22000	887	81906	61	0
6070	24	70	11180	10	4,1;1,22000	900	85260	61	0
7001	25	1	20	10	4,1;1,1000	12	0	1	0
7002	25	2	60	10	4,1;1,1000	25	0	1	0
7003	25	3	100	10	4,1;1,1000	38	0	1	0
7004	25	4	140	10	4,1;1,1000	51	0	1	0
7005	25	5	180	10	4,1;1,1000	64	0	1	0
7006	25	6	220	10	4,1;1,1500	77	0	1	0
7007	25	7	260	10	4,1;1,1500	90	0	1	0
7008	25	8	300	10	4,1;1,1500	102	0	1	0
7009	25	9	340	10	4,1;1,1500	115	0	1	0
7010	25	10	380	10	4,1;1,1500	128	0	1	0
7011	25	11	460	10	4,1;1,3000	141	0	1	0
7012	25	12	540	10	4,1;1,3000	154	0	1	0
7013	25	13	620	10	4,1;1,3000	167	0	1	0
7014	25	14	700	10	4,1;1,3000	180	0	1	0
7015	25	15	780	10	4,1;1,3000	192	0	1	0
7016	25	16	860	10	4,1;1,6000	205	0	1	0
7017	25	17	940	10	4,1;1,6000	218	0	1	0
7018	25	18	1020	10	4,1;1,6000	231	0	1	0
7019	25	19	1100	10	4,1;1,6000	244	0	1	0
7020	25	20	1180	10	4,1;1,6000	257	3060	20	0
7021	25	21	1300	10	4,1;1,8000	270	3450	21	0
7022	25	22	1420	10	4,1;1,8000	282	3876	22	0
7023	25	23	1540	10	4,1;1,8000	295	4338	23	0
7024	25	24	1660	10	4,1;1,8000	308	4836	24	0
7025	25	25	1780	10	4,1;1,8000	321	5370	25	0
7026	25	26	1900	10	4,1;1,10000	334	5940	26	0
7027	25	27	2020	10	4,1;1,10000	347	6546	27	0
7028	25	28	2140	10	4,1;1,10000	360	7188	28	0
7029	25	29	2260	10	4,1;1,10000	372	7866	29	0
7030	25	30	2380	10	4,1;1,10000	385	8580	30	0
7031	25	31	2540	10	4,1;1,12000	398	9342	31	0
7032	25	32	2700	10	4,1;1,12000	411	10152	32	0
7033	25	33	2860	10	4,1;1,12000	424	11010	33	0
7034	25	34	3020	10	4,1;1,12000	437	11916	34	0
7035	25	35	3180	10	4,1;1,12000	450	12870	35	0
7036	25	36	3340	10	4,1;1,14000	462	13872	36	0
7037	25	37	3500	10	4,1;1,14000	475	14922	37	0
7038	25	38	3660	10	4,1;1,14000	488	16020	38	0
7039	25	39	3820	10	4,1;1,14000	501	17166	39	0
7040	25	40	3980	10	4,1;1,14000	514	18360	40	0
7041	25	41	4180	10	4,1;1,16000	527	19614	41	0
7042	25	42	4380	10	4,1;1,16000	540	20928	42	0
7043	25	43	4580	10	4,1;1,16000	552	22302	43	0
7044	25	44	4780	10	4,1;1,16000	565	23736	44	0
7045	25	45	4980	10	4,1;1,16000	578	25230	45	0
7046	25	46	5180	10	4,1;1,18000	591	26784	46	0
7047	25	47	5380	10	4,1;1,18000	604	28398	47	0
7048	25	48	5580	10	4,1;1,18000	617	30072	48	0
7049	25	49	5780	10	4,1;1,18000	630	31806	49	0
7050	25	50	5980	10	4,1;1,18000	642	33600	50	0
7051	25	51	6220	10	4,1;1,20000	655	35466	51	0
7052	25	52	6460	10	4,1;1,20000	668	37404	52	0
7053	25	53	6700	10	4,1;1,20000	681	39414	53	0
7054	25	54	6940	10	4,1;1,20000	694	41496	54	0
7055	25	55	7180	10	4,1;1,20000	707	43650	55	0
7056	25	56	7420	10	4,1;1,22000	720	45876	56	0
7057	25	57	7660	10	4,1;1,22000	732	48174	57	0
7058	25	58	7900	10	4,1;1,22000	745	50544	58	0
7059	25	59	8140	10	4,1;1,22000	758	52986	59	0
7060	25	60	8380	10	4,1;1,22000	771	55500	60	0
7061	25	61	8660	10	4,1;1,22000	784	58098	61	0
7062	25	62	8940	10	4,1;1,22000	797	60780	61	0
7063	25	63	9220	10	4,1;1,22000	810	63546	61	0
7064	25	64	9500	10	4,1;1,22000	822	66396	61	0
7065	25	65	9780	10	4,1;1,22000	835	69330	61	0
7066	25	66	10060	10	4,1;1,22000	848	72348	61	0
7067	25	67	10340	10	4,1;1,22000	861	75450	61	0
7068	25	68	10620	10	4,1;1,22000	874	78636	61	0
7069	25	69	10900	10	4,1;1,22000	887	81906	61	0
7070	25	70	11180	10	4,1;1,22000	900	85260	61	0
8001	26	1	20	10	4,1;1,1000	12	0	1	0
8002	26	2	60	10	4,1;1,1000	25	0	1	0
8003	26	3	100	10	4,1;1,1000	38	0	1	0
8004	26	4	140	10	4,1;1,1000	51	0	1	0
8005	26	5	180	10	4,1;1,1000	64	0	1	0
8006	26	6	220	10	4,1;1,1500	77	0	1	0
8007	26	7	260	10	4,1;1,1500	90	0	1	0
8008	26	8	300	10	4,1;1,1500	102	0	1	0
8009	26	9	340	10	4,1;1,1500	115	0	1	0
8010	26	10	380	10	4,1;1,1500	128	0	1	0
8011	26	11	460	10	4,1;1,3000	141	0	1	0
8012	26	12	540	10	4,1;1,3000	154	0	1	0
8013	26	13	620	10	4,1;1,3000	167	0	1	0
8014	26	14	700	10	4,1;1,3000	180	0	1	0
8015	26	15	780	10	4,1;1,3000	192	0	1	0
8016	26	16	860	10	4,1;1,6000	205	0	1	0
8017	26	17	940	10	4,1;1,6000	218	0	1	0
8018	26	18	1020	10	4,1;1,6000	231	0	1	0
8019	26	19	1100	10	4,1;1,6000	244	0	1	0
8020	26	20	1180	10	4,1;1,6000	257	3060	20	0
8021	26	21	1300	10	4,1;1,8000	270	3450	21	0
8022	26	22	1420	10	4,1;1,8000	282	3876	22	0
8023	26	23	1540	10	4,1;1,8000	295	4338	23	0
8024	26	24	1660	10	4,1;1,8000	308	4836	24	0
8025	26	25	1780	10	4,1;1,8000	321	5370	25	0
8026	26	26	1900	10	4,1;1,10000	334	5940	26	0
8027	26	27	2020	10	4,1;1,10000	347	6546	27	0
8028	26	28	2140	10	4,1;1,10000	360	7188	28	0
8029	26	29	2260	10	4,1;1,10000	372	7866	29	0
8030	26	30	2380	10	4,1;1,10000	385	8580	30	0
8031	26	31	2540	10	4,1;1,12000	398	9342	31	0
8032	26	32	2700	10	4,1;1,12000	411	10152	32	0
8033	26	33	2860	10	4,1;1,12000	424	11010	33	0
8034	26	34	3020	10	4,1;1,12000	437	11916	34	0
8035	26	35	3180	10	4,1;1,12000	450	12870	35	0
8036	26	36	3340	10	4,1;1,14000	462	13872	36	0
8037	26	37	3500	10	4,1;1,14000	475	14922	37	0
8038	26	38	3660	10	4,1;1,14000	488	16020	38	0
8039	26	39	3820	10	4,1;1,14000	501	17166	39	0
8040	26	40	3980	10	4,1;1,14000	514	18360	40	0
8041	26	41	4180	10	4,1;1,16000	527	19614	41	0
8042	26	42	4380	10	4,1;1,16000	540	20928	42	0
8043	26	43	4580	10	4,1;1,16000	552	22302	43	0
8044	26	44	4780	10	4,1;1,16000	565	23736	44	0
8045	26	45	4980	10	4,1;1,16000	578	25230	45	0
8046	26	46	5180	10	4,1;1,18000	591	26784	46	0
8047	26	47	5380	10	4,1;1,18000	604	28398	47	0
8048	26	48	5580	10	4,1;1,18000	617	30072	48	0
8049	26	49	5780	10	4,1;1,18000	630	31806	49	0
8050	26	50	5980	10	4,1;1,18000	642	33600	50	0
8051	26	51	6220	10	4,1;1,20000	655	35466	51	0
8052	26	52	6460	10	4,1;1,20000	668	37404	52	0
8053	26	53	6700	10	4,1;1,20000	681	39414	53	0
8054	26	54	6940	10	4,1;1,20000	694	41496	54	0
8055	26	55	7180	10	4,1;1,20000	707	43650	55	0
8056	26	56	7420	10	4,1;1,22000	720	45876	56	0
8057	26	57	7660	10	4,1;1,22000	732	48174	57	0
8058	26	58	7900	10	4,1;1,22000	745	50544	58	0
8059	26	59	8140	10	4,1;1,22000	758	52986	59	0
8060	26	60	8380	10	4,1;1,22000	771	55500	60	0
8061	26	61	8660	10	4,1;1,22000	784	58098	61	0
8062	26	62	8940	10	4,1;1,22000	797	60780	61	0
8063	26	63	9220	10	4,1;1,22000	810	63546	61	0
8064	26	64	9500	10	4,1;1,22000	822	66396	61	0
8065	26	65	9780	10	4,1;1,22000	835	69330	61	0
8066	26	66	10060	10	4,1;1,22000	848	72348	61	0
8067	26	67	10340	10	4,1;1,22000	861	75450	61	0
8068	26	68	10620	10	4,1;1,22000	874	78636	61	0
8069	26	69	10900	10	4,1;1,22000	887	81906	61	0
8070	26	70	11180	10	4,1;1,22000	900	85260	61	0
9001	67	1	20	10	4,1;1,1000	10	0	1	0
9002	67	2	60	10	4,1;1,1000	20	0	1	0
9003	67	3	100	10	4,1;1,1000	30	0	1	0
9004	67	4	140	10	4,1;1,1000	40	0	1	0
9005	67	5	180	10	4,1;1,1000	50	0	1	0
9006	67	6	220	10	4,1;1,1500	60	0	1	0
9007	67	7	260	10	4,1;1,1500	70	0	1	0
9008	67	8	300	10	4,1;1,1500	80	0	1	0
9009	67	9	340	10	4,1;1,1500	90	0	1	0
9010	67	10	380	10	4,1;1,1500	100	0	1	0
9011	67	11	460	10	4,1;1,3000	110	0	1	0
9012	67	12	540	10	4,1;1,3000	120	0	1	0
9013	67	13	620	10	4,1;1,3000	130	0	1	0
9014	67	14	700	10	4,1;1,3000	140	0	1	0
9015	67	15	780	10	4,1;1,3000	150	0	1	0
9016	67	16	860	10	4,1;1,6000	160	0	1	0
9017	67	17	940	10	4,1;1,6000	170	0	1	0
9018	67	18	1020	10	4,1;1,6000	180	0	1	0
9019	67	19	1100	10	4,1;1,6000	190	0	1	0
9020	67	20	1180	10	4,1;1,6000	200	3060	20	0
9021	67	21	1300	10	4,1;1,8000	210	3450	21	0
9022	67	22	1420	10	4,1;1,8000	220	3876	22	0
9023	67	23	1540	10	4,1;1,8000	230	4338	23	0
9024	67	24	1660	10	4,1;1,8000	240	4836	24	0
9025	67	25	1780	10	4,1;1,8000	250	5370	25	0
9026	67	26	1900	10	4,1;1,10000	260	5940	26	0
9027	67	27	2020	10	4,1;1,10000	270	6546	27	0
9028	67	28	2140	10	4,1;1,10000	280	7188	28	0
9029	67	29	2260	10	4,1;1,10000	290	7866	29	0
9030	67	30	2380	10	4,1;1,10000	300	8580	30	0
9031	67	31	2540	10	4,1;1,12000	310	9342	31	0
9032	67	32	2700	10	4,1;1,12000	320	10152	32	0
9033	67	33	2860	10	4,1;1,12000	330	11010	33	0
9034	67	34	3020	10	4,1;1,12000	340	11916	34	0
9035	67	35	3180	10	4,1;1,12000	350	12870	35	0
9036	67	36	3340	10	4,1;1,14000	360	13872	36	0
9037	67	37	3500	10	4,1;1,14000	370	14922	37	0
9038	67	38	3660	10	4,1;1,14000	380	16020	38	0
9039	67	39	3820	10	4,1;1,14000	390	17166	39	0
9040	67	40	3980	10	4,1;1,14000	400	18360	40	0
9041	67	41	4180	10	4,1;1,16000	410	19614	41	0
9042	67	42	4380	10	4,1;1,16000	420	20928	42	0
9043	67	43	4580	10	4,1;1,16000	430	22302	43	0
9044	67	44	4780	10	4,1;1,16000	440	23736	44	0
9045	67	45	4980	10	4,1;1,16000	450	25230	45	0
9046	67	46	5180	10	4,1;1,18000	460	26784	46	0
9047	67	47	5380	10	4,1;1,18000	470	28398	47	0
9048	67	48	5580	10	4,1;1,18000	480	30072	48	0
9049	67	49	5780	10	4,1;1,18000	490	31806	49	0
9050	67	50	5980	10	4,1;1,18000	500	33600	50	0
9051	67	51	6220	10	4,1;1,20000	510	35466	51	0
9052	67	52	6460	10	4,1;1,20000	520	37404	52	0
9053	67	53	6700	10	4,1;1,20000	530	39414	53	0
9054	67	54	6940	10	4,1;1,20000	540	41496	54	0
9055	67	55	7180	10	4,1;1,20000	550	43650	55	0
9056	67	56	7420	10	4,1;1,22000	560	45876	56	0
9057	67	57	7660	10	4,1;1,22000	570	48174	57	0
9058	67	58	7900	10	4,1;1,22000	580	50544	58	0
9059	67	59	8140	10	4,1;1,22000	590	52986	59	0
9060	67	60	8380	10	4,1;1,22000	600	55500	60	0
9061	67	61	8660	10	4,1;1,22000	610	58098	61	0
9062	67	62	8940	10	4,1;1,22000	620	60780	61	0
9063	67	63	9220	10	4,1;1,22000	630	63546	61	0
9064	67	64	9500	10	4,1;1,22000	640	66396	61	0
9065	67	65	9780	10	4,1;1,22000	650	69330	61	0
9066	67	66	10060	10	4,1;1,22000	660	72348	61	0
9067	67	67	10340	10	4,1;1,22000	670	75450	61	0
9068	67	68	10620	10	4,1;1,22000	680	78636	61	0
9069	67	69	10900	10	4,1;1,22000	690	81906	61	0
9070	67	70	11180	10	4,1;1,22000	700	85260	61	0
10001	83	1	20	10	4,1;1,1000	10	0	1	0
10002	83	2	60	10	4,1;1,1000	20	0	1	0
10003	83	3	100	10	4,1;1,1000	30	0	1	0
10004	83	4	140	10	4,1;1,1000	40	0	1	0
10005	83	5	180	10	4,1;1,1000	50	0	1	0
10006	83	6	220	10	4,1;1,1500	60	0	1	0
10007	83	7	260	10	4,1;1,1500	70	0	1	0
10008	83	8	300	10	4,1;1,1500	80	0	1	0
10009	83	9	340	10	4,1;1,1500	90	0	1	0
10010	83	10	380	10	4,1;1,1500	100	0	1	0
10011	83	11	460	10	4,1;1,3000	110	0	1	0
10012	83	12	540	10	4,1;1,3000	120	0	1	0
10013	83	13	620	10	4,1;1,3000	130	0	1	0
10014	83	14	700	10	4,1;1,3000	140	0	1	0
10015	83	15	780	10	4,1;1,3000	150	0	1	0
10016	83	16	860	10	4,1;1,6000	160	0	1	0
10017	83	17	940	10	4,1;1,6000	170	0	1	0
10018	83	18	1020	10	4,1;1,6000	180	0	1	0
10019	83	19	1100	10	4,1;1,6000	190	0	1	0
10020	83	20	1180	10	4,1;1,6000	200	3060	20	0
10021	83	21	1300	10	4,1;1,8000	210	3450	21	0
10022	83	22	1420	10	4,1;1,8000	220	3876	22	0
10023	83	23	1540	10	4,1;1,8000	230	4338	23	0
10024	83	24	1660	10	4,1;1,8000	240	4836	24	0
10025	83	25	1780	10	4,1;1,8000	250	5370	25	0
10026	83	26	1900	10	4,1;1,10000	260	5940	26	0
10027	83	27	2020	10	4,1;1,10000	270	6546	27	0
10028	83	28	2140	10	4,1;1,10000	280	7188	28	0
10029	83	29	2260	10	4,1;1,10000	290	7866	29	0
10030	83	30	2380	10	4,1;1,10000	300	8580	30	0
10031	83	31	2540	10	4,1;1,12000	310	9342	31	0
10032	83	32	2700	10	4,1;1,12000	320	10152	32	0
10033	83	33	2860	10	4,1;1,12000	330	11010	33	0
10034	83	34	3020	10	4,1;1,12000	340	11916	34	0
10035	83	35	3180	10	4,1;1,12000	350	12870	35	0
10036	83	36	3340	10	4,1;1,14000	360	13872	36	0
10037	83	37	3500	10	4,1;1,14000	370	14922	37	0
10038	83	38	3660	10	4,1;1,14000	380	16020	38	0
10039	83	39	3820	10	4,1;1,14000	390	17166	39	0
10040	83	40	3980	10	4,1;1,14000	400	18360	40	0
10041	83	41	4180	10	4,1;1,16000	410	19614	41	0
10042	83	42	4380	10	4,1;1,16000	420	20928	42	0
10043	83	43	4580	10	4,1;1,16000	430	22302	43	0
10044	83	44	4780	10	4,1;1,16000	440	23736	44	0
10045	83	45	4980	10	4,1;1,16000	450	25230	45	0
10046	83	46	5180	10	4,1;1,18000	460	26784	46	0
10047	83	47	5380	10	4,1;1,18000	470	28398	47	0
10048	83	48	5580	10	4,1;1,18000	480	30072	48	0
10049	83	49	5780	10	4,1;1,18000	490	31806	49	0
10050	83	50	5980	10	4,1;1,18000	500	33600	50	0
10051	83	51	6220	10	4,1;1,20000	510	35466	51	0
10052	83	52	6460	10	4,1;1,20000	520	37404	52	0
10053	83	53	6700	10	4,1;1,20000	530	39414	53	0
10054	83	54	6940	10	4,1;1,20000	540	41496	54	0
10055	83	55	7180	10	4,1;1,20000	550	43650	55	0
10056	83	56	7420	10	4,1;1,22000	560	45876	56	0
10057	83	57	7660	10	4,1;1,22000	570	48174	57	0
10058	83	58	7900	10	4,1;1,22000	580	50544	58	0
10059	83	59	8140	10	4,1;1,22000	590	52986	59	0
10060	83	60	8380	10	4,1;1,22000	600	55500	60	0
10061	83	61	8660	10	4,1;1,22000	610	58098	61	0
10062	83	62	8940	10	4,1;1,22000	620	60780	61	0
10063	83	63	9220	10	4,1;1,22000	630	63546	61	0
10064	83	64	9500	10	4,1;1,22000	640	66396	61	0
10065	83	65	9780	10	4,1;1,22000	650	69330	61	0
10066	83	66	10060	10	4,1;1,22000	660	72348	61	0
10067	83	67	10340	10	4,1;1,22000	670	75450	61	0
10068	83	68	10620	10	4,1;1,22000	680	78636	61	0
10069	83	69	10900	10	4,1;1,22000	690	81906	61	0
10070	83	70	11180	10	4,1;1,22000	700	85260	61	0
11001	66	1	20	10	4,1;1,1000	10	0	1	0
11002	66	2	60	10	4,1;1,1000	20	0	1	0
11003	66	3	100	10	4,1;1,1000	30	0	1	0
11004	66	4	140	10	4,1;1,1000	40	0	1	0
11005	66	5	180	10	4,1;1,1000	50	0	1	0
11006	66	6	220	10	4,1;1,1500	60	0	1	0
11007	66	7	260	10	4,1;1,1500	70	0	1	0
11008	66	8	300	10	4,1;1,1500	80	0	1	0
11009	66	9	340	10	4,1;1,1500	90	0	1	0
11010	66	10	380	10	4,1;1,1500	100	0	1	0
11011	66	11	460	10	4,1;1,3000	110	0	1	0
11012	66	12	540	10	4,1;1,3000	120	0	1	0
11013	66	13	620	10	4,1;1,3000	130	0	1	0
11014	66	14	700	10	4,1;1,3000	140	0	1	0
11015	66	15	780	10	4,1;1,3000	150	0	1	0
11016	66	16	860	10	4,1;1,6000	160	0	1	0
11017	66	17	940	10	4,1;1,6000	170	0	1	0
11018	66	18	1020	10	4,1;1,6000	180	0	1	0
11019	66	19	1100	10	4,1;1,6000	190	0	1	0
11020	66	20	1180	10	4,1;1,6000	200	3060	20	0
11021	66	21	1300	10	4,1;1,8000	210	3450	21	0
11022	66	22	1420	10	4,1;1,8000	220	3876	22	0
11023	66	23	1540	10	4,1;1,8000	230	4338	23	0
11024	66	24	1660	10	4,1;1,8000	240	4836	24	0
11025	66	25	1780	10	4,1;1,8000	250	5370	25	0
11026	66	26	1900	10	4,1;1,10000	260	5940	26	0
11027	66	27	2020	10	4,1;1,10000	270	6546	27	0
11028	66	28	2140	10	4,1;1,10000	280	7188	28	0
11029	66	29	2260	10	4,1;1,10000	290	7866	29	0
11030	66	30	2380	10	4,1;1,10000	300	8580	30	0
11031	66	31	2540	10	4,1;1,12000	310	9342	31	0
11032	66	32	2700	10	4,1;1,12000	320	10152	32	0
11033	66	33	2860	10	4,1;1,12000	330	11010	33	0
11034	66	34	3020	10	4,1;1,12000	340	11916	34	0
11035	66	35	3180	10	4,1;1,12000	350	12870	35	0
11036	66	36	3340	10	4,1;1,14000	360	13872	36	0
11037	66	37	3500	10	4,1;1,14000	370	14922	37	0
11038	66	38	3660	10	4,1;1,14000	380	16020	38	0
11039	66	39	3820	10	4,1;1,14000	390	17166	39	0
11040	66	40	3980	10	4,1;1,14000	400	18360	40	0
11041	66	41	4180	10	4,1;1,16000	410	19614	41	0
11042	66	42	4380	10	4,1;1,16000	420	20928	42	0
11043	66	43	4580	10	4,1;1,16000	430	22302	43	0
11044	66	44	4780	10	4,1;1,16000	440	23736	44	0
11045	66	45	4980	10	4,1;1,16000	450	25230	45	0
11046	66	46	5180	10	4,1;1,18000	460	26784	46	0
11047	66	47	5380	10	4,1;1,18000	470	28398	47	0
11048	66	48	5580	10	4,1;1,18000	480	30072	48	0
11049	66	49	5780	10	4,1;1,18000	490	31806	49	0
11050	66	50	5980	10	4,1;1,18000	500	33600	50	0
11051	66	51	6220	10	4,1;1,20000	510	35466	51	0
11052	66	52	6460	10	4,1;1,20000	520	37404	52	0
11053	66	53	6700	10	4,1;1,20000	530	39414	53	0
11054	66	54	6940	10	4,1;1,20000	540	41496	54	0
11055	66	55	7180	10	4,1;1,20000	550	43650	55	0
11056	66	56	7420	10	4,1;1,22000	560	45876	56	0
11057	66	57	7660	10	4,1;1,22000	570	48174	57	0
11058	66	58	7900	10	4,1;1,22000	580	50544	58	0
11059	66	59	8140	10	4,1;1,22000	590	52986	59	0
11060	66	60	8380	10	4,1;1,22000	600	55500	60	0
11061	66	61	8660	10	4,1;1,22000	610	58098	61	0
11062	66	62	8940	10	4,1;1,22000	620	60780	61	0
11063	66	63	9220	10	4,1;1,22000	630	63546	61	0
11064	66	64	9500	10	4,1;1,22000	640	66396	61	0
11065	66	65	9780	10	4,1;1,22000	650	69330	61	0
11066	66	66	10060	10	4,1;1,22000	660	72348	61	0
11067	66	67	10340	10	4,1;1,22000	670	75450	61	0
11068	66	68	10620	10	4,1;1,22000	680	78636	61	0
11069	66	69	10900	10	4,1;1,22000	690	81906	61	0
11070	66	70	11180	10	4,1;1,22000	700	85260	61	0
12001	79	1	20	10	4,1;1,1000	10	0	1	0
12002	79	2	60	10	4,1;1,1000	20	0	1	0
12003	79	3	100	10	4,1;1,1000	30	0	1	0
12004	79	4	140	10	4,1;1,1000	40	0	1	0
12005	79	5	180	10	4,1;1,1000	50	0	1	0
12006	79	6	220	10	4,1;1,1500	60	0	1	0
12007	79	7	260	10	4,1;1,1500	70	0	1	0
12008	79	8	300	10	4,1;1,1500	80	0	1	0
12009	79	9	340	10	4,1;1,1500	90	0	1	0
12010	79	10	380	10	4,1;1,1500	100	0	1	0
12011	79	11	460	10	4,1;1,3000	110	0	1	0
12012	79	12	540	10	4,1;1,3000	120	0	1	0
12013	79	13	620	10	4,1;1,3000	130	0	1	0
12014	79	14	700	10	4,1;1,3000	140	0	1	0
12015	79	15	780	10	4,1;1,3000	150	0	1	0
12016	79	16	860	10	4,1;1,6000	160	0	1	0
12017	79	17	940	10	4,1;1,6000	170	0	1	0
12018	79	18	1020	10	4,1;1,6000	180	0	1	0
12019	79	19	1100	10	4,1;1,6000	190	0	1	0
12020	79	20	1180	10	4,1;1,6000	200	3060	20	0
12021	79	21	1300	10	4,1;1,8000	210	3450	21	0
12022	79	22	1420	10	4,1;1,8000	220	3876	22	0
12023	79	23	1540	10	4,1;1,8000	230	4338	23	0
12024	79	24	1660	10	4,1;1,8000	240	4836	24	0
12025	79	25	1780	10	4,1;1,8000	250	5370	25	0
12026	79	26	1900	10	4,1;1,10000	260	5940	26	0
12027	79	27	2020	10	4,1;1,10000	270	6546	27	0
12028	79	28	2140	10	4,1;1,10000	280	7188	28	0
12029	79	29	2260	10	4,1;1,10000	290	7866	29	0
12030	79	30	2380	10	4,1;1,10000	300	8580	30	0
12031	79	31	2540	10	4,1;1,12000	310	9342	31	0
12032	79	32	2700	10	4,1;1,12000	320	10152	32	0
12033	79	33	2860	10	4,1;1,12000	330	11010	33	0
12034	79	34	3020	10	4,1;1,12000	340	11916	34	0
12035	79	35	3180	10	4,1;1,12000	350	12870	35	0
12036	79	36	3340	10	4,1;1,14000	360	13872	36	0
12037	79	37	3500	10	4,1;1,14000	370	14922	37	0
12038	79	38	3660	10	4,1;1,14000	380	16020	38	0
12039	79	39	3820	10	4,1;1,14000	390	17166	39	0
12040	79	40	3980	10	4,1;1,14000	400	18360	40	0
12041	79	41	4180	10	4,1;1,16000	410	19614	41	0
12042	79	42	4380	10	4,1;1,16000	420	20928	42	0
12043	79	43	4580	10	4,1;1,16000	430	22302	43	0
12044	79	44	4780	10	4,1;1,16000	440	23736	44	0
12045	79	45	4980	10	4,1;1,16000	450	25230	45	0
12046	79	46	5180	10	4,1;1,18000	460	26784	46	0
12047	79	47	5380	10	4,1;1,18000	470	28398	47	0
12048	79	48	5580	10	4,1;1,18000	480	30072	48	0
12049	79	49	5780	10	4,1;1,18000	490	31806	49	0
12050	79	50	5980	10	4,1;1,18000	500	33600	50	0
12051	79	51	6220	10	4,1;1,20000	510	35466	51	0
12052	79	52	6460	10	4,1;1,20000	520	37404	52	0
12053	79	53	6700	10	4,1;1,20000	530	39414	53	0
12054	79	54	6940	10	4,1;1,20000	540	41496	54	0
12055	79	55	7180	10	4,1;1,20000	550	43650	55	0
12056	79	56	7420	10	4,1;1,22000	560	45876	56	0
12057	79	57	7660	10	4,1;1,22000	570	48174	57	0
12058	79	58	7900	10	4,1;1,22000	580	50544	58	0
12059	79	59	8140	10	4,1;1,22000	590	52986	59	0
12060	79	60	8380	10	4,1;1,22000	600	55500	60	0
12061	79	61	8660	10	4,1;1,22000	610	58098	61	0
12062	79	62	8940	10	4,1;1,22000	620	60780	61	0
12063	79	63	9220	10	4,1;1,22000	630	63546	61	0
12064	79	64	9500	10	4,1;1,22000	640	66396	61	0
12065	79	65	9780	10	4,1;1,22000	650	69330	61	0
12066	79	66	10060	10	4,1;1,22000	660	72348	61	0
12067	79	67	10340	10	4,1;1,22000	670	75450	61	0
12068	79	68	10620	10	4,1;1,22000	680	78636	61	0
12069	79	69	10900	10	4,1;1,22000	690	81906	61	0
12070	79	70	11180	10	4,1;1,22000	700	85260	61	0
13001	75	1	20	10	4,1;1,1000	10	0	1	0
13002	75	2	60	10	4,1;1,1000	20	0	1	0
13003	75	3	100	10	4,1;1,1000	30	0	1	0
13004	75	4	140	10	4,1;1,1000	40	0	1	0
13005	75	5	180	10	4,1;1,1000	50	0	1	0
13006	75	6	220	10	4,1;1,1500	60	0	1	0
13007	75	7	260	10	4,1;1,1500	70	0	1	0
13008	75	8	300	10	4,1;1,1500	80	0	1	0
13009	75	9	340	10	4,1;1,1500	90	0	1	0
13010	75	10	380	10	4,1;1,1500	100	0	1	0
13011	75	11	460	10	4,1;1,3000	110	0	1	0
13012	75	12	540	10	4,1;1,3000	120	0	1	0
13013	75	13	620	10	4,1;1,3000	130	0	1	0
13014	75	14	700	10	4,1;1,3000	140	0	1	0
13015	75	15	780	10	4,1;1,3000	150	0	1	0
13016	75	16	860	10	4,1;1,6000	160	0	1	0
13017	75	17	940	10	4,1;1,6000	170	0	1	0
13018	75	18	1020	10	4,1;1,6000	180	0	1	0
13019	75	19	1100	10	4,1;1,6000	190	0	1	0
13020	75	20	1180	10	4,1;1,6000	200	3060	20	0
13021	75	21	1300	10	4,1;1,8000	210	3450	21	0
13022	75	22	1420	10	4,1;1,8000	220	3876	22	0
13023	75	23	1540	10	4,1;1,8000	230	4338	23	0
13024	75	24	1660	10	4,1;1,8000	240	4836	24	0
13025	75	25	1780	10	4,1;1,8000	250	5370	25	0
13026	75	26	1900	10	4,1;1,10000	260	5940	26	0
13027	75	27	2020	10	4,1;1,10000	270	6546	27	0
13028	75	28	2140	10	4,1;1,10000	280	7188	28	0
13029	75	29	2260	10	4,1;1,10000	290	7866	29	0
