组合图鉴ID	分类页签	页签显示排序	页签名	页签描述	页签图	图鉴显示排序	图鉴名	激活需求	激活属性	增加评分	页签显示星级
40000009	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	992	CombinationName40000009	105009,1	11,50	75	5
40000010	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	991	CombinationName40000010	105010,1	12,50	75	5
40000011	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	990	CombinationName40000011	105011,1	13,50	75	5
40000012	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	989	CombinationName40000012	105012,1	173,120	72	5
40000013	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	988	CombinationName40000013	105013,1	174,120	72	5
40000014	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	987	CombinationName40000014	105014,1	30,80	80	5
40000015	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	986	CombinationName40000015	105015,1	32,80	80	5
40000016	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	985	CombinationName40000016	105016,1	34,80	80	5
40000017	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	984	CombinationName40000017	115001,1	52,150	150	5
40000018	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	983	CombinationName40000018	115002,1	51,150	150	5
40000019	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	982	CombinationName40000019	115003,1	3,60	150	5
40000020	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	981	CombinationName40000020	115004,1	174,250	150	5
40000021	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	980	CombinationName40000021	115005,1	32,150	150	5
40000022	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	979	CombinationName40000022	115006,1	12,100	150	5
40000023	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	978	CombinationName40000023	115007,1	34,150	150	5
40000024	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	977	CombinationName40000024	115008,1	175,200	150	5
40000025	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	976	CombinationName40000025	115009,1	173,250	150	5
40000026	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	975	CombinationName40000026	115010,1	3,60	150	5
40000027	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	974	CombinationName40000027	115011,1	3,60	150	5
40000028	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	973	CombinationName40000028	115012,1	3,60	150	5
40000029	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	971	CombinationName40000029	105001,1;105002,1;105003,1;105004,1	3,20;4,20;1,240	160	5
40000030	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	970	CombinationName40000030	105005,1;105006,1;105007,1;105008,1	11,55;13,50	158	5
40000031	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	969	CombinationName40000031	105009,1;105010,1	3,16;1,160	80	5
40000032	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	968	CombinationName40000032	105011,1;105012,1;105013,1	131,60;132,60	120	5
40000033	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	967	CombinationName40000033	105009,1;105010,1;105011,1;105012,1;105013,1	158,120;160,120;161,120	216	5
40000034	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	966	CombinationName40000034	105001,1;105006,1	3,16;4,16	80	5
40000035	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	965	CombinationName40000035	105003,1;105007,1	21,50;30,40	78	5
40000036	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	964	CombinationName40000036	105004,1;105008,1	1,200;11,20	80	5
40000037	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	963	CombinationName40000037	105002,1;105005,1	23,50;32,40	78	5
40000038	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	962	CombinationName40000038	105009,1;105010,1;105004,1;105008,1	137,40;138,40;141,40;142,40	160	5
40000039	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	961	CombinationName40000039	105012,1;105013,1;105001,1;105006,1;105005,1	3,20;4,40;1,200	200	5
40000040	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	960	CombinationName40000040	105011,1;105002,1;105003,1;105007,1	3,30;4,15;1,200	163	5
40000041	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	959	CombinationName40000041	105014,1;105015,1;105016,1	1,300;33,50	125	5
40000042	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	958	CombinationName40000042	105002,1;105005,1;105006,1;105007,1;105008,1	35,25;1,300;3,20;4,20	200	5
40000043	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	957	CombinationName40000043	115001,1;105009,1;105010,1	33,100;35,100	200	5
40000044	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	956	CombinationName40000044	115002,1;115003,1	3,50;4,50	250	5
40000045	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	955	CombinationName40000045	115004,1;115005,1;115006,1;115007,1;115008,1;115009,1	28,150;1,2000	725	5
40000046	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	954	CombinationName40000046	115001,1;105001,1;105003,1;105004,1	22,200;31,100	250	5
40000047	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	953	CombinationName40000047	115002,1;115003,1;115005,1;115006,1	51,300;1,750	488	5
40000048	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	952	CombinationName40000048	115004,1;115007,1;115008,1;115009,1	52,300;1,750	488	5
40000049	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	951	CombinationName40000049	105004,1;105008,1;115013,1	12,50;13,50;11,50	225	5
40000050	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	950	CombinationName40000050	105017,1	11,50	75	5
40000051	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	949	CombinationName40000051	105018,1	12,50	75	5
40000052	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	948	CombinationName40000052	105019,1	13,50	75	5
40000053	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	947	CombinationName40000053	105020,1	4,30	75	5
40000054	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	946	CombinationName40000054	105021,1	173,120	72	5
40000055	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	945	CombinationName40000055	105022,1	174,120	72	5
40000056	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	944	CombinationName40000056	115014,1	52,150	150	5
40000057	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	943	CombinationName40000057	115015,1	12,100	150	5
40000058	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	942	CombinationName40000058	115016,1	51,150	150	5
40000059	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	941	CombinationName40000059	115014,1;105017,1;105018,1;105021,1	32,50;34,80;33,50;35,80	260	5
40000060	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	940	CombinationName40000060	115015,1;105017,1;105018,1	3,60;1,200	200	5
40000061	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	939	CombinationName40000061	115015,1;105014,1;105015,1;105016,1	174,200;173,200	240	5
40000062	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	938	CombinationName40000062	115016,1;115001,1	51,150;52,150	300	5
40000063	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	937	CombinationName40000063	115016,1;105020,1	1,500;52,50	175	5
40000064	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	936	CombinationName40000064	115014,1;115015,1;115016,1;105019,1;105022,1	11,100;12,100;13,100	450	5
40000065	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	935	CombinationName40000065	115017,1	3,60	150	5
40000066	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	934	CombinationName40000066	104029,1;115017,1	1,500;51,50	175	5
40000067	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	933	CombinationName40000067	115017,1;104041,1	1,300;11,50	150	5
40000068	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	932	CombinationName40000068	115013,1	3,60	150	5
50000001	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	1000	CombinationName50000001	104014,1;103029,1;103013,1;102001,1;102002,1;102016,1	1,140;11,25	73	6
50000002	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	999	CombinationName50000002	103013,1;103027,1;102001,1	1,110;4,10	53	6
50000003	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	998	CombinationName50000003	103029,1;103028,1;102002,1;102016,1	1,120;3,10	55	6
50000004	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	997	CombinationName50000004	102003,1;102018,1;102019,1;102017,1	1,120	30	6
50000005	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	996	CombinationName50000005	104013,1;103026,1;103012,1	1,160;3,12	70	6
50000006	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	995	CombinationName50000006	103012,1;102023,1;102024,1	4,20	50	6
50000007	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	994	CombinationName50000007	103026,1;102004,1;102021,1	1,200	50	6
50000008	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	993	CombinationName50000008	102005,1;102006,1;102020,1;102022,1;103014,1;103030,1	1,300	75	6
50000009	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	992	CombinationName50000009	102008,1;102009,1;102025,1;104030,1;104028,1	1,120;4,20	80	6
50000010	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	991	CombinationName50000010	102007,1;102026,1;102028,1;102029,1;103031,1;103032,1	33,30;35,25	55	6
50000011	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	990	CombinationName50000011	104027,1;103025,1;103024,1	1,120;3,10	55	6
50000012	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	989	CombinationName50000012	104012,1;103023,1;103010,1;103011,1;102011,1;102012,1	21,30;23,30;25,30	68	6
50000013	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	988	CombinationName50000013	103010,1;102011,1	25,30	23	6
50000014	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	987	CombinationName50000014	103011,1;102012,1	25,30	23	6
50000015	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	986	CombinationName50000015	102030,1;102010,1;103015,1	1,100	25	6
50000016	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	985	CombinationName50000016	103033,1;102031,1	1,80	20	6
50000017	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	984	CombinationName50000017	104023,1;103022,1;103033,1;102031,1;102033,1	1,200;4,10	75	6
50000018	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	983	CombinationName50000018	102014,1;103034,1;102015,1	24,30;26,20	38	6
50000019	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	982	CombinationName50000019	102034,1;102035,1;103022,1;102013,1	1,150;3,10	63	6
50000020	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	981	CombinationName50000020	103009,1;102032,1	3,12	30	6
50000021	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	980	CombinationName50000021	104023,1;103022,1;103009,1;102032,1	3,10;4,10;1,80	70	6
50000022	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	979	CombinationName50000022	104005,1;103001,1	3,20	50	6
50000023	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	978	CombinationName50000023	104006,1;103002,1	1,200	50	6
50000024	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	977	CombinationName50000024	104002,1;103004,1;103008,1	1,150;4,12	68	6
50000025	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	976	CombinationName50000025	104004,1;103003,1;103007,1	1,150;3,12	68	6
50000026	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	975	CombinationName50000026	104003,1;103005,1	4,20	50	6
50000027	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	974	CombinationName50000027	104001,1;103006,1	1,200	50	6
50000028	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	973	CombinationName50000028	103019,1;103020,1;103021,1;104018,1	1,200;11,20	80	6
50000029	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	972	CombinationName50000029	103016,1;103017,1;103018,1	33,30;35,20	50	6
50000030	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	971	CombinationName50000030	105014,1;104014,1	173,200	120	6
50000031	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	970	CombinationName50000031	105015,1;104013,1	175,150	113	6
50000032	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	969	CombinationName50000032	105016,1;104027,1	174,200	120	6
50000033	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	968	CombinationName50000033	115005,1;105011,1;105002,1;104006,1;104011,1;104010,1	28,100;3,64	310	6
50000034	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	967	CombinationName50000034	115004,1;105013,1;105001,1;104005,1;104017,1;104021,1	52,250;22,80	310	6
50000035	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	966	CombinationName50000035	115007,1;105009,1;105010,1;105004,1;105008,1;104002,1	51,250;24,80	310	6
50000036	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	965	CombinationName50000036	115006,1;115003,1;105003,1;105007,1;104004,1;104019,1	206,200;21,80	360	6
50000037	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	964	CombinationName50000037	115008,1;115002,1;105012,1;105005,1;104003,1;104015,1	175,400;23,80	360	6
50000038	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	963	CombinationName50000038	115009,1;105006,1;104001,1;104009,1;104020,1;104022,1	156,100;4,64	260	6
50000039	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	962	CombinationName50000039	105011,1;104016,1;104015,1;104024,1;104025,1;104026,1	132,150;12,20;13,20	210	6
50000040	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	961	CombinationName50000040	115001,1;105001,1;103001,1	3,25;4,25;1,400	225	6
50000041	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	960	CombinationName50000041	115001,1;105002,1;103002,1	3,25;4,25;1,400	225	6
50000042	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	959	CombinationName50000042	115001,1;105003,1;103003,1	3,25;4,25;1,400	225	6
50000043	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	958	CombinationName50000043	115001,1;105004,1;103004,1	3,25;4,25;1,400	225	6
50000044	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	957	CombinationName50000044	115001,1;105005,1;103005,1	3,25;4,25;1,400	225	6
50000045	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	956	CombinationName50000045	115001,1;105006,1;103006,1	3,25;4,25;1,400	225	6
50000046	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	955	CombinationName50000046	115001,1;105007,1;103007,1	3,25;4,25;1,400	225	6
50000047	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	954	CombinationName50000047	115001,1;105008,1;103008,1	3,25;4,25;1,400	225	6
50000048	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	953	CombinationName50000048	115001,1;104009,1;104011,1	12,40;13,40;11,40	180	6
50000049	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	952	CombinationName50000049	104007,1;115010,1	3,40;4,40	200	6
50000050	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	951	CombinationName50000050	104010,1;115012,1	3,40;4,40	200	6
50000051	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	950	CombinationName50000051	104009,1;115011,1	3,40;4,40	200	6
50000052	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	949	CombinationName50000052	104032,1;115013,1	23,100;1,500	200	6
50000053	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	948	CombinationName50000053	104031,1;104032,1;115013,1	3,20;4,20;1,400	200	6
50000054	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	947	CombinationName50000054	104032,1;105009,1	26,80;3,20	110	6
50000055	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	946	CombinationName50000055	103043,1;103044,1;102039,1;102040,1	1,100;3,5;4,5	50	6
50000056	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	945	CombinationName50000056	103043,1;102040,1	1,50;3,5	25	6
50000057	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	944	CombinationName50000057	103044,1;102039,1;102040,1;102041,1	1,50;3,4;4,4	33	6
50000058	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	943	CombinationName50000058	103036,1;102042,1;102043,1	21,14;22,14	21	6
50000059	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	942	CombinationName50000059	103009,1;102038,1	33,10;35,10	20	6
50000060	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	941	CombinationName50000060	104029,1;102036,1	4,20	50	6
50000061	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	940	CombinationName50000061	104013,1;103043,1;103012,1	23,40;24,40	60	6
50000062	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	939	CombinationName50000062	104033,1;103001,1	52,40;4,10	65	6
50000063	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	938	CombinationName50000063	104034,1;103002,1	51,40;22,20	55	6
50000064	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	937	CombinationName50000064	104035,1;103003,1	206,40;21,20	75	6
50000065	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	936	CombinationName50000065	104036,1;103004,1	51,40;1,20	45	6
50000066	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	935	CombinationName50000066	104037,1;103005,1	175,40;23,20	45	6
50000067	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	934	CombinationName50000067	104038,1;103006,1	156,40;4,20	90	6
50000068	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	933	CombinationName50000068	104039,1;103007,1	1,50;26,30	35	6
50000069	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	932	CombinationName50000069	104040,1;103008,1	1,50;24,30	35	6
50000070	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	931	CombinationName50000070	105021,1;105022,1;103035,1;103036,1;103037,1	70,30;84,30;69,30;80,30;76,30	150	6
50000071	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	930	CombinationName50000071	105017,1;105018,1;103044,1	3,10;4,10;1,300	125	6
50000072	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	929	CombinationName50000072	105017,1;103043,1;103044,1;102040,1;102041,1	67,30;83,30;66,30;79,30;75,30	150	6
50000073	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	928	CombinationName50000073	105021,1;105022,1;103037,1	22,25;1,300	94	6
50000074	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	927	CombinationName50000074	105020,1;103039,1	21,20;1,200	65	6
50000075	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	926	CombinationName50000075	104002,1;104003,1;102045,1	4,2;1,150	43	6
50000076	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	925	CombinationName50000076	104021,1;104019,1;102045,1	30,20;31,20	40	6
50000077	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	924	CombinationName50000077	104020,1;104017,1;102045,1	3,5;1,150	50	6
50000078	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	923	CombinationName50000078	105017,1;104014,1	3,15;4,15	75	6
50000079	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	922	CombinationName50000079	105018,1;104010,1	30,40;21,40	70	6
50000080	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	921	CombinationName50000080	105020,1;103038,1	4,10;26,50	63	6
50000081	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	920	CombinationName50000081	105020,1;103040,1;103038,1	13,30;24,15;22,15	68	6
50000082	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	919	CombinationName50000082	105022,1;105019,1	23,60;25,60	90	6
50000083	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	918	CombinationName50000083	105017,1;103040,1	31,40;22,40	70	6
50000084	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	917	CombinationName50000084	105021,1;105020,1	85,100	100	6
50000085	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	916	CombinationName50000085	105022,1;103018,1	33,40;24,40	70	6
50000086	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	915	CombinationName50000086	105017,1;103044,1	34,40;25,40	70	6
50000087	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	914	CombinationName50000087	105017,1;105018,1	86,100	100	6
50000088	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	913	CombinationName50000088	105018,1;103040,1	32,40;23,40	70	6
50000089	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	912	CombinationName50000089	105019,1;105022,1;104009,1	21,100;23,100	150	6
50000090	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	911	CombinationName50000090	105019,1;104006,1	11,40;21,40	90	6
50000091	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	910	CombinationName50000091	105021,1;102008,1	131,80	80	6
50000092	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	909	CombinationName50000092	105021,1;103018,1	35,40;26,40	70	6
50000093	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	908	CombinationName50000093	105022,1;102028,1	132,80	80	6
50000094	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	907	CombinationName50000094	115004,1;104004,1;102045,1	3,15;1,450	150	6
50000095	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	906	CombinationName50000095	115014,1;104001,1;104005,1	1,500;158,40;160,40	173	6
50000096	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	905	CombinationName50000096	115014,1;104009,1;104010,1	1,500;161,40;160,40	173	6
50000097	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	904	CombinationName50000097	115015,1;104032,1	1,300;11,50	150	6
50000098	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	903	CombinationName50000098	115016,1;103040,1	51,100;1,300	175	6
50000099	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	902	CombinationName50000099	115016,1;103038,1	52,100;1,300	175	6
50000100	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	901	CombinationName50000100	115014,1;103035,1	175,100;25,100	150	6
50000101	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	900	CombinationName50000101	115014,1;105021,1;105022,1;103037,1	12,50;13,50;11,50	225	6
50000102	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	899	CombinationName50000102	115017,1;115010,1;115012,1;115011,1	12,100;13,100;11,150	525	6
10000071	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	930	CombinationName10000071	102046,1	4,3	10	2
10000072	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	929	CombinationName10000072	102047,1	1,30	10	2
10000073	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	928	CombinationName10000073	102048,1	3,3	10	2
10000074	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	927	CombinationName10000074	102049,1	1,30	10	2
10000075	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	926	CombinationName10000075	102050,1	4,3	10	2
10000076	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	925	CombinationName10000076	102051,1	4,3	10	2
10000077	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	924	CombinationName10000077	102052,1	3,3	10	2
10000078	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	923	CombinationName10000078	102053,1	1,30	10	2
10000079	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	922	CombinationName10000079	102049,1;102051,1	1,30;4,3	15	2
10000080	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	921	CombinationName10000080	102048,1;102050,1	3,3;4,3	15	2
10000081	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	920	CombinationName10000081	102051,1;102047,1	1,30;22,10	15	2
10000082	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	919	CombinationName10000082	102046,1;102050,1;102048,1	23,14;24,14	21	2
10000083	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	918	CombinationName10000083	102050,1;102048,1;102052,1	21,14;22,14	21	2
10000084	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	917	CombinationName10000084	102049,1;102051,1;102053,1	22,16;1,40	22	2
10000085	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	916	CombinationName10000085	102049,1;102053,1;102046,1	25,16;1,40	22	2
10000086	1	1	LabelName10000001	LabelDes10000001	labelicon_10000001	915	CombinationName10000086	102048,1;102049,1;102050,1;102051,1;102047,1;102053,1	3,4;4,4;1,40;22,16	42	2
20000069	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	932	CombinationName20000069	103045,1	3,8	20	3
20000070	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	931	CombinationName20000070	103046,1	1,80	20	3
20000071	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	930	CombinationName20000071	103047,1	4,8	20	3
20000072	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	929	CombinationName20000072	103048,1	24,25	18	3
20000073	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	928	CombinationName20000073	103049,1	22,25	18	3
20000074	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	927	CombinationName20000074	103050,1	26,25	18	3
20000075	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	926	CombinationName20000075	103051,1	23,25	18	3
20000076	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	925	CombinationName20000076	103052,1	25,25	18	3
20000077	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	924	CombinationName20000077	103045,1;103049,1	1,60;3,6	30	3
20000078	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	923	CombinationName20000078	103046,1;103052,1	1,60;4,6	30	3
20000079	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	922	CombinationName20000079	103048,1;103051,1	3,6;4,6	30	3
20000080	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	921	CombinationName20000080	103047,1;103050,1	12,10;13,10	30	3
20000081	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	920	CombinationName20000081	103052,1;103047,1	13,10;11,10	30	3
20000082	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	919	CombinationName20000082	103045,1;103050,1	131,15;132,15	30	3
20000083	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	918	CombinationName20000083	103045,1;103046,1;103048,1;103049,1;103051,1;103052,1	84,50;76,50	100	3
20000084	2	2	LabelName20000001	LabelDes20000001	labelicon_20000001	917	CombinationName20000084	103045,1;103046,1;103049,1;103051,1	26,30;24,30;21,30	67	3
30000070	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	930	CombinationName30000070	104046,1	3,16	40	4
30000071	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	929	CombinationName30000071	104042,1	4,16	40	4
30000072	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	928	CombinationName30000072	104043,1	1,160	40	4
30000073	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	927	CombinationName30000073	104044,1	4,16	40	4
30000074	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	926	CombinationName30000074	104045,1	1,160	40	4
30000075	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	925	CombinationName30000075	104043,1;104044,1	32,30;33,30	60	4
30000076	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	924	CombinationName30000076	104045,1;104046,1	21,40;1,100	55	4
