流水	商店编号	商店分组	商店标签1	商品编号	道具排序	物品名	购买所需货币	购买价格	消耗兑换ID	消耗兑换道具数量	限购类型	限购数量	出售获得货币	出售价格	获得道具ID	获得道具数量	限售类型	限售数量	角色可见的等级	购买次数保留上限	需求公会圣器等级	需求英雄塔罗历史积分	需求活动军衔	兑换规则角标	需求家园等级	显示家园等级	地区渠道号
520	301	0	0	24	27	item8171000101081	4	4000		0	3	2	0	0		0	0	0	68,999	0	0	0	0		0	0	
521	301	0	0	25	3	item171000101032	4	4000		0	2	2	0	0		0	0	0	60,999	0	0	0	0		0	0	
522	301	0	0	26	2	item171000113414	4	3600		0	4	1	0	0		0	0	0	60,999	0	0	0	0		0	0	
523	301	0	0	27	1	item171000113506	4	18000		0	4	1	0	0		0	0	0	60,999	0	0	0	0		0	0	
524	401	0	0	1	1	item141000000074	8	50		0	4	1	0	0		0	0	0		0	0	0	0		0	0	
525	401	0	0	2	2	item141000000075	8	50		0	4	1	0	0		0	0	0		0	0	0	0		0	0	
526	401	0	0	3	3	item141000000076	8	50		0	4	1	0	0		0	0	0		0	0	0	0		0	0	
527	401	0	0	4	4	item141000000077	8	50		0	4	1	0	0		0	0	0		0	0	0	0		0	0	
528	401	0	0	5	5	item141000000078	8	50		0	4	1	0	0		0	0	0		0	0	0	0		0	0	
529	401	0	0	6	6	item141000000079	8	50		0	4	1	0	0		0	0	0		0	0	0	0		0	0	
530	401	0	0	7	7	item140000011001	8	300		0	4	1	0	0		0	0	0		0	0	0	0		0	0	
531	401	0	0	8	8	item140000011002	8	300		0	4	1	0	0		0	0	0		0	0	0	0		0	0	
532	401	0	0	9	9	item140000011003	8	300		0	4	1	0	0		0	0	0		0	0	0	0		0	0	
533	401	0	0	10	10	item140000011004	8	300		0	4	1	0	0		0	0	0		0	0	0	0		0	0	
534	401	0	0	11	11	item140000011005	8	300		0	4	1	0	0		0	0	0		0	0	0	0		0	0	
535	401	0	0	12	12	item140000011007	8	300		0	4	1	0	0		0	0	0		0	0	0	0		0	0	
536	401	0	0	13	13	item140000011008	8	300		0	4	1	0	0		0	0	0		0	0	0	0		0	0	
537	401	0	0	14	14	item140000001001	8	100		0	4	1	0	0		0	0	0		0	0	0	0		0	0	
538	401	0	0	15	15	item140000001002	8	100		0	4	1	0	0		0	0	0		0	0	0	0		0	0	
539	401	0	0	16	16	item140000001003	8	100		0	4	1	0	0		0	0	0		0	0	0	0		0	0	
540	401	0	0	17	17	item140000002001	8	100		0	4	1	0	0		0	0	0		0	0	0	0		0	0	
541	401	0	0	18	18	item140000002002	8	100		0	4	1	0	0		0	0	0		0	0	0	0		0	0	
542	401	0	0	19	19	item140000002003	8	100		0	4	1	0	0		0	0	0		0	0	0	0		0	0	
543	401	0	0	20	20	item140000003001	8	150		0	4	1	0	0		0	0	0		0	0	0	0		0	0	
544	401	0	0	21	21	item140000003003	8	150		0	4	1	0	0		0	0	0		0	0	0	0		0	0	
545	701	0	0	1	1	item101020501031	11	3800		0	1	20	0	0		0	0	0		40	0	0	0		0	0	
546	701	0	0	2	2	item101020501032	12	9400		0	1	20	0	0		0	0	0		40	0	0	0		0	0	
547	701	0	0	3	3	item101020501021	11	180		0	1	20	0	0		0	0	0		40	0	0	0		0	0	
548	701	0	0	4	4	item101020501022	12	220		0	1	20	0	0		0	0	0		40	0	0	0		0	0	
549	701	0	0	5	5	item101040101017	11	100		0	1	999	0	0		0	0	0		0	0	0	0		0	0	
550	701	0	0	6	6	item101040101016	12	200		0	1	100	0	0		0	0	0		200	0	0	0		0	0	
551	701	0	0	7	7	item101020503001	0	0		0	0	0	11	1000		0	0	0		0	0	0	0		0	0	
552	701	0	0	8	8	item101020503002	0	0		0	0	0	11	1000		0	0	0		0	0	0	0		0	0	
553	701	0	0	9	9	item101020503003	0	0		0	0	0	11	1000		0	0	0		0	0	0	0		0	0	
554	701	0	0	10	10	item101020503021	0	0		0	0	0	11	1000		0	0	0		0	0	0	0		0	0	
555	701	0	0	11	11	item101020503022	0	0		0	0	0	11	1000		0	0	0		0	0	0	0		0	0	
556	701	0	0	12	12	item101020503023	0	0		0	0	0	11	1000		0	0	0		0	0	0	0		0	0	
557	701	0	0	13	13	item101020503024	0	0		0	0	0	11	5000		0	0	0		0	0	0	0		0	0	
558	701	0	0	14	14	item101020503025	0	0		0	0	0	11	5000		0	0	0		0	0	0	0		0	0	
559	701	0	0	15	15	item101020503026	0	0		0	0	0	11	5000		0	0	0		0	0	0	0		0	0	
560	701	0	0	16	16	item101020503027	0	0		0	0	0	11	5000		0	0	0		0	0	0	0		0	0	
561	701	0	0	17	17	item101020503028	0	0		0	0	0	11	5000		0	0	0		0	0	0	0		0	0	
562	701	0	0	18	18	item101020503029	0	0		0	0	0	11	5000		0	0	0		0	0	0	0		0	0	
563	701	0	0	19	19	item101020503030	0	0		0	0	0	11	5000		0	0	0		0	0	0	0		0	0	
564	701	0	0	20	20	item101020503031	0	0		0	0	0	11	5000		0	0	0		0	0	0	0		0	0	
565	701	0	0	21	21	item101020503101	0	0		0	0	0	11	5000		0	0	0		0	0	0	0		0	0	
566	701	0	0	22	22	item101020503102	0	0		0	0	0	11	5000		0	0	0		0	0	0	0		0	0	
567	701	0	0	23	23	item101020503103	0	0		0	0	0	11	5000		0	0	0		0	0	0	0		0	0	
568	701	0	0	24	24	item101020503106	0	0		0	0	0	11	5000		0	0	0		0	0	0	0		0	0	
569	701	0	0	25	25	item101020503107	0	0		0	0	0	11	5000		0	0	0		0	0	0	0		0	0	
570	701	0	0	26	26	item101020503108	0	0		0	0	0	11	5000		0	0	0		0	0	0	0		0	0	
571	701	0	0	27	27	item101020503004	0	0		0	0	0	11	20000		0	0	0		0	0	0	0		0	0	
572	701	0	0	28	28	item101020503005	0	0		0	0	0	11	20000		0	0	0		0	0	0	0		0	0	
573	701	0	0	29	29	item101020503032	0	0		0	0	0	11	20000		0	0	0		0	0	0	0		0	0	
574	701	0	0	30	30	item101020503034	0	0		0	0	0	11	20000		0	0	0		0	0	0	0		0	0	
575	701	0	0	31	31	item101020503035	0	0		0	0	0	11	20000		0	0	0		0	0	0	0		0	0	
576	701	0	0	32	32	item101020503036	0	0		0	0	0	11	20000		0	0	0		0	0	0	0		0	0	
577	701	0	0	33	33	item101020503037	0	0		0	0	0	11	20000		0	0	0		0	0	0	0		0	0	
578	701	0	0	34	34	item101020503062	0	0		0	0	0	11	20000		0	0	0		0	0	0	0		0	0	
579	701	0	0	35	35	item101020503079	0	0		0	0	0	11	20000		0	0	0		0	0	0	0		0	0	
580	701	0	0	36	36	item101020503109	0	0		0	0	0	11	20000		0	0	0		0	0	0	0		0	0	
581	701	0	0	37	37	item101020503110	0	0		0	0	0	11	20000		0	0	0		0	0	0	0		0	0	
582	701	0	0	38	38	item101020503111	0	0		0	0	0	11	20000		0	0	0		0	0	0	0		0	0	
583	701	0	0	39	39	item101020503112	0	0		0	0	0	11	20000		0	0	0		0	0	0	0		0	0	
584	701	0	0	40	40	item101020503113	0	0		0	0	0	11	20000		0	0	0		0	0	0	0		0	0	
585	701	0	0	41	41	item101020503114	0	0		0	0	0	11	20000		0	0	0		0	0	0	0		0	0	
586	701	0	0	42	42	item101020503115	0	0		0	0	0	11	20000		0	0	0		0	0	0	0		0	0	
587	701	0	0	43	43	item101020503116	0	0		0	0	0	11	20000		0	0	0		0	0	0	0		0	0	
588	701	0	0	44	44	item101020503117	0	0		0	0	0	12	6000		0	0	0		0	0	0	0		0	0	
589	701	0	0	45	45	item101020503118	0	0		0	0	0	12	6000		0	0	0		0	0	0	0		0	0	
590	701	0	0	46	46	item101020503119	0	0		0	0	0	12	6000		0	0	0		0	0	0	0		0	0	
591	701	0	0	47	47	item101020503120	0	0		0	0	0	12	6000		0	0	0		0	0	0	0		0	0	
592	701	0	0	48	48	item101020503121	0	0		0	0	0	12	6000		0	0	0		0	0	0	0		0	0	
593	701	0	0	49	49	item101020503126	0	0		0	0	0	12	6000		0	0	0		0	0	0	0		0	0	
594	701	0	0	50	50	item101020503127	0	0		0	0	0	12	6000		0	0	0		0	0	0	0		0	0	
595	701	0	0	51	51	item101020503033	0	0		0	0	0	12	6000		0	0	0		0	0	0	0		0	0	
596	701	0	0	52	52	item101020503038	0	0		0	0	0	12	6000		0	0	0		0	0	0	0		0	0	
597	701	0	0	53	53	item101020503039	0	0		0	0	0	12	6000		0	0	0		0	0	0	0		0	0	
598	701	0	0	54	54	item101020503040	0	0		0	0	0	12	6000		0	0	0		0	0	0	0		0	0	
599	701	0	0	55	55	item101020503041	0	0		0	0	0	12	6000		0	0	0		0	0	0	0		0	0	
600	701	0	0	56	56	item101020503042	0	0		0	0	0	12	6000		0	0	0		0	0	0	0		0	0	
601	701	0	0	57	57	item101020503043	0	0		0	0	0	12	6000		0	0	0		0	0	0	0		0	0	
602	701	0	0	58	58	item101020503056	0	0		0	0	0	12	6000		0	0	0		0	0	0	0		0	0	
603	701	0	0	59	59	item101020503057	0	0		0	0	0	12	6000		0	0	0		0	0	0	0		0	0	
604	701	0	0	60	60	item101020503104	0	0		0	0	0	12	6000		0	0	0		0	0	0	0		0	0	
605	701	0	0	61	61	item101020503105	0	0		0	0	0	12	6000		0	0	0		0	0	0	0		0	0	
606	701	0	0	62	62	item101020503044	0	0		0	0	0	12	18000		0	0	0		0	0	0	0		0	0	
607	701	0	0	63	63	item101020503045	0	0		0	0	0	12	18000		0	0	0		0	0	0	0		0	0	
608	701	0	0	64	64	item101020503046	0	0		0	0	0	12	18000		0	0	0		0	0	0	0		0	0	
609	701	0	0	65	65	item101020503093	0	0		0	0	0	12	18000		0	0	0		0	0	0	0		0	0	
610	701	0	0	66	66	item101020503047	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
611	701	0	0	67	67	item101020503048	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
612	701	0	0	68	68	item101020503049	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
613	701	0	0	69	69	item101020503050	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
614	701	0	0	70	70	item101020503051	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
615	701	0	0	71	71	item101020503052	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
616	701	0	0	72	72	item101020503053	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
617	701	0	0	73	73	item101020503054	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
618	701	0	0	74	74	item101020503055	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
619	701	0	0	75	75	item101020503069	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
620	701	0	0	76	76	item101020503086	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
621	701	0	0	77	77	item101020503097	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
622	701	0	0	78	78	item101020514004	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
623	701	0	0	79	79	item101020514005	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
624	701	0	0	80	80	item101020514006	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
625	701	0	0	81	81	item101020514007	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
626	701	0	0	82	82	item101020514008	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
627	701	0	0	83	83	item101020514009	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
628	701	0	0	84	84	item101020514010	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
629	701	0	0	85	85	item101020514011	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
630	701	0	0	86	86	item101020514012	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
631	701	0	0	87	87	item101020514013	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
632	701	0	0	88	88	item101020514014	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	1
633	701	0	0	89	89	item101020514015	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	1
634	701	0	0	90	90	item101020514016	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
635	701	0	0	91	91	item101020514017	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
636	701	0	0	92	92	item101020514018	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
637	701	0	0	93	93	item101020514019	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	1
638	701	0	0	94	94	item101020514020	0	0		0	0	0	12	18000		0	0	0		0	0	0	0		0	0	1
639	701	0	0	95	95	item101020514021	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	1
640	701	0	0	96	96	item101020514022	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
641	701	0	0	97	97	item101020514023	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
642	701	0	0	98	98	item101020514024	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
643	701	0	0	99	99	item101020514025	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
644	701	0	0	100	100	item101020505209	0	0		0	0	0	11	100		0	0	0		0	0	0	0		0	0	
645	701	0	0	101	101	item101020505211	0	0		0	0	0	11	100		0	0	0		0	0	0	0		0	0	
646	701	0	0	102	102	item101020505213	0	0		0	0	0	11	100		0	0	0		0	0	0	0		0	0	
647	701	0	0	103	103	item101020505219	0	0		0	0	0	11	100		0	0	0		0	0	0	0		0	0	
648	701	0	0	104	104	item101020505221	0	0		0	0	0	11	100		0	0	0		0	0	0	0		0	0	
649	701	0	0	105	105	item101020505223	0	0		0	0	0	11	100		0	0	0		0	0	0	0		0	0	
650	701	0	0	106	106	item101020505210	0	0		0	0	0	11	200		0	0	0		0	0	0	0		0	0	
651	701	0	0	107	107	item101020505212	0	0		0	0	0	11	200		0	0	0		0	0	0	0		0	0	
652	701	0	0	108	108	item101020505214	0	0		0	0	0	11	200		0	0	0		0	0	0	0		0	0	
653	701	0	0	109	109	item101020505220	0	0		0	0	0	11	200		0	0	0		0	0	0	0		0	0	
654	701	0	0	110	110	item101020505222	0	0		0	0	0	11	200		0	0	0		0	0	0	0		0	0	
655	701	0	0	111	111	item101020505224	0	0		0	0	0	11	200		0	0	0		0	0	0	0		0	0	
656	701	0	0	112	112	item101020505225	0	0		0	0	0	11	200		0	0	0		0	0	0	0		0	0	
657	701	0	0	113	113	item101020505227	0	0		0	0	0	11	200		0	0	0		0	0	0	0		0	0	
658	701	0	0	114	114	item101020505229	0	0		0	0	0	11	200		0	0	0		0	0	0	0		0	0	
659	701	0	0	115	115	item101020505231	0	0		0	0	0	11	200		0	0	0		0	0	0	0		0	0	
660	701	0	0	116	116	item101020505233	0	0		0	0	0	11	200		0	0	0		0	0	0	0		0	0	
661	701	0	0	117	117	item101020505235	0	0		0	0	0	11	200		0	0	0		0	0	0	0		0	0	
662	701	0	0	118	118	item101020505237	0	0		0	0	0	11	200		0	0	0		0	0	0	0		0	0	
663	701	0	0	119	119	item101020505239	0	0		0	0	0	11	200		0	0	0		0	0	0	0		0	0	
664	701	0	0	120	120	item101020505215	0	0		0	0	0	11	500		0	0	0		0	0	0	0		0	0	
665	701	0	0	121	121	item101020505217	0	0		0	0	0	11	500		0	0	0		0	0	0	0		0	0	
666	701	0	0	122	122	item101020505226	0	0		0	0	0	11	500		0	0	0		0	0	0	0		0	0	
667	701	0	0	123	123	item101020505228	0	0		0	0	0	11	500		0	0	0		0	0	0	0		0	0	
668	701	0	0	124	124	item101020505230	0	0		0	0	0	11	500		0	0	0		0	0	0	0		0	0	
669	701	0	0	125	125	item101020505232	0	0		0	0	0	11	500		0	0	0		0	0	0	0		0	0	
670	701	0	0	126	126	item101020505234	0	0		0	0	0	11	500		0	0	0		0	0	0	0		0	0	
671	701	0	0	127	127	item101020505236	0	0		0	0	0	11	500		0	0	0		0	0	0	0		0	0	
672	701	0	0	128	128	item101020505238	0	0		0	0	0	11	500		0	0	0		0	0	0	0		0	0	
673	701	0	0	129	129	item101020505240	0	0		0	0	0	11	500		0	0	0		0	0	0	0		0	0	
674	701	0	0	130	130	item101020505241	0	0		0	0	0	11	500		0	0	0		0	0	0	0		0	0	
675	701	0	0	131	131	item101020505245	0	0		0	0	0	11	500		0	0	0		0	0	0	0		0	0	
676	701	0	0	132	132	item101020505247	0	0		0	0	0	11	500		0	0	0		0	0	0	0		0	0	
677	701	0	0	133	133	item101020505249	0	0		0	0	0	11	500		0	0	0		0	0	0	0		0	0	
678	701	0	0	134	134	item101020505251	0	0		0	0	0	11	500		0	0	0		0	0	0	0		0	0	
679	701	0	0	135	135	item101020505333	0	0		0	0	0	11	500		0	0	0		0	0	0	0		0	0	
680	701	0	0	136	136	item101020505337	0	0		0	0	0	11	500		0	0	0		0	0	0	0		0	0	
681	701	0	0	137	137	item101020505216	0	0		0	0	0	12	120		0	0	0		0	0	0	0		0	0	
682	701	0	0	138	138	item101020505218	0	0		0	0	0	12	120		0	0	0		0	0	0	0		0	0	
683	701	0	0	139	139	item101020505242	0	0		0	0	0	12	120		0	0	0		0	0	0	0		0	0	
684	701	0	0	140	140	item101020505243	0	0		0	0	0	12	120		0	0	0		0	0	0	0		0	0	
685	701	0	0	141	141	item101020505246	0	0		0	0	0	12	120		0	0	0		0	0	0	0		0	0	
686	701	0	0	142	142	item101020505248	0	0		0	0	0	12	120		0	0	0		0	0	0	0		0	0	
687	701	0	0	143	143	item101020505250	0	0		0	0	0	12	120		0	0	0		0	0	0	0		0	0	
688	701	0	0	144	144	item101020505252	0	0		0	0	0	12	120		0	0	0		0	0	0	0		0	0	
689	701	0	0	145	145	item101020505334	0	0		0	0	0	12	120		0	0	0		0	0	0	0		0	0	
690	701	0	0	146	146	item101020505338	0	0		0	0	0	12	120		0	0	0		0	0	0	0		0	0	
691	701	0	0	147	147	item101020505253	0	0		0	0	0	12	120		0	0	0		0	0	0	0		0	0	
692	701	0	0	148	148	item101020505301	0	0		0	0	0	12	120		0	0	0		0	0	0	0		0	0	
693	701	0	0	149	149	item101020505302	0	0		0	0	0	12	120		0	0	0		0	0	0	0		0	0	
694	701	0	0	150	150	item101020505303	0	0		0	0	0	12	120		0	0	0		0	0	0	0		0	0	
695	701	0	0	151	151	item101020505304	0	0		0	0	0	12	120		0	0	0		0	0	0	0		0	0	
696	701	0	0	152	152	item101020505305	0	0		0	0	0	12	120		0	0	0		0	0	0	0		0	0	
697	701	0	0	153	153	item101020505318	0	0		0	0	0	12	120		0	0	0		0	0	0	0		0	0	
698	701	0	0	154	154	item101020505319	0	0		0	0	0	12	120		0	0	0		0	0	0	0		0	0	
699	701	0	0	155	155	item101020505306	0	0		0	0	0	12	360		0	0	0		0	0	0	0		0	0	
700	701	0	0	156	156	item101020505307	0	0		0	0	0	12	360		0	0	0		0	0	0	0		0	0	
701	701	0	0	157	157	item101020505308	0	0		0	0	0	12	360		0	0	0		0	0	0	0		0	0	
702	701	0	0	158	158	item101020505342	0	0		0	0	0	12	360		0	0	0		0	0	0	0		0	0	
703	701	0	0	159	159	item101020505309	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
704	701	0	0	160	160	item101020505310	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
705	701	0	0	161	161	item101020505311	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
706	701	0	0	162	162	item101020505312	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
707	701	0	0	163	163	item101020505313	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
708	701	0	0	164	164	item101020505314	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
709	701	0	0	165	165	item101020505315	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
710	701	0	0	166	166	item101020505316	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
711	701	0	0	167	167	item101020505317	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
712	701	0	0	168	168	item101020505336	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
713	701	0	0	169	169	item101020505341	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
714	701	0	0	170	170	item101020505343	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
715	701	0	0	171	171	item101020505346	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
716	701	0	0	172	172	item101020505347	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
717	701	0	0	173	173	item101020505348	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
718	701	0	0	174	174	item101020505349	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
719	701	0	0	175	175	item101020505350	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
720	701	0	0	176	176	item101020505351	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
721	701	0	0	177	177	item101020505352	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
722	701	0	0	178	178	item101020505353	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
723	701	0	0	179	179	item101020505354	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
724	701	0	0	180	180	item101020505355	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
725	701	0	0	181	181	item101020505356	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	1
726	701	0	0	182	182	item101020505357	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	1
727	701	0	0	183	183	item101020505358	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
728	701	0	0	184	184	item101020505359	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
729	701	0	0	185	185	item101020505360	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
730	701	0	0	186	186	item101020505361	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	1
731	701	0	0	187	187	item101020505362	0	0		0	0	0	12	360		0	0	0		0	0	0	0		0	0	1
732	701	0	0	188	188	item101020505363	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	1
733	701	0	0	189	189	item101020505364	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
734	701	0	0	190	190	item101020505365	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
735	701	0	0	191	191	item101020505366	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
736	701	0	0	192	192	item101020505367	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
737	701	0	0	193	193	item101020514026	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
738	701	0	0	194	194	item101020505368	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
739	701	0	0	195	195	item101020514027	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
740	701	0	0	196	196	item101020505369	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
741	701	0	0	197	197	item101020514028	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	1
742	701	0	0	198	198	item101020505370	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	1
743	701	0	0	199	199	item101020514029	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	1
744	701	0	0	200	200	item101020505371	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	1
745	701	0	0	201	201	item101020514030	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	4
746	701	0	0	202	202	item101020505372	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	4
747	701	0	0	203	203	item101020514031	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	4
748	701	0	0	204	204	item101020505373	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	4
749	701	0	0	205	205	item101020514032	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
750	701	0	0	206	206	item101020505374	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
751	701	0	0	207	207	item101020514033	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
752	701	0	0	208	208	item101020505375	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
753	701	0	0	209	209	item101020514034	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
754	701	0	0	210	210	item101020505376	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
755	701	0	0	211	211	item101020514035	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
756	701	0	0	212	212	item101020505377	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
757	701	0	0	213	213	item101020514036	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
758	701	0	0	214	214	item101020505378	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
759	701	0	0	215	215	item101020514037	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
760	701	0	0	216	216	item101020505379	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
761	701	0	0	217	217	item101020514038	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
762	701	0	0	218	218	item101020505380	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
763	701	0	0	219	219	item101020514039	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
764	701	0	0	220	220	item101020505381	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
765	701	0	0	221	221	item101020514040	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
766	701	0	0	222	222	item101020505382	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
767	701	0	0	223	223	item101020514041	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
768	701	0	0	224	224	item101020505383	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
769	701	0	0	225	225	item101020514042	0	0		0	0	0	12	18000		0	0	0		0	0	0	0		0	0	
770	701	0	0	226	226	item101020505384	0	0		0	0	0	12	360		0	0	0		0	0	0	0		0	0	
771	701	0	0	227	227	item101020514043	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
772	701	0	0	228	228	item101020505385	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
773	701	0	0	229	229	item101020514044	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
774	701	0	0	230	230	item101020505386	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
775	701	0	0	231	231	item101020514045	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
776	701	0	0	232	232	item101020505387	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
777	701	0	0	233	233	item101020514047	0	0		0	0	0	12	50000		0	0	0		0	0	0	0		0	0	
778	701	0	0	234	234	item101020505388	0	0		0	0	0	12	1000		0	0	0		0	0	0	0		0	0	
779	701	0	0	999	999	item91000000334	3	900		0	2	10	0	0		0	0	0		0	0	0	0		0	0	
780	701	0	0	1000	1000	item101031000011	15	120		0	2	100	0	0		0	0	0		0	0	0	0		0	0	
781	701	0	0	1001	1001	item101031000011	0	0	item101031000001	40	1	100	0	0		0	0	0	56,999	0	0	0	0		0	0	
782	701	0	0	1002	1002	item101031000021	0	0	item101031000001	160	2	20	0	0		0	0	0	56,999	0	0	0	0		0	0	
783	701	0	0	1003	1003	item101031000011	0	0	item101020504800	3	2	200	0	0		0	0	0	56,999	0	0	0	0		0	0	
784	701	0	0	1004	1004	item101031000021	0	0	item101020504900	2	2	10	0	0		0	0	0	56,999	0	0	0	0		0	0	
