流水id	学徒id	学徒等级	武艺属性加成	升级属性加成范围	才艺属性加成	升级属性加成范围	升级所需经验	学徒称号等级	援护技能上限
506	apprentic_2003	66	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;32,320,384,1666;34,256,320,1666;31,384,512,1666	2,3	1,32,64,1666;2,32,64,1666;3,32,64,1666;4,32,64,1666;5,32,64,1666;6,32,64,1666	847	4	5
507	apprentic_2003	67	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;32,320,384,1666;34,256,320,1666;31,384,512,1666	2,3	1,32,64,1666;2,32,64,1666;3,32,64,1666;4,32,64,1666;5,32,64,1666;6,32,64,1666	887	4	5
508	apprentic_2003	68	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;32,320,384,1666;34,256,320,1666;31,384,512,1666	2,3	1,32,64,1666;2,32,64,1666;3,32,64,1666;4,32,64,1666;5,32,64,1666;6,32,64,1666	927	4	5
509	apprentic_2003	69	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;32,320,384,1666;34,256,320,1666;31,384,512,1666	2,3	1,32,64,1666;2,32,64,1666;3,32,64,1666;4,32,64,1666;5,32,64,1666;6,32,64,1666	967	4	5
510	apprentic_2003	70	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;32,320,384,1666;34,256,320,1666;31,384,512,1666	2,3	1,32,64,1666;2,32,64,1666;3,32,64,1666;4,32,64,1666;5,32,64,1666;6,32,64,1666	1007	4	5
511	apprentic_2003	71	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;32,320,384,1666;34,256,320,1666;31,384,512,1666	2,3	1,32,64,1666;2,32,64,1666;3,32,64,1666;4,32,64,1666;5,32,64,1666;6,32,64,1666	1047	4	5
512	apprentic_2003	72	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;32,320,384,1666;34,256,320,1666;31,384,512,1666	2,3	1,32,64,1666;2,32,64,1666;3,32,64,1666;4,32,64,1666;5,32,64,1666;6,32,64,1666	1107	4	5
513	apprentic_2003	73	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;32,320,384,1666;34,256,320,1666;31,384,512,1666	2,3	1,32,64,1666;2,32,64,1666;3,32,64,1666;4,32,64,1666;5,32,64,1666;6,32,64,1666	1167	4	5
514	apprentic_2003	74	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;32,320,384,1666;34,256,320,1666;31,384,512,1666	2,3	1,32,64,1666;2,32,64,1666;3,32,64,1666;4,32,64,1666;5,32,64,1666;6,32,64,1666	1227	4	5
515	apprentic_2003	75	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;32,320,384,1666;34,256,320,1666;31,384,512,1666	2,3	1,32,64,1666;2,32,64,1666;3,32,64,1666;4,32,64,1666;5,32,64,1666;6,32,64,1666	1287	4	5
516	apprentic_2003	76	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;32,320,384,1666;34,256,320,1666;31,384,512,1666	2,3	1,32,64,1666;2,32,64,1666;3,32,64,1666;4,32,64,1666;5,32,64,1666;6,32,64,1666	1347	4	5
517	apprentic_2003	77	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;32,320,384,1666;34,256,320,1666;31,384,512,1666	2,3	1,32,64,1666;2,32,64,1666;3,32,64,1666;4,32,64,1666;5,32,64,1666;6,32,64,1666	1407	4	5
518	apprentic_2003	78	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;32,320,384,1666;34,256,320,1666;31,384,512,1666	2,3	1,32,64,1666;2,32,64,1666;3,32,64,1666;4,32,64,1666;5,32,64,1666;6,32,64,1666	1467	4	5
519	apprentic_2003	79	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;32,320,384,1666;34,256,320,1666;31,384,512,1666	2,3	1,32,64,1666;2,32,64,1666;3,32,64,1666;4,32,64,1666;5,32,64,1666;6,32,64,1666	1527	4	5
520	apprentic_2003	80	2,3	1,640,768,1666;3,64,96,1666;4,96,128,1666;32,320,384,1666;34,256,320,1666;31,384,512,1666	2,3	1,32,64,1666;2,32,64,1666;3,32,64,1666;4,32,64,1666;5,32,64,1666;6,32,64,1666	0	4	5
521	apprentic_2004	1	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	7	1	2
522	apprentic_2004	2	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	9	1	2
523	apprentic_2004	3	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	11	1	2
524	apprentic_2004	4	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	13	1	2
525	apprentic_2004	5	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	15	1	2
526	apprentic_2004	6	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	17	1	2
527	apprentic_2004	7	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	19	1	2
528	apprentic_2004	8	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	21	1	2
529	apprentic_2004	9	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	23	1	2
530	apprentic_2004	10	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	25	1	2
531	apprentic_2004	11	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	27	1	2
532	apprentic_2004	12	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	29	1	2
533	apprentic_2004	13	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	31	1	2
534	apprentic_2004	14	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	33	1	2
535	apprentic_2004	15	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	35	1	2
536	apprentic_2004	16	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	37	1	2
537	apprentic_2004	17	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	39	1	2
538	apprentic_2004	18	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	41	1	2
539	apprentic_2004	19	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	43	1	2
540	apprentic_2004	20	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	45	1	2
541	apprentic_2004	21	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	47	2	3
542	apprentic_2004	22	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	57	2	3
543	apprentic_2004	23	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	67	2	3
544	apprentic_2004	24	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	77	2	3
545	apprentic_2004	25	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	87	2	3
546	apprentic_2004	26	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	97	2	3
547	apprentic_2004	27	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	107	2	3
548	apprentic_2004	28	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	117	2	3
549	apprentic_2004	29	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	127	2	3
550	apprentic_2004	30	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	137	2	3
551	apprentic_2004	31	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	147	2	3
552	apprentic_2004	32	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	157	2	3
553	apprentic_2004	33	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	167	2	3
554	apprentic_2004	34	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	177	2	3
555	apprentic_2004	35	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	187	2	3
556	apprentic_2004	36	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	197	2	3
557	apprentic_2004	37	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	207	2	3
558	apprentic_2004	38	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	217	2	3
559	apprentic_2004	39	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	227	2	3
560	apprentic_2004	40	1,2	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	1,2	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	237	2	3
561	apprentic_2004	41	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	247	3	4
562	apprentic_2004	42	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	267	3	4
563	apprentic_2004	43	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	287	3	4
564	apprentic_2004	44	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	307	3	4
565	apprentic_2004	45	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	327	3	4
566	apprentic_2004	46	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	347	3	4
567	apprentic_2004	47	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	367	3	4
568	apprentic_2004	48	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	387	3	4
569	apprentic_2004	49	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	407	3	4
570	apprentic_2004	50	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	427	3	4
571	apprentic_2004	51	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	447	3	4
572	apprentic_2004	52	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	467	3	4
573	apprentic_2004	53	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	487	3	4
574	apprentic_2004	54	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	507	3	4
575	apprentic_2004	55	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	527	3	4
576	apprentic_2004	56	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	547	3	4
577	apprentic_2004	57	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	567	3	4
578	apprentic_2004	58	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	587	3	4
579	apprentic_2004	59	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	607	3	4
580	apprentic_2004	60	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	627	3	4
581	apprentic_2004	61	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	647	4	5
582	apprentic_2004	62	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	687	4	5
583	apprentic_2004	63	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	727	4	5
584	apprentic_2004	64	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	767	4	5
585	apprentic_2004	65	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	807	4	5
586	apprentic_2004	66	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	847	4	5
587	apprentic_2004	67	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	887	4	5
588	apprentic_2004	68	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	927	4	5
589	apprentic_2004	69	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	967	4	5
590	apprentic_2004	70	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	1007	4	5
591	apprentic_2004	71	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	1047	4	5
592	apprentic_2004	72	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	1107	4	5
593	apprentic_2004	73	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	1167	4	5
594	apprentic_2004	74	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	1227	4	5
595	apprentic_2004	75	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	1287	4	5
596	apprentic_2004	76	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	1347	4	5
597	apprentic_2004	77	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	1407	4	5
598	apprentic_2004	78	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	1467	4	5
599	apprentic_2004	79	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	1527	4	5
600	apprentic_2004	80	2,3	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	1587	4	5
601	apprentic_2004	81	3,4	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	3,4	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	1647	5	6
602	apprentic_2004	82	3,4	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	3,4	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	1727	5	6
603	apprentic_2004	83	3,4	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	3,4	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	1807	5	6
604	apprentic_2004	84	3,4	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	3,4	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	1887	5	6
605	apprentic_2004	85	3,4	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	3,4	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	1967	5	6
606	apprentic_2004	86	3,4	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	3,4	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	2047	5	6
607	apprentic_2004	87	3,4	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	3,4	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	2127	5	6
608	apprentic_2004	88	3,4	1,800,960,1666;3,80,120,1666;4,120,160,1666;32,400,480,1666;34,320,400,1666;31,480,640,1666	3,4	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,40,80,1666;5,40,80,1666;6,40,80,1666	2207	5	6
