流水	专精ID	等级	升级所需角色等级	升级消耗	属性	评分类型	值/公式	参数1	参数2	参数3	参数4	参数5
1403	1012026	3	61		22,84;15,290	2	344					
1404	1012026	4	61		22,112;15,320	2	406					
1405	1012026	5	61		22,140;15,350	2	467					
1406	1012026	6	63		22,168;15,380	2	529					
1407	1012026	7	65		22,196;15,410	2	590					
1408	1012026	8	67		22,224;15,440	2	652					
1409	1012026	9	69		22,252;15,470	2	713					
1410	1012026	10	71		22,280;15,500	2	775					
1411	1012804	1	61		11,140;13,140	2	315					
1412	1012804	2	61		11,160;13,160	2	360					
1413	1012804	3	61		11,180;13,180	2	405					
1414	1012804	4	61		11,200;13,200	2	450					
1415	1012804	5	61		11,220;13,220	2	495					
1416	1012804	6	63		11,240;13,240	2	540					
1417	1012804	7	65		11,260;13,260	2	585					
1418	1012804	8	67		11,280;13,280	2	630					
1419	1012804	9	69		11,300;13,300	2	675					
1420	1012804	10	71		11,320;13,320	2	720					
1421	1012027	1	61		26,28;187,230	2	221					
1422	1012027	2	61		26,56;187,260	2	283					
1423	1012027	3	61		26,84;187,290	2	344					
1424	1012027	4	61		26,112;187,320	2	406					
1425	1012027	5	61		26,140;187,350	2	467					
1426	1012027	6	63		26,168;187,380	2	529					
1427	1012027	7	65		26,196;187,410	2	590					
1428	1012027	8	67		26,224;187,440	2	652					
1429	1012027	9	69		26,252;187,470	2	713					
1430	1012027	10	71		26,280;187,500	2	775					
1431	10121001	1	62		211,50	2	10					
1432	10121001	2	62		211,100	2	20					
1433	10121001	3	62		211,150	2	30					
1434	10121001	4	62		211,200	2	40					
1435	10121001	5	62		211,250	2	50					
1436	10121001	6	62		211,300	2	60					
1437	10121001	7	62		211,350	2	70					
1438	10121001	8	62		211,400	2	80					
1439	10121001	9	64		211,450	2	90					
1440	10121001	10	64		211,500	2	100					
1441	10121001	11	64		211,550	2	110					
1442	10121001	12	66		211,600	2	120					
1443	10121001	13	66		211,650	2	130					
1444	10121001	14	66		211,700	2	140					
1445	10121001	15	68		211,750	2	150					
1446	10121001	16	68		211,800	2	160					
1447	10121001	17	68		211,850	2	170					
1448	10121001	18	70		211,900	2	180					
1449	10121001	19	70		211,950	2	190					
1450	10121001	20	70		211,1000	2	200					
1451	10121002	1	62		212,150	2	10					
1452	10121002	2	62		212,300	2	20					
1453	10121002	3	62		212,450	2	30					
1454	10121002	4	62		212,600	2	40					
1455	10121002	5	62		212,750	2	50					
1456	10121002	6	62		212,900	2	60					
1457	10121002	7	62		212,1050	2	70					
1458	10121002	8	62		212,1200	2	80					
1459	10121002	9	64		212,1350	2	90					
1460	10121002	10	64		212,1500	2	100					
1461	10121002	11	64		212,1650	2	110					
1462	10121002	12	66		212,1800	2	120					
1463	10121002	13	66		212,1950	2	130					
1464	10121002	14	66		212,2100	2	140					
1465	10121002	15	68		212,2250	2	150					
1466	10121002	16	68		212,2400	2	160					
1467	10121002	17	68		212,2550	2	170					
1468	10121002	18	70		212,2700	2	180					
1469	10121002	19	70		212,2850	2	190					
1470	10121002	20	70		212,3000	2	200					
1471	10121003	1	62		213,100	2	10					
1472	10121003	2	62		213,200	2	20					
1473	10121003	3	62		213,300	2	30					
1474	10121003	4	62		213,400	2	40					
1475	10121003	5	62		213,500	2	50					
1476	10121003	6	62		213,600	2	60					
1477	10121003	7	62		213,700	2	70					
1478	10121003	8	62		213,800	2	80					
1479	10121003	9	64		213,900	2	90					
1480	10121003	10	64		213,1000	2	100					
1481	10121003	11	64		213,1100	2	110					
1482	10121003	12	66		213,1200	2	120					
1483	10121003	13	66		213,1300	2	130					
1484	10121003	14	66		213,1400	2	140					
1485	10121003	15	68		213,1500	2	150					
1486	10121003	16	68		213,1600	2	160					
1487	10121003	17	68		213,1700	2	170					
1488	10121003	18	70		213,1800	2	180					
1489	10121003	19	70		213,1900	2	190					
1490	10121003	20	70		213,2000	2	200					
1491	1012028	1	61		4,18	2	45					
1492	1012028	2	61		4,36	2	90					
1493	1012028	3	61		4,54	2	135					
1494	1012028	4	61		4,72	2	180					
1495	1012028	5	61		4,90	2	225					
1496	1012028	6	61		4,108	2	270					
1497	1012028	7	61		4,126	2	315					
1498	1012028	8	61		4,144	2	360					
1499	1012028	9	61		4,162	2	405					
1500	1012028	10	61		4,180	2	450					
1501	1012029	1	61		1,180	2	45					
1502	1012029	2	61		1,360	2	90					
1503	1012029	3	61		1,540	2	135					
1504	1012029	4	61		1,720	2	180					
1505	1012029	5	61		1,900	2	225					
1506	1012029	6	61		1,1080	2	270					
1507	1012029	7	61		1,1260	2	315					
1508	1012029	8	61		1,1440	2	360					
1509	1012029	9	61		1,1620	2	405					
1510	1012029	10	61		1,1800	2	450					
1511	1012030	1	61		3,18	2	45					
1512	1012030	2	61		3,36	2	90					
1513	1012030	3	61		3,54	2	135					
1514	1012030	4	61		3,72	2	180					
1515	1012030	5	61		3,90	2	225					
1516	1012030	6	61		3,108	2	270					
1517	1012030	7	61		3,126	2	315					
1518	1012030	8	61		3,144	2	360					
1519	1012030	9	61		3,162	2	405					
1520	1012030	10	61		3,180	2	450					
1521	1012031	1	61		25,32	2	45					
1522	1012031	2	61		25,64	2	90					
1523	1012031	3	61		25,96	2	135					
1524	1012031	4	61		25,128	2	180					
1525	1012031	5	61		25,160	2	225					
1526	1012031	6	61		25,192	2	270					
1527	1012031	7	61		25,224	2	315					
1528	1012031	8	61		25,256	2	360					
1529	1012031	9	61		25,288	2	405					
1530	1012031	10	61		25,320	2	450					
1531	1012032	1	61		21,32;15,230	2	229					
1532	1012032	2	61		21,64;15,260	2	298					
1533	1012032	3	61		21,96;15,290	2	367					
1534	1012032	4	61		21,128;15,320	2	436					
1535	1012032	5	61		21,160;15,350	2	505					
1536	1012032	6	61		21,192;15,380	2	574					
1537	1012032	7	61		21,224;15,410	2	643					
1538	1012032	8	61		21,256;15,440	2	712					
1539	1012032	9	61		21,288;15,470	2	781					
1540	1012032	10	61		21,320;15,500	2	850					
1541	1012805	1	63		31,210	2	210					
1542	1012805	2	63		31,240	2	240					
1543	1012805	3	63		31,270	2	270					
1544	1012805	4	63		31,300	2	300					
1545	1012805	5	63		31,330	2	330					
1546	1012805	6	63		31,360	2	360					
1547	1012805	7	63		31,390	2	390					
1548	1012805	8	63		31,420	2	420					
1549	1012805	9	63		31,450	2	450					
1550	1012805	10	63		31,480	2	480					
1551	1012034	1	65		23,32;187,230	2	229					
1552	1012034	2	65		23,64;187,260	2	298					
1553	1012034	3	65		23,96;187,290	2	367					
1554	1012034	4	65		23,128;187,320	2	436					
1555	1012034	5	65		23,160;187,350	2	505					
1556	1012034	6	65		23,192;187,380	2	574					
1557	1012034	7	65		23,224;187,410	2	643					
1558	1012034	8	65		23,256;187,440	2	712					
1559	1012034	9	65		23,288;187,470	2	781					
1560	1012034	10	65		23,320;187,500	2	850					
1561	1012035	1	67		268,100	2	10					
1562	1012035	2	67		268,200	2	20					
1563	1012035	3	67		268,300	2	30					
1564	1012035	4	67		268,400	2	40					
1565	1012035	5	67		268,500	2	50					
1566	1012035	6	67		268,600	2	60					
1567	1012035	7	67		268,700	2	70					
1568	1012035	8	67		268,800	2	80					
1569	1012035	9	67		268,900	2	90					
1570	1012035	10	67		268,1000	2	100					
1571	1012036	1	69		269,100	2	10					
1572	1012036	2	69		269,200	2	20					
1573	1012036	3	69		269,300	2	30					
1574	1012036	4	69		269,400	2	40					
1575	1012036	5	69		269,500	2	50					
1576	1012036	6	69		269,600	2	60					
1577	1012036	7	69		269,700	2	70					
1578	1012036	8	69		269,800	2	80					
1579	1012036	9	69		269,900	2	90					
1580	1012036	10	69		269,1000	2	100					
1581	1012037	1	71		270,100	2	10					
1582	1012037	2	71		270,200	2	20					
1583	1012037	3	71		270,300	2	30					
1584	1012037	4	71		270,400	2	40					
1585	1012037	5	71		270,500	2	50					
1586	1012037	6	71		270,600	2	60					
1587	1012037	7	71		270,700	2	70					
1588	1012037	8	71		270,800	2	80					
1589	1012037	9	71		270,900	2	90					
1590	1012037	10	71		270,1000	2	100					
1591	1012038	1	70		271,100	2	10					
1592	1012038	2	70		271,200	2	20					
1593	1012038	3	70		271,300	2	30					
1594	1012038	4	70		271,400	2	40					
1595	1012038	5	70		271,500	2	50					
1596	1012038	6	70		271,600	2	60					
1597	1012038	7	70		271,700	2	70					
1598	1012038	8	70		271,800	2	80					
1599	1012038	9	70		271,900	2	90					
1600	1012038	10	70		271,1000	2	100					
1601	1021007	1	1		3,12	2	30					
1602	1021007	2	1		3,24	2	60					
1603	1021007	3	1		3,36	2	90					
1604	1021007	4	11		3,48	2	120					
1605	1021007	5	21		3,60	2	150					
1606	1021007	6	31		3,72	2	180					
1607	1021007	7	41		3,84	2	210					
1608	1021007	8	51		3,96	2	240					
1609	1021007	9	61		3,108	2	270					
1610	1021007	10	71		3,120	2	300					
1611	1021008	1	1		4,12	2	30					
1612	1021008	2	1		4,24	2	60					
1613	1021008	3	1		4,36	2	90					
1614	1021008	4	11		4,48	2	120					
1615	1021008	5	21		4,60	2	150					
1616	1021008	6	31		4,72	2	180					
1617	1021008	7	41		4,84	2	210					
1618	1021008	8	51		4,96	2	240					
1619	1021008	9	61		4,108	2	270					
1620	1021008	10	71		4,120	2	300					
1621	1021009	1	1		1,120	2	30					
1622	1021009	2	1		1,240	2	60					
1623	1021009	3	1		1,360	2	90					
1624	1021009	4	11		1,480	2	120					
1625	1021009	5	21		1,600	2	150					
1626	1021009	6	31		1,720	2	180					
1627	1021009	7	41		1,840	2	210					
1628	1021009	8	51		1,960	2	240					
1629	1021009	9	61		1,1080	2	270					
1630	1021009	10	71		1,1200	2	300					
1631	1021801	1	1		79,210	2	210					
1632	1021801	2	1		79,240	2	240					
1633	1021801	3	1		79,270	2	270					
1634	1021801	4	11		79,300	2	300					
1635	1021801	5	21		79,330	2	330					
1636	1021801	6	31		79,360	2	360					
1637	1021801	7	41		79,390	2	390					
1638	1021801	8	51		79,420	2	420					
1639	1021801	9	61		79,450	2	450					
1640	1021801	10	71		79,480	2	480					
1641	1021002	1	1		23,26	2	30					
1642	1021002	2	1		23,52	2	60					
1643	1021002	3	1		23,78	2	90					
1644	1021002	4	11		23,104	2	120					
1645	1021002	5	21		23,130	2	150					
1646	1021002	6	31		23,156	2	180					
1647	1021002	7	41		23,182	2	210					
1648	1021002	8	51		23,208	2	240					
1649	1021002	9	61		23,234	2	270					
1650	1021002	10	71		23,260	2	300					
1651	1021005	1	1		24,26	2	30					
1652	1021005	2	1		24,52	2	60					
1653	1021005	3	1		24,78	2	90					
1654	1021005	4	11		24,104	2	120					
1655	1021005	5	21		24,130	2	150					
1656	1021005	6	31		24,156	2	180					
1657	1021005	7	41		24,182	2	210					
1658	1021005	8	51		24,208	2	240					
1659	1021005	9	61		24,234	2	270					
1660	1021005	10	71		24,260	2	300					
1661	1021010	1	1		2,10	2	30					
1662	1021010	2	1		2,20	2	60					
1663	1021010	3	1		2,30	2	90					
1664	1021010	4	11		2,40	2	120					
1665	1021010	5	21		2,50	2	150					
1666	1021010	6	31		2,60	2	180					
1667	1021010	7	41		2,70	2	210					
1668	1021010	8	51		2,80	2	240					
1669	1021010	9	61		2,90	2	270					
1670	1021010	10	71		2,100	2	300					
1671	1021012	1	1		3,13	2	32					
1672	1021012	2	1		3,26	2	65					
1673	1021012	3	1		3,39	2	97					
1674	1021012	4	11		3,52	2	130					
1675	1021012	5	21		3,65	2	162					
1676	1021012	6	31		3,78	2	195					
1677	1021012	7	41		3,91	2	227					
1678	1021012	8	51		3,104	2	260					
1679	1021012	9	61		3,117	2	292					
1680	1021012	10	71		3,130	2	325					
1681	1021014	1	1		1,130	2	32					
1682	1021014	2	1		1,260	2	65					
1683	1021014	3	1		1,390	2	97					
1684	1021014	4	11		1,520	2	130					
1685	1021014	5	21		1,650	2	162					
1686	1021014	6	31		1,780	2	195					
1687	1021014	7	41		1,910	2	227					
1688	1021014	8	51		1,1040	2	260					
1689	1021014	9	61		1,1170	2	292					
1690	1021014	10	71		1,1300	2	325					
1691	1021004	1	1		22,26	2	32					
1692	1021004	2	1		22,52	2	65					
1693	1021004	3	1		22,78	2	97					
1694	1021004	4	11		22,104	2	130					
1695	1021004	5	21		22,130	2	162					
1696	1021004	6	31		22,156	2	195					
1697	1021004	7	41		22,182	2	227					
1698	1021004	8	51		22,208	2	260					
1699	1021004	9	61		22,234	2	292					
1700	1021004	10	71		22,260	2	325					
1701	1021013	1	1		4,13	2	32					
1702	1021013	2	1		4,26	2	65					
1703	1021013	3	1		4,39	2	97					
1704	1021013	4	11		4,52	2	130					
1705	1021013	5	21		4,65	2	162					
1706	1021013	6	31		4,78	2	195					
1707	1021013	7	41		4,91	2	227					
1708	1021013	8	51		4,104	2	260					
1709	1021013	9	61		4,117	2	292					
1710	1021013	10	71		4,130	2	325					
1711	1021011	1	1		21,26	2	32					
1712	1021011	2	1		21,52	2	65					
1713	1021011	3	1		21,78	2	97					
1714	1021011	4	11		21,104	2	130					
1715	1021011	5	21		21,130	2	162					
1716	1021011	6	31		21,156	2	195					
1717	1021011	7	41		21,182	2	227					
1718	1021011	8	51		21,208	2	260					
1719	1021011	9	61		21,234	2	292					
1720	1021011	10	71		21,260	2	325					
1721	1021003	1	1		25,26	2	32					
1722	1021003	2	1		25,52	2	65					
1723	1021003	3	1		25,78	2	97					
1724	1021003	4	11		25,104	2	130					
1725	1021003	5	21		25,130	2	162					
1726	1021003	6	31		25,156	2	195					
1727	1021003	7	41		25,182	2	227					
1728	1021003	8	51		25,208	2	260					
1729	1021003	9	61		25,234	2	292					
1730	1021003	10	71		25,260	2	325					
1731	1021802	1	1		31,280	2	210					
1732	1021802	2	1		31,320	2	240					
1733	1021802	3	1		31,360	2	270					
1734	1021802	4	11		31,400	2	300					
1735	1021802	5	21		31,440	2	330					
1736	1021802	6	31		31,480	2	360					
1737	1021802	7	41		31,520	2	390					
1738	1021802	8	51		31,560	2	420					
1739	1021802	9	61		31,600	2	450					
1740	1021802	10	71		31,640	2	480					
1741	1021006	1	1		26,26	2	32					
1742	1021006	2	1		26,52	2	65					
1743	1021006	3	1		26,78	2	97					
1744	1021006	4	11		26,104	2	130					
1745	1021006	5	21		26,130	2	162					
1746	1021006	6	31		26,156	2	195					
1747	1021006	7	41		26,182	2	227					
1748	1021006	8	51		26,208	2	260					
1749	1021006	9	61		26,234	2	292					
1750	1021006	10	71		26,260	2	325					
1751	1021015	1	1		3,14	2	35					
1752	1021015	2	1		3,28	2	70					
1753	1021015	3	1		3,42	2	105					
1754	1021015	4	11		3,56	2	140					
1755	1021015	5	21		3,70	2	175					
1756	1021015	6	31		3,84	2	210					
1757	1021015	7	41		3,98	2	245					
1758	1021015	8	51		3,112	2	280					
1759	1021015	9	61		3,126	2	315					
1760	1021015	10	71		3,140	2	350					
1761	1021016	1	1		1,140	2	35					
1762	1021016	2	1		1,280	2	70					
1763	1021016	3	1		1,420	2	105					
1764	1021016	4	11		1,560	2	140					
1765	1021016	5	21		1,700	2	175					
1766	1021016	6	31		1,840	2	210					
1767	1021016	7	41		1,980	2	245					
1768	1021016	8	51		1,1120	2	280					
1769	1021016	9	61		1,1260	2	315					
1770	1021016	10	71		1,1400	2	350					
1771	1021017	1	1		23,28	2	35					
1772	1021017	2	1		23,56	2	70					
1773	1021017	3	1		23,84	2	105					
1774	1021017	4	11		23,112	2	140					
1775	1021017	5	21		23,140	2	175					
1776	1021017	6	31		23,168	2	210					
1777	1021017	7	41		23,196	2	245					
1778	1021017	8	51		23,224	2	280					
1779	1021017	9	61		23,252	2	315					
1780	1021017	10	71		23,280	2	350					
1781	1021018	1	1		4,14	2	35					
1782	1021018	2	1		4,28	2	70					
1783	1021018	3	1		4,42	2	105					
1784	1021018	4	11		4,56	2	140					
1785	1021018	5	21		4,70	2	175					
1786	1021018	6	31		4,84	2	210					
1787	1021018	7	41		4,98	2	245					
1788	1021018	8	51		4,112	2	280					
1789	1021018	9	61		4,126	2	315					
1790	1021018	10	71		4,140	2	350					
1791	1021019	1	1		24,28	2	35					
1792	1021019	2	1		24,56	2	70					
1793	1021019	3	1		24,84	2	105					
1794	1021019	4	11		24,112	2	140					
1795	1021019	5	21		24,140	2	175					
1796	1021019	6	31		24,168	2	210					
1797	1021019	7	41		24,196	2	245					
1798	1021019	8	51		24,224	2	280					
1799	1021019	9	61		24,252	2	315					
1800	1021019	10	71		24,280	2	350					
1801	1021020	1	1		21,28	2	35					
1802	1021020	2	1		21,56	2	70					
1803	1021020	3	1		21,84	2	105					
1804	1021020	4	11		21,112	2	140					
1805	1021020	5	21		21,140	2	175					
1806	1021020	6	31		21,168	2	210					
1807	1021020	7	41		21,196	2	245					
1808	1021020	8	51		21,224	2	280					
1809	1021020	9	61		21,252	2	315					
1810	1021020	10	71		21,280	2	350					
1811	1021803	1	1		30,280	2	210					
1812	1021803	2	1		30,320	2	240					
1813	1021803	3	1		30,360	2	270					
1814	1021803	4	11		30,400	2	300					
1815	1021803	5	21		30,440	2	330					
1816	1021803	6	31		30,480	2	360					
1817	1021803	7	41		30,520	2	390					
1818	1021803	8	51		30,560	2	420					
1819	1021803	9	61		30,600	2	450					
1820	1021803	10	71		30,640	2	480					
1821	1021021	1	1		22,28	2	35					
1822	1021021	2	1		22,56	2	70					
1823	1021021	3	1		22,84	2	105					
1824	1021021	4	11		22,112	2	140					
1825	1021021	5	21		22,140	2	175					
1826	1021021	6	31		22,168	2	210					
1827	1021021	7	41		22,196	2	245					
1828	1021021	8	51		22,224	2	280					
1829	1021021	9	61		22,252	2	315					
1830	1021021	10	71		22,280	2	350					
1831	1021022	1	61		4,15	2	37					
1832	1021022	2	61		4,30	2	75					
1833	1021022	3	61		4,45	2	112					
1834	1021022	4	61		4,60	2	150					
1835	1021022	5	61		4,75	2	187					
1836	1021022	6	63		4,90	2	225					
1837	1021022	7	65		4,105	2	262					
1838	1021022	8	67		4,120	2	300					
1839	1021022	9	69		4,135	2	337					
1840	1021022	10	71		4,150	2	375					
1841	1021023	1	61		1,150	2	37					
1842	1021023	2	61		1,300	2	75					
1843	1021023	3	61		1,450	2	112					
1844	1021023	4	61		1,600	2	150					
1845	1021023	5	61		1,750	2	187					
1846	1021023	6	63		1,900	2	225					
1847	1021023	7	65		1,1050	2	262					
1848	1021023	8	67		1,1200	2	300					
1849	1021023	9	69		1,1350	2	337					
1850	1021023	10	71		1,1500	2	375					
1851	1021024	1	61		3,15	2	37					
1852	1021024	2	61		3,30	2	75					
1853	1021024	3	61		3,45	2	112					
1854	1021024	4	61		3,60	2	150					
1855	1021024	5	61		3,75	2	187					
1856	1021024	6	63		3,90	2	225					
1857	1021024	7	65		3,105	2	262					
1858	1021024	8	67		3,120	2	300					
1859	1021024	9	69		3,135	2	337					
1860	1021024	10	71		3,150	2	375					
1861	1021025	1	61		24,28	2	37					
1862	1021025	2	61		24,56	2	75					
1863	1021025	3	61		24,84	2	112					
1864	1021025	4	61		24,112	2	150					
1865	1021025	5	61		24,140	2	187					
1866	1021025	6	63		24,168	2	225					
1867	1021025	7	65		24,196	2	262					
1868	1021025	8	67		24,224	2	300					
1869	1021025	9	69		24,252	2	337					
1870	1021025	10	71		24,280	2	375					
1871	1021026	1	61		22,28;15,230	2	221					
1872	1021026	2	61		22,56;15,260	2	283					
1873	1021026	3	61		22,84;15,290	2	344					
1874	1021026	4	61		22,112;15,320	2	406					
1875	1021026	5	61		22,140;15,350	2	467					
1876	1021026	6	63		22,168;15,380	2	529					
1877	1021026	7	65		22,196;15,410	2	590					
1878	1021026	8	67		22,224;15,440	2	652					
1879	1021026	9	69		22,252;15,470	2	713					
1880	1021026	10	71		22,280;15,500	2	775					
1881	1021804	1	61		11,140;13,140	2	315					
1882	1021804	2	61		11,160;13,160	2	360					
1883	1021804	3	61		11,180;13,180	2	405					
1884	1021804	4	61		11,200;13,200	2	450					
1885	1021804	5	61		11,220;13,220	2	495					
1886	1021804	6	63		11,240;13,240	2	540					
1887	1021804	7	65		11,260;13,260	2	585					
1888	1021804	8	67		11,280;13,280	2	630					
1889	1021804	9	69		11,300;13,300	2	675					
1890	1021804	10	71		11,320;13,320	2	720					
1891	1021027	1	61		26,28;187,230	2	221					
1892	1021027	2	61		26,56;187,260	2	283					
1893	1021027	3	61		26,84;187,290	2	344					
1894	1021027	4	61		26,112;187,320	2	406					
1895	1021027	5	61		26,140;187,350	2	467					
1896	1021027	6	63		26,168;187,380	2	529					
1897	1021027	7	65		26,196;187,410	2	590					
1898	1021027	8	67		26,224;187,440	2	652					
1899	1021027	9	69		26,252;187,470	2	713					
1900	1021027	10	71		26,280;187,500	2	775					
1901	10211001	1	62		211,50	2	10					
1902	10211001	2	62		211,100	2	20					
1903	10211001	3	62		211,150	2	30					
1904	10211001	4	62		211,200	2	40					
1905	10211001	5	62		211,250	2	50					
1906	10211001	6	62		211,300	2	60					
1907	10211001	7	62		211,350	2	70					
1908	10211001	8	62		211,400	2	80					
1909	10211001	9	64		211,450	2	90					
1910	10211001	10	64		211,500	2	100					
1911	10211001	11	64		211,550	2	110					
1912	10211001	12	66		211,600	2	120					
1913	10211001	13	66		211,650	2	130					
1914	10211001	14	66		211,700	2	140					
1915	10211001	15	68		211,750	2	150					
1916	10211001	16	68		211,800	2	160					
1917	10211001	17	68		211,850	2	170					
1918	10211001	18	70		211,900	2	180					
1919	10211001	19	70		211,950	2	190					
1920	10211001	20	70		211,1000	2	200					
1921	10211002	1	62		212,150	2	10					
1922	10211002	2	62		212,300	2	20					
1923	10211002	3	62		212,450	2	30					
1924	10211002	4	62		212,600	2	40					
1925	10211002	5	62		212,750	2	50					
1926	10211002	6	62		212,900	2	60					
1927	10211002	7	62		212,1050	2	70					
1928	10211002	8	62		212,1200	2	80					
1929	10211002	9	64		212,1350	2	90					
1930	10211002	10	64		212,1500	2	100					
1931	10211002	11	64		212,1650	2	110					
1932	10211002	12	66		212,1800	2	120					
1933	10211002	13	66		212,1950	2	130					
1934	10211002	14	66		212,2100	2	140					
1935	10211002	15	68		212,2250	2	150					
1936	10211002	16	68		212,2400	2	160					
1937	10211002	17	68		212,2550	2	170					
1938	10211002	18	70		212,2700	2	180					
1939	10211002	19	70		212,2850	2	190					
1940	10211002	20	70		212,3000	2	200					
1941	10211003	1	62		213,100	2	10					
1942	10211003	2	62		213,200	2	20					
1943	10211003	3	62		213,300	2	30					
1944	10211003	4	62		213,400	2	40					
1945	10211003	5	62		213,500	2	50					
1946	10211003	6	62		213,600	2	60					
1947	10211003	7	62		213,700	2	70					
1948	10211003	8	62		213,800	2	80					
1949	10211003	9	64		213,900	2	90					
1950	10211003	10	64		213,1000	2	100					
1951	10211003	11	64		213,1100	2	110					
1952	10211003	12	66		213,1200	2	120					
1953	10211003	13	66		213,1300	2	130					
1954	10211003	14	66		213,1400	2	140					
1955	10211003	15	68		213,1500	2	150					
1956	10211003	16	68		213,1600	2	160					
1957	10211003	17	68		213,1700	2	170					
1958	10211003	18	70		213,1800	2	180					
1959	10211003	19	70		213,1900	2	190					
1960	10211003	20	70		213,2000	2	200					
1961	1021028	1	61		4,18	2	45					
1962	1021028	2	61		4,36	2	90					
1963	1021028	3	61		4,54	2	135					
1964	1021028	4	61		4,72	2	180					
1965	1021028	5	61		4,90	2	225					
1966	1021028	6	61		4,108	2	270					
1967	1021028	7	61		4,126	2	315					
1968	1021028	8	61		4,144	2	360					
1969	1021028	9	61		4,162	2	405					
1970	1021028	10	61		4,180	2	450					
1971	1021029	1	61		1,180	2	45					
1972	1021029	2	61		1,360	2	90					
1973	1021029	3	61		1,540	2	135					
1974	1021029	4	61		1,720	2	180					
1975	1021029	5	61		1,900	2	225					
1976	1021029	6	61		1,1080	2	270					
1977	1021029	7	61		1,1260	2	315					
1978	1021029	8	61		1,1440	2	360					
1979	1021029	9	61		1,1620	2	405					
1980	1021029	10	61		1,1800	2	450					
1981	1021030	1	61		3,18	2	45					
1982	1021030	2	61		3,36	2	90					
1983	1021030	3	61		3,54	2	135					
1984	1021030	4	61		3,72	2	180					
1985	1021030	5	61		3,90	2	225					
1986	1021030	6	61		3,108	2	270					
1987	1021030	7	61		3,126	2	315					
1988	1021030	8	61		3,144	2	360					
1989	1021030	9	61		3,162	2	405					
1990	1021030	10	61		3,180	2	450					
1991	1021031	1	61		25,32	2	45					
1992	1021031	2	61		25,64	2	90					
1993	1021031	3	61		25,96	2	135					
1994	1021031	4	61		25,128	2	180					
1995	1021031	5	61		25,160	2	225					
1996	1021031	6	61		25,192	2	270					
1997	1021031	7	61		25,224	2	315					
1998	1021031	8	61		25,256	2	360					
1999	1021031	9	61		25,288	2	405					
2000	1021031	10	61		25,320	2	450					
2001	1021032	1	61		21,32;15,230	2	229					
2002	1021032	2	61		21,64;15,260	2	298					
2003	1021032	3	61		21,96;15,290	2	367					
2004	1021032	4	61		21,128;15,320	2	436					
2005	1021032	5	61		21,160;15,350	2	505					
2006	1021032	6	61		21,192;15,380	2	574					
2007	1021032	7	61		21,224;15,410	2	643					
2008	1021032	8	61		21,256;15,440	2	712					
2009	1021032	9	61		21,288;15,470	2	781					
2010	1021032	10	61		21,320;15,500	2	850					
2011	1021805	1	63		31,210	2	210					
2012	1021805	2	63		31,240	2	240					
2013	1021805	3	63		31,270	2	270					
2014	1021805	4	63		31,300	2	300					
2015	1021805	5	63		31,330	2	330					
2016	1021805	6	63		31,360	2	360					
2017	1021805	7	63		31,390	2	390					
2018	1021805	8	63		31,420	2	420					
2019	1021805	9	63		31,450	2	450					
2020	1021805	10	63		31,480	2	480					
2021	1021034	1	65		23,32;187,230	2	229					
2022	1021034	2	65		23,64;187,260	2	298					
2023	1021034	3	65		23,96;187,290	2	367					
2024	1021034	4	65		23,128;187,320	2	436					
2025	1021034	5	65		23,160;187,350	2	505					
2026	1021034	6	65		23,192;187,380	2	574					
2027	1021034	7	65		23,224;187,410	2	643					
2028	1021034	8	65		23,256;187,440	2	712					
2029	1021034	9	65		23,288;187,470	2	781					
2030	1021034	10	65		23,320;187,500	2	850					
2031	1021035	1	67		268,100	2	10					
2032	1021035	2	67		268,200	2	20					
2033	1021035	3	67		268,300	2	30					
2034	1021035	4	67		268,400	2	40					
2035	1021035	5	67		268,500	2	50					
2036	1021035	6	67		268,600	2	60					
2037	1021035	7	67		268,700	2	70					
2038	1021035	8	67		268,800	2	80					
2039	1021035	9	67		268,900	2	90					
2040	1021035	10	67		268,1000	2	100					
2041	1021036	1	69		269,100	2	10					
2042	1021036	2	69		269,200	2	20					
2043	1021036	3	69		269,300	2	30					
2044	1021036	4	69		269,400	2	40					
2045	1021036	5	69		269,500	2	50					
2046	1021036	6	69		269,600	2	60					
2047	1021036	7	69		269,700	2	70					
2048	1021036	8	69		269,800	2	80					
2049	1021036	9	69		269,900	2	90					
2050	1021036	10	69		269,1000	2	100					
2051	1021037	1	71		270,100	2	10					
2052	1021037	2	71		270,200	2	20					
2053	1021037	3	71		270,300	2	30					
2054	1021037	4	71		270,400	2	40					
2055	1021037	5	71		270,500	2	50					
2056	1021037	6	71		270,600	2	60					
2057	1021037	7	71		270,700	2	70					
2058	1021037	8	71		270,800	2	80					
2059	1021037	9	71		270,900	2	90					
2060	1021037	10	71		270,1000	2	100					
2061	1021038	1	70		271,100	2	10					
2062	1021038	2	70		271,200	2	20					
2063	1021038	3	70		271,300	2	30					
2064	1021038	4	70		271,400	2	40					
2065	1021038	5	70		271,500	2	50					
2066	1021038	6	70		271,600	2	60					
2067	1021038	7	70		271,700	2	70					
2068	1021038	8	70		271,800	2	80					
2069	1021038	9	70		271,900	2	90					
2070	1021038	10	70		271,1000	2	100					
2071	1022007	1	1		3,12	2	30					
2072	1022007	2	1		3,24	2	60					
2073	1022007	3	1		3,36	2	90					
2074	1022007	4	11		3,48	2	120					
2075	1022007	5	21		3,60	2	150					
