流水ID	编号	步骤	内容类型	提示内容	提示内容位置	提示内容弹出方式	提示内容字体大小	文字居中	方向	引导框大小	引导框位置偏移	引导出现延迟	目标是否旋转	旋转速度和半径	关键步	是否依赖上一个引导	开启条件类型	开启条件内容	是否反复触发	相对层级	是否强制	是否遮罩	是否全屏触发	重新引导版本	步骤名字	前置对象路径	不添加触发对象	触发对象路径	触发NPC	移动位置	移动提示特效半径	人声语音	适用渠道
114	1027	1	0	GuideText10271	0;0	0	20	1	0	1;0.8		0.000000	0				0			0				0				AdventurePanel/Window/MyRoot/RightPanel/ActivityPanelRoot/AdventureActivityPage(Clone)/Panel/FixedScrollView/Viewport/Content/UI_FuncName_51/OpenState	0	0	0	100076	
115	1027	2	0	GuideText10272	0;0	0	20	1	2	1;1		0.000000	0				0			0				0				ConversationPanel/Root/FuncBg/BtnRoot/1	0	0	0	100077	
116	1031	0	0	GuideText10310	-20;0	0	20	1	1	1;1		0.000000	0		1		3	510185,1,3	1	0				0				ConversationPanel/Root/FuncBg/BtnRoot/MenuOpt_magic_transform	0	0	0	0	
117	1031	1	1	GuideText10311	0.5;0.5	1	0		0			0.000000	0			1	0			0				0					0	0	0	100079	
118	1031	2	1	GuideText10312	0.5;0.2	2	0		0			0.000000	0			1	0			0				0					0	0	0	100080	
119	1035	0	0	GuideText10350	20;0	1	20	1	1	1;1		0.000000	0				3	400012,2,3	1	0				0				MainPanel/SceneInteractionPage/Root/Button (1)/NormalBtn	0	0	0	100081	
120	1033	0	0	GuideText10330	20;0	1	20	1	1	1;1		0.000000	0				3	161160,2,3	1	0				0				MainPanel/SceneInteractionPage/Root/Button (2)/NormalBtn	0	0	0	100082	
121	1034	0	0	GuideText10340	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0		1		3	510320,1,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/NoSpreadRoot/FuncBtn_7	0	0	0	0	
122	1034	1	0	GuideText10341	50;0	1	20	1	1	1;1		0.000000	0				0			0				0				BagPanel/MyRoot/BagItemListPageCanvas/ItemListRoot/BagItemListPage(Clone)/Scroll View/Viewport/Content/unidfequip510320999/ItemIconRoot/ItemIcon(Clone)	0	0	0	100083	
123	1034	2	0	GuideText10342	-20;0	0	20	1	3	1;1		0.000000	0			1	0			0				0				ItemTipsPanel/Root/ButtonArea/Common/RightButtonGreen	0	0	0	100084	
124	1040	0	0	GuideText10400	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				5	37		0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	100015	
125	1040	1	0	GuideText10401	60;-2	0	20	1	1	0.9;0.9	0;-2	0.000000	0		1		0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_37	0	0	0	100022	
126	1040	2	0	GuideText10402	20;0	1	20	1	1	1;1		0.000000	0				0			0				0				PetPanel/MyRoot/PetPageRoot/PetInfoPage(Clone)/PetInfomationPage(Clone)/FollowBtn	0	0	0	100085	
127	1040	3	0	GuideText10403	20;0	1	20	1	1	1;1		0.000000	0			1	0			0				0				PetPanel/MyRoot/PetPageRoot/PetInfoPage(Clone)/PetInfomationPage(Clone)/PlayedBtn	0	0	0	100086	
128	1040	4	0	GuideText10404	-50;0	0	20	1	3	1;1		0.000000	0				0			0				0				PetFightEquipPanel/Window/MyRoot/Left/PetSkillRoot/PetSkill1/AddBtn	0	0	0	100087	
129	1040	5	0	GuideText10405	-85;-20	0	20	1	0	0.55;1	-85;0	0.000000	0				0			0				0				PetFightListPanel/Root/FixedScrollView/Viewport/Content/0/RaycastArea	0	0	0	100088	
130	1040	6	0	GuideText10406	60;0	0	20	1	1	0.8;0.8		0.000000	0			1	0			0				0				PetFightEquipPanel/Window/System/ExitBtn	0	0	0	0	
131	1040	7	0	GuideText10407	50;-9	0	20	1	1	0.5;0.5	-4;-5	0.000000	0			1	0			0				0				NavigationPanel/Root/CloseButton	0	0	0	0	
132	1041	0	0	GuideText10410	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				3	510440,2,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	100015	
133	1041	1	0	GuideText10411	60;-2	0	20	1	1	0.9;0.9	0;-2	0.000000	0		1		0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_5	0	0	0	100016	
134	1041	2	0	GuideText10412	-40;0	1	20	1	3	0.7;0.7		0.300000	0				0			0				0				SkillPanel/MyRoot/PanelTabPageRoot/PanelTabPage(Clone)/ToggleGroup/TabsRoot/EquipToggle (1)	0	0	0	100061	
135	1041	3	1	GuideText10413	0.65;0.65	1	20	1	3	1.1;0.7		0.000000	0				0			0				0				SkillPanel/MyRoot/TalentPageRoot/TalentTotalPage(Clone)/SlotRoot/6_0/SlotRoot/RuneAndTalentSlotItem(Clone)	0	0	0	100089	
136	1042	0	0	GuideText10420	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				3	510450,0,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	100015	
137	1042	1	0	GuideText10421	60;-2	0	20	1	1	0.9;0.9	0;-2	0.000000	0		1		0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_37	0	0	0	100022	
138	1042	2	0	GuideText10422	40;0	1	20	1	1	1;1		0.000000	0				0			0				0				PetPanel/MyRoot/PetPageRoot/PetInfoPage(Clone)/ToggleGroupHorizontal/Toggle1	0	0	0	100090	
139	1042	3	0	GuideText10423	-40;0	1	20	1	1	1;1		0.000000	0			1	0			0				0				PetPanel/MyRoot/PetPageRoot/PetInfoPage(Clone)/Level/PlayedBtn	0	0	0	100064	
140	1043	0	0	GuideText10430	40;0	1	20	1	1	1;1		0.000000	0				3	510460,0,3	1	0				0				PetPanel/MyRoot/PetPageRoot/PetInfoPage(Clone)/ToggleGroupHorizontal/Toggle2	0	0	0	0	
141	1043	1	0	GuideText10431	-40;0	1	20	1	1	1;1		0.000000	0		1	1	0			0				0				PetPanel/MyRoot/PetPageRoot/PetInfoPage(Clone)/Break/LevelBtn	0	0	0	0	
142	1043	2	0	GuideText10432	0;0	0	20	1	3	1;1		0.000000	0				0			0				0				MsgBoxPanel/Window/MyRoot/OKBtn	0	0	0	0	
143	1043	3	1	GuideText10433	0.55;0.55	1	20	1	3	1.1;0.7		0.000000	0				0			0				0				ConversationPanel/Root/FuncBg/BtnRoot/1	0	0	0	0	
144	1043	4	1	GuideText10434	0.55;0.45	1	20	1	3	1.1;0.7		0.000000	0			1	0			0				0				ConversationPanel/Root/FuncBg/BtnRoot/2	0	0	0	0	
145	1045	0	0	GuideText10450	10;0	1	20	1	3	1;0.9		0.000000	0				3	11100210,0,3	1	0				0				WorldMapPanel/PanelTab/CascadeTabs/TabPage3/NearInfoPanel/ScrollView/Viewport/Content/11100230/Item	0	0	0	0	
146	1045	1	0	GuideText10451	10;0	1	20	1	3	1;0.9		0.000000	0				0			0				0				WorldMapPanel/PanelTab/CascadeTabs/TabPage3/NearInfoPanel/ScrollView/Viewport/Content/11100220/Item	0	0	0	0	
147	1045	2	0	GuideText10452	10;0	1	20	1	3	1;0.9		0.000000	0				0			0				0				WorldMapPanel/PanelTab/CascadeTabs/TabPage3/NearInfoPanel/ScrollView/Viewport/Content/11100050/Item	0	0	0	0	
148	1046	0	0	GuideText10460	50;0	1	20	1	1	1;1		0.000000	0				3	510430,1,3	1	0				0				BagPanel/MyRoot/BagItemListPageCanvas/ItemListRoot/BagItemListPage(Clone)/Scroll View/Viewport/Content/item161000000001/ItemIconRoot/ItemIcon(Clone)	0	0	0	100095	
149	1046	1	0	GuideText10461	-20;0	0	20	1	3	1;1		0.000000	0				0			0				0				ItemTipsPanel/Root/ButtonArea/Common/RightButtonGreen	0	0	0	100096	
150	1047	0	0	GuideText10470	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				3	510650,0,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	100097	
151	1047	1	0	GuideText10471	60;-2	0	20	1	1	0.9;0.9	0;-2	0.000000	0		1		0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_50	0	0	0	100098	
152	1047	2	0	GuideText10472	0;0	1	20	1	1	1.2;1		0.000000	0				0			0				0				GuildPanel/Window/TabsRoot/EquipToggle4	0	0	0	0	
153	1047	3	0	GuideText10473	0;0	1	20	1	1	1.2;1		0.000000	0			1	0			0				0				GuildPanel/Window/MyRoot/WelfarePageRoot/GuildWelfarePage(Clone)/FixedScrollView/Viewport/Content/3/Button	0	0	0	100100	
154	1047	4	0	GuideText10474	-15;0	1	20	1	1	1;1		0.000000	0				0			0				0				GuildTrainPanel/Window/MyRoot/Right/UpgradeOnceBtn	0	0	0	100101	
155	1048	0	0	GuideText10480	-20;0	0	20	1	1	1;1		0.000000	0		1		3	510630,1,3	1	0				0				ConversationPanel/Root/FuncBg/BtnRoot/MenuOpt_magic_baptize	0	0	0	0	
156	1048	1	1	GuideText10481	0.5;0.5	1	0		0			0.000000	0			1	0			0				0					0	0	0	100103	
157	1048	2	1	GuideText10482	0.5;0.2	2	0		0			0.000000	0			1	0			0				0					0	0	0	100104	
158	1049	0	0	GuideText10490	-20;0	0	20	1	1	1;1		0.000000	0		1		3	510640,0,3	1	0				0				ConversationPanel/Root/FuncBg/BtnRoot/MenuOpt_magic_smelt	0	0	0	0	
159	1049	1	1	GuideText10491	0.5;0.5	1	0		0			0.000000	0			1	0			0				0					0	0	0	0	
160	1050	0	0	GuideText10500	20;0	1	20	1	1	1;1		0.000000	0				4	11100200,1,3		0				0				QuickUsePanel/Root/MyRoot/UseBtn	0	0	0	0	
161	1050	1	0	GuideText10501	-50;0	1	20	1	3	1;1		0.000000	0		1	1	0			0				0				MainPanel/LeftSafeArea/HeadInfoPage/MainPlayerCell/HeadBgRoot/Icon/HeadIconBtn	0	0	0	100106	
162	1050	2	0	GuideText10502	50;0	1	20	1	1	1;1		0.000000	0				0			0				0				RoleInformationPanel/Window/MyRoot/RoleInfo/Right/GameObject/Title/Button	0	0	0	100107	
163	1050	3	0	GuideText10503	-60;0	1	20	1	1	1.1;1		0.000000	0				0			0				0				TitlePanel/Window/MyRoot/RightList/EquipInfo/FixedScrollView/Viewport/Content/0	0	0	0	100108	
164	1050	4	0	GuideText10504	0;-20	1	20	1	0	1;1		0.000000	0			1	0			0				0				TitlePanel/Window/MyRoot/TitleSelect/FixedScrollView/Viewport/Content/0	0	0	0	100109	
165	1050	5	0	GuideText10505	0;0	1	20	1	1	1;1		0.000000	0			1	0			0				0				TitlePanel/Window/MyRoot/RightList/EquipInfo/AttrInfo/AddButton	0	0	0	100110	
166	1050	6	0	GuideText10506	0;-20	1	20	1	0	1;1		0.000000	0			1	0			0				0				TitlePanel/Window/MyRoot/TitleSelect/FixedScrollView/Viewport/Content/0	0	0	0	0	
167	1050	7	0	GuideText10507	50;-9	0	20	1	1	0.5;0.5	-4;-5	0.000000	0			1	0			0				0				TitlePanel/System/ExitBtn	0	0	0	0	
168	1050	8	0	GuideText10508	50;-9	0	20	1	1	0.5;0.5	-4;-5	0.000000	0			1	0			0				0				RoleInformationPanel/System/ExitBtn	0	0	0	0	
169	1051	0	0	GuideText10410	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				3	510710,2,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	100015	
170	1051	1	0	GuideText10411	60;-2	0	20	1	1	0.9;0.9	0;-2	0.000000	0		1		0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_5	0	0	0	100016	
171	1051	2	0	GuideText10412	-40;0	1	20	1	3	0.7;0.7		0.300000	0				0			0				0				SkillPanel/MyRoot/PanelTabPageRoot/PanelTabPage(Clone)/ToggleGroup/TabsRoot/EquipToggle (1)	0	0	0	100061	
172	1051	3	1	GuideText10413	0.65;0.65	1	20	1	3	1.1;0.7		0.000000	0				0			0				0				SkillPanel/MyRoot/TalentPageRoot/TalentTotalPage(Clone)/SlotRoot/6_0/SlotRoot/RuneAndTalentSlotItem(Clone)	0	0	0	100089	
173	1052	0	0	GuideText10410	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				3	510720,2,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	100015	
174	1052	1	0	GuideText10411	60;-2	0	20	1	1	0.9;0.9	0;-2	0.000000	0		1		0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_5	0	0	0	100016	
175	1052	2	0	GuideText10412	-40;0	1	20	1	3	0.7;0.7		0.300000	0				0			0				0				SkillPanel/MyRoot/PanelTabPageRoot/PanelTabPage(Clone)/ToggleGroup/TabsRoot/EquipToggle (1)	0	0	0	100061	
176	1052	3	1	GuideText10413	0.65;0.65	1	20	1	3	1.1;0.7		0.000000	0				0			0				0				SkillPanel/MyRoot/TalentPageRoot/TalentTotalPage(Clone)/SlotRoot/6_0/SlotRoot/RuneAndTalentSlotItem(Clone)	0	0	0	100089	
177	1053	0	0	GuideText10410	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				3	510730,2,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	100015	
178	1053	1	0	GuideText10411	60;-2	0	20	1	1	0.9;0.9	0;-2	0.000000	0		1		0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_5	0	0	0	100016	
179	1053	2	0	GuideText10412	-40;0	1	20	1	3	0.7;0.7		0.300000	0				0			0				0				SkillPanel/MyRoot/PanelTabPageRoot/PanelTabPage(Clone)/ToggleGroup/TabsRoot/EquipToggle (1)	0	0	0	100061	
180	1053	3	1	GuideText10413	0.65;0.65	1	20	1	3	1.1;0.7		0.000000	0				0			0				0				SkillPanel/MyRoot/TalentPageRoot/TalentTotalPage(Clone)/SlotRoot/6_0/SlotRoot/RuneAndTalentSlotItem(Clone)	0	0	0	100089	
181	1054	0	0	GuideText10410	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				3	510740,2,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	100015	
182	1054	1	0	GuideText10411	60;-2	0	20	1	1	0.9;0.9	0;-2	0.000000	0		1		0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_5	0	0	0	100016	
183	1054	2	0	GuideText10412	-40;0	1	20	1	3	0.7;0.7		0.300000	0				0			0				0				SkillPanel/MyRoot/PanelTabPageRoot/PanelTabPage(Clone)/ToggleGroup/TabsRoot/EquipToggle (1)	0	0	0	100061	
184	1054	3	1	GuideText10413	0.65;0.65	1	20	1	3	1.1;0.7		0.000000	0				0			0				0				SkillPanel/MyRoot/TalentPageRoot/TalentTotalPage(Clone)/SlotRoot/6_0/SlotRoot/RuneAndTalentSlotItem(Clone)	0	0	0	100089	
185	1055	0	0	GuideText10410	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				3	510750,2,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	100015	
186	1055	1	0	GuideText10411	60;-2	0	20	1	1	0.9;0.9	0;-2	0.000000	0		1		0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_5	0	0	0	100016	
187	1055	2	0	GuideText10412	-40;0	1	20	1	3	0.7;0.7		0.300000	0				0			0				0				SkillPanel/MyRoot/PanelTabPageRoot/PanelTabPage(Clone)/ToggleGroup/TabsRoot/EquipToggle (1)	0	0	0	100061	
188	1055	3	1	GuideText10413	0.65;0.65	1	20	1	3	1.1;0.7		0.000000	0				0			0				0				SkillPanel/MyRoot/TalentPageRoot/TalentTotalPage(Clone)/SlotRoot/6_0/SlotRoot/RuneAndTalentSlotItem(Clone)	0	0	0	100089	
189	1056	0	0	GuideText10410	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				3	510760,2,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	100015	
190	1056	1	0	GuideText10411	60;-2	0	20	1	1	0.9;0.9	0;-2	0.000000	0		1		0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_5	0	0	0	100016	
191	1056	2	0	GuideText10412	-40;0	1	20	1	3	0.7;0.7		0.300000	0				0			0				0				SkillPanel/MyRoot/PanelTabPageRoot/PanelTabPage(Clone)/ToggleGroup/TabsRoot/EquipToggle (1)	0	0	0	100061	
192	1056	3	1	GuideText10413	0.65;0.65	1	20	1	3	1.1;0.7		0.000000	0				0			0				0				SkillPanel/MyRoot/TalentPageRoot/TalentTotalPage(Clone)/SlotRoot/6_0/SlotRoot/RuneAndTalentSlotItem(Clone)	0	0	0	100089	
193	1057	0	0	GuideText10570	0;-2	0	20	1	0	0.7;0.7	0;-2	0.000000	0		1		1	10		0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/TopRectMask/TopAreaRoot/FuncBtn_201	0	0	0	100099	
194	1057	1	0	GuideText10571	10;0	1	20	1	3	1;0.8		0.000000	0				0			0				0				WelfareActivityPanel/Window/MyRoot/MenuScrollView/Viewport/Content/Guide_BA_3	0	0	0	100112	
195	1057	2	0	GuideText10572	0;-10	0	20	1	0	1;1		0.000000	0				0			0				0				WelfareActivityPanel/Window/MyRoot/PageRoot/Page_205_3/LevelRewardPage(Clone)/Right/FixedScrollView/Viewport/Content/0/Button	0	0	0	100113	
196	1058	0	0	GuideText10580	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				2	10100170		0				0		MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/NoSpreadRoot/FuncBtn_7		MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/NoSpreadRoot/FuncBtn_7	0	0	0	0	
197	1058	1	0	GuideText10581	-25;0	0	20	1	3	0.9;0.9	0;-2	0.000000	0		1		0			0				0		BagPanel/MyRoot/EquipBagPageRoot/EquipBagPage(Clone)/CheckupButton		BagPanel/MyRoot/EquipBagPageRoot/EquipBagPage(Clone)/CheckupButton	0	0	0	100115	
198	1058	2	1	GuideText10582	0.4;0.3	2	0		0			0.000000	0			1	0			0				0					0	0	0	0	
199	1058	3	0	GuideText10583	10;-5	1	20	1	3	1;0.8		0.000000	0			1	0			0				0		AstrolabePanel/Root/StageBtn		AstrolabePanel/Root/StageBtn	0	0	0	100117	
200	1058	4	0	GuideText10584	-5;0	0	20	1	1	1;1		0.000000	0				0			0				0				AstrolabeStagePanel/Root/InfoRoot/RewardButton	0	0	0	100118	
201	1058	5	0	GuideText10585	-20;0	0	20	1	3	1;1		0.000000	0			1	0			0				0				AstrolabeStagePanel/Root/FixedScrollView/Viewport/Content/0/Root/GotoBtn	0	0	0	0	
202	1058	6	0	GuideText10586	20;0	0	20	1	1	1;1	0;10	0.000000	0			1	0			0				0		AstrolabePanel/Root/StarRoot/StarCell_Self/StarAreaUIBtn		AstrolabePanel/Root/StarRoot/StarCell_Self/StarAreaUIBtn	0	0	0	100120	
203	1058	7	0	GuideText10587	20;0	0	20	1	1	0.7;0.7		0.000000	0			1	0			0				0		AstrolabeSinglePanel/Root/UseBtn		AstrolabeSinglePanel/Root/UseBtn	0	0	0	100121	
204	1058	8	0	GuideText10588	-10;0	0	20	1	1	1;1		0.000000	0				0			0				0		AstrolabeSinglePanel/Root/UseItemList/FixedScrollView/Viewport/Content/0		AstrolabeSinglePanel/Root/UseItemList/FixedScrollView/Viewport/Content/0	0	0	0	0	
205	1058	9	0	GuideText10589	50;-9	0	20	1	1	0.5;0.5	-4;-5	0.000000	0			1	0			0				0		AstrolabeSinglePanel/Root/CloseButton		AstrolabeSinglePanel/Root/CloseButton	0	0	0	100123	
206	1058	10	0	GuideText10590	50;-9	0	20	1	1	0.5;0.5	-4;-5	0.000000	0			1	0			0				0		AstrolabePanel/Root/CloseButton		AstrolabePanel/Root/CloseButton	0	0	0	0	
207	1060	0	0	GuideText10600	20;0	1	20	1	1	1;1		0.000000	0				3	510480,3,3	1	0				0				MainPanel/SceneInteractionPage/Root/Button (2)/NormalBtn	0	0	0	100082	
208	1060	1	0	GuideText10601	-40;0	0	20	1	3	0.7;0.7		0.000000	0				0			0				0				NpcInteractionPanel/Right/MyRoot/ItemIconScrollView/Viewport/Content/0/ItemIconRoot/ItemIcon(Clone)	0	0	0	100124	
209	1060	2	0	GuideText10602	-20;0	0	20	1	3	1;1		0.000000	0				0			0				0				NpcInteractionGiftPanel/Window/MyRoot/GiftButton	0	0	0	100125	
210	1061	0	0	GuideText10610	10;0	0	20	1	3	1;1		0.000000	0				3	510800,0,3	1	0				0				SoulStarCubePanel/MyRoot/EnterObj/SoloObj/TopSoloBtn	0	0	0	100126	
211	1062	0	0	GuideText10620	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				3	510840,1,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	100097	
212	1062	1	0	GuideText10621	60;-2	0	20	1	1	0.9;0.9	0;-2	0.000000	0		1		0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_43	0	0	0	100127	
213	1062	2	0	GuideText10622	-35;-2	0	20	1	3	0.9;0.9	0;-2	0.000000	0				0			0				0				FashionPanel/MyRoot/Top/StarStrollBtn	0	0	0	100128	
214	1062	3	0	GuideText10623	-20;0	0	20	1	3	1;1		0.000000	0				0			0				0				StrollEffectPanel/Window/MyRoot/Left/GameObject/UpgradeButton	0	0	0	100129	
215	1063	0	0			0	0		0			0.000000	3	272;-138;1			5	138		0				0				HomelandUIPanel/HomelandUIPage/OperateArea/OperateArea2/ObjectIcon1	0	0	0	0	
216	1064	0	0			0	0		0			0.000000	3	272;-138;1			5	138		0				0				HomelandUIPanel/HomelandUIPage/OperateArea/OperateArea1/ObjectIcon1	0	0	0	0	
217	1065	0	0			0	0		0			0.000000	3	272;-138;1			5	138		0				0				HomelandUIPanel/HomelandUIPage/OperateArea/OperateArea2/ObjectIcon1	0	0	0	0	
218	1066	0	0			0	0		0			0.000000	3	272;-138;1			5	138		0				0				HomelandUIPanel/HomelandUIPage/OperateArea/OperateArea2/ObjectIcon2	0	0	0	0	
219	1067	0	0	GuideText10670	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				3	510830,0,3		0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	100097	
220	1067	1	0	GuideText10671	60;-2	0	20	1	1	0.9;0.9	0;-2	0.000000	0		1		0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_138	0	0	0	100130	
221	1068	0	0	GuideText10680	70;-2	0	20	1	1	0.7;0.7	0;-2	0.000000	0				3	510830,6,3		0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/TopRectMask/TopAreaSecRoot/FuncBtn_157	0	0	0	100131	
222	1069	0	0	GuideText10450	10;0	1	20	1	3	1;0.9		0.000000	0				4	10000010,0,3	1	0				0				WorldMapPanel/PanelTab/CascadeTabs/TabPage3/NearInfoPanel/ScrollView/Viewport/Content/10300340/Item	0	0	0	100094	
223	1069	1	0	GuideText10451	10;0	1	20	1	3	1;0.9		0.000000	0				0			0				0				WorldMapPanel/PanelTab/CascadeTabs/TabPage3/NearInfoPanel/ScrollView/Viewport/Content/10300330/Item	0	0	0	100094	
224	1069	2	0	GuideText10452	10;0	1	20	1	3	1;0.9		0.000000	0				0			0				0				WorldMapPanel/PanelTab/CascadeTabs/TabPage3/NearInfoPanel/ScrollView/Viewport/Content/10300325/Item	0	0	0	100094	
225	1070	0	0	GuideText10700	-40;0	1	20	1	3	0.7;0.7		0.000000	0				3	510240,1,3	1	0				0				WorldMapPanel/PanelTab/CascadeTabs/TabPage3/MapExploreEnter/RewardCanvas/RewardButton	0	0	0	100113	
226	1071	0	0	GuideText10710	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				3	510850,1,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	100097	
227	1071	1	0	GuideText10713	60;-2	0	20	1	1	0.9;0.9	0;-2	0.000000	0		1		0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_161	0	0	0	100134	
228	1071	2	0	GuideText10714	10;0	1	20	1	3	1;0.9		0.000000	0				0			0				0				PeakednessCardPanel/MyRoot/RightRoot/LookButton	0	0	0	100135	
229	1071	3	1	GuideText10715	0.4;0.3	2	0		0			0.000000	0		1	1	0			0				0					0	0	0	100136	
230	1071	4	0	GuideText10716	60;0	0	20	1	1	0.8;0.8		0.000000	0			1	0			0				0				PeakednessCardCollectPanel/Window/ExitBtn	0	0	0	100137	
231	1071	5	0	GuideText10717	10;0	1	20	1	3	1;0.9		0.000000	0		1	1	0			0				0				PeakednessCardPanel/MyRoot/RightRoot/ChangeButton	0	0	0	100138	
232	1071	6	1	GuideText10718	0.4;0.3	2	0		0			0.000000	0			1	0			0				0					0	0	0	100139	
233	1071	7	0	GuideText10719	50;-5	0	20	1	1	0.5;0.5	-5;0	0.000000	0			1	0			0				0				TradingPanel/System/ExitBtn	0	0	0	100137	
234	1071	8	0	GuideText107101	20;0	1	20	1	1	1;1		0.000000	0		1	1	0			0				0				PeakednessCardPanel/MyRoot/RightRoot/FixedScrollView/Viewport/Content/0/Complete	0	0	0	100140	
235	1072	0	0	GuideText10720	60;-2	1	20	1	1	0.8;0.8	0;-2	0.000000	0				4	10100230,1,3		0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	100097	
236	1072	1	0	GuideText10721	60;-2	1	20	1	1	0.9;0.9	0;-2	0.000000	0		1		0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_169	0	0	0	100141	
237	1072	2	0	GuideText10722	-40;0	0	20	1	3	0.7;0.7		0.000000	0				0			0				0				MercenaryPanel/MyRoot/PanelTabPageRoot/PanelTabPage/ToggleGroup/TabsRoot/EquipToggle (2)	0	0	0	100142	
238	1072	3	0	GuideText10723	0;0	0	20	1	3	1.1;0.7		0.000000	0				0			0				0				MercenaryPanel/MyRoot/MercenaryListPageRoot/MercenaryLotteryPage(Clone)/WinRoot/RareRoot/OneButton	0	0	0	100143	
