流水号	星蕴ID	星蕴等级	星蕴名称	星蕴描述	星蕴类型	升级消耗	星蕴属性	觉醒星蕴属性	显示前置条件	前置星蕴	玩家所需等级	坐标	链接坐标	星蕴Icon	评分类型	值/公式
1731	170005010	0	starsoulcontent_name_8	talentdes1011003	1	35000	21,0		170005009,1	170005009,1	70	1,4	0,0;1,4	skill_400504	1	6
1732	170005010	1	starsoulcontent_name_8	talentdes1011802	1	17500	21,27		170005009,1	170005009,1	70	1,4	0,0;1,4	skill_400504	1	6
1733	170005010	2	starsoulcontent_name_8	talentdes1011006	1		21,36		170005009,1	170005009,1	70	1,4	0,0;1,4	skill_400504	1	6
1734	170005011	0	starsoulcontent_name_4	talentdes1011015	1	35000	1,0		170005010,1	170005010,1	70	1,3	1,4;1,3	skill_60561	1	6
1735	170005011	1	starsoulcontent_name_4	talentdes1011016	1	17500	1,80		170005010,1	170005010,1	70	1,3	1,4;1,3	skill_60561	1	6
1736	170005011	2	starsoulcontent_name_4	talentdes101107	1		1,110		170005010,1	170005010,1	70	1,3	1,4;1,3	skill_60561	1	6
1737	170005012	0	starsoulcontent_name_2	talentdes1011017	1	35000	3,0		170005011,1	170005011,1	70	1,2	1,3;1,2	skill_60441	1	6
1738	170005012	1	starsoulcontent_name_2	talentdes1011018	1	17500	3,8		170005011,1	170005011,1	70	1,2	1,3;1,2	skill_60441	1	6
1739	170005012	2	starsoulcontent_name_2	talentdes1011019	1		3,11		170005011,1	170005011,1	70	1,2	1,3;1,2	skill_60441	1	6
1740	170005013	0	starsoulcontent_name_9	talentdes101109	1	35000	23,0		170005009,1	170005009,1	70	2,8	0,0;2,8	skill_400406	1	6
1741	170005013	1	starsoulcontent_name_9	talentdes101110	1	17500	23,27		170005009,1	170005009,1	70	2,8	0,0;2,8	skill_400406	1	6
1742	170005013	2	starsoulcontent_name_9	talentdes1011020	1		23,36		170005009,1	170005009,1	70	2,8	0,0;2,8	skill_400406	1	6
1743	170005014	0	starsoulcontent_name_3	talentdes1011803	1	35000	4,0		170005013,1	170005013,1	70	2,7	2,8;2,7	skill_60521	1	6
1744	170005014	1	starsoulcontent_name_3	talentdes1011021	1	17500	4,8		170005013,1	170005013,1	70	2,7	2,8;2,7	skill_60521	1	6
1745	170005014	2	starsoulcontent_name_3	talentdes1000022	1		4,11		170005013,1	170005013,1	70	2,7	2,8;2,7	skill_60521	1	6
1746	170005015	0	ItemName_107000020101	talentdes1000023	2	item107000020101;6;105000			170005014,1	170005014,1	70	2,6	2,7;2,6	#N/A	1	6
1747	170005015	1	ItemName_107000020101	talentdes101111	2				170005014,1	170005014,1	70	2,6	2,7;2,6	#N/A	1	6
1748	170005016	0	starsoulcontent_name_1	talentdes1000024	1	60000		1,0;3,0	4		70	0,0	0,0;0,0	skill_60481	1	6
1749	170005016	1	starsoulcontent_name_1	talentdes1000025	1			1,600;3,60	4		70	0,0	0,0;0,0	skill_60481	1	6
1750	170005017	0	starsoulcontent_name_3	talentdes10001001	1	60000	4,0		170005016,1	170005016,1	70	1,2	0,0;1,2	skill_60521	1	6
1751	170005017	1	starsoulcontent_name_3	talentdes10001002	1	30000	4,8		170005016,1	170005016,1	70	1,2	0,0;1,2	skill_60521	1	6
1752	170005017	2	starsoulcontent_name_3	talentdes10001003	1		4,11		170005016,1	170005016,1	70	1,2	0,0;1,2	skill_60521	1	6
1753	170005018	0	starsoulcontent_name_4	talentdes1000026	1	60000	1,0		170005017,1	170005017,1	70	1,4	1,2;1,4	skill_60561	1	6
1754	170005018	1	starsoulcontent_name_4	talentdes1000804	1	30000	1,80		170005017,1	170005017,1	70	1,4	1,2;1,4	skill_60561	1	6
1755	170005018	2	starsoulcontent_name_4	talentdes1000027	1		1,110		170005017,1	170005017,1	70	1,4	1,2;1,4	skill_60561	1	6
1756	170005019	0	starsoulcontent_name_2	talentdes1011028	1	60000	3,0		170005018,1	170005018,1	70	2,3	1,4;2,3	skill_60441	1	6
1757	170005019	1	starsoulcontent_name_2	talentdes1011029	1	30000	3,8		170005018,1	170005018,1	70	2,3	1,4;2,3	skill_60441	1	6
1758	170005019	2	starsoulcontent_name_2	talentdes1011030	1		3,11		170005018,1	170005018,1	70	2,3	1,4;2,3	skill_60441	1	6
1759	170005020	0	starsoulcontent_name_11	talentdes1011031	1	60000	22,0		170005017,1	170005017,1	70	1,8	1,2;1,8	skill_400601	1	6
1760	170005020	1	starsoulcontent_name_11	talentdes1011032	1	30000	22,27		170005017,1	170005017,1	70	1,8	1,2;1,8	skill_400601	1	6
1761	170005020	2	starsoulcontent_name_11	talentdes1011805	1		22,36		170005017,1	170005017,1	70	1,8	1,2;1,8	skill_400601	1	6
1762	170005021	0	starsoulcontent_name_4	talentdes1011034	1	60000	1,0		170005020,1	170005020,1	70	2,1	1,8;2,1	skill_60561	1	6
1763	170005021	1	starsoulcontent_name_4	talentdes1011035	1	30000	1,80		170005020,1	170005020,1	70	2,1	1,8;2,1	skill_60561	1	6
1764	170005021	2	starsoulcontent_name_4	talentdes1011036	1		1,110		170005020,1	170005020,1	70	2,1	1,8;2,1	skill_60561	1	6
1765	170005022	0	starsoulcontent_name_10	talentdes1011037	1	60000	25,0		170005021,1	170005021,1	70	2,2	2,1;2,2	skill_400506	1	6
1766	170005022	1	starsoulcontent_name_10	talentdes1011038	1	30000	25,27		170005021,1	170005021,1	70	2,2	2,1;2,2	skill_400506	1	6
1767	170005022	2	starsoulcontent_name_10	talentdes101204	1		25,36		170005021,1	170005021,1	70	2,2	2,1;2,2	skill_400506	1	6
1768	170005023	0	starsoulcontent_name_3	talentdes101208	1	60000	4,0		170005016,1	170005016,1	70	1,6	0,0;1,6	skill_60521	1	6
1769	170005023	1	starsoulcontent_name_3	talentdes1012007	1	30000	4,8		170005016,1	170005016,1	70	1,6	0,0;1,6	skill_60521	1	6
1770	170005023	2	starsoulcontent_name_3	talentdes1012008	1		4,11		170005016,1	170005016,1	70	1,6	0,0;1,6	skill_60521	1	6
1771	170005024	0	ItemName_107000030302	talentdes1012009	2	item107000030302;9;180000			170005023,1	170005023,1	70	2,7	1,6;2,7	#N/A	1	6
1772	170005024	1	ItemName_107000030302	talentdes1012801	2				170005023,1	170005023,1	70	2,7	1,6;2,7	#N/A	1	6
1773	170005025	0	ItemName_107000030202	talentdes101202	2	item107000030202;9;180000			170005023,1	170005023,1	70	2,5	1,6;2,5	#N/A	1	6
1774	170005025	1	ItemName_107000030202	talentdes101206	2				170005023,1	170005023,1	70	2,5	1,6;2,5	#N/A	1	6
1775	170005026	0	starsoulcontent_name_1	talentdes1012002	1	160000		1,0;3,0	5		70	0,0	0,0;0,0	skill_60481	1	6
1776	170005026	1	starsoulcontent_name_1	talentdes1012005	1			1,800;3,80	5		70	0,0	0,0;0,0	skill_60481	1	6
1777	170005027	0	starsoulcontent_name_3	talentdes1012010	1	160000	4,0		170005026,1	170005026,1	70	1,8	0,0;1,8	skill_60521	1	6
1778	170005027	1	starsoulcontent_name_3	talentdes1012012	1	80000	4,8		170005026,1	170005026,1	70	1,8	0,0;1,8	skill_60521	1	6
1779	170005027	2	starsoulcontent_name_3	talentdes1012014	1	80000	4,11		170005026,1	170005026,1	70	1,8	0,0;1,8	skill_60521	1	6
1780	170005027	3	starsoulcontent_name_3	talentdes101205	1		4,14		170005026,1	170005026,1	70	1,8	0,0;1,8	skill_60521	1	6
1781	170005028	0	starsoulcontent_name_4	talentdes1012004	1	160000	1,0		170005027,1	170005027,1	70	1,1	1,8;1,1	skill_60561	1	6
1782	170005028	1	starsoulcontent_name_4	talentdes1012013	1	80000	1,80		170005027,1	170005027,1	70	1,1	1,8;1,1	skill_60561	1	6
1783	170005028	2	starsoulcontent_name_4	talentdes1012011	1	80000	1,110		170005027,1	170005027,1	70	1,1	1,8;1,1	skill_60561	1	6
1784	170005028	3	starsoulcontent_name_4	talentdes101207	1		1,140		170005027,1	170005027,1	70	1,1	1,8;1,1	skill_60561	1	6
1785	170005029	0	starsoulcontent_name_2	talentdes101209	1	160000	3,0		170005028,1	170005028,1	70	1,2	1,2;1,1	skill_60441	1	6
1786	170005029	1	starsoulcontent_name_2	talentdes1012003	1	80000	3,8		170005028,1	170005028,1	70	1,2	1,2;1,1	skill_60441	1	6
1787	170005029	2	starsoulcontent_name_2	talentdes1012802	1	80000	3,11		170005028,1	170005028,1	70	1,2	1,2;1,1	skill_60441	1	6
1788	170005029	3	starsoulcontent_name_2	talentdes1012006	1		3,14		170005028,1	170005028,1	70	1,2	1,2;1,1	skill_60441	1	6
1789	170005030	0	starsoulcontent_name_10	talentdes1012015	1	160000	25,0		170005029,1	170005029,1	70	1,3	1,2;1,3	skill_400506	1	6
1790	170005030	1	starsoulcontent_name_10	talentdes1012016	1	80000	25,27		170005029,1	170005029,1	70	1,3	1,2;1,3	skill_400506	1	6
1791	170005030	2	starsoulcontent_name_10	talentdes101203	1	80000	25,36		170005029,1	170005029,1	70	1,3	1,2;1,3	skill_400506	1	6
1792	170005030	3	starsoulcontent_name_10	talentdes1012017	1		25,45		170005029,1	170005029,1	70	1,3	1,2;1,3	skill_400506	1	6
1793	170005031	0	starsoulcontent_name_13	talentdes1012018	1	160000	26,0		170005030,1	170005030,1	70	1,4	1,3;1,4	skill_60721	1	6
1794	170005031	1	starsoulcontent_name_13	talentdes1012019	1	80000	26,27		170005030,1	170005030,1	70	1,4	1,3;1,4	skill_60721	1	6
1795	170005031	2	starsoulcontent_name_13	talentdes101210	1	80000	26,36		170005030,1	170005030,1	70	1,4	1,3;1,4	skill_60721	1	6
1796	170005031	3	starsoulcontent_name_13	talentdes101201	1		26,45		170005030,1	170005030,1	70	1,4	1,3;1,4	skill_60721	1	6
1797	170005032	0	starsoulcontent_name_4	talentdes1012020	1	160000	1,0		170005031,1	170005031,1	70	2,5	1,4;2,5	skill_60561	1	6
1798	170005032	1	starsoulcontent_name_4	talentdes1012803	1	80000	1,80		170005031,1	170005031,1	70	2,5	1,4;2,5	skill_60561	1	6
1799	170005032	2	starsoulcontent_name_4	talentdes1012021	1	80000	1,110		170005031,1	170005031,1	70	2,5	1,4;2,5	skill_60561	1	6
1800	170005032	3	starsoulcontent_name_4	talentdes1000022	1		1,140		170005031,1	170005031,1	70	2,5	1,4;2,5	skill_60561	1	6
1801	170005033	0	ItemName_107000030203	talentdes1000023	2	item107000030203;9;480000			170005032,1	170005032,1	70	2,6	2,5;2,6	#N/A	1	6
1802	170005033	1	ItemName_107000030203	talentdes101211	2				170005032,1	170005032,1	70	2,6	2,5;2,6	#N/A	1	6
1803	170005034	0	ItemName_107000041101	talentdes1000024	2	item107000041101;12;480000			170005033,1	170005033,1	70	2,7	2,6;2,7	#N/A	1	6
1804	170005034	1	ItemName_107000041101	talentdes1000025	2				170005033,1	170005033,1	70	2,7	2,6;2,7	#N/A	1	6
1805	170005035	0	ItemName_107000041305	talentdes10001001	2	item107000041305;12;480000			170005029,1	170005029,1	70	2,2	1,2;2,2	#N/A	1	6
1806	170005035	1	ItemName_107000041305	talentdes10001002	2				170005029,1	170005029,1	70	2,2	1,2;2,2	#N/A	1	6
1807	170005036	0	starsoulcontent_name_1	talentdes10001003	1	340000		1,0;3,0	6		70	0,0	0,0;0,0	skill_60481	1	6
1808	170005036	1	starsoulcontent_name_1	talentdes1000026	1			1,1200;3,120	6		70	0,0	0,0;0,0	skill_60481	1	6
1809	170005037	0	starsoulcontent_name_3	talentdes1000804	1	340000	4,0		170005036,1	170005036,1	70	1,7	0.0;1.7	skill_60521	1	6
1810	170005037	1	starsoulcontent_name_3	talentdes1000027	1	170000	4,8		170005036,1	170005036,1	70	1,7	0.0;1.7	skill_60521	1	6
1811	170005037	2	starsoulcontent_name_3	talentdes1012028	1	170000	4,11		170005036,1	170005036,1	70	1,7	0.0;1.7	skill_60521	1	6
1812	170005037	3	starsoulcontent_name_3	talentdes1012029	1		4,14		170005036,1	170005036,1	70	1,7	0.0;1.7	skill_60521	1	6
1813	170005038	0	starsoulcontent_name_4	talentdes1012031	1	340000	1,0		170005037,1	170005037,1	70	1,8	1,7;1,8	skill_60561	1	6
1814	170005038	1	starsoulcontent_name_4	talentdes1012032	1	170000	1,80		170005037,1	170005037,1	70	1,8	1,7;1,8	skill_60561	1	6
1815	170005038	2	starsoulcontent_name_4	talentdes1012805	1	170000	1,110		170005037,1	170005037,1	70	1,8	1,7;1,8	skill_60561	1	6
1816	170005038	3	starsoulcontent_name_4	talentdes1012034	1		1,140		170005037,1	170005037,1	70	1,8	1,7;1,8	skill_60561	1	6
1817	170005039	0	starsoulcontent_name_2	talentdes1012036	1	340000	3,0		170005038,1	170005038,1	70	1,1	1,8;1,1	skill_60441	1	6
1818	170005039	1	starsoulcontent_name_2	talentdes1012037	1	170000	3,8		170005038,1	170005038,1	70	1,1	1,8;1,1	skill_60441	1	6
1819	170005039	2	starsoulcontent_name_2	talentdes1012038	1	170000	3,11		170005038,1	170005038,1	70	1,1	1,8;1,1	skill_60441	1	6
1820	170005039	3	starsoulcontent_name_2	talentdes102109	1		3,14		170005038,1	170005038,1	70	1,1	1,8;1,1	skill_60441	1	6
1821	170005040	0	starsoulcontent_name_9	talentdes1021007	1	340000	23,0		170005039,1	170005039,1	70	2,1	1,1;2,1	skill_400406	1	6
1822	170005040	1	starsoulcontent_name_9	talentdes1021008	1	170000	23,27		170005039,1	170005039,1	70	2,1	1,1;2,1	skill_400406	1	6
1823	170005040	2	starsoulcontent_name_9	talentdes1021009	1	170000	23,36		170005039,1	170005039,1	70	2,1	1,1;2,1	skill_400406	1	6
1824	170005040	3	starsoulcontent_name_9	talentdes1021801	1		23,45		170005039,1	170005039,1	70	2,1	1,1;2,1	skill_400406	1	6
1825	170005041	0	starsoulcontent_name_3	talentdes102104	1	340000	4,0		170005036,1	170005036,1	70	1,3	0,0;1,3	skill_60521	1	6
1826	170005041	1	starsoulcontent_name_3	talentdes1021002	1	170000	4,8		170005036,1	170005036,1	70	1,3	0,0;1,3	skill_60521	1	6
1827	170005041	2	starsoulcontent_name_3	talentdes1021005	1	170000	4,11		170005036,1	170005036,1	70	1,3	0,0;1,3	skill_60521	1	6
1828	170005041	3	starsoulcontent_name_3	talentdes1021010	1		4,14		170005036,1	170005036,1	70	1,3	0,0;1,3	skill_60521	1	6
1829	170005042	0	starsoulcontent_name_12	talentdes1021014	1	340000	24,0		170005041,1	170005041,1	70	1,4	1,3;1,4	skill_400109	1	6
1830	170005042	1	starsoulcontent_name_12	talentdes102106	1	170000	24,27		170005041,1	170005041,1	70	1,4	1,3;1,4	skill_400109	1	6
1831	170005042	2	starsoulcontent_name_12	talentdes1021004	1	170000	24,36		170005041,1	170005041,1	70	1,4	1,3;1,4	skill_400109	1	6
1832	170005042	3	starsoulcontent_name_12	talentdes1021013	1		24,45		170005041,1	170005041,1	70	1,4	1,3;1,4	skill_400109	1	6
1833	170005043	0	starsoulcontent_name_4	talentdes102110	1	340000	1,0		170005042,1	170005042,1	70	1,5	1,4;1,5	skill_60561	1	6
1834	170005043	1	starsoulcontent_name_4	talentdes102107	1	170000	1,80		170005042,1	170005042,1	70	1,5	1,4;1,5	skill_60561	1	6
1835	170005043	2	starsoulcontent_name_4	talentdes1021003	1	170000	1,110		170005042,1	170005042,1	70	1,5	1,4;1,5	skill_60561	1	6
1836	170005043	3	starsoulcontent_name_4	talentdes1021802	1		1,140		170005042,1	170005042,1	70	1,5	1,4;1,5	skill_60561	1	6
1837	170005044	0	starsoulcontent_name_13	talentdes1021015	1	340000	26,0		170005043,1	170005043,1	70	2,5	1,5;2,5	skill_60721	1	6
1838	170005044	1	starsoulcontent_name_13	talentdes1021016	1	170000	26,27		170005043,1	170005043,1	70	2,5	1,5;2,5	skill_60721	1	6
1839	170005044	2	starsoulcontent_name_13	talentdes102101	1	170000	26,36		170005043,1	170005043,1	70	2,5	1,5;2,5	skill_60721	1	6
1840	170005044	3	starsoulcontent_name_13	talentdes1021017	1		26,45		170005043,1	170005043,1	70	2,5	1,5;2,5	skill_60721	1	6
1841	170005045	0	ItemName_107000042102	talentdes1021019	2	item107000042102;12;1020000			170005040,1	170005040,1	70	2,2	2,1;2,2	#N/A	1	6
1842	170005045	1	ItemName_107000042102	talentdes102108	2				170005040,1	170005040,1	70	2,2	2,1;2,2	#N/A	1	6
1843	170005046	0	ItemName_107000042201	talentdes102105	2	item107000042201;12;1020000			170005045,1	170005045,1	70	2,3	2,2;2,3	#N/A	1	6
1844	170005046	1	ItemName_107000042201	talentdes1021020	2				170005045,1	170005045,1	70	2,3	2,2;2,3	#N/A	1	6
1845	170005047	0	ItemName_107000042103	talentdes1021803	2	item107000042103;12;1020000			170005044,1	170005044,1	70	2,6	2,5;2,6	#N/A	1	6
1846	170005047	1	ItemName_107000042103	talentdes1021021	2				170005044,1	170005044,1	70	2,6	2,5;2,6	#N/A	1	6
1847	170005048	0	ItemName_107000043301	talentdes1000022	2	item107000043301;12;1020000			170005047,1	170005047,1	70	2,7	2,6;2,7	#N/A	1	6
1848	170005048	1	ItemName_107000043301	talentdes1000023	2				170005047,1	170005047,1	70	2,7	2,6;2,7	#N/A	1	6
1849	170005049	0	starsoulcontent_name_1	talentdes102111	1	760000		1,0;3,0	7		70	0,0	0,0;0,0	skill_60481	1	6
1850	170005049	1	starsoulcontent_name_1	talentdes102106	1			1,1800;3,180	7		70	0,0	0,0;0,0	skill_60481	1	6
1851	170005050	0	starsoulcontent_name_3	talentdes1021004	1	760000	4,0		170005049,1	170005049,1	70	1,1	0,0;1,1	skill_60521	1	6
1852	170005050	1	starsoulcontent_name_3	talentdes1021013	1	380000	4,8		170005049,1	170005049,1	70	1,1	0,0;1,1	skill_60521	1	6
1853	170005050	2	starsoulcontent_name_3	talentdes1021016	1	380000	4,11		170005049,1	170005049,1	70	1,1	0,0;1,1	skill_60521	1	6
1854	170005050	3	starsoulcontent_name_3	talentdes102101	1	380000	4,14		170005049,1	170005049,1	70	1,1	0,0;1,1	skill_60521	1	6
1855	170005050	4	starsoulcontent_name_3	talentdes1021017	1		4,17		170005049,1	170005049,1	70	1,1	0,0;1,1	skill_60521	1	6
1856	170005051	0	starsoulcontent_name_4	talentdes1021018	1	760000	1,0		170005050,1	170005050,1	70	1,3	1,1;1,3	skill_60561	1	6
1857	170005051	1	starsoulcontent_name_4	talentdes1021019	1	380000	1,80		170005050,1	170005050,1	70	1,3	1,1;1,3	skill_60561	1	6
1858	170005051	2	starsoulcontent_name_4	talentdes102108	1	380000	1,110		170005050,1	170005050,1	70	1,3	1,1;1,3	skill_60561	1	6
1859	170005051	3	starsoulcontent_name_4	talentdes102105	1	380000	1,140		170005050,1	170005050,1	70	1,3	1,1;1,3	skill_60561	1	6
1860	170005051	4	starsoulcontent_name_4	talentdes1021020	1		1,170		170005050,1	170005050,1	70	1,3	1,1;1,3	skill_60561	1	6
1861	170005052	0	starsoulcontent_name_2	talentdes101101	1	760000	3,0		170005051,1	170005051,1	70	2,3	1,3;2,3	skill_60441	1	6
1862	170005052	1	starsoulcontent_name_2	talentdes101104	1	380000	3,8		170005051,1	170005051,1	70	2,3	1,3;2,3	skill_60441	1	6
1863	170005052	2	starsoulcontent_name_2	talentdes1011008	1	380000	3,11		170005051,1	170005051,1	70	2,3	1,3;2,3	skill_60441	1	6
1864	170005052	3	starsoulcontent_name_2	talentdes1011009	1	380000	3,14		170005051,1	170005051,1	70	2,3	1,3;2,3	skill_60441	1	6
1865	170005052	4	starsoulcontent_name_2	talentdes1011801	1		3,17		170005051,1	170005051,1	70	2,3	1,3;2,3	skill_60441	1	6
1866	170005053	0	starsoulcontent_name_11	talentdes101106	1	760000	22,0		170005052,1	170005052,1	70	2,2	2,3;2,2	skill_400601	1	6
1867	170005053	1	starsoulcontent_name_11	talentdes101102	1	380000	22,27		170005052,1	170005052,1	70	2,2	2,3;2,2	skill_400601	1	6
1868	170005053	2	starsoulcontent_name_11	talentdes1011002	1	380000	22,36		170005052,1	170005052,1	70	2,2	2,3;2,2	skill_400601	1	6
1869	170005053	3	starsoulcontent_name_11	talentdes1011005	1	380000	22,45		170005052,1	170005052,1	70	2,2	2,3;2,2	skill_400601	1	6
1870	170005053	4	starsoulcontent_name_11	talentdes1011010	1		22,54		170005052,1	170005052,1	70	2,2	2,3;2,2	skill_400601	1	6
1871	170005054	0	starsoulcontent_name_4	talentdes1011012	1	760000	1,0		170005049,1	170005049,1	70	1,5	0,0;1,5	skill_60561	1	6
1872	170005054	1	starsoulcontent_name_4	talentdes1011014	1	380000	1,80		170005049,1	170005049,1	70	1,5	0,0;1,5	skill_60561	1	6
1873	170005054	2	starsoulcontent_name_4	talentdes101105	1	380000	1,110		170005049,1	170005049,1	70	1,5	0,0;1,5	skill_60561	1	6
1874	170005054	3	starsoulcontent_name_4	talentdes1011004	1	380000	1,140		170005049,1	170005049,1	70	1,5	0,0;1,5	skill_60561	1	6
1875	170005054	4	starsoulcontent_name_4	talentdes1011013	1		1,170		170005049,1	170005049,1	70	1,5	0,0;1,5	skill_60561	1	6
1876	170005055	0	starsoulcontent_name_12	talentdes1011011	1	760000	24,0		170005054,1	170005054,1	70	1,7	1,5;1,7	skill_400109	1	6
1877	170005055	1	starsoulcontent_name_12	talentdes101103	1	380000	24,27		170005054,1	170005054,1	70	1,7	1,5;1,7	skill_400109	1	6
1878	170005055	2	starsoulcontent_name_12	talentdes101108	1	380000	24,36		170005054,1	170005054,1	70	1,7	1,5;1,7	skill_400109	1	6
1879	170005055	3	starsoulcontent_name_12	talentdes1011003	1	380000	24,45		170005054,1	170005054,1	70	1,7	1,5;1,7	skill_400109	1	6
1880	170005055	4	starsoulcontent_name_12	talentdes1011802	1		24,54		170005054,1	170005054,1	70	1,7	1,5;1,7	skill_400109	1	6
1881	170005056	0	starsoulcontent_name_13	talentdes1011006	1	760000	26,0		170005055,1	170005055,1	70	2,7	1,7;2,7	skill_60721	1	6
1882	170005056	1	starsoulcontent_name_13	talentdes1011015	1	380000	26,27		170005055,1	170005055,1	70	2,7	1,7;2,7	skill_60721	1	6
1883	170005056	2	starsoulcontent_name_13	talentdes1011016	1	380000	26,36		170005055,1	170005055,1	70	2,7	1,7;2,7	skill_60721	1	6
1884	170005056	3	starsoulcontent_name_13	talentdes101107	1	380000	26,45		170005055,1	170005055,1	70	2,7	1,7;2,7	skill_60721	1	6
1885	170005056	4	starsoulcontent_name_13	talentdes1011017	1		26,54		170005055,1	170005055,1	70	2,7	1,7;2,7	skill_60721	1	6
1886	170005057	0	starsoulcontent_name_3	talentdes1011018	1	760000	4,0		170005056,1	170005056,1	70	2,6	2,7;2,6	skill_60521	1	6
1887	170005057	1	starsoulcontent_name_3	talentdes1011019	1	380000	4,8		170005056,1	170005056,1	70	2,6	2,7;2,6	skill_60521	1	6
1888	170005057	2	starsoulcontent_name_3	talentdes101109	1	380000	4,11		170005056,1	170005056,1	70	2,6	2,7;2,6	skill_60521	1	6
1889	170005057	3	starsoulcontent_name_3	talentdes101110	1	380000	4,14		170005056,1	170005056,1	70	2,6	2,7;2,6	skill_60521	1	6
1890	170005057	4	starsoulcontent_name_3	talentdes1011020	1		4,17		170005056,1	170005056,1	70	2,6	2,7;2,6	skill_60521	1	6
1891	170005058	0	ItemName_107000042103	talentdes1000026	2	item107000042103;12;2280000			170005057,1	170005057,1	70	2,5	2,6;2,5	#N/A	1	6
1892	170005058	1	ItemName_107000042103	talentdes1000804	2				170005057,1	170005057,1	70	2,5	2,6;2,5	#N/A	1	6
1893	170005059	0	ItemName_107000042202	talentdes1000027	2	item107000042202;12;2280000			170005053,1	170005053,1	70	2,1	2,2;2,1	#N/A	1	6
1894	170005059	1	ItemName_107000042202	talentdes1011028	2				170005053,1	170005053,1	70	2,1	2,2;2,1	#N/A	1	6
1895	170005060	0	ItemName_107000043201	talentdes1011029	2	item107000043201;12;2280000			170005059,1	170005059,1	70	2,8	2,1;2,8	#N/A	1	6
1896	170005060	1	ItemName_107000043201	talentdes1011030	2				170005059,1	170005059,1	70	2,8	2,1;2,8	#N/A	1	6
1897	170005061	0	ItemName_107000043301	talentdes1011031	2	item107000043301;12;2280000			170005058,1	170005058,1	70	2,4	2,5;2,4	#N/A	1	6
1898	170005061	1	ItemName_107000043301	talentdes1011032	2				170005058,1	170005058,1	70	2,4	2,5;2,4	#N/A	1	6
1899	170005062	0	starsoulcontent_name_1	talentdes1011805	1	1000000		1,0;3,0	8		75	0,0	0,0;0,0	skill_60481	1	6
1900	170005062	1	starsoulcontent_name_1	talentdes1011034	1			1,2800;3,280	8		75	0,0	0,0;0,0	skill_60481	1	6
1901	170005063	0	starsoulcontent_name_3	talentdes1011035	1	1000000	4,0		170005062,1	170005062,1	75	1,4	0,0;1,4	skill_60521	1	6
1902	170005063	1	starsoulcontent_name_3	talentdes1011036	1	500000	4,8		170005062,1	170005062,1	75	1,4	0,0;1,4	skill_60521	1	6
1903	170005063	2	starsoulcontent_name_3	talentdes1011037	1	500000	4,11		170005062,1	170005062,1	75	1,4	0,0;1,4	skill_60521	1	6
1904	170005063	3	starsoulcontent_name_3	talentdes1011038	1	500000	4,14		170005062,1	170005062,1	75	1,4	0,0;1,4	skill_60521	1	6
1905	170005063	4	starsoulcontent_name_3	talentdes101204	1	500000	4,17		170005062,1	170005062,1	75	1,4	0,0;1,4	skill_60521	1	6
1906	170005063	5	starsoulcontent_name_3	talentdes101208	1		4,20		170005062,1	170005062,1	75	1,4	0,0;1,4	skill_60521	1	6
1907	170005064	0	starsoulcontent_name_4	talentdes1012007	1	1000000	1,0		170005063,1	170005063,1	75	1,3	1,4;1,3	skill_60561	1	6
1908	170005064	1	starsoulcontent_name_4	talentdes1012008	1	500000	1,80		170005063,1	170005063,1	75	1,3	1,4;1,3	skill_60561	1	6
1909	170005064	2	starsoulcontent_name_4	talentdes1012009	1	500000	1,110		170005063,1	170005063,1	75	1,3	1,4;1,3	skill_60561	1	6
1910	170005064	3	starsoulcontent_name_4	talentdes1012801	1	500000	1,140		170005063,1	170005063,1	75	1,3	1,4;1,3	skill_60561	1	6
1911	170005064	4	starsoulcontent_name_4	talentdes101202	1	500000	1,170		170005063,1	170005063,1	75	1,3	1,4;1,3	skill_60561	1	6
1912	170005064	5	starsoulcontent_name_4	talentdes101206	1		1,200		170005063,1	170005063,1	75	1,3	1,4;1,3	skill_60561	1	6
1913	170005065	0	starsoulcontent_name_2	talentdes1012002	1	1000000	3,0		170005064,1	170005064,1	75	1,2	1,3;1,2	skill_60441	1	6
1914	170005065	1	starsoulcontent_name_2	talentdes1012005	1	500000	3,8		170005064,1	170005064,1	75	1,2	1,3;1,2	skill_60441	1	6
1915	170005065	2	starsoulcontent_name_2	talentdes1012010	1	500000	3,11		170005064,1	170005064,1	75	1,2	1,3;1,2	skill_60441	1	6
1916	170005065	3	starsoulcontent_name_2	talentdes1012012	1	500000	3,14		170005064,1	170005064,1	75	1,2	1,3;1,2	skill_60441	1	6
1917	170005065	4	starsoulcontent_name_2	talentdes1012014	1	500000	3,17		170005064,1	170005064,1	75	1,2	1,3;1,2	skill_60441	1	6
1918	170005065	5	starsoulcontent_name_2	talentdes101205	1		3,20		170005064,1	170005064,1	75	1,2	1,3;1,2	skill_60441	1	6
1919	170005066	0	starsoulcontent_name_9	talentdes1012004	1	1000000	23,0		170005072,1	170005072,1	75	2,1	1,1;2,1	skill_400406	1	6
1920	170005066	1	starsoulcontent_name_9	talentdes1012013	1	500000	23,27		170005072,1	170005072,1	75	2,1	1,1;2,1	skill_400406	1	6
1921	170005066	2	starsoulcontent_name_9	talentdes1012011	1	500000	23,36		170005072,1	170005072,1	75	2,1	1,1;2,1	skill_400406	1	6
1922	170005066	3	starsoulcontent_name_9	talentdes101207	1	500000	23,45		170005072,1	170005072,1	75	2,1	1,1;2,1	skill_400406	1	6
