流水ID	装备ID	进阶等级	品质	进阶属性	消耗道具	消耗货币道具	图标	可升级最大等级	装备名
219	253	2	3	4,11;23,42;26,15	item177000000001,9;item177000000002,45	item1000,240000	soldier_equip_2_02	15	soldier_equip_2_02
220	254	2	3	4,16;24,30;26,22	item177000000001,7;item177000000002,35	item1000,300000	soldier_equip_2_03	15	soldier_equip_2_03
221	255	2	3	1,251;22,18;23,25	item177000000001,12;item177000000002,60	item1000,300000	soldier_equip_2_04	15	soldier_equip_2_04
222	256	2	3	4,8;22,28;25,20	item177000000001,7;item177000000002,35	item1000,150000	soldier_equip_2_05	15	soldier_equip_2_05
223	311	2	3	3,91;21,85;25,107	item177000000001,34;item177000000002,170	item1000,600000	soldier_equip_weapon_2_01	15	soldier_equip_weapon_2_01
224	312	2	3	1,470;21,76;24,94	item177000000001,20;item177000000002,100	item1000,240000	soldier_equip_2_01	15	soldier_equip_2_01
225	313	2	3	4,39;23,116;26,79	item177000000001,20;item177000000002,100	item1000,240000	soldier_equip_2_02	15	soldier_equip_2_02
226	314	2	3	4,54;24,141;26,116	item177000000001,15;item177000000002,75	item1000,300000	soldier_equip_2_03	15	soldier_equip_2_03
227	315	2	3	1,830;22,48;23,67	item177000000001,25;item177000000002,125	item1000,300000	soldier_equip_2_04	15	soldier_equip_2_04
228	316	2	3	4,30;22,76;25,33	item177000000001,15;item177000000002,75	item1000,150000	soldier_equip_2_05	15	soldier_equip_2_05
229	321	2	3	3,116;21,76;25,153	item177000000001,34;item177000000002,170	item1000,600000	soldier_equip_weapon_2_03	15	soldier_equip_weapon_2_03
230	322	2	3	1,415;21,64;24,70	item177000000001,20;item177000000002,100	item1000,240000	soldier_equip_2_01	15	soldier_equip_2_01
231	323	2	3	4,39;23,129;26,60	item177000000001,20;item177000000002,100	item1000,240000	soldier_equip_2_02	15	soldier_equip_2_02
232	324	2	3	4,51;24,101;26,91	item177000000001,15;item177000000002,75	item1000,300000	soldier_equip_2_03	15	soldier_equip_2_03
233	325	2	3	1,726;22,64;23,76	item177000000001,25;item177000000002,125	item1000,300000	soldier_equip_2_04	15	soldier_equip_2_04
234	326	2	3	4,24;22,101;25,48	item177000000001,15;item177000000002,75	item1000,150000	soldier_equip_2_05	15	soldier_equip_2_05
235	331	2	3	3,113;21,122;25,122	item177000000001,34;item177000000002,170	item1000,600000	soldier_equip_weapon_2_05	15	soldier_equip_weapon_2_05
236	332	2	3	1,424;21,101;24,76	item177000000001,20;item177000000002,100	item1000,240000	soldier_equip_2_01	15	soldier_equip_2_01
237	333	2	3	4,36;23,91;26,54	item177000000001,20;item177000000002,100	item1000,240000	soldier_equip_2_02	15	soldier_equip_2_02
238	334	2	3	4,51;24,116;26,79	item177000000001,15;item177000000002,75	item1000,300000	soldier_equip_2_03	15	soldier_equip_2_03
239	335	2	3	1,747;22,70;23,51	item177000000001,25;item177000000002,125	item1000,300000	soldier_equip_2_04	15	soldier_equip_2_04
240	336	2	3	4,24;22,113;25,39	item177000000001,15;item177000000002,75	item1000,150000	soldier_equip_2_05	15	soldier_equip_2_05
241	341	2	3	3,101;21,110;25,153	item177000000001,34;item177000000002,170	item1000,600000	soldier_equip_weapon_2_02	15	soldier_equip_weapon_2_02
242	342	2	3	1,461;21,91;24,85	item177000000001,20;item177000000002,100	item1000,240000	soldier_equip_2_01	15	soldier_equip_2_01
243	343	2	3	4,36;23,60;26,70	item177000000001,20;item177000000002,100	item1000,240000	soldier_equip_2_02	15	soldier_equip_2_02
244	344	2	3	4,51;24,129;26,107	item177000000001,15;item177000000002,75	item1000,300000	soldier_equip_2_03	15	soldier_equip_2_03
245	345	2	3	1,809;22,54;23,36	item177000000001,25;item177000000002,125	item1000,300000	soldier_equip_2_04	15	soldier_equip_2_04
246	346	2	3	4,24;22,85;25,48	item177000000001,15;item177000000002,75	item1000,150000	soldier_equip_2_05	15	soldier_equip_2_05
247	351	2	3	3,116;21,98;25,183	item177000000001,34;item177000000002,170	item1000,600000	soldier_equip_weapon_2_04	15	soldier_equip_weapon_2_04
248	352	2	3	1,439;21,85;24,60	item177000000001,20;item177000000002,100	item1000,240000	soldier_equip_2_01	15	soldier_equip_2_01
249	353	2	3	4,33;23,129;26,45	item177000000001,20;item177000000002,100	item1000,240000	soldier_equip_2_02	15	soldier_equip_2_02
250	354	2	3	4,48;24,91;26,67	item177000000001,15;item177000000002,75	item1000,300000	soldier_equip_2_03	15	soldier_equip_2_03
251	355	2	3	1,773;22,54;23,76	item177000000001,25;item177000000002,125	item1000,300000	soldier_equip_2_04	15	soldier_equip_2_04
252	356	2	3	4,24;22,85;25,60	item177000000001,15;item177000000002,75	item1000,150000	soldier_equip_2_05	15	soldier_equip_2_05
253	411	2	3	3,210;21,196;25,245	item177000000001,68;item177000000002,340	item1000,600000	soldier_equip_weapon_2_01	15	soldier_equip_weapon_2_01
254	412	2	3	1,1071;21,175;24,217	item177000000001,39;item177000000002,195	item1000,240000	soldier_equip_2_01	15	soldier_equip_2_01
255	413	2	3	4,91;23,266;26,182	item177000000001,40;item177000000002,200	item1000,240000	soldier_equip_2_02	15	soldier_equip_2_02
256	414	2	3	4,126;24,322;26,266	item177000000001,29;item177000000002,145	item1000,300000	soldier_equip_2_03	15	soldier_equip_2_03
257	415	2	3	1,1890;22,112;23,154	item177000000001,50;item177000000002,250	item1000,300000	soldier_equip_2_04	15	soldier_equip_2_04
258	416	2	3	4,70;22,175;25,77	item177000000001,30;item177000000002,150	item1000,150000	soldier_equip_2_05	15	soldier_equip_2_05
259	421	2	3	3,266;21,175;25,350	item177000000001,68;item177000000002,340	item1000,600000	soldier_equip_weapon_2_03	15	soldier_equip_weapon_2_03
260	422	2	3	1,945;21,147;24,161	item177000000001,39;item177000000002,195	item1000,240000	soldier_equip_2_01	15	soldier_equip_2_01
261	423	2	3	4,91;23,294;26,140	item177000000001,40;item177000000002,200	item1000,240000	soldier_equip_2_02	15	soldier_equip_2_02
262	424	2	3	4,119;24,231;26,210	item177000000001,29;item177000000002,145	item1000,300000	soldier_equip_2_03	15	soldier_equip_2_03
263	425	2	3	1,1652;22,147;23,175	item177000000001,50;item177000000002,250	item1000,300000	soldier_equip_2_04	15	soldier_equip_2_04
264	426	2	3	4,56;22,231;25,112	item177000000001,30;item177000000002,150	item1000,150000	soldier_equip_2_05	15	soldier_equip_2_05
265	431	2	3	3,259;21,280;25,280	item177000000001,68;item177000000002,340	item1000,600000	soldier_equip_weapon_2_05	15	soldier_equip_weapon_2_05
266	432	2	3	1,966;21,231;24,175	item177000000001,39;item177000000002,195	item1000,240000	soldier_equip_2_01	15	soldier_equip_2_01
267	433	2	3	4,84;23,210;26,126	item177000000001,40;item177000000002,200	item1000,240000	soldier_equip_2_02	15	soldier_equip_2_02
268	434	2	3	4,119;24,266;26,182	item177000000001,29;item177000000002,145	item1000,300000	soldier_equip_2_03	15	soldier_equip_2_03
269	435	2	3	1,1701;22,161;23,119	item177000000001,50;item177000000002,250	item1000,300000	soldier_equip_2_04	15	soldier_equip_2_04
270	436	2	3	4,56;22,259;25,91	item177000000001,30;item177000000002,150	item1000,150000	soldier_equip_2_05	15	soldier_equip_2_05
271	441	2	3	3,231;21,252;25,350	item177000000001,68;item177000000002,340	item1000,600000	soldier_equip_weapon_2_02	15	soldier_equip_weapon_2_02
272	442	2	3	1,1050;21,210;24,196	item177000000001,39;item177000000002,195	item1000,240000	soldier_equip_2_01	15	soldier_equip_2_01
273	443	2	3	4,84;23,140;26,161	item177000000001,40;item177000000002,200	item1000,240000	soldier_equip_2_02	15	soldier_equip_2_02
274	444	2	3	4,119;24,294;26,245	item177000000001,29;item177000000002,145	item1000,300000	soldier_equip_2_03	15	soldier_equip_2_03
275	445	2	3	1,1841;22,126;23,84	item177000000001,50;item177000000002,250	item1000,300000	soldier_equip_2_04	15	soldier_equip_2_04
276	446	2	3	4,56;22,196;25,112	item177000000001,30;item177000000002,150	item1000,150000	soldier_equip_2_05	15	soldier_equip_2_05
277	451	2	3	3,266;21,224;25,420	item177000000001,68;item177000000002,340	item1000,600000	soldier_equip_weapon_2_04	15	soldier_equip_weapon_2_04
278	452	2	3	1,1001;21,196;24,140	item177000000001,39;item177000000002,195	item1000,240000	soldier_equip_2_01	15	soldier_equip_2_01
279	453	2	3	4,77;23,294;26,105	item177000000001,40;item177000000002,200	item1000,240000	soldier_equip_2_02	15	soldier_equip_2_02
280	454	2	3	4,112;24,210;26,154	item177000000001,29;item177000000002,145	item1000,300000	soldier_equip_2_03	15	soldier_equip_2_03
281	455	2	3	1,1757;22,126;23,175	item177000000001,50;item177000000002,250	item1000,300000	soldier_equip_2_04	15	soldier_equip_2_04
282	456	2	3	4,56;22,196;25,140	item177000000001,30;item177000000002,150	item1000,150000	soldier_equip_2_05	15	soldier_equip_2_05
283	461	2	3	3,196;21,196;25,245	item177000000001,68;item177000000002,340	item1000,600000	soldier_equip_weapon_2_06	15	soldier_equip_weapon_2_06
284	462	2	3	1,16828;21,3339;24,2870	item177000000001,39;item177000000002,195	item1000,240000	soldier_equip_2_01	15	soldier_equip_2_01
285	463	2	3	4,91;23,231;26,140	item177000000001,40;item177000000002,200	item1000,240000	soldier_equip_2_02	15	soldier_equip_2_02
286	464	2	3	4,126;24,322;26,210	item177000000001,29;item177000000002,145	item1000,300000	soldier_equip_2_03	15	soldier_equip_2_03
287	465	2	3	1,1946;22,161;23,140	item177000000001,50;item177000000002,250	item1000,300000	soldier_equip_2_04	15	soldier_equip_2_04
288	466	2	3	4,70;22,259;25,77	item177000000001,30;item177000000002,150	item1000,150000	soldier_equip_2_05	15	soldier_equip_2_05
289	211	3	3	3,54;21,51;25,63	item177000000001,40;item177000000002,200	item1000,800000	soldier_equip_weapon_2_01	20	soldier_equip_weapon_2_01
290	212	3	3	1,276;21,45;24,56	item177000000001,23;item177000000002,115	item1000,320000	soldier_equip_2_01	20	soldier_equip_2_01
291	213	3	3	4,24;23,69;26,47	item177000000001,23;item177000000002,115	item1000,320000	soldier_equip_2_02	20	soldier_equip_2_02
292	214	3	3	4,33;24,83;26,69	item177000000001,17;item177000000002,85	item1000,400000	soldier_equip_2_03	20	soldier_equip_2_03
293	215	3	3	1,486;22,29;23,40	item177000000001,29;item177000000002,145	item1000,400000	soldier_equip_2_04	20	soldier_equip_2_04
294	216	3	3	4,18;22,45;25,20	item177000000001,18;item177000000002,90	item1000,200000	soldier_equip_2_05	20	soldier_equip_2_05
295	221	3	3	3,68;21,45;25,91	item177000000001,40;item177000000002,200	item1000,800000	soldier_equip_weapon_2_03	20	soldier_equip_weapon_2_03
296	222	3	3	1,243;21,38;24,41	item177000000001,23;item177000000002,115	item1000,320000	soldier_equip_2_01	20	soldier_equip_2_01
297	223	3	3	4,23;23,76;26,37	item177000000001,23;item177000000002,115	item1000,320000	soldier_equip_2_02	20	soldier_equip_2_02
298	224	3	3	4,31;24,60;26,54	item177000000001,17;item177000000002,85	item1000,400000	soldier_equip_2_03	20	soldier_equip_2_03
299	225	3	3	1,425;22,38;23,45	item177000000001,29;item177000000002,145	item1000,400000	soldier_equip_2_04	20	soldier_equip_2_04
300	226	3	3	4,15;22,59;25,29	item177000000001,18;item177000000002,90	item1000,200000	soldier_equip_2_05	20	soldier_equip_2_05
301	231	3	3	3,67;21,72;25,72	item177000000001,40;item177000000002,200	item1000,800000	soldier_equip_weapon_2_05	20	soldier_equip_weapon_2_05
302	232	3	3	1,249;21,60;24,45	item177000000001,23;item177000000002,115	item1000,320000	soldier_equip_2_01	20	soldier_equip_2_01
303	233	3	3	4,22;23,54;26,32	item177000000001,23;item177000000002,115	item1000,320000	soldier_equip_2_02	20	soldier_equip_2_02
304	234	3	3	4,31;24,69;26,47	item177000000001,17;item177000000002,85	item1000,400000	soldier_equip_2_03	20	soldier_equip_2_03
305	235	3	3	1,438;22,42;23,31	item177000000001,29;item177000000002,145	item1000,400000	soldier_equip_2_04	20	soldier_equip_2_04
306	236	3	3	4,15;22,67;25,23	item177000000001,18;item177000000002,90	item1000,200000	soldier_equip_2_05	20	soldier_equip_2_05
307	241	3	3	3,60;21,65;25,91	item177000000001,40;item177000000002,200	item1000,800000	soldier_equip_weapon_2_02	20	soldier_equip_weapon_2_02
308	242	3	3	1,270;21,55;24,51	item177000000001,23;item177000000002,115	item1000,320000	soldier_equip_2_01	20	soldier_equip_2_01
309	243	3	3	4,22;23,37;26,42	item177000000001,23;item177000000002,115	item1000,320000	soldier_equip_2_02	20	soldier_equip_2_02
310	244	3	3	4,31;24,76;26,63	item177000000001,17;item177000000002,85	item1000,400000	soldier_equip_2_03	20	soldier_equip_2_03
311	245	3	3	1,473;22,33;23,22	item177000000001,29;item177000000002,145	item1000,400000	soldier_equip_2_04	20	soldier_equip_2_04
312	246	3	3	4,15;22,51;25,29	item177000000001,18;item177000000002,90	item1000,200000	soldier_equip_2_05	20	soldier_equip_2_05
313	251	3	3	3,69;21,58;25,109	item177000000001,40;item177000000002,200	item1000,800000	soldier_equip_weapon_2_04	20	soldier_equip_weapon_2_04
314	252	3	3	1,258;21,50;24,36	item177000000001,23;item177000000002,115	item1000,320000	soldier_equip_2_01	20	soldier_equip_2_01
315	253	3	3	4,20;23,76;26,27	item177000000001,23;item177000000002,115	item1000,320000	soldier_equip_2_02	20	soldier_equip_2_02
316	254	3	3	4,29;24,54;26,40	item177000000001,17;item177000000002,85	item1000,400000	soldier_equip_2_03	20	soldier_equip_2_03
317	255	3	3	1,452;22,33;23,45	item177000000001,29;item177000000002,145	item1000,400000	soldier_equip_2_04	20	soldier_equip_2_04
318	256	3	3	4,15;22,51;25,36	item177000000001,18;item177000000002,90	item1000,200000	soldier_equip_2_05	20	soldier_equip_2_05
319	311	3	3	3,164;21,155;25,193	item177000000001,78;item177000000002,390	item1000,800000	soldier_equip_weapon_2_01	20	soldier_equip_weapon_2_01
320	312	3	3	1,848;21,137;24,171	item177000000001,45;item177000000002,225	item1000,320000	soldier_equip_2_01	20	soldier_equip_2_01
321	313	3	3	4,72;23,211;26,143	item177000000001,46;item177000000002,230	item1000,320000	soldier_equip_2_02	20	soldier_equip_2_02
322	314	3	3	4,100;24,254;26,211	item177000000001,34;item177000000002,170	item1000,400000	soldier_equip_2_03	20	soldier_equip_2_03
323	315	3	3	1,1495;22,88;23,122	item177000000001,57;item177000000002,285	item1000,400000	soldier_equip_2_04	20	soldier_equip_2_04
324	316	3	3	4,54;22,137;25,60	item177000000001,35;item177000000002,175	item1000,200000	soldier_equip_2_05	20	soldier_equip_2_05
325	321	3	3	3,208;21,137;25,279	item177000000001,78;item177000000002,390	item1000,800000	soldier_equip_weapon_2_03	20	soldier_equip_weapon_2_03
326	322	3	3	1,747;21,116;24,125	item177000000001,45;item177000000002,225	item1000,320000	soldier_equip_2_01	20	soldier_equip_2_01
327	323	3	3	4,69;23,233;26,112	item177000000001,46;item177000000002,230	item1000,320000	soldier_equip_2_02	20	soldier_equip_2_02
328	324	3	3	4,94;24,184;26,164	item177000000001,34;item177000000002,170	item1000,400000	soldier_equip_2_03	20	soldier_equip_2_03
329	325	3	3	1,1308;22,116;23,137	item177000000001,57;item177000000002,285	item1000,400000	soldier_equip_2_04	20	soldier_equip_2_04
330	326	3	3	4,45;22,181;25,88	item177000000001,35;item177000000002,175	item1000,200000	soldier_equip_2_05	20	soldier_equip_2_05
331	331	3	3	3,205;21,220;25,220	item177000000001,78;item177000000002,390	item1000,800000	soldier_equip_weapon_2_05	20	soldier_equip_weapon_2_05
332	332	3	3	1,765;21,184;24,137	item177000000001,45;item177000000002,225	item1000,320000	soldier_equip_2_01	20	soldier_equip_2_01
333	333	3	3	4,66;23,164;26,97	item177000000001,46;item177000000002,230	item1000,320000	soldier_equip_2_02	20	soldier_equip_2_02
334	334	3	3	4,94;24,211;26,143	item177000000001,34;item177000000002,170	item1000,400000	soldier_equip_2_03	20	soldier_equip_2_03
335	335	3	3	1,1347;22,128;23,94	item177000000001,57;item177000000002,285	item1000,400000	soldier_equip_2_04	20	soldier_equip_2_04
336	336	3	3	4,45;22,205;25,69	item177000000001,35;item177000000002,175	item1000,200000	soldier_equip_2_05	20	soldier_equip_2_05
337	341	3	3	3,184;21,199;25,279	item177000000001,78;item177000000002,390	item1000,800000	soldier_equip_weapon_2_02	20	soldier_equip_weapon_2_02
338	342	3	3	1,830;21,168;24,155	item177000000001,45;item177000000002,225	item1000,320000	soldier_equip_2_01	20	soldier_equip_2_01
339	343	3	3	4,66;23,112;26,128	item177000000001,46;item177000000002,230	item1000,320000	soldier_equip_2_02	20	soldier_equip_2_02
340	344	3	3	4,94;24,233;26,193	item177000000001,34;item177000000002,170	item1000,400000	soldier_equip_2_03	20	soldier_equip_2_03
341	345	3	3	1,1455;22,100;23,66	item177000000001,57;item177000000002,285	item1000,400000	soldier_equip_2_04	20	soldier_equip_2_04
342	346	3	3	4,45;22,155;25,88	item177000000001,35;item177000000002,175	item1000,200000	soldier_equip_2_05	20	soldier_equip_2_05
343	351	3	3	3,211;21,178;25,333	item177000000001,78;item177000000002,390	item1000,800000	soldier_equip_weapon_2_04	20	soldier_equip_weapon_2_04
344	352	3	3	1,793;21,152;24,109	item177000000001,45;item177000000002,225	item1000,320000	soldier_equip_2_01	20	soldier_equip_2_01
345	353	3	3	4,60;23,233;26,81	item177000000001,46;item177000000002,230	item1000,320000	soldier_equip_2_02	20	soldier_equip_2_02
346	354	3	3	4,88;24,164;26,122	item177000000001,34;item177000000002,170	item1000,400000	soldier_equip_2_03	20	soldier_equip_2_03
347	355	3	3	1,1392;22,100;23,137	item177000000001,57;item177000000002,285	item1000,400000	soldier_equip_2_04	20	soldier_equip_2_04
348	356	3	3	4,45;22,155;25,109	item177000000001,35;item177000000002,175	item1000,200000	soldier_equip_2_05	20	soldier_equip_2_05
349	411	3	3	3,378;21,357;25,441	item177000000001,158;item177000000002,790	item1000,800000	soldier_equip_weapon_2_01	20	soldier_equip_weapon_2_01
350	412	3	3	1,1932;21,315;24,392	item177000000001,91;item177000000002,455	item1000,320000	soldier_equip_2_01	20	soldier_equip_2_01
351	413	3	3	4,168;23,483;26,329	item177000000001,93;item177000000002,465	item1000,320000	soldier_equip_2_02	20	soldier_equip_2_02
352	414	3	3	4,231;24,581;26,483	item177000000001,68;item177000000002,340	item1000,400000	soldier_equip_2_03	20	soldier_equip_2_03
353	415	3	3	1,3402;22,203;23,280	item177000000001,115;item177000000002,575	item1000,400000	soldier_equip_2_04	20	soldier_equip_2_04
354	416	3	3	4,126;22,315;25,140	item177000000001,71;item177000000002,355	item1000,200000	soldier_equip_2_05	20	soldier_equip_2_05
355	421	3	3	3,476;21,315;25,637	item177000000001,158;item177000000002,790	item1000,800000	soldier_equip_weapon_2_03	20	soldier_equip_weapon_2_03
356	422	3	3	1,1701;21,266;24,287	item177000000001,91;item177000000002,455	item1000,320000	soldier_equip_2_01	20	soldier_equip_2_01
357	423	3	3	4,161;23,532;26,259	item177000000001,93;item177000000002,465	item1000,320000	soldier_equip_2_02	20	soldier_equip_2_02
358	424	3	3	4,217;24,420;26,378	item177000000001,68;item177000000002,340	item1000,400000	soldier_equip_2_03	20	soldier_equip_2_03
359	425	3	3	1,2975;22,266;23,315	item177000000001,115;item177000000002,575	item1000,400000	soldier_equip_2_04	20	soldier_equip_2_04
360	426	3	3	4,105;22,413;25,203	item177000000001,71;item177000000002,355	item1000,200000	soldier_equip_2_05	20	soldier_equip_2_05
361	431	3	3	3,469;21,504;25,504	item177000000001,158;item177000000002,790	item1000,800000	soldier_equip_weapon_2_05	20	soldier_equip_weapon_2_05
362	432	3	3	1,1743;21,420;24,315	item177000000001,91;item177000000002,455	item1000,320000	soldier_equip_2_01	20	soldier_equip_2_01
363	433	3	3	4,154;23,378;26,224	item177000000001,93;item177000000002,465	item1000,320000	soldier_equip_2_02	20	soldier_equip_2_02
364	434	3	3	4,217;24,483;26,329	item177000000001,68;item177000000002,340	item1000,400000	soldier_equip_2_03	20	soldier_equip_2_03
365	435	3	3	1,3066;22,294;23,217	item177000000001,115;item177000000002,575	item1000,400000	soldier_equip_2_04	20	soldier_equip_2_04
366	436	3	3	4,105;22,469;25,161	item177000000001,71;item177000000002,355	item1000,200000	soldier_equip_2_05	20	soldier_equip_2_05
367	441	3	3	3,420;21,455;25,637	item177000000001,158;item177000000002,790	item1000,800000	soldier_equip_weapon_2_02	20	soldier_equip_weapon_2_02
368	442	3	3	1,1890;21,385;24,357	item177000000001,91;item177000000002,455	item1000,320000	soldier_equip_2_01	20	soldier_equip_2_01
369	443	3	3	4,154;23,259;26,294	item177000000001,93;item177000000002,465	item1000,320000	soldier_equip_2_02	20	soldier_equip_2_02
370	444	3	3	4,217;24,532;26,441	item177000000001,68;item177000000002,340	item1000,400000	soldier_equip_2_03	20	soldier_equip_2_03
371	445	3	3	1,3311;22,231;23,154	item177000000001,115;item177000000002,575	item1000,400000	soldier_equip_2_04	20	soldier_equip_2_04
372	446	3	3	4,105;22,357;25,203	item177000000001,71;item177000000002,355	item1000,200000	soldier_equip_2_05	20	soldier_equip_2_05
373	451	3	3	3,483;21,406;25,763	item177000000001,158;item177000000002,790	item1000,800000	soldier_equip_weapon_2_04	20	soldier_equip_weapon_2_04
374	452	3	3	1,1806;21,350;24,252	item177000000001,91;item177000000002,455	item1000,320000	soldier_equip_2_01	20	soldier_equip_2_01
375	453	3	3	4,140;23,532;26,189	item177000000001,93;item177000000002,465	item1000,320000	soldier_equip_2_02	20	soldier_equip_2_02
376	454	3	3	4,203;24,378;26,280	item177000000001,68;item177000000002,340	item1000,400000	soldier_equip_2_03	20	soldier_equip_2_03
377	455	3	3	1,3164;22,231;23,315	item177000000001,115;item177000000002,575	item1000,400000	soldier_equip_2_04	20	soldier_equip_2_04
378	456	3	3	4,105;22,357;25,252	item177000000001,71;item177000000002,355	item1000,200000	soldier_equip_2_05	20	soldier_equip_2_05
379	461	3	3	3,357;21,357;25,441	item177000000001,158;item177000000002,790	item1000,800000	soldier_equip_weapon_2_06	20	soldier_equip_weapon_2_06
380	462	3	3	1,17584;21,3458;24,2996	item177000000001,91;item177000000002,455	item1000,320000	soldier_equip_2_01	20	soldier_equip_2_01
381	463	3	3	4,168;23,420;26,259	item177000000001,93;item177000000002,465	item1000,320000	soldier_equip_2_02	20	soldier_equip_2_02
382	464	3	3	4,231;24,581;26,378	item177000000001,68;item177000000002,340	item1000,400000	soldier_equip_2_03	20	soldier_equip_2_03
383	465	3	3	1,3507;22,294;23,252	item177000000001,115;item177000000002,575	item1000,400000	soldier_equip_2_04	20	soldier_equip_2_04
384	466	3	3	4,126;22,469;25,140	item177000000001,71;item177000000002,355	item1000,200000	soldier_equip_2_05	20	soldier_equip_2_05
385	211	4	3	3,84;21,80;25,98	item177000000001,48;item177000000002,240	item1000,1000000	soldier_equip_weapon_2_01	25	soldier_equip_weapon_2_01
386	212	4	3	1,430;21,70;24,87	item177000000001,28;item177000000002,140	item1000,400000	soldier_equip_2_01	25	soldier_equip_2_01
387	213	4	3	4,38;23,107;26,73	item177000000001,28;item177000000002,140	item1000,400000	soldier_equip_2_02	25	soldier_equip_2_02
388	214	4	3	4,52;24,129;26,108	item177000000001,20;item177000000002,100	item1000,500000	soldier_equip_2_03	25	soldier_equip_2_03
389	215	4	3	1,756;22,45;23,62	item177000000001,35;item177000000002,175	item1000,500000	soldier_equip_2_04	25	soldier_equip_2_04
390	216	4	3	4,28;22,70;25,31	item177000000001,21;item177000000002,105	item1000,250000	soldier_equip_2_05	25	soldier_equip_2_05
391	221	4	3	3,106;21,70;25,142	item177000000001,48;item177000000002,240	item1000,1000000	soldier_equip_weapon_2_03	25	soldier_equip_weapon_2_03
392	222	4	3	1,378;21,60;24,64	item177000000001,28;item177000000002,140	item1000,400000	soldier_equip_2_01	25	soldier_equip_2_01
393	223	4	3	4,36;23,119;26,58	item177000000001,28;item177000000002,140	item1000,400000	soldier_equip_2_02	25	soldier_equip_2_02
394	224	4	3	4,49;24,94;26,85	item177000000001,20;item177000000002,100	item1000,500000	soldier_equip_2_03	25	soldier_equip_2_03
395	225	4	3	1,661;22,60;23,70	item177000000001,35;item177000000002,175	item1000,500000	soldier_equip_2_04	25	soldier_equip_2_04
396	226	4	3	4,24;22,92;25,46	item177000000001,21;item177000000002,105	item1000,250000	soldier_equip_2_05	25	soldier_equip_2_05
397	231	4	3	3,104;21,112;25,113	item177000000001,48;item177000000002,240	item1000,1000000	soldier_equip_weapon_2_05	25	soldier_equip_weapon_2_05
398	232	4	3	1,388;21,94;24,71	item177000000001,28;item177000000002,140	item1000,400000	soldier_equip_2_01	25	soldier_equip_2_01
399	233	4	3	4,35;23,84;26,50	item177000000001,28;item177000000002,140	item1000,400000	soldier_equip_2_02	25	soldier_equip_2_02
400	234	4	3	4,48;24,107;26,74	item177000000001,20;item177000000002,100	item1000,500000	soldier_equip_2_03	25	soldier_equip_2_03
401	235	4	3	1,682;22,66;23,48	item177000000001,35;item177000000002,175	item1000,500000	soldier_equip_2_04	25	soldier_equip_2_04
402	236	4	3	4,24;22,104;25,36	item177000000001,21;item177000000002,105	item1000,250000	soldier_equip_2_05	25	soldier_equip_2_05
403	241	4	3	3,94;21,101;25,142	item177000000001,48;item177000000002,240	item1000,1000000	soldier_equip_weapon_2_02	25	soldier_equip_weapon_2_02
404	242	4	3	1,420;21,86;24,79	item177000000001,28;item177000000002,140	item1000,400000	soldier_equip_2_01	25	soldier_equip_2_01
405	243	4	3	4,35;23,58;26,66	item177000000001,28;item177000000002,140	item1000,400000	soldier_equip_2_02	25	soldier_equip_2_02
406	244	4	3	4,48;24,118;26,98	item177000000001,20;item177000000002,100	item1000,500000	soldier_equip_2_03	25	soldier_equip_2_03
407	245	4	3	1,736;22,52;23,34	item177000000001,35;item177000000002,175	item1000,500000	soldier_equip_2_04	25	soldier_equip_2_04
408	246	4	3	4,24;22,80;25,46	item177000000001,21;item177000000002,105	item1000,250000	soldier_equip_2_05	25	soldier_equip_2_05
409	251	4	3	3,108;21,91;25,170	item177000000001,48;item177000000002,240	item1000,1000000	soldier_equip_weapon_2_04	25	soldier_equip_weapon_2_04
410	252	4	3	1,402;21,78;24,56	item177000000001,28;item177000000002,140	item1000,400000	soldier_equip_2_01	25	soldier_equip_2_01
411	253	4	3	4,32;23,119;26,42	item177000000001,28;item177000000002,140	item1000,400000	soldier_equip_2_02	25	soldier_equip_2_02
412	254	4	3	4,45;24,84;26,62	item177000000001,20;item177000000002,100	item1000,500000	soldier_equip_2_03	25	soldier_equip_2_03
413	255	4	3	1,704;22,52;23,70	item177000000001,35;item177000000002,175	item1000,500000	soldier_equip_2_04	25	soldier_equip_2_04
414	256	4	3	4,24;22,80;25,56	item177000000001,21;item177000000002,105	item1000,250000	soldier_equip_2_05	25	soldier_equip_2_05
415	311	4	3	3,256;21,244;25,300	item177000000001,96;item177000000002,480	item1000,1000000	soldier_equip_weapon_2_01	25	soldier_equip_weapon_2_01
416	312	4	3	1,1322;21,214;24,266	item177000000001,55;item177000000002,275	item1000,400000	soldier_equip_2_01	25	soldier_equip_2_01
417	313	4	3	4,115;23,328;26,223	item177000000001,56;item177000000002,280	item1000,400000	soldier_equip_2_02	25	soldier_equip_2_02
418	314	4	3	4,158;24,395;26,331	item177000000001,41;item177000000002,205	item1000,500000	soldier_equip_2_03	25	soldier_equip_2_03
419	315	4	3	1,2326;22,137;23,189	item177000000001,70;item177000000002,350	item1000,500000	soldier_equip_2_04	25	soldier_equip_2_04
420	316	4	3	4,84;22,214;25,93	item177000000001,43;item177000000002,215	item1000,250000	soldier_equip_2_05	25	soldier_equip_2_05
421	321	4	3	3,325;21,214;25,436	item177000000001,96;item177000000002,480	item1000,1000000	soldier_equip_weapon_2_03	25	soldier_equip_weapon_2_03
