流水ID	动作集ID	动作编号	动作名字	是否循环动作	无法融合切换	立刻切换
1141	15	83	skill03		1	
1142	15	84	skill04		1	
1143	15	85	skill05		1	
1144	15	86	skill06		1	
1145	15	87	skill07		1	
1146	15	88	skill0301		1	
1147	15	89	skill0302		1	
1148	15	90	skill0303		1	
1149	15	91	skill0101		1	
1150	15	92	skill0102		1	
1151	15	93	skill0103		1	
1152	15	94	skill0201		1	
1153	15	95	skill0202		1	
1154	15	96	skill0203		1	
1155	15	97	skill0401		1	
1156	15	98	skill0402		1	
1157	15	2	idle01		1	
1158	15	3	idle02		1	
1159	15	101	atk02		1	
1160	9	100	atk01			
1161	9	5	show01			
1162	9	122	skill01			
1163	9	10	skill02			
1164	9	32	die01			
1165	9	8	frun01			
1166	9	9	walk01			
1167	9	11	die01			
1168	9	12	birth01			
1169	9	13	showidle01			
1170	9	14	jump01			
1171	9	15	jump02			
1172	9	16	spec01			
1173	9	17	fury01			
1174	9	18	spec0201			
1175	9	19	spec0202			
1176	9	20	spec02			
1177	9	21	petshow01			
1178	9	42	plot04			
1179	9	43	plot05			
1180	9	44	idle03			
1181	9	51	trans01			
1182	9	52	trans02			
1183	9	72	plot01			
1184	9	81	skill01			
1185	9	82	skill02			
1186	9	83	skill03			
1187	9	84	skill04			
1188	9	85	skill05			
1189	9	86	skill06			
1190	9	87	skill07			
1191	9	88	skill0301			
1192	9	89	skill0302			
1193	9	90	skill0303			
1194	9	91	skill0101			
1195	9	92	skill0102			
1196	9	93	skill0103			
1197	9	94	skill0201			
1198	9	95	skill0202			
1199	9	96	skill0203			
1200	9	97	skill0401			
1201	9	98	skill0402			
1202	9	99	skill0403			
1203	9	101	atk02			
1204	9	102	atk03			
1205	9	103	atk04			
1206	9	104	atk05			
1207	9	105	atk06			
1208	9	106	atk07			
1209	9	107	atk08			
1210	9	108	atk09			
1211	9	109	atk10			
1212	9	110	atk01			
1213	9	140	skill0501			
1214	9	141	skill0502			
1215	9	142	skill0503			
1216	9	143	skill0601			
1217	9	144	skill0602			
1218	9	145	skill0603			
1219	9	146	skill0701			
1220	9	147	skill0702			
1221	9	148	skill0703			
1222	9	149	skill0801			
1223	9	150	skill0802			
1224	9	151	skill0803			
1225	9	152	skill0901			
1226	9	153	skill0902			
1227	9	154	skill0903			
1228	9	155	skill1001			
1229	9	156	skill1002			
1230	9	157	skill1003			
1231	9	158	skill08			
1232	9	159	skill09			
1233	9	160	skill10			
1234	9	161	skill11			
1235	9	162	skill12			
1236	9	163	skill13			
1237	9	164	skill14			
1238	9	165	skill15			
1239	9	166	skill16			
1240	9	167	skill17			
1241	9	168	skill18			
1242	9	169	skill19			
1243	9	201	plot01			
1244	9	202	plot02			
1245	9	203	plot03			
1246	9	204	plot04			
1247	9	205	plot05			
1248	9	206	plot06			
1249	9	207	plot07			
1250	9	208	plot08			
1251	9	209	plot09			
1252	9	210	plot010			
1253	9	211	plot011			
1254	9	212	plot012			
1255	9	213	plot013			
1256	9	214	plot014			
1257	9	215	plot015			
1258	9	216	plot016			
1259	9	217	plot017			
1260	9	218	plot018			
1261	9	219	plot019			
1262	9	220	plot020			
1263	9	1	idle01			
1264	9	2	idle01			
1265	9	3	showidle01			
1266	9	4	function01			
1267	9	22	injury01			
1268	39	1	ridle10		1	
1269	39	2	ridle10		1	
1270	39	5	ridle10		1	
1271	39	9	ridle10		1	
1272	39	9	ridle10		1	
1273	39	11	ridle10		1	
1274	40	1	ridle11		1	
1275	40	2	ridle11		1	
1276	40	5	ridle11		1	
1277	40	9	ridle11		1	
1278	40	9	ridle11		1	
1279	40	11	ridle11		1	
1280	41	1	ridle12		1	
1281	41	2	ridle12		1	
1282	41	5	ridle12		1	
1283	41	9	ridle12		1	
1284	41	9	ridle12		1	
1285	41	11	ridle12		1	
1286	1	110	roll01			
1287	43	1	idle01			
1288	43	2	idle01			
1289	43	5	show01			
1290	43	8	run01			1
1291	43	9	run01			1
1292	43	100	skill01		1	
1293	43	120	collect01			
1294	43	121	interaction01			
1295	43	122	idle01			
1296	44	2	bind001			
1297	45	1	idle02			
1298	45	2	idle02			
1299	45	3	show02			
1300	45	4	idle02			
1301	45	5	show01			
1302	45	6	show02			
1303	45	7	idle02			
1304	45	8	walk01			
1305	45	9	walk01			
1306	45	10	injury01			
1307	45	11	die02			
1308	45	12	birth01			
1309	45	13	show01			
1310	45	14	fury01			
1311	45	15	injury0201			
1312	45	16	injury0202	1		
1313	45	17	injury0203			
1314	45	20	blackout01	1		
1315	45	21	birth02	1		
1316	45	41	disableshow01			
1317	45	42	petshow01			
1318	45	43	petfun01			
1319	45	81	skill01			
1320	45	82	skill02			
1321	45	83	skill03			
1322	45	84	skill04			
1323	45	85	skill05			
1324	45	86	skill06			
1325	45	87	skill07			
1326	45	88	skill0301			
1327	45	89	skill0302			
1328	45	90	skill0303			
1329	45	91	skill0101			
1330	45	92	skill0102			
1331	45	93	skill0103			
1332	45	94	skill0201			
1333	45	95	skill0202			
1334	45	96	skill0203			
1335	45	97	skill0401			
1336	45	98	skill0402			
1337	45	99	skill0403			
1338	45	100	atk01			
1339	45	101	atk02			
1340	45	102	atk03			
1341	45	403	skill03			
1342	45	801	skill0701			
1343	45	802	skill0702			
1344	45	803	skill0703			
1345	45	900	skill0501			
1346	45	901	skill0502			
1347	45	902	skill0503			
1348	45	903	skill0504			
1349	45	904	skill0601			
1350	45	905	skill0602			
1351	45	906	skill0603			
1352	45	907	skill08			
1353	45	908	skill09			
1354	45	909	skill10			
1355	45	910	skill11			
1356	45	911	skill12			
1357	45	912	skill1301			
1358	45	913	skill1302			
1359	45	914	skill1303			
1360	46	1	idle01		1	
1361	46	2	idle01		1	
1362	46	100	show01		1	
1363	46	5	show02		1	
1364	46	122	show04		1	
1365	46	10	show03		1	
1366	46	8	walk01		1	
1367	46	9	walk01		1	
1368	46	32	skill01		1	
1369	47	100	atk01		1	
1370	47	81	skill01		1	
1371	47	82	skill02		1	
1372	47	5	show01			
1373	47	9	walk01			
1374	47	11	die01			
1375	47	12	birth01			
1376	47	10	injury01			
1377	47	1	idle01			
1378	47	2	idle01			
