流水Id	配置ID	常规/活动	展示佣兵编号	展示道具ID	概率描述的语言	模型显示	UI界面模型倍数	UI界面模型位置	背景图名称	模型喊话语言	常规宣传语言	活动宣传语言
53	54	2	soldier_npc_10021;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10021	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery33;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery65
54	55	2	soldier_npc_10022;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10022	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery31;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery66
55	56	2	soldier_npc_10027;soldier_npc_10019;soldier_npc_10017;soldier_npc_10016;soldier_npc_10015;soldier_npc_10010;soldier_npc_10013;soldier_npc_10009;soldier_npc_10008;soldier_npc_10007;soldier_npc_10006;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10027	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery69;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery70
56	57	2	soldier_npc_10026;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10026	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery41;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery62
57	58	2	soldier_npc_10024;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10024	0.800000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery37;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery64
58	59	2	soldier_npc_10025;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10025	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery39;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery68
59	60	2	soldier_npc_10030;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10030	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery71;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery72
60	61	2	soldier_npc_10027;soldier_npc_10019;soldier_npc_10017;soldier_npc_10016;soldier_npc_10015;soldier_npc_10010;soldier_npc_10013;soldier_npc_10009;soldier_npc_10008;soldier_npc_10007;soldier_npc_10006;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10027	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery69;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery70
64	65	2	soldier_npc_10027;soldier_npc_10019;soldier_npc_10017;soldier_npc_10016;soldier_npc_10015;soldier_npc_10010;soldier_npc_10013;soldier_npc_10009;soldier_npc_10008;soldier_npc_10007;soldier_npc_10006;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10027	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery69;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery74
65	66	2	soldier_npc_10026;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10026	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery41;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery75
66	67	2	soldier_npc_10024;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10024	0.800000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery37;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery76
67	68	2	soldier_npc_10025;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10025	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery39;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery77
68	69	2	soldier_npc_10030;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10030	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery71;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery72
69	70	2	soldier_npc_10027;soldier_npc_10019;soldier_npc_10017;soldier_npc_10016;soldier_npc_10015;soldier_npc_10010;soldier_npc_10013;soldier_npc_10009;soldier_npc_10008;soldier_npc_10007;soldier_npc_10006;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10027	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery69;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery70
70	71	2	soldier_npc_10020;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10020	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery35;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery78
71	72	2	soldier_npc_10021;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10021	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery33;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery79
72	73	2	soldier_npc_10022;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10022	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery31;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery80
73	74	2	soldier_npc_10027;soldier_npc_10019;soldier_npc_10017;soldier_npc_10016;soldier_npc_10015;soldier_npc_10010;soldier_npc_10013;soldier_npc_10009;soldier_npc_10008;soldier_npc_10007;soldier_npc_10006;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10027	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery69;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery81
74	75	2	soldier_npc_10026;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10026	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery41;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery82
75	76	2	soldier_npc_10024;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10024	0.800000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery37;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery83
76	77	2	soldier_npc_10025;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10025	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery39;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery84
77	78	2	soldier_npc_10030;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10030	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery71;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery85
78	79	2	soldier_npc_10027;soldier_npc_10019;soldier_npc_10017;soldier_npc_10016;soldier_npc_10015;soldier_npc_10010;soldier_npc_10013;soldier_npc_10009;soldier_npc_10008;soldier_npc_10007;soldier_npc_10006;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10027	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery69;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery86
79	80	2	soldier_npc_10032;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10032	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery87;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery88
80	81	2	soldier_npc_10021;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10021	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery33;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery89
81	82	2	soldier_npc_10022;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10022	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery31;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery90
82	83	2	soldier_npc_10020;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10020	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery35;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery91
83	84	2	soldier_npc_10026;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10026	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery41;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery92
