流水ID	提示ID	显示类型	对话内容	说话者的对象类	说话者的对象ID	语音ID	显示时间	提示等级
363	Tips_300121_01	1	Scene300121_Warning20	npc	monster31000708	0	3.000000	0
364	Tips_300121_02	1	Scene300121_Warning21	npc	monster31000708	0	3.000000	0
365	Tips_300121_03	1	Scene300121_Warning22	npc	monster31000708	0	3.000000	0
366	Tips_300121_04	1	Scene300121_Warning23	npc	monster31000708	0	3.000000	0
367	Tips_300121_05	1	Scene300121_Warning24	npc	monster31000708	0	3.000000	0
368	Tips_300121_06	1	Scene300121_Warning25	npc	monster31000708	0	5.000000	0
369	Tips_300121_07	1	Scene300121_Warning26	npc	monster31000708	0	5.000000	0
370	Tips_300121_08	1	Scene300121_Warning27	npc	monster31000708	0	5.000000	0
371	Tips_300121_09	1	Scene300121_Warning28	npc	monster31000708	0	5.000000	0
372	Tips_300121_10	1	Scene300121_Warning29	npc	monster31000708	0	5.000000	0
373	Tips_300121_11	1	Scene300121_Warning30	npc	monster31000708	0	5.000000	0
374	Tips_300122_01	1	Scene300122_Warning20	npc	monster31000708	0	3.000000	0
375	Tips_300122_02	1	Scene300122_Warning21	npc	monster31000708	0	3.000000	0
376	Tips_300122_03	1	Scene300122_Warning22	npc	monster31000708	0	3.000000	0
377	Tips_300122_04	1	Scene300122_Warning23	npc	monster31000708	0	3.000000	0
378	Tips_300122_05	1	Scene300122_Warning24	npc	monster31000708	0	3.000000	0
379	Tips_300122_06	1	Scene300122_Warning25	npc	monster31000708	0	5.000000	0
380	Tips_300122_07	1	Scene300122_Warning26	npc	monster31000708	0	5.000000	0
381	Tips_300122_08	1	Scene300122_Warning27	npc	monster31000708	0	5.000000	0
382	Tips_300122_09	1	Scene300122_Warning28	npc	monster31000708	0	5.000000	0
383	Tips_300122_10	1	Scene300122_Warning29	npc	monster31000708	0	5.000000	0
384	Tips_300122_11	1	Scene300122_Warning30	npc	monster31000708	0	5.000000	0
