编号	动作编号	普攻标识	播放倍率	是否循环动作	动作编号	动作名字	前摇时间	后摇时间	结束判定帧
411	2042002	1	1.000000		100	atk01	0.370000	1.630000	1.630000
412	2042002		1.000000		81	skill01	0.330000	2.170000	2.170000
413	2042002		1.000000		82	skill02	0.470000	2.800000	2.800000
414	2042002		1.000000		16	spec01	0.370000	1.300000	1.300000
415	2042002		1.000000		83	skill03	0.570000	2.570000	2.570000
416	2042002		1.000000		84	skill04	1.430000	0.930000	0.930000
417	2043002	1	1.000000		100	atk01	0.430000	1.570000	1.570000
418	2043002		1.000000		81	skill01	0.530000	1.470000	1.470000
419	2043002		1.000000		82	skill02	0.530000	0.730000	0.730000
420	2043002		1.000000		88	skill0301	0.000000	0.600000	0.600000
421	2043002		1.000000		89	skill0302	0.370000	1.300000	1.300000
422	2043002		1.000000		16	spec01	2.330000	0.670000	0.670000
423	2044002	1	1.000000		100	atk01	0.370000	1.630000	1.630000
424	2045002	1	1.000000		100	atk01	0.330000	1.670000	1.670000
425	2045002		1.000000		81	skill01	0.900000	1.130000	1.130000
426	2045002		1.000000		82	skill02	0.800000	1.870000	1.870000
427	2045002		1.000000		16	spec01	1.700000	1.700000	1.700000
428	2046002	1	1.000000		100	atk01	0.330000	1.670000	1.670000
429	2046002		1.000000		81	skill01	1.070000	1.530000	1.530000
430	2046002		1.000000		16	spec01	1.230000	1.330000	1.330000
431	2046002		1.000000		82	skill02	1.700000	1.230000	1.230000
432	2046002		1.000000		83	skill03	1.670000	0.900000	0.900000
433	2046002		1.000000		84	skill04	0.270000	2.330000	2.330000
434	2047002	1	1.000000		100	atk01	0.370000	1.630000	1.630000
435	2047002		1.000000		81	skill01	1.130000	1.170000	1.170000
436	2047002		1.000000		83	skill03	1.830000	1.170000	1.170000
437	2047002		1.000000		16	spec01	0.700000	2.230000	2.230000
438	2047002		1.000000		84	skill04	1.370000	1.330000	1.330000
439	2048002	1	1.000000		100	atk01	0.400000	1.600000	1.600000
440	2051002	1	1.000000		100	atk01	0.430000	1.570000	1.570000
441	2051002		1.000000		82	skill02	0.700000	1.270000	1.270000
442	2051002		1.000000		17	skill03	0.670000	2.870000	2.870000
443	2052002	1	1.000000		100	atk01	0.470000	1.530000	1.530000
444	2053002		1.000000		91	skill0101	0.900000	0.570000	0.570000
445	2053002		1.000000		92	skill0102	0.000000	1.100000	1.100000
446	2053002		1.000000		82	skill02	0.970000	1.430000	1.430000
447	2053002	1	1.000000		100	atk01	0.270000	1.730000	1.730000
448	2053002		1.000000		83	skill03	2.700000	1.830000	1.830000
449	2053002		1.000000		84	skill04	1.800000	1.200000	1.200000
450	2054002	1	1.000000		100	atk01	0.770000	1.230000	1.230000
451	2054002		1.000000		81	skill01	1.000000	1.070000	1.070000
452	2055002	1	1.000000		100	atk01	0.700000	1.300000	1.300000
453	2055002		1.000000		81	skill01	3.000000	1.030000	1.030000
454	2055002		1.000000		82	skill02	0.000000	0.870000	0.870000
455	2056002	1	1.000000		100	atk01	1.300000	1.130000	1.130000
456	2056002		1.000000		81	skill01	3.000000	1.770000	1.770000
457	2056002		1.000000		82	skill02	3.000000	1.700000	1.700000
458	2056002		1.000000		16	spec01	5.000000	0.530000	0.530000
459	2057002	1	1.000000		100	atk01	0.370000	1.630000	1.630000
460	2057002		1.000000		42	plot04	0.500000	0.570000	0.570000
461	2058002	1	1.000000		100	atk01	0.800000	1.200000	1.200000
462	2059002	1	1.000000		100	atk01	0.900000	1.870000	1.870000
463	2059002	1	1.000000		101	atk02	0.270000	0.870000	0.870000
464	2059002		1.000000		81	skill01	0.200000	3.630000	3.630000
465	2059002		1.000000		82	skill02	0.300000	0.830000	0.830000
466	2059002		1.000000		83	skill03	0.500000	0.500000	0.500000
467	2059002		0.800000		84	skill04	0.625000	1.000000	1.000000
468	2060002	1	1.000000		100	atk01	0.500000	1.500000	1.500000
469	2060002		1.000000		81	skill01	0.930000	1.300000	1.300000
470	2060002		1.000000		21	petshow01	0.000000	0.000000	0.000000
471	2060002		1.000000	1	42	plot04	3.400000	0.000000	0.000000
472	2061002	1	1.000000		100	atk01	0.470000	1.530000	1.530000
473	2062002	1	1.000000		100	atk01	0.830000	1.170000	1.170000
474	2062002		1.000000		81	skill01	1.870000	0.470000	0.470000
475	2062002		1.000000		94	skill0201	0.000000	0.800000	0.800000
476	2062002		1.000000		95	skill0202	0.000000	1.200000	1.200000
477	2062002		1.000000		96	skill0203	0.630000	0.870000	0.870000
478	2062002		1.000000		16	spec01	2.970000	1.800000	1.800000
479	2062002		1.000000		83	skill03	0.570000	0.900000	0.900000
480	2062002		1.000000		84	skill04	0.930000	2.270000	2.270000
481	2063002	1	1.000000		100	atk01	0.400000	1.600000	1.600000
482	2063002		1.000000		81	skill01	1.300000	4.430000	4.430000
483	2063002		1.000000		16	spec01	0.800000	1.030000	1.030000
484	2063002		1.000000		84	skill04	2.300000	0.670000	0.670000
485	2064002	1	1.000000		100	atk01	0.330000	1.670000	1.670000
486	2064002	1	1.000000		101	atk02	0.430000	0.730000	0.730000
487	2064002		1.000000		81	skill01	0.470000	2.200000	2.200000
488	2064002		1.000000		84	skill04	0.370000	2.030000	2.030000
489	2065002	1	1.000000		100	atk01	0.270000	0.830000	0.830000
490	2057002	1	1.000000		100	atk01	0.470000	0.630000	0.630000
491	2057002		1.000000		82	skill02	1.130000	1.370000	1.370000
492	2057002		1.000000		83	skill03	1.330000	1.000000	1.000000
493	2066002		1.000000		81	skill01	0.830000	1.170000	1.170000
494	2067002	1	1.000000		100	atk01	0.370000	0.770000	0.770000
495	2067002		1.000000		81	skill01	0.930000	0.730000	0.730000
496	2067002		1.000000		94	skill0201	0.000000	0.700000	0.700000
497	2067002		1.000000		95	skill0202	0.000000	0.500000	0.500000
498	2067002		1.000000		96	skill0203	0.000000	0.530000	0.530000
499	2067002		1.000000		83	skill03	0.430000	0.900000	0.900000
500	2067002		1.000000		16	spec01	0.670000	1.130000	1.130000
501	2068002	1	1.000000		100	atk01	0.370000	0.870000	0.870000
502	2068002		1.000000		82	skill02	0.400000	1.200000	1.200000
503	2068002		1.000000		20	spec02	0.000000	2.530000	2.530000
504	2069002	1	1.000000		100	atk01	0.500000	0.770000	0.770000
505	2069002		1.000000		81	skill01	0.530000	1.830000	1.830000
506	2069002		1.000000		82	skill02	0.300000	1.670000	1.670000
507	2069002		1.000000		42	plot04	4.500000	0.500000	0.500000
508	2069002		1.000000		101	atk02	0.900000	1.130000	1.130000
509	2069002		1.000000		83	skill03	1.670000	1.930000	1.930000
510	2069002		1.000000		84	skill04	5.270000	1.900000	1.900000
511	2069002		1.000000		43	plot05	1.870000	0.800000	0.800000
512	2069002		1.000000		72	plot01	0.000000	2.030000	2.030000
513	2069002		1.000000		5	show01	1.170000	0.930000	0.930000
514	2069002		1.000000		16	spec01	1.330000	1.600000	1.600000
515	2070002	1	1.000000		100	atk01	0.470000	1.130000	1.130000
516	2070002		1.000000		201	plot01	0.000000	4.830000	4.830000
517	2070002		1.000000		204	plot04	0.400000	1.130000	1.130000
518	2070002		1.000000		208	plot08	0.300000	0.970000	0.970000
519	2070002		1.000000		210	plot010	0.000000	1.670000	1.670000
520	2070002		1.000000		211	plot011	0.200000	1.470000	1.470000
521	2152002	1	1.000000		100	atk01	0.470000	1.130000	1.130000
522	2152002		1.000000		201	plot01	0.000000	4.830000	4.830000
523	2152002		1.000000		204	plot04	0.400000	1.130000	1.130000
524	2153002	1	1.000000		100	atk01	0.530000	1.070000	1.070000
525	2153002		1.000000		81	skill01	3.100000	3.800000	3.800000
526	2153002		1.000000		82	skill02	0.630000	2.500000	2.500000
527	2153002		1.000000		88	skill0301	1.400000	0.100000	0.100000
528	2153002		1.000000	1	89	skill0302	1.400000	0.100000	0.100000
529	2153002		1.000000		90	skill0303	0.100000	1.400000	1.400000
530	3000004	1	1.000000		100	atk01	0.530000	2.470000	2.470000
531	3000004	1	1.000000		101	atk02	0.570000	2.430000	2.430000
532	3000004		1.000000		81	skill01	3.000000	1.270000	1.270000
533	3000004		1.000000		82	skill02	3.000000	1.900000	1.900000
534	3000004		1.000000		83	skill03	2.400000	2.500000	2.500000
535	3000004		1.000000		84	skill04	1.630000	3.370000	3.370000
536	3000004		1.000000		85	skill05	3.000000	1.070000	1.070000
537	3000004		1.000000		86	skill06	2.000000	0.670000	0.670000
538	3000004		1.000000		87	skill07	3.000000	1.500000	1.500000
539	3001004	1	1.000000		100	atk01	0.470000	2.530000	2.530000
540	3001004	1	1.000000		101	atk02	0.470000	2.530000	2.530000
541	3001004	1	1.000000		102	atk03	0.470000	2.530000	2.530000
542	3001004		1.000000		81	skill01	1.500000	0.900000	0.900000
543	3001004		1.000000		82	skill02	0.630000	2.670000	2.670000
544	3001004		1.000000		83	skill03	3.000000	2.430000	2.430000
545	3001004		1.000000		84	skill04	0.430000	1.630000	1.630000
546	3001004		1.000000		85	skill05	3.000000	2.470000	2.470000
547	3001004		1.000000		86	skill06	0.000000	0.000000	0.000000
548	3001004		1.000000	1	87	skill07	0.000000	1.200000	1.200000
549	3001004		1.000000		14	fury01	1.400000	1.330000	1.330000
550	3002004	1	1.000000		100	atk01	0.300000	2.700000	2.700000
551	3002004		1.000000		81	skill01	0.630000	0.730000	0.730000
552	3002004		1.000000		82	skill02	0.670000	1.400000	1.400000
553	3002004		1.000000		83	skill03	0.670000	2.670000	2.670000
554	3002004		1.000000		88	skill0301	0.000000	3.070000	3.070000
555	3002004		1.000000	1	89	skill0302	0.000000	0.870000	0.870000
556	3002004		1.000000		90	skill0303	0.000000	1.170000	1.170000
557	3002004		1.000000		84	skill04	0.000000	1.430000	1.430000
558	3003004	1	1.000000		100	atk01	0.400000	2.600000	2.600000
559	3003004		1.000000		91	skill0101	0.000000	0.500000	0.500000
560	3003004		1.000000	1	92	skill0102	0.000000	0.600000	0.600000
561	3003004		1.000000		93	skill0103	0.000000	2.070000	2.070000
562	3003004		1.000000		82	skill02	3.000000	2.030000	2.030000
563	3003004		1.000000		84	skill04	0.500000	1.030000	1.030000
564	3003004		1.000000		14	fury01	0.000000	4.130000	4.130000
565	3003014	1	1.000000		100	atk01	0.400000	2.600000	2.600000
566	3003014		1.000000		91	skill0101	0.000000	0.500000	0.500000
567	3003014		1.000000	1	92	skill0102	0.000000	0.600000	0.600000
568	3003014		1.000000		93	skill0103	0.000000	2.070000	2.070000
569	3003014		1.000000		82	skill02	3.000000	2.030000	2.030000
570	3003014		1.000000		84	skill04	0.270000	1.000000	1.000000
571	3003014		1.000000		14	fury01	0.000000	4.130000	4.130000
572	3004004	1	1.000000		100	atk01	0.530000	2.470000	2.470000
573	3004004	1	1.000000		101	atk02	0.570000	2.430000	2.430000
574	3004004		1.000000		81	skill01	3.000000	1.270000	1.270000
575	3004004		1.000000		82	skill02	3.000000	1.900000	1.900000
576	3004004		1.000000		83	skill03	2.400000	2.500000	2.500000
577	3004004		1.000000		84	skill04	1.630000	3.370000	3.370000
578	3004004		1.000000		85	skill05	3.000000	1.070000	1.070000
579	3004004		1.000000		86	skill06	2.000000	0.670000	0.670000
580	3004004		1.000000		87	skill07	3.000000	1.500000	1.500000
581	3005004	1	1.000000		100	atk01	0.600000	2.400000	2.400000
582	3005004		1.000000		81	skill01	0.870000	1.870000	1.870000
583	3005004		1.000000		94	skill0201	0.670000	0.000000	0.000000
584	3005004		1.000000		95	skill0202	1.000000	0.000000	0.000000
585	3005004		1.000000		96	skill0203	0.470000	2.130000	2.130000
586	3005004		1.000000		83	skill03	1.130000	6.270000	6.270000
587	3005004		1.000000		14	fury01	1.830000	2.070000	2.070000
588	3006004	1	1.000000		100	atk01	0.400000	2.600000	2.600000
589	3006004		1.000000		81	skill01	0.770000	0.770000	0.770000
590	3006004		1.000000		82	atk01	0.400000	1.030000	1.030000
591	3006004		1.000000		83	skill03	1.730000	1.830000	1.830000
592	3006004		1.000000		14	fury01	0.870000	2.400000	2.400000
593	3007014	1	1.000000		100	atk01	0.370000	2.630000	2.630000
594	3007014	1	1.000000		101	atk02	0.570000	2.430000	2.430000
595	3007014		1.000000		81	skill01	1.670000	3.070000	3.070000
596	3007014		1.000000		82	skill02	3.200000	3.470000	3.470000
597	3007014		1.000000		83	skill03	2.970000	2.670000	2.670000
598	3007014		1.000000		14	fury01	1.230000	3.000000	3.000000
599	3007014		1.000000		13	show01	0.000000	6.030000	6.030000
600	3008004	1	1.000000		100	atk01	0.330000	2.670000	2.670000
601	3008004		1.000000		81	skill01	0.330000	1.000000	1.000000
602	3008004		1.000000		82	skill02	0.770000	4.130000	4.130000
603	3008004		1.000000		83	skill03	1.330000	2.100000	2.100000
604	3008004		1.000000		84	skill04	1.630000	2.230000	2.230000
605	3008004		1.000000		14	fury01	1.230000	1.300000	1.300000
606	3009004	1	1.000000		100	atk01	0.830000	2.170000	2.170000
607	3009004		1.000000		81	skill01	3.330000	1.000000	1.000000
608	3009004		1.000000		82	skill02	4.000000	2.000000	2.000000
609	3009004		1.000000		83	skill03	0.500000	1.000000	1.000000
610	3009004		1.000000		84	skill04	3.200000	1.470000	1.470000
611	3009004		1.000000		900	skill0501	0.800000	0.000000	0.000000
612	3009004		1.000000		901	skill0502	2.000000	0.000000	0.000000
613	3009004		1.000000		902	skill0503	0.700000	0.900000	0.900000
614	3009004		1.000000		903	skill0504	0.000000	1.330000	1.330000
615	3009004		1.000000		14	fury01	1.200000	1.630000	1.630000
616	3010004	1	1.000000		100	atk01	0.370000	2.630000	2.630000
617	3010004		1.000000		81	skill01	0.930000	0.730000	0.730000
618	3011004	1	1.000000		100	atk01	0.370000	2.630000	0.870000
619	3011004		1.000000		82	skill02	0.400000	1.200000	1.200000
620	3012004	1	1.000000		100	atk01	0.370000	2.630000	0.830000
621	3012004	1	1.000000		101	atk02	0.330000	2.670000	0.830000
622	3012004		1.000000		81	skill01	3.300000	2.100000	2.100000
623	3012004		1.000000		82	skill02	0.870000	2.130000	2.130000
624	3012004		1.000000		88	skill0301	0.000000	2.000000	2.000000
625	3012004		1.000000		89	skill0302	0.000000	2.330000	2.330000
626	3012004		1.000000		90	skill0303	0.770000	0.630000	0.630000
627	3012004		1.000000		84	skill04	3.030000	1.800000	1.800000
628	3012004		1.000000		85	skill05	1.270000	1.430000	1.430000
629	3012004		1.000000		904	skill0601	0.000000	2.000000	2.000000
630	3012004		1.000000		905	skill0602	0.000000	2.330000	2.330000
631	3012004		1.000000		906	skill0603	0.730000	0.670000	0.670000
632	3012004		1.000000		87	skill07	0.330000	2.830000	2.830000
633	3012004		1.000000		907	skill08	0.330000	2.870000	2.870000
634	3012004		1.000000		908	skill09	1.300000	1.400000	1.400000
635	3012004		1.000000		909	skill10	3.000000	1.830000	1.830000
636	3012004		1.000000		910	skill11	1.930000	2.470000	2.470000
637	3012004		1.000000		14	fury01	1.770000	2.730000	2.730000
638	3012014	1	1.000000		100	atk01	0.370000	2.630000	2.630000
639	3012014	1	1.000000		101	atk02	0.330000	2.670000	2.670000
640	3012014		1.000000		81	skill01	3.300000	2.100000	2.100000
641	3012014		1.000000		82	skill02	0.870000	2.130000	2.130000
642	3012014		1.000000		88	skill0301	0.000000	2.000000	2.000000
643	3012014		1.000000		89	skill0302	0.000000	2.330000	2.330000
644	3012014		1.000000		90	skill0303	0.770000	0.630000	0.630000
645	3012014		1.000000		84	skill04	3.030000	1.800000	1.800000
646	3012014		1.000000		85	skill05	1.270000	1.430000	1.430000
647	3012014		1.000000		904	skill0601	0.000000	2.000000	2.000000
648	3012014		1.000000		905	skill0602	0.000000	2.330000	2.330000
649	3012014		1.000000		906	skill0603	0.730000	0.670000	0.670000
650	3012014		1.000000		87	skill07	0.330000	2.830000	2.830000
651	3012014		1.000000		907	skill08	0.330000	2.870000	2.870000
652	3012014		1.000000		908	skill09	1.300000	1.400000	1.400000
653	3012014		1.000000		909	skill10	3.000000	1.830000	1.830000
654	3012014		1.000000		910	skill11	1.930000	2.470000	2.470000
655	3012014		1.000000		14	fury01	1.770000	2.730000	2.730000
656	3013004	1	1.000000		100	atk01	0.600000	2.400000	2.400000
657	3013004	1	1.000000		101	atk02	0.570000	2.430000	1.200000
658	3013004		1.000000		81	skill01	1.530000	0.830000	0.830000
659	3013004		1.000000		94	skill0201	0.000000	1.270000	1.270000
660	3013004		1.000000		95	skill0202	0.000000	0.400000	0.400000
661	3013004		1.000000		96	skill0203	1.230000	0.800000	0.800000
662	3013004		1.000000		88	skill0301	0.000000	1.070000	1.070000
663	3013004		1.000000		89	skill0302	0.000000	0.470000	0.470000
664	3013004		1.000000		90	skill0303	0.500000	0.800000	0.800000
665	3013004		1.000000		84	skill04	0.000000	4.330000	4.330000
666	3013004		1.000000		86	skill06	1.370000	1.270000	1.270000
667	3013004		1.000000		907	skill08	0.000000	2.270000	2.270000
668	3013004		1.000000		908	skill09	0.000000	4.330000	4.330000
669	3013004		1.000000		909	skill10	1.500000	1.070000	1.070000
670	3013004		1.000000		911	skill12	1.200000	1.370000	1.370000
671	3013004		1.000000		912	skill1301	0.900000	0.200000	0.200000
672	3013004		1.000000		913	skill1302	0.000000	1.130000	1.130000
673	3013004		1.000000		914	skill1303	1.300000	0.800000	0.800000
674	3014004	1	1.000000		100	atk01	0.730000	2.270000	2.270000
675	3014004		1.000000		81	skill01	4.500000	1.530000	1.530000
676	3014004		1.000000		82	skill02	3.030000	1.730000	1.730000
677	3014004		1.000000		83	skill03	1.070000	1.300000	1.300000
678	3014004		1.000000		84	skill04	0.600000	2.130000	2.130000
679	3014004		1.000000		85	skill05	2.470000	2.000000	2.000000
680	3014004		1.000000		86	skill06	1.670000	1.570000	1.570000
681	3014004		1.000000		403	skill03	0.200000	1.000000	1.000000
682	3014004		1.000000		801	skill0701	1.830000	0.000000	0.000000
683	3014004		1.000000	1	802	skill0702	0.000000	0.500000	0.500000
684	3014004		1.000000		803	skill0703	0.000000	1.400000	1.400000
685	3015004	1	1.000000		100	atk01	0.470000	2.530000	2.530000
686	3015004		1.000000		81	skill01	1.670000	1.030000	1.030000
687	3015004		1.000000		82	skill02	3.000000	1.170000	1.170000
688	3015004		1.000000		83	skill03	1.070000	3.100000	3.100000
689	3015004		0.620000		900	skill0501	0.000000	2.629032	2.629032
690	3015004		1.000000		901	skill0502	0.000000	0.000000	0.000000
691	3015004		1.000000		902	skill0503	0.200000	1.970000	1.970000
692	3015004		1.000000		86	skill06	1.930000	2.170000	2.170000
693	3015004		1.000000		907	skill08	0.000000	1.930000	1.930000
694	4000007		1.000000		100	atk01	0.630000	0.370000	0.370000
695	4001007		1.000000		100	atk01	0.600000	0.400000	0.400000
696	5001020		1.000000		5	petshow01	0.000000	3.100000	3.100000
697	5001020		1.000000		122	petfun01	0.000000	4.400000	4.400000
698	5002020		1.000000		5	petshow01	0.000000	3.100000	3.100000
699	5002020		1.000000		122	petfun01	0.000000	4.400000	4.400000
700	5003020		1.000000		5	petshow01	0.000000	2.670000	2.670000
701	5003020		1.000000		122	petfun01	0.000000	5.130000	5.130000
702	5004020		1.000000		5	petshow01	0.000000	2.570000	2.570000
703	5004020		1.000000		122	petfun01	0.000000	5.770000	5.770000
704	5005020		1.000000		5	petshow01	0.000000	3.830000	3.830000
705	5005020		1.000000		122	petfun01	0.000000	4.300000	4.300000
706	5006020		1.000000		5	petshow01	0.000000	2.870000	2.870000
707	5006020		1.000000		122	petfun01	0.000000	3.700000	3.700000
708	5007020		1.000000		5	petshow01	0.000000	0.000000	0.000000
709	5007020		1.000000		122	petfun01	0.000000	0.000000	0.000000
710	5008020		1.000000		5	petshow01	0.000000	0.000000	0.000000
711	5008020		1.000000		122	petfun01	0.000000	0.000000	0.000000
712	5009020		1.000000		5	petshow01	0.000000	3.870000	3.870000
713	5009020		1.000000		122	petfun01	0.000000	1.200000	1.200000
714	5010020		1.000000		5	petshow01	0.000000	3.870000	3.870000
715	5010020		1.000000		122	petfun01	0.000000	1.200000	1.200000
716	5011020		1.000000		5	petshow01	0.000000	6.800000	6.800000
717	5011020		1.000000		122	petfun01	0.000000	9.770000	9.770000
718	5012020		1.000000		5	petshow01	0.000000	0.000000	0.000000
719	5012020		1.000000		122	petfun01	0.000000	0.000000	0.000000
720	5013020		1.000000		5	petshow01	0.000000	2.500000	2.500000
721	5013020		1.000000		122	petfun01	0.000000	2.700000	2.700000
722	5014022		1.000000		5	petshow01	0.000000	6.130000	6.130000
723	5014022		1.000000		122	petfun01	0.000000	5.400000	5.400000
724	5015020		1.000000		100	atk01	0.000000	0.830000	0.830000
725	5015020		1.000000		5	petshow01	0.000000	3.100000	3.100000
726	5015020		1.000000		122	petfun01	0.000000	4.030000	4.030000
727	5015020		1.000000		10	injury01	0.000000	0.500000	0.500000
728	5015020		1.000000		32	die01	0.000000	1.530000	1.530000
729	5016020		1.000000		100	atk01	0.000000	0.830000	0.830000
730	5016020		1.000000		5	petshow01	0.000000	3.100000	3.100000
731	5016020		1.000000		122	petfun01	0.000000	4.030000	4.030000
732	5016020		1.000000		10	injury01	0.000000	0.500000	0.500000
733	5016020		1.000000		32	die01	0.000000	1.530000	1.530000
734	5017020		1.000000		100	atk01	0.000000	1.530000	1.530000
735	5017020		1.000000		5	petshow01	0.000000	6.300000	6.300000
736	5017020		1.000000		122	petfun01	0.000000	5.230000	5.230000
737	5017020		1.000000		10	injury01	0.000000	0.800000	0.800000
738	5017020		1.000000		32	die01	0.000000	1.960000	1.960000
739	5018020		1.000000		100	atk01	0.000000	1.530000	1.530000
740	5018020		1.000000		5	petshow01	0.000000	6.300000	6.300000
741	5018020		1.000000		122	petfun01	0.000000	5.230000	5.230000
742	5018020		1.000000		10	injury01	0.000000	0.800000	0.800000
743	5018020		1.000000		32	die01	0.000000	1.960000	1.960000
744	5019020		1.000000		100	atk01	0.000000	0.760000	0.760000
745	5019020		1.000000		5	petshow01	0.000000	2.560000	2.560000
746	5019020		1.000000		122	petfun01	0.000000	2.630000	2.630000
747	5019020		1.000000		10	injury01	0.000000	0.660000	0.660000
748	5019020		1.000000		32	die01	0.000000	1.300000	1.300000
749	5020020		1.000000		100	atk01	0.000000	0.760000	0.760000
750	5020020		1.000000		5	petshow01	0.000000	2.560000	2.560000
751	5020020		1.000000		122	petfun01	0.000000	2.630000	2.630000
752	5020020		1.000000		10	injury01	0.000000	0.660000	0.660000
753	5020020		1.000000		32	die01	0.000000	1.300000	1.300000
754	5021020		1.000000		100	atk01	0.000000	1.330000	1.330000
755	5021020		1.000000		5	petshow01	0.000000	5.430000	5.430000
756	5021020		1.000000		122	petfun01	0.000000	4.630000	4.630000
757	5021020		1.000000		10	injury01	0.000000	0.460000	0.460000
758	5021020		1.000000		32	die01	0.000000	0.730000	0.730000
759	5022020		1.000000		100	atk01	0.000000	1.330000	1.330000
760	5022020		1.000000		5	petshow01	0.000000	5.430000	5.430000
761	5022020		1.000000		122	petfun01	0.000000	4.630000	4.630000
762	5022020		1.000000		10	injury01	0.000000	0.460000	0.460000
763	5022020		1.000000		32	die01	0.000000	0.730000	0.730000
764	5023020		1.000000		5	petshow01	0.000000	2.600000	2.600000
765	5023020		1.000000		122	petfun01	0.000000	3.500000	3.500000
766	5024020		1.000000		5	petshow01	0.000000	2.600000	2.600000
767	5024020		1.000000		122	petfun01	0.000000	3.500000	3.500000
768	5025020		1.000000		100	atk01	0.000000	1.200000	1.200000
769	5025020		1.000000		5	petshow01	0.000000	2.930000	2.930000
770	5025020		1.000000		122	petfun01	0.000000	4.030000	4.030000
771	5025020		1.000000		10	injury01	0.000000	0.730000	0.730000
772	5025020		1.000000		32	die01	0.000000	1.530000	1.530000
773	5026020		1.000000		100	atk01	0.000000	1.200000	1.200000
774	5026020		1.000000		5	petshow01	0.000000	2.930000	2.930000
775	5026020		1.000000		122	petfun01	0.000000	4.030000	4.030000
776	5026020		1.000000		10	injury01	0.000000	0.733000	0.733000
777	5026020		1.000000		32	die01	0.000000	1.530000	1.530000
778	5027020		1.000000		100	atk01	0.000000	1.000000	1.000000
779	5027020		1.000000		5	petshow01	0.000000	4.660000	4.660000
780	5027020		1.000000		122	petfun01	0.000000	5.460000	5.460000
781	5027020		1.000000		10	injury01	0.000000	0.460000	0.460000
782	5027020		1.000000		32	die01	0.000000	1.030000	1.030000
783	5028020		1.000000		100	atk01	0.000000	1.000000	1.000000
784	5028020		1.000000		5	petshow01	0.000000	4.660000	4.660000
785	5028020		1.000000		122	petfun01	0.000000	5.460000	5.460000
786	5028020		1.000000		10	injury01	0.000000	0.460000	0.460000
787	5028020		1.000000		32	die01	0.000000	1.030000	1.030000
788	5029020		1.000000		100	atk01	0.000000	0.860000	0.860000
789	5029020		1.000000		5	petshow01	0.000000	3.660000	3.660000
790	5029020		1.000000		122	petfun01	0.000000	3.930000	3.930000
791	5029020		1.000000		10	injury01	0.000000	0.660000	0.660000
792	5029020		1.000000		32	die01	0.000000	2.300000	2.300000
793	5030020		1.000000		100	atk01	0.000000	0.860000	0.860000
794	5030020		1.000000		5	petshow01	0.000000	3.660000	3.660000
795	5030020		1.000000		122	petfun01	0.000000	3.930000	3.930000
796	5030020		1.000000		10	injury01	0.000000	0.660000	0.660000
797	5030020		1.000000		32	die01	0.000000	2.300000	2.300000
798	5031020		1.000000		100	atk01	0.000000	1.300000	1.300000
799	5031020		1.000000		5	petshow01	0.000000	3.300000	3.300000
800	5031020		1.000000		122	petfun01	0.000000	10.730000	10.730000
801	5031020		1.000000		10	injury01	0.000000	0.800000	0.800000
802	5031020		1.000000		32	die01	0.000000	2.330000	2.330000
803	5032020		1.000000		100	atk01	0.000000	1.300000	1.300000
804	5032020		1.000000		5	petshow01	0.000000	3.300000	3.300000
805	5032020		1.000000		122	petfun01	0.000000	10.730000	10.730000
806	5032020		1.000000		10	injury01	0.000000	0.800000	0.800000
807	5032020		1.000000		32	die01	0.000000	2.330000	2.330000
808	5033020		1.000000		100	atk01	0.000000	1.000000	1.000000
809	5033020		1.000000		5	petshow01	0.000000	3.100000	3.100000
810	5033020		1.000000		122	petfun01	0.000000	4.760000	4.760000
811	5033020		1.000000		10	injury01	0.000000	0.730000	0.730000
812	5033020		1.000000		32	die01	0.000000	0.960000	0.960000
813	5034020		1.000000		100	atk01	0.000000	1.000000	1.000000
814	5034020		1.000000		5	petshow01	0.000000	3.100000	3.100000
815	5034020		1.000000		122	petfun01	0.000000	4.760000	4.760000
816	5034020		1.000000		10	injury01	0.000000	0.730000	0.730000
817	5034020		1.000000		32	die01	0.000000	0.960000	0.960000
818	5035020		1.000000		100	atk01	0.000000	1.060000	1.060000
819	5035020		1.000000		5	petshow01	0.000000	2.430000	2.430000
820	5035020		1.000000		122	petfun01	0.000000	2.800000	2.800000
821	5035020		1.000000		10	injury01	0.000000	0.460000	0.460000
822	5035020		1.000000		32	die01	0.000000	1.060000	1.060000
823	5036020		1.000000		100	atk01	0.000000	1.060000	1.060000
824	5036020		1.000000		5	petshow01	0.000000	2.430000	2.430000
825	5036020		1.000000		122	petfun01	0.000000	2.800000	2.800000
826	5036020		1.000000		10	injury01	0.000000	0.460000	0.460000
827	5036020		1.000000		32	die01	0.000000	1.060000	1.060000
828	5037020		1.000000		100	atk01	0.000000	0.830000	0.830000
829	5037020		1.000000		5	petshow01	0.000000	4.200000	4.200000
830	5037020		1.000000		122	petfun01	0.000000	2.660000	2.660000
831	5037020		1.000000		10	injury01	0.000000	0.660000	0.660000
832	5037020		1.000000		32	die01	0.000000	1.600000	1.600000
833	5038020		1.000000		100	atk01	0.000000	0.830000	0.830000
834	5038020		1.000000		5	petshow01	0.000000	4.200000	4.200000
835	5038020		1.000000		122	petfun01	0.000000	2.660000	2.660000
836	5038020		1.000000		10	injury01	0.000000	0.660000	0.660000
837	5038020		1.000000		32	die01	0.000000	1.600000	1.600000
838	5039020		1.000000		100	atk01	0.000000	0.830000	0.830000
