流水ID	职业ID	装备部位ID	装备星铸等级	装备孔位等级限制	升级到当前等级消耗道具	基础属性加成	显示属性值	显示属性加成值	总览中显示的技能描述	技能增强显示条件	孔位图标	更换技能特效未实装显示文字	视频跳转链接	技能视频预览	技能视频预览（url）	技能视频预览框显示描述
128	2	6	8	75	item102020061002,220;item102020061003,4	3,1200;33,350	3,1000;33,300	3,200;33,50	buffname_mage05_01	eqp_bf22_mage05::buff01_lv1,8,eqp_bf22_mage05::buff01_effect,10	skill_1108					
129	2	6	9	75	item102020061002,260;item102020061003,5;item102020061006,4	3,1400;33,400	3,1200;33,350	3,200;33,50	buffname_mage05_02	eqp_bf22_mage05::buff01_lv2,9,eqp_bf22_mage05::buff01_effect,10	skill_1108					
130	2	6	10	75	item102020061004,4;item102020061003,12;item102020061006,8	3,1600;33,500	3,1400;33,400	3,200;33,100	buffname_mage05_03	eqp_bf22_mage05::buff01_lv3,10,eqp_bf22_mage05::buff01_effect,10	skill1108_starforge			hero_102_skill1108.mp4		buffname_eqp_bf22_mage05;eqp_bf22_mage05::buff01_effect;Lock_StarForge_Level_Rome_10
131	2	7	1	80	item102020061001,80	4,100	4,100			eqp_bf22_mage06::buff01_lv1,8,eqp_bf22_mage06::buff01_effect,10	starforge01_icon					
132	2	7	2	80	item102020061001,120	4,170	4,100	4,70		eqp_bf22_mage06::buff01_lv1,8,eqp_bf22_mage06::buff01_effect,10	starforge01_icon					
133	2	7	3	80	item102020061001,130	4,240	4,170	4,70		eqp_bf22_mage06::buff01_lv1,8,eqp_bf22_mage06::buff01_effect,10	starforge01_icon					
134	2	7	4	80	item102020061001,180;item102020061003,2	4,450;34,100	4,240;34,0	4,210;34,100		eqp_bf22_mage06::buff01_lv1,8,eqp_bf22_mage06::buff01_effect,10	starforge02_icon					
135	2	7	5	80	item102020061002,90	4,630;34,150	4,450;34,100	4,180;34,50		eqp_bf22_mage06::buff01_lv1,8,eqp_bf22_mage06::buff01_effect,10	starforge02_icon					
136	2	7	6	80	item102020061002,130	4,800;34,200	4,630;34,150	4,170;34,50		eqp_bf22_mage06::buff01_lv1,8,eqp_bf22_mage06::buff01_effect,10	starforge03_icon					
137	2	7	7	80	item102020061002,165;item102020061003,4	4,1000;34,300	4,800;34,200	4,200;34,100		eqp_bf22_mage06::buff01_lv1,8,eqp_bf22_mage06::buff01_effect,10	starforge03_icon					
138	2	7	8	80	item102020061002,260;item102020061003,5	4,1200;34,350	4,1000;34,300	4,200;34,50	buffname_mage06_01	eqp_bf22_mage06::buff01_lv1,8,eqp_bf22_mage06::buff01_effect,10	skill_1107					
139	2	7	9	80	item102020061002,330;item102020061003,6;item102020061006,4	4,1400;34,400	4,1200;34,350	4,200;34,50	buffname_mage06_02	eqp_bf22_mage06::buff01_lv2,9,eqp_bf22_mage06::buff01_effect,10	skill_1107					
140	2	7	10	80	item102020061004,4;item102020061003,12;item102020061006,8	4,1600;34,500	4,1400;34,400	4,200;34,100	buffname_mage06_03	eqp_bf22_mage06::buff01_lv3,10,eqp_bf22_mage06::buff01_effect,10	skill1107_starforge			hero_102_skill1107.mp4		buffname_eqp_bf22_mage06;eqp_bf22_mage06::buff01_effect;Lock_StarForge_Level_Rome_10
141	2	8	1	85	item102020061001,120	3,120	3,120			eqp_bf22_mage07::buff01_lv1,8,eqp_bf22_mage07::buff01_effect,10	starforge01_icon					
142	2	8	2	85	item102020061001,180	3,200	3,120	3,80		eqp_bf22_mage07::buff01_lv1,8,eqp_bf22_mage07::buff01_effect,10	starforge01_icon					
143	2	8	3	85	item102020061001,195	3,280	3,200	3,80		eqp_bf22_mage07::buff01_lv1,8,eqp_bf22_mage07::buff01_effect,10	starforge01_icon					
144	2	8	4	85	item102020061001,270;item102020061003,3	3,530;173,200	3,280;173,0	3,250;173,200		eqp_bf22_mage07::buff01_lv1,8,eqp_bf22_mage07::buff01_effect,10	starforge02_icon					
145	2	8	5	85	item102020061002,120	3,740;173,300	3,530;173,200	3,210;173,100		eqp_bf22_mage07::buff01_lv1,8,eqp_bf22_mage07::buff01_effect,10	starforge02_icon					
146	2	8	6	85	item102020061002,170	3,940;173,400	3,740;173,300	3,200;173,100		eqp_bf22_mage07::buff01_lv1,8,eqp_bf22_mage07::buff01_effect,10	starforge03_icon					
147	2	8	7	85	item102020061002,210;item102020061003,5	3,1180;173,600	3,940;173,400	3,240;173,200		eqp_bf22_mage07::buff01_lv1,8,eqp_bf22_mage07::buff01_effect,10	starforge03_icon					
148	2	8	8	85	item102020061002,340;item102020061003,6	3,1420;173,700	3,1180;173,600	3,240;173,100	buffname_mage07_01	eqp_bf22_mage07::buff01_lv1,8,eqp_bf22_mage07::buff01_effect,10	skill_1101					
149	2	8	9	85	item102020061002,430;item102020061003,7;item102020061006,5	3,1660;173,800	3,1420;173,700	3,240;173,100	buffname_mage07_02	eqp_bf22_mage07::buff01_lv2,9,eqp_bf22_mage07::buff01_effect,10	skill_1101					
150	2	8	10	85	item102020061003,14;item102020061004,5;item102020061006,10	3,1900;173,1000	3,1660;173,800	3,240;173,200	buffname_mage07_03	eqp_bf22_mage07::buff01_lv3,10,eqp_bf22_mage07::buff01_effect,10	skill1101_starforge			hero_102_skill1101.mp4		buffname_eqp_bf22_mage07;eqp_bf22_mage07::buff01_effect;Lock_StarForge_Level_Rome_10
151	2	9	1	90	item102020061001,150	3,120	3,120			eqp_bf22_mage08::buff01_lv1,8,eqp_bf22_mage08::buff01_effect,10	starforge01_icon					
152	2	9	2	90	item102020061001,210	3,200	3,120	3,80		eqp_bf22_mage08::buff01_lv1,8,eqp_bf22_mage08::buff01_effect,10	starforge01_icon					
153	2	9	3	90	item102020061001,235	3,280	3,200	3,80		eqp_bf22_mage08::buff01_lv1,8,eqp_bf22_mage08::buff01_effect,10	starforge01_icon					
154	2	9	4	90	item102020061001,480;item102020061003,3	3,530;32,200	3,280;32,0	3,250;32,200		eqp_bf22_mage08::buff01_lv1,8,eqp_bf22_mage08::buff01_effect,10	starforge02_icon					
155	2	9	5	90	item102020061002,150	3,740;32,300	3,530;32,200	3,210;32,100		eqp_bf22_mage08::buff01_lv1,8,eqp_bf22_mage08::buff01_effect,10	starforge02_icon					
156	2	9	6	90	item102020061002,230	3,940;32,400	3,740;32,300	3,200;32,100		eqp_bf22_mage08::buff01_lv1,8,eqp_bf22_mage08::buff01_effect,10	starforge03_icon					
157	2	9	7	90	item102020061002,280;item102020061003,6	3,1180;32,600	3,940;32,400	3,240;32,200		eqp_bf22_mage08::buff01_lv1,8,eqp_bf22_mage08::buff01_effect,10	starforge03_icon					
158	2	9	8	90	item102020061002,420;item102020061003,7	3,1420;32,700	3,1180;32,600	3,240;32,100	buffname_mage08_01	eqp_bf22_mage08::buff01_lv1,8,eqp_bf22_mage08::buff01_effect,10	skill_1111					
159	2	9	9	90	item102020061002,510;item102020061003,8;item102020061006,6	3,1660;32,800	3,1420;32,700	3,240;32,100	buffname_mage08_02	eqp_bf22_mage08::buff01_lv2,9,eqp_bf22_mage08::buff01_effect,10	skill_1111					
160	2	9	10	90	item102020061003,16;item102020061004,5;item102020061006,12	3,1900;32,1000	3,1660;32,800	3,240;32,200	buffname_mage08_03	eqp_bf22_mage08::buff01_lv3,10,eqp_bf22_mage08::buff01_effect,10	skill1111_starforge			hero_102_skill1111.mp4		buffname_eqp_bf22_mage08;eqp_bf22_mage08::buff01_effect;Lock_StarForge_Level_Rome_10
161	3	2	1	40	item102020061001,10	1,400	1,400			eqp_bf22_archer01::buff01_lv1,8,eqp_bf22_archer01::buff01_effect,10	starforge01_icon					
162	3	2	2	40	item102020061001,20	1,700	1,400	1,300		eqp_bf22_archer01::buff01_lv1,8,eqp_bf22_archer01::buff01_effect,10	starforge01_icon					
163	3	2	3	40	item102020061001,25	1,1000	1,700	1,300		eqp_bf22_archer01::buff01_lv1,8,eqp_bf22_archer01::buff01_effect,10	starforge01_icon					
164	3	2	4	40	item102020061003,1;item102020061001,30	1,2000;30,100	1,1000;30,0	1,1000;30,100		eqp_bf22_archer01::buff01_lv1,8,eqp_bf22_archer01::buff01_effect,10	starforge02_icon					
165	3	2	5	40	item102020061002,10	1,2300;30,150	1,2000;30,100	1,300;30,50		eqp_bf22_archer01::buff01_lv1,8,eqp_bf22_archer01::buff01_effect,10	starforge02_icon					
166	3	2	6	40	item102020061002,25	1,3000;30,200	1,2300;30,150	1,700;30,50		eqp_bf22_archer01::buff01_lv1,8,eqp_bf22_archer01::buff01_effect,10	starforge03_icon					
167	3	2	7	40	item102020061003,2;item102020061002,50	1,4400;30,300	1,3000;30,200	1,1400;30,100		eqp_bf22_archer01::buff01_lv1,8,eqp_bf22_archer01::buff01_effect,10	starforge03_icon					
168	3	2	8	40	item102020061003,2;item102020061002,75	1,5300;30,350	1,4400;30,300	1,900;30,50	buffname_archer01_01	eqp_bf22_archer01::buff01_lv1,8,eqp_bf22_archer01::buff01_effect,10	skill_1006					
169	3	2	9	40	item102020061003,3;item102020061006,1;item102020061002,80	1,6000;30,400	1,5300;30,350	1,700;30,50	buffname_archer01_02	eqp_bf22_archer01::buff01_lv2,9,eqp_bf22_archer01::buff01_effect,10	skill_1006					
170	3	2	10	40	item102020061004,1;item102020061003,5;item102020061006,2	1,6700;30,500	1,6000;30,400	1,700;30,100	buffname_archer01_03	eqp_bf22_archer01::buff01_lv3,10,eqp_bf22_archer01::buff01_effect,10	skill1006_starforge			hero_103_skill1006.mp4		buffname_eqp_bf22_archer01;eqp_bf22_archer01::buff01_effect;Lock_StarForge_Level_Rome_10
171	3	3	1	50	item102020061001,20	3,50	3,50			eqp_bf22_archer02::buff01_lv1,8,eqp_bf22_archer02::buff01_effect,10	starforge01_icon					
172	3	3	2	50	item102020061001,25	3,75	3,50	3,25		eqp_bf22_archer02::buff01_lv1,8,eqp_bf22_archer02::buff01_effect,10	starforge01_icon					
173	3	3	3	50	item102020061001,30	3,100	3,75	3,25		eqp_bf22_archer02::buff01_lv1,8,eqp_bf22_archer02::buff01_effect,10	starforge01_icon					
174	3	3	4	50	item102020061003,1;item102020061001,55	3,180;51,100	3,100;51,0	3,80;51,100		eqp_bf22_archer02::buff01_lv1,8,eqp_bf22_archer02::buff01_effect,10	starforge02_icon					
175	3	3	5	50	item102020061002,20	3,250;51,150	3,180;51,100	3,70;51,50		eqp_bf22_archer02::buff01_lv1,8,eqp_bf22_archer02::buff01_effect,10	starforge02_icon					
176	3	3	6	50	item102020061002,45	3,350;51,200	3,250;51,150	3,100;51,50		eqp_bf22_archer02::buff01_lv1,8,eqp_bf22_archer02::buff01_effect,10	starforge03_icon					
177	3	3	7	50	item102020061003,2;item102020061002,65	3,500;51,300	3,350;51,200	3,150;51,100		eqp_bf22_archer02::buff01_lv1,8,eqp_bf22_archer02::buff01_effect,10	starforge03_icon					
178	3	3	8	50	item102020061003,2;item102020061002,80	3,580;51,350	3,500;51,300	3,80;51,50	buffname_archer02_01	eqp_bf22_archer02::buff01_lv1,8,eqp_bf22_archer02::buff01_effect,10	skill_1001					
179	3	3	9	50	item102020061003,3;item102020061006,2;item102020061002,90	3,680;51,400	3,580;51,350	3,100;51,50	buffname_archer02_02	eqp_bf22_archer02::buff01_lv2,9,eqp_bf22_archer02::buff01_effect,10	skill_1001					
180	3	3	10	50	item102020061004,1;item102020061003,6;item102020061006,2	3,840;51,500	3,680;51,400	3,160;51,100	buffname_archer02_03	eqp_bf22_archer02::buff01_lv3,10,eqp_bf22_archer02::buff01_effect,10	skill1001_starforge			hero_103_skill1001.mp4		buffname_eqp_bf22_archer02;eqp_bf22_archer02::buff01_effect;Lock_StarForge_Level_Rome_10
181	3	4	1	60	item102020061001,30	4,50	4,50			eqp_bf22_archer03::buff01_lv1,8,eqp_bf22_archer03::buff01_effect,10	starforge01_icon					
182	3	4	2	60	item102020061001,40	4,70	4,50	4,20		eqp_bf22_archer03::buff01_lv1,8,eqp_bf22_archer03::buff01_effect,10	starforge01_icon					
183	3	4	3	60	item102020061001,45	4,90	4,70	4,20		eqp_bf22_archer03::buff01_lv1,8,eqp_bf22_archer03::buff01_effect,10	starforge01_icon					
184	3	4	4	60	item102020061003,1;item102020061001,120	4,180;52,100	4,90;52,0	4,90;52,100		eqp_bf22_archer03::buff01_lv1,8,eqp_bf22_archer03::buff01_effect,10	starforge02_icon					
185	3	4	5	60	item102020061002,30	4,250;52,150	4,180;52,100	4,70;52,50		eqp_bf22_archer03::buff01_lv1,8,eqp_bf22_archer03::buff01_effect,10	starforge02_icon					
186	3	4	6	60	item102020061002,55	4,330;52,200	4,250;52,150	4,80;52,50		eqp_bf22_archer03::buff01_lv1,8,eqp_bf22_archer03::buff01_effect,10	starforge03_icon					
187	3	4	7	60	item102020061003,2;item102020061002,75	4,450;52,300	4,330;52,200	4,120;52,100		eqp_bf22_archer03::buff01_lv1,8,eqp_bf22_archer03::buff01_effect,10	starforge03_icon					
188	3	4	8	60	item102020061003,2;item102020061002,150	4,550;52,350	4,450;52,300	4,100;52,50	buffname_archer03_01	eqp_bf22_archer03::buff01_lv1,8,eqp_bf22_archer03::buff01_effect,10	skill_1002					
189	3	4	9	60	item102020061003,3;item102020061002,180;item102020061006,2	4,700;52,400	4,550;52,350	4,150;52,50	buffname_archer03_02	eqp_bf22_archer03::buff01_lv2,9,eqp_bf22_archer03::buff01_effect,10	skill_1002					
190	3	4	10	60	item102020061004,2;item102020061003,8;item102020061006,4	4,850;52,500	4,700;52,400	4,150;52,100	buffname_archer03_03	eqp_bf22_archer03::buff01_lv3,10,eqp_bf22_archer03::buff01_effect,10	skill1002_starforge			hero_103_skill1002.mp4		buffname_eqp_bf22_archer03;eqp_bf22_archer03::buff01_effect;Lock_StarForge_Level_Rome_10
191	3	5	1	70	item102020061001,60	1,800	1,800			eqp_bf22_archer04::buff01_lv1,8,eqp_bf22_archer04::buff01_effect,10	starforge01_icon					
192	3	5	2	70	item102020061001,90	1,1300	1,800	1,500		eqp_bf22_archer04::buff01_lv1,8,eqp_bf22_archer04::buff01_effect,10	starforge01_icon					
193	3	5	3	70	item102020061001,120	1,1800	1,1300	1,500		eqp_bf22_archer04::buff01_lv1,8,eqp_bf22_archer04::buff01_effect,10	starforge01_icon					
194	3	5	4	70	item102020061001,140;item102020061003,2	1,2800;31,100	1,1800;31,0	1,1000;31,100		eqp_bf22_archer04::buff01_lv1,8,eqp_bf22_archer04::buff01_effect,10	starforge02_icon					
195	3	5	5	70	item102020061002,60	1,4000;31,150	1,2800;31,100	1,1200;31,50		eqp_bf22_archer04::buff01_lv1,8,eqp_bf22_archer04::buff01_effect,10	starforge02_icon					
196	3	5	6	70	item102020061002,80	1,5100;31,200	1,4000;31,150	1,1100;31,50		eqp_bf22_archer04::buff01_lv1,8,eqp_bf22_archer04::buff01_effect,10	starforge03_icon					
197	3	5	7	70	item102020061002,130;item102020061003,3	1,6600;31,300	1,5100;31,200	1,1500;31,100		eqp_bf22_archer04::buff01_lv1,8,eqp_bf22_archer04::buff01_effect,10	starforge03_icon					
198	3	5	8	70	item102020061002,180;item102020061003,3	1,7500;31,350	1,6600;31,300	1,900;31,50	buffname_archer04_01	eqp_bf22_archer04::buff01_lv1,8,eqp_bf22_archer04::buff01_effect,10	skill_1016					
199	3	5	9	70	item102020061002,210;item102020061003,4;item102020061006,3	1,9500;31,400	1,7500;31,350	1,2000;31,50	buffname_archer04_02	eqp_bf22_archer04::buff01_lv2,9,eqp_bf22_archer04::buff01_effect,10	skill_1016					
200	3	5	10	70	item102020061004,3;item102020061003,10;item102020061006,6	1,12000;31,500	1,9500;31,400	1,2500;31,100	buffname_archer04_03	eqp_bf22_archer04::buff01_lv3,10,eqp_bf22_archer04::buff01_effect,10	skill1016_starforge			hero_103_skill1016.mp4		buffname_eqp_bf22_archer04;eqp_bf22_archer04::buff01_effect;Lock_StarForge_Level_Rome_10
201	3	6	1	75	item102020061001,80	3,100	3,100			eqp_bf22_archer05::buff01_lv1,8,eqp_bf22_archer05::buff01_effect,10	starforge01_icon					
202	3	6	2	75	item102020061001,120	3,170	3,100	3,70		eqp_bf22_archer05::buff01_lv1,8,eqp_bf22_archer05::buff01_effect,10	starforge01_icon					
203	3	6	3	75	item102020061001,120	3,240	3,170	3,70		eqp_bf22_archer05::buff01_lv1,8,eqp_bf22_archer05::buff01_effect,10	starforge01_icon					
204	3	6	4	75	item102020061001,180;item102020061003,2	3,450;33,100	3,240;33,0	3,210;33,100		eqp_bf22_archer05::buff01_lv1,8,eqp_bf22_archer05::buff01_effect,10	starforge02_icon					
205	3	6	5	75	item102020061002,90	3,630;33,150	3,450;33,100	3,180;33,50		eqp_bf22_archer05::buff01_lv1,8,eqp_bf22_archer05::buff01_effect,10	starforge02_icon					
206	3	6	6	75	item102020061002,100	3,800;33,200	3,630;33,150	3,170;33,50		eqp_bf22_archer05::buff01_lv1,8,eqp_bf22_archer05::buff01_effect,10	starforge03_icon					
207	3	6	7	75	item102020061002,150;item102020061003,4	3,1000;33,300	3,800;33,200	3,200;33,100		eqp_bf22_archer05::buff01_lv1,8,eqp_bf22_archer05::buff01_effect,10	starforge03_icon					
208	3	6	8	75	item102020061002,220;item102020061003,4	3,1200;33,350	3,1000;33,300	3,200;33,50	buffname_archer05_01	eqp_bf22_archer05::buff01_lv1,8,eqp_bf22_archer05::buff01_effect,10	skill_1003					
209	3	6	9	75	item102020061002,260;item102020061003,5;item102020061006,4	3,1400;33,400	3,1200;33,350	3,200;33,50	buffname_archer05_02	eqp_bf22_archer05::buff01_lv2,9,eqp_bf22_archer05::buff01_effect,10	skill_1003					
210	3	6	10	75	item102020061004,4;item102020061003,12;item102020061006,8	3,1600;33,500	3,1400;33,400	3,200;33,100	buffname_archer05_03	eqp_bf22_archer05::buff01_lv3,10,eqp_bf22_archer05::buff01_effect,10	skill1003_starforge			hero_103_skill1003.mp4		buffname_eqp_bf22_archer05;eqp_bf22_archer05::buff01_effect;Lock_StarForge_Level_Rome_10
211	3	7	1	80	item102020061001,80	4,100	4,100			eqp_bf22_archer06::buff01_lv1,8,eqp_bf22_archer06::buff01_effect,10	starforge01_icon					
212	3	7	2	80	item102020061001,120	4,170	4,100	4,70		eqp_bf22_archer06::buff01_lv1,8,eqp_bf22_archer06::buff01_effect,10	starforge01_icon					
213	3	7	3	80	item102020061001,130	4,240	4,170	4,70		eqp_bf22_archer06::buff01_lv1,8,eqp_bf22_archer06::buff01_effect,10	starforge01_icon					
214	3	7	4	80	item102020061001,180;item102020061003,2	4,450;34,100	4,240;34,0	4,210;34,100		eqp_bf22_archer06::buff01_lv1,8,eqp_bf22_archer06::buff01_effect,10	starforge02_icon					
215	3	7	5	80	item102020061002,90	4,630;34,150	4,450;34,100	4,180;34,50		eqp_bf22_archer06::buff01_lv1,8,eqp_bf22_archer06::buff01_effect,10	starforge02_icon					
216	3	7	6	80	item102020061002,130	4,800;34,200	4,630;34,150	4,170;34,50		eqp_bf22_archer06::buff01_lv1,8,eqp_bf22_archer06::buff01_effect,10	starforge03_icon					
217	3	7	7	80	item102020061002,165;item102020061003,4	4,1000;34,300	4,800;34,200	4,200;34,100		eqp_bf22_archer06::buff01_lv1,8,eqp_bf22_archer06::buff01_effect,10	starforge03_icon					
218	3	7	8	80	item102020061002,260;item102020061003,5	4,1200;34,350	4,1000;34,300	4,200;34,50	buffname_archer06_01	eqp_bf22_archer06::buff01_lv1,8,eqp_bf22_archer06::buff01_effect,10	skill_1005					
219	3	7	9	80	item102020061002,330;item102020061003,6;item102020061006,4	4,1400;34,400	4,1200;34,350	4,200;34,50	buffname_archer06_02	eqp_bf22_archer06::buff01_lv2,9,eqp_bf22_archer06::buff01_effect,10	skill_1005					
220	3	7	10	80	item102020061004,4;item102020061003,12;item102020061006,8	4,1600;34,500	4,1400;34,400	4,200;34,100	buffname_archer06_03	eqp_bf22_archer06::buff01_lv3,10,eqp_bf22_archer06::buff01_effect,10	skill1005_starforge			hero_103_skill1005.mp4		buffname_eqp_bf22_archer06;eqp_bf22_archer06::buff01_effect;Lock_StarForge_Level_Rome_10
221	3	8	1	85	item102020061001,120	3,120	3,120			eqp_bf22_archer07::buff01_lv1,8,eqp_bf22_archer07::buff01_effect,10	starforge01_icon					
222	3	8	2	85	item102020061001,180	3,200	3,120	3,80		eqp_bf22_archer07::buff01_lv1,8,eqp_bf22_archer07::buff01_effect,10	starforge01_icon					
223	3	8	3	85	item102020061001,195	3,280	3,200	3,80		eqp_bf22_archer07::buff01_lv1,8,eqp_bf22_archer07::buff01_effect,10	starforge01_icon					
224	3	8	4	85	item102020061001,270;item102020061003,3	3,530;173,200	3,280;173,0	3,250;173,200		eqp_bf22_archer07::buff01_lv1,8,eqp_bf22_archer07::buff01_effect,10	starforge02_icon					
225	3	8	5	85	item102020061002,120	3,740;173,300	3,530;173,200	3,210;173,100		eqp_bf22_archer07::buff01_lv1,8,eqp_bf22_archer07::buff01_effect,10	starforge02_icon					
226	3	8	6	85	item102020061002,170	3,940;173,400	3,740;173,300	3,200;173,100		eqp_bf22_archer07::buff01_lv1,8,eqp_bf22_archer07::buff01_effect,10	starforge03_icon					
227	3	8	7	85	item102020061002,210;item102020061003,5	3,1180;173,600	3,940;173,400	3,240;173,200		eqp_bf22_archer07::buff01_lv1,8,eqp_bf22_archer07::buff01_effect,10	starforge03_icon					
228	3	8	8	85	item102020061002,340;item102020061003,6	3,1420;173,700	3,1180;173,600	3,240;173,100	buffname_archer07_01	eqp_bf22_archer07::buff01_lv1,8,eqp_bf22_archer07::buff01_effect,10	skill_1004					
229	3	8	9	85	item102020061002,430;item102020061003,7;item102020061006,5	3,1660;173,800	3,1420;173,700	3,240;173,100	buffname_archer07_02	eqp_bf22_archer07::buff01_lv2,9,eqp_bf22_archer07::buff01_effect,10	skill_1004					
230	3	8	10	85	item102020061003,14;item102020061004,5;item102020061006,10	3,1900;173,1000	3,1660;173,800	3,240;173,200	buffname_archer07_03	eqp_bf22_archer07::buff01_lv3,10,eqp_bf22_archer07::buff01_effect,10	skill1004_starforge			hero_103_skill1004.mp4		buffname_eqp_bf22_archer07;eqp_bf22_archer07::buff01_effect;Lock_StarForge_Level_Rome_10
231	3	9	1	90	item102020061001,150	3,120	3,120			eqp_bf22_archer08::buff01_lv1,8,eqp_bf22_archer08::buff01_effect,10	starforge01_icon					
232	3	9	2	90	item102020061001,210	3,200	3,120	3,80		eqp_bf22_archer08::buff01_lv1,8,eqp_bf22_archer08::buff01_effect,10	starforge01_icon					
233	3	9	3	90	item102020061001,235	3,280	3,200	3,80		eqp_bf22_archer08::buff01_lv1,8,eqp_bf22_archer08::buff01_effect,10	starforge01_icon					
234	3	9	4	90	item102020061001,480;item102020061003,3	3,530;32,200	3,280;32,0	3,250;32,200		eqp_bf22_archer08::buff01_lv1,8,eqp_bf22_archer08::buff01_effect,10	starforge02_icon					
235	3	9	5	90	item102020061002,150	3,740;32,300	3,530;32,200	3,210;32,100		eqp_bf22_archer08::buff01_lv1,8,eqp_bf22_archer08::buff01_effect,10	starforge02_icon					
236	3	9	6	90	item102020061002,230	3,940;32,400	3,740;32,300	3,200;32,100		eqp_bf22_archer08::buff01_lv1,8,eqp_bf22_archer08::buff01_effect,10	starforge03_icon					
237	3	9	7	90	item102020061002,280;item102020061003,6	3,1180;32,600	3,940;32,400	3,240;32,200		eqp_bf22_archer08::buff01_lv1,8,eqp_bf22_archer08::buff01_effect,10	starforge03_icon					
238	3	9	8	90	item102020061002,420;item102020061003,7	3,1420;32,700	3,1180;32,600	3,240;32,100	buffname_archer08_01	eqp_bf22_archer08::buff01_lv1,8,eqp_bf22_archer08::buff01_effect,10	skill_1008					
239	3	9	9	90	item102020061002,510;item102020061003,8;item102020061006,6	3,1660;32,800	3,1420;32,700	3,240;32,100	buffname_archer08_02	eqp_bf22_archer08::buff01_lv2,9,eqp_bf22_archer08::buff01_effect,10	skill_1008					
240	3	9	10	90	item102020061003,16;item102020061004,5;item102020061006,12	3,1900;32,1000	3,1660;32,800	3,240;32,200	buffname_archer08_03	eqp_bf22_archer08::buff01_lv3,10,eqp_bf22_archer08::buff01_effect,10	skill1008_starforge			hero_103_skill1008.mp4		buffname_eqp_bf22_archer08;eqp_bf22_archer08::buff01_effect;Lock_StarForge_Level_Rome_10
241	4	2	1	40	item102020061001,10	1,400	1,400			eqp_bf22_priest01::buff01_lv1,8,eqp_bf22_priest01::buff01_effect,10	starforge01_icon					
242	4	2	2	40	item102020061001,20	1,700	1,400	1,300		eqp_bf22_priest01::buff01_lv1,8,eqp_bf22_priest01::buff01_effect,10	starforge01_icon					
243	4	2	3	40	item102020061001,25	1,1000	1,700	1,300		eqp_bf22_priest01::buff01_lv1,8,eqp_bf22_priest01::buff01_effect,10	starforge01_icon					
244	4	2	4	40	item102020061003,1;item102020061001,30	1,2000;30,100	1,1000;30,0	1,1000;30,100		eqp_bf22_priest01::buff01_lv1,8,eqp_bf22_priest01::buff01_effect,10	starforge02_icon					
245	4	2	5	40	item102020061002,10	1,2300;30,150	1,2000;30,100	1,300;30,50		eqp_bf22_priest01::buff01_lv1,8,eqp_bf22_priest01::buff01_effect,10	starforge02_icon					
246	4	2	6	40	item102020061002,25	1,3000;30,200	1,2300;30,150	1,700;30,50		eqp_bf22_priest01::buff01_lv1,8,eqp_bf22_priest01::buff01_effect,10	starforge03_icon					
247	4	2	7	40	item102020061003,2;item102020061002,50	1,4400;30,300	1,3000;30,200	1,1400;30,100		eqp_bf22_priest01::buff01_lv1,8,eqp_bf22_priest01::buff01_effect,10	starforge03_icon					
248	4	2	8	40	item102020061003,2;item102020061002,75	1,5300;30,350	1,4400;30,300	1,900;30,50	buffname_priest01_01	eqp_bf22_priest01::buff01_lv1,8,eqp_bf22_priest01::buff01_effect,10	skill_1301					
249	4	2	9	40	item102020061003,3;item102020061006,1;item102020061002,80	1,6000;30,400	1,5300;30,350	1,700;30,50	buffname_priest01_02	eqp_bf22_priest01::buff01_lv2,9,eqp_bf22_priest01::buff01_effect,10	skill_1301					
250	4	2	10	40	item102020061004,1;item102020061003,5;item102020061006,2	1,6700;30,500	1,6000;30,400	1,700;30,100	buffname_priest01_03	eqp_bf22_priest01::buff01_lv3,10,eqp_bf22_priest01::buff01_effect,10	skill1301_starforge			hero_104_skill1301.mp4		buffname_eqp_bf22_priest01;eqp_bf22_priest01::buff01_effect;Lock_StarForge_Level_Rome_10
251	4	3	1	50	item102020061001,20	3,50	3,50			eqp_bf22_priest02::buff01_lv1,8,eqp_bf22_priest02::buff01_effect,10	starforge01_icon					
252	4	3	2	50	item102020061001,25	3,75	3,50	3,25		eqp_bf22_priest02::buff01_lv1,8,eqp_bf22_priest02::buff01_effect,10	starforge01_icon					
253	4	3	3	50	item102020061001,30	3,100	3,75	3,25		eqp_bf22_priest02::buff01_lv1,8,eqp_bf22_priest02::buff01_effect,10	starforge01_icon					
254	4	3	4	50	item102020061003,1;item102020061001,55	3,180;51,100	3,100;51,0	3,80;51,100		eqp_bf22_priest02::buff01_lv1,8,eqp_bf22_priest02::buff01_effect,10	starforge02_icon					
255	4	3	5	50	item102020061002,20	3,250;51,150	3,180;51,100	3,70;51,50		eqp_bf22_priest02::buff01_lv1,8,eqp_bf22_priest02::buff01_effect,10	starforge02_icon					
256	4	3	6	50	item102020061002,45	3,350;51,200	3,250;51,150	3,100;51,50		eqp_bf22_priest02::buff01_lv1,8,eqp_bf22_priest02::buff01_effect,10	starforge03_icon					
257	4	3	7	50	item102020061003,2;item102020061002,65	3,500;51,300	3,350;51,200	3,150;51,100		eqp_bf22_priest02::buff01_lv1,8,eqp_bf22_priest02::buff01_effect,10	starforge03_icon					
