流水号	星灵ID	星灵阶级	升阶消耗	蕴养上限	包含星蕴ID
264	170000032	10	0	25	170032094,170032095,170032096,170032097,170032098,170032099,170032100,170032101,170032102,170032103,170032104,170032105,170032106,170032107,170032108,170032109,170032110
265	170000033	1	400000	5	170033001,170033002,170033003,170033004
266	170000033	2	700000	5	170033005,170033006,170033007,170033008
267	170000033	3	1500000	10	170033009,170033010,170033011,170033012,170033013,170033014,170033015
268	170000033	4	2100000	10	170033016,170033017,170033018,170033019,170033020,170033021,170033022,170033023,170033024,170033025
269	170000033	5	3600000	15	170033026,170033027,170033028,170033029,170033030,170033031,170033032,170033033,170033034,170033035
270	170000033	6	5400000	15	170033036,170033037,170033038,170033039,170033040,170033041,170033042,170033043,170033044,170033045,170033046,170033047,170033048
271	170000033	7	7200000	20	170033049,170033050,170033051,170033052,170033053,170033054,170033055,170033056,170033057,170033058,170033059,170033060,170033061,170033062,170033063
272	170000033	8	10000000	20	170033064,170033065,170033066,170033067,170033068,170033069,170033070,170033071,170033072,170033073,170033074,170033075,170033076,170033077,170033078
273	170000033	9	15000000	25	170033079,170033080,170033081,170033082,170033083,170033084,170033085,170033086,170033087,170033088,170033089,170033090,170033091,170033092,170033093
274	170000033	10	0	25	170033094,170033095,170033096,170033097,170033098,170033099,170033100,170033101,170033102,170033103,170033104,170033105,170033106,170033107,170033108,170033109,170033110
275	170000034	1	200000	5	170034001,170034002,170034003,170034004
276	170000034	2	400000	5	170034005,170034006,170034007,170034008
277	170000034	3	750000	10	170034009,170034010,170034011,170034012,170034013,170034014,170034015
278	170000034	4	1200000	10	170034016,170034017,170034018,170034019,170034020,170034021,170034022,170034023,170034024,170034025
279	170000034	5	2500000	15	170034026,170034027,170034028,170034029,170034030,170034031,170034032,170034033,170034034,170034035
280	170000034	6	3600000	15	170034036,170034037,170034038,170034039,170034040,170034041,170034042,170034043,170034044,170034045,170034046,170034047,170034048
281	170000034	7	5000000	20	170034049,170034050,170034051,170034052,170034053,170034054,170034055,170034056,170034057,170034058,170034059,170034060,170034061
282	170000034	8	0	25	170034062,170034063,170034064,170034065,170034066,170034067,170034068,170034069,170034070,170034071,170034072,170034073,170034074,170034075,170034076
283	170000035	1	400000	5	170035001,170035002,170035003,170035004
284	170000035	2	700000	5	170035005,170035006,170035007,170035008
285	170000035	3	1500000	10	170035009,170035010,170035011,170035012,170035013,170035014,170035015
286	170000035	4	2100000	10	170035016,170035017,170035018,170035019,170035020,170035021,170035022,170035023,170035024,170035025
287	170000035	5	3600000	15	170035026,170035027,170035028,170035029,170035030,170035031,170035032,170035033,170035034,170035035
288	170000035	6	5400000	15	170035036,170035037,170035038,170035039,170035040,170035041,170035042,170035043,170035044,170035045,170035046,170035047,170035048
289	170000035	7	7200000	20	170035049,170035050,170035051,170035052,170035053,170035054,170035055,170035056,170035057,170035058,170035059,170035060,170035061,170035062,170035063
290	170000035	8	10000000	20	170035064,170035065,170035066,170035067,170035068,170035069,170035070,170035071,170035072,170035073,170035074,170035075,170035076,170035077,170035078
291	170000035	9	15000000	25	170035079,170035080,170035081,170035082,170035083,170035084,170035085,170035086,170035087,170035088,170035089,170035090,170035091,170035092,170035093
292	170000035	10	0	25	170035094,170035095,170035096,170035097,170035098,170035099,170035100,170035101,170035102,170035103,170035104,170035105,170035106,170035107,170035108,170035109,170035110
293	170000036	1	400000	5	170036001,170036002,170036003,170036004
294	170000036	2	700000	5	170036005,170036006,170036007,170036008
295	170000036	3	1500000	10	170036009,170036010,170036011,170036012,170036013,170036014,170036015
296	170000036	4	2100000	10	170036016,170036017,170036018,170036019,170036020,170036021,170036022,170036023,170036024,170036025
297	170000036	5	3600000	15	170036026,170036027,170036028,170036029,170036030,170036031,170036032,170036033,170036034,170036035
298	170000036	6	5400000	15	170036036,170036037,170036038,170036039,170036040,170036041,170036042,170036043,170036044,170036045,170036046,170036047,170036048
299	170000036	7	7200000	20	170036049,170036050,170036051,170036052,170036053,170036054,170036055,170036056,170036057,170036058,170036059,170036060,170036061,170036062,170036063
300	170000036	8	10000000	20	170036064,170036065,170036066,170036067,170036068,170036069,170036070,170036071,170036072,170036073,170036074,170036075,170036076,170036077,170036078
301	170000036	9	15000000	25	170036079,170036080,170036081,170036082,170036083,170036084,170036085,170036086,170036087,170036088,170036089,170036090,170036091,170036092,170036093
302	170000036	10	0	25	170036094,170036095,170036096,170036097,170036098,170036099,170036100,170036101,170036102,170036103,170036104,170036105,170036106,170036107,170036108,170036109,170036110
303	170000037	1	400000	5	170036001,170036002,170036003,170036004
304	170000037	2	700000	5	170036005,170036006,170036007,170036008
305	170000037	3	1500000	10	170036009,170036010,170036011,170036012,170036013,170036014,170036015
306	170000037	4	2100000	10	170036016,170036017,170036018,170036019,170036020,170036021,170036022,170036023,170036024,170036025
307	170000037	5	3600000	15	170036026,170036027,170036028,170036029,170036030,170036031,170036032,170036033,170036034,170036035
308	170000037	6	5400000	15	170036036,170036037,170036038,170036039,170036040,170036041,170036042,170036043,170036044,170036045,170036046,170036047,170036048
309	170000037	7	7200000	20	170036049,170036050,170036051,170036052,170036053,170036054,170036055,170036056,170036057,170036058,170036059,170036060,170036061,170036062,170036063
310	170000037	8	10000000	20	170036064,170036065,170036066,170036067,170036068,170036069,170036070,170036071,170036072,170036073,170036074,170036075,170036076,170036077,170036078
311	170000037	9	15000000	25	170036079,170036080,170036081,170036082,170036083,170036084,170036085,170036086,170036087,170036088,170036089,170036090,170036091,170036092,170036093
312	170000037	10	0	25	170036094,170036095,170036096,170036097,170036098,170036099,170036100,170036101,170036102,170036103,170036104,170036105,170036106,170036107,170036108,170036109,170036110
313	170000038	1	400000	5	170038001,170038002,170038003,170038004
314	170000038	2	700000	5	170038005,170038006,170038007,170038008
315	170000038	3	1500000	10	170038009,170038010,170038011,170038012,170038013,170038014,170038015
316	170000038	4	2100000	10	170038016,170038017,170038018,170038019,170038020,170038021,170038022,170038023,170038024,170038025
317	170000038	5	3600000	15	170038026,170038027,170038028,170038029,170038030,170038031,170038032,170038033,170038034,170038035
318	170000038	6	5400000	15	170038036,170038037,170038038,170038039,170038040,170038041,170038042,170038043,170038044,170038045,170038046,170038047,170038048
319	170000038	7	7200000	20	170038049,170038050,170038051,170038052,170038053,170038054,170038055,170038056,170038057,170038058,170038059,170038060,170038061,170038062,170038063
320	170000038	8	10000000	20	170038064,170038065,170038066,170038067,170038068,170038069,170038070,170038071,170038072,170038073,170038074,170038075,170038076,170038077,170038078
321	170000038	9	15000000	25	170038079,170038080,170038081,170038082,170038083,170038084,170038085,170038086,170038087,170038088,170038089,170038090,170038091,170038092,170038093
322	170000038	10	0	25	170038094,170038095,170038096,170038097,170038098,170038099,170038100,170038101,170038102,170038103,170038104,170038105,170038106,170038107,170038108,170038109,170038110
323	170000039	1	400000	5	170039001,170039002,170039003,170039004
324	170000039	2	700000	5	170039005,170039006,170039007,170039008
325	170000039	3	1500000	10	170039009,170039010,170039011,170039012,170039013,170039014,170039015
326	170000039	4	2100000	10	170039016,170039017,170039018,170039019,170039020,170039021,170039022,170039023,170039024,170039025
327	170000039	5	3600000	15	170039026,170039027,170039028,170039029,170039030,170039031,170039032,170039033,170039034,170039035
328	170000039	6	5400000	15	170039036,170039037,170039038,170039039,170039040,170039041,170039042,170039043,170039044,170039045,170039046,170039047,170039048
329	170000039	7	7200000	20	170039049,170039050,170039051,170039052,170039053,170039054,170039055,170039056,170039057,170039058,170039059,170039060,170039061,170039062,170039063
330	170000039	8	10000000	20	170039064,170039065,170039066,170039067,170039068,170039069,170039070,170039071,170039072,170039073,170039074,170039075,170039076,170039077,170039078
331	170000039	9	15000000	25	170039079,170039080,170039081,170039082,170039083,170039084,170039085,170039086,170039087,170039088,170039089,170039090,170039091,170039092,170039093
332	170000039	10	0	25	170039094,170039095,170039096,170039097,170039098,170039099,170039100,170039101,170039102,170039103,170039104,170039105,170039106,170039107,170039108,170039109,170039110
333	170000040	1	400000	5	170040001,170040002,170040003,170040004
334	170000040	2	700000	5	170040005,170040006,170040007,170040008
335	170000040	3	1500000	10	170040009,170040010,170040011,170040012,170040013,170040014,170040015
336	170000040	4	2100000	10	170040016,170040017,170040018,170040019,170040020,170040021,170040022,170040023,170040024,170040025
337	170000040	5	3600000	15	170040026,170040027,170040028,170040029,170040030,170040031,170040032,170040033,170040034,170040035
338	170000040	6	5400000	15	170040036,170040037,170040038,170040039,170040040,170040041,170040042,170040043,170040044,170040045,170040046,170040047,170040048
339	170000040	7	7200000	20	170040049,170040050,170040051,170040052,170040053,170040054,170040055,170040056,170040057,170040058,170040059,170040060,170040061,170040062,170040063
340	170000040	8	10000000	20	170040064,170040065,170040066,170040067,170040068,170040069,170040070,170040071,170040072,170040073,170040074,170040075,170040076,170040077,170040078
341	170000040	9	15000000	25	170040079,170040080,170040081,170040082,170040083,170040084,170040085,170040086,170040087,170040088,170040089,170040090,170040091,170040092,170040093
342	170000040	10	0	25	170040094,170040095,170040096,170040097,170040098,170040099,170040100,170040101,170040102,170040103,170040104,170040105,170040106,170040107,170040108,170040109,170040110
343	170000041	1	200000	5	170016001,170016002,170016003,170016004
344	170000041	2	400000	5	170016005,170016006,170016007,170016008
345	170000041	3	750000	10	170016009,170016010,170016011,170016012,170016013,170016014,170016015
346	170000041	4	1200000	10	170016016,170016017,170016018,170016019,170016020,170016021,170016022,170016023,170016024,170016025
347	170000041	5	2500000	15	170016026,170016027,170016028,170016029,170016030,170016031,170016032,170016033,170016034,170016035
348	170000041	6	3600000	15	170016036,170016037,170016038,170016039,170016040,170016041,170016042,170016043,170016044,170016045,170016046,170016047,170016048
349	170000041	7	5000000	20	170016049,170016050,170016051,170016052,170016053,170016054,170016055,170016056,170016057,170016058,170016059,170016060,170016061
350	170000041	8	0	25	170016062,170016063,170016064,170016065,170016066,170016067,170016068,170016069,170016070,170016071,170016072,170016073,170016074,170016075,170016076
351	170000042	1	400000	5	170040001,170040002,170040003,170040004
352	170000042	2	700000	5	170040005,170040006,170040007,170040008
353	170000042	3	1500000	10	170040009,170040010,170040011,170040012,170040013,170040014,170040015
354	170000042	4	2100000	10	170040016,170040017,170040018,170040019,170040020,170040021,170040022,170040023,170040024,170040025
355	170000042	5	3600000	15	170040026,170040027,170040028,170040029,170040030,170040031,170040032,170040033,170040034,170040035
356	170000042	6	5400000	15	170040036,170040037,170040038,170040039,170040040,170040041,170040042,170040043,170040044,170040045,170040046,170040047,170040048
357	170000042	7	7200000	20	170040049,170040050,170040051,170040052,170040053,170040054,170040055,170040056,170040057,170040058,170040059,170040060,170040061,170040062,170040063
358	170000042	8	10000000	20	170040064,170040065,170040066,170040067,170040068,170040069,170040070,170040071,170040072,170040073,170040074,170040075,170040076,170040077,170040078
359	170000042	9	15000000	25	170040079,170040080,170040081,170040082,170040083,170040084,170040085,170040086,170040087,170040088,170040089,170040090,170040091,170040092,170040093
360	170000042	10	0	25	170040094,170040095,170040096,170040097,170040098,170040099,170040100,170040101,170040102,170040103,170040104,170040105,170040106,170040107,170040108,170040109,170040110
361	170000043	1	400000	5	170040001,170040002,170040003,170040004
362	170000043	2	700000	5	170040005,170040006,170040007,170040008
363	170000043	3	1500000	10	170040009,170040010,170040011,170040012,170040013,170040014,170040015
364	170000043	4	2100000	10	170040016,170040017,170040018,170040019,170040020,170040021,170040022,170040023,170040024,170040025
365	170000043	5	3600000	15	170040026,170040027,170040028,170040029,170040030,170040031,170040032,170040033,170040034,170040035
366	170000043	6	5400000	15	170040036,170040037,170040038,170040039,170040040,170040041,170040042,170040043,170040044,170040045,170040046,170040047,170040048
367	170000043	7	7200000	20	170040049,170040050,170040051,170040052,170040053,170040054,170040055,170040056,170040057,170040058,170040059,170040060,170040061,170040062,170040063
368	170000043	8	10000000	20	170040064,170040065,170040066,170040067,170040068,170040069,170040070,170040071,170040072,170040073,170040074,170040075,170040076,170040077,170040078
369	170000043	9	15000000	25	170040079,170040080,170040081,170040082,170040083,170040084,170040085,170040086,170040087,170040088,170040089,170040090,170040091,170040092,170040093
370	170000043	10	0	25	170040094,170040095,170040096,170040097,170040098,170040099,170040100,170040101,170040102,170040103,170040104,170040105,170040106,170040107,170040108,170040109,170040110
371	170000044	1	400000	5	170002001,170002002,170002003,170002004
372	170000044	2	700000	5	170002005,170002006,170002007,170002008
373	170000044	3	1500000	10	170002009,170002010,170002011,170002012,170002013,170002014,170002015
374	170000044	4	2100000	10	170002016,170002017,170002018,170002019,170002020,170002021,170002022,170002023,170002024,170002025
375	170000044	5	3600000	15	170002026,170002027,170002028,170002029,170002030,170002031,170002032,170002033,170002034,170002035
376	170000044	6	5400000	15	170002036,170002037,170002038,170002039,170002040,170002041,170002042,170002043,170002044,170002045,170002046,170002047,170002048
377	170000044	7	7200000	20	170002049,170002050,170002051,170002052,170002053,170002054,170002055,170002056,170002057,170002058,170002059,170002060,170002061,170002062,170002063
378	170000044	8	10000000	20	170002064,170002065,170002066,170002067,170002068,170002069,170002070,170002071,170002072,170002073,170002074,170002075,170002076,170002077,170002078
379	170000044	9	15000000	25	170002079,170002080,170002081,170002082,170002083,170002084,170002085,170002086,170002087,170002088,170002089,170002090,170002091,170002092,170002093
380	170000044	10	0	25	170002094,170002095,170002096,170002097,170002098,170002099,170002100,170002101,170002102,170002103,170002104,170002105,170002106,170002107,170002108,170002109,170002110
