流水	纹章ID	类别	品质	进阶等级	分解返还材料(不包含觉醒材料）	属性值	物品等级	物品等级描述	默认孔数	最多锁属性数量	底图	插槽坐标	未鉴定纹章ID	觉醒最大孔位数量
235	item171001030102	badge_10301	4	15	item8171000101061,293;item171000101012,75;item171000101031,5	1,6624;4,504;32,504	783	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070102	2
236	item171001030102	badge_10301	4	16	item8171000101061,325;item171000101012,75;item171000101031,5	1,6789;4,504;32,504	783	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070102	2
237	item171001030102	badge_10301	4	17	item8171000101061,359;item171000101012,75;item171000101031,5	1,6955;4,504;32,504	783	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070102	2
238	item171001030102	badge_10301	4	18	item8171000101061,395;item171000101012,75;item171000101031,5	1,7120;4,504;32,504	783	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070102	2
239	item171001030102	badge_10301	4	19	item8171000101061,433;item171000101012,75;item171000101031,5	1,7286;4,504;32,504	783	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070102	2
240	item171001030102	badge_10301	4	20	item8171000101061,473;item171000101012,75;item171000101031,5	1,7452;4,522;32,522	783	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070102	2
241	item171001030103	badge_10301	4	0	item8171000101061,50;item171000101012,75;item171000101031,5	1,3680;4,400;32,400	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070103	2
242	item171001030103	badge_10301	4	1	item8171000101061,54;item171000101012,75;item171000101031,5	1,3827;4,400;32,400	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070103	2
243	item171001030103	badge_10301	4	2	item8171000101061,59;item171000101012,75;item171000101031,5	1,3974;4,400;32,400	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070103	2
244	item171001030103	badge_10301	4	3	item8171000101061,65;item171000101012,75;item171000101031,5	1,4121;4,400;32,400	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070103	2
245	item171001030103	badge_10301	4	4	item8171000101061,73;item171000101012,75;item171000101031,5	1,4268;4,400;32,400	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070103	2
246	item171001030103	badge_10301	4	5	item8171000101061,83;item171000101012,75;item171000101031,5	1,4416;4,416;32,416	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070103	2
247	item171001030103	badge_10301	4	6	item8171000101061,95;item171000101012,75;item171000101031,5	1,4563;4,416;32,416	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070103	2
248	item171001030103	badge_10301	4	7	item8171000101061,109;item171000101012,75;item171000101031,5	1,4710;4,416;32,416	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070103	2
249	item171001030103	badge_10301	4	8	item8171000101061,125;item171000101012,75;item171000101031,5	1,4857;4,416;32,416	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070103	2
250	item171001030103	badge_10301	4	9	item8171000101061,143;item171000101012,75;item171000101031,5	1,5004;4,416;32,416	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070103	2
251	item171001030103	badge_10301	4	10	item8171000101061,163;item171000101012,75;item171000101031,5	1,5152;4,432;32,432	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070103	2
252	item171001030103	badge_10301	4	11	item8171000101061,185;item171000101012,75;item171000101031,5	1,5299;4,432;32,432	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070103	2
253	item171001030103	badge_10301	4	12	item8171000101061,209;item171000101012,75;item171000101031,5	1,5446;4,432;32,432	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070103	2
254	item171001030103	badge_10301	4	13	item8171000101061,235;item171000101012,75;item171000101031,5	1,5593;4,432;32,432	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070103	2
255	item171001030103	badge_10301	4	14	item8171000101061,263;item171000101012,75;item171000101031,5	1,5740;4,432;32,432	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070103	2
256	item171001030103	badge_10301	4	15	item8171000101061,293;item171000101012,75;item171000101031,5	1,5888;4,448;32,448	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070103	2
257	item171001030103	badge_10301	4	16	item8171000101061,325;item171000101012,75;item171000101031,5	1,6035;4,448;32,448	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070103	2
258	item171001030103	badge_10301	4	17	item8171000101061,359;item171000101012,75;item171000101031,5	1,6182;4,448;32,448	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070103	2
259	item171001030103	badge_10301	4	18	item8171000101061,395;item171000101012,75;item171000101031,5	1,6329;4,448;32,448	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070103	2
260	item171001030103	badge_10301	4	19	item8171000101061,433;item171000101012,75;item171000101031,5	1,6476;4,448;32,448	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070103	2
261	item171001030103	badge_10301	4	20	item8171000101061,473;item171000101012,75;item171000101031,5	1,6624;4,464;32,464	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070103	2
262	item171001030201	badge_10302	4	0	item8171000101061,50;item171000101012,75;item171000101031,5	1,4600;3,500;33,500	870	3	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070201	2
263	item171001030201	badge_10302	4	1	item8171000101061,54;item171000101012,75;item171000101031,5	1,4830;3,500;33,500	870	3	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070201	2
264	item171001030201	badge_10302	4	2	item8171000101061,59;item171000101012,75;item171000101031,5	1,5060;3,500;33,500	870	3	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070201	2
265	item171001030201	badge_10302	4	3	item8171000101061,65;item171000101012,75;item171000101031,5	1,5290;3,500;33,500	870	3	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070201	2
266	item171001030201	badge_10302	4	4	item8171000101061,73;item171000101012,75;item171000101031,5	1,5520;3,500;33,500	870	3	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070201	2
267	item171001030201	badge_10302	4	5	item8171000101061,83;item171000101012,75;item171000101031,5	1,5750;3,525;33,525	870	3	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070201	2
268	item171001030201	badge_10302	4	6	item8171000101061,95;item171000101012,75;item171000101031,5	1,5980;3,525;33,525	870	3	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070201	2
269	item171001030201	badge_10302	4	7	item8171000101061,109;item171000101012,75;item171000101031,5	1,6210;3,525;33,525	870	3	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070201	2
270	item171001030201	badge_10302	4	8	item8171000101061,125;item171000101012,75;item171000101031,5	1,6440;3,525;33,525	870	3	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070201	2
271	item171001030201	badge_10302	4	9	item8171000101061,143;item171000101012,75;item171000101031,5	1,6670;3,525;33,525	870	3	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070201	2
272	item171001030201	badge_10302	4	10	item8171000101061,163;item171000101012,75;item171000101031,5	1,6900;3,550;33,550	870	3	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070201	2
273	item171001030201	badge_10302	4	11	item8171000101061,185;item171000101012,75;item171000101031,5	1,7130;3,550;33,550	870	3	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070201	2
274	item171001030201	badge_10302	4	12	item8171000101061,209;item171000101012,75;item171000101031,5	1,7360;3,550;33,550	870	3	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070201	2
275	item171001030201	badge_10302	4	13	item8171000101061,235;item171000101012,75;item171000101031,5	1,7590;3,550;33,550	870	3	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070201	2
276	item171001030201	badge_10302	4	14	item8171000101061,263;item171000101012,75;item171000101031,5	1,7820;3,550;33,550	870	3	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070201	2
277	item171001030201	badge_10302	4	15	item8171000101061,293;item171000101012,75;item171000101031,5	1,8050;3,575;33,575	870	3	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070201	2
278	item171001030201	badge_10302	4	16	item8171000101061,325;item171000101012,75;item171000101031,5	1,8280;3,575;33,575	870	3	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070201	2
279	item171001030201	badge_10302	4	17	item8171000101061,359;item171000101012,75;item171000101031,5	1,8510;3,575;33,575	870	3	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070201	2
280	item171001030201	badge_10302	4	18	item8171000101061,395;item171000101012,75;item171000101031,5	1,8740;3,575;33,575	870	3	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070201	2
281	item171001030201	badge_10302	4	19	item8171000101061,433;item171000101012,75;item171000101031,5	1,8970;3,575;33,575	870	3	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070201	2
282	item171001030201	badge_10302	4	20	item8171000101061,473;item171000101012,75;item171000101031,5	1,9200;3,600;33,600	870	3	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070201	2
283	item171001030202	badge_10302	4	0	item8171000101061,50;item171000101012,75;item171000101031,5	1,4140;3,450;33,450	783	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070202	2
284	item171001030202	badge_10302	4	1	item8171000101061,54;item171000101012,75;item171000101031,5	1,4305;3,450;33,450	783	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070202	2
285	item171001030202	badge_10302	4	2	item8171000101061,59;item171000101012,75;item171000101031,5	1,4471;3,450;33,450	783	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070202	2
286	item171001030202	badge_10302	4	3	item8171000101061,65;item171000101012,75;item171000101031,5	1,4636;3,450;33,450	783	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070202	2
287	item171001030202	badge_10302	4	4	item8171000101061,73;item171000101012,75;item171000101031,5	1,4802;3,450;33,450	783	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070202	2
288	item171001030202	badge_10302	4	5	item8171000101061,83;item171000101012,75;item171000101031,5	1,4968;3,468;33,468	783	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070202	2
289	item171001030202	badge_10302	4	6	item8171000101061,95;item171000101012,75;item171000101031,5	1,5133;3,468;33,468	783	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070202	2
290	item171001030202	badge_10302	4	7	item8171000101061,109;item171000101012,75;item171000101031,5	1,5299;3,468;33,468	783	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070202	2
291	item171001030202	badge_10302	4	8	item8171000101061,125;item171000101012,75;item171000101031,5	1,5464;3,468;33,468	783	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070202	2
292	item171001030202	badge_10302	4	9	item8171000101061,143;item171000101012,75;item171000101031,5	1,5630;3,468;33,468	783	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070202	2
293	item171001030202	badge_10302	4	10	item8171000101061,163;item171000101012,75;item171000101031,5	1,5796;3,486;33,486	783	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070202	2
294	item171001030202	badge_10302	4	11	item8171000101061,185;item171000101012,75;item171000101031,5	1,5961;3,486;33,486	783	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070202	2
295	item171001030202	badge_10302	4	12	item8171000101061,209;item171000101012,75;item171000101031,5	1,6127;3,486;33,486	783	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070202	2
296	item171001030202	badge_10302	4	13	item8171000101061,235;item171000101012,75;item171000101031,5	1,6292;3,486;33,486	783	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070202	2
297	item171001030202	badge_10302	4	14	item8171000101061,263;item171000101012,75;item171000101031,5	1,6458;3,486;33,486	783	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070202	2
298	item171001030202	badge_10302	4	15	item8171000101061,293;item171000101012,75;item171000101031,5	1,6624;3,504;33,504	783	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070202	2
299	item171001030202	badge_10302	4	16	item8171000101061,325;item171000101012,75;item171000101031,5	1,6789;3,504;33,504	783	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070202	2
300	item171001030202	badge_10302	4	17	item8171000101061,359;item171000101012,75;item171000101031,5	1,6955;3,504;33,504	783	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070202	2
301	item171001030202	badge_10302	4	18	item8171000101061,395;item171000101012,75;item171000101031,5	1,7120;3,504;33,504	783	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070202	2
302	item171001030202	badge_10302	4	19	item8171000101061,433;item171000101012,75;item171000101031,5	1,7286;3,504;33,504	783	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070202	2
303	item171001030202	badge_10302	4	20	item8171000101061,473;item171000101012,75;item171000101031,5	1,7452;3,522;33,522	783	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070202	2
304	item171001030203	badge_10302	4	0	item8171000101061,50;item171000101012,75;item171000101031,5	1,3680;3,400;33,400	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070203	2
305	item171001030203	badge_10302	4	1	item8171000101061,54;item171000101012,75;item171000101031,5	1,3827;3,400;33,400	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070203	2
306	item171001030203	badge_10302	4	2	item8171000101061,59;item171000101012,75;item171000101031,5	1,3974;3,400;33,400	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070203	2
307	item171001030203	badge_10302	4	3	item8171000101061,65;item171000101012,75;item171000101031,5	1,4121;3,400;33,400	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070203	2
308	item171001030203	badge_10302	4	4	item8171000101061,73;item171000101012,75;item171000101031,5	1,4268;3,400;33,400	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070203	2
309	item171001030203	badge_10302	4	5	item8171000101061,83;item171000101012,75;item171000101031,5	1,4416;3,416;33,416	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070203	2
310	item171001030203	badge_10302	4	6	item8171000101061,95;item171000101012,75;item171000101031,5	1,4563;3,416;33,416	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070203	2
311	item171001030203	badge_10302	4	7	item8171000101061,109;item171000101012,75;item171000101031,5	1,4710;3,416;33,416	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070203	2
312	item171001030203	badge_10302	4	8	item8171000101061,125;item171000101012,75;item171000101031,5	1,4857;3,416;33,416	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070203	2
313	item171001030203	badge_10302	4	9	item8171000101061,143;item171000101012,75;item171000101031,5	1,5004;3,416;33,416	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070203	2
314	item171001030203	badge_10302	4	10	item8171000101061,163;item171000101012,75;item171000101031,5	1,5152;3,432;33,432	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070203	2
315	item171001030203	badge_10302	4	11	item8171000101061,185;item171000101012,75;item171000101031,5	1,5299;3,432;33,432	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070203	2
316	item171001030203	badge_10302	4	12	item8171000101061,209;item171000101012,75;item171000101031,5	1,5446;3,432;33,432	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070203	2
317	item171001030203	badge_10302	4	13	item8171000101061,235;item171000101012,75;item171000101031,5	1,5593;3,432;33,432	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070203	2
318	item171001030203	badge_10302	4	14	item8171000101061,263;item171000101012,75;item171000101031,5	1,5740;3,432;33,432	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070203	2
319	item171001030203	badge_10302	4	15	item8171000101061,293;item171000101012,75;item171000101031,5	1,5888;3,448;33,448	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070203	2
320	item171001030203	badge_10302	4	16	item8171000101061,325;item171000101012,75;item171000101031,5	1,6035;3,448;33,448	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070203	2
321	item171001030203	badge_10302	4	17	item8171000101061,359;item171000101012,75;item171000101031,5	1,6182;3,448;33,448	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070203	2
322	item171001030203	badge_10302	4	18	item8171000101061,395;item171000101012,75;item171000101031,5	1,6329;3,448;33,448	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070203	2
323	item171001030203	badge_10302	4	19	item8171000101061,433;item171000101012,75;item171000101031,5	1,6476;3,448;33,448	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070203	2
324	item171001030203	badge_10302	4	20	item8171000101061,473;item171000101012,75;item171000101031,5	1,6624;3,464;33,464	696	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001070203	2
325	item171001030301	badge_10303	4	0	item8171000101061,50;item171000101012,75;item171000101031,5	4,600;3,600;51,500	1050	3	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070301	2
326	item171001030301	badge_10303	4	1	item8171000101061,54;item171000101012,75;item171000101031,5	4,624;3,600;51,500	1050	3	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070301	2
327	item171001030301	badge_10303	4	2	item8171000101061,59;item171000101012,75;item171000101031,5	4,648;3,600;51,500	1050	3	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070301	2
328	item171001030301	badge_10303	4	3	item8171000101061,65;item171000101012,75;item171000101031,5	4,672;3,600;51,500	1050	3	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070301	2
329	item171001030301	badge_10303	4	4	item8171000101061,73;item171000101012,75;item171000101031,5	4,696;3,600;51,500	1050	3	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070301	2
330	item171001030301	badge_10303	4	5	item8171000101061,83;item171000101012,75;item171000101031,5	4,720;3,624;51,520	1050	3	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070301	2
