NPC编号	对象类型	NPC类型	头像显示	描边参数	头像	名字	功能名称	名称位置	小地图标志	场景头上icon	附近显示npc	模型编号	模型缩放	挂件模型	特殊icon	动作集	随机动作列表	是否转向	圆柱高度	圆柱半径	对话显示修正	对话显示缩放	对话摄像机位置修正	对话摄像机角度修正	特殊对话摄像机位置修正	特殊对话摄像机角度修正	送礼(聚焦)摄像机位置修正	送礼(聚焦)摄像机角度修正	是否不能被其他npc选择	常驻美术特效	模型效果	阻挡信息
npc_10178	FuncNpc	1	1	1	n021_portrait01	NpcName_10139		0,1.2,0				n021|body|n021_body_t1	1.000000			3003003		1	2.070000	0.500000	0,0.1,0	1.000000	0,0,0	0,0,0					1		0	
npc_10179	FuncNpc	4	1	1	n024_portrait01	NpcName_10044		0,1.2,0				n024|body|n024_body_t1	1.000000			3003003		1	2.130000	0.500000	0,-0.1,0.3	1.000000	0,0,0	0,0,0					1		0	
npc_10180	FuncNpc	4	1	1	n069_portrait01	NpcName_trial		0,1.2,0				n069|body|n069_body_t1	1.000000			3004003		1	1.940000	0.500000	0,-0.2,0	1.000000	0,0,0	0,0,0					1		0	
npc_10181	FuncNpc	4	1	1	n027_portrait01	NpcName_10038		0,1.2,0				n027|body|n027_body_t1	1.000000			3004003		1	1.730000	0.500000	0,0,-0.3	1.000000	0,0,0	0,0,0					1		0	
npc_10182	FuncNpc	4	1	1	n022_portrait01	NpcName_10041		0,1.2,0				n022|body|n022_body_t1	1.000000			3004003		1	1.920000	0.500000	-0.05,0,-0.3	1.000000	0,0,0	0,0,0					1		0	
npc_10183	FuncNpc	4	0	1	n028_portrait01	NpcName_crack		0,1.2,0				n028|body|n028_body_t1	1.000000			3001003		1	2.040000	0.500000	0,0,0.25	1.000000	0,0,0	0,0,0					1		0	
npc_10184	FuncNpc	4	1	1	n032_portrait01	NpcName_10076		0,1.2,0				n032|body|n032_body_t1	1.000000			3004003		1	2.600000	0.500000	-0.2,-0.2,0.3	1.000000	0,0,0	0,0,0					1		0	
npc_10185	FuncNpc	1	1	1	m917_portrait02	NpcName_10185		0,1.2,0				m917|body|m917_body_t4|parta|m917_parta_t4	1.000000			2045002		1	2.680000	0.600000	-0.2,-0.3,1.7	1.000000	0,0,0	0,0,0					1		0	
npc_10186	FuncNpc	1	1	1	n900_portrait01	NpcName_10186		0,1.2,0				n900|body|n900_body_t1	1.000000			3001103		1	1.810000	0.500000	0,-0.05,-0.2	1.000000	0,0,0	0,0,0					1		0	
npc_101861	FuncNpc	1	1	1	n900_portrait01	NpcName_10186		0,1.2,0				n900|body|n900_body_t1	1.000000			3001103		1	1.810000	0.500000	0,-0.05,-0.2	1.000000	0,0,0	0,0,0					1		0	
npc_101862	FuncNpc	1	1	1	n900_portrait01	NpcName_10186		0,1.2,0				n900|body|n900_body_t1	1.000000			3001103		1	1.810000	0.500000	0,-0.05,-0.2	1.000000	0,0,0	0,0,0					1		0	
npc_101863	FuncNpc	1	1	1	n900_portrait01	NpcName_10186		0,1.2,0				n900|body|n900_body_t1	1.000000			3001103		1	1.810000	0.500000	0,-0.05,-0.2	1.000000	0,0,0	0,0,0					1		0	
npc_10187	FuncNpc	1	1	1	n907_portrait01	NpcName_10187		0,1.2,0				n907|body|n907_body_t1	1.000000			3004003		1	1.900000	0.500000	-0.04,-0.2,-0.1	1.000000	0,0,0	0,0,0					1		0	
npc_101871	FuncNpc	1	1	1	n907_portrait01	NpcName_10187		0,1.2,0				n907|body|n907_body_t1	1.000000			3004003		1	1.900000	0.500000	-0.04,-0.2,-0.1	1.000000	0,0,0	0,0,0					1		0	
npc_101872	FuncNpc	1	1	1	n907_portrait01	NpcName_10187		0,1.2,0				n907|body|n907_body_t1	1.000000			3004003		1	1.900000	0.500000	-0.04,-0.2,-0.1	1.000000	0,0,0	0,0,0					1		0	
npc_101873	FuncNpc	1	1	1	n907_portrait01	NpcName_10187		0,1.2,0				n907|body|n907_body_t1	1.000000			3004003		1	1.900000	0.500000	-0.04,-0.2,-0.1	1.000000	0,0,0	0,0,0					1		0	
npc_101874	FuncNpc	1	1	1	n907_portrait01	NpcName_10187		0,1.2,0				n907|body|n907_body_t1	1.000000			3004003		0	1.900000	0.500000	-0.04,-0.2,-0.1	1.000000	0,0,0	0,0,0					1		0	
npc_101875	FuncNpc	1	1	1	n907_portrait01	NpcName_10187		0,1.2,0				n907|body|n907_body_t1	1.000000			3004003		0	1.900000	0.500000	-0.04,-0.2,-0.1	1.000000	0,0,0	0,0,0					1		0	
npc_101876	FuncNpc	1	1	1	n907_portrait01	NpcName_10187		0,1.2,0				n907|body|n907_body_t1	1.000000			3004003		0	1.900000	0.500000	-0.04,-0.2,-0.1	1.000000	0,0,0	0,0,0					1		0	
npc_10188	FuncNpc	1	1	1	m054_portrait01	NpcName_10188		0,1.2,0				m054|body|m054_body_t1|partb|m054_partb_t1	1.000000			3004003		1	1.600000	0.500000	-0.1,0.2,0.5	1.000000	0,0,0	0,0,0					1		0	
npc_101881	FuncNpc	1	1	1	m054_portrait01	NpcName_10188		0,1.2,0				m054|body|m054_body_t1|partb|m054_partb_t1	1.000000			3004003		1	1.600000	0.500000	-0.1,0.2,0.5	1.000000	0,0,0	0,0,0					1		0	
npc_10189	FuncNpc	1	1	1	m054_portrait04	NpcName_10189	FunctionName_10189	0,1.2,0			1	m054|body|m054_body_t4|parta|m054_parta_t1	1.000000			3001003		1	1.600000	0.500000	-0.1,0.2,0.5	1.000000	0,0,0	0,0,0					1		0	
npc_101891	FuncNpc	1	1	1	m054_portrait04	NpcName_10189	FunctionName_10189	0,1.2,0				m054|body|m054_body_t4|parta|m054_parta_t1	1.000000			3001003		1	1.600000	0.500000	-0.1,0.2,0.5	1.000000	0,0,0	0,0,0					1		0	
npc_10190	FuncNpc	1	1	1	m055_portrait02	NpcName_10190	FunctionName_10190	0,1.2,0			1	m055|body|m055_body_t2	1.000000			3000003		1	1.600000	1.000000	-0.1,0.2,0.5	1.000000	0,0,0	0,0,0					1		0	
npc_101901	FuncNpc	1	1	1	m055_portrait02	NpcName_10190	FunctionName_10190	0,1.2,0				m055|body|m055_body_t2	1.000000			3000003		1	1.600000	1.000000	-0.1,0.2,0.5	1.000000	0,0,0	0,0,0					1		0	
npc_10191	FuncNpc	1	1	1	n082_portrait01	NpcName_10191	FunctionName_10191	0,1.2,0				n082|body|n082_body_t1	1.000000			3004103		1	1.600000	0.500000	0,0.5,-0.2	1.000000	0,0,0	0,0,0					1		0	
npc_101911	FuncNpc	1	1	1	n082_portrait01	NpcName_10191	FunctionName_10191	0,1.2,0				n082|body|n082_body_t1	1.000000			3004103		1	1.600000	0.500000	0,0.5,-0.2	1.000000	0,0,0	0,0,0					1		0	
npc_101912	FuncNpc	1	1	1	n082_portrait01	NpcName_10191	FunctionName_10191	0,1.2,0				n082|body|n082_body_t1	1.000000			3004103		1	1.600000	0.500000	0,0.5,-0.2	1.000000	0,0,0	0,0,0					1		0	
npc_101913	FuncNpc	1	1	1	n082_portrait01	NpcName_10191	FunctionName_10191	0,1.2,0				n082|body|n082_body_t1	1.000000			3004103		1	1.600000	0.500000	0,0.5,-0.2	1.000000	0,0,0	0,0,0					1		0	
npc_10192	FuncNpc	1	1	1	n002_portrait01	NpcName_10192		0,1.2,0				n002|body|n002_body_t1	1.000000			3000203		1	1.780000	0.500000	0,0,0	1.000000	0,0,0	0,0,0					1		0	
npc_101921	FuncNpc	1	1	1	n002_portrait01	NpcName_10192		0,1.2,0				n002|body|n002_body_t1	1.000000			3000203		1	1.780000	0.500000	0,0,0	1.000000	0,0,0	0,0,0					1		0	
npc_101922	FuncNpc	1	1	1	n002_portrait01	NpcName_10192		0,1.2,0				n002|body|n002_body_t1	1.000000			3000203		1	1.780000	0.500000	0,0,0	1.000000	0,0,0	0,0,0					1		0	
npc_101923	FuncNpc	1	1	1	n002_portrait01	NpcName_10192		0,1.2,0				n002|body|n002_body_t1	1.000000			3000203		1	1.780000	0.500000	0,0,0	1.000000	0,0,0	0,0,0					1		0	
npc_101924	FuncNpc	1	1	1	n002_portrait01	NpcName_10192		0,1.2,0				n002|body|n002_body_t1	1.000000			3000203		1	1.780000	0.500000	0,0,0	1.000000	0,0,0	0,0,0					1		0	
npc_101925	FuncNpc	1	1	1	n002_portrait01	NpcName_10192		0,1.2,0				n002|body|n002_body_t1	1.000000			3000203		1	1.780000	0.500000	0,0,0	1.000000	0,0,0	0,0,0					1		0	
npc_101926	FuncNpc	1	1	1	n002_portrait01	NpcName_10192		0,1.2,0				n002|body|n002_body_t1	1.000000			3000203		1	1.780000	0.500000	0,0,0	1.000000	0,0,0	0,0,0					1		0	
npc_101927	FuncNpc	1	1	1	n002_portrait01	NpcName_10192		0,1.2,0				n002|body|n002_body_t1	1.000000			3000203		1	1.780000	0.500000	0,0,0	1.000000	0,0,0	0,0,0					1		0	
npc_101928	FuncNpc	1	1	1	n002_portrait01	NpcName_10192		0,1.2,0				n002|body|n002_body_t1	1.000000			3000203		1	1.780000	0.500000	0,0,0	1.000000	0,0,0	0,0,0					1		0	
npc_101929	FuncNpc	1	1	1	n002_portrait01	NpcName_10192		0,1.2,0				n002|body|n002_body_t1	1.000000			3000203		1	1.780000	0.500000	0,0,0	1.000000	0,0,0	0,0,0					1		0	
npc_10193	FuncNpc	1	1	1	n084_portrait01	NpcName_10193		0,1.2,0				n084|body|n084_body_t1	1.000000			3005103		1	1.940000	0.500000	0,-0.1,-0.4	1.000000	0,0,0	0,0,0					1		0	
npc_101931	FuncNpc	1	1	1	n084_portrait01	NpcName_10193		0,1.2,0				n084|body|n084_body_t1	1.000000			3005103		1	1.940000	0.500000	0,-0.1,-0.4	1.000000	0,0,0	0,0,0					1		0	
npc_101932	FuncNpc	1	1	1	n084_portrait01	NpcName_10193		0,1.2,0				n084|body|n084_body_t1	1.000000			3005103		1	1.940000	0.500000	0,-0.1,-0.4	1.000000	0,0,0	0,0,0					1		0	
npc_101933	FuncNpc	1	1	1	n084_portrait01	NpcName_10193		0,1.2,0				n084|body|n084_body_t1	1.000000			3005103		1	1.940000	0.500000	0,-0.1,-0.4	1.000000	0,0,0	0,0,0					1		0	
npc_101934	FuncNpc	1	1	1	n084_portrait01	NpcName_10193		0,1.2,0				n084|body|n084_body_t1	1.000000			3005103		1	1.940000	0.500000	0,-0.1,-0.4	1.000000	0,0,0	0,0,0					1		0	
npc_101935	FuncNpc	1	1	1	n084_portrait01	NpcName_10193		0,1.2,0				n084|body|n084_body_t1	1.000000			3005103		1	1.940000	0.500000	0,-0.1,-0.4	1.000000	0,0,0	0,0,0					1		0	
npc_10194	FuncNpc	1	1	1	n021_portrait01	NpcName_10194	FunctionName_10194	0,1.2,0			1	n021|body|n021_body_t1	1.000000			3003003		1	1.600000	0.500000	-0.15,0.3,0	1.000000	0,0,0	0,0,0					1		0	
npc_10195	FuncNpc	1	1	1	n065_portrait01	NpcName_10195		0,1.2,0				n908|body|n908_body_t1	1.000000			3003003		1	1.900000	0.500000	-0.1,-0.1,0.1	1.000000	0,0,0	0,0,0					1		0	
npc_101951	FuncNpc	1	1	1	n065_portrait01	NpcName_10195		0,1.2,0				n908|body|n908_body_t1	1.000000			3003003		1	1.600000	0.500000	-0.15,0.3,0	1.000000	0,0,0	0,0,0					1		0	
npc_101952	FuncNpc	1	1	1	n065_portrait01	NpcName_10195		0,1.2,0				n908|body|n908_body_t1	1.000000			3003003		1	1.900000	0.500000	-0.1,-0.1,0.1	1.000000	0,0,0	0,0,0					1		0	
npc_10196	FuncNpc	1	1	1	m905_portrait02	NpcName_10196	FunctionName_10196	0,1.2,0			1	m905|body|m905_body_t2	1.000000			3003003		1	2.500000	1.000000	-0.55,-0.7,3	1.000000	0,0,0	0,0,0					1		0	
npc_10197	FuncNpc	1	1	1	m054_portrait03	NpcName_10197	FunctionName_10197	0,1.2,0			1	m054|body|m054_body_t3|parta|m054_parta_t1	1.000000			3003003		1	1.600000	0.500000	-0.1,0.2,0.5	1.000000	0,0,0	0,0,0					1		0	
npc_101971	FuncNpc	1	1	1	m054_portrait03	NpcName_10197	FunctionName_10197	0,1.2,0				m054|body|m054_body_t3|parta|m054_parta_t1	1.000000			3003003		1	1.600000	0.500000	-0.1,0.2,0.5	1.000000	0,0,0	0,0,0					1		0	
npc_101972	FuncNpc	1	1	1	m054_portrait03	NpcName_10197	FunctionName_10197	0,1.2,0				m054|body|m054_body_t3|parta|m054_parta_t1	1.000000			3003003		1	1.600000	0.500000	-0.1,0.2,0.5	1.000000	0,0,0	0,0,0					1		0	
npc_10198	FuncNpc	1	1	1	n084_portrait01	NpcName_10198		0,1.2,0				n084|body|n084_body_t1	1.000000			3004003		1	1.940000	0.500000	0,-0.1,-0.4	1.000000	0,0,0	0,0,0					1		0	
npc_101981	FuncNpc	1	1	1	n084_portrait01	NpcName_10198		0,1.2,0				n084|body|n084_body_t1	1.000000			3004003		1	1.940000	0.500000	0,-0.1,-0.4	1.000000	0,0,0	0,0,0					1		0	
npc_10199	FuncNpc	1	1	1	b003_portrait01	NpcName_10199		0,1.2,0				b003|body|b003_body_t1	0.300000			3001003		1	1.660000	0.500000	-0.65,-2.0,7	1.000000	0,0,0	0,0,0					1		0	
npc_10200	FuncNpc	1	1	1	n008_portrait01	NpcName_10200		0,1.2,0				n008|body|n008_body_t1	1.000000			3001103		1	1.970000	0.500000	0,-0.1,0	1.000000	0,0,0	0,0,0					1		0	
npc_10201	FuncNpc	1	1	1	n008_portrait01	NpcName_10014		0,1.2,0				n008|body|n008_body_t1	1.000000			3001103		1	1.970000	0.500000	0,-0.1,0	1.000000	0,0,0	0,0,0					1		0	
npc_10202	FuncNpc	1	1	1	m001_portrait01	NpcName_10012		0,1.2,0				m001|body|m001_body_t1	1.000000			2000002		1	1.200000	0.500000	-0.2,0.25,1.2	1.000000	0,0,0	0,0,0					1		0	
npc_10203	FuncNpc	1	1	1	n008_portrait01	NpcName_10014		0,1.2,0				n008|body|n008_body_t1	1.000000			3001103		1	1.970000	0.500000	0,-0.1,0	1.000000	0,0,0	0,0,0					1		0	
npc_10204	FuncNpc	1	1	1	n037_portrait01	NpcName_10204		0,1.2,0			1	n037|body|n037_body_t1	1.000000			3004003		1	1.730000	0.500000	-0.05,0.05,-0.2	1.000000	0,0,0	0,0,0					1		0	
npc_10205	FuncNpc	1	1	1	n005_portrait02	NpcName_10205	FunctionName_10205	0,1.2,0	icon_rewardtask	icon_rewardtask	1	n005|body|n005_body_t2	1.000000			3003003	60	1	1.390000	0.500000	-0.15,0.3,0	1.000000	0,0,0	0,0,0					1		0	
npc_10206	FuncNpc	1	1	1	n024_portrait01	NpcName_10206	FunctionName_10206	0,1.2,0			1	n024|body|n024_body_t1	1.000000			3003003		1	2.130000	0.500000	0,-0.1,0.3	1.000000	0,0,0	0,0,0					1		0	
npc_10207	FuncNpc	1	1	1	c999_portrait01	NpcName_10207	FunctionName_10207	0,1.2,0			1	c999|weapon|c999_weapon001_t1|clothes|c999_clothes001_t1|face|c999_face001_t1|head|c999_head001_t1	1.000000			3073103		1	1.900000	0.500000	0,0.1,0.4	1.000000	0,0,0	0,0,0					1		0	
npc_10208	FuncNpc	4	1	1	g043_portrait01	NpcName_10208	FunctionName_10208	0,1.2,0			1	g043|body|g043_body_t1	1.000000			3904003		0	2.300000	1.000000	-0.25,-0.3,1.8	1.000000	0,1,-5	2,-223,0	-1,1.04,-5	2,123,0			1	40000063	0	
npc_10209	FuncNpc	4	1	1	n021_portrait01	NpcName_10209	FunctionName_10209	0,1.2,0	fishstore_func	fishstore_func	1	n021|body|n021_body_t1	1.000000			3003003		1	2.070000	0.500000	-0.15,0.3,0	1.000000	0,0,0	0,0,0					1		0	
npc_10210	FuncNpc	4	1	1	n038_portrait02	NpcName_10210	FunctionName_10210	0,1.2,0	btn_jinengshi	btn_jinengshi	1	n038|body|n038_body_t2	1.100000			3004003		1	2.178000	0.500000	0.04,-0.08,-0.1	1.000000	0,0,0	0,0,0					1		0	
npc_10211	FuncNpc	1	1	1	m042_portrait01	NpcName_10211		0,1.2,0				m054|body|m054_body_t2|partb|m054_partb_t1	1.000000			3004003		1	1.450000	0.500000	0.05,0,-0.7	1.000000	0,0,0	0,0,0					1		0	
npc_10212	FuncNpc	1	1	1	m039_portrait03	NpcName_10212		0,1.2,0				n084|body|n084_body_t1	1.000000			3004003		1	1.700000	0.500000	0.05,0,-0.7	1.000000	0,0,0	0,0,0					1		0	
npc_10213	FuncNpc	4	1	1	g043_portrait02	NpcName_10213	FunctionName_10213	0,1.2,0			1	g043|body|g043_body_t2	1.000000			3904003		0	2.300000	1.000000	-0.25,-0.3,1.8	1.000000	0,1,-5	2,-223,0	-1,1.04,-5	2,123,0			1	40000063	0	
npc_102131	FuncNpc	4	1	1	g043_portrait03	NpcName_10213	FunctionName_10213	0,1.2,0			1	g043|body|g043_body_t3	1.000000			3904003		0	2.300000	1.000000	-0.25,-0.3,1.8	1.000000	0,1,-5	2,-223,0	-1,1.04,-5	2,123,0			1	40000063	0	
npc_102132	FuncNpc	4	1	1	g043_portrait03	NpcName_10213	FunctionName_10213	0,1.2,0			1	g077|body|g077_body_t1	1.000000			3904003		0	2.300000	1.000000	-0.25,-0.15,2	0.900000	0,1,-5	2,-223,0	-1,1.04,-5	2,123,0			1	40000063	0	
npc_10214	FuncNpc	1	1	1	m005_portrait01	name_m013		0,1.2,0				m005|body|m005_body_t1	1.000000			2007002		0	1.000000	0.500000	-0.25,-0.3,1.8	1.000000	0,0,0	0,0,0					1		0	
npc_10215	FuncNpc	1	1	1	m005_portrait01	name_m013		0,1.2,0				m005|body|m005_body_t1	1.000000			2007002		0	1.000000	0.500000	-0.25,-0.3,1.8	1.000000	0,0,0	0,0,0					1		0	
npc_10216	FuncNpc	1	1	1	m005_portrait08	name_monster10101014		0,1.2,0				m926|body|m926_body_t1	3.000000			2007002		0	3.000000	1.100000	-0.05,0.5,0	1.000000	0,0,0	0,0,0					1		0	
npc_10217	FuncNpc	1	1	1	n084_portrait01	NpcName_10217		0,1.2,0				n084|body|n084_body_t1	1.000000			3004103		0	1.740000	0.500000	0,-0.1,-0.4	1.000000	0,0,0	0,0,0					1		0	
npc_102171	FuncNpc	1	1	1	n084_portrait01	NpcName_102171		0,1.2,0				n084|body|n084_body_t1	1.000000			3004103		1	1.740000	0.500000	0,-0.1,-0.4	1.000000	0,0,0	0,0,0					1		0	
npc_102172	FuncNpc	1	1	1	n084_portrait01	NpcName_102172		0,1.2,0				n084|body|n084_body_t1	1.000000			3004103		0	1.740000	0.500000	0,-0.1,-0.4	1.000000	0,0,0	0,0,0					1	34000007	0	
npc_10218	FuncNpc	1	1	1	n036_portrait01	NpcName_10218		0,1.2,0				n036|body|n036_body_t1	1.000000			3003003		1	1.740000	0.500000	-0.15,0.4,0	1.000000	0,0,0	0,0,0					1		0	
npc_102181	FuncNpc	1	1	1	n036_portrait01	NpcName_102181		0,1.2,0				n036|body|n036_body_t1	1.000000			3003003		1	1.740000	0.500000	-0.15,0.4,0	1.000000	0,0,0	0,0,0					1		0	
npc_102182	FuncNpc	1	1	1	n036_portrait01	NpcName_102182		0,1.2,0				n036|body|n036_body_t1	1.000000			3003003		1	1.740000	0.500000	-0.15,0.4,0	1.000000	0,0,0	0,0,0					1		0	
npc_10219	FuncNpc	1	1	1	n040_portrait01	NpcName_10219		0,1.2,0				n040|body|n040_body_t1	1.000000			3003003		1	1.740000	0.500000	0,0.1,-0.3	1.000000	0,0,0	0,0,0					1		0	
npc_102191	FuncNpc	1	1	1	n040_portrait01	NpcName_102191		0,1.2,0				n040|body|n040_body_t9	1.000000			3003303		1	1.740000	0.500000	0,0.1,-0.3	1.000000	0,0,0	0,0,0					1		0	
npc_102192	FuncNpc	1	1	1	n040_portrait01	NpcName_102192		0,1.2,0				n040|body|n040_body_t1	1.000000			3003003		1	1.740000	0.500000	0,0.1,-0.3	1.000000	0,0,0	0,0,0					1		0	
npc_10220	FuncNpc	1	1	1	p011_portrait02	NpcName_10220		0,1.2,0				p011|body|p011_body_t1	2.000000			23011004		1	1.840000	0.500000	0,0.8,-0.5	1.000000	0,0,0	0,0,0					1		0	
npc_102201	FuncNpc	1	1	1	p011_portrait02	NpcName_102201		0,1.2,0				p011|body|p011_body_t1	2.000000			23011004		1	1.840000	1.000000	0,0.8,-0.5	1.000000	0,0,0	0,0,0					1		0	
npc_10221	FuncNpc	1	1	1	p003_portrait02	NpcName_10221		0,1.2,0				p003|body|p003_body_t1	1.000000			23003004		1	1.840000	1.000000	-0.2,0,1	1.000000	0,0,0	0,0,0					1		0	
npc_10222	FuncNpc	1	1	1	n909_portrait01	NpcName_10222		0,1.2,0				n909|body|n909_body_t1	1.000000			3003003		1	1.740000	0.500000	0,-0.1,-0.4	1.000000	0,0,0	0,0,0					1		0	
npc_102221	FuncNpc	1	1	1	n909_portrait01	NpcName_102221		0,1.2,0				n909|body|n909_body_t1	1.000000			3003003		1	1.740000	0.500000	0,-0.1,-0.4	1.000000	0,0,0	0,0,0					1		0	
npc_102222	FuncNpc	1	1	1	n909_portrait01	NpcName_102222		0,1.2,0				n909|body|n909_body_t1	1.000000			3003003		1	1.740000	0.500000	0,-0.1,-0.4	1.000000	0,0,0	0,0,0					1		0	
npc_102223	FuncNpc	1	1	1	n909_portrait01	NpcName_102223		0,1.2,0				n909|body|n909_body_t1	1.000000			3003003		1	1.740000	0.500000	0,-0.1,-0.4	1.000000	0,0,0	0,0,0					1		0	
npc_10223	FuncNpc	1	1	1	n084_portrait01	NpcName_10223		0,1.2,0				n084|body|n084_body_t1	1.000000			3004103		1	1.740000	0.500000	0,-0.1,-0.4	1.000000	0,0,0	0,0,0					1		0	
npc_10224	FuncNpc	1	1	1	n085_portrait01	NpcName_10224		0,1.2,0				n085|body|n085_body_t1|parta|n085_parta_t1	1.000000			3003003		1	1.970000	0.500000	0,-0.1,-0.4	1.000000	0,0,0	0,0,0					1		0	
npc_102241	FuncNpc	1	1	1	n085_portrait01	NpcName_102241		0,1.2,0				n085|body|n085_body_t1|parta|n085_parta_t1	1.000000			3003003		1	1.970000	0.500000	0,-0.1,-0.4	1.000000	0,0,0	0,0,0					1		0	
npc_102242	FuncNpc	1	1	1	n085_portrait01	NpcName_102242		0,1.2,0				n085|body|n085_body_t1|parta|n085_parta_t1	1.000000			3003003		1	1.970000	0.500000	0,-0.1,-0.4	1.000000	0,0,0	0,0,0					1		0	
npc_102243	FuncNpc	1	1	1	n085_portrait01	NpcName_102243		0,1.2,0				n085|body|n085_body_t1|parta|n085_parta_t1	1.000000			3003003		1	1.970000	0.500000	0,-0.1,-0.4	1.000000	0,0,0	0,0,0					1		0	
npc_10225	FuncNpc	1	1	1	n084_portrait01	NpcName_10225		0,1.2,0				n084|body|n084_body_t1	1.000000			3004103		1	1.740000	0.500000	0,-0.1,-0.4	1.000000	0,0,0	0,0,0					1		0	
npc_102251	FuncNpc	1	1	1	n084_portrait01	NpcName_102251		0,1.2,0				n084|body|n084_body_t1	1.000000			3004103		1	1.740000	0.500000	0,-0.1,-0.4	1.000000	0,0,0	0,0,0					1		0	
npc_102252	FuncNpc	1	1	1	n084_portrait01	NpcName_102252		0,1.2,0				n084|body|n084_body_t1	1.000000			3004103		1	1.740000	0.500000	0,-0.1,-0.4	1.000000	0,0,0	0,0,0					1		0	
npc_102253	FuncNpc	1	1	1	n084_portrait01	NpcName_102253		0,1.2,0				n084|body|n084_body_t1	1.000000			3004103		1	1.740000	0.500000	0,-0.1,-0.4	1.000000	0,0,0	0,0,0					1		0	
npc_10226	FuncNpc	1	1	1	n021_portrait01	NpcName_10226		0,1.2,0				n021|body|n021_body_t1	1.000000			3003003		1	1.740000	0.500000	-0.15,0.3,0	1.000000	0,0,0	0,0,0					1		0	
npc_10227	FuncNpc	1	1	1	n910_portrait01	NpcName_10227		0,1.2,0				n910|body|n910_body_t1	7.000000			3003003		0	7.500000	2.000000	-0.1,0.7,0.3	1.000000	0,0,0	0,0,0			1.36,4.32,-7.56	0.15,10,0	1		0	1,2
npc_10228	FuncNpc	1	1	1	b016_portrait01	NpcName_10228		0,1.2,0				b016|body|b016_body_t1|parta|b016_parta_t1	1.000000			3003003		0	3.500000	1.000000	-0.5,-1.8,3.3	1.000000	0,0,0	0,0,0					1		0	
npc_102281	FuncNpc	1	1	1	b016_portrait01	NpcName_102281		0,1.2,0				b016|body|b016_body_t1|parta|b016_parta_t1	1.000000			3003003		0	3.500000	1.000000	-0.5,-1.8,3.3	1.000000	0,0,0	0,0,0					1		0	
npc_10229	FuncNpc	1	1	1	n910_portrait01	NpcName_10229		0,1.2,0				n039|body|n039_body_t1	1.000000			3003003		1	3.500000	1.000000	-0.5,-1.8,3.3	1.000000	0,0,0	0,0,0					1		0	
npc_10230	FuncNpc	1	1	1	m929_portrait01	name_10108005		0,1.2,0				m929|body|m929_body_t1	1.000000			2057002		0	3.960000	0.500000	0,-0.2,0	1.000000	0,0,0	0,0,0					1		0	
npc_102301	FuncNpc	1	1	1	m929_portrait01	name_10108005		0,1.2,0				m929|body|m929_body_t1	1.000000			2057002		0	3.960000	0.500000	0,-0.2,0	1.000000	0,0,0	0,0,0					1		0	
npc_102302	FuncNpc	1	1	1	m929_portrait01	name_10108005		0,1.2,0				m929|body|m929_body_t1	1.000000			2057002		0	3.960000	0.500000	0,-0.2,0	1.000000	0,0,0	0,0,0					1		0	
npc_102303	FuncNpc	1	1	1	m929_portrait01	name_10108005		0,1.2,0				m929|body|m929_body_t1	1.000000			2057002		0	3.960000	0.500000	0,-0.2,0	1.000000	0,0,0	0,0,0					1		0	
npc_10231	FuncNpc	1	1	1	soldier901_portrait01	NpcName_10231		0,1.2,0				soldier901|body|soldier901_body_t1	1.000000			24901102		1	1.830000	0.500000	-0.1,-0.2,0.4	1.000000	0,0,0	0,0,0					1		0	
npc_102311	FuncNpc	1	1	1	soldier901_portrait01	NpcName_102311		0,1.2,0				soldier901|body|soldier901_body_t1	1.000000			24901102		0	1.830000	0.500000	-0.1,-0.2,0.4	1.000000	0,0,0	0,0,0					1		0	
npc_102312	FuncNpc	1	1	1	soldier901_portrait01	NpcName_102312		0,1.2,0				soldier901|body|soldier901_body_t1	1.000000			24901102		0	1.830000	0.500000	-0.1,-0.2,0.4	1.000000	0,0,0	0,0,0					1		0	
npc_102313	FuncNpc	1	1	1	soldier901_portrait01	NpcName_102312		0,1.2,0				soldier901|body|soldier901_body_t1	1.000000			24901102		0	1.830000	0.500000	-0.1,-0.2,0.4	1.000000	0,0,0	0,0,0					1		0	
npc_102314	FuncNpc	1	1	1	soldier901_portrait01	NpcName_102312		0,1.2,0				soldier901|body|soldier901_body_t1	1.000000			24901102		0	1.830000	0.500000	-0.1,-0.2,0.4	1.000000	0,0,0	0,0,0					1		0	
npc_10232	FuncNpc	1	1	1	n900_portrait01	NpcName_10232		0,1.2,0				n900|body|n900_body_t1	1.000000			3001103		1	1.810000	0.500000	0,-0.05,-0.2	1.000000	0,0,0	0,0,0					1		0	
npc_102321	FuncNpc	1	1	1	n900_portrait01	NpcName_102321		0,1.2,0				n900|body|n900_body_t1	1.000000			3001103		0	1.810000	0.500000	0,-0.05,-0.2	1.000000	0,0,0	0,0,0					1		0	
npc_102322	FuncNpc	1	1	1	n900_portrait01	NpcName_102322		0,1.2,0				n900|body|n900_body_t1	1.000000			3001103		0	1.810000	0.500000	0,-0.05,-0.2	1.000000	0,0,0	0,0,0					1		0	
npc_10233	FuncNpc	1	1	1	b017_portrait01	NpcName_10233		0,1.2,0				b017|body|b017_body_t2	0.500000			13017004		0	4.000000	1.000000	-0.8,-3.3,6	1.000000	0,0,0	0,0,0					1		0	
